"𝜈 = 0.0, x; 𝜈 = 0.1, x; 𝜈 = 0.2, x; 𝜈 = 0.3, x; 𝜈 = 0.4, x; 𝜈 = 0.5, x; 𝜈 = 0.6, x; 𝜈 = 0.7, x; 𝜈 = 0.8, x; 𝜈 = 0.9, x; 𝜈 = 1.0, x; 𝜈 = 1.1, x; 𝜈 = 1.2, x; 𝜈 = 1.3, x; 𝜈 = 1.4, x; 𝜈 = 1.5, x; 𝜈 = 1.6, x; 𝜈 = 1.7, x; 𝜈 = 1.8, x; 𝜈 = 1.9, x; 𝜈 = 2.0, x; 𝜈 = 2.1, x; 𝜈 = 2.2, x; 𝜈 = 2.3, x; 𝜈 = 2.4, x; 𝜈 = 2.5, x; 𝜈 = 2.6, x; 𝜈 = 2.7, x; 𝜈 = 2.8, x; 𝜈 = 2.9, x; 𝜈 = 3.0, x; 𝜈 = 3.1, x; 𝜈 = 3.2, x; 𝜈 = 3.3, x; 𝜈 = 3.4, x; 𝜈 = 3.5, x; 𝜈 = 3.6, x; 𝜈 = 3.7, x; 𝜈 = 3.8, x; 𝜈 = 3.9, x; 𝜈 = 4.0, x; 𝜈 = 4.1, x; 𝜈 = 4.2, x; 𝜈 = 4.3, x; 𝜈 = 4.4, x; 𝜈 = 4.5, x; 𝜈 = 4.6, x; 𝜈 = 4.7, x; 𝜈 = 4.8, x; 𝜈 = 4.9, x","𝜈 = 0.0, y","𝜈 = 0.1, y","𝜈 = 0.2, y","𝜈 = 0.3, y","𝜈 = 0.4, y","𝜈 = 0.5, y","𝜈 = 0.6, y","𝜈 = 0.7, y","𝜈 = 0.8, y","𝜈 = 0.9, y","𝜈 = 1.0, y","𝜈 = 1.1, y","𝜈 = 1.2, y","𝜈 = 1.3, y","𝜈 = 1.4, y","𝜈 = 1.5, y","𝜈 = 1.6, y","𝜈 = 1.7, y","𝜈 = 1.8, y","𝜈 = 1.9, y","𝜈 = 2.0, y","𝜈 = 2.1, y","𝜈 = 2.2, y","𝜈 = 2.3, y","𝜈 = 2.4, y","𝜈 = 2.5, y","𝜈 = 2.6, y","𝜈 = 2.7, y","𝜈 = 2.8, y","𝜈 = 2.9, y","𝜈 = 3.0, y","𝜈 = 3.1, y","𝜈 = 3.2, y","𝜈 = 3.3, y","𝜈 = 3.4, y","𝜈 = 3.5, y","𝜈 = 3.6, y","𝜈 = 3.7, y","𝜈 = 3.8, y","𝜈 = 3.9, y","𝜈 = 4.0, y","𝜈 = 4.1, y","𝜈 = 4.2, y","𝜈 = 4.3, y","𝜈 = 4.4, y","𝜈 = 4.5, y","𝜈 = 4.6, y","𝜈 = 4.7, y","𝜈 = 4.8, y","𝜈 = 4.9, y"
0.09,0.0,0.0089998785,0.017999028,0.0269967196,0.0359922245,0.044984814,0.0539737598,0.0629583338,0.0719378081,0.0809114556,0.0898785492,0.0988383627,0.1077901704,0.1167332471,0.1256668685,0.134590311,0.1435028517,0.1524037688,0.1612923412,0.1701678491,0.1790295734,0.1878767965,0.1967088016,0.2055248734,0.2143242979,0.2231063621,0.2318703549,0.2406155663,0.249341288,0.2580468132,0.2667314367,0.2753944551,0.2840351667,0.2926528717,0.3012468719,0.3098164712,0.3183609756,0.326879693,0.3353719332,0.3438370086,0.3522742333,0.360682924,0.3690623995,0.3774119813,0.3857309928,0.3940187604,0.4022746126,0.4104978809,0.418687899,0.4268440036
0.1,0.0,0.0099998333,0.0199986667,0.0299955002,0.0399893342,0.0499791693,0.0599640065,0.0699428473,0.079914694,0.0898785492,0.0998334166,0.1097783008,0.1197122073,0.1296341426,0.1395431146,0.1494381325,0.1593182066,0.1691823491,0.1790295734,0.188858895,0.1986693308,0.2084598998,0.2182296231,0.2279775235,0.2377026264,0.2474039593,0.2570805519,0.2667314367,0.2763556486,0.2859522251,0.2955202067,0.3050586364,0.3145665606,0.3240430284,0.3334870921,0.3428978075,0.3522742333,0.361615432,0.3709204694,0.3801884151,0.3894183423,0.398609328,0.4077604531,0.4168708024,0.4259394651,0.4349655341,0.443948107,0.4528862854,0.4617791755,0.4706258882
0.11,0.0,0.0109997782,0.0219982254,0.0329940108,0.043985804,0.054972275,0.0659520944,0.0769239337,0.0878864653,0.0988383627,0.1097783008,0.1207049559,0.1316170058,0.1425131302,0.1533920107,0.164252331,0.1750927769,0.1859120368,0.1967088016,0.2074817649,0.2182296231,0.2289510758,0.2396448257,0.2503095788,0.2609440449,0.271546937,0.2821169722,0.2926528717,0.3031533605,0.3136171681,0.3240430284,0.3344296799,0.3447758658,0.3550803343,0.3653418385,0.3755591367,0.3857309928,0.3958561759,0.4059334609,0.4159616284,0.4259394651,0.4358657636,0.4457393229,0.4555589482,0.4653234515,0.4750316513,0.4846823727,0.4942744483,0.5038067171,0.513278026
0.12,0.0,0.011999712,0.0239976961,0.0359922245,0.0479815701,0.0599640065,0.0719378081,0.0839012508,0.0958526119,0.1077901704,0.1197122073,0.1316170058,0.1435028517,0.1553680335,0.1672108425,0.1790295734,0.1908225244,0.2025879973,0.2143242979,0.2260297361,0.2377026264,0.249341288,0.2609440449,0.2725092262,0.2840351667,0.2955202067,0.3069626922,0.3183609756,0.3297134156,0.3410183775,0.3522742333,0.3634793622,0.3746321507,0.3857309928,0.3967742903,0.4077604531,0.418687899,0.4295550546,0.440360355,0.4511022442,0.4617791755,0.4723896115,0.4829320241,0.4934048953,0.5038067171,0.5141359917,0.5243912315,0.5345709598,0.5446737109,0.5546980299
0.13,0.0,0.0129996338,0.0259970708,0.0389901143,0.0519765685,0.0649542388,0.0779209321,0.0908744568,0.103812624,0.1167332471,0.1296341426,0.1425131302,0.1553680335,0.1681966799,0.1809969014,0.193766535,0.2065034224,0.2192054113,0.2318703549,0.244496113,0.2570805519,0.2696215448,0.2821169722,0.2945647226,0.3069626922,0.3193087859,0.3316009171,0.3438370086,0.3560149924,0.3681328105,0.3801884151,0.3921797688,0.404104845,0.4159616284,0.4277481153,0.4394623138,0.4511022442,0.4626659394,0.4741514452,0.4855568205,0.4968801378,0.5081194836,0.5192729584,0.5303386774,0.5413147703,0.5521993823,0.562990674,0.5736868215,0.5842860174,0.5947864703
0.14,0.0,0.0139995427,0.0279963415,0.0419876531,0.0559707353,0.0699428473,0.0839012508,0.09784321,0.1117659922,0.1256668685,0.1395431146,0.1533920107,0.1672108425,0.1809969014,0.1947474856,0.2084598998,0.2221314566,0.2357594764,0.249341288,0.2628742295,0.2763556486,0.2897829028,0.3031533605,0.3164644011,0.3297134156,0.3428978075,0.3560149924,0.3690623995,0.3820374716,0.3949376656,0.4077604531,0.4205033208,0.4331637712,0.4457393229,0.4582275111,0.4706258882,0.4829320241,0.4951435069,0.5072579431,0.5192729584,0.5311861979,0.5429953266,0.5546980299,0.5662920142,0.5777750071,0.5891447579,0.6003990383,0.6115356423,0.6225523874,0.6334471141
0.15,0.0,0.0149994375,0.0299955002,0.044984814,0.0599640065,0.0749297073,0.0898785492,0.1048071688,0.1197122073,0.134590311,0.1494381325,0.164252331,0.1790295734,0.193766535,0.2084598998,0.2231063621,0.2377026264,0.2522454086,0.2667314367,0.2811574513,0.2955202067,0.3098164712,0.3240430284,0.3381966772,0.3522742333,0.3662725291,0.3801884151,0.3940187604,0.4077604531,0.4214104014,0.4349655341,0.4484228014,0.4617791755,0.4750316513,0.4881772469,0.5012130047,0.5141359917,0.5269433002,0.5396320487,0.5521993823,0.5646424734,0.5769585223,0.5891447579,0.6011984385,0.613116852,0.6248973167,0.6365371822,0.6480338295,0.659384672,0.6705871556
0.16,0.0,0.0159993173,0.0319945389,0.0479815701,0.0639563183,0.079914694,0.0958526119,0.1117659922,0.1276507609,0.1435028517,0.1593182066,0.1750927769,0.1908225244,0.2065034224,0.2221314566,0.2377026264,0.2532129456,0.2686584437,0.2840351667,0.2993391783,0.3145665606,0.3297134156,0.3447758658,0.3597500553,0.3746321507,0.3894183423,0.404104845,0.418687899,0.4331637712,0.4475287558,0.4617791755,0.4759113823,0.4899217584,0.5038067171,0.5175627041,0.5311861979,0.5446737109,0.5580217904,0.5712270194,0.5842860174,0.5971954414,0.6099519865,0.6225523874,0.6349934181,0.6472718941,0.659384672,0.671328651,0.6831007735,0.694698026,0.7061174395
0.17,0.0,0.0169991812,0.0339934497,0.0509778944,0.0679476068,0.0848976828,0.101823224,0.118719339,0.1355811449,0.1524037688,0.1691823491,0.1859120368,0.2025879973,0.2192054113,0.2357594764,0.2522454086,0.2686584437,0.2849938384,0.3012468719,0.3174128471,0.3334870921,0.3494649618,0.3653418385,0.3811131339,0.3967742903,0.4123207817,0.4277481153,0.4430518326,0.4582275111,0.473270765,0.4881772469,0.502942649,0.5175627041,0.5320331873,0.5463499166,0.5605087545,0.5745056093,0.588336436,0.6019972375,0.6154840661,0.628793024,0.6419202651,0.6548619958,0.6676144758,0.68017402,0.6925369986,0.7046998388,0.7166590256,0.728411103,0.7399526747
0.18,0.0,0.017999028,0.0359922245,0.0539737598,0.0719378081,0.0898785492,0.1077901704,0.1256668685,0.1435028517,0.1612923412,0.1790295734,0.1967088016,0.2143242979,0.2318703549,0.249341288,0.2667314367,0.2840351667,0.3012468719,0.3183609756,0.3353719332,0.3522742333,0.3690623995,0.3857309928,0.4022746126,0.418687899,0.4349655341,0.4511022442,0.4670928011,0.4829320241,0.4986147813,0.5141359917,0.5294906265,0.5446737109,0.5596803259,0.5745056093,0.5891447579,0.6035930288,0.6178457409,0.6318982763,0.6457460822,0.659384672,0.6728096269,0.6860165974,0.6990013046,0.7117595414,0.7242871744,0.7365801446,0.7486344694,0.7604462431,0.7720116389
0.19,0.0,0.0189988569,0.0379908553,0.0569691395,0.0759268585,0.0948571686,0.1137532364,0.1326082405,0.1514153744,0.1701678491,0.188858895,0.2074817649,0.2260297361,0.244496113,0.2628742295,0.2811574513,0.2993391783,0.3174128471,0.3353719332,0.3532099538,0.3709204694,0.3884970868,0.4059334609,0.4232232974,0.440360355,0.4573384472,0.4741514452,0.4907932797,0.5072579431,0.523539492,0.5396320487,0.5555298042,0.5712270194,0.5867180279,0.6019972375,0.6170591327,0.6318982763,0.6465093114,0.6608869637,0.6750260429,0.6889214451,0.7025681541,0.7159612437,0.729095879,0.7419673187,0.7545709161,0.7669021217,0.778956484,0.7907296514,0.802217374
0.2,0.0,0.0199986667,0.0399893342,0.0599640065,0.079914694,0.0998334166,0.1197122073,0.1395431146,0.1593182066,0.1790295734,0.1986693308,0.2182296231,0.2377026264,0.2570805519,0.2763556486,0.2955202067,0.3145665606,0.3334870921,0.3522742333,0.3709204694,0.3894183423,0.4077604531,0.4259394651,0.443948107,0.4617791755,0.4794255386,0.4968801378,0.5141359917,0.5311861979,0.5480239368,0.5646424734,0.5810351605,0.5971954414,0.613116852,0.628793024,0.6442176872,0.659384672,0.6742879116,0.6889214451,0.7032794192,0.7173560909,0.7311458297,0.74464312,0.7578425629,0.7707388789,0.7833269096,0.79560162,0.8075581004,0.8191915683,0.8304973705
0.21,0.0,0.0209984565,0.0419876531,0.0629583338,0.0839012508,0.1048071688,0.1256668685,0.1464711512,0.1672108425,0.1878767965,0.2084598998,0.2289510758,0.249341288,0.2696215448,0.2897829028,0.3098164712,0.3297134156,0.3494649618,0.3690623995,0.3884970868,0.4077604531,0.4268440036,0.4457393229,0.4644380783,0.4829320241,0.5012130047,0.5192729584,0.5371039213,0.5546980299,0.5720475258,0.5891447579,0.6059821868,0.6225523874,0.6388480524,0.6548619958,0.6705871556,0.6860165974,0.701143517,0.7159612437,0.7304632431,0.74464312,0.7584946213,0.7720116389,0.7851882118,0.7980185294,0.8104969338,0.8226179222,0.8343761494,0.8457664302,0.8567837418
0.22,0.0,0.0219982254,0.043985804,0.0659520944,0.0878864653,0.1097783008,0.1316170058,0.1533920107,0.1750927769,0.1967088016,0.2182296231,0.2396448257,0.2609440449,0.2821169722,0.3031533605,0.3240430284,0.3447758658,0.3653418385,0.3857309928,0.4059334609,0.4259394651,0.4457393229,0.4653234515,0.4846823727,0.5038067171,0.5226872289,0.5413147703,0.5596803259,0.5777750071,0.5955900565,0.613116852,0.6303469108,0.6472718941,0.6638836104,0.68017402,0.6961352386,0.7117595414,0.7270393665,0.7419673187,0.7565361731,0.7707388789,0.7845685621,0.7980185294,0.8110822713,0.8237534653,0.8360259786,0.8478938717,0.8593514007,0.8703930204,0.8810133869
0.23,0.0,0.0229979722,0.045983779,0.0689452615,0.0918702736,0.1147466884,0.1375624049,0.1603053541,0.1829635055,0.2055248734,0.2279775235,0.2503095788,0.2725092262,0.2945647226,0.3164644011,0.3381966772,0.3597500553,0.3811131339,0.4022746126,0.4232232974,0.443948107,0.4644380783,0.4846823727,0.5046702815,0.5243912315,0.5438347907,0.562990674,0.5818487483,0.6003990383,0.6186317311,0.6365371822,0.65410592,0.671328651,0.6881962648,0.7046998388,0.720830643,0.7365801446,0.7519400125,0.7669021217,0.7814585576,0.79560162,0.8093238278,0.8226179222,0.8354768708,0.8478938717,0.8598623565,0.8713759941,0.8824286942,0.8930146101,0.903128142
0.24,0.0,0.0239976961,0.0479815701,0.0719378081,0.0958526119,0.1197122073,0.1435028517,0.1672108425,0.1908225244,0.2143242979,0.2377026264,0.2609440449,0.2840351667,0.3069626922,0.3297134156,0.3522742333,0.3746321507,0.3967742903,0.418687899,0.440360355,0.4617791755,0.4829320241,0.5038067171,0.5243912315,0.5446737109,0.5646424734,0.5842860174,0.6035930288,0.6225523874,0.6411531729,0.659384672,0.6772363837,0.694698026,0.7117595414,0.728411103,0.74464312,0.7604462431,0.7758113702,0.7907296514,0.8051924941,0.8191915683,0.8327188108,0.8457664302,0.8583269116,0.8703930204,0.8819578069,0.8930146101,0.9035570615,0.9135790891,0.9230749203
0.25,0.0,0.0249973959,0.0499791693,0.0749297073,0.0998334166,0.1246747334,0.1494381325,0.1741081376,0.1986693308,0.2231063621,0.2474039593,0.271546937,0.2955202067,0.3193087859,0.3428978075,0.3662725291,0.3894183423,0.4123207817,0.4349655341,0.4573384472,0.4794255386,0.5012130047,0.5226872289,0.5438347907,0.5646424734,0.5850972729,0.6051864057,0.6248973167,0.6442176872,0.6631354427,0.68163876,0.6997160753,0.7173560909,0.7345477822,0.7512804051,0.7675435022,0.7833269096,0.7986207632,0.8134155048,0.8277018882,0.8414709848,0.8547141895,0.8674232256,0.8795901504,0.8912073601,0.9022675941,0.9127639403,0.9226898387,0.932039086,0.9408058392
0.26,0.0,0.0259970708,0.0519765685,0.0779209321,0.103812624,0.1296341426,0.1553680335,0.1809969014,0.2065034224,0.2318703549,0.2570805519,0.2821169722,0.3069626922,0.3316009171,0.3560149924,0.3801884151,0.404104845,0.4277481153,0.4511022442,0.4741514452,0.4968801378,0.5192729584,0.5413147703,0.562990674,0.5842860174,0.6051864057,0.6256777111,0.6457460822,0.6653779535,0.6845600546,0.7032794192,0.7215233937,0.7392796459,0.7565361731,0.7732813108,0.7895037397,0.8051924941,0.8203369691,0.8349269276,0.8489525072,0.8624042272,0.8752729949,0.8875501113,0.8992272777,0.9102966006,0.9207505977,0.9305822025,0.9397847692,0.9483520771,0.9562783351
0.27,0.0,0.0269967196,0.0539737598,0.0809114556,0.1077901704,0.134590311,0.1612923412,0.1878767965,0.2143242979,0.2406155663,0.2667314367,0.2926528717,0.3183609756,0.3438370086,0.3690623995,0.3940187604,0.418687899,0.4430518326,0.4670928011,0.4907932797,0.5141359917,0.5371039213,0.5596803259,0.5818487483,0.6035930288,0.6248973167,0.6457460822,0.6661241273,0.6860165974,0.7054089919,0.7242871744,0.7426373836,0.7604462431,0.7777007709,0.7943883893,0.8104969338,0.8260146619,0.8409302619,0.8552328609,0.8689120331,0.8819578069,0.8943606725,0.9061115888,0.9172019898,0.9276237913,0.937369396,0.9464317,0.9548040972,0.9624804845,0.9694552661
0.28,0.0,0.0279963415,0.0559707353,0.0839012508,0.1117659922,0.1395431146,0.1672108425,0.1947474856,0.2221314566,0.249341288,0.2763556486,0.3031533605,0.3297134156,0.3560149924,0.3820374716,0.4077604531,0.4331637712,0.4582275111,0.4829320241,0.5072579431,0.5311861979,0.5546980299,0.5777750071,0.6003990383,0.6225523874,0.6442176872,0.6653779535,0.6860165974,0.7061174395,0.7256647217,0.74464312,0.7630377561,0.7808342098,0.7980185294,0.8145772434,0.8304973705,0.8457664302,0.8603724524,0.8743039866,0.8875501113,0.9001004422,0.9119451404,0.9230749203,0.9334810568,0.943155392,0.9520903416,0.9602789012,0.9677146512,0.9743917626,0.9803050008
0.29,0.0,0.0289959353,0.0579674868,0.086890291,0.1157400256,0.1444924297,0.1731233242,0.2016086321,0.2299243991,0.2580468132,0.2859522251,0.3136171681,0.3410183775,0.3681328105,0.3949376656,0.4214104014,0.4475287558,0.473270765,0.4986147813,0.523539492,0.5480239368,0.5720475258,0.5955900565,0.6186317311,0.6411531729,0.6631354427,0.6845600546,0.7054089919,0.7256647217,0.7453102104,0.764328937,0.7827049081,0.8004226705,0.8174673246,0.8338245368,0.8494805518,0.8644222036,0.8786369274,0.8921127693,0.9048383969,0.9168031088,0.9279968433,0.9384101871,0.9480343833,0.9568613384,0.9648836295,0.9720945104,0.9784879171,0.9840584731,0.988801494
0.3,0.0,0.0299955002,0.0599640065,0.0898785492,0.1197122073,0.1494381325,0.1790295734,0.2084598998,0.2377026264,0.2667314367,0.2955202067,0.3240430284,0.3522742333,0.3801884151,0.4077604531,0.4349655341,0.4617791755,0.4881772469,0.5141359917,0.5396320487,0.5646424734,0.5891447579,0.613116852,0.6365371822,0.659384672,0.68163876,0.7032794192,0.7242871744,0.74464312,0.764328937,0.7833269096,0.8016199409,0.8191915683,0.8360259786,0.8521080219,0.8674232256,0.8819578069,0.8956986857,0.9086334961,0.9207505977,0.932039086,0.9424888019,0.9520903416,0.9608350642,0.9687151001,0.9757233578,0.9818535304,0.987100101,0.9914583482,0.9949243498
0.31,0.0,0.0309950351,0.0619602863,0.0928659985,0.1236824735,0.1543800993,0.1849293776,0.2153009531,0.2454656409,0.2753944551,0.3050586364,0.3344296799,0.3634793622,0.3921797688,0.4205033208,0.4484228014,0.4759113823,0.502942649,0.5294906265,0.5555298042,0.5810351605,0.6059821868,0.6303469108,0.65410592,0.6772363837,0.6997160753,0.7215233937,0.7426373836,0.7630377561,0.7827049081,0.8016199409,0.8197646786,0.8371216855,0.853674283,0.8694065651,0.8843034144,0.8983505162,0.9115343723,0.9238423141,0.9352625144,0.9457839994,0.9553966589,0.9640912556,0.9718594348,0.978693732,0.9845875797,0.9895353146,0.9935321822,0.9965743418,0.9986588701
