"Group1; Group1 (2), x","Group1 (1), x","Group1 (1), y","Group1 (2), y"
18280.0,9790.712,7.06667e-05,Group1
18344.0,9871.276,7.02088e-05,Group1
25552.0,9951.84,6.97325e-05,Group1
28248.0,10032.404,6.9239e-05,Group1
28176.0,10112.968,6.87293e-05,Group1
31600.0,10193.532,6.82047e-05,Group1
34184.0,10274.096,6.76664e-05,Group1
35056.0,10354.66,6.71153e-05,Group1
40960.0,10435.224,6.65528e-05,Group1
45400.0,10515.788,6.59799e-05,Group1
16503.0,10596.352,6.53977e-05,Group1
5389.0,10676.916,6.48074e-05,Group1
6189.0,10757.48,6.421e-05,Group1
6669.0,10838.044,6.36066e-05,Group1
7689.0,10918.608,6.29983e-05,Group1
9959.0,10999.172,6.23862e-05,Group1
8499.0,11079.736,6.17711e-05,Group1
12629.0,11160.3,6.11541e-05,Group1
14869.0,11240.864,6.05361e-05,Group1
14489.0,11321.428,5.9918e-05,Group1
6989.0,11401.992,5.93008e-05,Group1
8189.0,11482.556,5.86853e-05,Group1
9279.0,11563.12,5.80722e-05,Group1
9279.0,11643.684,5.74625e-05,Group1
5499.0,11724.248,5.68567e-05,Group1
7099.0,11804.812,5.62557e-05,Group1
6649.0,11885.376,5.56601e-05,Group1
6849.0,11965.94,5.50705e-05,Group1
7349.0,12046.504,5.44875e-05,Group1
7299.0,12127.068,5.39116e-05,Group1
7799.0,12207.632,5.33435e-05,Group1
7499.0,12288.196,5.27835e-05,Group1
7999.0,12368.76,5.2232e-05,Group1
8249.0,12449.324,5.16895e-05,Group1
8949.0,12529.888,5.11563e-05,Group1
9549.0,12610.452,5.06328e-05,Group1
13499.0,12691.016,5.01191e-05,Group1
14399.0,12771.58,4.96155e-05,Group1
13499.0,12852.144,4.91222e-05,Group1
17199.0,12932.708,4.86394e-05,Group1
19699.0,13013.272,4.81671e-05,Group1
18399.0,13093.836,4.77055e-05,Group1
11900.0,13174.4,4.72546e-05,Group1
13200.0,13254.964,4.68143e-05,Group1
12440.0,13335.528,4.63848e-05,Group1
13860.0,13416.092,4.59658e-05,Group1
15580.0,13496.656,4.55574e-05,Group1
16900.0,13577.22,4.51594e-05,Group1
16695.0,13657.784,4.47716e-05,Group1
17075.0,13738.348,4.43939e-05,Group1
16630.0,13818.912,4.40261e-05,Group1
17950.0,13899.476,4.36679e-05,Group1
18150.0,13980.04,4.33191e-05,Group1
5572.0,14060.604,4.29793e-05,Group1
7957.0,14141.168,4.26484e-05,Group1
6229.0,14221.732,4.2326e-05,Group1
6692.0,14302.296,4.20116e-05,Group1
7609.0,14382.86,4.17051e-05,Group1
8921.0,14463.424,4.14059e-05,Group1
12764.0,14543.988,4.11138e-05,Group1
22018.0,14624.552,4.08283e-05,Group1
32528.0,14705.116,4.0549e-05,Group1
34028.0,14785.68,4.02755e-05,Group1
37028.0,14866.244,4.00074e-05,Group1
9295.0,14946.808,3.97441e-05,Group1
9895.0,15027.372,3.94854e-05,Group1
11850.0,15107.936,3.92307e-05,Group1
12170.0,15188.5,3.89796e-05,Group1
15040.0,15269.064,3.87316e-05,Group1
15510.0,15349.628,3.84863e-05,Group1
18150.0,15430.192,3.82433e-05,Group1
18620.0,15510.756,3.80022e-05,Group1
5118.0,15591.32,3.77624e-05,Group1
7053.0,15671.884,3.75235e-05,Group1
7603.0,15752.448,3.72852e-05,Group1
7126.0,15833.012,3.70471e-05,Group1
7775.0,15913.576,3.68087e-05,Group1
9960.0,15994.14,3.65696e-05,Group1
9233.0,16074.704,3.63295e-05,Group1
11259.0,16155.268,3.6088e-05,Group1
7463.0,16235.832,3.58448e-05,Group1
10198.0,16316.396,3.55995e-05,Group1
8013.0,16396.96,3.53519e-05,Group1
11694.0,16477.524,3.51016e-05,Group1
5348.0,16558.088,3.48484e-05,Group1
6338.0,16638.652,3.45919e-05,Group1
6488.0,16719.216,3.43321e-05,Group1
6918.0,16799.78,3.40686e-05,Group1
7898.0,16880.344,3.38012e-05,Group1
8778.0,16960.908,3.35299e-05,Group1
6938.0,17041.472,3.32544e-05,Group1
7198.0,17122.036,3.29746e-05,Group1
7898.0,17202.6,3.26903e-05,Group1
7788.0,17283.164,3.24017e-05,Group1
7738.0,17363.728,3.21084e-05,Group1
8358.0,17444.292,3.18106e-05,Group1
9258.0,17524.856,3.15081e-05,Group1
8058.0,17605.42,3.12011e-05,Group1
8238.0,17685.984,3.08894e-05,Group1
9298.0,17766.548,3.05733e-05,Group1
9538.0,17847.112,3.02526e-05,Group1
8449.0,17927.676,2.99275e-05,Group1
9639.0,18008.24,2.95982e-05,Group1
9989.0,18088.804,2.92647e-05,Group1
11199.0,18169.368,2.89271e-05,Group1
11549.0,18249.932,2.85857e-05,Group1
17669.0,18330.496,2.82405e-05,Group1
8948.0,18411.06,2.78919e-05,Group1
10698.0,18491.624,2.75399e-05,Group1
9988.0,18572.188,2.71848e-05,Group1
10898.0,18652.752,2.68268e-05,Group1
11248.0,18733.316,2.64662e-05,Group1
16558.0,18813.88,2.61032e-05,Group1
15998.0,18894.444,2.5738e-05,Group1
15690.0,18975.008,2.53709e-05,Group1
15750.0,19055.572,2.50022e-05,Group1
7775.0,19136.136,2.46322e-05,Group1
7975.0,19216.7,2.42611e-05,Group1
7995.0,19297.264,2.38893e-05,Group1
8195.0,19377.828,2.35169e-05,Group1
8495.0,19458.392,2.31443e-05,Group1
9495.0,19538.956,2.27718e-05,Group1
9995.0,19619.52,2.23996e-05,Group1
11595.0,19700.084,2.20281e-05,Group1
9980.0,19780.648,2.16575e-05,Group1
13295.0,19861.212,2.12881e-05,Group1
13845.0,19941.776,2.09201e-05,Group1
12290.0,20022.34,2.05539e-05,Group1
12940.0,20102.904,2.01896e-05,Group1
13415.0,20183.468,1.98276e-05,Group1
15985.0,20264.032,1.94681e-05,Group1
16515.0,20344.596,1.91113e-05,Group1
18420.0,20425.16,1.87574e-05,Group1
18950.0,20505.724,1.84067e-05,Group1
16845.0,20586.288,1.80593e-05,Group1
19045.0,20666.852,1.77155e-05,Group1
21485.0,20747.416,1.73754e-05,Group1
22470.0,20827.98,1.70393e-05,Group1
22625.0,20908.544,1.67073e-05,Group1
