"Predicted Probability, x; Observed Probability, x","Predicted Probability, y","Observed Probability, y",text,size
11,0.8,0.5,Cluster : 11 (Size : 385)<br>eg Vector : 0.0|0.19999999999999998|0.875|0.0|0...<br>Obs Prob : 0.5%<br>Pred Prob : 0.8%,38.5
12,0.8,0.0,Cluster : 12 (Size : 609)<br>eg Vector : 0.5|0.39999999999999997|1.0|0.0|0|0|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.8%,60.9
13,0.8,1.3,Cluster : 13 (Size : 622)<br>eg Vector : 0.5|0.0|0.75|0.0|0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 0.8%,62.2
14,0.8,0.9,Cluster : 14 (Size : 785)<br>eg Vector : 0.5|0.19999999999999998|0.875|0.0|0...<br>Obs Prob : 0.9%<br>Pred Prob : 0.8%,78.5
15,0.9,1.3,Cluster : 15 (Size : 234)<br>eg Vector : 0.0|0.19999999999999998|0.875|0.111...<br>Obs Prob : 1.3%<br>Pred Prob : 0.9%,23.4
16,0.9,1.3,Cluster : 16 (Size : 559)<br>eg Vector : 0.5|0.19999999999999998|0.875|0.111...<br>Obs Prob : 1.3%<br>Pred Prob : 0.9%,55.9
17,0.9,0.2,Cluster : 17 (Size : 454)<br>eg Vector : 0.5|0.6000000000000001|1.0|0.0|0|0|0|0<br>Obs Prob : 0.2%<br>Pred Prob : 0.9%,45.4
18,0.9,0.4,Cluster : 18 (Size : 265)<br>eg Vector : 0.0|0.39999999999999997|0.875|0.0|0...<br>Obs Prob : 0.4%<br>Pred Prob : 0.9%,26.5
19,0.9,0.8,Cluster : 19 (Size : 515)<br>eg Vector : 0.5|0.39999999999999997|0.875|0.0|0...<br>Obs Prob : 0.8%<br>Pred Prob : 0.9%,51.5
20,1.0,0.9,Cluster : 20 (Size : 338)<br>eg Vector : 0.5|0.7999999999999999|1.0|0.0|0|0|0|0<br>Obs Prob : 0.9%<br>Pred Prob : 1.0%,33.8
21,1.0,1.3,Cluster : 21 (Size : 305)<br>eg Vector : 0.0|0.6000000000000001|1.0|0.0|0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 1.0%,30.5
22,1.0,1.3,Cluster : 22 (Size : 395)<br>eg Vector : 0.0|0.19999999999999998|0.75|0.0|0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 1.0%,39.5
23,1.0,0.7,Cluster : 23 (Size : 293)<br>eg Vector : 0.5|0.0|0.75|0.1111111111111111|0|0|0|0<br>Obs Prob : 0.7%<br>Pred Prob : 1.0%,29.3
24,1.0,1.1,Cluster : 24 (Size : 635)<br>eg Vector : 0.5|0.0|0.625|0.0|0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.0%,63.5
25,1.0,0.6,Cluster : 25 (Size : 802)<br>eg Vector : 0.5|0.19999999999999998|0.75|0.0|0|0|0|0<br>Obs Prob : 0.6%<br>Pred Prob : 1.0%,80.2
26,1.1,1.4,Cluster : 26 (Size : 349)<br>eg Vector : 0.0|0.0|0.625|0.0|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 1.1%,34.9
27,1.1,1.6,Cluster : 27 (Size : 440)<br>eg Vector : 0.5|0.0|0.75|0.2222222222222222|0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.1%,44.0
28,1.1,0.8,Cluster : 28 (Size : 236)<br>eg Vector : 0.0|0.0|0.625|0.1111111111111111|0|0|0|0<br>Obs Prob : 0.8%<br>Pred Prob : 1.1%,23.6
29,1.1,1.4,Cluster : 29 (Size : 209)<br>eg Vector : 0.0|0.6000000000000001|0.875|0.0|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 1.1%,20.9
30,1.1,0.8,Cluster : 30 (Size : 384)<br>eg Vector : 0.5|0.39999999999999997|0.875|0.111...<br>Obs Prob : 0.8%<br>Pred Prob : 1.1%,38.4
31,1.1,1.9,Cluster : 31 (Size : 319)<br>eg Vector : 0.0|0.39999999999999997|0.75|0.0|0|0|0|0<br>Obs Prob : 1.9%<br>Pred Prob : 1.1%,31.9
32,1.1,0.7,Cluster : 32 (Size : 419)<br>eg Vector : 0.5|0.6000000000000001|0.875|0.0|0|0|0|0<br>Obs Prob : 0.7%<br>Pred Prob : 1.1%,41.9
33,1.1,2.1,Cluster : 33 (Size : 332)<br>eg Vector : 0.5|0.19999999999999998|0.75|0.1111...<br>Obs Prob : 2.1%<br>Pred Prob : 1.1%,33.2
34,1.1,1.0,Cluster : 34 (Size : 674)<br>eg Vector : 0.5|0.39999999999999997|0.75|0.0|0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.1%,67.4
35,1.2,1.9,Cluster : 35 (Size : 318)<br>eg Vector : 0.0|0.7999999999999999|0.875|0.0|0|0|0|0<br>Obs Prob : 1.9%<br>Pred Prob : 1.2%,31.8
36,1.2,0.8,Cluster : 36 (Size : 375)<br>eg Vector : 0.0|0.19999999999999998|0.75|0.2222...<br>Obs Prob : 0.8%<br>Pred Prob : 1.2%,37.5
37,1.2,1.1,Cluster : 37 (Size : 267)<br>eg Vector : 0.0|0.39999999999999997|0.75|0.1111...<br>Obs Prob : 1.1%<br>Pred Prob : 1.2%,26.7
38,1.2,0.6,Cluster : 38 (Size : 316)<br>eg Vector : 0.0|0.19999999999999998|0.625|0.0|0...<br>Obs Prob : 0.6%<br>Pred Prob : 1.2%,31.6
39,1.2,2.0,Cluster : 39 (Size : 401)<br>eg Vector : 0.5|0.0|0.5|0.0|0|0|0|0<br>Obs Prob : 2.0%<br>Pred Prob : 1.2%,40.1
40,1.2,1.3,Cluster : 40 (Size : 376)<br>eg Vector : 0.5|0.7999999999999999|0.875|0.0|0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 1.2%,37.6
41,1.2,1.6,Cluster : 41 (Size : 743)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.0|0...<br>Obs Prob : 1.6%<br>Pred Prob : 1.2%,74.3
42,1.3,0.8,Cluster : 42 (Size : 472)<br>eg Vector : 0.5|1.0|1.0|0.0|0|0|0|0<br>Obs Prob : 0.8%<br>Pred Prob : 1.3%,47.2
43,1.3,1.9,Cluster : 43 (Size : 265)<br>eg Vector : 0.5|0.6000000000000001|0.875|0.1111...<br>Obs Prob : 1.9%<br>Pred Prob : 1.3%,26.5
44,1.3,1.8,Cluster : 44 (Size : 488)<br>eg Vector : 0.5|0.19999999999999998|0.75|0.2222...<br>Obs Prob : 1.8%<br>Pred Prob : 1.3%,48.8
45,1.3,2.2,Cluster : 45 (Size : 324)<br>eg Vector : 0.0|0.19999999999999998|0.625|0.111...<br>Obs Prob : 2.2%<br>Pred Prob : 1.3%,32.4
46,1.3,1.0,Cluster : 46 (Size : 491)<br>eg Vector : 0.5|0.0|0.625|0.1111111111111111|0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.3%,49.1
47,1.3,1.9,Cluster : 47 (Size : 258)<br>eg Vector : 0.5|0.39999999999999997|0.75|0.1111...<br>Obs Prob : 1.9%<br>Pred Prob : 1.3%,25.8
48,1.3,1.1,Cluster : 48 (Size : 560)<br>eg Vector : 0.5|0.6000000000000001|0.75|0.0|0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.3%,56.0
49,1.3,1.3,Cluster : 49 (Size : 613)<br>eg Vector : 0.5|0.39999999999999997|0.625|0.0|0...<br>Obs Prob : 1.3%<br>Pred Prob : 1.3%,61.3
50,1.4,1.5,Cluster : 50 (Size : 202)<br>eg Vector : 0.5|1.0|0.5|0.1111111111111111|0|0|0|1<br>Obs Prob : 1.5%<br>Pred Prob : 1.4%,20.2
51,1.4,0.8,Cluster : 51 (Size : 236)<br>eg Vector : 0.0|1.0|1.0|0.0|0|0|0|0<br>Obs Prob : 0.8%<br>Pred Prob : 1.4%,23.6
52,1.4,1.2,Cluster : 52 (Size : 578)<br>eg Vector : 0.5|0.19999999999999998|0.5|0.0|0|0|0|0<br>Obs Prob : 1.2%<br>Pred Prob : 1.4%,57.8
53,1.4,0.5,Cluster : 53 (Size : 219)<br>eg Vector : 0.0|0.19999999999999998|0.5|0.0|0|0|0|0<br>Obs Prob : 0.5%<br>Pred Prob : 1.4%,21.9
54,1.4,1.7,Cluster : 54 (Size : 303)<br>eg Vector : 0.5|1.0|0.875|0.0|0|0|0|0<br>Obs Prob : 1.7%<br>Pred Prob : 1.4%,30.3
55,1.4,1.3,Cluster : 55 (Size : 449)<br>eg Vector : 0.0|0.6000000000000001|0.75|0.0|0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 1.4%,44.9
56,1.4,1.0,Cluster : 56 (Size : 672)<br>eg Vector : 0.5|0.0|0.375|0.0|0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.4%,67.2
57,1.4,0.8,Cluster : 57 (Size : 360)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.111...<br>Obs Prob : 0.8%<br>Pred Prob : 1.4%,36.0
58,1.5,1.2,Cluster : 58 (Size : 485)<br>eg Vector : 0.0|0.39999999999999997|0.625|0.0|0...<br>Obs Prob : 1.2%<br>Pred Prob : 1.5%,48.5
59,1.5,1.4,Cluster : 59 (Size : 506)<br>eg Vector : 0.5|0.7999999999999999|0.75|0.0|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 1.5%,50.6
60,1.5,3.0,Cluster : 60 (Size : 332)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.222...<br>Obs Prob : 3.0%<br>Pred Prob : 1.5%,33.2
61,1.5,2.4,Cluster : 61 (Size : 338)<br>eg Vector : 0.5|0.39999999999999997|0.75|0.2222...<br>Obs Prob : 2.4%<br>Pred Prob : 1.5%,33.8
62,1.5,0.0,Cluster : 62 (Size : 207)<br>eg Vector : 0.5|0.6000000000000001|0.75|0.11111...<br>Obs Prob : 0.0%<br>Pred Prob : 1.5%,20.7
63,1.6,1.4,Cluster : 63 (Size : 354)<br>eg Vector : 0.0|0.0|0.375|0.0|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 1.6%,35.4
64,1.6,1.4,Cluster : 64 (Size : 417)<br>eg Vector : 0.0|1.0|0.75|0.0|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 1.6%,41.7
65,1.6,0.9,Cluster : 65 (Size : 212)<br>eg Vector : 0.0|0.39999999999999997|0.75|0.2222...<br>Obs Prob : 0.9%<br>Pred Prob : 1.6%,21.2
66,1.6,1.6,Cluster : 66 (Size : 440)<br>eg Vector : 0.5|0.0|0.625|0.3333333333333333|0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.6%,44.0
67,1.6,2.1,Cluster : 67 (Size : 338)<br>eg Vector : 0.5|0.7999999999999999|0.75|0.11111...<br>Obs Prob : 2.1%<br>Pred Prob : 1.6%,33.8
68,1.6,0.4,Cluster : 68 (Size : 451)<br>eg Vector : 0.5|0.39999999999999997|0.5|0.0|0|0|0|0<br>Obs Prob : 0.4%<br>Pred Prob : 1.6%,45.1
69,1.6,2.8,Cluster : 69 (Size : 254)<br>eg Vector : 0.5|0.19999999999999998|0.5|0.11111...<br>Obs Prob : 2.8%<br>Pred Prob : 1.6%,25.4
70,1.6,0.6,Cluster : 70 (Size : 319)<br>eg Vector : 0.5|0.39999999999999997|0.625|0.111...<br>Obs Prob : 0.6%<br>Pred Prob : 1.6%,31.9
71,1.7,2.0,Cluster : 71 (Size : 251)<br>eg Vector : 0.0|0.19999999999999998|0.375|0.111...<br>Obs Prob : 2.0%<br>Pred Prob : 1.7%,25.1
72,1.7,1.6,Cluster : 72 (Size : 314)<br>eg Vector : 0.5|0.0|0.25|0.0|0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.7%,31.4
73,1.7,1.4,Cluster : 73 (Size : 220)<br>eg Vector : 0.0|0.19999999999999998|0.5|0.22222...<br>Obs Prob : 1.4%<br>Pred Prob : 1.7%,22.0
74,1.7,1.6,Cluster : 74 (Size : 435)<br>eg Vector : 0.5|1.0|0.75|0.0|0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.7%,43.5
75,1.7,1.0,Cluster : 75 (Size : 888)<br>eg Vector : 0.5|0.19999999999999998|0.375|0.0|0...<br>Obs Prob : 1.0%<br>Pred Prob : 1.7%,88.8
76,1.8,1.9,Cluster : 76 (Size : 207)<br>eg Vector : 0.5|0.39999999999999997|0.875|0.111...<br>Obs Prob : 1.9%<br>Pred Prob : 1.8%,20.7
77,1.8,0.9,Cluster : 77 (Size : 546)<br>eg Vector : 0.0|0.19999999999999998|0.375|0.0|0...<br>Obs Prob : 0.9%<br>Pred Prob : 1.8%,54.6
78,1.8,3.1,Cluster : 78 (Size : 229)<br>eg Vector : 0.5|0.6000000000000001|0.75|0.22222...<br>Obs Prob : 3.1%<br>Pred Prob : 1.8%,22.9
79,1.8,1.8,Cluster : 79 (Size : 500)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.333...<br>Obs Prob : 1.8%<br>Pred Prob : 1.8%,50.0
80,1.8,1.6,Cluster : 80 (Size : 371)<br>eg Vector : 0.0|0.6000000000000001|0.625|0.0|0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.8%,37.1
81,1.8,2.6,Cluster : 81 (Size : 266)<br>eg Vector : 0.0|0.39999999999999997|0.5|0.11111...<br>Obs Prob : 2.6%<br>Pred Prob : 1.8%,26.6
82,1.8,4.1,Cluster : 82 (Size : 243)<br>eg Vector : 0.5|0.0|0.5|0.2222222222222222|0|0|0|0<br>Obs Prob : 4.1%<br>Pred Prob : 1.8%,24.3
83,1.8,1.4,Cluster : 83 (Size : 501)<br>eg Vector : 0.5|0.7999999999999999|0.625|0.0|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 1.8%,50.1
84,1.8,0.9,Cluster : 84 (Size : 233)<br>eg Vector : 0.5|0.6000000000000001|0.625|0.1111...<br>Obs Prob : 0.9%<br>Pred Prob : 1.8%,23.3
85,1.9,2.4,Cluster : 85 (Size : 206)<br>eg Vector : 0.5|0.19999999999999998|1.0|0.0|0|0|0|1<br>Obs Prob : 2.4%<br>Pred Prob : 1.9%,20.6
86,1.9,3.0,Cluster : 86 (Size : 201)<br>eg Vector : 0.5|0.0|0.75|0.1111111111111111|0|0|0|1<br>Obs Prob : 3.0%<br>Pred Prob : 1.9%,20.1
87,1.9,1.5,Cluster : 87 (Size : 201)<br>eg Vector : 0.0|0.0|0.75|0.3333333333333333|0|1|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 1.9%,20.1
88,1.9,1.1,Cluster : 88 (Size : 352)<br>eg Vector : 0.5|0.0|0.375|0.1111111111111111|0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.9%,35.2
89,1.9,0.7,Cluster : 89 (Size : 408)<br>eg Vector : 0.0|0.39999999999999997|0.375|0.0|0...<br>Obs Prob : 0.7%<br>Pred Prob : 1.9%,40.8
90,1.9,1.1,Cluster : 90 (Size : 364)<br>eg Vector : 0.0|0.7999999999999999|0.625|0.0|0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.9%,36.4
91,1.9,1.9,Cluster : 91 (Size : 965)<br>eg Vector : 0.5|0.39999999999999997|0.375|0.0|0...<br>Obs Prob : 1.9%<br>Pred Prob : 1.9%,96.5
92,1.9,1.4,Cluster : 92 (Size : 212)<br>eg Vector : 0.5|0.19999999999999998|0.5|0.22222...<br>Obs Prob : 1.4%<br>Pred Prob : 1.9%,21.2
93,1.9,1.0,Cluster : 93 (Size : 395)<br>eg Vector : 0.5|0.6000000000000001|0.5|0.0|0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.9%,39.5
94,2.0,4.0,Cluster : 94 (Size : 252)<br>eg Vector : 0.0|0.7999999999999999|0.875|0.1111...<br>Obs Prob : 4.0%<br>Pred Prob : 2.0%,25.2
95,2.0,2.9,Cluster : 95 (Size : 238)<br>eg Vector : 0.0|0.19999999999999998|0.5|0.44444...<br>Obs Prob : 2.9%<br>Pred Prob : 2.0%,23.8
96,2.0,1.6,Cluster : 96 (Size : 620)<br>eg Vector : 0.5|0.6000000000000001|0.625|0.0|0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 2.0%,62.0
97,2.0,1.2,Cluster : 97 (Size : 321)<br>eg Vector : 0.0|0.39999999999999997|0.625|0.333...<br>Obs Prob : 1.2%<br>Pred Prob : 2.0%,32.1
98,2.0,2.0,Cluster : 98 (Size : 203)<br>eg Vector : 0.0|0.39999999999999997|0.5|0.22222...<br>Obs Prob : 2.0%<br>Pred Prob : 2.0%,20.3
99,2.0,1.0,Cluster : 99 (Size : 418)<br>eg Vector : 0.5|0.19999999999999998|0.25|0.0|0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 2.0%,41.8
100,2.0,1.5,Cluster : 100 (Size : 328)<br>eg Vector : 0.5|0.19999999999999998|0.375|0.111...<br>Obs Prob : 1.5%<br>Pred Prob : 2.0%,32.8
101,2.1,4.4,Cluster : 101 (Size : 203)<br>eg Vector : 0.5|0.0|0.375|0.1111111111111111|0|0|0|1<br>Obs Prob : 4.4%<br>Pred Prob : 2.1%,20.3
102,2.1,3.5,Cluster : 102 (Size : 428)<br>eg Vector : 0.5|1.0|0.625|0.0|0|0|0|0<br>Obs Prob : 3.5%<br>Pred Prob : 2.1%,42.8
103,2.1,2.6,Cluster : 103 (Size : 265)<br>eg Vector : 0.0|0.7999999999999999|0.625|0.1111...<br>Obs Prob : 2.6%<br>Pred Prob : 2.1%,26.5
104,2.1,1.8,Cluster : 104 (Size : 280)<br>eg Vector : 0.5|0.39999999999999997|0.5|0.22222...<br>Obs Prob : 1.8%<br>Pred Prob : 2.1%,28.0
105,2.1,0.5,Cluster : 105 (Size : 380)<br>eg Vector : 0.5|0.39999999999999997|0.5|0.11111...<br>Obs Prob : 0.5%<br>Pred Prob : 2.1%,38.0
106,2.2,1.7,Cluster : 106 (Size : 236)<br>eg Vector : 0.5|0.0|0.125|0.0|0|0|0|0<br>Obs Prob : 1.7%<br>Pred Prob : 2.2%,23.6
107,2.2,4.6,Cluster : 107 (Size : 282)<br>eg Vector : 0.5|0.7999999999999999|0.75|0.22222...<br>Obs Prob : 4.6%<br>Pred Prob : 2.2%,28.2
108,2.2,2.4,Cluster : 108 (Size : 205)<br>eg Vector : 0.5|0.0|0.5|0.4444444444444444|0|0|0|0<br>Obs Prob : 2.4%<br>Pred Prob : 2.2%,20.5
109,2.2,3.4,Cluster : 109 (Size : 298)<br>eg Vector : 0.0|0.19999999999999998|0.5|0.11111...<br>Obs Prob : 3.4%<br>Pred Prob : 2.2%,29.8
110,2.2,2.0,Cluster : 110 (Size : 302)<br>eg Vector : 0.0|0.6000000000000001|0.5|0.0|0|0|0|0<br>Obs Prob : 2.0%<br>Pred Prob : 2.2%,30.2
111,2.2,2.9,Cluster : 111 (Size : 347)<br>eg Vector : 0.5|0.39999999999999997|0.625|0.333...<br>Obs Prob : 2.9%<br>Pred Prob : 2.2%,34.7
112,2.2,3.7,Cluster : 112 (Size : 241)<br>eg Vector : 0.5|0.0|0.375|0.2222222222222222|0|0|0|0<br>Obs Prob : 3.7%<br>Pred Prob : 2.2%,24.1
113,2.2,1.5,Cluster : 113 (Size : 392)<br>eg Vector : 0.5|0.7999999999999999|0.5|0.0|0|0|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 2.2%,39.2
114,2.2,1.3,Cluster : 114 (Size : 988)<br>eg Vector : 0.5|0.6000000000000001|0.375|0.0|0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 2.2%,98.8
115,2.3,1.8,Cluster : 115 (Size : 219)<br>eg Vector : 0.5|0.6000000000000001|1.0|0.0|0|1|0|0<br>Obs Prob : 1.8%<br>Pred Prob : 2.3%,21.9
116,2.3,1.5,Cluster : 116 (Size : 397)<br>eg Vector : 0.0|1.0|0.625|0.0|0|0|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 2.3%,39.7
117,2.3,2.3,Cluster : 117 (Size : 308)<br>eg Vector : 0.5|1.0|0.625|0.1111111111111111|0|0|0|0<br>Obs Prob : 2.3%<br>Pred Prob : 2.3%,30.8
118,2.3,3.5,Cluster : 118 (Size : 259)<br>eg Vector : 0.0|0.6000000000000001|0.75|0.11111...<br>Obs Prob : 3.5%<br>Pred Prob : 2.3%,25.9
119,2.3,1.8,Cluster : 119 (Size : 434)<br>eg Vector : 0.5|0.39999999999999997|0.25|0.0|0|0|0|0<br>Obs Prob : 1.8%<br>Pred Prob : 2.3%,43.4
120,2.3,2.7,Cluster : 120 (Size : 333)<br>eg Vector : 0.5|0.7999999999999999|0.5|0.111111...<br>Obs Prob : 2.7%<br>Pred Prob : 2.3%,33.3
121,2.3,3.0,Cluster : 121 (Size : 361)<br>eg Vector : 0.5|0.39999999999999997|0.375|0.111...<br>Obs Prob : 3.0%<br>Pred Prob : 2.3%,36.1
122,2.4,3.7,Cluster : 122 (Size : 273)<br>eg Vector : 0.0|0.19999999999999998|0.125|0.0|0...<br>Obs Prob : 3.7%<br>Pred Prob : 2.4%,27.3
123,2.4,3.0,Cluster : 123 (Size : 265)<br>eg Vector : 0.5|0.19999999999999998|0.125|0.0|0...<br>Obs Prob : 3.0%<br>Pred Prob : 2.4%,26.5
124,2.4,1.4,Cluster : 124 (Size : 499)<br>eg Vector : 0.0|0.6000000000000001|0.375|0.0|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 2.4%,49.9
125,2.4,2.0,Cluster : 125 (Size : 252)<br>eg Vector : 0.5|0.19999999999999998|0.25|0.1111...<br>Obs Prob : 2.0%<br>Pred Prob : 2.4%,25.2
126,2.4,1.8,Cluster : 126 (Size : 225)<br>eg Vector : 0.5|0.6000000000000001|0.5|0.222222...<br>Obs Prob : 1.8%<br>Pred Prob : 2.4%,22.5
127,2.5,2.4,Cluster : 127 (Size : 208)<br>eg Vector : 0.5|0.7999999999999999|0.875|0.0|0|1|0|0<br>Obs Prob : 2.4%<br>Pred Prob : 2.5%,20.8
128,2.5,2.2,Cluster : 128 (Size : 232)<br>eg Vector : 0.0|0.7999999999999999|0.875|0.0|0|1|0|0<br>Obs Prob : 2.2%<br>Pred Prob : 2.5%,23.2
129,2.5,2.2,Cluster : 129 (Size : 277)<br>eg Vector : 0.0|0.19999999999999998|0.25|0.1111...<br>Obs Prob : 2.2%<br>Pred Prob : 2.5%,27.7
130,2.5,1.9,Cluster : 130 (Size : 211)<br>eg Vector : 0.0|0.39999999999999997|0.375|0.111...<br>Obs Prob : 1.9%<br>Pred Prob : 2.5%,21.1
131,2.5,2.2,Cluster : 131 (Size : 226)<br>eg Vector : 0.5|0.19999999999999998|0.5|0.33333...<br>Obs Prob : 2.2%<br>Pred Prob : 2.5%,22.6
132,2.5,3.3,Cluster : 132 (Size : 239)<br>eg Vector : 0.5|0.0|0.375|0.3333333333333333|0|0|0|0<br>Obs Prob : 3.3%<br>Pred Prob : 2.5%,23.9
133,2.5,1.7,Cluster : 133 (Size : 348)<br>eg Vector : 0.5|1.0|0.5|0.0|0|0|0|0<br>Obs Prob : 1.7%<br>Pred Prob : 2.5%,34.8
134,2.5,3.2,Cluster : 134 (Size : 349)<br>eg Vector : 0.5|0.19999999999999998|0.375|0.222...<br>Obs Prob : 3.2%<br>Pred Prob : 2.5%,34.9
135,2.6,4.9,Cluster : 135 (Size : 204)<br>eg Vector : 0.0|0.7999999999999999|0.75|0.11111...<br>Obs Prob : 4.9%<br>Pred Prob : 2.6%,20.4
136,2.6,0.5,Cluster : 136 (Size : 203)<br>eg Vector : 0.5|0.6000000000000001|0.625|0.0|0|1|0|0<br>Obs Prob : 0.5%<br>Pred Prob : 2.6%,20.3
137,2.6,2.0,Cluster : 137 (Size : 891)<br>eg Vector : 0.5|0.7999999999999999|0.375|0.0|0|0|0|0<br>Obs Prob : 2.0%<br>Pred Prob : 2.6%,89.1
138,2.6,2.9,Cluster : 138 (Size : 306)<br>eg Vector : 0.5|0.6000000000000001|0.375|0.1111...<br>Obs Prob : 2.9%<br>Pred Prob : 2.6%,30.6
139,2.7,2.0,Cluster : 139 (Size : 203)<br>eg Vector : 0.0|0.0|0.875|0.0|0|0|0|1<br>Obs Prob : 2.0%<br>Pred Prob : 2.7%,20.3
140,2.7,5.0,Cluster : 140 (Size : 220)<br>eg Vector : 0.0|0.39999999999999997|0.75|0.3333...<br>Obs Prob : 5.0%<br>Pred Prob : 2.7%,22.0
141,2.7,2.1,Cluster : 141 (Size : 470)<br>eg Vector : 0.0|0.7999999999999999|0.375|0.0|0|0|0|0<br>Obs Prob : 2.1%<br>Pred Prob : 2.7%,47.0
142,2.7,3.0,Cluster : 142 (Size : 235)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.444...<br>Obs Prob : 3.0%<br>Pred Prob : 2.7%,23.5
143,2.7,1.0,Cluster : 143 (Size : 383)<br>eg Vector : 0.5|0.6000000000000001|0.25|0.0|0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 2.7%,38.3
144,2.7,2.1,Cluster : 144 (Size : 238)<br>eg Vector : 0.5|0.39999999999999997|0.25|0.1111...<br>Obs Prob : 2.1%<br>Pred Prob : 2.7%,23.8
145,2.7,4.3,Cluster : 145 (Size : 207)<br>eg Vector : 0.5|0.39999999999999997|0.375|0.222...<br>Obs Prob : 4.3%<br>Pred Prob : 2.7%,20.7
146,2.8,4.4,Cluster : 146 (Size : 226)<br>eg Vector : 0.5|0.39999999999999997|0.5|0.0|0|1|0|0<br>Obs Prob : 4.4%<br>Pred Prob : 2.8%,22.6
147,2.8,3.1,Cluster : 147 (Size : 359)<br>eg Vector : 0.5|0.6000000000000001|0.625|0.3333...<br>Obs Prob : 3.1%<br>Pred Prob : 2.8%,35.9
