"pm2.5, x; 人数, x","pm2.5, y","人数, y"
2014-02-15,113.0,143
2014-02-16,169.0,93
2014-02-17,126.0,182
2014-02-18,69.0,171
2014-02-19,122.0,159
2014-02-20,145.0,159
2014-02-21,121.0,166
2014-02-22,125.0,158
2014-02-23,147.0,124
2014-02-24,204.0,208
2014-02-25,187.0,202
2014-02-26,88.0,169
2014-02-27,60.0,185
2014-02-28,56.0,171
2014-03-01,97.0,181
2014-03-02,135.0,136
2014-03-03,90.0,208
2014-03-04,56.0,174
2014-03-05,82.0,176
2014-03-06,103.0,191
2014-03-07,103.0,183
2014-03-08,110.0,227
2014-03-09,156.0,154
2014-03-10,132.0,226
2014-03-11,83.0,215
2014-03-12,59.0,168
2014-03-13,49.0,184
2014-03-14,43.0,204
2014-03-15,49.0,207
2014-03-16,57.0,148
2014-03-17,98.0,219
2014-03-18,90.0,203
2014-03-19,55.0,169
2014-03-20,40.0,219
2014-03-21,39.0,195
2014-03-22,51.0,184
2014-03-23,74.0,125
2014-03-24,112.0,220
2014-03-25,150.0,235
2014-03-26,155.0,167
2014-03-27,60.0,175
2014-03-28,90.0,185
2014-03-29,171.0,207
2014-03-30,69.0,127
2014-03-31,86.0,193
2014-04-01,70.0,186
2014-04-02,70.0,206
2014-04-03,63.0,178
2014-04-04,72.0,206
2014-04-05,38.0,131
2014-04-06,51.0,144
2014-04-07,56.0,242
2014-04-08,89.0,230
2014-04-09,76.0,218
2014-04-10,133.0,193
2014-04-11,152.0,198
2014-04-12,140.0,202
2014-04-13,156.0,128
2014-04-14,66.0,257
2014-04-15,112.0,235
2014-04-16,129.0,199
2014-04-17,132.0,202
2014-04-18,178.0,214
2014-04-19,78.0,225
2014-04-20,127.0,161
2014-04-21,161.0,227
2014-04-22,97.0,212
2014-04-23,67.0,190
2014-04-24,63.0,238
2014-04-25,41.0,223
2014-04-26,50.0,207
2014-04-27,37.0,140
2014-04-28,45.0,269
2014-04-29,60.0,236
2014-04-30,71.0,196
2014-05-01,74.0,152
2014-05-02,41.0,131
2014-05-03,38.0,154
2014-05-04,40.0,207
2014-05-05,43.0,266
2014-05-06,54.0,211
2014-05-07,69.0,179
2014-05-08,89.0,224
2014-05-09,67.0,186
2014-05-10,53.0,203
2014-05-11,37.0,108
2014-05-12,45.0,215
2014-05-13,40.0,210
2014-05-14,47.0,226
2014-05-15,51.0,221
2014-05-16,61.0,193
2014-05-17,108.0,184
2014-05-18,68.0,135
2014-05-19,98.0,234
2014-05-20,105.0,213
2014-05-21,83.0,192
2014-05-22,77.0,180
2014-05-23,53.0,196
2014-05-24,51.0,223
2014-05-25,90.0,157
2014-05-26,62.0,214
2014-05-27,59.0,215
2014-05-28,59.0,186
2014-05-29,72.0,183
2014-05-30,85.0,201
2014-05-31,105.0,138
2014-06-01,64.0,141
2014-06-02,44.0,217
2014-06-03,59.0,232
2014-06-04,88.0,216
2014-06-05,87.0,223
2014-06-06,97.0,165
2014-06-07,42.0,204
2014-06-08,49.0,169
2014-06-09,112.0,236
2014-06-10,115.0,215
2014-06-11,81.0,174
2014-06-12,56.0,194
2014-06-13,67.0,208
2014-06-14,94.0,219
2014-06-15,86.0,171
2014-06-16,92.0,241
2014-06-17,85.0,234
2014-06-18,67.0,198
2014-06-19,88.0,191
2014-06-20,51.0,193
2014-06-21,89.0,225
2014-06-22,130.0,147
2014-06-23,69.0,248
2014-06-24,65.0,227
2014-06-25,84.0,197
2014-06-26,73.0,212
2014-06-27,78.0,201
2014-06-28,43.0,201
2014-06-29,61.0,148
2014-06-30,47.0,196
2014-07-01,77.0,245
2014-07-02,55.0,223
2014-07-03,47.0,214
2014-07-04,44.0,193
2014-07-05,87.0,218
2014-07-06,95.0,125
2014-07-07,90.0,245
2014-07-08,95.0,227
2014-07-09,118.0,212
2014-07-10,53.0,186
2014-07-11,79.0,196
2014-07-12,82.0,195
2014-07-13,63.0,156
2014-07-14,54.0,239
2014-07-15,55.0,244
2014-07-16,63.0,193
2014-07-17,53.0,181
2014-07-18,40.0,248
2014-07-19,50.0,174
2014-07-20,54.0,140
2014-07-21,43.0,195
2014-07-22,59.0,164
2014-07-23,63.0,160
2014-07-24,134.0,160
2014-07-25,39.0,159
2014-07-26,66.0,142
2014-07-27,73.0,153
2014-07-28,91.0,287
2014-07-29,72.0,220
2014-07-30,46.0,205
2014-07-31,141.0,193
2014-08-01,52.0,223
2014-08-02,51.0,201
2014-08-03,59.0,167
2014-08-04,120.0,246
2014-08-05,55.0,203
2014-08-06,67.0,208
2014-08-07,61.0,246
2014-08-08,58.5,243
2014-08-09,56.0,207
2014-08-10,75.0,167
2014-08-11,92.0,227
2014-08-12,94.0,235
2014-08-13,60.0,231
2014-08-14,60.0,214
2014-08-15,78.0,231
2014-08-16,57.0,206
2014-08-17,52.0,133
2014-08-18,84.0,277
2014-08-19,119.0,242
2014-08-20,85.0,210
2014-08-21,75.0,198
2014-08-22,69.0,239
2014-08-23,63.0,227
2014-08-24,63.0,160
2014-08-25,48.0,264
2014-08-26,46.0,253
2014-08-27,76.0,216
2014-08-28,78.0,220
2014-08-29,83.0,219
2014-08-30,108.0,179
2014-08-31,93.0,163
2014-09-01,108.0,223
2014-09-02,67.0,205
2014-09-03,36.0,180
2014-09-04,26.0,203
2014-09-05,53.0,222
2014-09-06,88.0,258
2014-09-07,102.0,182
2014-09-08,99.0,178
2014-09-09,83.0,223
2014-09-10,85.0,245
2014-09-11,40.0,270
2014-09-12,52.0,233
2014-09-13,77.0,242
2014-09-14,61.0,156
2014-09-15,57.0,240
2014-09-16,57.0,196
2014-09-17,48.0,209
2014-09-18,110.0,217
2014-09-19,74.0,244
2014-09-20,38.0,260
2014-09-21,69.0,169
2014-09-22,110.0,314
2014-09-23,124.0,277
2014-09-24,111.0,238
2014-09-25,108.0,247
2014-09-26,100.0,227
2014-09-27,105.0,262
2014-09-28,175.0,152
2014-09-29,71.0,281
2014-09-30,58.0,243
2014-10-01,77.0,161
2014-10-02,109.0,184
2014-10-03,86.0,167
2014-10-04,107.0,165
2014-10-05,95.0,165
2014-10-06,29.0,262
2014-10-07,68.0,230
2014-10-08,81.0,207
2014-10-09,115.0,209
2014-10-10,124.0,188
2014-10-11,67.0,197
2014-10-12,61.0,136
2014-10-13,29.0,211
2014-10-14,53.0,253
2014-10-15,73.0,202
2014-10-16,27.0,177
2014-10-17,109.0,186
2014-10-18,111.0,252
2014-10-19,72.0,140
2014-10-20,115.0,247
2014-10-21,50.0,231
2014-10-22,72.0,207
2014-10-23,105.0,216
2014-10-24,57.0,200
2014-10-25,51.0,206
2014-10-26,70.0,127
2014-10-27,30.0,220
2014-10-28,80.0,221
2014-10-29,135.0,227
2014-10-30,155.0,217
2014-10-31,76.0,216
2014-11-01,87.0,245
2014-11-02,43.0,167
2014-11-03,41.0,270
2014-11-04,54.0,278
2014-11-05,88.0,211
2014-11-06,91.0,242
2014-11-07,34.0,211
2014-11-08,90.0,257
2014-11-09,134.0,170
2014-11-10,107.0,300
2014-11-11,95.0,240
2014-11-12,26.0,246
2014-11-13,44.0,256
2014-11-14,85.0,259
2014-11-15,132.0,331
2014-11-16,133.0,210
2014-11-17,69.0,336
2014-11-18,65.0,340
2014-11-19,97.0,300
2014-11-20,94.0,306
2014-11-21,160.0,312
2014-11-22,302.0,325
2014-11-23,195.0,216
2014-11-24,193.0,347
2014-11-25,84.0,364
2014-11-26,87.0,321
2014-11-27,120.0,337
2014-11-28,56.0,309
2014-11-29,105.0,306
2014-11-30,109.0,241
2014-12-01,26.0,338
2014-12-02,38.0,335
2014-12-03,86.0,342
2014-12-04,58.0,330
2014-12-05,85.0,329
2014-12-06,78.0,328
2014-12-07,178.0,250
2014-12-08,86.0,392
2014-12-09,108.0,353
2014-12-10,124.0,352
2014-12-11,38.0,356
2014-12-12,72.0,356
2014-12-13,39.0,373
2014-12-14,33.0,327
2014-12-15,27.0,416
2014-12-16,21.0,405
2014-12-17,56.0,386
2014-12-18,59.0,402
2014-12-19,86.0,412
2014-12-20,32.0,352
2014-12-21,50.0,346
2014-12-22,56.0,479
2014-12-23,71.0,433
2014-12-24,130.0,391
2014-12-25,72.0,428
2014-12-26,108.0,430
2014-12-27,132.0,443
2014-12-28,158.0,328
2014-12-29,106.0,442
2014-12-30,139.0,457
2014-12-31,51.0,430
2015-01-01,55.0,321
2015-01-02,86.0,275
2015-01-03,102.0,322
2015-01-04,188.0,408
2015-01-05,266.0,392
2015-01-06,40.0,346
2015-01-07,61.0,322
2015-01-08,101.0,340
2015-01-09,203.0,370
2015-01-10,157.0,370
2015-01-11,130.0,285
2015-01-12,85.0,350
2015-01-13,95.0,400
2015-01-14,125.0,326
2015-01-15,271.0,348
2015-01-16,258.0,322
2015-01-17,39.0,313
2015-01-18,73.0,273
2015-01-19,50.0,373
2015-01-20,62.0,346
2015-01-21,121.0,307
2015-01-22,49.0,296
2015-01-23,94.0,302
2015-01-24,198.0,299
2015-01-25,94.0,227
2015-01-26,132.0,340
2015-01-27,32.0,310
2015-01-28,59.0,275
2015-01-29,117.0,286
2015-01-30,80.0,264
2015-01-31,60.0,312
2015-02-01,77.0,206
2015-02-02,123.0,310
2015-02-03,188.0,352
2015-02-04,104.0,293
2015-02-05,34.0,276
2015-02-06,62.0,276
2015-02-07,90.0,291
2015-02-08,33.0,187
2015-02-09,50.0,266
2015-02-10,73.0,195
2015-02-11,155.0,220
2015-02-12,116.0,216
2015-02-13,126.0,236
2015-02-14,98.0,197
2015-02-15,143.0,194
2015-02-16,118.0,226
2015-02-17,71.0,201
2015-02-18,93.0,112
2015-02-19,165.0,79
2015-02-20,57.0,106
2015-02-21,123.0,145
2015-02-22,49.0,127
2015-02-23,50.0,143
2015-02-24,89.0,178
2015-02-25,140.0,242
2015-02-26,108.0,230
2015-02-27,45.0,238
2015-02-28,68.0,186
2015-03-01,81.0,187
2015-03-02,54.0,275
2015-03-03,43.0,228
2015-03-04,28.0,215
2015-03-05,57.0,210
2015-03-06,69.0,210
2015-03-07,74.0,184
2015-03-08,106.0,145
2015-03-09,56.0,195
2015-03-10,35.0,187
2015-03-11,58.0,192
2015-03-12,108.0,190
2015-03-13,143.0,155
2015-03-14,74.0,194
2015-03-15,108.0,123
2015-03-16,81.0,220
2015-03-17,134.0,202
2015-03-18,104.0,197
2015-03-19,143.0,177
2015-03-20,134.0,188
2015-03-21,81.0,195
2015-03-22,56.0,143
2015-03-23,64.0,228
2015-03-24,75.0,202
2015-03-25,48.0,202
2015-03-26,62.0,220
2015-03-27,67.0,187
2015-03-28,87.0,219
2015-03-29,112.0,138
2015-03-30,90.0,245
2015-03-31,96.0,220
2015-04-01,61.0,153
2015-04-02,60.0,179
2015-04-03,82.0,195
2015-04-04,147.0,162
2015-04-05,164.0,131
2015-04-06,55.0,206
2015-04-07,63.0,204
2015-04-08,61.0,196
2015-04-09,68.0,195
2015-04-10,79.0,203
2015-04-11,75.0,191
2015-04-12,49.0,114
2015-04-13,52.0,205
2015-04-14,61.0,248
2015-04-15,53.0,208
2015-04-16,45.0,228
2015-04-17,62.0,224
2015-04-18,102.0,254
2015-04-19,39.0,157
2015-04-20,60.0,201
2015-04-21,53.0,228
2015-04-22,73.0,195
2015-04-23,59.0,175
2015-04-24,121.0,173
2015-04-25,88.0,154
2015-04-26,56.0,139
2015-04-27,53.0,255
2015-04-28,84.0,193
2015-04-29,145.0,195
2015-04-30,116.0,225
2015-05-01,81.0,138
2015-05-02,53.0,128
2015-05-03,79.0,125
2015-05-04,48.0,218
2015-05-05,68.0,199
2015-05-06,83.0,161
2015-05-07,90.0,218
2015-05-08,56.0,197
2015-05-09,97.0,198
2015-05-10,97.0,116
2015-05-11,36.0,195
2015-05-12,30.0,223
2015-05-13,43.0,187
2015-05-14,57.0,216
2015-05-15,88.0,187
2015-05-16,85.0,176
2015-05-17,54.0,121
2015-05-18,79.0,274
2015-05-19,80.0,231
2015-05-20,35.0,205
2015-05-21,62.0,217
2015-05-22,69.0,197
2015-05-23,87.0,225
2015-05-24,128.0,151
2015-05-25,114.0,249
2015-05-26,90.0,238
2015-05-27,78.0,206
2015-05-28,51.0,224
2015-05-29,72.0,192
2015-05-30,106.0,248
2015-05-31,92.0,143
2015-06-01,80.0,238
2015-06-02,83.0,282
2015-06-03,61.0,228
2015-06-04,40.0,216
2015-06-05,43.0,217
2015-06-06,60.0,268
2015-06-07,90.0,143
2015-06-08,58.0,301
2015-06-09,49.0,252
2015-06-10,90.0,236
2015-06-11,33.0,226
2015-06-12,39.0,235
2015-06-13,33.0,288
2015-06-14,84.0,180
2015-06-15,84.0,270
2015-06-16,129.0,244
2015-06-17,122.0,210
2015-06-18,82.0,249
2015-06-19,65.0,217
2015-06-20,63.0,151
2015-06-21,70.0,138
2015-06-22,98.0,262
2015-06-23,89.0,256
2015-06-24,72.0,179
2015-06-25,60.0,165
2015-06-26,90.0,175
2015-06-27,124.0,197
2015-06-28,97.0,134
2015-06-29,52.0,200
2015-06-30,49.0,208
2015-07-01,57.0,211
2015-07-02,38.0,209
2015-07-03,44.0,178
2015-07-04,52.0,188
2015-07-05,78.0,140
2015-07-06,106.0,214
2015-07-07,129.0,231
2015-07-08,138.0,225
2015-07-09,96.0,236
2015-07-10,121.0,209
2015-07-11,48.0,198
2015-07-12,85.0,139
2015-07-13,85.0,273
2015-07-14,72.0,209
2015-07-15,79.0,212
2015-07-16,105.0,192
2015-07-17,120.0,205
2015-07-18,87.0,183
2015-07-19,67.0,136
2015-07-20,66.0,217
2015-07-21,84.0,181
2015-07-22,93.0,179
2015-07-23,69.0,247
2015-07-24,54.0,218
2015-07-25,56.0,229
2015-07-26,73.0,143
2015-07-27,65.0,230
2015-07-28,44.0,218
2015-07-29,33.0,201
2015-07-30,39.0,195
2015-07-31,35.0,222
2015-08-01,74.0,234
2015-08-02,42.0,175
2015-08-03,27.0,211
2015-08-04,38.0,179
2015-08-05,48.0,216
2015-08-06,21.0,185
2015-08-07,47.0,235
2015-08-08,41.0,175
2015-08-09,32.0,157
2015-08-10,59.0,266
2015-08-11,76.0,254
2015-08-12,78.0,251
2015-08-13,79.0,254
2015-08-14,76.0,258
2015-08-15,64.0,241
2015-08-16,78.0,149
2015-08-17,87.0,273
2015-08-18,83.0,253
2015-08-19,67.0,235
2015-08-20,59.0,232
2015-08-21,66.0,237
2015-08-22,72.0,221
2015-08-23,45.0,174
2015-08-24,51.0,296
2015-08-25,38.0,253
2015-08-26,35.0,256
2015-08-27,30.0,263
2015-08-28,49.0,266
2015-08-29,41.0,237
2015-08-30,65.0,162
2015-08-31,82.0,239
2015-09-01,33.0,274
2015-09-02,39.0,237
2015-09-03,41.0,167
2015-09-04,60.0,173
2015-09-05,74.0,176
2015-09-06,41.0,219
2015-09-07,47.0,270
2015-09-08,78.0,278
2015-09-09,64.0,237
2015-09-10,87.0,208
2015-09-11,33.0,234
2015-09-12,30.0,268
2015-09-13,23.0,159
2015-09-14,47.0,278
2015-09-15,51.0,284
2015-09-16,75.0,243
2015-09-17,81.0,245
2015-09-18,57.0,278
2015-09-19,93.0,310
2015-09-20,51.0,160
2015-09-21,99.0,288
2015-09-22,84.0,279
2015-09-23,74.0,260
2015-09-24,118.0,269
2015-09-25,83.0,243
2015-09-26,72.0,254
2015-09-27,82.0,158
2015-09-28,115.0,305
2015-09-29,113.0,302
2015-09-30,106.0,289
2015-10-01,32.0,182
2015-10-02,55.0,156
2015-10-03,133.0,160
2015-10-04,174.0,153
2015-10-05,86.0,164
2015-10-06,79.0,204
2015-10-07,75.0,269
2015-10-08,34.0,249
2015-10-09,42.0,228
2015-10-10,21.0,210
2015-10-11,53.0,139
2015-10-12,39.0,275
2015-10-13,58.0,234
2015-10-14,84.0,239
2015-10-15,175.0,256
2015-10-16,198.0,256
2015-10-17,131.0,283
2015-10-18,129.0,161
2015-10-19,97.0,276
2015-10-20,158.0,283
2015-10-21,159.0,224
2015-10-22,93.0,274
2015-10-23,123.0,218
2015-10-24,143.0,203
2015-10-25,61.0,139
2015-10-26,88.0,285
2015-10-27,51.0,257
2015-10-28,69.0,230
2015-10-29,49.0,246
2015-10-30,49.0,238
2015-10-31,63.0,288
2015-11-01,46.0,164
2015-11-02,88.0,299
2015-11-03,90.0,280
2015-11-04,111.0,287
2015-11-05,104.0,339
2015-11-06,32.0,210
2015-11-07,32.0,310
2015-11-08,88.0,129
2015-11-09,130.0,271
2015-11-10,161.0,251
2015-11-11,190.0,263
2015-11-12,243.0,258
2015-11-13,129.0,202
2015-11-14,89.0,254
2015-11-15,133.0,154
2015-11-16,123.0,254
2015-11-17,95.0,270
2015-11-18,52.0,257
2015-11-19,90.0,251
2015-11-20,189.0,249
2015-11-21,189.0,311
2015-11-22,30.0,139
2015-11-23,32.0,274
2015-11-24,29.0,200
2015-11-25,67.0,196
2015-11-26,31.0,200
2015-11-27,49.0,232
2015-11-28,153.0,266
2015-11-29,247.0,153
2015-11-30,288.0,304
2015-12-01,211.0,274
2015-12-02,110.0,267
2015-12-03,34.0,296
2015-12-04,55.0,259
2015-12-05,102.0,302
2015-12-06,102.0,184
2015-12-07,163.0,331
2015-12-08,152.0,339
2015-12-09,124.0,298
2015-12-10,272.0,336
2015-12-11,114.0,301
2015-12-12,108.0,318
2015-12-13,200.0,218
2015-12-14,203.0,338
2015-12-15,94.0,355
2015-12-16,28.0,319
2015-12-17,44.0,338
2015-12-18,75.0,330
2015-12-19,192.0,333
2015-12-20,218.0,229
2015-12-21,236.0,381
2015-12-22,254.0,335
2015-12-23,419.0,306
2015-12-24,415.0,332
2015-12-25,272.0,332
2015-12-26,129.0,340
2015-12-27,54.0,248
2015-12-28,123.0,402
2015-12-29,126.0,353
2015-12-30,181.0,327
2015-12-31,128.0,378
2016-01-01,106.0,210
2016-01-02,189.0,281
2016-01-03,371.0,242
2016-01-04,191.0,410
2016-01-05,117.0,409
2016-01-06,152.0,304
2016-01-07,102.0,410
2016-01-08,171.0,335
2016-01-09,179.0,440
2016-01-10,219.0,297
2016-01-11,60.0,399
2016-01-12,67.0,380
2016-01-13,103.0,286
2016-01-14,125.0,438
2016-01-15,105.0,354
2016-01-16,172.0,471
2016-01-17,138.0,311
2016-01-18,104.0,445
2016-01-19,98.0,536
2016-01-20,109.0,450
2016-01-21,143.0,502
2016-01-22,104.0,388
2016-01-23,33.0,365
2016-01-24,30.0,261
2016-01-25,52.0,476
2016-01-26,110.0,457
2016-01-27,149.0,414
2016-01-28,155.0,425
2016-01-29,108.0,389
2016-01-30,55.0,388
2016-01-31,57.0,252
2016-02-01,101.0,387
2016-02-02,89.0,367
2016-02-03,112.0,375
2016-02-04,128.0,358
2016-02-05,57.0,315
2016-02-06,58.0,262
2016-02-07,65.0,206
2016-02-08,94.0,184
2016-02-09,102.0,217
2016-02-10,112.0,224
2016-02-11,189.0,219
2016-02-12,186.0,244
2016-02-13,26.0,219
2016-02-14,19.0,288
2016-02-15,33.0,326
2016-02-16,35.0,248
2016-02-17,47.0,270
2016-02-18,55.0,278
2016-02-19,56.0,285
2016-02-20,25.0,172
2016-02-21,50.0,176
2016-02-22,100.0,228
2016-02-23,68.0,232
2016-02-24,57.0,238
2016-02-25,104.0,239
2016-02-26,129.0,245
2016-02-27,162.0,240
2016-02-28,62.0,167
2016-02-29,26.0,311
2016-03-01,71.0,243
2016-03-02,109.0,239
2016-03-03,85.0,264
2016-03-04,94.0,241
2016-03-05,126.0,262
2016-03-06,106.0,164
2016-03-07,92.0,280
2016-03-08,40.0,229
2016-03-09,41.0,239
2016-03-10,43.0,281
2016-03-11,60.0,255
2016-03-12,71.0,276
2016-03-13,89.0,185
2016-03-14,42.0,303
2016-03-15,88.0,310
2016-03-16,84.0,274
2016-03-17,94.0,324
2016-03-18,142.0,339
2016-03-19,191.0,313
2016-03-20,96.0,266
2016-03-21,105.0,349
2016-03-22,98.0,368
2016-03-23,37.0,291
2016-03-24,52.0,329
2016-03-25,52.0,285
2016-03-26,70.0,339
2016-03-27,43.0,242
2016-03-28,45.0,325
2016-03-29,47.0,347
2016-03-30,66.0,310
2016-03-31,76.0,325
2016-04-01,62.0,290
2016-04-02,74.0,264
2016-04-03,40.0,183
2016-04-04,55.0,180
2016-04-05,52.0,344
2016-04-06,78.0,333
2016-04-07,88.0,274
2016-04-08,133.0,236
2016-04-09,159.0,255
2016-04-10,129.0,164
2016-04-11,99.0,264
2016-04-12,97.0,285
2016-04-13,111.0,217
2016-04-14,88.0,233
2016-04-15,82.0,225
2016-04-16,58.0,206
2016-04-17,38.0,139
2016-04-18,37.0,249
2016-04-19,46.0,242
2016-04-20,97.0,204
2016-04-21,127.0,247
2016-04-22,87.0,223
2016-04-23,111.0,244
2016-04-24,69.0,172
2016-04-25,61.0,259
2016-04-26,49.0,231
2016-04-27,89.0,238
2016-04-28,77.0,243
2016-04-29,76.0,218
2016-04-30,69.0,168
2016-05-01,57.0,121
2016-05-02,48.0,118
2016-05-03,40.0,278
2016-05-04,41.0,188
2016-05-05,61.0,231
2016-05-06,100.0,184
2016-05-07,65.0,208
2016-05-08,67.0,135
2016-05-09,65.0,177
2016-05-10,77.0,181
2016-05-11,79.0,173
2016-05-12,35.0,167
2016-05-13,39.0,174
2016-05-14,40.0,133
2016-05-15,44.0,126
2016-05-16,28.0,212
2016-05-17,36.0,170
2016-05-18,50.0,168
2016-05-19,49.0,167
2016-05-20,54.0,187
2016-05-21,56.0,159
2016-05-22,53.0,146
2016-05-23,85.0,214
2016-05-24,40.0,177
2016-05-25,27.0,173
2016-05-26,47.0,163
2016-05-27,75.0,175
2016-05-28,47.0,157
2016-05-29,70.0,171
2016-05-30,68.0,214
2016-05-31,78.0,181
2016-06-01,49.0,195
2016-06-02,52.0,188
2016-06-03,56.0,164
2016-06-04,52.0,182
2016-06-05,54.0,150
2016-06-06,61.0,196
2016-06-07,75.0,167
2016-06-08,100.0,161
2016-06-09,93.0,147
2016-06-10,58.0,163
2016-06-11,33.0,145
2016-06-12,41.0,165
2016-06-13,62.0,173
2016-06-14,29.0,147
2016-06-15,38.0,157
2016-06-16,35.0,174
2016-06-17,27.0,170
2016-06-18,34.0,141
2016-06-19,73.0,149
2016-06-20,79.0,172
2016-06-21,53.0,133
2016-06-22,51.0,136
2016-06-23,35.0,119
2016-06-24,32.0,152
2016-06-25,28.0,139
2016-06-26,36.0,135
2016-06-27,41.0,178
2016-06-28,47.0,156
2016-06-29,48.0,161
2016-06-30,46.0,151
2016-07-01,36.0,138
2016-07-02,65.0,138
2016-07-03,68.0,119
2016-07-04,65.0,195
2016-07-05,112.0,159
2016-07-06,102.0,170
2016-07-07,70.0,150
2016-07-08,52.0,156
2016-07-09,49.0,106
2016-07-10,84.0,113
2016-07-11,37.0,189
2016-07-12,54.0,132
2016-07-13,81.0,159
2016-07-14,69.0,165
2016-07-15,56.0,152
2016-07-16,70.0,148
2016-07-17,122.0,184
2016-07-18,125.0,199
2016-07-19,65.0,181
2016-07-20,16.0,112
2016-07-21,31.0,159
2016-07-22,35.0,144
2016-07-23,44.0,124
2016-07-24,31.0,107
2016-07-25,36.0,155
2016-07-26,45.0,176
2016-07-27,42.0,209
2016-07-28,43.0,150
2016-07-29,56.0,168
2016-07-30,55.0,115
2016-07-31,45.0,112
2016-08-01,23.0,164
2016-08-02,64.0,186
2016-08-03,78.0,156
2016-08-04,77.0,151
2016-08-05,52.0,190
2016-08-06,43.0,169
2016-08-07,28.0,139
2016-08-08,25.0,184
2016-08-09,38.0,160
2016-08-10,28.0,170
2016-08-11,35.0,164
2016-08-12,34.0,173
2016-08-13,44.0,178
2016-08-14,61.0,136
2016-08-15,44.0,217
2016-08-16,26.0,190
2016-08-17,48.0,177
2016-08-18,50.0,183
2016-08-19,30.0,136
2016-08-20,24.0,138
2016-08-21,44.0,114
2016-08-22,81.0,220
2016-08-23,46.0,168
2016-08-24,41.0,189
2016-08-25,27.0,177
2016-08-26,19.0,202
2016-08-27,27.0,165
2016-08-28,32.0,133
2016-08-29,26.0,215
2016-08-30,28.0,184
2016-08-31,52.0,201
2016-09-01,40.0,190
2016-09-02,41.0,188
2016-09-03,74.0,182
2016-09-04,112.0,170
2016-09-05,109.0,221
2016-09-06,97.0,205
2016-09-07,41.0,185
2016-09-08,55.0,185
2016-09-09,53.0,164
2016-09-10,45.0,192
2016-09-11,55.0,170
2016-09-12,59.0,223
2016-09-13,68.0,196
2016-09-14,57.0,214
2016-09-15,86.0,140
2016-09-16,91.0,178
2016-09-17,71.0,190
2016-09-18,34.0,248
2016-09-19,22.0,233
2016-09-20,34.0,183
2016-09-21,44.0,228
2016-09-22,57.0,236
2016-09-23,43.0,259
2016-09-24,51.0,240
2016-09-25,74.0,219
2016-09-26,50.0,274
2016-09-27,52.0,224
2016-09-28,18.0,212
2016-09-29,58.0,216
2016-09-30,95.0,236
2016-10-01,53.0,146
2016-10-02,73.0,178
2016-10-03,66.0,177
2016-10-04,69.0,180
2016-10-05,44.0,181
2016-10-06,49.0,160
