"Skaarup Moellebaek flow (m3/s), x","Skaarup Moellebaek flow (m3/s), y","Skaarup Moellebaek vandstand (m), x","Skaarup Moellebaek vandstand (m), y"
2017-05-19 14:05:35,0.1065201611,2017-05-19 13:55:35,0.1622905
2017-05-19 14:10:35,0.106170971,2017-05-19 14:00:35,0.1622905
2017-05-19 14:15:35,0.1062594763,2017-05-19 14:05:35,0.1622905
2017-05-19 14:20:35,0.1063331653,2017-05-19 14:10:35,0.1610516
2017-05-19 14:25:35,0.1064549016,2017-05-19 14:15:35,0.1610516
2017-05-19 14:30:35,0.1065760666,2017-05-19 14:20:35,0.1610516
2017-05-19 14:35:35,0.1064071624,2017-05-19 14:25:35,0.1604428
2017-05-19 14:40:35,0.1063975382,2017-05-19 14:30:35,0.1604428
2017-05-19 14:45:35,0.1064565151,2017-05-19 14:35:35,0.1604428
2017-05-19 14:50:35,0.106472404,2017-05-19 14:40:35,0.1608629
2017-05-19 14:55:35,0.1065619886,2017-05-19 14:45:35,0.1608629
2017-05-19 15:00:35,0.1066718822,2017-05-19 14:50:35,0.1608629
2017-05-19 15:05:35,0.1068829334,2017-05-19 14:55:35,0.1614658
2017-05-19 15:10:35,0.1070643664,2017-05-19 15:00:35,0.1614658
2017-05-19 15:15:35,0.1073868027,2017-05-19 15:05:35,0.1614658
2017-05-19 15:20:35,0.1075580122,2017-05-19 15:10:35,0.1597689
2017-05-19 15:25:35,0.1076586645,2017-05-19 15:15:35,0.1597689
2017-05-19 15:30:35,0.1076374034,2017-05-19 15:20:35,0.1597689
2017-05-19 15:35:35,0.1076493304,2017-05-19 15:25:35,0.1600324
2017-05-19 15:40:35,0.1080382503,2017-05-19 15:30:35,0.1600324
2017-05-19 15:45:35,0.1086894392,2017-05-19 15:35:35,0.1600324
2017-05-19 15:50:35,0.1085130358,2017-05-19 15:40:35,0.1596026
2017-05-19 16:06:35,0.1084538919,2017-05-19 15:45:35,0.1596026
2017-05-19 17:06:35,0.1083194124,2017-05-19 15:50:35,0.1596026
2017-05-19 18:06:35,0.1084174215,2017-05-19 16:06:35,0.1597523
2017-05-19 19:06:35,0.1085743892,2017-05-19 17:06:35,0.1554219
2017-05-19 20:06:35,0.1086517275,2017-05-19 18:06:35,0.1563419
2017-05-19 21:06:35,0.1084102703,2017-05-19 19:06:35,0.1562553
2017-05-19 22:06:35,0.1082999002,2017-05-19 20:06:35,0.1571684
2017-05-19 23:06:35,0.1082158043,2017-05-19 21:06:35,0.1547168
2017-05-20 00:06:35,0.1071929539,2017-05-19 22:06:35,0.1517644
2017-05-20 01:06:35,0.1060927491,2017-05-19 23:06:35,0.1532532
2017-05-20 02:06:35,0.1046062175,2017-05-20 00:06:35,0.153297
2017-05-20 03:06:35,0.1043288154,2017-05-20 01:06:35,0.1510953
2017-05-20 04:06:35,0.1041177469,2017-05-20 02:06:35,0.1546633
2017-05-20 05:06:35,0.1040380844,2017-05-20 03:06:35,0.1545603
2017-05-20 06:06:35,0.1035775582,2017-05-20 04:06:35,0.1556708
2017-05-20 07:06:35,0.1030292011,2017-05-20 05:06:35,0.1548928
2017-05-20 08:06:35,0.1025226124,2017-05-20 06:06:35,0.1567299
2017-05-20 09:06:35,0.1020942875,2017-05-20 07:06:35,0.1582557
2017-05-20 10:06:35,0.1017364887,2017-05-20 08:06:35,0.1623683
2017-05-20 11:06:35,0.1013061044,2017-05-20 09:06:35,0.1636286
2017-05-20 12:06:35,0.1011481282,2017-05-20 10:06:35,0.1636948
2017-05-20 13:06:35,0.1009239444,2017-05-20 11:06:35,0.1612042
2017-05-20 14:06:35,0.1004827777,2017-05-20 12:06:35,0.1598282
2017-05-20 15:06:35,0.1000748045,2017-05-20 13:06:35,0.1572443
2017-05-20 16:06:35,0.1000202557,2017-05-20 14:06:35,0.1578667
2017-05-20 17:06:35,0.0998294906,2017-05-20 15:06:35,0.156974
2017-05-20 18:06:35,0.099538653,2017-05-20 16:06:35,0.1536422
2017-05-20 19:06:35,0.0991609962,2017-05-20 17:06:35,0.1508921
2017-05-20 20:06:35,0.0989310694,2017-05-20 18:06:35,0.1517936
2017-05-20 21:06:35,0.0986258386,2017-05-20 19:06:35,0.1522059
2017-05-20 22:06:35,0.0984698798,2017-05-20 20:06:35,0.1504749
2017-05-20 23:06:35,0.0981177217,2017-05-20 21:06:35,0.1509776
2017-05-21 00:06:35,0.0978992565,2017-05-20 22:06:35,0.1487964
2017-05-21 00:21:35,0.0974164974,2017-05-20 23:06:35,0.1498466
2017-05-21 00:36:35,0.0970279923,2017-05-21 00:06:35,0.149763
2017-05-21 00:51:35,0.0970685594,2017-05-21 00:21:35,0.1501063
2017-05-21 01:06:35,0.0968769829,2017-05-21 00:36:35,0.1501578
2017-05-21 01:21:35,0.0969250691,2017-05-21 00:51:35,0.1507141
2017-05-21 01:36:35,0.0968393716,2017-05-21 01:06:35,0.1512315
2017-05-21 01:51:35,0.0966250268,2017-05-21 01:21:35,0.15114
2017-05-21 02:06:35,0.0964660762,2017-05-21 01:36:35,0.1507977
2017-05-21 02:21:35,0.0963456952,2017-05-21 01:51:35,0.1504486
2017-05-21 02:36:35,0.0963143419,2017-05-21 02:06:35,0.1495851
2017-05-21 02:51:35,0.096135059,2017-05-21 02:21:35,0.1496979
2017-05-21 03:06:35,0.096133255,2017-05-21 02:36:35,0.1495734
2017-05-21 03:21:35,0.0962215602,2017-05-21 02:51:35,0.1485464
2017-05-21 03:36:35,0.0963351867,2017-05-21 03:06:35,0.1487944
2017-05-21 03:51:35,0.0963729671,2017-05-21 03:21:35,0.1491134
2017-05-21 04:06:35,0.096367538,2017-05-21 03:36:35,0.1490745
2017-05-21 04:21:35,0.0962439242,2017-05-21 03:51:35,0.1491727
2017-05-21 04:36:35,0.0963791419,2017-05-21 04:06:35,0.1492437
2017-05-21 04:51:35,0.0965643961,2017-05-21 04:21:35,0.1493507
2017-05-21 05:06:35,0.096592995,2017-05-21 04:36:35,0.1496492
2017-05-21 05:21:35,0.0967563852,2017-05-21 04:51:35,0.1508512
2017-05-21 05:36:35,0.0966101726,2017-05-21 05:06:35,0.1503611
2017-05-21 05:51:35,0.0964321922,2017-05-21 05:21:35,0.1496522
2017-05-21 06:06:35,0.0966006302,2017-05-21 05:36:35,0.1505235
2017-05-21 06:21:35,0.0964307232,2017-05-21 05:51:35,0.150115
2017-05-21 06:36:35,0.0962980227,2017-05-21 06:06:35,0.1500343
2017-05-21 06:51:35,0.0964686121,2017-05-21 06:21:35,0.151885
2017-05-21 07:06:35,0.0963831497,2017-05-21 06:36:35,0.1519462
2017-05-21 07:21:35,0.0964049551,2017-05-21 06:51:35,0.1513063
2017-05-21 07:36:35,0.0963817858,2017-05-21 07:06:35,0.1515067
2017-05-21 07:51:35,0.0963664823,2017-05-21 07:21:35,0.1516204
2017-05-21 08:06:35,0.0963885366,2017-05-21 07:36:35,0.1505886
2017-05-21 08:21:35,0.0964276042,2017-05-21 07:51:35,0.1502531
2017-05-21 08:36:35,0.0964284837,2017-05-21 08:06:35,0.1497611
2017-05-21 08:51:35,0.0965996585,2017-05-21 08:21:35,0.1499137
2017-05-21 09:06:35,0.0967225239,2017-05-21 08:36:35,0.1487798
2017-05-21 09:21:35,0.0966055364,2017-05-21 08:51:35,0.1479873
2017-05-21 09:36:35,0.0966281023,2017-05-21 09:06:35,0.1476702
2017-05-21 09:51:35,0.0962429974,2017-05-21 09:21:35,0.1485124
2017-05-21 10:06:35,0.0961354561,2017-05-21 09:36:35,0.1479124
2017-05-21 10:21:35,0.0963296677,2017-05-21 09:51:35,0.1474164
2017-05-21 10:36:35,0.0966974878,2017-05-21 10:06:35,0.1475292
2017-05-21 10:51:35,0.0965833901,2017-05-21 10:21:35,0.1464595
2017-05-21 11:06:35,0.0966560456,2017-05-21 10:36:35,0.145911
2017-05-21 11:21:35,0.0970466489,2017-05-21 10:51:35,0.1462708
2017-05-21 11:36:35,0.0968136113,2017-05-21 11:06:35,0.1463817
2017-05-21 11:51:35,0.0965255776,2017-05-21 11:21:35,0.1450231
2017-05-21 12:06:35,0.0961722943,2017-05-21 11:36:35,0.1457515
2017-05-21 12:21:35,0.0958955168,2017-05-21 11:51:35,0.1460501
2017-05-21 12:36:35,0.0955442276,2017-05-21 12:06:35,0.1456844
2017-05-21 12:51:35,0.0951762222,2017-05-21 12:21:35,0.1470119
2017-05-21 13:06:35,0.0954817727,2017-05-21 12:36:35,0.1467746
2017-05-21 13:21:35,0.0952569902,2017-05-21 12:51:35,0.1464012
2017-05-21 13:36:35,0.0949165155,2017-05-21 13:06:35,0.1464323
2017-05-21 13:51:35,0.0939706577,2017-05-21 13:21:35,0.1470041
2017-05-21 14:06:35,0.0937386721,2017-05-21 13:36:35,0.1469691
2017-05-21 14:21:35,0.0931539932,2017-05-21 13:51:35,0.1459071
2017-05-21 14:36:35,0.0928324563,2017-05-21 14:06:35,0.1455415
2017-05-21 14:51:35,0.0922809389,2017-05-21 14:21:35,0.1450124
2017-05-21 15:06:35,0.0919304313,2017-05-21 14:36:35,0.1443648
2017-05-21 15:21:35,0.0915397252,2017-05-21 14:51:35,0.1436938
2017-05-21 15:36:35,0.0914853027,2017-05-21 15:06:35,0.1437025
2017-05-21 15:51:35,0.0911707576,2017-05-21 15:21:35,0.143685
2017-05-21 16:06:35,0.0908181666,2017-05-21 15:36:35,0.1433874
2017-05-21 16:21:35,0.0907928193,2017-05-21 15:51:35,0.1424996
2017-05-21 16:36:35,0.090518566,2017-05-21 16:06:35,0.1414191
2017-05-21 16:51:35,0.0903683247,2017-05-21 16:21:35,0.1410603
2017-05-21 17:06:35,0.0892452937,2017-05-21 16:36:35,0.1416331
2017-05-21 17:21:35,0.0892871061,2017-05-21 16:51:35,0.1410826
2017-05-21 17:36:35,0.0891456037,2017-05-21 17:06:35,0.1408084
2017-05-21 17:51:35,0.0896455882,2017-05-21 17:21:35,0.1413686
2017-05-21 18:06:35,0.0891478996,2017-05-21 17:36:35,0.1418237
2017-05-21 18:21:35,0.0888490436,2017-05-21 17:51:35,0.1426542
2017-05-21 18:36:35,0.0884547949,2017-05-21 18:06:35,0.1420279
2017-05-21 18:51:35,0.0881389509,2017-05-21 18:21:35,0.1405711
2017-05-21 19:06:35,0.0882377172,2017-05-21 18:36:35,0.1399974
2017-05-21 19:21:35,0.0882549147,2017-05-21 18:51:35,0.1395977
2017-05-21 19:36:35,0.0882962665,2017-05-21 19:06:35,0.1404077
2017-05-21 19:51:35,0.0882980936,2017-05-21 19:21:35,0.1410856
2017-05-21 20:06:35,0.0884275536,2017-05-21 19:36:35,0.1408872
2017-05-21 20:21:35,0.0884711454,2017-05-21 19:51:35,0.1414152
2017-05-21 20:36:35,0.0885771849,2017-05-21 20:06:35,0.1413997
2017-05-21 20:51:35,0.0887023597,2017-05-21 20:21:35,0.1406499
2017-05-21 21:06:35,0.0888205982,2017-05-21 20:36:35,0.1402084
2017-05-21 21:21:35,0.0891607604,2017-05-21 20:51:35,0.1401267
2017-05-21 21:36:35,0.0892463462,2017-05-21 21:06:35,0.1401053
2017-05-21 21:51:35,0.0891739714,2017-05-21 21:21:35,0.1398952
2017-05-21 22:06:35,0.0893647334,2017-05-21 21:36:35,0.1386009
2017-05-21 22:21:35,0.0895575828,2017-05-21 21:51:35,0.1382148
2017-05-21 22:36:35,0.0901276671,2017-05-21 22:06:35,0.1386193
2017-05-21 22:51:35,0.0904604536,2017-05-21 22:21:35,0.139904
2017-05-21 23:06:35,0.0907865003,2017-05-21 22:36:35,0.1413977
2017-05-21 23:21:35,0.0909375542,2017-05-21 22:51:35,0.1421592
2017-05-21 23:36:35,0.0911297361,2017-05-21 23:06:35,0.1416282
2017-05-21 23:51:35,0.0910968181,2017-05-21 23:21:35,0.1416029
2017-05-22 00:06:35,0.0906998711,2017-05-21 23:36:35,0.1419627
2017-05-22 00:21:35,0.0908217987,2017-05-21 23:51:35,0.1416486
2017-05-22 00:36:35,0.0908262792,2017-05-22 00:06:35,0.1415387
2017-05-22 00:51:35,0.0911444653,2017-05-22 00:21:35,0.1420464
2017-05-22 01:06:35,0.0912181506,2017-05-22 00:36:35,0.1424363
2017-05-22 01:21:35,0.0913240799,2017-05-22 00:51:35,0.1416593
2017-05-22 01:36:35,0.0915267463,2017-05-22 01:06:35,0.1417799
2017-05-22 01:51:35,0.0911165415,2017-05-22 01:21:35,0.1400693
2017-05-22 02:06:35,0.0910896764,2017-05-22 01:36:35,0.140365
2017-05-22 02:21:35,0.0911340852,2017-05-22 01:51:35,0.1410418
2017-05-22 02:36:35,0.0920510317,2017-05-22 02:06:35,0.1411332
2017-05-22 02:51:35,0.0917730836,2017-05-22 02:21:35,0.142097
2017-05-22 03:06:35,0.0919455202,2017-05-22 02:36:35,0.1419744
2017-05-22 03:21:35,0.0920281209,2017-05-22 02:51:35,0.1420843
2017-05-22 03:36:35,0.0924356291,2017-05-22 03:06:35,0.1424889
2017-05-22 03:51:35,0.0924959207,2017-05-22 03:21:35,0.1436053
2017-05-22 04:06:35,0.092539755,2017-05-22 03:36:35,0.1447859
2017-05-22 04:21:35,0.0922170071,2017-05-22 03:51:35,0.1446098
2017-05-22 04:36:35,0.0924188228,2017-05-22 04:06:35,0.1450095
2017-05-22 04:51:35,0.0925782868,2017-05-22 04:21:35,0.1457204
2017-05-22 05:06:35,0.0922553983,2017-05-22 04:36:35,0.1461678
2017-05-22 05:21:35,0.0921167198,2017-05-22 04:51:35,0.1458867
2017-05-22 05:36:35,0.0920068562,2017-05-22 05:06:35,0.1455512
2017-05-22 05:51:35,0.0929692353,2017-05-22 05:21:35,0.1439699
2017-05-22 06:06:35,0.0929706553,2017-05-22 05:36:35,0.1431978
2017-05-22 06:21:35,0.0927233536,2017-05-22 05:51:35,0.143792
2017-05-22 06:36:35,0.0916497394,2017-05-22 06:06:35,0.1446186
2017-05-22 06:51:35,0.0914994712,2017-05-22 06:21:35,0.144499
2017-05-22 07:06:35,0.0913733377,2017-05-22 06:36:35,0.1447538
2017-05-22 07:21:35,0.0917501896,2017-05-22 06:51:35,0.1452556
2017-05-22 07:36:35,0.0919578494,2017-05-22 07:06:35,0.144638
2017-05-22 07:51:35,0.0920606483,2017-05-22 07:21:35,0.1457126
2017-05-22 08:06:35,0.0921043925,2017-05-22 07:36:35,0.144886
2017-05-22 08:21:35,0.0919479695,2017-05-22 07:51:35,0.1457311
2017-05-22 08:36:35,0.0920160733,2017-05-22 08:06:35,0.1456047
2017-05-22 08:51:35,0.091921276,2017-05-22 08:21:35,0.144957
2017-05-22 09:06:35,0.0919703038,2017-05-22 08:36:35,0.1453207
2017-05-22 09:21:35,0.0919983135,2017-05-22 08:51:35,0.1442656
2017-05-22 09:36:35,0.0919537952,2017-05-22 09:06:35,0.1434565
2017-05-22 09:51:35,0.092013559,2017-05-22 09:21:35,0.1432027
2017-05-22 10:06:35,0.0920750389,2017-05-22 09:36:35,0.1427086
2017-05-22 10:21:35,0.0920381988,2017-05-22 09:51:35,0.1418431
2017-05-22 10:36:35,0.0921437014,2017-05-22 10:06:35,0.1417313
2017-05-22 10:51:35,0.0921740321,2017-05-22 10:21:35,0.1410321
2017-05-22 11:06:35,0.0924816218,2017-05-22 10:36:35,0.1410117
2017-05-22 11:21:35,0.0925185491,2017-05-22 10:51:35,0.1406402
2017-05-22 11:36:35,0.0925878982,2017-05-22 11:06:35,0.1398379
2017-05-22 11:51:35,0.0925224209,2017-05-22 11:21:35,0.1390511
2017-05-22 12:06:35,0.0923288907,2017-05-22 11:36:35,0.1400752
2017-05-22 12:21:35,0.0922273221,2017-05-22 11:51:35,0.1394158
2017-05-22 12:36:35,0.0923953829,2017-05-22 12:06:35,0.1387477
2017-05-22 12:51:35,0.0922940801,2017-05-22 12:21:35,0.1383004
2017-05-22 13:06:35,0.0923224628,2017-05-22 12:36:35,0.1388343
2017-05-22 13:21:35,0.0922414104,2017-05-22 12:51:35,0.1381701
2017-05-22 13:36:35,0.0920525633,2017-05-22 13:06:35,0.1384171
2017-05-22 13:51:35,0.0919231285,2017-05-22 13:21:35,0.137465
2017-05-22 14:06:35,0.0920788111,2017-05-22 13:36:35,0.1381146
2017-05-22 14:21:35,0.0920155611,2017-05-22 13:51:35,0.1377597
2017-05-22 14:36:35,0.0920806721,2017-05-22 14:06:35,0.1376819
2017-05-22 14:51:35,0.0921706872,2017-05-22 14:21:35,0.13782
2017-05-22 15:06:35,0.0922676735,2017-05-22 14:36:35,0.1379289
2017-05-22 15:21:35,0.0922015849,2017-05-22 14:51:35,0.1374845
2017-05-22 15:36:35,0.092280931,2017-05-22 15:06:35,0.1374407
2017-05-22 15:51:35,0.0921300914,2017-05-22 15:21:35,0.1391338
2017-05-22 16:06:35,0.0919789559,2017-05-22 15:36:35,0.1404019
2017-05-22 16:21:35,0.0916409199,2017-05-22 15:51:35,0.1406489
2017-05-22 16:36:35,0.0914099219,2017-05-22 16:06:35,0.1411595
2017-05-22 16:51:35,0.0911665431,2017-05-22 16:21:35,0.1399196
2017-05-22 17:06:35,0.0910798012,2017-05-22 16:36:35,0.1384706
2017-05-22 17:21:35,0.0906574767,2017-05-22 16:51:35,0.1393973
2017-05-22 17:36:35,0.0903516849,2017-05-22 17:06:35,0.140152
2017-05-22 17:51:35,0.0901566127,2017-05-22 17:21:35,0.1410136
2017-05-22 18:06:35,0.0899590586,2017-05-22 17:36:35,0.1399935
2017-05-22 18:21:35,0.0896945245,2017-05-22 17:51:35,0.1391241
2017-05-22 18:36:35,0.0893551189,2017-05-22 18:06:35,0.1387652
2017-05-22 18:51:35,0.0890772767,2017-05-22 18:21:35,0.1376829
2017-05-22 19:06:35,0.0889137708,2017-05-22 18:36:35,0.1376294
2017-05-22 19:21:35,0.0889773813,2017-05-22 18:51:35,0.1365956
2017-05-22 19:36:35,0.0890184612,2017-05-22 19:06:35,0.1370858
2017-05-22 19:51:35,0.0891419028,2017-05-22 19:21:35,0.1364031
2017-05-22 20:06:35,0.0892601196,2017-05-22 19:36:35,0.1368601
2017-05-22 20:21:35,0.0893912402,2017-05-22 19:51:35,0.1386067
2017-05-22 20:36:35,0.0894413151,2017-05-22 20:06:35,0.1397085
2017-05-22 20:51:35,0.0901371885,2017-05-22 20:21:35,0.1408123
2017-05-22 21:06:35,0.0899872651,2017-05-22 20:36:35,0.1390813
2017-05-22 21:21:35,0.0896879531,2017-05-22 20:51:35,0.1376877
2017-05-22 21:36:35,0.0894908808,2017-05-22 21:06:35,0.1355366
2017-05-22 21:51:35,0.0895248065,2017-05-22 21:21:35,0.1356474
2017-05-22 22:06:35,0.0896679074,2017-05-22 21:36:35,0.1356397
2017-05-22 22:21:35,0.0898983823,2017-05-22 21:51:35,0.1354004
2017-05-22 22:36:35,0.0899976218,2017-05-22 22:06:35,0.1362416
2017-05-22 22:51:35,0.0900268473,2017-05-22 22:21:35,0.1355599
2017-05-22 23:06:35,0.0902209068,2017-05-22 22:36:35,0.1356805
2017-05-22 23:21:35,0.0905841551,2017-05-22 22:51:35,0.1378064
2017-05-22 23:36:35,0.0909210061,2017-05-22 23:06:35,0.1377441
2017-05-22 23:51:35,0.0908910322,2017-05-22 23:21:35,0.1380495
2017-05-23 00:06:35,0.0910608636,2017-05-22 23:36:35,0.1398097
2017-05-23 00:21:35,0.0910834315,2017-05-22 23:51:35,0.1392612
2017-05-23 00:36:35,0.0910649372,2017-05-23 00:06:35,0.1391406
2017-05-23 00:51:35,0.0915724012,2017-05-23 00:21:35,0.1393769
2017-05-23 01:06:35,0.0918850732,2017-05-23 00:36:35,0.1395627
2017-05-23 01:21:35,0.0918124722,2017-05-23 00:51:35,0.1395646
2017-05-23 01:36:35,0.0921028552,2017-05-23 01:06:35,0.1409971
2017-05-23 01:51:35,0.0921191686,2017-05-23 01:21:35,0.1403465
2017-05-23 02:06:35,0.0920592445,2017-05-23 01:36:35,0.1399011
2017-05-23 02:21:35,0.0917623234,2017-05-23 01:51:35,0.140895
2017-05-23 02:36:35,0.0916431821,2017-05-23 02:06:35,0.1402308
2017-05-23 02:51:35,0.0915930291,2017-05-23 02:21:35,0.1404496
2017-05-23 03:06:35,0.091683737,2017-05-23 02:36:35,0.1384832
2017-05-23 03:21:35,0.0916759343,2017-05-23 02:51:35,0.1399205
2017-05-23 03:36:35,0.0916342378,2017-05-23 03:06:35,0.1405585
2017-05-23 03:51:35,0.091312026,2017-05-23 03:21:35,0.1422467
2017-05-23 04:06:35,0.0912877092,2017-05-23 03:36:35,0.143155
2017-05-23 04:21:35,0.0911845043,2017-05-23 03:51:35,0.1430694
2017-05-23 04:36:35,0.0908919147,2017-05-23 04:06:35,0.1438007
2017-05-23 04:51:35,0.0904637681,2017-05-23 04:21:35,0.1445437
2017-05-23 05:06:35,0.090395515,2017-05-23 04:36:35,0.1443249
2017-05-23 05:21:35,0.0901702327,2017-05-23 04:51:35,0.1438396
2017-05-23 05:36:35,0.08989498,2017-05-23 05:06:35,0.144394
2017-05-23 05:51:35,0.0898031236,2017-05-23 05:21:35,0.143014
2017-05-23 06:06:35,0.0896926168,2017-05-23 05:36:35,0.142343
2017-05-23 06:21:35,0.0896537762,2017-05-23 05:51:35,0.1425608
2017-05-23 06:36:35,0.089445599,2017-05-23 06:06:35,0.1427864
2017-05-23 06:51:35,0.0892123325,2017-05-23 06:21:35,0.1442393
2017-05-23 07:06:35,0.0890357327,2017-05-23 06:36:35,0.1445476
2017-05-23 07:21:35,0.0890251198,2017-05-23 06:51:35,0.143508
2017-05-23 07:36:35,0.0889307881,2017-05-23 07:06:35,0.1416924
2017-05-23 07:51:35,0.0890169373,2017-05-23 07:21:35,0.1409689
2017-05-23 08:06:35,0.0892028682,2017-05-23 07:36:35,0.1426318
2017-05-23 08:21:35,0.0893269518,2017-05-23 07:51:35,0.1417527
2017-05-23 08:36:35,0.0895463414,2017-05-23 08:06:35,0.1422457
2017-05-23 08:51:35,0.0896693294,2017-05-23 08:21:35,0.1433563
2017-05-23 09:06:35,0.089741795,2017-05-23 08:36:35,0.142483
2017-05-23 09:21:35,0.0898344511,2017-05-23 08:51:35,0.142342
2017-05-23 09:36:35,0.0893284489,2017-05-23 09:06:35,0.1420473
2017-05-23 09:51:35,0.089459232,2017-05-23 09:21:35,0.1435489
2017-05-23 10:06:35,0.0898821151,2017-05-23 09:36:35,0.143224
2017-05-23 10:21:35,0.0904441938,2017-05-23 09:51:35,0.1430704
2017-05-23 10:36:35,0.0907902533,2017-05-23 10:06:35,0.1410642
2017-05-23 10:51:35,0.0910088907,2017-05-23 10:21:35,0.1412752
2017-05-23 11:06:35,0.0912931618,2017-05-23 10:36:35,0.1407024
2017-05-23 11:21:35,0.0915845918,2017-05-23 10:51:35,0.1398369
2017-05-23 11:36:35,0.091828249,2017-05-23 11:06:35,0.13987
