"GROMOS 54A7, x","GROMOS 54A7, y","GROMOS 54A7, z","CHARMM 36/PAR, x; OPLS-AA/L, x","CHARMM 36/PAR, y","CHARMM 36/PAR, z","OPLS-AA/L, y","OPLS-AA/L, z","AMBER 99SB-ILDN, x","AMBER 99SB-ILDN, y","AMBER 99SB-ILDN, z","MARTINI, x","MARTINI, y","MARTINI, z"
9.3999996185,7.3942317963,-9.4414644241,9.3999996185,9.1620912552,2.6082835197,-5.7832736969,-0.3628740311,9.3999996185,6.8082356453,9.8368320465,9.3999996185,3.1162002087,14.076415062
9.6000003815,7.8463864326,-9.3227834702,9.6000003815,8.5881175995,1.6869851351,-6.4444952011,-0.1835991591,9.6000003815,5.1877131462,8.0093793869,9.6000003815,5.7197399139,13.4834604263
9.8000001907,6.4304332733,-8.3140821457,9.8000001907,7.9486465454,3.3031907082,-6.9697961807,-1.1042050123,9.8000001907,5.085793972,10.4203977585,9.8000001907,4.425110817,14.5549974442
10.0,5.9618844986,-9.2152233124,10.0,4.4923410416,2.60364151,-6.5970540047,-1.4984300137,10.0,5.7679238319,13.959692955,10.0,6.2207689285,13.3129472733
10.1999998093,7.2711491585,-8.1970968246,10.1999998093,7.8841505051,1.4227931499,-6.2082939148,-1.7879600525,10.1999998093,4.9103775024,13.1068658829,10.1999998093,4.9248156548,13.4473056793
10.3999996185,7.860871315,-8.147685051,10.3999996185,7.8916387558,0.906247139,-6.06442976,-1.5807527304,10.3999996185,5.8294692039,10.4738864899,10.3999996185,3.4167084694,14.4174404144
10.6000003815,7.5653743744,-9.1061487198,10.6000003815,5.9993171692,0.9673442245,-6.3812294006,-1.4469439983,10.6000003815,4.6115288734,10.8466424942,10.6000003815,5.9754362106,16.0420303345
10.8000001907,8.4062099457,-9.5349664688,10.8000001907,9.2144498825,-0.4693531096,-7.2145195007,-0.7855998874,10.8000001907,2.2669432163,8.5165119171,10.8000001907,3.3302118778,15.7697725296
11.0,8.2239522934,-9.4190597534,11.0,7.0513296127,0.7221285701,-6.1661772728,-1.8189253807,11.0,3.9702153206,9.663819313,11.0,2.9781451225,13.1045160294
11.1999998093,8.414560318,-9.9189443588,11.1999998093,7.0403547287,0.2506976128,-6.2780137062,-2.3012363911,11.1999998093,6.6482195854,7.2622346878,11.1999998093,2.3746151924,12.0336370468
11.3999996185,8.8164310455,-10.7531242371,11.3999996185,6.6051535606,2.1747674942,-6.7072544098,-3.1468939781,11.3999996185,8.0177745819,8.2791156769,11.3999996185,2.9699225426,11.7518072128
11.6000003815,9.2071485519,-8.6490278244,11.6000003815,4.7762756348,1.6794873476,-6.2285814285,-2.5929501057,11.6000003815,6.1079845428,11.5737228394,11.6000003815,2.0584824085,11.1905012131
11.8000001907,8.8322219849,-9.6101055145,11.8000001907,1.9338970184,0.057548739,-6.9152994156,-2.762294054,11.8000001907,7.2159285545,11.4881134033,11.8000001907,1.4490760565,12.1537599564
12.0,8.8868608475,-9.0631313324,12.0,1.9052891731,-1.2023575306,-7.0733690262,-2.241648674,12.0,7.6729178429,8.9805736542,12.0,2.2922859192,12.2816944122
12.1999998093,9.0696735382,-9.3735876083,12.1999998093,1.3401304483,-1.2478153706,-6.5101881027,-2.4511430264,12.1999998093,8.0734376907,6.7995958328,12.1999998093,2.5511550903,13.396525383
12.3999996185,9.4942836761,-9.0803318024,12.3999996185,2.7072277069,-0.0282221958,-6.9975991249,-1.2354912758,12.3999996185,11.3703775406,8.6914377213,12.3999996185,3.6720547676,12.7129392624
12.6000003815,9.245013237,-9.4941396713,12.6000003815,2.2906017303,0.5239012241,-6.914077282,-2.1205761433,12.6000003815,7.969168663,8.357088089,12.6000003815,2.3691060543,13.0548362732
12.8000001907,9.920463562,-10.1872549057,12.8000001907,1.0666027069,-0.531686902,-6.4143452644,-3.320435524,12.8000001907,7.5780115128,7.7703604698,12.8000001907,4.1018037796,13.8464765549
13.0,8.6925926208,-10.2824993134,13.0,1.3104301691,0.7406174541,-5.8957433701,-2.9839468002,13.0,6.4069867134,3.8702366352,13.0,3.2025830746,11.9891843796
13.1999998093,9.1730880737,-9.3650531769,13.1999998093,1.3165516853,1.2524981499,-6.301756382,-3.7475936413,13.1999998093,6.1277542114,4.1318554878,13.1999998093,3.7597777843,10.5156078339
13.3999996185,8.3261671066,-10.5766944885,13.3999996185,1.3228150606,1.3033649921,-6.7592606544,-2.5285146236,13.3999996185,6.3575429916,3.3012223244,13.3999996185,3.436880827,9.9808616638
13.6000003815,8.2895536423,-11.0961017609,13.6000003815,1.6500017643,-0.1977537423,-5.5543723106,-2.5252819061,13.6000003815,6.0503139496,4.3763546944,13.6000003815,2.8850560188,9.7952032089
13.8000001907,8.4997224808,-11.0205278397,13.8000001907,-1.1093248129,-1.2260708809,-5.6477446556,-2.0365233421,13.8000001907,3.4751191139,2.3874812126,13.8000001907,3.2552499771,9.9328708649
14.0,8.2812013626,-10.8331460953,14.0,-0.6481666565,-2.0472993851,-6.1745500565,-1.9006943703,14.0,2.8774800301,2.9703338146,14.0,3.9660382271,9.4721164703
14.1999998093,7.8498363495,-10.3580942154,14.1999998093,-0.9974474311,-0.162561208,-6.5963859558,-1.7284748554,14.1999998093,1.0534534454,0.9857631922,14.1999998093,3.7723619938,10.7957172394
14.3999996185,8.840426445,-10.6885709763,14.3999996185,0.7172278166,1.0696109533,-4.6383132935,-1.6987563372,14.3999996185,2.8811700344,2.5591645241,14.3999996185,3.7430839539,10.578040123
14.6000003815,8.9264287949,-10.6130247116,14.6000003815,-1.1134113073,4.3334088326,-6.5260396004,-1.5901082754,14.6000003815,4.5073151588,3.3347744942,14.6000003815,2.6792402267,9.2901029587
14.8000001907,7.9085335732,-10.9390478134,14.8000001907,-0.7086589336,2.7855978012,-5.7068200111,-0.1466802061,14.8000001907,1.6070902348,4.962082386,14.8000001907,3.355535984,9.5440673828
15.0,7.4261956215,-11.585486412,15.0,-0.5239936113,2.982462883,-6.8514494896,-0.0233992413,15.0,4.4657793045,4.7818040848,15.0,3.5831696987,9.2743310928
15.1999998093,8.9204406738,-10.6145181656,15.1999998093,-0.1370699704,4.5039339066,-6.3273653984,-0.270209074,15.1999998093,4.476773262,3.7868592739,15.1999998093,3.74243927,9.0449523926
15.3999996185,8.6109542847,-10.7826929092,15.3999996185,-1.0692937374,4.264436245,-5.6629462242,-0.4979333282,15.3999996185,4.5043234825,0.9966742992,15.3999996185,5.0506210327,8.6543712616
15.6000003815,8.865606308,-11.3553180695,15.6000003815,-3.5771028996,6.0995707512,-5.3531589508,-1.8504822254,15.6000003815,2.7541766167,-0.1405143142,15.6000003815,3.9500367641,7.3212900162
15.8000001907,7.5679678917,-12.0760774612,15.8000001907,-3.6207714081,6.1203694344,-4.8236632347,-1.6448545456,15.8000001907,0.8216314316,-0.1962762624,15.8000001907,3.0192229748,5.2898464203
16.0,8.0344324112,-11.3249292374,16.0,-4.7840390205,5.2717442513,-4.6405806541,-2.7019748688,16.0,1.2832896709,0.6494858861,16.0,3.3782982826,5.8042230606
16.2000007629,9.1531019211,-10.0908069611,16.2000007629,-1.5426219702,6.5301961899,-4.4785704613,-3.0004248619,16.2000007629,2.2886483669,2.8236441612,16.2000007629,3.673227787,5.093064785
16.3999996185,8.1738014221,-10.0010089874,16.3999996185,-2.7445776463,5.7032732964,-4.4598155022,-2.6267507076,16.3999996185,2.2800855637,4.5693545341,16.3999996185,3.2043511868,6.0643196106
16.6000003815,8.5878772736,-9.9351329803,16.6000003815,-4.6789860725,5.8564109802,-4.4183831215,-3.451281786,16.6000003815,2.995013237,3.9468154907,16.6000003815,3.2895064354,5.9067521095
16.7999992371,8.7753162384,-10.7188844681,16.7999992371,-4.1438026428,6.2904920578,-4.1226973534,-2.5535583496,16.7999992371,4.2888445854,4.9409236908,16.7999992371,3.2103457451,6.0171656609
17.0,8.6575489044,-10.6896781921,17.0,-2.1159565449,5.639623642,-4.4738588333,-2.0607738495,17.0,6.9929347038,2.6787469387,17.0,4.4653401375,5.4193334579
17.2000007629,8.1481790543,-10.3027267456,17.2000007629,-3.207010746,5.2336244583,-4.7133569717,-2.906961441,17.2000007629,5.8643784523,1.7798730135,17.2000007629,5.5892629623,6.3554162979
17.3999996185,7.1786837578,-11.2644529343,17.3999996185,-4.4787073135,5.037800312,-4.3368039131,-2.599395752,17.3999996185,5.2207827568,4.0284724236,17.3999996185,4.6637740135,5.7465891838
17.6000003815,7.1114916801,-12.4327516556,17.6000003815,-5.5302724838,6.1880273819,-3.6214997768,-2.9443006516,17.6000003815,4.7319498062,5.2347869873,17.6000003815,6.1249880791,5.3763399124
17.7999992371,7.526966095,-11.3064851761,17.7999992371,-6.7495350838,6.7133669853,-4.7944259644,-2.765486002,17.7999992371,6.8388762474,7.0976037979,17.7999992371,4.9791073799,5.8969211578
18.0,7.0664801598,-11.5016536713,18.0,-2.3466820717,5.8049402237,-3.8312764168,-2.3265545368,18.0,8.0516901016,5.4732871056,18.0,4.837574482,5.8782010078
18.2000007629,6.6755447388,-11.3051137924,18.2000007629,-3.9066879749,4.156701088,-2.5490646362,-2.6565315723,18.2000007629,7.0891575813,5.9593029022,18.2000007629,4.9449572563,6.3784322739
18.3999996185,6.6346912384,-11.234752655,18.3999996185,-3.476269722,3.8702716827,-3.3298990726,-2.9650859833,18.3999996185,2.286367178,5.4145565033,18.3999996185,4.7578558922,6.1133646965
18.6000003815,7.1985983849,-10.6559944153,18.6000003815,-1.5377247334,3.5112066269,-3.3752186298,-3.0349304676,18.6000003815,2.4660830498,3.2555832863,18.6000003815,4.4008903503,6.9869856834
18.7999992371,7.4133019447,-10.3078536987,18.7999992371,-0.9893016815,3.784589529,-3.3432278633,-2.5567107201,18.7999992371,3.1328544617,4.950170517,18.7999992371,5.3353924751,7.1755957603
19.0,7.9641561508,-9.5424060822,19.0,-0.5736021399,4.1671805382,-4.094935894,-2.3306231499,19.0,3.065636158,5.2546525002,19.0,5.5995759964,7.022154808
19.2000007629,9.0423173904,-10.1588010788,19.2000007629,1.8416169882,2.7295126915,-3.4759509563,-3.2436199188,19.2000007629,4.7757773399,6.5694212914,19.2000007629,5.019194603,4.5909452438
19.3999996185,9.2030391693,-9.9036884308,19.3999996185,1.0616724491,3.7567594051,-4.1883225441,-3.06143713,19.3999996185,5.4517936707,8.4705648422,19.3999996185,5.8955359459,4.6691527367
19.6000003815,9.3837451935,-10.1974534988,19.6000003815,-1.3630675077,5.5930514336,-4.9658837318,-3.5833015442,19.6000003815,6.1495394707,9.5907278061,19.6000003815,6.8060421944,4.4807653427
19.7999992371,8.7809915543,-11.0884561539,19.7999992371,3.0650475025,6.0293006897,-4.1478009224,-3.6260006428,19.7999992371,7.3061690331,10.9511804581,19.7999992371,5.6146149635,3.7103376389
20.0,8.8853120804,-11.8617124557,20.0,3.7497758865,6.9941649437,-3.9636654854,-2.5763657093,20.0,5.6477122307,8.4938116074,20.0,4.6917409897,3.0756397247
20.2000007629,9.0939674377,-10.8602457047,20.2000007629,4.4288887978,6.6563262939,-4.9368834496,-2.1707117558,20.2000007629,6.7433300018,6.7069807053,20.2000007629,4.7752304077,3.2978801727
20.3999996185,9.9599504471,-10.1552000046,20.3999996185,3.8230843544,7.7428789139,-4.598610878,-3.5009255409,20.3999996185,7.8099708557,2.7270393372,20.3999996185,5.0371527672,3.4058234692
20.6000003815,9.3879175186,-9.4270420074,20.6000003815,3.5046811104,6.5658168793,-5.0984711647,-3.7055594921,20.6000003815,6.5574803352,2.275103569,20.6000003815,5.3155217171,3.3571927547
20.7999992371,8.796713829,-11.419178009,20.7999992371,1.4591503143,5.1513166428,-4.810131073,-3.7131664753,20.7999992371,4.6296520233,-0.2753069103,20.7999992371,4.0866060257,3.9176483154
21.0,8.7448225021,-12.0715618134,21.0,1.7366307974,6.473449707,-5.0440244675,-2.4951295853,21.0,6.0926513672,-0.555719018,21.0,2.7997934818,2.4601349831
21.2000007629,8.2927131653,-12.3424663544,21.2000007629,3.8992667198,4.8935875893,-4.9246520996,-3.4183988571,21.2000007629,9.0294857025,1.8270549774,21.2000007629,3.6385912895,2.4082384109
21.3999996185,8.4819097519,-12.8167419434,21.3999996185,4.4475054741,3.677500248,-5.0657172203,-3.0640547276,21.3999996185,7.81031847,4.9199213982,21.3999996185,3.8305885792,3.5835649967
21.6000003815,8.6678028107,-12.8580856323,21.6000003815,2.6969931126,1.2858834267,-5.1059012413,-3.1368699074,21.6000003815,7.3997325897,4.1751961708,21.6000003815,3.9762368202,4.9313344955
21.7999992371,8.3327407837,-12.1746749878,21.7999992371,4.4228682518,1.0651990175,-4.691347599,-1.8966290951,21.7999992371,7.8867549896,1.4817578793,21.7999992371,2.5952558517,6.4794015884
22.0,8.9739313126,-11.1184186935,22.0,3.1671319008,1.4369688034,-5.6120085716,-4.1752605438,22.0,8.0674114227,1.6214447021,22.0,3.0719408989,6.1288795471
22.2000007629,8.8908014297,-10.8656845093,22.2000007629,3.1292085648,0.7088597417,-5.8136014938,-2.1209774017,22.2000007629,10.6448554993,3.6871452332,22.2000007629,1.0837709904,6.6038069725
22.3999996185,9.424946785,-11.3935623169,22.3999996185,3.3964447975,1.2903370857,-5.6278610229,-2.6577577591,22.3999996185,10.6420440674,1.6641879082,22.3999996185,1.3326182365,5.773806572
22.6000003815,8.4721126556,-12.1146039963,22.6000003815,4.8280611038,1.8204132318,-5.1536517143,-2.6704540253,22.6000003815,10.2039728165,4.1808238029,22.6000003815,1.2967143059,6.3639125824
22.7999992371,9.1840543747,-11.4267139435,22.7999992371,4.9197945595,2.1655955315,-4.5192928314,-2.7462990284,22.7999992371,13.6086063385,7.4499211311,22.7999992371,2.2921876907,6.3158283234
23.0,8.934586525,-13.0365762711,23.0,2.9854950905,2.8333895206,-4.7730469704,-3.0828828812,23.0,13.082321167,6.9690160751,23.0,1.2498427629,6.4584054947
23.2000007629,8.2197294235,-13.6331939697,23.2000007629,4.3447589874,2.0962142944,-4.4767642021,-2.769803524,23.2000007629,9.8690319061,3.55676651,23.2000007629,1.5373561382,6.0387225151
23.3999996185,9.1806993484,-12.6399688721,23.3999996185,4.412979126,2.7535943985,-4.541580677,-2.3695263863,23.3999996185,12.3132171631,3.5371985435,23.3999996185,0.3678726852,5.6790933609
23.6000003815,8.1252355576,-12.0213003159,23.6000003815,4.2086219788,3.2771046162,-4.5878052711,-3.1819086075,23.6000003815,11.2754364014,3.1602048874,23.6000003815,0.6752600074,6.7879371643
23.7999992371,8.611448288,-11.896856308,23.7999992371,4.0051474571,1.9471569061,-5.1571106911,-4.5691285133,23.7999992371,11.6399593353,5.0364484787,23.7999992371,1.1260699034,6.4922323227
24.0,9.5407028198,-10.8691568375,24.0,4.1021461487,0.4129443169,-5.1188797951,-3.3873403072,24.0,9.9082679749,5.9151105881,24.0,2.1729950905,6.9914188385
24.2000007629,8.8517847061,-12.0132217407,24.2000007629,3.9480834007,0.8134846687,-4.2591032982,-3.2298669815,24.2000007629,14.2349414825,3.1664340496,24.2000007629,1.0369212627,5.1249036789
24.3999996185,8.4688930511,-12.1396722794,24.3999996185,4.3585104942,0.7268465161,-5.0742940903,-2.386548996,24.3999996185,14.3434152603,5.4375543594,24.3999996185,2.1587955952,7.0592503548
24.6000003815,8.8381061554,-11.7674503326,24.6000003815,4.0463728905,0.6405684352,-4.5086550713,-3.6341867447,24.6000003815,15.4397449493,5.2222366333,24.6000003815,3.7514061928,6.3041548729
24.7999992371,8.8750228882,-12.0203742981,24.7999992371,3.325109005,-0.4825123847,-4.2676181793,-2.5317943096,24.7999992371,16.1578330994,2.4082653522,24.7999992371,3.4789226055,6.9830789566
25.0,9.5634469986,-11.7318782806,25.0,2.9179990292,-2.0300643444,-3.2588748932,-3.0541014671,25.0,13.8946475983,0.5750980377,25.0,3.833476305,5.8776345253
25.2000007629,9.2112159729,-11.8269062042,25.2000007629,2.2687518597,-0.3140698373,-4.1228685379,-2.8434350491,25.2000007629,11.8888053894,1.8121523857,25.2000007629,3.1828286648,7.7190899849
25.3999996185,8.1948032379,-12.7889575958,25.3999996185,2.6582520008,-0.9581699371,-3.4365401268,-2.6949591637,25.3999996185,12.6098022461,4.5861077309,25.3999996185,2.2787361145,6.5383148193
25.6000003815,9.2046861649,-11.8973855972,25.6000003815,2.8529093266,-0.9935221672,-4.2740149498,-3.3153455257,25.6000003815,13.9696712494,5.8839530945,25.6000003815,2.3161125183,6.154294014
25.7999992371,9.1702528,-12.0351495743,25.7999992371,4.0417046547,1.0860798359,-3.4942281246,-2.6993947029,25.7999992371,11.2153654099,2.436798811,25.7999992371,1.7908241749,5.9868664742
26.0,8.1391687393,-10.8442382812,26.0,4.2422013283,0.5416038036,-3.8238449097,-3.1439824104,26.0,13.550661087,4.022808075,26.0,2.1738107204,4.7727799416
26.2000007629,8.7182617188,-10.5007152557,26.2000007629,2.8276913166,-0.1850299239,-4.1110420227,-3.4643068314,26.2000007629,14.5496292114,7.0810313225,26.2000007629,1.7947803736,5.7161545753
26.3999996185,9.2076883316,-10.3703937531,26.3999996185,2.1889419556,-0.9290909171,-4.6031107903,-4.7807917595,26.3999996185,13.6448793411,7.9848365784,26.3999996185,2.5165390968,5.0921545029
26.6000003815,9.0302000046,-11.7753505707,26.6000003815,4.3821902275,0.7045705914,-5.0207738876,-3.7431151867,26.6000003815,10.0487117767,6.4286189079,26.6000003815,2.4389131069,5.2188754082
26.7999992371,9.091345787,-11.3959236145,26.7999992371,3.3823912144,-0.4708020091,-4.8777580261,-3.8966124058,26.7999992371,12.0044765472,8.0141448975,26.7999992371,1.3897128105,5.3596973419
27.0,8.4221982956,-10.7963943481,27.0,3.5164074898,0.6283316016,-4.9844293594,-3.9265637398,27.0,7.1807599068,3.7606225014,27.0,2.9184370041,6.6331682205
27.2000007629,9.6863994598,-10.9339952469,27.2000007629,4.048204422,0.897033155,-4.6401124001,-3.3807587624,27.2000007629,9.3447399139,5.039044857,27.2000007629,2.7970104218,6.9651927948
27.3999996185,9.1899461746,-9.5874462128,27.3999996185,3.5721626282,0.4380993545,-4.5536394119,-3.9795184135,27.3999996185,10.549407959,6.7002353668,27.3999996185,2.4055895805,6.0281319618
