"Sensitive Receptor, x","Sensitive Receptor, y","Sensitive Receptor, text","Construction, x","Construction, y","Construction, text","Ambient, x","Ambient, y","Ambient, text"
2017-09-11 01:54:00,66.5,OC3_170911_0154,2016-08-22 21:08:00,70.9,ASU_160822_2108,2017-09-17 19:56:00,65.9,OC3_170917_1956
2017-08-13 09:28:00,72.7,OC3_170813_0928,2016-11-06 09:04:00,62.9,AGS_161106,2017-09-18 18:59:00,69.5,OC3_170918_1859
2017-08-13 12:40:00,64.6,OC3_170813_1240,2017-06-21 18:19:00,74.0,OC3_170621_1819,2017-09-20 19:29:00,68.8,OC3_170920_1929
2017-08-20 13:12:00,71.6,OC3_170820_1312,2017-06-21 18:57:00,74.1,OC3_170621_1857,2017-09-21 18:57:00,69.0,OC3_170921_1857
2017-09-03 22:06:00,67.5,OC3_170903_2206,2017-06-21 19:48:00,70.1,OC3_170621_1948,2017-09-24 20:38:00,71.3,OC3_170924_2038
2017-09-03 22:33:00,69.2,OC3_170903_2233,2017-06-26 18:22:00,67.3,OC3_170626_1822,2017-09-24 20:01:00,66.4,OC3_170924_2001
2017-09-04 22:07:00,64.1,OC3_170904_2207,2017-06-26 20:03:00,67.8,OC3_170626_2003,2017-09-25 18:57:00,71.3,OC3_170925_1857
2017-09-05 00:32:00,66.0,OC3_170904_0032,2017-03-28 01:25:00,72.1,OC3_170328_0125,2017-09-26 19:02:00,72.3,OC3_170926_1902
2017-09-05 21:28:00,69.2,OC3_170905_2128,2017-03-28 03:05:00,73.1,OC3_170328_0305,2017-09-27 19:59:00,66.1,OC3_170927_1959
2017-09-05 23:00:00,70.4,OC3_170905_2300,2017-03-28 03:55:00,70.0,OC3_170328_0355,2017-09-05 20:43:00,67.3,AGS_170905_2043
2017-09-06 23:19:00,65.3,OC3_170906_2319,2017-03-28 23:25:00,77.6,OC3_170328_2325,2017-09-28 18:46:00,71.0,OC3_170928_1846
2017-09-06 23:55:00,67.1,OC3_170906_2355,2017-03-29 00:07:00,74.9,OC3_170329_0007,2017-10-01 19:52:00,66.9,OC3_171001_1952
2017-09-13 00:13:00,61.7,OC3_170913_0012,2017-03-29 04:33:00,76.1,OC3_170329_0433,2017-10-02 20:03:00,67.6,OC3_171002_2003
2017-09-15 00:18:00,65.2,OC3_170915_0018,2017-04-03 23:17:00,72.8,OC3_170403_2317,2017-10-03 19:40:00,70.9,OC3_171003_1940
2017-09-17 22:59:00,69.0,OC3_170917_2259,2017-04-04 01:11:00,73.7,OC3_170404_0111,2017-10-04 18:43:00,69.2,OC3_171004_1843
2017-09-18 22:58:00,67.8,OC3_170918_2258,2017-04-04 03:44:00,75.0,OC3_170404_0344,2017-10-05 19:30:00,68.9,OC3_171005_1930
2017-09-21 01:45:00,64.5,OC3_170921_0145,2017-04-04 23:18:00,70.9,OC3_170404_2318,2017-10-08 19:56:00,66.7,OC3_171008_1956
2017-09-19 23:31:00,69.3,OC3_170919_2331,2017-04-05 01:15:00,74.8,OC3_170405_0115,2017-10-09 20:10:00,65.9,OC3_171009_2010
2017-09-20 00:02:00,68.5,OC3_170920_0002,2017-04-26 00:11:00,68.0,OC3_170426_0017,2017-10-10 20:17:00,66.6,OC3_171010_2017
2017-09-22 00:23:00,73.6,OC3_170922_0023,2017-04-26 03:30:00,75.5,OC3_170426_0330,2017-10-12 20:11:00,64.3,OC3_171012_2011
2017-09-25 00:06:00,66.4,OC3_170925_0006,2017-04-26 05:07:00,75.8,OC3_170426_0507,2017-10-16 19:58:00,68.3,OC3_171016_1958
2017-09-24 22:50:00,69.2,OC3_170924_2250,2017-05-30 19:13:00,80.8,OC3_170530_1913,2017-11-16 19:28:00,68.9,OC3_171116_1928
2017-09-25 23:07:00,66.1,OC3_170925_2307,2017-07-31 20:18:00,72.5,AGS_170801_2018,2017-11-19 19:21:00,60.2,OC3_171119_1921
2017-09-26 23:49:00,67.1,OC3_170926_2349,2017-08-07 23:57:00,64.2,AGS_170808_2129,2017-11-20 19:24:00,65.8,OC3_171120_1924
2017-09-27 23:38:00,65.0,OC3_170927_2338,2017-08-07 21:29:00,64.3,AGS_170808_2357,2017-11-21 19:06:00,64.7,OC3_171121_1906
2017-09-29 00:23:00,64.9,OC3_170929_0023,2017-08-08 00:40:00,91.3,AGS_170808_2129,2017-11-26 19:40:00,65.6,OC3_171126_1940
2017-10-01 23:56:00,64.3,OC3_171001_2356,2017-08-15 20:43:00,60.7,AGS_170816_2043,2017-11-27 19:28:00,64.3,OC3_171127_1928
2017-10-03 00:10:00,67.7,OC3_171003_0110,2017-08-15 23:00:00,83.1,AGS_170816_2300,2017-11-28 18:54:00,64.3,OC3_171128_1854
2017-10-03 22:27:00,72.5,OC3_171003_2227,2017-08-22 22:15:00,65.9,AGS_170823_2215,2017-12-03 23:38:00,61.7,OC3_171203_1928
2017-10-01 23:23:00,65.8,OC3_171001_2322,2017-08-22 22:52:00,68.3,AGS_170822_2252,2017-12-04 19:17:00,61.5,OC3_171204_1917
2017-10-04 22:10:00,76.8,OC3_171004_2210,2017-08-23 00:10:00,85.9,AGS_170823_0010,2017-12-05 19:21:00,64.6,OC3_171205_1921
2017-10-05 00:23:00,72.7,OC3_171005_0023,2017-08-28 22:57:00,82.0,AGS_170829_2257,2017-12-06 19:40:00,61.9,OC3_171206_1940
2017-10-05 22:20:00,73.8,OC3_171005_2220,2017-08-29 01:44:00,83.2,AGS_170829_0144,2017-10-02 20:57:00,58.1,AGS_171003_2157
2017-10-08 23:12:00,81.5,OC3_171008_2312,2017-09-06 21:18:00,67.2,AGS_170906_2118,2017-10-11 21:51:00,65.6,AGS_171010_2151
2017-10-09 01:57:00,81.3,OC3_171009_0157,2017-09-05 22:12:00,88.6,AGS_170906_2212,2017-10-16 20:38:00,59.6,AGS_171016_2038
2017-10-09 02:35:00,70.5,OC3_171009_0235,2017-09-06 00:26:00,67.6,AGS_170906_2112,2017-11-01 19:39:00,68.4,AGS_171101_1939
2017-10-10 23:19:00,73.2,OC3_171009_2219,2017-09-06 23:12:00,63.2,AGS_170906_0026,2017-11-13 20:27:00,63.7,AGS_171113_2027
2017-10-10 00:06:00,76.0,OC3_171010_0006,2017-09-11 20:26:00,69.1,AGS_170912_2026,2017-12-04 19:56:00,60.3,AGS_171204_1956
2017-10-10 23:13:00,77.7,OC3_171010_2213,2017-09-11 23:05:00,89.0,AGS_170912_2305,2017-12-07 19:28:00,66.7,OC3_171206_1940
2017-10-11 02:05:00,74.2,OC3_171011_0205,2017-09-20 23:55:00,76.1,AGS_170921_2355,2017-12-11 19:08:00,59.4,OC3_171211_1908
2017-10-12 22:32:00,72.3,OC3_171012_2232,2017-09-26 21:28:00,72.0,AGS_170926_2128,2017-11-16 20:43:00,76.4,AGS_171116_2043
2017-10-13 02:08:00,65.5,OC3_171013_0208,2017-09-28 11:16:00,87.3,AGS_170928_1106,2018-01-10 19:36:00,60.9,AGS_180111_1936
2017-10-13 02:29:00,72.8,OC3_171013_0229,2017-08-15 23:58:00,60.9,170815_2358,,,
2017-10-17 01:10:00,79.7,OC3_171017_0110,2017-07-22 01:40:00,89.2,170722_0140,,,
2017-10-20 00:50:00,75.9,OC3_171020_0050,2017-11-17 01:24:00,67.3,OC3_171117_0124,,,
2017-10-29 23:27:00,60.6,OC3_171029_1127,2017-11-29 22:10:00,66.4,OC3_171129_2210,,,
2017-11-05 12:21:00,84.7,OC3_171105_1221,2017-10-02 22:23:00,77.8,AGS_171002_2223,,,
2017-11-14 21:34:00,63.3,OC3_171114_2134,2017-10-10 23:00:00,85.9,AGS_171010_2300,,,
2017-11-15 02:10:00,62.5,OC3_171115_0210,2017-10-16 23:00:00,89.6,AGS_171016_2300,,,
2017-11-19 22:20:00,56.7,OC3_171119_2220,2017-11-01 21:36:00,63.9,AGS_171101_2136,,,
2017-11-20 23:55:00,56.6,OC3_171120_2355,2017-11-13 21:34:00,71.3,AGS_171113_2134,,,
2017-11-22 00:08:00,57.9,OC3_171122_0008,2017-11-20 21:06:00,83.6,AGS_171120_2106,,,
2017-11-26 21:44:00,66.3,OC3_171126_2144,2017-11-27 21:51:00,84.9,AGS_171127_2151,,,
2017-11-28 01:10:00,56.6,OC3_171128_0110,2017-12-04 22:06:00,63.8,AGS_171204_2206,,,
2017-11-28 23:32:00,59.8,OC3_171128_2332,2017-12-11 21:32:00,76.2,AGS_171211_2132,,,
2017-12-04 22:53:00,56.0,OC3_171204_2253,2018-01-05 00:26:00,77.9,AGS_180105_0026,,,
2017-12-05 23:17:00,56.5,OC3_171205_2317,2017-12-14 21:36:00,78.0,AGS_171114_2136,,,
2017-12-06 23:54:00,57.3,OC3_171206_2254,2017-11-14 23:05:00,102.0,AGS_171114_2305,,,
2017-12-07 20:41:00,59.8,OC3_171207_2041,2017-11-14 23:29:00,104.6,AGS_171114_2329,,,
2017-12-11 23:36:00,58.3,OC3_171211_2236,2017-11-16 21:05:00,90.0,AGS_171116_2105,,,
2018-01-10 21:23:00,57.5,AGS_180111_2123,2017-11-16 23:10:00,102.3,AGS_171116_2310,,,
