"Under Inspection, x; Issued, x","Under Inspection, y","Issued, y","Under Review, x","Under Review, y","Fees Due, x","Fees Due, y"
2008 March,772,546,,,2008 August,7
2008 April,787,572,,,2008 September,7
2008 May,803,587,,,2008 October,7
2008 June,820,600,,,2008 November,7
2008 July,839,627,,,2008 December,7
2008 August,859,652,,,2009 January,7
2008 September,870,669,,,2009 February,7
2008 October,895,708,,,2009 March,7
2008 November,912,734,,,2009 April,7
2008 December,922,755,,,2009 May,7
2009 January,940,780,,,2009 June,7
2009 February,957,801,,,2009 July,7
2009 March,973,834,,,2009 August,7
2009 April,1003,865,,,2009 September,7
2009 May,1028,897,,,2009 October,7
2009 June,1050,940,,,2009 November,7
2009 July,1077,995,,,2009 December,7
2009 August,1097,1035,,,2010 January,7
2009 September,1108,1070,,,2010 February,7
2009 October,1130,1100,,,2010 March,7
2009 November,1143,1135,,,2010 April,7
2009 December,1150,1162,,,2010 May,7
2010 January,1163,1179,,,2010 June,7
2010 February,1172,1207,,,2010 July,7
2010 March,1172,1221,,,2010 August,7
2010 April,1173,1239,,,2010 September,7
2010 May,1175,1252,,,2010 October,7
2010 June,1177,1270,,,2010 November,7
2010 July,1178,1305,,,2010 December,7
2010 August,1181,1324,,,2011 January,7
2010 September,1180,1335,,,2011 February,7
2010 October,1180,1350,,,2011 March,7
2010 November,1181,1366,,,2011 April,7
2010 December,1182,1385,,,2011 May,7
2011 January,1182,1402,,,2011 June,7
2011 February,1183,1422,,,2011 July,7
2011 March,1186,1444,,,2011 August,7
2011 April,1189,1461,,,2011 September,7
2011 May,1191,1482,,,2011 October,7
2011 June,1192,1506,,,2011 November,7
2011 July,1196,1538,,,2011 December,7
2011 August,1201,1577,,,2012 January,7
2011 September,1209,1607,,,2012 February,7
2011 October,1219,1638,,,2012 March,7
2011 November,1225,1660,,,2012 April,7
2011 December,1228,1680,,,2012 May,7
2012 January,1233,1697,,,2012 June,7
2012 February,1240,1718,,,2012 July,7
2012 March,1242,1739,,,2012 August,7
2012 April,1245,1763,,,2012 September,7
2012 May,1249,1777,,,2012 October,7
2012 June,1261,1801,,,2012 November,7
2012 July,1266,1819,,,2012 December,7
2012 August,1273,1851,,,2013 January,7
2012 September,1277,1880,,,2013 February,7
2012 October,1278,1900,,,2013 March,7
2012 November,1282,1920,,,2013 April,7
2012 December,1286,1940,,,2013 May,7
2013 January,1288,1962,,,2013 June,7
2013 February,1290,1984,,,2013 July,7
2013 March,1293,2018,,,2013 August,7
2013 April,1293,2052,,,2013 September,7
2013 May,1293,2078,,,2013 October,7
2013 June,1296,2115,,,2013 November,7
2013 July,1300,2153,,,2013 December,7
2013 August,1305,2189,,,2014 January,7
2013 September,1314,2208,,,2014 February,7
2013 October,1322,2236,,,2014 March,7
2013 November,1329,2265,,,2014 April,7
2013 December,1332,2286,,,2014 May,7
2014 January,1337,2300,,,2014 June,7
2014 February,1341,2315,,,2014 July,8
2014 March,1343,2335,,,2014 August,8
2014 April,1345,2349,,,2014 September,8
2014 May,1348,2365,,,2014 October,8
2014 June,1349,2376,,,2014 November,8
2014 July,1351,2396,,,2014 December,8
2014 August,1357,2413,,,2015 January,8
2014 September,1358,2425,,,2015 February,8
2014 October,1361,2436,,,2015 March,8
2014 November,1365,2448,,,2015 April,8
2014 December,1366,2465,,,2015 May,8
2015 January,1368,2477,,,2015 June,8
2015 February,1370,2492,,,2015 July,8
2015 March,1377,2500,,,2015 August,8
2015 April,1379,2519,,,2015 September,8
2015 May,1380,2530,,,2015 October,8
2015 June,1382,2539,,,2015 November,9
2015 July,1387,2549,,,2015 December,9
2015 August,1390,2557,,,2016 January,9
2015 September,1397,2569,,,2016 February,9
2015 October,1402,2579,,,2016 March,9
2015 November,1408,2590,,,2016 April,9
2015 December,1412,2600,,,2016 May,9
2016 January,1421,2612,,,2016 June,9
2016 February,1425,2622,,,2016 July,9
2016 March,1433,2634,,,2016 August,9
2016 April,1445,2648,,,2016 September,9
2016 May,1461,2663,,,2016 October,9
2016 June,1479,2689,,,2016 November,9
2016 July,1498,2707,,,2016 December,9
2016 August,1515,2723,,,2017 January,9
2016 September,1545,2760,,,2017 February,9
2016 October,1585,2782,,,2017 March,9
2016 November,1618,2813,,,2017 April,9
2016 December,1646,2858,,,2017 May,9
2017 January,1666,2903,,,2017 June,9
2017 February,1708,2955,,,2017 July,9
2017 March,1762,3027,,,2017 August,9
2017 April,1812,3110,,,2017 September,9
2017 May,1863,3193,,,2017 October,9
2017 June,1948,3279,,,2017 November,9
2017 July,2019,3412,,,2017 December,10
2017 August,2115,3569,,,2018 January,10
2017 September,2184,3739,,,,
2017 October,2245,3914,,,,
2017 November,2353,4108,,,,
2017 December,2397,4333,,,,
2018 January,2403,4424,,,,
