"Predicted Probability, x; Observed Probability, x","Predicted Probability, y","Observed Probability, y",text,size
9d8cbe,5bd8f0,f9dbb0,bab22b,6e59e5
30,0.4,0.0,Cluster : 30 (Size : 565)<br>eg Vector : 1.0|0.0|0|0|0|0|1|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.4%,56.5
31,0.4,0.0,Cluster : 31 (Size : 589)<br>eg Vector : 0.0|0.875|1|0|0|0|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.4%,58.9
32,0.4,0.7,Cluster : 32 (Size : 290)<br>eg Vector : 0.0|1.0|0|0|0|0|1|0<br>Obs Prob : 0.7%<br>Pred Prob : 0.4%,29.0
33,0.4,0.0,Cluster : 33 (Size : 2285)<br>eg Vector : 1.0|0.125|0|0|0|0|1|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.4%,228.5
34,0.4,0.3,Cluster : 34 (Size : 1171)<br>eg Vector : 0.0|0.875|0|0|0|0|1|0<br>Obs Prob : 0.3%<br>Pred Prob : 0.4%,117.1
35,0.4,0.0,Cluster : 35 (Size : 956)<br>eg Vector : 1.0|0.375|1|0|0|0|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.4%,95.6
36,0.4,0.1,Cluster : 36 (Size : 1666)<br>eg Vector : 1.0|0.5|1|0|0|0|0|0<br>Obs Prob : 0.1%<br>Pred Prob : 0.4%,166.6
37,0.4,0.1,Cluster : 37 (Size : 2110)<br>eg Vector : 0.0|0.125|0|0|0|0|1|0<br>Obs Prob : 0.1%<br>Pred Prob : 0.4%,211.0
38,0.4,0.2,Cluster : 38 (Size : 1143)<br>eg Vector : 0.0|0.5|1|0|0|0|0|0<br>Obs Prob : 0.2%<br>Pred Prob : 0.4%,114.3
39,0.4,0.3,Cluster : 39 (Size : 1683)<br>eg Vector : 0.0|0.75|1|0|0|0|0|0<br>Obs Prob : 0.3%<br>Pred Prob : 0.4%,168.3
40,0.4,0.4,Cluster : 40 (Size : 2617)<br>eg Vector : 1.0|0.75|1|0|0|0|0|0<br>Obs Prob : 0.4%<br>Pred Prob : 0.4%,261.7
41,0.4,0.3,Cluster : 41 (Size : 2702)<br>eg Vector : 1.0|0.625|1|0|0|0|0|0<br>Obs Prob : 0.3%<br>Pred Prob : 0.4%,270.2
42,0.4,0.0,Cluster : 42 (Size : 2137)<br>eg Vector : 1.0|0.25|0|0|0|0|1|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.4%,213.7
43,0.4,0.2,Cluster : 43 (Size : 2074)<br>eg Vector : 1.0|0.375|0|0|0|0|1|0<br>Obs Prob : 0.2%<br>Pred Prob : 0.4%,207.4
44,0.4,0.2,Cluster : 44 (Size : 1758)<br>eg Vector : 0.0|0.625|1|0|0|0|0|0<br>Obs Prob : 0.2%<br>Pred Prob : 0.4%,175.8
45,0.4,0.4,Cluster : 45 (Size : 3919)<br>eg Vector : 1.0|0.75|0|0|0|0|1|0<br>Obs Prob : 0.4%<br>Pred Prob : 0.4%,391.9
46,0.4,0.3,Cluster : 46 (Size : 3615)<br>eg Vector : 1.0|0.625|0|0|0|0|1|0<br>Obs Prob : 0.3%<br>Pred Prob : 0.4%,361.5
47,0.4,0.2,Cluster : 47 (Size : 1615)<br>eg Vector : 0.0|0.375|0|0|0|0|1|0<br>Obs Prob : 0.2%<br>Pred Prob : 0.4%,161.5
48,0.4,0.2,Cluster : 48 (Size : 2777)<br>eg Vector : 1.0|0.5|0|0|0|0|1|0<br>Obs Prob : 0.2%<br>Pred Prob : 0.4%,277.7
49,0.4,0.4,Cluster : 49 (Size : 2989)<br>eg Vector : 0.0|0.75|0|0|0|0|1|0<br>Obs Prob : 0.4%<br>Pred Prob : 0.4%,298.9
50,0.4,0.3,Cluster : 50 (Size : 2167)<br>eg Vector : 0.0|0.5|0|0|0|0|1|0<br>Obs Prob : 0.3%<br>Pred Prob : 0.4%,216.7
51,0.4,0.4,Cluster : 51 (Size : 2758)<br>eg Vector : 0.0|0.625|0|0|0|0|1|0<br>Obs Prob : 0.4%<br>Pred Prob : 0.4%,275.8
52,0.6,0.4,Cluster : 52 (Size : 1668)<br>eg Vector : 0.0|0.25|0|0|0|0|1|0<br>Obs Prob : 0.4%<br>Pred Prob : 0.6%,166.8
53,2.5,2.7,Cluster : 53 (Size : 223)<br>eg Vector : 0.0|1.0|0|0|0|0|0|1<br>Obs Prob : 2.7%<br>Pred Prob : 2.5%,22.3
54,2.6,1.6,Cluster : 54 (Size : 793)<br>eg Vector : 1.0|0.875|0|0|0|0|0|1<br>Obs Prob : 1.6%<br>Pred Prob : 2.6%,79.3
55,2.8,0.5,Cluster : 55 (Size : 207)<br>eg Vector : 1.0|0.625|0|0|1|0|0|0<br>Obs Prob : 0.5%<br>Pred Prob : 2.8%,20.7
56,3.3,2.7,Cluster : 56 (Size : 811)<br>eg Vector : 1.0|0.25|0|0|0|0|0|1<br>Obs Prob : 2.7%<br>Pred Prob : 3.3%,81.1
57,3.3,3.7,Cluster : 57 (Size : 698)<br>eg Vector : 0.0|0.25|0|0|0|0|0|1<br>Obs Prob : 3.7%<br>Pred Prob : 3.3%,69.8
58,3.3,2.8,Cluster : 58 (Size : 218)<br>eg Vector : 1.0|1.0|0|0|0|0|0|1<br>Obs Prob : 2.8%<br>Pred Prob : 3.3%,21.8
59,3.3,4.8,Cluster : 59 (Size : 924)<br>eg Vector : 0.0|0.375|0|0|0|0|0|1<br>Obs Prob : 4.8%<br>Pred Prob : 3.3%,92.4
60,3.3,3.7,Cluster : 60 (Size : 463)<br>eg Vector : 0.0|0.875|0|0|0|0|0|1<br>Obs Prob : 3.7%<br>Pred Prob : 3.3%,46.3
61,3.3,2.9,Cluster : 61 (Size : 1242)<br>eg Vector : 1.0|0.375|0|0|0|0|0|1<br>Obs Prob : 2.9%<br>Pred Prob : 3.3%,124.2
62,3.3,3.3,Cluster : 62 (Size : 1141)<br>eg Vector : 0.0|0.75|0|0|0|0|0|1<br>Obs Prob : 3.3%<br>Pred Prob : 3.3%,114.1
63,3.3,4.0,Cluster : 63 (Size : 1028)<br>eg Vector : 0.0|0.625|0|0|0|0|0|1<br>Obs Prob : 4.0%<br>Pred Prob : 3.3%,102.8
64,3.3,1.9,Cluster : 64 (Size : 1772)<br>eg Vector : 1.0|0.75|0|0|0|0|0|1<br>Obs Prob : 1.9%<br>Pred Prob : 3.3%,177.2
65,3.3,2.5,Cluster : 65 (Size : 1826)<br>eg Vector : 1.0|0.625|0|0|0|0|0|1<br>Obs Prob : 2.5%<br>Pred Prob : 3.3%,182.6
66,3.3,2.9,Cluster : 66 (Size : 1398)<br>eg Vector : 1.0|0.5|0|0|0|0|0|1<br>Obs Prob : 2.9%<br>Pred Prob : 3.3%,139.8
67,3.3,4.7,Cluster : 67 (Size : 924)<br>eg Vector : 0.0|0.5|0|0|0|0|0|1<br>Obs Prob : 4.7%<br>Pred Prob : 3.3%,92.4
68,99.2,100.0,Cluster : 68 (Size : 280)<br>eg Vector : 0.0|0.125|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,28.0
69,99.2,100.0,Cluster : 69 (Size : 331)<br>eg Vector : 1.0|0.25|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,33.1
70,99.2,100.0,Cluster : 70 (Size : 469)<br>eg Vector : 0.0|0.375|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,46.9
71,99.2,100.0,Cluster : 71 (Size : 284)<br>eg Vector : 1.0|0.375|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,28.4
72,99.2,100.0,Cluster : 72 (Size : 579)<br>eg Vector : 1.0|0.5|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,57.9
73,99.2,100.0,Cluster : 73 (Size : 1274)<br>eg Vector : 1.0|0.625|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,127.4
74,99.2,100.0,Cluster : 74 (Size : 1756)<br>eg Vector : 1.0|0.75|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,175.6
75,99.2,100.0,Cluster : 75 (Size : 567)<br>eg Vector : 1.0|1.0|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,56.7
76,99.2,100.0,Cluster : 76 (Size : 823)<br>eg Vector : 1.0|0.875|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,82.3
77,99.2,100.0,Cluster : 77 (Size : 516)<br>eg Vector : 0.0|1.0|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,51.6
78,99.2,100.0,Cluster : 78 (Size : 869)<br>eg Vector : 0.0|0.875|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,86.9
79,99.2,100.0,Cluster : 79 (Size : 570)<br>eg Vector : 0.0|0.5|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,57.0
80,99.2,100.0,Cluster : 80 (Size : 1271)<br>eg Vector : 0.0|0.625|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,127.1
81,99.2,100.0,Cluster : 81 (Size : 1775)<br>eg Vector : 0.0|0.75|0|0|0|0|0|0<br>Obs Prob : 100.0%<br>Pred Prob : 99.2%,177.5
