"Hoelbaekken Flow (m3/s), x","Hoelbaekken Flow (m3/s), y","Hoelbakken vandstand /10 (m), x","Hoelbakken vandstand /10 (m), y"
2017-07-04 23:36:35,0.0277157406,2017-07-04 23:36:35,0.02358956
2017-07-04 23:46:35,0.0277688872,2017-07-04 23:46:35,0.02354901
2017-07-04 23:56:35,0.0278210358,2017-07-04 23:56:35,0.02357293
2017-07-05 00:06:35,0.0278721943,2017-07-05 00:06:35,0.02354259
2017-07-05 00:16:35,0.0279223705,2017-07-05 00:16:35,0.02356389
2017-07-05 00:26:35,0.0279715722,2017-07-05 00:26:35,0.02351984
2017-07-05 00:36:35,0.0280198075,2017-07-05 00:36:35,0.02360464
2017-07-05 00:46:35,0.0280670841,2017-07-05 00:46:35,0.02364344
2017-07-05 00:56:35,0.0281134099,2017-07-05 00:56:35,0.02368866
2017-07-05 01:06:35,0.0281587928,2017-07-05 01:06:35,0.02361329
2017-07-05 01:16:35,0.0282032406,2017-07-05 01:16:35,0.02359754
2017-07-05 01:26:35,0.0282467613,2017-07-05 01:26:35,0.02352412
2017-07-05 01:36:35,0.0282893626,2017-07-05 01:36:35,0.02349796
2017-07-05 01:46:35,0.0283310525,2017-07-05 01:46:35,0.0234221
2017-07-05 01:56:35,0.0283718389,2017-07-05 01:56:35,0.02348298
2017-07-05 02:06:35,0.0284117295,2017-07-05 02:06:35,0.02347821
2017-07-05 02:16:35,0.0284507323,2017-07-05 02:16:35,0.02348201
2017-07-05 02:26:35,0.0284888552,2017-07-05 02:26:35,0.02348736
2017-07-05 02:36:35,0.028526106,2017-07-05 02:36:35,0.02349232
2017-07-05 02:46:35,0.0285624926,2017-07-05 02:46:35,0.02355611
2017-07-05 02:56:35,0.0285980228,2017-07-05 02:56:35,0.02358052
2017-07-05 03:06:35,0.0286327046,2017-07-05 03:06:35,0.0235212
2017-07-05 03:16:35,0.0286665457,2017-07-05 03:16:35,0.02357575
2017-07-05 03:26:35,0.0286995542,2017-07-05 03:26:35,0.02354425
2017-07-05 03:36:35,0.0287317378,2017-07-05 03:36:35,0.02353773
2017-07-05 03:46:35,0.0287631044,2017-07-05 03:46:35,0.02354269
2017-07-05 03:56:35,0.0287936618,2017-07-05 03:56:35,0.02361261
2017-07-05 04:06:35,0.0288234181,2017-07-05 04:06:35,0.02358198
2017-07-05 04:16:35,0.0288523809,2017-07-05 04:16:35,0.02362282
2017-07-05 04:26:35,0.0288805583,2017-07-05 04:26:35,0.0235953
2017-07-05 04:36:35,0.028907958,2017-07-05 04:36:35,0.02356185
2017-07-05 04:46:35,0.028934588,2017-07-05 04:46:35,0.02351186
2017-07-05 04:56:35,0.028960456,2017-07-05 04:56:35,0.0236095
2017-07-05 05:06:35,0.0289855701,2017-07-05 05:06:35,0.02361932
2017-07-05 05:16:35,0.029009938,2017-07-05 05:16:35,0.02368973
2017-07-05 05:26:35,0.0290335676,2017-07-05 05:26:35,0.0236024
2017-07-05 05:36:35,0.0290564668,2017-07-05 05:36:35,0.0236449
2017-07-05 05:46:35,0.0290786435,2017-07-05 05:46:35,0.02359802
2017-07-05 05:56:35,0.0291001055,2017-07-05 05:56:35,0.02357935
2017-07-05 06:06:35,0.0291208607,2017-07-05 06:06:35,0.02351643
2017-07-05 06:16:35,0.029140917,2017-07-05 06:16:35,0.02353822
2017-07-05 06:26:35,0.0291602823,2017-07-05 06:26:35,0.02349105
2017-07-05 06:36:35,0.0291789643,2017-07-05 06:36:35,0.02351906
2017-07-05 06:46:35,0.0291969711,2017-07-05 06:46:35,0.02354872
2017-07-05 06:56:35,0.0292143104,2017-07-05 06:56:35,0.02363157
2017-07-05 07:06:35,0.0292309901,2017-07-05 07:06:35,0.02362496
2017-07-05 07:16:35,0.0292470182,2017-07-05 07:16:35,0.02364402
2017-07-05 07:26:35,0.0292624024,2017-07-05 07:26:35,0.02365773
2017-07-05 07:36:35,0.0292771506,2017-07-05 07:36:35,0.02372279
2017-07-05 07:46:35,0.0292912708,2017-07-05 07:46:35,0.02367942
2017-07-05 07:56:35,0.0293047707,2017-07-05 07:56:35,0.02361037
2017-07-05 08:06:35,0.0293176583,2017-07-05 08:06:35,0.02352616
2017-07-05 08:16:35,0.0293299415,2017-07-05 08:16:35,0.02354279
2017-07-05 08:26:35,0.029341628,2017-07-05 08:26:35,0.02345254
2017-07-05 08:36:35,0.0293527258,2017-07-05 08:36:35,0.0234789
2017-07-05 08:46:35,0.0293632427,2017-07-05 08:46:35,0.02344204
2017-07-05 08:56:35,0.0293731866,2017-07-05 08:56:35,0.02351439
2017-07-05 09:06:35,0.0293825655,2017-07-05 09:06:35,0.02348619
2017-07-05 09:16:35,0.029391387,2017-07-05 09:16:35,0.02351877
2017-07-05 09:26:35,0.0293996592,2017-07-05 09:26:35,0.02346849
2017-07-05 09:36:35,0.0294073899,2017-07-05 09:36:35,0.02350544
2017-07-05 09:46:35,0.0294145869,2017-07-05 09:46:35,0.02350729
2017-07-05 09:56:35,0.0294212582,2017-07-05 09:56:35,0.02345663
2017-07-05 10:06:35,0.0294274116,2017-07-05 10:06:35,0.02337737
2017-07-05 10:16:35,0.029433055,2017-07-05 10:16:35,0.02339341
2017-07-05 10:26:35,0.0294381962,2017-07-05 10:26:35,0.0234291
2017-07-05 10:36:35,0.0294428431,2017-07-05 10:36:35,0.02342803
2017-07-05 10:46:35,0.0294470036,2017-07-05 10:46:35,0.0233867
2017-07-05 10:56:35,0.0294506856,2017-07-05 10:56:35,0.0234045
2017-07-05 11:06:35,0.0294538969,2017-07-05 11:06:35,0.02339964
2017-07-05 11:16:35,0.0294566454,2017-07-05 11:16:35,0.02352976
2017-07-05 11:26:35,0.029458939,2017-07-05 11:26:35,0.02347024
2017-07-05 11:36:35,0.0294607855,2017-07-05 11:36:35,0.0235139
2017-07-05 11:46:35,0.0294621928,2017-07-05 11:46:35,0.02347005
2017-07-05 11:56:35,0.0294631688,2017-07-05 11:56:35,0.02350155
2017-07-05 12:06:35,0.0294637214,2017-07-05 12:06:35,0.02348006
2017-07-05 12:16:35,0.0294638584,2017-07-05 12:16:35,0.02350175
2017-07-05 12:26:35,0.0294635877,2017-07-05 12:26:35,0.02352295
2017-07-05 12:36:35,0.0294629171,2017-07-05 12:36:35,0.02359627
2017-07-05 12:46:35,0.0294618546,2017-07-05 12:46:35,0.02353092
2017-07-05 12:56:35,0.029460408,2017-07-05 12:56:35,0.02360522
2017-07-05 13:06:35,0.0294585852,2017-07-05 13:06:35,0.02356953
2017-07-05 13:16:35,0.0294563941,2017-07-05 13:16:35,0.02363799
2017-07-05 13:26:35,0.0294538424,2017-07-05 13:26:35,0.02354074
2017-07-05 13:36:35,0.0294509382,2017-07-05 13:36:35,0.02358373
2017-07-05 13:46:35,0.0294911345,2017-07-05 13:46:35,0.02360911
2017-07-05 13:56:35,0.0295213599,2017-07-05 13:56:35,0.02360619
2017-07-05 14:06:35,0.02954112,2017-07-05 14:06:35,0.02360853
2017-07-05 14:16:35,0.0295542502,2017-07-05 14:16:35,0.02361028
2017-07-05 14:26:35,0.0295527141,2017-07-05 14:26:35,0.02362506
2017-07-05 14:36:35,0.0295659565,2017-07-05 14:36:35,0.02369352
2017-07-05 14:46:35,0.0295239701,2017-07-05 14:46:35,0.02367456
2017-07-05 14:56:35,0.0296151353,2017-07-05 14:56:35,0.02369702
2017-07-05 15:06:35,0.0296148966,2017-07-05 15:06:35,0.02364918
2017-07-05 15:16:35,0.0296343103,2017-07-05 15:16:35,0.02369663
2017-07-05 15:26:35,0.0296365719,2017-07-05 15:26:35,0.02363498
2017-07-05 15:36:35,0.0296475854,2017-07-05 15:36:35,0.02366357
2017-07-05 15:46:35,0.0296482413,2017-07-05 15:46:35,0.0236202
2017-07-05 15:56:35,0.0296613807,2017-07-05 15:56:35,0.02368963
2017-07-05 16:06:35,0.0296578572,2017-07-05 16:06:35,0.02367631
2017-07-05 16:16:35,0.0296457025,2017-07-05 16:16:35,0.02368905
2017-07-05 16:26:35,0.0296276198,2017-07-05 16:26:35,0.02366464
2017-07-05 16:36:35,0.02963045,2017-07-05 16:36:35,0.02370305
2017-07-05 16:46:35,0.0296367247,2017-07-05 16:46:35,0.02365569
2017-07-05 16:56:35,0.029632469,2017-07-05 16:56:35,0.02367689
2017-07-05 17:06:35,0.0296209317,2017-07-05 17:06:35,0.0236132
2017-07-05 17:16:35,0.0295933275,2017-07-05 17:16:35,0.02360075
2017-07-05 17:26:35,0.0296060165,2017-07-05 17:26:35,0.02356049
2017-07-05 17:36:35,0.0295861429,2017-07-05 17:36:35,0.02357361
2017-07-05 17:46:35,0.0295837574,2017-07-05 17:46:35,0.0236132
2017-07-05 17:56:35,0.0295830704,2017-07-05 17:56:35,0.02364597
2017-07-05 18:06:35,0.0295861128,2017-07-05 18:06:35,0.02359443
2017-07-05 18:16:35,0.0295757269,2017-07-05 18:16:35,0.02363245
2017-07-05 18:26:35,0.0295426278,2017-07-05 18:26:35,0.02364509
2017-07-05 18:36:35,0.0295385557,2017-07-05 18:36:35,0.02373495
2017-07-05 18:46:35,0.0295212951,2017-07-05 18:46:35,0.02368652
2017-07-05 18:56:35,0.0294968905,2017-07-05 18:56:35,0.02373378
2017-07-05 19:06:35,0.0295263241,2017-07-05 19:06:35,0.02379388
2017-07-05 19:16:35,0.0295025052,2017-07-05 19:16:35,0.02378241
2017-07-05 19:26:35,0.0295110789,2017-07-05 19:26:35,0.02377385
2017-07-05 19:36:35,0.02947657,2017-07-05 19:36:35,0.02380429
2017-07-05 19:46:35,0.0294797294,2017-07-05 19:46:35,0.02379408
2017-07-05 19:56:35,0.0294861542,2017-07-05 19:56:35,0.02382354
2017-07-05 20:06:35,0.029458333,2017-07-05 20:06:35,0.02377181
2017-07-05 20:16:35,0.0293801198,2017-07-05 20:16:35,0.02379437
2017-07-05 20:26:35,0.0293381834,2017-07-05 20:26:35,0.0237649
2017-07-05 20:36:35,0.0292893142,2017-07-05 20:36:35,0.02375868
2017-07-05 20:46:35,0.0292379427,2017-07-05 20:46:35,0.02371764
2017-07-05 20:56:35,0.0291843636,2017-07-05 20:56:35,0.02365793
2017-07-05 21:06:35,0.0291526987,2017-07-05 21:06:35,0.02365939
2017-07-05 21:16:35,0.0290933291,2017-07-05 21:16:35,0.02369401
2017-07-05 21:26:35,0.029081147,2017-07-05 21:26:35,0.0235884
2017-07-05 21:36:35,0.0290538076,2017-07-05 21:36:35,0.02360318
2017-07-05 21:46:35,0.0290117066,2017-07-05 21:46:35,0.02355679
2017-07-05 21:56:35,0.0289936993,2017-07-05 21:56:35,0.0236235
2017-07-05 22:06:35,0.0289783718,2017-07-05 22:06:35,0.02358402
2017-07-05 22:16:35,0.0289481359,2017-07-05 22:16:35,0.02364684
2017-07-05 22:26:35,0.0289194878,2017-07-05 22:26:35,0.02361991
2017-07-05 22:36:35,0.0288975344,2017-07-05 22:36:35,0.02360736
2017-07-05 22:46:35,0.0288580662,2017-07-05 22:46:35,0.02356136
2017-07-05 22:56:35,0.028851141,2017-07-05 22:56:35,0.02363508
2017-07-05 23:06:35,0.0288122021,2017-07-05 23:06:35,0.02358315
2017-07-05 23:16:35,0.0287975084,2017-07-05 23:16:35,0.02364081
2017-07-05 23:26:35,0.028797233,2017-07-05 23:26:35,0.02365064
2017-07-05 23:36:35,0.0287858922,2017-07-05 23:36:35,0.02371929
2017-07-05 23:46:35,0.0287701426,2017-07-05 23:46:35,0.02365978
2017-07-05 23:56:35,0.0287585627,2017-07-05 23:56:35,0.02367291
2017-07-06 00:06:35,0.0287603269,2017-07-06 00:06:35,0.0236236
2017-07-06 00:16:35,0.0287440818,2017-07-06 00:16:35,0.02362875
2017-07-06 00:26:35,0.0287405733,2017-07-06 00:26:35,0.02362409
2017-07-06 00:36:35,0.02871817,2017-07-06 00:36:35,0.02375391
2017-07-06 00:46:35,0.0287123742,2017-07-06 00:46:35,0.02363323
2017-07-06 00:56:35,0.0287030265,2017-07-06 00:56:35,0.0235846
2017-07-06 01:06:35,0.0287027807,2017-07-06 01:06:35,0.02348891
2017-07-06 01:16:35,0.0287018081,2017-07-06 01:16:35,0.02352353
2017-07-06 01:26:35,0.0286985761,2017-07-06 01:26:35,0.02361358
2017-07-06 01:36:35,0.0286955661,2017-07-06 01:36:35,0.02364247
2017-07-06 01:46:35,0.0286925399,2017-07-06 01:46:35,0.02353462
2017-07-06 01:56:35,0.0286954861,2017-07-06 01:56:35,0.02365112
2017-07-06 02:06:35,0.0287034469,2017-07-06 02:06:35,0.02363702
2017-07-06 02:16:35,0.028697864,2017-07-06 02:16:35,0.02367368
2017-07-06 02:26:35,0.0287055992,2017-07-06 02:26:35,0.02363926
2017-07-06 02:36:35,0.0287030945,2017-07-06 02:36:35,0.02368798
2017-07-06 02:46:35,0.0287155262,2017-07-06 02:46:35,0.02364149
2017-07-06 02:56:35,0.0287208385,2017-07-06 02:56:35,0.02358567
2017-07-06 03:06:35,0.0287187888,2017-07-06 03:06:35,0.02355368
2017-07-06 03:16:35,0.028721478,2017-07-06 03:16:35,0.02355329
2017-07-06 03:26:35,0.0287207418,2017-07-06 03:26:35,0.023475
2017-07-06 03:36:35,0.0287230257,2017-07-06 03:36:35,0.02353598
2017-07-06 03:46:35,0.0287261524,2017-07-06 03:46:35,0.02350418
2017-07-06 03:56:35,0.0287387664,2017-07-06 03:56:35,0.02357235
2017-07-06 04:06:35,0.028739834,2017-07-06 04:06:35,0.02359083
2017-07-06 04:16:35,0.028745457,2017-07-06 04:16:35,0.02367077
2017-07-06 04:26:35,0.0287450621,2017-07-06 04:26:35,0.02369245
2017-07-06 04:36:35,0.0287442005,2017-07-06 04:36:35,0.02370986
2017-07-06 04:46:35,0.028751287,2017-07-06 04:46:35,0.02369372
2017-07-06 04:56:35,0.0287549822,2017-07-06 04:56:35,0.02372231
2017-07-06 05:06:35,0.0287614954,2017-07-06 05:06:35,0.02359423
2017-07-06 05:16:35,0.0287714879,2017-07-06 05:16:35,0.02357537
2017-07-06 05:26:35,0.0287787615,2017-07-06 05:26:35,0.02356224
2017-07-06 05:36:35,0.0287709934,2017-07-06 05:36:35,0.02357235
2017-07-06 05:46:35,0.028774657,2017-07-06 05:46:35,0.02346781
2017-07-06 05:56:35,0.0287771478,2017-07-06 05:56:35,0.02346586
2017-07-06 06:06:35,0.0287745406,2017-07-06 06:06:35,0.02352081
2017-07-06 06:16:35,0.0287842254,2017-07-06 06:16:35,0.02355096
2017-07-06 06:26:35,0.0287942584,2017-07-06 06:26:35,0.0235742
2017-07-06 06:36:35,0.0288049898,2017-07-06 06:36:35,0.02360999
2017-07-06 06:46:35,0.0288028526,2017-07-06 06:46:35,0.02354872
2017-07-06 06:56:35,0.0288137275,2017-07-06 06:56:35,0.02357585
2017-07-06 07:06:35,0.0288216004,2017-07-06 07:06:35,0.0235565
2017-07-06 07:16:35,0.0288292561,2017-07-06 07:16:35,0.02352081
2017-07-06 07:26:35,0.0288350881,2017-07-06 07:26:35,0.02352703
2017-07-06 07:36:35,0.0288479126,2017-07-06 07:36:35,0.02357848
2017-07-06 07:46:35,0.0288620976,2017-07-06 07:46:35,0.02356953
2017-07-06 07:56:35,0.0288692227,2017-07-06 07:56:35,0.02352781
2017-07-06 08:06:35,0.0288704693,2017-07-06 08:06:35,0.02347734
2017-07-06 08:16:35,0.0288776655,2017-07-06 08:16:35,0.02347773
2017-07-06 08:26:35,0.0288782485,2017-07-06 08:26:35,0.02337873
2017-07-06 08:36:35,0.0288825768,2017-07-06 08:36:35,0.02340499
2017-07-06 08:46:35,0.0288888506,2017-07-06 08:46:35,0.02341335
2017-07-06 08:56:35,0.0289198291,2017-07-06 08:56:35,0.02346674
2017-07-06 09:06:35,0.0289231524,2017-07-06 09:06:35,0.02335675
2017-07-06 09:16:35,0.0289405376,2017-07-06 09:16:35,0.02334635
2017-07-06 09:26:35,0.0289427484,2017-07-06 09:26:35,0.02333098
2017-07-06 09:36:35,0.0289634951,2017-07-06 09:36:35,0.02336823
2017-07-06 09:46:35,0.0289779457,2017-07-06 09:46:35,0.02331007
2017-07-06 09:56:35,0.029010963,2017-07-06 09:56:35,0.02337941
2017-07-06 10:06:35,0.0290115648,2017-07-06 10:06:35,0.0233658
2017-07-06 10:16:35,0.0290350838,2017-07-06 10:16:35,0.02338787
2017-07-06 10:26:35,0.0290378405,2017-07-06 10:26:35,0.02327818
2017-07-06 10:36:35,0.0290521214,2017-07-06 10:36:35,0.02326485
2017-07-06 10:46:35,0.0290642155,2017-07-06 10:46:35,0.02324608
2017-07-06 10:56:35,0.0290783609,2017-07-06 10:56:35,0.02326203
2017-07-06 11:06:35,0.0291166905,2017-07-06 11:06:35,0.02324735
2017-07-06 11:16:35,0.029145411,2017-07-06 11:16:35,0.02335461
2017-07-06 11:26:35,0.0291516291,2017-07-06 11:26:35,0.02332631
2017-07-06 11:36:35,0.0291696484,2017-07-06 11:36:35,0.0232842
2017-07-06 11:46:35,0.0291699319,2017-07-06 11:46:35,0.02319474
2017-07-06 11:56:35,0.0292044476,2017-07-06 11:56:35,0.02323286
2017-07-06 12:06:35,0.0292239867,2017-07-06 12:06:35,0.02314592
2017-07-06 12:16:35,0.0292548586,2017-07-06 12:16:35,0.02322294
2017-07-06 12:26:35,0.0292836689,2017-07-06 12:26:35,0.02315049
2017-07-06 12:36:35,0.0292917917,2017-07-06 12:36:35,0.02313804
2017-07-06 12:46:35,0.0293119262,2017-07-06 12:46:35,0.02312832
2017-07-06 12:56:35,0.0293214545,2017-07-06 12:56:35,0.02322313
2017-07-06 13:06:35,0.0293513342,2017-07-06 13:06:35,0.02315097
2017-07-06 13:16:35,0.0293520683,2017-07-06 13:16:35,0.02316264
2017-07-06 13:26:35,0.029365315,2017-07-06 13:26:35,0.02316595
2017-07-06 13:36:35,0.0293759919,2017-07-06 13:36:35,0.02325211
2017-07-06 13:46:35,0.0294134191,2017-07-06 13:46:35,0.02320067
2017-07-06 13:56:35,0.0294399294,2017-07-06 13:56:35,0.02323033
2017-07-06 14:06:35,0.0294680297,2017-07-06 14:06:35,0.02321292
2017-07-06 14:16:35,0.0294792051,2017-07-06 14:16:35,0.02319406
2017-07-06 14:26:35,0.0294934244,2017-07-06 14:26:35,0.02326602
2017-07-06 14:36:35,0.0295165353,2017-07-06 14:36:35,0.02332456
2017-07-06 14:46:35,0.0295331244,2017-07-06 14:46:35,0.02329685
2017-07-06 14:56:35,0.0295619186,2017-07-06 14:56:35,0.0232879
2017-07-06 15:06:35,0.0295861687,2017-07-06 15:06:35,0.02326223
2017-07-06 15:16:35,0.0296161317,2017-07-06 15:16:35,0.02326534
2017-07-06 15:26:35,0.0296374715,2017-07-06 15:26:35,0.02321
2017-07-06 15:36:35,0.0296399058,2017-07-06 15:36:35,0.02326816
2017-07-06 15:46:35,0.0296737948,2017-07-06 15:46:35,0.02332631
2017-07-06 15:56:35,0.029682344,2017-07-06 15:56:35,0.02330453
2017-07-06 16:06:35,0.0297054925,2017-07-06 16:06:35,0.02325931
2017-07-06 16:16:35,0.0297103892,2017-07-06 16:16:35,0.02327487
2017-07-06 16:26:35,0.0297355853,2017-07-06 16:26:35,0.0231855
2017-07-06 16:36:35,0.0297669635,2017-07-06 16:36:35,0.02322586
2017-07-06 16:46:35,0.0297946869,2017-07-06 16:46:35,0.02325775
2017-07-06 16:56:35,0.0298291018,2017-07-06 16:56:35,0.02324151
2017-07-06 17:06:35,0.0298270765,2017-07-06 17:06:35,0.02321535
2017-07-06 17:16:35,0.0298334484,2017-07-06 17:16:35,0.0232632
2017-07-06 17:26:35,0.0298416367,2017-07-06 17:26:35,0.02330045
2017-07-06 17:36:35,0.0298537478,2017-07-06 17:36:35,0.0234646
2017-07-06 17:46:35,0.0298503051,2017-07-06 17:46:35,0.02349261
2017-07-06 17:56:35,0.0298477092,2017-07-06 17:56:35,0.02349815
2017-07-06 18:06:35,0.0298488178,2017-07-06 18:06:35,0.02348492
2017-07-06 18:16:35,0.0298555688,2017-07-06 18:16:35,0.02357595
2017-07-06 18:26:35,0.0298671181,2017-07-06 18:26:35,0.02347345
2017-07-06 18:36:35,0.0298965363,2017-07-06 18:36:35,0.02347569
2017-07-06 18:46:35,0.0299060832,2017-07-06 18:46:35,0.02345205
2017-07-06 18:56:35,0.0298946036,2017-07-06 18:56:35,0.02350612
2017-07-06 19:06:35,0.0298815964,2017-07-06 19:06:35,0.02350214
2017-07-06 19:16:35,0.0298863098,2017-07-06 19:16:35,0.02357517
2017-07-06 19:26:35,0.029893491,2017-07-06 19:26:35,0.0235036
2017-07-06 19:36:35,0.0298878382,2017-07-06 19:36:35,0.02352343
2017-07-06 19:46:35,0.0298829257,2017-07-06 19:46:35,0.02348045
2017-07-06 19:56:35,0.0298694778,2017-07-06 19:56:35,0.02345342
2017-07-06 20:06:35,0.0298691051,2017-07-06 20:06:35,0.02337727
2017-07-06 20:16:35,0.0298567872,2017-07-06 20:16:35,0.02336502
2017-07-06 20:26:35,0.0298411404,2017-07-06 20:26:35,0.02322984
2017-07-06 20:36:35,0.029828715,2017-07-06 20:36:35,0.02330035
2017-07-06 20:46:35,0.0297914036,2017-07-06 20:46:35,0.02326991
2017-07-06 20:56:35,0.0297685323,2017-07-06 20:56:35,0.0233125
2017-07-06 21:06:35,0.0297474142,2017-07-06 21:06:35,0.02330852
2017-07-06 21:16:35,0.0297227164,2017-07-06 21:16:35,0.023355
2017-07-06 21:26:35,0.029709175,2017-07-06 21:26:35,0.02339662
2017-07-06 21:36:35,0.0296658295,2017-07-06 21:36:35,0.02338797
2017-07-06 21:46:35,0.0296408996,2017-07-06 21:46:35,0.02340995
2017-07-06 21:56:35,0.0296075945,2017-07-06 21:56:35,0.02348113
2017-07-06 22:06:35,0.0295781413,2017-07-06 22:06:35,0.02348327
2017-07-06 22:16:35,0.0295668206,2017-07-06 22:16:35,0.02344904
2017-07-06 22:26:35,0.0295598933,2017-07-06 22:26:35,0.02341286
2017-07-06 22:36:35,0.0295402477,2017-07-06 22:36:35,0.02341043
2017-07-06 22:46:35,0.02953249,2017-07-06 22:46:35,0.02340868
2017-07-06 22:56:35,0.0295186166,2017-07-06 22:56:35,0.02338845
2017-07-06 23:06:35,0.0295038963,2017-07-06 23:06:35,0.02339069
2017-07-06 23:16:35,0.0294773529,2017-07-06 23:16:35,0.0233198
2017-07-06 23:26:35,0.0294766097,2017-07-06 23:26:35,0.02325445
2017-07-06 23:36:35,0.0294670394,2017-07-06 23:36:35,0.02324035
