"Predicted Probability, x; Observed Probability, x","Predicted Probability, y","Observed Probability, y",text,size
21,1.4,1.1,Cluster : 21 (Size : 273)<br>eg Vector : 0.0|0.6000000000000001|0.5|0.0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.4%,27.3
22,1.4,1.3,Cluster : 22 (Size : 398)<br>eg Vector : 0.5|0.6000000000000001|0.25|0.0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 1.4%,39.8
23,1.4,0.4,Cluster : 23 (Size : 280)<br>eg Vector : 0.5|0.6000000000000001|0.75|0.22222...<br>Obs Prob : 0.4%<br>Pred Prob : 1.4%,28.0
24,1.4,1.6,Cluster : 24 (Size : 381)<br>eg Vector : 0.5|0.39999999999999997|0.75|0.2222...<br>Obs Prob : 1.6%<br>Pred Prob : 1.4%,38.1
25,1.4,1.8,Cluster : 25 (Size : 507)<br>eg Vector : 0.5|0.7999999999999999|0.625|0.0|0|0|0<br>Obs Prob : 1.8%<br>Pred Prob : 1.4%,50.7
26,1.4,1.6,Cluster : 26 (Size : 431)<br>eg Vector : 0.5|0.6000000000000001|0.875|0.0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.4%,43.1
27,1.4,1.9,Cluster : 27 (Size : 516)<br>eg Vector : 0.5|0.39999999999999997|0.875|0.0|0|0|0<br>Obs Prob : 1.9%<br>Pred Prob : 1.4%,51.6
28,1.4,0.8,Cluster : 28 (Size : 1008)<br>eg Vector : 0.5|0.39999999999999997|0.375|0.0|0|0|0<br>Obs Prob : 0.8%<br>Pred Prob : 1.4%,100.8
29,1.4,1.5,Cluster : 29 (Size : 203)<br>eg Vector : 0.5|0.6000000000000001|0.75|0.11111...<br>Obs Prob : 1.5%<br>Pred Prob : 1.4%,20.3
30,1.4,1.7,Cluster : 30 (Size : 350)<br>eg Vector : 0.5|0.6000000000000001|0.375|0.1111...<br>Obs Prob : 1.7%<br>Pred Prob : 1.4%,35.0
31,1.4,2.3,Cluster : 31 (Size : 529)<br>eg Vector : 0.5|0.6000000000000001|0.625|0.0|0|0|0<br>Obs Prob : 2.3%<br>Pred Prob : 1.4%,52.9
32,1.4,1.3,Cluster : 32 (Size : 386)<br>eg Vector : 0.5|0.39999999999999997|0.5|0.11111...<br>Obs Prob : 1.3%<br>Pred Prob : 1.4%,38.6
33,1.4,2.2,Cluster : 33 (Size : 458)<br>eg Vector : 0.5|0.39999999999999997|0.5|0.0|0|0|0<br>Obs Prob : 2.2%<br>Pred Prob : 1.4%,45.8
34,1.5,1.2,Cluster : 34 (Size : 342)<br>eg Vector : 0.0|1.0|0.375|0.0|0|0|0<br>Obs Prob : 1.2%<br>Pred Prob : 1.5%,34.2
35,1.5,0.4,Cluster : 35 (Size : 564)<br>eg Vector : 0.0|0.39999999999999997|0.375|0.0|0|0|0<br>Obs Prob : 0.4%<br>Pred Prob : 1.5%,56.4
36,1.5,1.1,Cluster : 36 (Size : 274)<br>eg Vector : 0.5|0.6000000000000001|0.625|0.3333...<br>Obs Prob : 1.1%<br>Pred Prob : 1.5%,27.4
37,1.5,1.2,Cluster : 37 (Size : 685)<br>eg Vector : 0.5|0.0|1.0|0.0|0|0|0<br>Obs Prob : 1.2%<br>Pred Prob : 1.5%,68.5
38,1.5,1.2,Cluster : 38 (Size : 573)<br>eg Vector : 0.5|0.19999999999999998|0.875|0.111...<br>Obs Prob : 1.2%<br>Pred Prob : 1.5%,57.3
39,1.5,2.3,Cluster : 39 (Size : 439)<br>eg Vector : 0.5|1.0|0.625|0.0|0|0|0<br>Obs Prob : 2.3%<br>Pred Prob : 1.5%,43.9
40,1.5,3.4,Cluster : 40 (Size : 206)<br>eg Vector : 0.0|0.6000000000000001|0.875|0.0|0|0|0<br>Obs Prob : 3.4%<br>Pred Prob : 1.5%,20.6
41,1.5,1.9,Cluster : 41 (Size : 216)<br>eg Vector : 0.0|0.7999999999999999|0.625|0.0|0|0|0<br>Obs Prob : 1.9%<br>Pred Prob : 1.5%,21.6
42,1.5,1.1,Cluster : 42 (Size : 369)<br>eg Vector : 0.5|0.7999999999999999|0.25|0.0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.5%,36.9
43,1.5,0.9,Cluster : 43 (Size : 227)<br>eg Vector : 0.0|0.6000000000000001|0.75|0.22222...<br>Obs Prob : 0.9%<br>Pred Prob : 1.5%,22.7
44,1.5,3.6,Cluster : 44 (Size : 280)<br>eg Vector : 0.5|0.7999999999999999|0.5|0.111111...<br>Obs Prob : 3.6%<br>Pred Prob : 1.5%,28.0
45,1.5,1.2,Cluster : 45 (Size : 342)<br>eg Vector : 0.5|0.7999999999999999|0.75|0.11111...<br>Obs Prob : 1.2%<br>Pred Prob : 1.5%,34.2
46,1.5,1.3,Cluster : 46 (Size : 381)<br>eg Vector : 0.0|0.39999999999999997|0.5|0.0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 1.5%,38.1
47,1.5,1.2,Cluster : 47 (Size : 433)<br>eg Vector : 0.5|0.39999999999999997|0.25|0.0|0|0|0<br>Obs Prob : 1.2%<br>Pred Prob : 1.5%,43.3
48,1.5,2.1,Cluster : 48 (Size : 238)<br>eg Vector : 0.0|0.6000000000000001|0.625|0.0|0|0|0<br>Obs Prob : 2.1%<br>Pred Prob : 1.5%,23.8
49,1.5,3.4,Cluster : 49 (Size : 208)<br>eg Vector : 0.5|0.6000000000000001|0.5|0.222222...<br>Obs Prob : 3.4%<br>Pred Prob : 1.5%,20.8
50,1.5,2.2,Cluster : 50 (Size : 317)<br>eg Vector : 0.5|0.39999999999999997|0.625|0.222...<br>Obs Prob : 2.2%<br>Pred Prob : 1.5%,31.7
51,1.5,2.2,Cluster : 51 (Size : 416)<br>eg Vector : 0.5|0.6000000000000001|0.625|0.1111...<br>Obs Prob : 2.2%<br>Pred Prob : 1.5%,41.6
52,1.5,0.9,Cluster : 52 (Size : 566)<br>eg Vector : 0.5|0.6000000000000001|0.75|0.0|0|0|0<br>Obs Prob : 0.9%<br>Pred Prob : 1.5%,56.6
53,1.5,1.5,Cluster : 53 (Size : 269)<br>eg Vector : 0.5|0.39999999999999997|0.75|0.1111...<br>Obs Prob : 1.5%<br>Pred Prob : 1.5%,26.9
54,1.5,0.0,Cluster : 54 (Size : 392)<br>eg Vector : 0.5|0.39999999999999997|0.375|0.111...<br>Obs Prob : 0.0%<br>Pred Prob : 1.5%,39.2
55,1.5,2.0,Cluster : 55 (Size : 488)<br>eg Vector : 0.5|0.39999999999999997|0.625|0.111...<br>Obs Prob : 2.0%<br>Pred Prob : 1.5%,48.8
56,1.5,2.0,Cluster : 56 (Size : 607)<br>eg Vector : 0.5|0.39999999999999997|0.625|0.0|0|0|0<br>Obs Prob : 2.0%<br>Pred Prob : 1.5%,60.7
57,1.6,1.8,Cluster : 57 (Size : 339)<br>eg Vector : 0.0|1.0|0.875|0.0|0|0|0<br>Obs Prob : 1.8%<br>Pred Prob : 1.6%,33.9
58,1.6,1.8,Cluster : 58 (Size : 282)<br>eg Vector : 0.5|0.7999999999999999|0.75|0.22222...<br>Obs Prob : 1.8%<br>Pred Prob : 1.6%,28.2
59,1.6,1.7,Cluster : 59 (Size : 235)<br>eg Vector : 0.0|0.19999999999999998|0.875|0.111...<br>Obs Prob : 1.7%<br>Pred Prob : 1.6%,23.5
60,1.6,2.8,Cluster : 60 (Size : 432)<br>eg Vector : 0.0|1.0|0.625|0.0|0|0|0<br>Obs Prob : 2.8%<br>Pred Prob : 1.6%,43.2
61,1.6,1.0,Cluster : 61 (Size : 203)<br>eg Vector : 0.0|0.6000000000000001|0.5|0.222222...<br>Obs Prob : 1.0%<br>Pred Prob : 1.6%,20.3
62,1.6,1.4,Cluster : 62 (Size : 208)<br>eg Vector : 0.5|0.7999999999999999|0.625|0.2222...<br>Obs Prob : 1.4%<br>Pred Prob : 1.6%,20.8
63,1.6,1.3,Cluster : 63 (Size : 449)<br>eg Vector : 0.5|0.7999999999999999|0.375|0.1111...<br>Obs Prob : 1.3%<br>Pred Prob : 1.6%,44.9
64,1.6,3.8,Cluster : 64 (Size : 261)<br>eg Vector : 0.0|0.39999999999999997|0.875|0.0|0|0|0<br>Obs Prob : 3.8%<br>Pred Prob : 1.6%,26.1
65,1.6,1.4,Cluster : 65 (Size : 220)<br>eg Vector : 0.0|0.39999999999999997|0.5|0.11111...<br>Obs Prob : 1.4%<br>Pred Prob : 1.6%,22.0
66,1.6,1.5,Cluster : 66 (Size : 393)<br>eg Vector : 0.0|0.6000000000000001|0.75|0.0|0|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 1.6%,39.3
67,1.6,2.0,Cluster : 67 (Size : 295)<br>eg Vector : 0.0|0.39999999999999997|0.625|0.0|0|0|0<br>Obs Prob : 2.0%<br>Pred Prob : 1.6%,29.5
68,1.6,2.4,Cluster : 68 (Size : 459)<br>eg Vector : 0.5|0.39999999999999997|0.625|0.333...<br>Obs Prob : 2.4%<br>Pred Prob : 1.6%,45.9
69,1.6,0.3,Cluster : 69 (Size : 353)<br>eg Vector : 0.5|0.7999999999999999|0.875|0.0|0|0|0<br>Obs Prob : 0.3%<br>Pred Prob : 1.6%,35.3
70,1.6,1.7,Cluster : 70 (Size : 528)<br>eg Vector : 0.5|0.7999999999999999|0.75|0.0|0|0|0<br>Obs Prob : 1.7%<br>Pred Prob : 1.6%,52.8
71,1.6,2.2,Cluster : 71 (Size : 232)<br>eg Vector : 0.5|0.6000000000000001|0.25|0.11111...<br>Obs Prob : 2.2%<br>Pred Prob : 1.6%,23.2
72,1.6,1.3,Cluster : 72 (Size : 685)<br>eg Vector : 0.5|0.39999999999999997|0.75|0.0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 1.6%,68.5
73,1.7,1.1,Cluster : 73 (Size : 564)<br>eg Vector : 0.5|0.19999999999999998|0.5|0.0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.7%,56.4
74,1.7,2.2,Cluster : 74 (Size : 275)<br>eg Vector : 0.0|0.0|1.0|0.0|0|0|0<br>Obs Prob : 2.2%<br>Pred Prob : 1.7%,27.5
75,1.7,0.3,Cluster : 75 (Size : 322)<br>eg Vector : 0.5|1.0|0.875|0.0|0|0|0<br>Obs Prob : 0.3%<br>Pred Prob : 1.7%,32.2
76,1.7,2.0,Cluster : 76 (Size : 204)<br>eg Vector : 0.0|0.39999999999999997|0.5|0.44444...<br>Obs Prob : 2.0%<br>Pred Prob : 1.7%,20.4
77,1.7,2.0,Cluster : 77 (Size : 402)<br>eg Vector : 0.0|0.7999999999999999|0.75|0.0|0|0|0<br>Obs Prob : 2.0%<br>Pred Prob : 1.7%,40.2
78,1.7,1.6,Cluster : 78 (Size : 322)<br>eg Vector : 0.5|1.0|0.25|0.0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.7%,32.2
79,1.7,0.7,Cluster : 79 (Size : 422)<br>eg Vector : 0.5|1.0|0.75|0.0|0|0|0<br>Obs Prob : 0.7%<br>Pred Prob : 1.7%,42.2
80,1.7,1.4,Cluster : 80 (Size : 296)<br>eg Vector : 0.5|1.0|0.625|0.1111111111111111|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 1.7%,29.6
81,1.7,1.4,Cluster : 81 (Size : 216)<br>eg Vector : 0.0|0.7999999999999999|0.5|0.111111...<br>Obs Prob : 1.4%<br>Pred Prob : 1.7%,21.6
82,1.7,1.1,Cluster : 82 (Size : 619)<br>eg Vector : 0.5|0.19999999999999998|0.75|0.2222...<br>Obs Prob : 1.1%<br>Pred Prob : 1.7%,61.9
83,1.7,1.0,Cluster : 83 (Size : 907)<br>eg Vector : 0.5|0.19999999999999998|0.375|0.0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.7%,90.7
84,1.7,1.0,Cluster : 84 (Size : 483)<br>eg Vector : 0.0|0.39999999999999997|0.75|0.0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.7%,48.3
85,1.7,1.7,Cluster : 85 (Size : 751)<br>eg Vector : 0.5|0.19999999999999998|0.875|0.0|0|0|0<br>Obs Prob : 1.7%<br>Pred Prob : 1.7%,75.1
86,1.7,2.7,Cluster : 86 (Size : 374)<br>eg Vector : 0.5|0.6000000000000001|0.375|0.2222...<br>Obs Prob : 2.7%<br>Pred Prob : 1.7%,37.4
87,1.7,1.2,Cluster : 87 (Size : 254)<br>eg Vector : 0.5|0.39999999999999997|0.25|0.1111...<br>Obs Prob : 1.2%<br>Pred Prob : 1.7%,25.4
88,1.7,1.3,Cluster : 88 (Size : 224)<br>eg Vector : 0.5|0.39999999999999997|0.375|0.222...<br>Obs Prob : 1.3%<br>Pred Prob : 1.7%,22.4
89,1.8,3.4,Cluster : 89 (Size : 207)<br>eg Vector : 0.5|0.6000000000000001|0.75|0.11111...<br>Obs Prob : 3.4%<br>Pred Prob : 1.8%,20.7
90,1.8,2.5,Cluster : 90 (Size : 201)<br>eg Vector : 0.5|0.6000000000000001|0.5|0.111111...<br>Obs Prob : 2.5%<br>Pred Prob : 1.8%,20.1
91,1.8,0.9,Cluster : 91 (Size : 212)<br>eg Vector : 0.5|0.6000000000000001|0.375|0.2222...<br>Obs Prob : 0.9%<br>Pred Prob : 1.8%,21.2
92,1.8,1.2,Cluster : 92 (Size : 241)<br>eg Vector : 0.0|1.0|0.75|0.0|0|0|0<br>Obs Prob : 1.2%<br>Pred Prob : 1.8%,24.1
93,1.8,1.5,Cluster : 93 (Size : 335)<br>eg Vector : 0.5|0.6000000000000001|0.125|0.0|0|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 1.8%,33.5
94,1.8,2.3,Cluster : 94 (Size : 260)<br>eg Vector : 0.0|0.7999999999999999|0.75|0.22222...<br>Obs Prob : 2.3%<br>Pred Prob : 1.8%,26.0
95,1.8,2.2,Cluster : 95 (Size : 278)<br>eg Vector : 0.5|0.39999999999999997|0.125|0.0|0|0|0<br>Obs Prob : 2.2%<br>Pred Prob : 1.8%,27.8
96,1.8,0.9,Cluster : 96 (Size : 227)<br>eg Vector : 0.0|1.0|0.625|0.2222222222222222|0|0|0<br>Obs Prob : 0.9%<br>Pred Prob : 1.8%,22.7
97,1.8,2.2,Cluster : 97 (Size : 366)<br>eg Vector : 0.0|0.19999999999999998|0.375|0.0|0|0|0<br>Obs Prob : 2.2%<br>Pred Prob : 1.8%,36.6
98,1.8,1.4,Cluster : 98 (Size : 291)<br>eg Vector : 0.0|0.7999999999999999|0.375|0.1111...<br>Obs Prob : 1.4%<br>Pred Prob : 1.8%,29.1
99,1.8,2.4,Cluster : 99 (Size : 208)<br>eg Vector : 0.0|0.6000000000000001|0.25|0.22222...<br>Obs Prob : 2.4%<br>Pred Prob : 1.8%,20.8
100,1.8,1.5,Cluster : 100 (Size : 204)<br>eg Vector : 0.0|0.39999999999999997|0.625|0.333...<br>Obs Prob : 1.5%<br>Pred Prob : 1.8%,20.4
101,1.8,3.3,Cluster : 101 (Size : 393)<br>eg Vector : 0.5|1.0|0.375|0.1111111111111111|0|0|0<br>Obs Prob : 3.3%<br>Pred Prob : 1.8%,39.3
102,1.8,1.2,Cluster : 102 (Size : 412)<br>eg Vector : 0.5|0.19999999999999998|0.25|0.0|0|0|0<br>Obs Prob : 1.2%<br>Pred Prob : 1.8%,41.2
103,1.8,0.7,Cluster : 103 (Size : 280)<br>eg Vector : 0.0|0.39999999999999997|0.75|0.1111...<br>Obs Prob : 0.7%<br>Pred Prob : 1.8%,28.0
104,1.8,2.0,Cluster : 104 (Size : 395)<br>eg Vector : 0.5|0.19999999999999998|0.75|0.1111...<br>Obs Prob : 2.0%<br>Pred Prob : 1.8%,39.5
105,1.8,0.9,Cluster : 105 (Size : 340)<br>eg Vector : 0.5|0.7999999999999999|0.375|0.2222...<br>Obs Prob : 0.9%<br>Pred Prob : 1.8%,34.0
106,1.8,1.2,Cluster : 106 (Size : 260)<br>eg Vector : 0.5|0.19999999999999998|0.5|0.11111...<br>Obs Prob : 1.2%<br>Pred Prob : 1.8%,26.0
107,1.9,2.0,Cluster : 107 (Size : 200)<br>eg Vector : 0.0|0.6000000000000001|0.875|0.2222...<br>Obs Prob : 2.0%<br>Pred Prob : 1.9%,20.0
108,1.9,1.5,Cluster : 108 (Size : 204)<br>eg Vector : 0.0|0.6000000000000001|0.375|0.1111...<br>Obs Prob : 1.5%<br>Pred Prob : 1.9%,20.4
109,1.9,1.7,Cluster : 109 (Size : 237)<br>eg Vector : 0.0|0.7999999999999999|0.375|0.0|0|1|0<br>Obs Prob : 1.7%<br>Pred Prob : 1.9%,23.7
110,1.9,1.3,Cluster : 110 (Size : 236)<br>eg Vector : 0.5|0.7999999999999999|0.625|0.0|0|1|0<br>Obs Prob : 1.3%<br>Pred Prob : 1.9%,23.6
111,1.9,1.1,Cluster : 111 (Size : 281)<br>eg Vector : 0.5|0.7999999999999999|0.375|0.0|0|1|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.9%,28.1
112,1.9,4.0,Cluster : 112 (Size : 201)<br>eg Vector : 0.5|0.7999999999999999|0.75|0.33333...<br>Obs Prob : 4.0%<br>Pred Prob : 1.9%,20.1
113,1.9,2.5,Cluster : 113 (Size : 202)<br>eg Vector : 0.5|1.0|0.625|0.2222222222222222|0|0|0<br>Obs Prob : 2.5%<br>Pred Prob : 1.9%,20.2
114,1.9,2.5,Cluster : 114 (Size : 285)<br>eg Vector : 0.0|0.39999999999999997|0.375|0.333...<br>Obs Prob : 2.5%<br>Pred Prob : 1.9%,28.5
115,1.9,1.3,Cluster : 115 (Size : 392)<br>eg Vector : 0.0|0.19999999999999998|0.875|0.0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 1.9%,39.2
116,1.9,1.3,Cluster : 116 (Size : 223)<br>eg Vector : 0.0|0.39999999999999997|0.75|0.3333...<br>Obs Prob : 1.3%<br>Pred Prob : 1.9%,22.3
117,1.9,3.0,Cluster : 117 (Size : 203)<br>eg Vector : 0.0|0.19999999999999998|0.5|0.0|0|0|0<br>Obs Prob : 3.0%<br>Pred Prob : 1.9%,20.3
118,1.9,1.5,Cluster : 118 (Size : 475)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.333...<br>Obs Prob : 1.5%<br>Pred Prob : 1.9%,47.5
119,1.9,0.8,Cluster : 119 (Size : 360)<br>eg Vector : 0.5|0.6000000000000001|0.375|0.3333...<br>Obs Prob : 0.8%<br>Pred Prob : 1.9%,36.0
120,1.9,1.6,Cluster : 120 (Size : 827)<br>eg Vector : 0.5|0.19999999999999998|0.75|0.0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.9%,82.7
121,1.9,0.9,Cluster : 121 (Size : 331)<br>eg Vector : 0.5|0.19999999999999998|0.375|0.111...<br>Obs Prob : 0.9%<br>Pred Prob : 1.9%,33.1
122,1.9,3.9,Cluster : 122 (Size : 545)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.111...<br>Obs Prob : 3.9%<br>Pred Prob : 1.9%,54.5
123,1.9,1.5,Cluster : 123 (Size : 755)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.0|0|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 1.9%,75.5
124,2.0,3.0,Cluster : 124 (Size : 232)<br>eg Vector : 0.5|1.0|1.0|0.0|0|1|0<br>Obs Prob : 3.0%<br>Pred Prob : 2.0%,23.2
125,2.0,2.1,Cluster : 125 (Size : 237)<br>eg Vector : 0.0|0.7999999999999999|0.875|0.0|0|1|0<br>Obs Prob : 2.1%<br>Pred Prob : 2.0%,23.7
126,2.0,1.5,Cluster : 126 (Size : 204)<br>eg Vector : 0.5|0.7999999999999999|0.5|0.0|0|1|0<br>Obs Prob : 1.5%<br>Pred Prob : 2.0%,20.4
127,2.0,2.0,Cluster : 127 (Size : 251)<br>eg Vector : 0.0|0.39999999999999997|0.125|0.0|0|0|0<br>Obs Prob : 2.0%<br>Pred Prob : 2.0%,25.1
128,2.0,3.3,Cluster : 128 (Size : 271)<br>eg Vector : 0.5|0.7999999999999999|0.125|0.0|0|0|0<br>Obs Prob : 3.3%<br>Pred Prob : 2.0%,27.1
129,2.0,1.6,Cluster : 129 (Size : 243)<br>eg Vector : 0.5|0.6000000000000001|0.5|0.444444...<br>Obs Prob : 1.6%<br>Pred Prob : 2.0%,24.3
130,2.0,2.2,Cluster : 130 (Size : 223)<br>eg Vector : 0.0|0.39999999999999997|0.5|0.22222...<br>Obs Prob : 2.2%<br>Pred Prob : 2.0%,22.3
131,2.0,2.8,Cluster : 131 (Size : 321)<br>eg Vector : 0.0|0.19999999999999998|0.625|0.0|0|0|0<br>Obs Prob : 2.8%<br>Pred Prob : 2.0%,32.1
132,2.0,1.3,Cluster : 132 (Size : 234)<br>eg Vector : 0.5|0.7999999999999999|0.375|0.3333...<br>Obs Prob : 1.3%<br>Pred Prob : 2.0%,23.4
133,2.0,1.9,Cluster : 133 (Size : 419)<br>eg Vector : 0.5|0.39999999999999997|0.375|0.333...<br>Obs Prob : 1.9%<br>Pred Prob : 2.0%,41.9
134,2.0,1.9,Cluster : 134 (Size : 216)<br>eg Vector : 0.5|0.19999999999999998|0.5|0.22222...<br>Obs Prob : 1.9%<br>Pred Prob : 2.0%,21.6
135,2.1,1.8,Cluster : 135 (Size : 276)<br>eg Vector : 0.5|1.0|0.75|0.0|0|1|0<br>Obs Prob : 1.8%<br>Pred Prob : 2.1%,27.6
136,2.1,3.3,Cluster : 136 (Size : 210)<br>eg Vector : 0.5|0.7999999999999999|0.375|0.3333...<br>Obs Prob : 3.3%<br>Pred Prob : 2.1%,21.0
137,2.1,2.6,Cluster : 137 (Size : 530)<br>eg Vector : 0.5|0.0|0.875|0.1111111111111111|0|0|0<br>Obs Prob : 2.6%<br>Pred Prob : 2.1%,53.0
138,2.1,1.7,Cluster : 138 (Size : 362)<br>eg Vector : 0.0|0.19999999999999998|0.75|0.2222...<br>Obs Prob : 1.7%<br>Pred Prob : 2.1%,36.2
139,2.1,3.7,Cluster : 139 (Size : 268)<br>eg Vector : 0.5|0.6000000000000001|0.125|0.1111...<br>Obs Prob : 3.7%<br>Pred Prob : 2.1%,26.8
140,2.1,2.1,Cluster : 140 (Size : 280)<br>eg Vector : 0.0|0.19999999999999998|0.5|0.22222...<br>Obs Prob : 2.1%<br>Pred Prob : 2.1%,28.0
141,2.1,2.6,Cluster : 141 (Size : 391)<br>eg Vector : 0.0|0.19999999999999998|0.75|0.0|0|0|0<br>Obs Prob : 2.6%<br>Pred Prob : 2.1%,39.1
142,2.1,1.2,Cluster : 142 (Size : 252)<br>eg Vector : 0.5|0.19999999999999998|0.25|0.1111...<br>Obs Prob : 1.2%<br>Pred Prob : 2.1%,25.2
143,2.2,3.1,Cluster : 143 (Size : 327)<br>eg Vector : 0.0|1.0|0.25|0.0|0|0|0<br>Obs Prob : 3.1%<br>Pred Prob : 2.2%,32.7
144,2.2,1.4,Cluster : 144 (Size : 222)<br>eg Vector : 0.5|0.7999999999999999|0.25|0.0|0|1|0<br>Obs Prob : 1.4%<br>Pred Prob : 2.2%,22.2
145,2.2,1.5,Cluster : 145 (Size : 264)<br>eg Vector : 0.5|1.0|0.375|0.0|0|1|0<br>Obs Prob : 1.5%<br>Pred Prob : 2.2%,26.4
146,2.2,1.8,Cluster : 146 (Size : 226)<br>eg Vector : 0.0|0.7999999999999999|0.625|0.0|0|1|0<br>Obs Prob : 1.8%<br>Pred Prob : 2.2%,22.6
147,2.2,2.0,Cluster : 147 (Size : 345)<br>eg Vector : 0.5|0.19999999999999998|0.125|0.0|0|0|0<br>Obs Prob : 2.0%<br>Pred Prob : 2.2%,34.5
148,2.2,2.8,Cluster : 148 (Size : 212)<br>eg Vector : 0.0|0.7999999999999999|0.375|0.3333...<br>Obs Prob : 2.8%<br>Pred Prob : 2.2%,21.2
