StandardID,Cu_Batch_No,Cu_ppm
GBM900-6,RM16002311,4510
GBM307-15,RM16002312,10750
GBM900-6,RM16002312,4470
GBM307-15,RM16001766,10600
GBM900-6,RM16001766,4610
GBM900-6,RM16004815,4470
GBM900-6,RM16004815,4530
GBM900-6,RM16004815,4460
GBM900-6,RM16004820,4570
GBM900-6,RM16004820,4550
GBM900-6,RM16011827,4430
GBM900-6,RM16011827,4500
GBM900-6,RM16018086,4340
GBM900-6,RM17100738,4490
GBM900-6,RM17100738,4480
GBM900-6,RM14076942,4650
GBM900-6,RM17177509,4810
GBM900-6,RM17177509,4640
GBM900-6,RM17177515,5000
GBM900-6,RM17177515,4670
GBM900-6,RM17123534,4740
GBM900-6,RM17123534,4570
GBM900-6,RM17177452,4520
GBM900-6,RM17177452,4630
GBM900-6,RM17177463,4770
GBM900-6,RM17177463,4580
GBM900-6,RM17141730,4580
GBM900-6,RM17177473,4680
GBM900-6,RM17026204,4840
GBM900-6,RM17026204,4640
GBM900-6,RM17026204,4690
GBM900-6,RM17054886,4460
GBM900-6,RM17054920,4690
GBM900-6,RM17054920,4520
GBM900-6,RM17054925,4670
GBM900-6,RM17063935,4620
GBM900-6,RM17063935,4470
GBM900-6,RM17077623,4500
GBM900-6,RM17079514,4640
GBM900-6,RM17100564,4580
GBM900-6,RM17119701,4680
GBM900-6,RM17119701,4740
GBM900-6,RM17177519,4580
GBM900-6,RM17177519,4530
GBM900-6,RM17177559,4730
GBM900-6,RM17177559,4440
GBM900-6,RM17177572,4760
GBM900-6,RM17177572,4770
GBM900-6,RM17177572,4750
GBM900-6,RM17177587,4500
GBM900-6,RM17177587,4560
GBM900-6,RM14076942,4570
GBM900-6,RM14076942,4370
GBM900-6,RM15097268,4530
GBM900-6,RM15105392,4580
GBM900-6,RM15105394,4350
GBM900-6,RM15105394,4590
GBM900-6,RM15105392,4610
GBM900-6,RM15103093,4620
GBM900-6,RM15105829,4550
GBM900-6,RM15105394,4530
GBM900-6,RM15105394,4410
GBM900-6,RM15147119,4450
GBM900-6,RM15147119,4500
GBM900-6,RM16002314,4380
GBM900-6,RM15105392,4580
GBM900-6,RM15147119,4370
GBM900-6,RM15183105,4530
GBM900-6,RM15021065,4550
GBM900-6,RM15021065,4370
GBM900-6,RM15163646,4440
GBM900-6,RM15061622,4550
GBM900-6,RM15163646,4520
GBM900-6,RM15153571,4600
GBM900-6,RM15153571,4440
GBM900-6,RM15153571,4400
GBM900-6,RM15153571,4450
GBM900-6,RM15175239,4500
GBM900-6,RM15175239,4680
GBM900-6,RM15175239,4510
GBM900-6,RM15175239,4420
GBM900-6,RM15183097,4550
GBM900-6,RM15183097,4470
GBM900-6,RM15191091,4320
GBM900-6,RM15021067,4630
GBM307-15,RM13195404,11000
GBM307-15,RM13195404,11050
GBM307-15,RM13195404,10700
GBM307-15,RM13195404,10650
GBM900-6,RM14103792,4670
OREAS-904,NULL,NULL
GBM908-10,RM15042504,3500
GBM908-10,RM15042504,3500
MRGeo08,RM14016469,644
MRGeo08,RM14019150,644
MRGeo08,RM14019741,641
MRGeo08,RM14019747,643
MRGeo08,RM14019748,613
MRGeo08,RM14019749,637
MRGeo08,RM14019821,646
MRGeo08,RM14019822,636
MRGeo08,RM15042505,625
MRGeo08,RM16004829,649
OREAS-904,NULL,NULL
GBM908-10,RM15042504,3600
GBM908-10,RM15042504,3600
MRGeo08,RM14019150,633
MRGeo08,RM14019157,639
MRGeo08,RM14019741,636
MRGeo08,RM14019742,636
MRGeo08,RM14019743,613
MRGeo08,RM14019747,618
MRGeo08,RM14019748,601
MRGeo08,RM14019749,649
MRGeo08,RM14019820,617
MRGeo08,RM14019821,639
MRGeo08,RM14019822,635
MRGeo08,RM14019825,633
MRGeo08,RM14019827,637
MRGeo08,RM15042505,643
GBM908-10,RM15061623,3680
GBM908-10,RM15061623,3680
GBM908-10,RM15103093,3640
GBM908-10,RM15103093,3640
GBM908-5,RM14019820,488
GBM908-5,RM14019821,506
GBM908-5,RM15042505,509
MRGeo08,RM14019150,639
MRGeo08,RM14019152,647
MRGeo08,RM14019157,621
MRGeo08,RM14019159,648
MRGeo08,RM14019743,602
MRGeo08,RM14019747,628
MRGeo08,RM14019749,643
MRGeo08,RM14019823,634
MRGeo08,RM14019824,649
MRGeo08,RM14019827,654
MRGeo08,RM17100738,629
OREAS 90,RM14019748,105
GBM908-5,RM14019150,496
GBM908-5,RM14019822,502
MRGeo08,RM14019152,638
MRGeo08,RM14019153,624
MRGeo08,RM14019157,618
MRGeo08,RM14019158,618
MRGeo08,RM14019159,603
MRGeo08,RM14019740,603
MRGeo08,RM14019742,620
MRGeo08,RM14019743,625
MRGeo08,RM14019820,625
MRGeo08,RM14019821,643
MRGeo08,RM14019823,632
MRGeo08,RM14019825,621
MRGeo08,RM16011827,623
GBM908-10,RM14016469,3610
GBM908-10,RM14016469,3610
GBM908-10,RM14019822,3660
GBM908-10,RM14019822,3660
GBM908-10,RM15021065,3510
GBM908-10,RM15021065,3510
GBM908-5,RM14019748,472
GBM908-5,RM14019825,496
MRGeo08,RM14019150,621
MRGeo08,RM14019151,647
MRGeo08,RM14019153,626
MRGeo08,RM14019158,627
MRGeo08,RM14019740,644
MRGeo08,RM14019742,624
MRGeo08,RM14019820,627
MRGeo08,RM14019826,625
MRGeo08,RM15004267,639
MRGeo08,RM15042505,675
OREAS 90,RM14019743,104
GBM908-10,RM14016469,3540
GBM908-10,RM14016469,3540
GBM908-10,RM14019152,3540
GBM908-10,RM14019152,3540
GBM908-10,RM14019159,3660
GBM908-10,RM14019159,3660
GBM908-10,RM14019740,3610
GBM908-10,RM14019740,3610
GBM908-10,RM14019748,3550
GBM908-10,RM14019748,3550
GBM908-10,RM14019749,3630
GBM908-10,RM14019749,3630
GBM908-10,RM14019823,3570
GBM908-10,RM14019823,3570
GBM908-10,RM16002314,3570
GBM908-10,RM16002314,3570
GBM908-5,RM14019747,493
GBM908-5,RM14019822,498
MRGeo08,RM14019153,636
MRGeo08,RM14019821,624
MRGeo08,RM14019824,641
MRGeo08,RM14019826,612
MRGeo08,RM14019827,625
MRGeo08,RM14019828,644
MRGeo08,RM14188651,636
MRGeo08,RM14196571,629
MRGeo08,RM15004267,629
MRGeo08,RM15105392,647
MRGeo08,RM15105394,623
GBM908-10,RM14019152,3590
GBM908-10,RM14019152,3590
GBM908-10,RM14019740,3500
GBM908-10,RM14019740,3500
GBM908-10,RM14019741,3610
GBM908-10,RM14019741,3610
GBM908-10,RM14019743,3680
GBM908-10,RM14019743,3680
GBM908-10,RM14019747,3570
GBM908-10,RM14019747,3570
GBM908-10,RM14019748,3540
GBM908-10,RM14019748,3540
GBM908-10,RM14019823,3610
GBM908-10,RM14019823,3610
GBM908-10,RM14019826,3690
GBM908-10,RM14019826,3690
GBM908-10,RM14019827,3730
GBM908-10,RM14019827,3730
GBM908-10,RM15021067,3620
GBM908-10,RM15021067,3620
GBM908-10,RM15163646,3560
GBM908-10,RM15163646,3560
GBM908-5,RM14016469,486
GBM908-5,RM14019153,505
GBM908-5,RM14019159,516
GBM908-5,RM14019749,506
GBM908-5,RM14188651,520
GBM908-5,RM15004267,508
MRGeo08,RM14019151,645
MRGeo08,RM14162645,646
MRGeo08,RM14164973,639
MRGeo08,RM15061622,610
MRGeo08,RM15061623,636
MRGeo08,RM15105394,637
MRGeo08,RM16011827,636
MRGeo08,RM17086285,598
MRGeo08,RM17100738,623
GBM908-10,RM14019150,3610
GBM908-10,RM14019150,3610
GBM908-10,RM14019151,3610
GBM908-10,RM14019151,3610
GBM908-10,RM14019153,3590
GBM908-10,RM14019153,3590
GBM908-10,RM14019157,3490
GBM908-10,RM14019157,3490
GBM908-10,RM14019158,3540
GBM908-10,RM14019158,3540
GBM908-10,RM14019741,3640
GBM908-10,RM14019741,3640
GBM908-10,RM14019820,3530
GBM908-10,RM14019820,3530
GBM908-10,RM14019824,3530
GBM908-10,RM14019824,3530
GBM908-10,RM14019827,3640
GBM908-10,RM14019827,3640
GBM908-10,RM14196571,3630
GBM908-10,RM14196571,3630
GBM908-10,RM15183097,3590
GBM908-10,RM15183097,3590
GBM908-10,RM15183105,3600
GBM908-10,RM15183105,3600
GBM908-10,RM16018086,3650
GBM908-10,RM16018086,3650
GBM908-5,RM14019152,516
GBM908-5,RM14019159,510
GBM908-5,RM14019740,489
GBM908-5,RM14019743,481
GBM908-5,RM14019747,498
GBM908-5,RM14019749,500
GBM908-5,RM14019821,505
GBM908-5,RM14019823,484
GBM908-5,RM14019826,516
MRGeo08,RM14019825,632
MRGeo08,RM15002541,627
MRGeo08,RM15004267,627
MRGeo08,RM15021065,645
MRGeo08,RM15021067,638
MRGeo08,RM15042505,634
MRGeo08,RM15061623,607
MRGeo08,RM15105392,638
MRGeo08,RM15105829,627
MRGeo08,RM15163646,629
MRGeo08,RM15195285,632
MRGeo08,RM16002312,620
MRGeo08,RM16002314,600
MRGeo08,RM17086285,627
GBM908-10,RM14019151,3610
GBM908-10,RM14019151,3610
GBM908-10,RM14019153,3530
GBM908-10,RM14019153,3530
GBM908-10,RM14019743,3550
GBM908-10,RM14019743,3550
GBM908-10,RM14019820,3570
GBM908-10,RM14019820,3570
GBM908-10,RM14019821,3650
GBM908-10,RM14019821,3650
GBM908-10,RM14019824,3650
GBM908-10,RM14019824,3650
GBM908-10,RM15021067,3570
GBM908-10,RM15021067,3570
GBM908-10,RM15061623,3640
GBM908-10,RM15061623,3640
GBM908-10,RM15163646,3640
GBM908-10,RM15163646,3640
GBM908-10,RM16004820,3550
GBM908-10,RM16004820,3550
GBM908-10,RM16018086,3590
GBM908-10,RM16018086,3590
GBM908-5,RM14019150,508
GBM908-5,RM14019152,500
GBM908-5,RM14019157,511
GBM908-5,RM14019158,511
GBM908-5,RM14019740,516
GBM908-5,RM14019741,495
GBM908-5,RM14019742,505
GBM908-5,RM14019747,506
GBM908-5,RM14019823,499
GBM908-5,RM14019826,493
GBM908-5,RM14019827,534
MRGeo08,RM14019825,631
MRGeo08,RM14019828,630
MRGeo08,RM14164973,632
MRGeo08,RM14196571,621
MRGeo08,RM15061622,625
MRGeo08,RM15105829,633
MRGeo08,RM15195285,600
MRGeo08,RM16011827,621
GBM908-10,RM14019742,3610
GBM908-10,RM14019742,3610
GBM908-10,RM14019825,3550
GBM908-10,RM14019825,3550
GBM908-10,RM14019828,3730
GBM908-10,RM14019828,3730
GBM908-10,RM15061623,3650
GBM908-10,RM15061623,3650
GBM908-10,RM15105394,3690
GBM908-10,RM15105394,3690
GBM908-10,RM15183097,3630
GBM908-10,RM15183097,3630
GBM908-10,RM15183105,3550
GBM908-10,RM15183105,3550
GBM908-10,RM16004820,3660
GBM908-10,RM16004820,3660
GBM908-10,RM16018086,3640
GBM908-10,RM16018086,3640
GBM908-5,RM14019150,508
GBM908-5,RM14019151,511
GBM908-5,RM14019153,492
GBM908-5,RM14019157,491
GBM908-5,RM14019158,510
GBM908-5,RM14019741,496
GBM908-5,RM14019820,501
GBM908-5,RM14019821,500
GBM908-5,RM14019824,500
GBM908-5,RM14019827,516
GBM908-5,RM15021067,512
MRGeo08,RM15031181,627
MRGeo08,RM15061622,637
MRGeo08,RM15105392,627
MRGeo08,RM15105829,636
MRGeo08,RM16002311,635
GBM908-10,RM14019742,3600
GBM908-10,RM14019742,3600
GBM908-10,RM14019743,3500
GBM908-10,RM14019743,3500
GBM908-10,RM14019828,3600
GBM908-10,RM14019828,3600
GBM908-10,RM15042505,3500
GBM908-10,RM15042505,3500
GBM908-10,RM16001766,3640
GBM908-10,RM16001766,3640
GBM908-10,RM16002312,3610
GBM908-10,RM16002312,3610
GBM908-5,RM14019150,500
GBM908-5,RM14019151,516
GBM908-5,RM14019157,500
GBM908-5,RM14019821,496
GBM908-5,RM14019824,500
GBM908-5,RM14019825,500
GBM908-5,RM15002541,505
GBM908-5,RM15061623,499
GBM908-5,RM17100738,498
MRGeo08,RM14164973,634
MRGeo08,RM14188651,629
MRGeo08,RM14196570,631
MRGeo08,RM15004267,660
MRGeo08,RM15031181,639
MRGeo08,RM15105392,633
MRGeo08,RM15105394,627
MRGeo08,RM15105829,667
MRGeo08,RM16002314,626
MRGeo08,RM16004815,604
MRGeo08,RM16004820,622
MRGeo08,RM16011827,625
GBM908-10,RM15002542,3630
GBM908-10,RM15002542,3630
GBM908-10,RM15042505,3560
GBM908-10,RM15042505,3560
GBM908-10,RM15195285,3630
GBM908-10,RM15195285,3630
GBM908-10,RM16001766,3640
GBM908-10,RM16001766,3640
GBM908-10,RM16002311,3660
GBM908-10,RM16002311,3660
GBM908-10,RM16004815,3570
GBM908-10,RM16004815,3570
GBM908-5,RM14019742,496
GBM908-5,RM14019825,499
GBM908-5,RM14019828,500
GBM908-5,RM14164973,491
GBM908-5,RM15061623,513
MRGeo08,RM14182083,630
MRGeo08,RM15002541,649
MRGeo08,RM15153571,650
MRGeo08,RM15183097,643
GBM908-10,RM15031181,3610
GBM908-10,RM15031181,3610
GBM908-10,RM15183097,3610
GBM908-10,RM15183097,3610
GBM908-10,RM15183105,3630
GBM908-10,RM15183105,3630
GBM908-5,RM14019742,500
GBM908-5,RM14019825,501
GBM908-5,RM14019828,504
GBM908-5,RM14164973,499
GBM908-5,RM14196570,504
GBM908-5,RM15042505,509
MRGeo08,RM14162645,633
MRGeo08,RM14164972,628
MRGeo08,RM15002541,647
MRGeo08,RM15002542,610
MRGeo08,RM15004267,631
MRGeo08,RM15163646,647
MRGeo08,RM15195285,640
MRGeo08,RM16001766,665
MRGeo08,RM16004815,643
GBM908-10,RM14182083,3720
GBM908-10,RM14182083,3720
GBM908-10,RM15004267,3640
GBM908-10,RM15004267,3640
GBM908-10,RM15031181,3610
GBM908-10,RM15031181,3610
GBM908-10,RM15147119,3640
GBM908-10,RM15147119,3640
GBM908-10,RM15153571,3630
GBM908-10,RM15153571,3630
GBM908-10,RM15191091,3640
GBM908-10,RM15191091,3640
GBM908-10,RM16002311,3610
GBM908-10,RM16002311,3610
GBM908-10,RM16002312,3610
GBM908-10,RM16002312,3610
GBM908-5,RM14164973,503
GBM908-5,RM14196571,511
GBM908-5,RM15105829,505
MRGeo08,RM14154666,616
MRGeo08,RM14162646,627
MRGeo08,RM15002542,640
MRGeo08,RM15021065,629
MRGeo08,RM15061622,627
MRGeo08,RM15183097,633
MRGeo08,RM15195285,633
MRGeo08,RM16001766,648
MRGeo08,RM16002314,610
GBM908-10,RM15004267,3650
GBM908-10,RM15004267,3650
GBM908-10,RM15021065,3500
GBM908-10,RM15021065,3500
GBM908-10,RM15061622,3610
GBM908-10,RM15061622,3610
GBM908-10,RM15147119,3450
GBM908-10,RM15147119,3450
GBM908-10,RM15183105,3700
GBM908-10,RM15183105,3700
GBM908-10,RM15195285,3500
GBM908-10,RM15195285,3500
GBM908-10,RM16002314,3670
GBM908-10,RM16002314,3670
GBM908-10,RM16004815,3620
GBM908-10,RM16004815,3620
GBM908-10,RM16011827,3560
GBM908-10,RM16011827,3560
MRGeo08,RM14154666,618
MRGeo08,RM14164972,621
MRGeo08,RM14182083,673
MRGeo08,RM15031181,624
MRGeo08,RM15163646,635
MRGeo08,RM15191091,637
MRGeo08,RM17086285,624
MRGeo08,RM17100738,627
GBM908-10,RM15004267,3630
GBM908-10,RM15004267,3630
GBM908-10,RM15021065,3550
GBM908-10,RM15021065,3550
GBM908-10,RM15061622,3650
GBM908-10,RM15061622,3650
GBM908-10,RM15153571,3580
GBM908-10,RM15153571,3580
GBM908-10,RM15163646,3750
GBM908-10,RM15163646,3750
GBM908-10,RM15191091,3610
GBM908-10,RM15191091,3610
GBM908-10,RM15195285,3670
GBM908-10,RM15195285,3670
GBM908-10,RM16002314,3630
GBM908-10,RM16002314,3630
GBM908-10,RM16004815,3580
GBM908-10,RM16004815,3580
GBM908-5,RM14164972,496
GBM908-5,RM14188651,511
GBM908-5,RM15031181,498
MRGeo08,RM14154666,610
MRGeo08,RM15002541,636
MRGeo08,RM15002542,629
MRGeo08,RM15097268,625
MRGeo08,RM15105394,642
MRGeo08,RM15147119,615
MRGeo08,RM15175239,633
MRGeo08,RM15183097,615
MRGeo08,RM15183105,634
MRGeo08,RM16002311,600
MRGeo08,RM16004820,626
MRGeo08,RM16011827,634
MRGeo08,RM17086285,622
GBM908-10,RM14188651,3610
GBM908-10,RM14188651,3610
GBM908-10,RM15105829,3610
GBM908-10,RM15105829,3610
GBM908-10,RM15163646,3600
GBM908-10,RM15163646,3600
GBM908-10,RM15175239,3610
GBM908-10,RM15175239,3610
GBM908-10,RM16004815,3690
GBM908-10,RM16004815,3690
GBM908-10,RM16011827,3700
GBM908-10,RM16011827,3700
GBM908-5,RM14164972,507
GBM908-5,RM15004267,496
GBM908-5,RM15021065,490
MRGeo08,RM14162646,636
MRGeo08,RM15031181,612
MRGeo08,RM15061622,636
MRGeo08,RM15105394,624
MRGeo08,RM15147119,615
MRGeo08,RM15153571,638
MRGeo08,RM15183105,615
MRGeo08,RM15191091,628
GBM908-10,RM15147119,3650
GBM908-10,RM15147119,3650
GBM908-10,RM15163646,3600
GBM908-10,RM15163646,3600
GBM908-10,RM15195285,3420
GBM908-10,RM15195285,3420
GBM908-10,RM16002312,3560
GBM908-10,RM16002312,3560
GBM908-10,RM16011827,3720
GBM908-10,RM16011827,3720
GBM908-5,RM14182083,501
GBM908-5,RM15004267,495
GBM908-5,RM15021065,487
GBM908-5,RM15105829,502
MRGeo08,RM14188651,658
MRGeo08,RM14196571,643
MRGeo08,RM15097268,640
MRGeo08,RM15105392,642
MRGeo08,RM15153571,632
MRGeo08,RM16002311,622
MRGeo08,RM17086285,613
GBM908-10,RM14154666,3590
GBM908-10,RM14154666,3590
GBM908-10,RM15097268,3670
GBM908-10,RM15097268,3670
GBM908-10,RM15163646,3570
GBM908-10,RM15163646,3570
GBM908-10,RM15175239,3460
GBM908-10,RM15175239,3460
GBM908-10,RM15195285,3510
GBM908-10,RM15195285,3510
GBM908-10,RM16001766,3660
GBM908-10,RM16001766,3660
GBM908-10,RM16002311,3620
GBM908-10,RM16002311,3620
GBM908-10,RM16011827,3480
GBM908-10,RM16011827,3480
GBM908-5,RM15004267,503
GBM908-5,RM15021065,495
GBM908-5,RM15105829,501
MRGeo08,RM14188651,642
MRGeo08,RM15002542,608
MRGeo08,RM15031181,626
MRGeo08,RM15105392,626
MRGeo08,RM15105394,636
MRGeo08,RM15183105,660
MRGeo08,RM16002312,618
GBM908-10,RM15061622,3700
GBM908-10,RM15061622,3700
GBM908-10,RM15147119,3640
GBM908-10,RM15147119,3640
GBM908-10,RM15163646,3600
GBM908-10,RM15163646,3600
GBM908-10,RM15175239,3620
GBM908-10,RM15175239,3620
GBM908-10,RM15183097,3620
GBM908-10,RM15183097,3620
GBM908-10,RM15195285,3640
GBM908-10,RM15195285,3640
GBM908-10,RM16004815,3640
GBM908-10,RM16004815,3640
GBM908-5,RM15004267,494
GBM908-5,RM15105394,500
GBM908-5,RM15105829,505
MRGeo08,RM14162646,637
MRGeo08,RM14182083,640
MRGeo08,RM14188651,662
MRGeo08,RM14196570,673
MRGeo08,RM15097268,628
MRGeo08,RM15183105,622
MRGeo08,RM16002312,635
MRGeo08,RM16011827,629
MRGeo08,RM16018086,644
GBM908-10,RM15061622,3660
GBM908-10,RM15061622,3660
GBM908-10,RM15153571,3590
GBM908-10,RM15153571,3590
GBM908-10,RM15183097,3600
GBM908-10,RM15183097,3600
GBM908-10,RM16011827,3640
GBM908-10,RM16011827,3640
GBM908-5,RM14182083,503
MRGeo08,RM14154666,634
MRGeo08,RM14162645,624
MRGeo08,RM14188651,617
MRGeo08,RM14196570,652
MRGeo08,RM15002541,667
MRGeo08,RM15097268,633
MRGeo08,RM15105392,630
MRGeo08,RM15147119,612
MRGeo08,RM15163646,639
MRGeo08,RM15175239,635
MRGeo08,RM15183105,635
MRGeo08,RM15195285,636
MRGeo08,RM16002311,630
MRGeo08,RM16004815,631
MRGeo08,RM16018086,636
GBM908-10,RM15061622,3660
GBM908-10,RM15061622,3660
GBM908-10,RM15105392,3610
GBM908-10,RM15105392,3610
GBM908-10,RM16002312,3540
GBM908-10,RM16002312,3540
GBM908-10,RM16018086,3580
GBM908-10,RM16018086,3580
MRGeo08,RM14162645,630
MRGeo08,RM14182083,668
MRGeo08,RM14196570,629
MRGeo08,RM15002542,631
MRGeo08,RM15097268,639
MRGeo08,RM15105394,619
MRGeo08,RM15147119,602
MRGeo08,RM15153571,637
GBM908-10,RM15002541,3690
GBM908-10,RM15002541,3690
GBM908-10,RM15031181,3520
GBM908-10,RM15031181,3520
GBM908-10,RM15061622,3630
GBM908-10,RM15061622,3630
GBM908-10,RM15105392,3650
GBM908-10,RM15105392,3650
GBM908-10,RM15147119,3590
GBM908-10,RM15147119,3590
GBM908-10,RM15153571,3600
GBM908-10,RM15153571,3600
GBM908-10,RM15183097,3640
GBM908-10,RM15183097,3640
GBM908-10,RM16004820,3680
GBM908-10,RM16004820,3680
MRGeo08,RM14154666,623
MRGeo08,RM14196570,653
MRGeo08,RM15002542,617
MRGeo08,RM15097268,628
MRGeo08,RM15105394,635
MRGeo08,RM16001766,656
MRGeo08,RM16002312,641
GBM908-10,RM14196570,3650
GBM908-10,RM14196570,3650
GBM908-10,RM15031181,3610
GBM908-10,RM15031181,3610
GBM908-10,RM15061622,3630
GBM908-10,RM15061622,3630
GBM908-10,RM15105392,3630
GBM908-10,RM15105392,3630
GBM908-10,RM15147119,3540
GBM908-10,RM15147119,3540
GBM908-10,RM15191091,3610
GBM908-10,RM15191091,3610
GBM908-10,RM16002311,3560
GBM908-10,RM16002311,3560
GBM908-5,RM14196571,476
MRGeo08,RM14154666,624
MRGeo08,RM14162645,624
MRGeo08,RM14162646,630
MRGeo08,RM14182083,637
MRGeo08,RM15183097,642
MRGeo08,RM16001766,631
MRGeo08,RM16004815,628
MRGeo08,RM16004820,628
GBM908-10,RM15002542,3570
GBM908-10,RM15002542,3570
GBM908-10,RM15031181,3550
GBM908-10,RM15031181,3550
GBM908-10,RM15105392,3640
GBM908-10,RM15105392,3640
GBM908-10,RM16018086,3740
GBM908-10,RM16018086,3740
GBM908-5,RM15061622,497
MRGeo08,RM14162646,630
MRGeo08,RM14182083,645
MRGeo08,RM14188651,632
MRGeo08,RM15097268,635
MRGeo08,RM15147119,644
MRGeo08,RM15183097,640
MRGeo08,RM15191091,623
MRGeo08,RM16002311,626
MRGeo08,RM16004820,624
GBM908-10,RM14196571,3600
GBM908-10,RM14196571,3600
GBM908-10,RM15002542,3700
GBM908-10,RM15002542,3700
GBM908-10,RM15105392,3600
GBM908-10,RM15105392,3600
GBM908-10,RM15153571,3660
GBM908-10,RM15153571,3660
GBM908-10,RM16001766,3620
GBM908-10,RM16001766,3620
GBM908-10,RM16002311,3690
GBM908-10,RM16002311,3690
GBM908-10,RM16004820,3650
GBM908-10,RM16004820,3650
GBM908-5,RM15031181,502
GBM908-5,RM15061622,504
MRGeo08,RM14182083,669
MRGeo08,RM15002541,643
MRGeo08,RM15175239,643
GBM908-10,RM14196571,3620
GBM908-10,RM14196571,3620
GBM908-10,RM15002542,3680
GBM908-10,RM15002542,3680
GBM908-10,RM15147119,3570
GBM908-10,RM15147119,3570
GBM908-10,RM16001766,3620
GBM908-10,RM16001766,3620
GBM908-10,RM16011827,3600
GBM908-10,RM16011827,3600
GBM908-5,RM15031181,502
GBM908-5,RM15061622,512
GBM908-5,RM15105392,498
MRGeo08,RM15191091,628
MRGeo08,RM15195285,612
MRGeo08,RM16004815,643
MRGeo08,RM16004820,632
GBM908-10,RM14188651,3580
GBM908-10,RM14188651,3580
GBM908-10,RM15002542,3610
GBM908-10,RM15002542,3610
GBM908-10,RM15153571,3570
GBM908-10,RM15153571,3570
GBM908-5,RM14196571,514
GBM908-5,RM15031181,501
GBM908-5,RM15061622,517
GBM908-5,RM15105392,501
MRGeo08,RM14196570,632
MRGeo08,RM15002541,647
MRGeo08,RM15097268,627
MRGeo08,RM15147119,628
MRGeo08,RM16002311,622
MRGeo08,RM16004815,627
MRGeo08,RM17086285,612
MRGeo08,RM17100738,640
GBM908-10,RM14154666,3580
GBM908-10,RM14154666,3580
GBM908-10,RM14188651,3540
GBM908-10,RM14188651,3540
GBM908-10,RM15002542,3540
GBM908-10,RM15002542,3540
GBM908-10,RM15105394,3560
GBM908-10,RM15105394,3560
GBM908-10,RM15153571,3610
GBM908-10,RM15153571,3610
GBM908-10,RM15175239,3820
GBM908-10,RM15175239,3820
GBM908-10,RM16002311,3580
GBM908-10,RM16002311,3580
GBM908-10,RM16018086,3650
GBM908-10,RM16018086,3650
GBM908-5,RM15061622,511
GBM908-5,RM15105392,503
MRGeo08,RM14162646,632
MRGeo08,RM14182083,643
MRGeo08,RM14196570,617
MRGeo08,RM15002541,650
MRGeo08,RM15147119,621
MRGeo08,RM17086285,632
GBM908-10,RM14154666,3610
GBM908-10,RM14154666,3610
GBM908-10,RM14188651,3510
GBM908-10,RM14188651,3510
GBM908-10,RM15097268,3570
GBM908-10,RM15097268,3570
GBM908-10,RM15105394,3650
GBM908-10,RM15105394,3650
GBM908-10,RM15153571,3660
GBM908-10,RM15153571,3660
GBM908-10,RM16002311,3540
GBM908-10,RM16002311,3540
GBM908-5,RM14196570,508
GBM908-5,RM15002542,503
GBM908-5,RM15105392,480
MRGeo08,RM15175239,612
MRGeo08,RM16004815,632
GBM908-10,RM14154666,3630
GBM908-10,RM14154666,3630
GBM908-10,RM14188651,3410
GBM908-10,RM14188651,3410
