"Correct guesses, x","Correct guesses, y","Wrong guesses, x","Wrong guesses, y"
183,0.1825264981,212,0.1341384555
184,0.3967151883,215,-0.1131148203
185,-0.1442859569,228,-0.0983175592
186,-0.0712353803,229,-0.0547931661
187,-0.2145718376,230,-0.1613742168
188,-0.1094785192,231,-0.1761908152
189,0.042792274,232,0.0362687712
190,-0.6822129148,233,-0.3526919595
191,-0.0931742397,237,0.1243954417
193,0.0660535142,238,-0.1867909028
197,-0.2750839885,241,0.0256131952
201,0.0108252114,242,-0.2867254924
202,-0.1092975687,244,-0.0769392125
203,-0.286814683,247,0.9387638794
204,0.9052992056,253,-0.0375593958
205,0.1434930211,264,-0.3165762991
206,0.3224434578,266,0.3604332475
207,1.0487381456,270,0.0872411051
210,-1.2989671596,272,0.4032787333
211,0.008352006,274,-1.6026675017
213,-0.1493463784,276,1.3656774723
214,-0.1745549072,280,-0.0111599357
216,-0.1702312178,284,-0.5100052247
217,-1.1328853981,292,0.1705745062
218,-0.2168431114,295,0.1010145659
219,0.0739907467,298,-0.1047876527
220,-0.2177869772,305,0.6443917787
221,0.1466024637,307,-1.6209495644
222,-0.1842667952,308,1.4757147388
223,0.0422750247,310,-0.287436814
224,0.3011465412,311,0.7215846867
225,-0.2146917764,312,-0.4023258358
226,-0.0373433737,314,-0.1112955836
227,-0.1140796857,318,-0.1649341035
234,-0.2037464097,326,0.0913636483
235,0.7190056218,339,0.4921469582
236,-1.672582828,340,0.1882439005
239,0.2314531265,345,0.5999657456
240,-0.2927726325,349,-0.4384309746
243,-0.01204061,354,-0.8949323172
245,-0.0990144837,355,0.6439468694
246,1.4033178422,359,-1.6461811302
248,0.4369591691,361,-0.1272366935
249,0.0687582356,363,-2.8576383053
250,0.6920548941,364,1.6531823418
251,1.9755432319,369,0.6125397409
252,-0.0202389259,376,0.3170454926
254,0.3409273183,377,-0.1315709185
255,0.1460932494,391,1.3075831584
256,0.2683701747,393,1.566786675
257,0.3549535183,394,0.6143061582
258,0.6448221733,403,-0.5955893388
259,0.3293702713,405,-0.2010282701
260,0.3404899717,411,0.0636320726
261,-1.441840591,412,-0.137858841
262,0.1035378868,413,-0.5728799528
263,-2.6737090532,414,0.053037449
265,-0.0608161267,417,0.5997256754
267,-0.2003669205,418,0.0163212688
268,-0.1770601824,420,0.6332385356
269,0.1180155132,421,-0.3209505468
271,0.5527379248,453,0.3241225874
273,0.1645688243,454,0.4286207528
275,1.2659527766,458,2.3157762451
277,-1.7600932063,459,1.7291786927
278,1.1039948642,461,0.754364028
279,1.3855645772,462,1.6704157
281,0.4019553865,463,0.5628985156
282,-0.3605230824,474,-0.4059647715
283,-1.0539365253,493,0.0415117034
285,-0.0337147619,495,-0.1362766611
286,-0.4199824654,498,-0.2721703112
287,-0.8670587221,500,-0.2671730839
288,-1.2861585766,501,-0.2232620217
289,-0.5008900442,502,-0.1337229179
290,0.8730538719,507,0.0865500865
291,2.6813953548,508,0.0455721288
293,-0.8348880561,509,-0.0904854039
294,-0.6589931923,510,1.5177318071
296,-0.1578521592,512,0.0124139429
297,-1.7911129022,514,0.3688550675
299,-4.304141556,516,0.088586778
300,-0.8660591091,517,2.3360365142
301,-0.7400194873,518,0.5762034624
302,-0.1532817272,519,1.4835728165
303,-0.5493750019,520,-1.3395691419
304,0.6972819797,522,-0.5442809637
306,0.3833794792,525,0.1771753971
309,0.320084371,526,0.0203617972
313,-0.166694382,527,0.1257021661
315,0.0812475302,530,-0.1098677378
316,-0.5076725586,533,0.1031524579
317,-0.4681202747,534,0.2258866498
319,0.1015473409,535,0.1816613323
320,0.1465000286,536,-0.0322379757
321,-0.2199075757,539,0.2866341272
322,-0.3791244033,540,-0.1073902966
323,0.4525683348,542,0.2030780553
324,0.0974039494,543,-0.0733093097
325,-0.0589587147,544,-0.1754570868
327,-0.2231219217,546,0.0451616989
328,0.8418346976,547,-0.7635483447
329,-0.4807502541,549,1.7532948394
330,0.1648639122,552,1.5162445115
331,-0.857571662,555,-0.4477208722
332,-0.3608683138,556,0.6445523342
333,-0.5083912314,558,1.3505664068
334,0.1499905425,565,-1.7675476101
335,0.4463289038,566,8.9556704702
336,0.1546710733,567,2.4232656503
337,-0.1332739246,570,-0.6670357037
338,-0.5253731008,572,-0.0291911261
341,-0.1356156555,576,-1.5114400125
342,-0.1920462716,578,0.1023136415
343,-0.1889692937,579,0.0642948019
344,-0.2521592802,580,-1.0619667576
346,0.4099291173,581,0.2517693908
347,0.6883725804,582,2.9004712727
348,-0.1054677499,583,-1.8157987523
350,-2.7959749533,584,-2.5069600258
351,0.4314841039,585,-0.1921499586
352,0.148121916,587,-0.5940716145
353,1.4936097267,588,-0.3820648297
356,1.2933643417,590,0.1969326273
357,-0.4575371401,593,0.6144223234
358,0.3105401818,595,-0.6023466966
360,0.0346712967,597,-0.0996013248
362,-0.3280012384,599,0.0822865367
365,-0.951191295,610,0.6292432875
366,-0.0958415956,611,2.4331018848
367,0.9178665703,614,-1.3802049273
368,-0.181098733,620,0.1995433194
370,-0.1253701812,621,-0.2345606247
371,0.3638526729,623,0.5809133863
372,-0.0237580207,624,-0.7122107471
373,-1.0353567153,626,-0.0590568453
374,0.0427622808,627,0.3321179192
375,0.0222698536,628,2.2232428988
378,-0.1698690237,629,-0.0513155306
379,-0.1129817662,630,-0.5037606638
380,-0.3708006373,632,-0.3019290461
381,-0.1558398403,633,-0.457624452
382,-0.007775412,634,1.0756766921
383,0.2068772725,635,-1.0326171765
384,0.2094616086,636,1.5193122536
385,-0.1165468465,638,1.0371294236
386,0.0630305452,639,-0.2166524332
387,-0.0649337303,641,0.9215580601
388,-0.5047964172,642,-0.6017160258
389,0.0512450216,643,-0.41789565
390,1.0296491685,644,0.0928652933
392,0.1203072721,647,-0.5758414394
395,0.1740307989,649,0.1126382388
396,0.0838864534,650,-1.0351435112
397,-1.0743755152,652,-0.5300463956
398,1.0954093211,653,0.4047358238
399,-0.4225330327,654,-0.019588018
400,-0.193926987,655,-0.5163404005
401,-0.1507127298,656,-0.234062775
402,-0.0887750852,658,-0.1777104117
404,0.0720229396,660,0.1383017956
406,-0.4794386355,662,-0.7223090414
407,0.0991084312,664,-0.9198916671
408,-0.4515945116,666,-0.7395952248
409,-0.171514139,668,-0.3360599803
410,0.0270584538,669,-0.4145991576
415,0.2814891578,670,-1.0276799475
416,-0.0552056278,671,-0.3985085799
419,0.0936056236,677,0.1789290368
422,0.3584586517,681,-0.1141890865
423,-0.5531039066,683,0.8624015354
424,0.3510544947,685,-0.5777403828
425,-0.7636657938,686,-0.1283688552
426,-0.0742699388,687,0.0176729955
427,0.1892181272,688,0.226423364
428,-0.4565410439,689,-0.750209547
429,0.0567419195,691,-1.8247827647
430,-0.0786302166,694,-0.1628478914
431,-0.0441534441,695,-2.1438165528
432,-0.7284626133,696,-0.3241567896
433,0.1475475348,698,-0.1766096995
434,2.5300213216,700,-0.8816534508
435,-0.618892945,703,0.8507989783
436,0.1965010165,704,-0.3466276146
437,0.6395967071,706,-1.4036161712
438,-0.4111388375,709,-1.0912558441
439,-0.220407013,715,0.6337479755
440,0.3028474444,726,-0.4061624033
441,0.1467968033,730,-0.3968593765
442,-0.3256745916,735,-0.750266549
443,0.1443781735,737,0.0637156416
444,0.2887187662,761,0.4295081647
445,-0.0203220234,762,0.3132564371
446,0.1443599988,770,-0.1348103064
447,0.7322939676,771,0.2806324598
448,-0.191687692,777,0.0509582302
449,0.0813853669,778,-0.8753747528
450,-0.8897459598,781,0.0559816748
451,-0.01612454,782,-0.1725848045
452,-0.0549536494,783,0.0727168266
455,-0.1142015928,784,-0.2210084225
456,0.0351620135,785,-0.0999788622
457,0.5115042587,788,0.0840805824
460,0.4955625172,796,2.2910442492
464,1.4437387283,800,0.086993897
465,-0.677393959,804,-0.085342947
466,1.2606959352,807,0.3055676215
467,-0.8994689064,809,0.0760271705
468,-0.0158175432,816,-0.105085084
469,1.9079484447,817,-0.0539970835
470,0.2359285425,818,-0.2295859596
471,-0.3041340872,821,-0.355530133
472,-0.8578406013,824,-0.8953812761
473,2.0102018221,825,-0.0181112047
475,1.508410434,826,-0.2000188791
476,-0.6255867089,835,0.7189448984
477,0.5479857416,836,0.2790526241
478,1.9812785218,840,-0.2847722331
479,-0.4028582326,841,0.0032368748
480,0.0013802224,853,0.1659888654
481,0.1930218144,858,-0.0626939013
482,0.4078324007,864,2.4893846393
483,1.2206232357,866,0.6664333638
484,-0.7008983047,867,1.6699263909
485,0.5032519667,868,0.4566687001
486,-1.8707353492,871,-1.4544393776
487,0.0691636767,876,-0.2904303684
488,-0.1945757154,886,-0.0359140405
489,0.191917905,888,-0.5154296753
490,-0.4448794501,,
491,0.5896440559,,
492,0.1366207303,,
494,-0.7809577965,,
496,-0.2227413291,,
497,-0.1350955374,,
499,0.1330087043,,
503,0.5756925897,,
504,0.8345962911,,
505,-0.9244949476,,
506,-0.2261325067,,
511,2.2111969896,,
513,-0.1413530674,,
515,0.1640448672,,
521,0.9698532456,,
523,-0.2838087683,,
524,-0.4155481598,,
528,-0.0529503333,,
529,-0.1295192707,,
531,-1.2898768412,,
532,-0.3611202138,,
537,0.2796134814,,
538,-0.0355582688,,
541,-0.4563412916,,
545,0.0811444227,,
548,-0.0613805401,,
550,1.4252566601,,
551,-0.1129464501,,
553,1.424093957,,
554,-0.5751499745,,
557,2.7117878746,,
559,-0.0904854039,,
560,3.0667730656,,
561,1.2500406907,,
562,-0.4684201623,,
563,-1.5077884357,,
564,1.8777850623,,
568,0.6385252868,,
569,1.7859540583,,
571,0.1892137298,,
573,0.695178034,,
574,0.351854537,,
575,-1.8636990604,,
577,-0.0064349094,,
586,-0.1489237209,,
589,-0.0737566038,,
591,0.9761347162,,
592,0.9024582313,,
594,0.003734717,,
596,0.0775041661,,
598,-0.1734038145,,
600,0.0296385459,,
601,-0.0155403796,,
602,1.6374843991,,
603,0.3578573222,,
604,-0.3322435467,,
605,-0.167829207,,
606,1.8680750572,,
607,-1.6517162236,,
608,0.5339325726,,
609,-5.5891226296,,
612,1.3008196942,,
613,0.8172142854,,
615,6.0216378866,,
616,-0.2203919553,,
617,0.4444019512,,
618,0.4554881761,,
619,0.8180862442,,
622,-1.3654753611,,
625,0.7681450857,,
631,0.7234300369,,
637,-0.1794194194,,
640,-0.3730552593,,
645,-0.1512529971,,
646,-0.291140101,,
648,1.2819013664,,
651,0.6778715865,,
657,0.2941918395,,
659,-0.6819292154,,
661,-0.0700096769,,
663,0.6887947611,,
665,0.4487575047,,
667,-0.4792558796,,
672,0.5996451866,,
673,-0.7282618395,,
674,-0.6716628563,,
675,-0.2727532266,,
676,0.0358031183,,
678,0.263299196,,
679,0.8889045264,,
680,0.7350429413,,
682,-0.6091159272,,
684,-0.3843719693,,
690,-0.2540459734,,
692,-3.0950717255,,
693,1.2575813863,,
697,0.2956912771,,
699,0.537835841,,
701,1.6113629405,,
702,-0.4017339567,,
705,-0.9130527435,,
707,-0.6776343202,,
708,0.0017801036,,
710,-1.217035452,,
711,-0.1969423553,,
712,-0.2849219782,,
713,0.1842229132,,
714,0.5253434146,,
716,0.1305262604,,
717,-0.2367597532,,
718,-0.1870898278,,
719,0.0472917376,,
720,0.2364922121,,
721,-0.3703672355,,
722,0.0907696496,,
723,0.3473744102,,
724,0.3192347082,,
725,0.5286689108,,
727,-0.8398541049,,
728,1.1846573419,,
729,0.1463630112,,
731,0.165868893,,
732,-0.4794190438,,
733,-0.4595891181,,
734,0.0353582947,,
736,-0.2720969328,,
738,0.3510665225,,
739,0.285978996,,
740,-0.1962350948,,
741,-0.3197206274,,
742,-0.2519154302,,
743,-0.0322181788,,
744,-0.1841903471,,
745,-0.0773195556,,
746,0.0087592434,,
747,-0.0038301275,,
748,0.4846166241,,
749,1.0454030553,,
750,1.1284392096,,
751,5.2111117421,,
752,-0.1931659883,,
753,-0.1073775957,,
754,-0.5385701224,,
755,-0.3534869243,,
756,0.2910720128,,
757,-0.1740327059,,
758,0.9695536226,,
759,0.1297858129,,
760,-0.0792380266,,
763,-0.4677620293,,
764,-0.3495233543,,
765,-0.9936698899,,
766,-0.1056785422,,
767,0.2481851686,,
768,-0.6986416342,,
769,0.0440375213,,
772,0.5685139475,,
773,0.1563915061,,
774,0.3597382081,,
775,-0.6799504632,,
776,-0.2530272612,,
779,0.041404866,,
780,-0.2826115314,,
786,-0.8591564129,,
787,-0.5829992821,,
789,-0.1049058774,,
790,-0.108320414,,
791,-0.3399866125,,
792,1.0126482462,,
793,0.2292298816,,
794,0.2839783118,,
795,0.1320157408,,
797,-2.5505245606,,
798,-1.17435128,,
799,0.3218129835,,
801,-0.0442044272,,
802,-0.1178762728,,
803,-0.1304061638,,
805,-0.9391859866,,
806,0.4383026516,,
808,-0.0936687403,,
810,-0.2499429024,,
811,-0.0262859577,,
812,0.6166760703,,
813,-0.179582569,,
814,-0.1085794446,,
815,-0.0364500772,,
819,-0.0677722002,,
820,0.0670719634,,
822,-0.1216259957,,
823,0.8101814255,,
827,-0.0435210404,,
828,-0.3583860283,,
829,-0.0642700662,,
830,-0.2458007443,,
831,-0.0688292213,,
832,-0.0274213081,,
833,-0.2036196472,,
834,0.721542324,,
837,-0.0690670202,,
838,0.117011986,,
839,1.8801352161,,
842,0.352360862,,
843,0.1433813815,,
844,0.4866221046,,
845,0.5703750938,,
846,1.0795733726,,
847,0.3539220222,,
848,-0.1192546324,,
849,-1.2632096082,,
850,-0.0438610389,,
851,-2.9148516507,,
852,0.3799326297,,
854,0.3681395457,,
855,0.1505171618,,
856,-0.07204103,,
857,0.1005860402,,
859,0.2058580283,,
860,0.1437876637,,
861,-0.4412680995,,
862,-1.9835458599,,
863,0.9011039657,,
865,-1.6338917039,,
869,1.9492390657,,
870,-0.5846724702,,
872,-0.7457803601,,
873,-0.2563558889,,
874,-0.8608686209,,
875,-2.5214743047,,
877,-0.0056042971,,
878,0.6962796191,,
879,3.3882359988,,
880,0.3944171221,,
881,-0.7371219495,,
882,0.3027819914,,
883,0.560253178,,
884,-0.1339734324,,
885,-1.3270609702,,
887,-3.0173815679,,
889,-0.5255282815,,
890,0.023532117,,
891,-0.4670618637,,
892,1.1208721496,,
893,0.578496358,,
