x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10],z[11],z[12],z[13],z[14],z[15],z[16],z[17],z[18],z[19],z[20],z[21],z[22],z[23],z[24],z[25],z[26],z[27],z[28],z[29],z[30],z[31],z[32],z[33],z[34],z[35],z[36],z[37],z[38],z[39],z[40],z[41],z[42],z[43],z[44],z[45],z[46],z[47],z[48],z[49],z[50],z[51],z[52],z[53],z[54],z[55],z[56],z[57],z[58],z[59],z[60],z[61],z[62],z[63],z[64],z[65],z[66],z[67],z[68],z[69],z[70],z[71],z[72],z[73],z[74],z[75],z[76],z[77],z[78],z[79],z[80],z[81],z[82],z[83],z[84],z[85],z[86],z[87],z[88],z[89],z[90],z[91],z[92],z[93],z[94],z[95],z[96],z[97],z[98],z[99]
-122.3416666667,47.3583333333,,270.9359605911,378.3783783784,378.3783783784,188.7417218543,237.7365285287,252.4752475248,,,,,,,,,291.2019654576,209.7186092098,231.4048571116,214.0609586479,201.9434667451,160,160,,,,160,160,160,,,,,,,160,189.4398397185,169.4640888143,172.449428466,178.795381953,176.9773722842,165.8141858142,182.5956846879,162.3536477589,189.5599977508,172.4755034596,181.8752090462,378.2145456952,,,,,216.6599263467,177.5595447331,,,171.875,168.4782608696,,168.1034482759,208.5647588814,212.6254335278,226.4785640857,160,,,,,,,,,,,,,,,,,,,,,,,,317.2707889126,,221.1180124224,220.7297624986,238.3052398872,213.9037433155,,,316.5884484815,240.1219188094,,,,
-122.3333333333,47.3666666667,311.2449799197,,,,,,160,300.7317073171,,,,,,,,,249.749653567,257.8999581485,207.9263020784,181.5369612657,167.4510149573,176.9168459353,,161.2531328321,160,160,160,160,160,160,,,,,191.5800254784,186.9370774253,205.9207264472,172.9372229474,160,191.9740853659,163.4114623418,175.4324848661,194.1703631247,174.4984902853,195.0023343962,190.3557254301,218.0358318613,170.470806413,184.4224502712,404.5454545455,350.2495543672,238.2930741333,381.6425120773,,,,178.5714285714,,178.0533029381,198.2120852393,205.6585090176,260.7015210706,,,,,,,,,,,,,,,,,,,,,,,,190.9722222222,211.7886178862,210.7793664144,230.3664921466,236.595754315,220.8635275989,177.068452381,197.1066907776,201.2915129151,,261.9047619048,,,,
-122.325,47.375,,456.1101549053,,458.1049334377,,,,,,,,,,,,,,179.7023715191,199.4345985278,175.0473198454,168.4941026898,160,160,160,164.9215360485,171.0443655776,160,160,241.5480372753,160,,192.4657534247,161.1946316712,160,220.1133043662,220.5309003354,161.8680181385,169.2218319172,169.4263408337,161.9447192958,205.7899384169,205.4024638188,213.1575389072,187.2021101894,196.9005724972,208.4586622428,211.8671583141,236.943087094,243.2857824561,160,272.3214285714,,212.1520483193,246.1139896373,376.1467889908,384.7333069187,234.8810998369,211.0961928728,,207.8400980164,209.0592334495,,,,,,,,,,,,,,,,,,,,,,,202.9288702929,301.4683775114,176.1235955056,213.301392175,186.4144875526,250.7335905377,252.2184945771,271.9647682915,192.596101837,251.11668267,261.4625691856,255.364806867,313.025210084,192.1397379913,266.5257352941,,
-122.3166666667,47.3833333333,,,,,,,,,,,,,,,,,350.0339164659,426.0089686099,169.5758431639,170.5237855177,181.0419614553,179.1973495261,219.2490207498,162.3156791161,184.5355088468,198.8151041667,188.9825448911,,186.9815379151,160,194.2927241212,160,189.6421861132,167.0063287664,160,233.799600196,215.007547215,209.7558108367,206.5973490641,181.9863347454,179.7205802871,198.7634145353,177.5030526838,182.5116184297,194.2879342595,213.9801929833,233.8844025069,244.8979591837,165.5298013245,,228.8207825066,254.6988193862,220.0548856369,,,213.7388896486,194.5812807882,,,193.8447593935,192.5675675676,,,,,,,,,,,,,,,,,,,,,,,216.7463478567,209.2052786444,207.1430376547,204.6307666111,197.7822674051,252.8517110266,284.5117845118,,,255.805898736,459.6966008675,231.3715562803,,163.7391304348,,,
-122.3083333333,47.3916666667,,,,,,,,,,,,,,,369.4286316677,240.1846039096,237.397982214,170.2818922222,175.2709471832,160,188.7971495154,161.7163021894,160,176.8625877221,160,,179.0813627605,184.3617402935,160,165.6877975705,174.6066006658,173.9280095463,195.3750380818,209.3362532821,,178.2258064516,,217.3274009323,209.1395163104,224.5544580154,199.3870025982,180.5512943942,186.0846330945,192.6285000916,,,189.6551724138,277.4133663366,269.7297297297,174.6543778802,,211.7565211403,246.7397369651,,,,,,,,,,,,,,,,,,,243.4701492537,243.4701492537,,,,,,,,,,,,,253.482081056,226.5859519252,303.8981993312,,,,,,,,,,,,
-122.3,47.4,,,,234.5078584351,228.6594133277,,,,,,,,,355.8471682435,322.135382531,225.4331699467,215.4524006816,196.6849813137,208.854283134,193.8114405499,179.0240201107,168.4518383855,169.7802197802,161.8587211341,186.541234325,,160,160,160,185.2288791161,197.5767797314,212.1867522475,221.6440762866,310.9903133396,,,232.5720207927,214.8533488177,165.4456829552,187.8358828409,203.1031055999,180.8901056103,206.4452499219,209.6790540541,356.0,229.6296296296,210.7135104507,232.1266968326,160.9848484848,229.1139240506,,,,,,,,292.1348314607,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,178.6786786787,294.0831630861,,,,,,,,,,,,
-122.2916666667,47.4083333333,,,,279.2207792208,,,,,,,,,308.9613906741,307.095891173,320.906359871,308.8862136503,207.5267777925,189.9028786229,172.308370124,172.6079906133,169.2933406264,168.8105779766,172.8058097483,,,,160,160,174.0497196506,214.2225600049,315.3496069694,242.8010904408,,,,249.7466031812,211.5250386079,214.0453689317,169.3302769535,209.6038046063,215.9825620843,199.3391174942,195.9341892663,,,201.4755399258,220.4630165156,176.0,,,,,,195.4887218045,,,257.9996874757,248.0,,,,,,,,,,,,197.2677595628,,,,192.9530201342,221.662566383,200.3731160647,202.6178010471,180.5163043478,,,214.2857142857,,,,,174.0331491713,,160,,,,,,,,,,,,
-122.2833333333,47.4166666667,,,,,,,,,,,,,476.2308665081,292.9351560256,315.7678094034,285.816719907,236.9183582366,234.9316003837,234.3608320227,194.3231997944,175.0391363908,262.0120777643,,,,239.8792447487,160,160,173.5823584999,245.322017021,,,,,547.0383275261,275.9678581984,196.3642448121,229.6770845251,256.6522872291,238.5707070707,219.298245614,269.8099894484,274.6652548742,,,,,,,,,,,242.2443972391,239.9992506742,282.5638268152,350.1315978388,,,,,,,,,,,,293.27036703,,,,,215.3959752095,221.8552204822,193.4338102229,,,244.1326530612,229.9544537932,262.96875,222.3954091252,,,,,,,254.4747081712,,,,,,,,,,,
-122.275,47.425,,,,,,,,,,,,,288.0564565054,311.2962833332,307.7284760403,309.4369673104,215.8856801959,264.9024683447,232.0652627051,,218.0078174061,235.9180602118,193.113104309,,163.5329224356,190.2637822005,181.0279383352,183.7221302624,266.6386211971,,,374.166106977,421.7237737717,368.6996265674,,387.8749872922,221.3976171773,237.6859912528,227.9625766793,234.8025790418,253.9026973464,255.2896293904,264.1705797281,279.2527103321,269.110757373,,,,,,313.155644077,276.9306743609,234.0425531915,249.4805802363,258.6346465349,251.957852841,238.0099403411,,,,,,,,225.2747252747,,221.6494845361,,252.4689171123,396.1424332344,,242.0634920635,,280.5194540152,192.2148945635,217.6986692334,215.4711447078,190.8925456423,192.4274579077,216.5581031384,210.7598337822,248.6486486486,201.1708656331,,,,,,252.2257965338,,297.4141414141,,,,,,,,,
-122.2666666667,47.4333333333,,,,,,,,,,,,,283.1829039392,342.9733805955,354.1320615476,309.325507892,219.9670673024,198.1934951608,255.9632765714,,,366.3793103448,,174.8768472906,189.558793238,203.0728523025,203.9813754436,256.2440775353,371.39944045,,505.7454977732,381.5266908614,368.6956229614,380.4725647768,388.4773835309,,264.598540146,233.9821033927,257.1823542287,245.0179287423,250.1363252682,233.2028746681,,,287.7237476298,277.4049217002,285.9240069085,,,,,251.9009991905,237.0518968146,270.6265769295,266.1926500403,253.3333333333,266.8367444331,,,,284.9660427836,,650,176.6383742361,,,,,,,188.8412017167,,399.2424242424,204.8999989926,208.0032175107,224.5175018261,193.8105321823,221.2603444921,231.6666666667,237.1026370851,,,,,,,,,225.9615384615,650,181.726661341,,,,,,,,,
-122.2583333333,47.4416666667,,,,,,,,,,,,,388.7942167499,323.6745246338,305.083711846,238.0525585318,249.9947856808,218.8557809565,,,,239.7915368736,218.9056435513,215.7592410978,212.1648150617,198.7348738723,242.3233481593,229.6122700063,368.0687830151,,,423.2633381479,362.0232027692,373.497561079,366.2609418157,,349.9148649392,253.6188422615,276.6091139914,253.7214736994,238.0812735651,326.7743699232,308.0970699736,300.7248277019,298.7623695144,291.7334865224,295.4325463783,332.1976961367,276.9904145483,237.5399361022,272.0705559711,303.664921466,,,280.9375,,,281.41833849,293.5031962617,299.9172142489,277.7468721228,453.6082474227,,,271.291577,285.8606557377,,,250.7836990596,,,,,202.4864965387,203.3228778164,237.5600030161,201.3349305875,,,,,,,,225.0947867299,,,,,,,,,,,,,,,
-122.25,47.45,,,,,,,,,,,,,370.2289796959,344.3651842776,301.1038872595,256.0069295153,264.3159366575,240.2703507884,,,,291.7818158406,240.3025876111,241.0884107049,232.3913577763,285.6532274945,281.9687788305,333.5349529195,313.9263425269,,,,432.5748106538,360.6035623674,485.7484216722,,443.9642654767,293.5213935292,272.1059173938,243.4341593766,283.6215477698,308.1754120881,417.0539881938,303.5421928072,263.0560836567,271.3847129249,334.0815069354,305.1905688455,301.5031291046,192.4603174603,299.38065062,,,,,251.3764013764,245.6452640577,297.347629968,,256.6644918064,273.8526881666,267.9653196784,,,,179.6875,215.4088050314,,,,,,276.5422885572,326.3665921561,,,,176.7676767677,,,,,,285.908611936,,,,,,,,,,,,,,,,
-122.2416666667,47.4583333333,,,,,,,,,,,,388.8242800836,395.6254162862,317.3414111331,336.0453164551,292.4621026418,319.7933566833,308.0188679245,,,,308.6551940012,265.4134794725,190.4512616202,266.1784175032,291.932712254,303.2261596835,320.8639569894,330.0125150679,,,,424.0244152596,409.138150505,430.9117767918,,,283.5002836247,241.9611440942,209.1213685675,363.7500652933,365.0901260555,303.4476083633,292.6624814442,293.2348695313,270.0217954578,293.9873446934,301.9671962128,307.8393152181,265.8804840794,310.0625185941,,,,603.9603960396,249.2164813705,245.525996915,262.4573543218,295.491142694,504.5780487235,248.8625598947,,,,650,,,184.1085271318,200.6928958267,206.3008130081,243.2432432432,300.6995245456,228.0039250037,240.4714455028,,221.4285714286,192.5701656956,175.5050505051,160,,,,,,,,,,,,,,,,,,,,,
-122.2333333333,47.4666666667,,,,,,,,,,,435.314171462,363.518855115,351.7869076023,336.3170886123,330.697428734,287.6967766768,321.1313288107,,,,,236.7817837073,276.0299354268,264.8518047159,195.1405079948,341.8501607645,500.0817406888,365.2554548756,,,,480.0921297922,391.9256723844,452.698301539,368.2326755931,614.1730113235,604.9030436917,650,358.996841742,317.2298274456,305.321038898,316.7060636497,327.3458523905,287.1711287302,251.2645880895,218.6179153484,251.3874844516,650,236.2584299973,338.2536079635,,334.9480968858,542.0758477658,226.8682639269,255.905511811,212.3552123552,223.057602496,268.0022872819,262.7729321588,272.4389604891,267.0434223398,234.688640392,,,320.3463203463,350.5338078292,,,298.755186722,,203.3218785796,303.4883499036,277.5168796484,252.5,,,,,,,,,,,,,,,,,,,,,,,,,295.0,
-122.225,47.475,,,,,,,,,,,349.5578965717,405.5034961609,362.8003444613,392.8223368341,333.3923641538,250.0,,,,,,,271.6073170449,256.9162550329,321.9411977386,352.659481895,,,,,427.70768335,382.1225001652,428.262340812,427.8497302744,418.035059992,482.0359281437,388.816094283,279.338986142,254.6296296296,401.8292682927,303.474025974,318.9222832612,286.7516280965,240.0,318.115942029,273.1978957487,,,,,421.185645959,250.8857681735,246.2121212121,249.1367179162,283.6251858175,238.3267813268,238.7377244462,292.4679445772,264.6802611376,258.2627360888,267.5395269286,242.3865953109,321.1805555556,217.5096379531,,209.4795539033,209.4795539033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
