"Br1301, x","Br1301, y","Br1601 10min medel, x","Br1601 10min medel, y","Br1602, x","Br1602, y","Br1301 (1), x","Br1301 (1), y","Br1601, x","Br1601, y","Br1602 (1), x","Br1602 (1), y"
2017-12-13 01:30:10,0.0445737135,2017-12-12 21:50:00,0.0129524037,2017-12-12 20:26:05,-0.3312699634,2017-12-12 21:10:05,69.667,2017-12-12 21:10:10,96.678,2017-12-12 21:10:10,83.893
2017-12-13 02:00:10,0.0355737135,2017-12-12 22:00:00,0.0159524037,2017-12-12 20:27:05,-0.3442699634,2017-12-12 21:15:05,69.667,2017-12-12 21:15:05,97.157,2017-12-12 21:15:10,81.727
2017-12-13 02:30:10,0.0695737135,2017-12-12 22:10:00,0.0141524037,2017-12-12 20:28:05,-0.3442699634,2017-12-12 21:20:05,69.667,2017-12-12 21:20:10,96.678,2017-12-12 21:20:10,84.333
2017-12-13 03:00:10,0.0325737135,2017-12-12 22:20:00,0.0165524037,2017-12-12 20:29:05,-0.3282699634,2017-12-12 21:25:05,69.667,2017-12-12 21:25:05,97.157,2017-12-12 21:25:10,79.933
2017-12-13 03:30:10,0.0665737135,2017-12-12 22:30:00,0.0105524037,2017-12-12 20:30:10,-0.3382699634,2017-12-12 21:30:21,69.667,2017-12-12 21:30:10,96.678,2017-12-12 21:30:10,81.395
2017-12-13 04:00:10,0.0505737135,2017-12-12 22:40:00,0.0177524037,2017-12-12 20:31:05,-0.3312699634,2017-12-12 21:35:05,69.667,2017-12-12 21:35:05,96.834,2017-12-12 21:35:10,84.0
2017-12-13 04:30:10,0.0475737135,2017-12-12 22:50:00,0.0103524037,2017-12-12 20:32:05,-0.3252699634,2017-12-12 21:40:05,69.667,2017-12-12 21:40:10,97.0,2017-12-12 21:40:10,81.667
2017-12-13 05:00:10,0.0415737135,2017-12-12 23:00:00,0.0151524037,2017-12-12 20:33:05,-0.3282699634,2017-12-12 21:45:05,70.0,2017-12-12 21:45:05,97.157,2017-12-12 21:45:10,84.0
2017-12-13 05:30:10,0.0235737135,2017-12-12 23:10:00,0.0111524037,2017-12-12 20:34:05,-0.3222699634,2017-12-12 21:50:05,70.0,2017-12-12 21:50:10,96.678,2017-12-12 21:50:10,83.0
2017-12-13 06:00:10,0.0325737135,2017-12-12 23:20:00,0.0305524037,2017-12-12 20:35:10,-0.3282699634,2017-12-12 21:55:05,69.667,2017-12-12 21:55:05,97.0,2017-12-12 21:55:10,81.667
2017-12-13 06:30:10,0.0295737135,2017-12-12 23:30:00,0.0141524037,2017-12-12 20:36:05,-0.3252699634,2017-12-12 22:00:21,69.667,2017-12-12 22:00:10,97.157,2017-12-12 22:00:10,82.333
2017-12-13 07:00:10,0.0205737135,2017-12-12 23:40:00,0.0085524037,2017-12-12 20:37:05,-0.3072699634,2017-12-12 22:05:05,69.667,2017-12-12 22:05:05,96.678,2017-12-12 22:05:10,82.333
2017-12-13 07:30:10,0.0175737135,2017-12-12 23:50:00,0.0111524037,2017-12-12 20:38:05,-0.3222699634,2017-12-12 22:10:05,70.0,2017-12-12 22:10:10,97.0,2017-12-12 22:10:10,83.333
2017-12-13 08:00:10,0.0295737135,2017-12-13 00:00:00,0.0055524037,2017-12-12 20:39:05,-0.3472699634,2017-12-12 22:15:05,70.0,2017-12-12 22:15:05,97.157,2017-12-12 22:15:10,84.0
2017-12-13 08:30:10,0.0045737135,2017-12-13 00:10:00,0.0069524037,2017-12-12 20:40:10,-0.3382699634,2017-12-12 22:20:05,70.0,2017-12-12 22:20:10,96.678,2017-12-12 22:20:10,82.274
2017-12-13 09:00:10,0.0075737135,2017-12-13 00:20:00,0.0219524037,2017-12-12 20:41:05,-0.3502699634,2017-12-12 22:25:05,70.0,2017-12-12 22:25:05,97.325,2017-12-12 22:25:10,83.056
2017-12-13 09:30:10,0.0015737135,2017-12-13 00:30:00,0.0071524037,2017-12-12 20:42:05,-0.3252699634,2017-12-12 22:30:21,69.667,2017-12-12 22:30:10,96.678,2017-12-12 22:30:10,85.333
2017-12-13 10:00:10,-0.0254262865,2017-12-13 00:40:00,0.0091524037,2017-12-12 20:43:05,-0.3222699634,2017-12-12 22:35:05,69.333,2017-12-12 22:35:05,97.167,2017-12-12 22:35:10,83.946
2017-12-13 10:30:10,-0.0104262865,2017-12-13 00:50:00,0.0103524037,2017-12-12 20:44:05,-0.3472699634,2017-12-12 22:40:05,69.0,2017-12-12 22:40:10,97.325,2017-12-12 22:40:10,82.06
2017-12-13 11:00:10,-0.0074262865,2017-12-13 01:00:00,0.0075524037,2017-12-12 20:45:10,-0.3312699634,2017-12-12 22:45:05,68.667,2017-12-12 22:45:05,96.844,2017-12-12 22:45:10,82.667
2017-12-13 11:30:10,-0.0254262865,2017-12-13 01:10:00,0.0093524037,2017-12-12 20:46:05,-0.3352699634,2017-12-12 22:50:05,68.667,2017-12-12 22:50:10,97.325,2017-12-12 22:50:10,82.609
2017-12-13 12:00:10,-0.0254262865,2017-12-13 01:20:00,0.0135524037,2017-12-12 20:47:05,-0.3382699634,2017-12-12 22:55:05,68.333,2017-12-12 22:55:05,96.844,2017-12-12 22:55:10,82.392
2017-12-13 12:30:10,-0.0224262865,2017-12-13 01:30:00,0.0159524037,2017-12-12 20:48:05,-0.3162699634,2017-12-12 23:00:21,68.667,2017-12-12 23:00:10,97.325,2017-12-12 23:00:10,82.0
2017-12-13 13:00:10,-0.0294262865,2017-12-13 01:40:00,0.0049524037,2017-12-12 20:49:05,-0.3312699634,2017-12-12 23:05:05,68.667,2017-12-12 23:05:05,96.844,2017-12-12 23:05:10,81.94
2017-12-13 13:30:10,0.2175737135,2017-12-13 01:50:00,0.0097524037,2017-12-12 20:50:10,-0.3042699634,2017-12-12 23:10:05,69.333,2017-12-12 23:10:10,97.167,2017-12-12 23:10:10,86.379
2017-12-13 14:00:10,0.2205737135,2017-12-13 02:00:00,0.0065524037,2017-12-12 20:51:05,-0.3222699634,2017-12-12 23:15:05,69.0,2017-12-12 23:15:05,97.325,2017-12-12 23:15:10,82.0
2017-12-13 14:30:10,0.2235737135,2017-12-13 02:10:00,0.0087524037,2017-12-12 20:52:05,-0.3352699634,2017-12-12 23:20:05,69.333,2017-12-12 23:20:10,96.844,2017-12-12 23:20:10,82.274
2017-12-13 15:00:10,-0.0074262865,2017-12-13 02:20:00,0.0091524037,2017-12-12 20:53:05,-0.3382699634,2017-12-12 23:25:05,70.333,2017-12-12 23:25:05,97.167,2017-12-12 23:25:10,81.727
2017-12-13 15:30:10,0.0015737135,2017-12-13 02:30:00,0.0115524037,2017-12-12 20:54:05,-0.3352699634,2017-12-12 23:30:21,69.333,2017-12-12 23:30:10,97.0,2017-12-12 23:30:10,81.333
2017-12-13 16:00:10,-0.0104262865,2017-12-13 02:40:00,0.0009524037,2017-12-12 20:55:10,-0.3072699634,2017-12-12 23:35:05,69.0,2017-12-12 23:35:05,97.492,2017-12-12 23:35:10,80.333
2017-12-13 16:30:10,-0.0164262865,2017-12-13 02:50:00,0.0073524037,2017-12-12 20:56:05,-0.3412699634,2017-12-12 23:40:05,69.667,2017-12-12 23:40:10,96.844,2017-12-12 23:40:10,83.0
2017-12-13 17:00:10,-0.0354262865,2017-12-13 03:00:00,0.0087524037,2017-12-12 20:57:05,-0.3132699634,2017-12-12 23:45:05,69.333,2017-12-12 23:45:05,97.0,2017-12-12 23:45:10,80.267
2017-12-13 17:30:10,-0.0194262865,2017-12-13 03:10:00,0.0029524037,2017-12-12 20:58:05,-0.3282699634,2017-12-12 23:50:05,69.333,2017-12-12 23:50:10,97.492,2017-12-12 23:50:10,83.056
2017-12-13 18:00:10,-0.0164262865,2017-12-13 03:20:00,0.0061524037,2017-12-12 20:59:05,-0.3592699634,2017-12-12 23:55:05,68.667,2017-12-12 23:55:05,97.167,2017-12-12 23:55:10,80.936
2017-12-13 18:30:10,-0.0134262865,2017-12-13 03:30:00,0.0097524037,2017-12-12 21:00:10,-0.3472699634,2017-12-13 00:00:21,68.333,2017-12-13 00:00:10,96.844,2017-12-13 00:00:10,82.06
2017-12-13 19:00:10,-0.0194262865,2017-12-13 03:40:00,0.0011524037,2017-12-12 21:01:05,-0.3412699634,2017-12-13 00:05:05,68.667,2017-12-13 00:05:05,97.167,2017-12-13 00:05:10,81.333
2017-12-13 19:30:10,-0.0044262865,2017-12-13 03:50:00,0.0085524037,2017-12-12 21:02:05,-0.3532699634,2017-12-13 00:10:05,69.0,2017-12-13 00:10:10,97.0,2017-12-13 00:10:10,82.667
2017-12-13 20:00:10,-0.0104262865,2017-12-13 04:00:00,0.0079524037,2017-12-12 21:03:05,-0.3502699634,2017-12-13 00:15:05,68.667,2017-12-13 00:15:05,97.492,2017-12-13 00:15:10,84.667
2017-12-13 20:30:10,0.0205737135,2017-12-13 04:10:00,-0.0022475963,2017-12-12 21:04:05,-0.3252699634,2017-12-13 00:20:05,69.0,2017-12-13 00:20:10,96.844,2017-12-13 00:20:10,82.274
2017-12-13 21:00:10,0.0235737135,2017-12-13 04:20:00,0.0055524037,2017-12-12 21:05:10,-0.3382699634,2017-12-13 00:25:05,69.333,2017-12-13 00:25:05,97.167,2017-12-13 00:25:10,81.395
2017-12-13 21:30:10,0.0105737135,2017-12-13 04:30:00,0.0067524037,2017-12-12 21:06:05,-0.3442699634,2017-12-13 00:30:21,69.333,2017-12-13 00:30:10,97.492,2017-12-13 00:30:10,81.667
2017-12-13 22:00:10,0.0205737135,2017-12-13 04:40:00,0.0069524037,2017-12-12 21:07:05,-0.3162699634,2017-12-13 00:35:05,69.333,2017-12-13 00:35:05,96.844,2017-12-13 00:35:10,81.667
2017-12-13 22:30:10,0.0135737135,2017-12-13 04:50:00,0.0023524037,2017-12-12 21:08:05,-0.3132699634,2017-12-13 00:40:05,69.667,2017-12-13 00:40:10,97.334,2017-12-13 00:40:10,82.667
2017-12-13 23:00:10,0.0235737135,2017-12-13 05:00:00,0.0037524037,2017-12-12 21:09:05,-0.3382699634,2017-12-13 00:45:05,69.667,2017-12-13 00:45:05,97.167,2017-12-13 00:45:10,82.274
2017-12-13 23:30:10,0.0445737135,2017-12-13 05:10:00,-0.0014475963,2017-12-12 21:10:10,-0.3222699634,2017-12-13 00:50:05,69.333,2017-12-13 00:50:10,97.167,2017-12-13 00:50:10,84.053
2017-12-14 00:00:10,0.0535737135,2017-12-13 05:20:00,0.0047524037,2017-12-12 21:11:05,-0.3162699634,2017-12-13 00:55:05,69.333,2017-12-13 00:55:05,97.492,2017-12-13 00:55:10,83.333
2017-12-14 00:30:10,0.0445737135,2017-12-13 05:30:00,0.0079524037,2017-12-12 21:12:05,-0.3192699634,2017-12-13 01:00:21,68.667,2017-12-13 01:00:10,97.167,2017-12-13 01:00:10,82.667
2017-12-14 01:00:10,0.0385737135,2017-12-13 05:40:00,0.0009524037,2017-12-12 21:13:05,-0.3222699634,2017-12-13 01:05:05,69.0,2017-12-13 01:05:05,97.167,2017-12-13 01:05:10,85.333
2017-12-14 01:30:10,0.0505737135,2017-12-13 05:50:00,0.0095524037,2017-12-12 21:14:05,-0.2982699634,2017-12-13 01:10:05,69.0,2017-12-13 01:10:10,97.01,2017-12-13 01:10:10,82.667
2017-12-14 02:00:10,0.0415737135,2017-12-13 06:00:00,-0.0034475963,2017-12-12 21:15:10,-0.3252699634,2017-12-13 01:15:05,69.0,2017-12-13 01:15:05,97.167,2017-12-13 01:15:10,81.0
2017-12-14 02:30:10,0.0605737135,2017-12-13 06:10:00,0.0067524037,2017-12-12 21:16:05,-0.3012699634,2017-12-13 01:20:05,69.0,2017-12-13 01:20:10,97.167,2017-12-13 01:20:10,82.0
2017-12-14 03:00:10,0.0785737135,2017-12-13 06:20:00,0.0069524037,2017-12-12 21:17:05,-0.3132699634,2017-12-13 01:25:05,69.333,2017-12-13 01:25:05,97.492,2017-12-13 01:25:10,84.333
2017-12-14 03:30:10,0.0665737135,2017-12-13 06:30:00,-0.0038475963,2017-12-12 21:18:05,-0.3312699634,2017-12-13 01:30:21,69.333,2017-12-13 01:30:10,97.167,2017-12-13 01:30:10,84.667
2017-12-14 04:00:10,0.0605737135,2017-12-13 06:40:00,0.0073524037,2017-12-12 21:19:05,-0.2952699634,2017-12-13 01:35:05,69.667,2017-12-13 01:35:05,97.167,2017-12-13 01:35:10,80.667
2017-12-14 04:30:10,0.0445737135,2017-12-13 06:50:00,0.0079524037,2017-12-12 21:20:10,-0.3442699634,2017-12-13 01:40:05,69.667,2017-12-13 01:40:10,96.844,2017-12-13 01:40:10,82.333
2017-12-14 05:00:10,0.0725737135,2017-12-13 07:00:00,0.0141524037,2017-12-12 21:21:05,-0.3382699634,2017-12-13 01:45:05,70.0,2017-12-13 01:45:05,97.334,2017-12-13 01:45:10,86.288
2017-12-14 05:30:10,0.0785737135,2017-12-13 07:10:00,0.0093524037,2017-12-12 21:22:05,-0.3192699634,2017-12-13 01:50:05,69.667,2017-12-13 01:50:10,97.167,2017-12-13 01:50:10,82.06
2017-12-14 06:00:10,0.0875737135,2017-12-13 07:20:00,0.0053524037,2017-12-12 21:23:05,-0.3352699634,2017-12-13 01:55:05,69.333,2017-12-13 01:55:05,97.167,2017-12-13 01:55:10,83.667
2017-12-14 06:30:10,0.0695737135,2017-12-13 07:30:00,-0.0002475963,2017-12-12 21:24:05,-0.3412699634,2017-12-13 02:00:21,68.667,2017-12-13 02:00:10,97.167,2017-12-13 02:00:10,82.609
2017-12-14 07:00:10,0.0635737135,2017-12-13 07:40:00,0.0059524037,2017-12-12 21:25:10,-0.3162699634,2017-12-13 02:05:05,69.0,2017-12-13 02:05:05,97.167,2017-12-13 02:05:10,81.727
2017-12-14 07:30:10,0.0695737135,2017-12-13 07:50:00,-0.0004475963,2017-12-12 21:26:05,-0.3412699634,2017-12-13 02:10:05,68.667,2017-12-13 02:10:10,97.167,2017-12-13 02:10:10,83.612
2017-12-14 08:00:10,0.0665737135,2017-12-13 08:00:00,-0.0022475963,2017-12-12 21:27:05,-0.3102699634,2017-12-13 02:15:05,69.667,2017-12-13 02:15:05,97.167,2017-12-13 02:15:10,84.718
2017-12-14 08:30:10,0.0785737135,2017-12-13 08:10:00,-0.0014475963,2017-12-12 21:28:05,-0.3352699634,2017-12-13 02:20:05,68.667,2017-12-13 02:20:10,97.167,2017-12-13 02:20:10,83.612
2017-12-14 09:00:10,0.0845737135,2017-12-13 08:20:00,0.0091524037,2017-12-12 21:29:05,-0.3072699634,2017-12-13 02:25:05,69.333,2017-12-13 02:25:05,97.167,2017-12-13 02:25:10,85.05
2017-12-14 09:30:10,0.0845737135,2017-12-13 08:30:00,0.0037524037,2017-12-12 21:30:10,-0.3282699634,2017-12-13 02:30:21,70.0,2017-12-13 02:30:10,97.0,2017-12-13 02:30:10,81.94
2017-12-14 10:00:10,0.0975737135,2017-12-13 08:40:00,0.0081524037,2017-12-12 21:31:05,-0.3382699634,2017-12-13 02:35:05,69.333,2017-12-13 02:35:05,97.167,2017-12-13 02:35:10,82.392
2017-12-14 10:30:10,0.0725737135,2017-12-13 08:50:00,0.0017524037,2017-12-12 21:32:05,-0.3502699634,2017-12-13 02:40:05,69.333,2017-12-13 02:40:10,97.492,2017-12-13 02:40:10,81.395
2017-12-14 11:00:10,0.1035737135,2017-12-13 09:00:00,-0.0034475963,2017-12-12 21:33:05,-0.3222699634,2017-12-13 02:45:05,69.667,2017-12-13 02:45:05,97.167,2017-12-13 02:45:10,80.602
2017-12-14 11:30:10,0.1095737135,2017-12-13 09:10:00,0.0035524037,2017-12-12 21:34:05,-0.3442699634,2017-12-13 02:50:05,69.333,2017-12-13 02:50:10,97.167,2017-12-13 02:50:10,81.605
2017-12-14 12:00:10,0.1155737135,2017-12-13 09:20:00,-0.0032475963,2017-12-12 21:35:10,-0.3072699634,2017-12-13 02:55:05,69.333,2017-12-13 02:55:05,97.167,2017-12-13 02:55:10,82.724
2017-12-14 12:30:10,0.1275737135,2017-12-13 09:30:00,0.0003524037,2017-12-12 21:36:05,-0.3132699634,2017-12-13 03:00:21,69.0,2017-12-13 03:00:10,97.167,2017-12-13 03:00:10,83.333
2017-12-14 13:00:10,0.1335737135,2017-12-13 09:40:00,0.0011524037,2017-12-12 21:37:05,-0.3352699634,2017-12-13 03:05:05,68.667,2017-12-13 03:05:05,96.844,2017-12-13 03:05:10,86.0
2017-12-14 13:30:10,0.1215737135,2017-12-13 09:50:00,-0.0080475963,2017-12-12 21:38:05,-0.3252699634,2017-12-13 03:10:05,68.333,2017-12-13 03:10:10,97.167,2017-12-13 03:10:10,82.0
2017-12-14 14:00:10,0.1465737135,2017-12-13 10:00:00,-0.0026475963,2017-12-12 21:39:05,-0.3102699634,2017-12-13 03:15:05,69.0,2017-12-13 03:15:05,97.167,2017-12-13 03:15:10,79.667
2017-12-14 14:30:10,0.1215737135,2017-12-13 10:10:00,-0.0038475963,2017-12-12 21:40:10,-0.3502699634,2017-12-13 03:20:05,69.333,2017-12-13 03:20:10,97.0,2017-12-13 03:20:10,81.667
2017-12-14 15:00:10,0.1185737135,2017-12-13 10:20:00,-0.0088475963,2017-12-12 21:41:05,-0.3502699634,2017-12-13 03:25:05,69.333,2017-12-13 03:25:05,97.492,2017-12-13 03:25:10,84.0
2017-12-14 15:30:10,0.1405737135,2017-12-13 10:30:00,-0.0044475963,2017-12-12 21:42:05,-0.3162699634,2017-12-13 03:30:21,69.333,2017-12-13 03:30:10,97.167,2017-12-13 03:30:10,81.0
2017-12-14 16:00:10,0.1375737135,2017-12-13 10:40:00,-0.0006475963,2017-12-12 21:43:05,-0.2982699634,2017-12-13 03:35:05,70.0,2017-12-13 03:35:05,96.844,2017-12-13 03:35:10,85.284
2017-12-14 16:30:10,0.1615737135,2017-12-13 10:50:00,-0.0012475963,2017-12-12 21:44:05,-0.3042699634,2017-12-13 03:40:05,69.0,2017-12-13 03:40:10,97.167,2017-12-13 03:40:10,83.389
2017-12-14 17:00:10,0.1495737135,2017-12-13 11:00:00,0.0015524037,2017-12-12 21:45:10,-0.3532699634,2017-12-13 03:45:05,69.333,2017-12-13 03:45:05,97.167,2017-12-13 03:45:10,82.667
2017-12-14 17:30:10,0.1585737135,2017-12-13 11:10:00,0.0003524037,2017-12-12 21:46:05,-0.2912699634,2017-12-13 03:50:05,69.0,2017-12-13 03:50:10,97.0,2017-12-13 03:50:10,82.667
2017-12-14 18:00:10,0.1275737135,2017-12-13 11:20:00,-0.0034475963,2017-12-12 21:47:05,-0.3502699634,2017-12-13 03:55:05,68.667,2017-12-13 03:55:05,97.492,2017-12-13 03:55:10,84.0
2017-12-14 18:30:10,0.1375737135,2017-12-13 11:30:00,-0.0006475963,2017-12-12 21:48:05,-0.3312699634,2017-12-13 04:00:21,68.333,2017-12-13 04:00:10,96.844,2017-12-13 04:00:10,83.667
2017-12-14 19:00:10,0.1305737135,2017-12-13 11:40:00,0.0023524037,2017-12-12 21:49:05,-0.3562699634,2017-12-13 04:05:05,68.667,2017-12-13 04:05:05,97.167,2017-12-13 04:05:10,84.281
2017-12-14 19:30:10,0.1185737135,2017-12-13 11:50:00,-0.0062475963,2017-12-12 21:50:10,-0.3622699634,2017-12-13 04:10:05,68.667,2017-12-13 04:10:10,97.167,2017-12-13 04:10:10,82.724
2017-12-14 20:00:10,0.1465737135,2017-12-13 12:00:00,-0.0068475963,2017-12-12 21:51:05,-0.3102699634,2017-12-13 04:15:05,69.0,2017-12-13 04:15:05,97.167,2017-12-13 04:15:10,82.667
2017-12-14 20:30:10,0.1335737135,2017-12-13 12:10:00,-0.0068475963,2017-12-12 21:52:05,-0.3162699634,2017-12-13 04:20:05,68.667,2017-12-13 04:20:10,97.325,2017-12-13 04:20:10,81.667
2017-12-14 21:00:10,0.1555737135,2017-12-13 12:20:00,-0.0138475963,2017-12-12 21:53:05,-0.3412699634,2017-12-13 04:25:05,69.0,2017-12-13 04:25:05,96.844,2017-12-13 04:25:10,83.278
2017-12-14 21:30:10,0.1305737135,2017-12-13 12:30:00,-0.0098475963,2017-12-12 21:54:05,-0.3222699634,2017-12-13 04:30:21,69.0,2017-12-13 04:30:10,97.325,2017-12-13 04:30:10,83.389
2017-12-14 22:00:10,0.1305737135,2017-12-13 12:40:00,-0.0118475963,2017-12-12 21:55:10,-0.3102699634,2017-12-13 04:35:05,70.0,2017-12-13 04:35:05,96.844,2017-12-13 04:35:10,82.609
2017-12-14 22:30:10,0.1405737135,2017-12-13 12:50:00,-0.0100475963,2017-12-12 21:56:05,-0.3472699634,2017-12-13 04:40:05,69.667,2017-12-13 04:40:10,97.325,2017-12-13 04:40:10,83.056
2017-12-14 23:00:10,0.1525737135,2017-12-13 13:00:00,-0.0058475963,2017-12-12 21:57:05,-0.3412699634,2017-12-13 04:45:05,69.0,2017-12-13 04:45:05,96.844,2017-12-13 04:45:10,81.667
2017-12-14 23:30:10,0.1585737135,2017-12-13 13:10:00,-0.0138475963,2017-12-12 21:58:05,-0.3352699634,2017-12-13 04:50:05,68.333,2017-12-13 04:50:10,97.325,2017-12-13 04:50:10,82.667
2017-12-15 00:00:10,0.1245737135,2017-12-13 13:20:00,-0.0078475963,2017-12-12 21:59:05,-0.3472699634,2017-12-13 04:55:05,68.333,2017-12-13 04:55:05,97.0,2017-12-13 04:55:10,82.0
2017-12-15 00:30:10,0.1375737135,2017-12-13 13:30:00,-0.0114475963,2017-12-12 22:00:10,-0.3282699634,2017-12-13 05:00:21,68.667,2017-12-13 05:00:10,96.844,2017-12-13 05:00:10,84.95
2017-12-15 01:00:10,0.1305737135,2017-12-13 13:40:00,-0.0072475963,2017-12-12 22:01:05,-0.3072699634,2017-12-13 05:05:05,68.667,2017-12-13 05:05:05,97.325,2017-12-13 05:05:10,83.389
2017-12-15 01:30:10,0.1435737135,2017-12-13 13:50:00,-0.0108475963,2017-12-12 22:02:05,-0.3352699634,2017-12-13 05:10:05,69.0,2017-12-13 05:10:10,96.678,2017-12-13 05:10:10,82.333
2017-12-15 02:00:10,0.1245737135,2017-12-13 14:00:00,-0.0100475963,2017-12-12 22:03:05,-0.3412699634,2017-12-13 05:15:05,69.0,2017-12-13 05:15:05,97.167,2017-12-13 05:15:10,83.946
2017-12-15 02:30:10,0.1495737135,2017-12-13 14:10:00,-0.0044475963,2017-12-12 22:04:05,-0.3132699634,2017-12-13 05:20:05,68.667,2017-12-13 05:20:10,97.325,2017-12-13 05:20:10,80.731
2017-12-15 03:00:10,0.1335737135,2017-12-13 14:20:00,-0.0072475963,2017-12-12 22:05:10,-0.3442699634,2017-12-13 05:25:05,69.0,2017-12-13 05:25:05,96.844,2017-12-13 05:25:10,83.0
2017-12-15 03:30:10,0.1495737135,2017-12-13 14:30:00,-0.0064475963,2017-12-12 22:06:05,-0.3442699634,2017-12-13 05:30:21,69.333,2017-12-13 05:30:10,97.325,2017-12-13 05:30:10,81.0
2017-12-15 04:00:10,0.1585737135,2017-12-13 14:40:00,-0.0150475963,2017-12-12 22:07:05,-0.3252699634,2017-12-13 05:35:05,68.667,2017-12-13 05:35:05,96.678,2017-12-13 05:35:10,83.667
2017-12-15 04:30:10,0.1495737135,2017-12-13 14:50:00,-0.0100475963,2017-12-12 22:08:05,-0.3252699634,2017-12-13 05:40:05,68.667,2017-12-13 05:40:10,97.167,2017-12-13 05:40:10,83.0
2017-12-15 05:00:10,0.1615737135,2017-12-13 15:00:00,-0.0076475963,2017-12-12 22:09:05,-0.3382699634,2017-12-13 05:45:05,68.333,2017-12-13 05:45:05,97.325,2017-12-13 05:45:10,82.333
2017-12-15 05:30:10,0.1555737135,2017-12-13 15:10:00,-0.0084475963,2017-12-12 22:10:10,-0.3382699634,2017-12-13 05:50:05,68.333,2017-12-13 05:50:10,97.167,2017-12-13 05:50:10,84.0
2017-12-15 06:00:10,0.1405737135,2017-12-13 15:20:00,-0.0118475963,2017-12-12 22:11:05,-0.3382699634,2017-12-13 05:55:05,68.667,2017-12-13 05:55:05,97.0,2017-12-13 05:55:10,80.333
2017-12-15 06:30:10,0.1405737135,2017-12-13 15:30:00,-0.0006475963,2017-12-12 22:12:05,-0.3442699634,2017-12-13 06:00:21,69.333,2017-12-13 06:00:10,97.0,2017-12-13 06:00:10,84.0
2017-12-15 07:00:10,0.1645737135,2017-12-13 15:40:00,-0.0132475963,2017-12-12 22:13:05,-0.3102699634,2017-12-13 06:05:05,69.0,2017-12-13 06:05:05,96.678,2017-12-13 06:05:10,81.333
2017-12-15 07:30:10,0.1405737135,2017-12-13 15:50:00,-0.0132475963,2017-12-12 22:14:05,-0.3192699634,2017-12-13 06:10:05,69.333,2017-12-13 06:10:10,97.157,2017-12-13 06:10:10,81.333
2017-12-15 08:00:10,0.1645737135,2017-12-13 16:00:00,-0.0168475963,2017-12-12 22:15:10,-0.3012699634,2017-12-13 06:15:05,69.333,2017-12-13 06:15:05,97.0,2017-12-13 06:15:10,81.667
2017-12-15 08:30:10,0.1675737135,2017-12-13 16:10:00,-0.0020475963,2017-12-12 22:16:05,-0.3162699634,2017-12-13 06:20:05,69.333,2017-12-13 06:20:10,96.844,2017-12-13 06:20:10,84.333
