"H_2O sig strength, x; CO_2 sig strength, x","H_2O sig strength, y","CO_2 sig strength, y"
738.688,0.97298,0.952233
738.708,0.972549,0.951817
738.729,0.97221,0.951515
738.75,0.971515,0.950905
738.771,0.971363,0.950871
738.792,0.971272,0.950943
738.813,0.971116,0.950902
738.833,0.970698,0.950589
738.854,0.970837,0.950785
738.875,0.96982,0.949547
738.896,0.970273,0.949925
738.917,0.969822,0.949447
738.938,0.970565,0.950242
738.958,0.971,0.950955
738.979,0.971146,0.951138
739,0.970021,0.949619
739.021,0.970944,0.950824
739.042,0.970283,0.950182
739.063,0.969763,0.949332
739.083,0.969846,0.949358
739.104,0.967508,0.946899
739.125,0.96968,0.949276
739.146,0.96953,0.949085
739.167,0.969592,0.949078
739.188,0.929594,0.912855
739.208,0.860723,0.84579
739.229,0.846072,0.831411
739.25,0.839045,0.824441
739.271,0.846893,0.835402
739.292,0.831194,0.82033
739.313,,
739.333,,
739.354,,
739.375,,
739.396,,
739.417,,
739.438,,
739.458,,
739.479,,
739.5,0.824332,0.858543
739.521,0.935259,0.934175
739.542,0.962804,0.94592
739.563,0.82855,0.82118
739.583,0.842147,0.8299
739.604,0.862986,0.847925
739.625,0.944786,0.928297
739.646,0.969356,0.951666
739.667,0.95628,0.938889
739.688,0.93664,0.9205
739.708,0.916903,0.903897
739.729,0.95122,0.936274
739.75,0.959904,0.941733
739.771,0.962422,0.944774
739.792,0.892884,0.880032
739.813,0.833852,0.822835
739.833,,
739.854,,
739.875,,
739.896,,
739.917,,
739.938,,
739.958,,
739.979,0.811114,0.817451
740,0.871686,0.859011
740.021,0.90713,0.89039
740.042,0.927272,0.911645
740.063,0.943494,0.927089
740.083,0.957521,0.93999
740.104,0.959541,0.941842
740.125,0.961565,0.943561
740.146,0.961598,0.943487
740.167,0.961425,0.943433
740.188,0.890317,0.874757
740.208,0.850629,0.841003
740.229,,
740.25,,
740.271,,
740.292,,
740.313,,
740.333,,
740.354,,
740.375,,
740.396,,
740.417,,
740.438,,
740.458,,
740.479,,
740.5,0.835216,0.878109
740.521,0.981031,0.9634
740.542,0.984253,0.966429
740.563,0.983971,0.966049
740.583,0.985306,0.967601
740.604,0.985596,0.967936
740.625,0.985517,0.967782
740.646,0.985812,0.968066
740.667,0.985286,0.967448
740.688,0.985614,0.96786
740.708,0.985401,0.967631
740.729,0.98517,0.967351
740.75,0.984981,0.967157
740.771,0.983807,0.965648
740.792,0.983764,0.965658
740.813,0.953115,0.938064
740.833,0.961091,0.945673
740.854,0.98082,0.963111
740.875,0.98337,0.965256
740.896,0.982372,0.964264
740.917,0.983285,0.965231
740.938,0.98323,0.965197
740.958,0.98327,0.965204
740.979,0.983325,0.965238
741,0.983347,0.965342
741.021,0.983305,0.965295
741.042,0.982164,0.964074
741.063,0.983246,0.965229
741.083,0.983288,0.96528
741.104,0.983313,0.965303
741.125,0.948423,0.932959
741.146,0.885486,0.874579
741.167,0.96503,0.948409
741.188,0.982802,0.964842
741.208,0.982992,0.965007
741.229,0.983014,0.965011
741.25,0.982935,0.964896
741.271,0.982911,0.964874
741.292,0.982991,0.964964
741.313,0.983127,0.965129
741.333,0.98314,0.965179
741.354,0.983638,0.965816
741.375,0.984129,0.966506
741.396,0.983685,0.965885
741.417,0.984624,0.967152
741.438,0.984733,0.967282
741.458,0.984862,0.967456
741.479,0.984932,0.967453
741.5,0.98456,0.967113
741.521,0.9846,0.967057
741.542,0.984997,0.967401
741.563,0.985165,0.967495
741.583,0.985377,0.967602
741.604,0.985438,0.967664
741.625,0.985507,0.967699
741.646,0.985507,0.967663
741.667,0.985523,0.967667
741.688,0.985388,0.967569
741.708,0.985459,0.967745
741.729,0.985199,0.967458
741.75,0.984511,0.966659
741.771,0.983977,0.966079
741.792,0.983814,0.965927
741.813,0.983709,0.965891
741.833,0.983051,0.965093
741.854,0.982851,0.964877
741.875,0.982758,0.964748
741.896,0.982683,0.964715
741.917,0.982524,0.964568
741.938,0.982581,0.964619
741.958,0.982574,0.964611
741.979,0.982418,0.964459
742,0.982449,0.964429
742.021,0.982577,0.964496
742.042,0.98256,0.964474
742.063,0.982628,0.964534
742.083,0.982673,0.964574
742.104,0.982744,0.964619
742.125,0.982726,0.964632
742.146,0.982773,0.964618
742.167,0.982841,0.964707
742.188,0.982769,0.964639
742.208,0.982639,0.964511
742.229,0.982585,0.964454
742.25,0.982527,0.964421
742.271,0.982542,0.96444
742.292,0.982514,0.96443
742.313,0.982314,0.964289
742.333,0.982099,0.964151
742.354,0.981858,0.963963
742.375,0.982284,0.964324
742.396,0.982293,0.964328
742.417,0.98252,0.964515
742.438,0.982668,0.96459
742.458,0.982735,0.964615
742.479,0.982058,0.963884
742.5,0.984538,0.966861
742.521,0.985223,0.967821
742.542,0.984658,0.967182
742.563,0.985148,0.967517
742.583,0.985379,0.96778
742.604,0.985332,0.967664
742.625,0.985267,0.967336
742.646,0.985532,0.967758
742.667,0.985507,0.967702
742.688,0.985541,0.967803
742.708,0.985637,0.967996
742.729,0.985314,0.96749
742.75,0.984306,0.966389
742.771,0.983588,0.965604
742.792,0.983237,0.965218
742.813,0.982659,0.96448
742.833,0.982572,0.964378
742.854,0.982654,0.964567
742.875,0.983078,0.96516
742.896,0.982783,0.964838
742.917,0.982171,0.964165
742.938,0.981834,0.963846
742.958,0.981529,0.963548
742.979,0.981222,0.963285
743,0.981202,0.963271
743.021,0.981206,0.963279
743.042,0.981209,0.96328
743.063,0.981256,0.963353
743.083,0.98117,0.96329
743.104,0.980788,0.962902
