Column 0,Column 1,Column 2,Column 3,Column 4
19.90,21.63,20.54,19.39,404
19.88,21.62,20.56,19.39,405
19.87,21.58,20.56,19.43,406
19.91,21.66,20.52,19.42,407
19.88,21.58,20.50,19.47,408
19.89,21.65,20.45,19.43,409
19.91,21.65,20.47,19.50,410
19.88,21.64,20.53,19.48,411
19.90,21.63,20.56,19.45,412
19.95,21.64,20.54,19.46,413
19.90,21.64,20.48,19.43,414
19.91,21.66,20.53,19.42,415
19.89,21.64,20.50,19.43,416
19.89,21.57,20.45,19.46,417
19.86,21.56,20.49,19.41,418
19.87,21.67,20.50,19.42,419
19.96,21.67,20.56,19.42,420
19.92,21.56,20.51,19.40,421
19.89,21.58,20.54,19.42,422
19.86,21.61,20.56,19.42,423
19.89,21.66,20.55,19.45,424
19.90,21.69,20.55,19.39,425
19.90,21.67,20.49,19.43,426
19.89,21.67,20.49,19.42,427
19.92,21.63,20.52,19.41,428
19.91,21.65,20.44,19.45,429
19.88,21.60,20.53,19.48,430
19.87,21.63,20.55,19.39,431
19.91,21.62,20.53,19.44,432
19.86,21.65,20.51,19.48,433
19.89,21.61,20.52,19.48,434
19.90,21.70,20.50,19.42,435
19.87,21.61,20.50,19.45,436
19.86,21.64,20.55,19.41,437
19.88,21.66,20.53,19.42,438
19.90,21.62,20.52,19.39,439
19.89,21.63,20.52,19.42,440
19.86,21.64,20.49,19.42,441
19.90,21.67,20.55,19.42,442
19.85,21.62,20.45,19.46,443
19.90,21.64,20.48,19.41,444
19.89,21.60,20.51,19.47,445
19.95,21.66,20.50,19.46,446
19.91,21.66,20.54,19.48,447
19.66,21.63,20.50,19.42,448
19.21,21.65,20.52,19.48,449
18.67,21.69,20.54,19.34,450
18.68,21.71,20.49,19.42,451
18.64,21.64,20.56,19.45,452
18.76,21.63,20.46,19.42,453
18.67,21.64,20.47,19.38,454
18.71,21.60,20.52,19.41,455
18.70,21.65,20.48,19.40,456
18.73,21.66,20.49,19.43,457
18.69,21.69,20.51,19.44,458
18.62,21.64,20.53,19.41,459
18.64,21.65,20.56,19.43,460
18.68,21.66,20.47,19.41,461
18.68,21.60,20.53,19.37,462
18.75,21.62,20.48,19.41,463
18.65,21.64,20.49,19.43,464
18.69,21.62,20.53,19.39,465
18.70,21.63,20.54,19.47,466
18.64,21.63,20.50,19.40,467
18.65,21.67,20.52,19.45,468
18.70,21.66,20.53,19.46,469
18.70,21.68,20.48,19.48,470
18.66,21.68,20.49,19.45,471
18.68,21.70,20.56,19.43,472
18.69,21.59,20.53,19.41,473
18.62,21.64,20.49,19.39,474
18.71,21.65,20.53,19.45,475
18.66,21.69,20.54,19.41,476
18.67,21.70,20.53,19.39,477
18.67,21.69,20.52,19.44,478
18.68,21.65,20.53,19.41,479
18.67,21.69,20.54,19.42,480
18.68,21.69,20.49,19.39,481
18.76,21.70,20.45,19.44,482
18.70,21.68,20.55,19.45,483
18.72,21.64,20.51,19.47,484
18.71,21.60,20.54,19.40,485
18.77,21.63,20.52,19.42,486
18.70,21.67,20.49,19.48,487
18.71,21.67,20.52,19.43,488
18.70,21.67,20.52,19.51,489
18.75,21.65,20.53,19.42,490
18.68,21.66,20.56,19.40,491
18.69,21.67,20.53,19.40,492
18.73,21.70,20.58,19.44,493
18.69,21.62,20.55,19.41,494
18.72,21.63,20.49,19.45,495
18.66,21.65,20.49,19.41,496
18.67,21.66,20.51,19.41,497
18.63,21.65,20.55,19.40,498
18.65,21.62,20.57,19.50,499
18.71,21.63,20.48,19.43,500
18.73,21.66,20.54,19.48,501
18.70,21.64,20.48,19.51,502
18.75,21.69,20.54,19.45,503
18.70,21.64,20.51,19.47,504
18.70,21.72,20.53,19.45,505
18.73,21.62,20.52,19.41,506
18.66,21.67,20.50,19.39,507
18.72,21.66,20.54,19.37,508
18.74,21.69,20.48,19.46,509
18.69,21.68,20.52,19.48,510
18.68,21.62,20.48,19.43,511
18.67,21.66,20.56,19.39,512
18.75,21.66,20.52,19.41,513
18.68,21.65,20.55,19.47,514
18.77,21.63,20.53,19.43,515
18.68,21.65,20.52,19.47,516
18.74,21.63,20.50,19.42,517
18.67,21.62,20.51,19.43,518
18.64,21.61,20.51,19.46,519
18.65,21.63,20.53,19.45,520
18.67,21.68,20.50,19.38,521
18.69,21.66,20.53,19.48,522
18.70,21.64,20.54,19.37,523
18.74,21.65,20.52,19.46,524
18.73,21.66,20.52,19.45,525
18.67,21.66,20.53,19.44,526
18.71,21.63,20.52,19.40,527
18.70,21.63,20.57,19.40,528
18.70,21.65,20.49,19.40,529
18.66,21.67,20.54,19.43,530
18.71,21.66,20.52,19.35,531
18.70,21.67,20.56,19.45,532
18.69,21.65,20.52,19.42,533
18.75,21.68,20.53,19.38,534
18.65,21.62,20.47,19.45,535
18.68,21.60,20.50,19.40,536
18.69,21.64,20.51,19.43,537
18.68,21.59,20.53,19.47,538
18.68,21.70,20.53,19.45,539
18.74,21.68,20.50,19.42,540
18.64,21.70,20.47,19.41,541
18.64,21.65,20.48,19.47,542
18.65,21.63,20.46,19.48,543
18.69,21.65,20.52,19.43,544
18.60,21.65,20.53,19.44,545
18.65,21.56,20.56,19.43,546
18.68,21.62,20.46,19.41,547
18.65,21.61,20.52,19.39,548
18.69,21.72,20.52,19.48,549
18.71,21.63,20.56,19.41,550
18.73,21.64,20.54,19.43,551
18.68,21.64,20.54,19.42,552
18.65,21.68,20.53,19.40,553
18.70,21.62,20.53,19.44,554
18.68,21.67,20.54,19.45,555
18.67,21.71,20.57,19.45,556
18.64,21.68,20.58,19.39,557
18.64,21.64,20.54,19.40,558
18.65,21.64,20.51,19.39,559
18.69,21.68,20.55,19.40,560
18.60,21.67,20.48,19.44,561
18.71,21.62,20.55,19.43,562
18.62,21.63,20.52,19.45,563
18.63,21.63,20.56,19.44,564
18.66,21.62,20.52,19.42,565
18.63,21.69,20.51,19.44,566
18.61,21.68,20.54,19.40,567
18.68,21.70,20.54,19.41,568
18.62,21.63,20.51,19.41,569
18.73,21.67,20.52,19.48,570
18.70,21.68,20.46,19.40,571
18.65,21.69,20.46,19.41,572
18.70,21.65,20.48,19.39,573
18.65,21.64,20.54,19.47,574
18.65,21.59,20.56,19.47,575
18.69,21.68,20.52,19.42,576
18.64,21.71,20.49,19.36,577
18.66,21.61,20.54,19.38,578
18.63,21.63,20.54,19.41,579
18.66,21.66,20.47,19.44,580
18.65,21.68,20.59,19.44,581
18.64,21.69,20.48,19.47,582
18.65,21.65,20.57,19.43,583
18.68,21.62,20.56,19.45,584
18.66,21.67,20.47,19.41,585
18.63,21.70,20.48,19.44,586
18.63,21.63,20.49,19.43,587
18.63,21.62,20.52,19.41,588
18.62,21.68,20.50,19.44,589
18.66,21.71,20.51,19.45,590
18.66,21.69,20.54,19.50,591
18.61,21.67,20.55,19.43,592
18.69,21.64,20.52,19.41,593
18.65,21.68,20.57,19.47,594
18.65,21.62,20.52,19.38,595
18.64,21.66,20.54,19.43,596
18.63,21.69,20.54,19.44,597
18.74,21.68,20.56,19.39,598
18.61,21.71,20.54,19.39,599
18.67,21.66,20.51,19.41,600
18.64,21.68,20.54,19.42,601
18.60,21.68,20.51,19.41,602
18.62,21.71,20.55,19.41,603
18.67,21.63,20.51,19.43,604
18.64,21.70,20.55,19.45,605
18.63,21.71,20.55,19.47,606
18.64,21.65,20.52,19.43,607
18.58,21.65,20.55,19.36,608
18.64,21.67,20.52,19.45,609
18.61,21.76,20.54,19.42,610
18.62,21.68,20.56,19.41,611
18.64,21.63,20.50,19.48,612
18.56,21.62,20.58,19.39,613
18.64,21.67,20.51,19.45,614
18.58,21.69,20.57,19.44,615
18.64,21.71,20.48,19.43,616
18.65,21.66,20.55,19.46,617
18.64,21.68,20.53,19.44,618
18.65,21.65,20.55,19.43,619
18.66,21.66,20.57,19.44,620
18.70,21.73,20.52,19.45,621
18.62,21.65,20.56,19.41,622
18.58,21.68,20.56,19.41,623
18.65,21.68,20.53,19.40,624
18.56,21.68,20.53,19.40,625
18.63,21.59,20.53,19.49,626
18.59,21.69,20.55,19.41,627
18.63,21.67,20.51,19.38,628
18.58,21.66,20.52,19.42,629
18.60,21.69,20.53,19.44,630
18.61,21.66,20.51,19.46,631
18.59,21.71,20.55,19.44,632
18.61,21.63,20.51,19.41,633
18.66,21.68,20.55,19.36,634
18.58,21.66,20.48,19.46,635
18.60,21.68,20.47,19.42,636
18.58,21.60,20.50,19.43,637
18.56,21.72,20.48,19.44,638
18.59,21.64,20.53,19.42,639
18.59,21.65,20.54,19.41,640
18.60,21.68,20.59,19.41,641
18.60,21.64,20.54,19.42,642
18.61,21.67,20.51,19.42,643
18.60,21.66,20.49,19.49,644
18.63,21.69,20.57,19.48,645
18.58,21.69,20.53,19.36,646
18.61,21.69,20.52,19.42,647
18.62,21.64,20.53,19.46,648
18.57,21.63,20.56,19.44,649
18.59,21.68,20.43,19.44,650
18.66,21.67,20.52,19.44,651
18.61,21.64,20.51,19.41,652
18.68,21.62,20.55,19.43,653
18.63,21.69,20.55,19.44,654
18.59,21.68,20.44,19.42,655
18.66,21.71,20.60,19.48,656
18.59,21.64,20.63,19.43,657
18.60,21.70,20.51,19.44,658
18.60,21.71,20.53,19.42,659
18.65,21.72,20.53,19.40,660
18.62,21.67,20.52,19.43,661
18.62,21.67,20.54,19.40,662
18.60,21.67,20.52,19.39,663
18.59,21.68,20.50,19.41,664
18.60,21.64,20.49,19.46,665
18.58,21.67,20.50,19.41,666
18.66,21.65,20.48,19.42,667
18.63,21.63,20.52,19.40,668
18.59,21.68,20.52,19.44,669
18.62,21.72,20.58,19.42,670
18.62,21.70,20.55,19.43,671
18.57,21.64,20.54,19.44,672
18.57,21.70,20.51,19.40,673
18.58,21.67,20.53,19.38,674
18.57,21.68,20.55,19.46,675
18.61,21.70,20.50,19.45,676
18.55,21.67,20.57,19.49,677
18.60,21.70,20.56,19.44,678
18.57,21.66,20.54,19.34,679
18.61,21.69,20.58,19.44,680
18.57,21.66,20.56,19.45,681
18.60,21.70,20.50,19.47,682
18.54,21.69,20.59,19.37,683
18.60,21.69,20.55,19.39,684
18.63,21.67,20.51,19.43,685
18.67,21.65,20.53,19.42,686
18.63,21.68,20.49,19.41,687
18.60,21.73,20.48,19.44,688
18.54,21.68,20.55,19.44,689
18.62,21.69,20.52,19.42,690
18.59,21.64,20.53,19.44,691
18.62,21.71,20.49,19.44,692
18.64,21.64,20.50,19.42,693
18.53,21.66,20.54,19.42,694
18.65,21.73,20.52,19.39,695
18.58,21.71,20.52,19.45,696
18.58,21.71,20.49,19.48,697
18.58,21.74,20.52,19.41,698
18.60,21.73,20.58,19.38,699
18.61,21.66,20.56,19.43,700
18.61,21.66,20.51,19.43,701
18.60,21.71,20.52,19.46,702
18.61,21.68,20.57,19.43,703
18.64,21.73,20.51,19.43,704
18.57,21.66,20.48,19.47,705
18.64,21.68,20.53,19.47,706
18.63,21.67,20.56,19.44,707
18.57,21.68,20.57,19.45,708
18.61,21.71,20.51,19.40,709
18.62,21.67,20.56,19.44,710
18.61,21.67,20.50,19.44,711
18.61,21.65,20.56,19.45,712
18.59,21.65,20.56,19.46,713
18.61,21.73,20.52,19.44,714
18.59,21.65,20.49,19.47,715
18.65,21.70,20.50,19.46,716
18.60,21.69,20.55,19.47,717
18.58,21.72,20.55,19.51,718
18.57,21.63,20.53,19.42,719
18.67,21.66,20.57,19.39,720
18.59,21.67,20.52,19.45,721
18.59,21.67,20.52,19.48,722
18.62,21.67,20.52,19.42,723
18.59,21.67,20.49,19.46,724
18.61,21.74,20.49,19.50,725
18.53,21.69,20.56,19.47,726
18.57,21.63,20.53,19.37,727
18.59,21.68,20.51,19.43,728
18.58,21.71,20.49,19.44,729
18.59,21.68,20.53,19.45,730
18.57,21.66,20.59,19.48,731
18.59,21.67,20.55,19.47,732
18.64,21.64,20.56,19.46,733
18.64,21.73,20.53,19.44,734
18.62,21.66,20.60,19.46,735
18.62,21.70,20.55,19.45,736
18.58,21.66,20.52,19.43,737
18.60,21.72,20.45,19.48,738
18.64,21.67,20.53,19.42,739
18.61,21.58,20.57,19.41,740
18.63,21.72,20.52,19.43,741
18.68,21.70,20.54,19.49,742
18.56,21.67,20.54,19.40,743
18.59,21.66,20.54,19.48,744
18.61,21.64,20.58,19.44,745
18.57,21.72,20.51,19.39,746
18.66,21.63,20.47,19.49,747
18.62,21.71,20.50,19.41,748
18.60,21.68,20.52,19.47,749
18.63,21.66,20.54,19.44,750
18.62,21.68,20.54,19.43,751
18.58,21.68,20.56,19.42,752
18.61,21.75,20.53,19.45,753
18.64,21.72,20.53,19.41,754
18.60,21.66,20.56,19.46,755
18.64,21.72,20.59,19.46,756
18.62,21.72,20.55,19.43,757
18.62,21.73,20.58,19.49,758
18.64,21.73,20.50,19.49,759
18.55,21.66,20.55,19.49,760
18.61,21.75,20.57,19.45,761
18.65,21.71,20.49,19.43,762
18.67,21.66,20.57,19.41,763
18.62,21.67,20.51,19.48,764
18.60,21.70,20.56,19.41,765
18.60,21.69,20.52,19.43,766
18.67,21.63,20.55,19.44,767
18.63,21.74,20.56,19.47,768
18.56,21.67,20.53,19.45,769
18.63,21.72,20.56,19.45,770
18.60,21.72,20.56,19.38,771
18.63,21.68,20.55,19.48,772
18.68,21.63,20.53,19.49,773
18.63,21.64,20.58,19.45,774
18.64,21.71,20.55,19.38,775
18.69,21.68,20.56,19.43,776
18.65,21.69,20.58,19.47,777
18.66,21.64,20.54,19.46,778
18.61,21.65,20.51,19.43,779
18.62,21.70,20.55,19.47,780
18.62,21.67,20.57,19.40,781
18.69,21.67,20.57,19.45,782
18.63,21.73,20.53,19.50,783
18.64,21.71,20.56,19.43,784
18.63,21.72,20.53,19.46,785
