"countB, x","countB, y","mS/m ADC8, x","mS/m ADC8, y"
2017-11-08 04:39:59,1.2349417657,2017-11-08 04:39:59,36.407791748
2017-11-08 04:50:00,1.2352745444,2017-11-08 04:50:01,80.5280517578
2017-11-08 05:00:03,1.2334991744,2017-11-08 05:00:03,44.8324780273
2017-11-08 05:10:04,1.2344425976,2017-11-08 05:10:04,44.1578194173
2017-11-08 05:20:06,1.2353820522,2017-11-08 05:20:06,45.9927701823
2017-11-08 05:30:08,1.2352159393,2017-11-08 05:30:08,28.9915743001
2017-11-08 05:40:09,1.2356073231,2017-11-08 05:40:09,37.3438680013
2017-11-08 05:50:11,1.2353820729,2017-11-08 05:50:11,37.1528320313
2017-11-08 06:00:13,1.2352159393,2017-11-08 06:00:13,47.4878780111
2017-11-08 06:10:15,1.2342192616,2017-11-08 06:10:15,30.6867671712
2017-11-08 06:20:17,1.2343853951,2017-11-08 06:20:17,41.7598152669
2017-11-08 06:30:18,1.2356073231,2017-11-08 06:30:19,42.6677388509
2017-11-08 06:40:21,1.2328358039,2017-11-08 06:40:21,48.4661832682
2017-11-08 06:50:23,1.2340531692,2017-11-08 06:50:23,40.0103279622
2017-11-08 07:00:24,1.234608987,2017-11-08 07:00:24,48.2218583171
2017-11-08 07:10:26,1.2342192616,2017-11-08 07:10:26,46.5990580241
2017-11-08 07:20:28,1.2337209227,2017-11-08 07:20:28,86.9740075684
2017-11-08 07:30:29,1.2347753763,2017-11-08 07:30:29,35.6325878906
2017-11-08 07:40:30,1.234608987,2017-11-08 07:40:31,35.6718005371
2017-11-08 07:50:32,1.2343853951,2017-11-08 07:50:33,46.0631518555
2017-11-08 08:00:34,1.2330564709,2017-11-08 08:00:34,43.8059110514
2017-11-08 08:10:35,1.235108155,2017-11-08 08:10:35,36.9255997721
2017-11-08 08:20:37,1.2338870356,2017-11-08 08:20:37,34.6874625651
2017-11-08 08:30:39,1.2335548303,2017-11-08 08:30:39,54.1610660807
2017-11-08 08:40:40,1.2344425976,2017-11-08 08:40:40,44.4855969238
2017-11-08 08:50:42,1.2337209227,2017-11-08 08:50:42,83.7585705566
2017-11-08 09:00:43,1.234608987,2017-11-08 09:00:44,39.2421622721
2017-11-08 09:10:45,1.2340531486,2017-11-08 09:10:46,50.848100179
2017-11-08 09:20:48,1.2346600367,2017-11-08 09:20:48,46.446229248
2017-11-08 09:30:50,1.2350498263,2017-11-08 09:30:50,41.1474947103
2017-11-08 09:40:51,1.2357737124,2017-11-08 09:40:51,39.2773531087
2017-11-08 09:50:52,1.234608987,2017-11-08 09:50:53,46.6895487467
2017-11-08 10:00:54,1.2327242656,2017-11-08 10:00:54,32.1356241862
2017-11-08 10:10:55,1.2337770196,2017-11-08 10:10:55,57.7776786296
2017-11-08 10:20:56,1.2344425976,2017-11-08 10:20:57,40.0103279622
2017-11-08 10:30:58,1.2328903785,2017-11-08 10:30:58,90.5162166341
2017-11-08 10:40:59,1.2339434296,2017-11-08 10:41:00,39.9047554525
2017-11-08 10:51:01,1.2335548097,2017-11-08 10:51:02,34.2903088379
2017-11-08 11:01:03,1.232724245,2017-11-08 11:01:03,38.9365047201
2017-11-08 11:11:04,1.2347753763,2017-11-08 11:11:05,35.7401713053
2017-11-08 11:21:06,1.2330564915,2017-11-08 11:21:06,37.5570239258
2017-11-08 11:31:08,1.2337209227,2017-11-08 11:31:08,45.867088623
2017-11-08 11:41:10,1.2333886968,2017-11-08 11:41:10,49.9100130208
2017-11-08 11:51:11,1.2359401018,2017-11-08 11:51:11,44.651496582
2017-11-08 12:01:13,1.2325581526,2017-11-08 12:01:13,49.6717207845
2017-11-08 12:11:14,1.2349417657,2017-11-08 12:11:14,94.0222294108
2017-11-08 12:21:15,1.2354409131,2017-11-08 12:21:15,60.0329085286
2017-11-08 12:31:17,1.2343853951,2017-11-08 12:31:17,61.0695300293
2017-11-08 12:41:18,1.2347753763,2017-11-08 12:41:18,33.2164855957
2017-11-08 12:51:20,1.2342192616,2017-11-08 12:51:20,36.8904089355
2017-11-08 13:01:21,1.2347753763,2017-11-08 13:01:22,44.689703776
2017-11-08 13:11:23,1.2328903579,2017-11-08 13:11:23,44.9350341797
2017-11-08 13:21:24,1.2344425976,2017-11-08 13:21:24,36.42890625
2017-11-08 13:31:25,1.2349417657,2017-11-08 13:31:25,41.255078125
2017-11-08 13:41:27,1.2342192822,2017-11-08 13:41:27,33.4970068359
2017-11-08 13:51:28,1.2347753557,2017-11-08 13:51:28,42.3912394206
2017-11-08 14:01:29,1.234608987,2017-11-08 14:01:30,53.5326582845
2017-11-08 14:11:31,1.2332226044,2017-11-08 14:11:31,32.1677986654
2017-11-08 14:21:33,1.2347176004,2017-11-08 14:21:33,38.1995080566
2017-11-08 14:31:35,1.2343853745,2017-11-08 14:31:35,33.1531420898
2017-11-08 14:41:36,1.2354409337,2017-11-08 14:41:37,44.8375052897
2017-11-08 14:51:38,1.2332226044,2017-11-08 14:51:38,38.1904589844
2017-11-08 15:01:39,1.2352745444,2017-11-08 15:01:39,49.5540828451
2017-11-08 15:11:41,1.2340531486,2017-11-08 15:11:41,45.385476888
2017-11-08 15:21:42,1.2344425976,2017-11-08 15:21:42,38.9033247884
2017-11-08 15:31:44,1.232724245,2017-11-08 15:31:44,33.8097025553
2017-11-08 15:41:46,1.2337209433,2017-11-08 15:41:46,40.1993530273
2017-11-08 15:51:47,1.2352745444,2017-11-08 15:51:47,26.7071862793
2017-11-08 16:01:49,1.2322259061,2017-11-08 16:01:49,40.8508862305
2017-11-08 16:11:50,1.2349417657,2017-11-08 16:11:50,91.196907959
2017-11-08 16:21:52,1.2340531486,2017-11-08 16:21:52,38.3875276693
2017-11-08 16:31:53,1.235108155,2017-11-08 16:31:53,68.107697347
2017-11-08 16:41:54,1.2352745444,2017-11-08 16:41:54,39.8595100911
2017-11-08 16:51:56,1.2345514875,2017-11-08 16:51:56,87.0896346029
2017-11-08 17:01:58,1.2333887174,2017-11-08 17:01:58,44.0140397135
2017-11-08 17:12:00,1.2352159393,2017-11-08 17:12:00,36.2911592611
2017-11-08 17:22:01,1.234608987,2017-11-08 17:22:02,38.7535123698
2017-11-08 17:32:03,1.2335548097,2017-11-08 17:32:03,46.7780285645
2017-11-08 17:42:04,1.2337770402,2017-11-08 17:42:04,61.8366902669
2017-11-08 17:52:06,1.2347176211,2017-11-08 17:52:06,39.0601753743
2017-11-08 18:02:07,1.2347753763,2017-11-08 18:02:08,44.7641072591
2017-11-08 18:12:09,1.2332225838,2017-11-08 18:12:09,44.0693395996
2017-11-08 18:22:11,1.2330564709,2017-11-08 18:22:11,33.3301017253
2017-11-08 18:32:12,1.2341098189,2017-11-08 18:32:12,58.765032959
2017-11-08 18:42:14,1.2332226044,2017-11-08 18:42:15,42.4334684245
2017-11-08 18:52:16,1.2333886968,2017-11-08 18:52:16,39.0792789714
2017-11-08 19:02:18,1.2335548097,2017-11-08 19:02:18,40.0223933919
2017-11-08 19:12:20,1.2327242656,2017-11-08 19:12:20,42.587302653
2017-11-08 19:22:22,1.2345514875,2017-11-08 19:22:22,50.0638472493
2017-11-08 19:32:24,1.2338870356,2017-11-08 19:32:24,42.8165458171
2017-11-08 19:42:25,1.234608987,2017-11-08 19:42:25,57.1764180501
2017-11-08 19:52:26,1.2349417657,2017-11-08 19:52:27,67.4340441895
2017-11-08 20:02:28,1.2318937008,2017-11-08 20:02:28,34.5155301921
2017-11-08 20:12:29,1.2354409131,2017-11-08 20:12:29,32.1285860189
2017-11-08 20:22:31,1.2343853951,2017-11-08 20:22:31,40.3622363281
2017-11-08 20:32:32,1.2336106509,2017-11-08 20:32:33,45.5533874512
2017-11-08 20:42:34,1.2333886968,2017-11-08 20:42:34,47.8749772135
2017-11-08 20:52:35,1.2349417657,2017-11-08 20:52:35,47.067598877
2017-11-08 21:02:36,1.2347753763,2017-11-08 21:02:37,32.6876175944
2017-11-08 21:12:38,1.232724245,2017-11-08 21:12:38,48.8975223796
2017-11-08 21:22:40,1.2342192822,2017-11-08 21:22:40,34.0851965332
2017-11-08 21:32:41,1.2356073231,2017-11-08 21:32:42,71.3734069824
2017-11-08 21:42:43,1.2333886968,2017-11-08 21:42:43,38.531307373
2017-11-08 21:52:44,1.2359401018,2017-11-08 21:52:44,44.0261051432
2017-11-08 22:02:46,1.2357142782,2017-11-08 22:02:47,36.1423522949
2017-11-08 22:12:48,1.2343853951,2017-11-08 22:12:48,45.0194921875
2017-11-08 22:22:50,1.2345514875,2017-11-08 22:22:50,36.6078767904
2017-11-08 22:32:52,1.2333886968,2017-11-08 22:32:52,33.8991878255
2017-11-08 22:42:53,1.2366056592,2017-11-08 22:42:53,67.0318631999
2017-11-08 22:52:54,1.2356073231,2017-11-08 22:52:55,38.3231787109
2017-11-08 23:02:56,1.2338870356,2017-11-08 23:02:56,49.1408418783
2017-11-08 23:12:58,1.2343853951,2017-11-08 23:12:58,37.6947709147
2017-11-08 23:22:59,1.2362728805,2017-11-08 23:23:00,42.2162906901
2017-11-08 23:33:01,1.2340531486,2017-11-08 23:33:01,42.9462491862
2017-11-08 23:43:02,1.2352745444,2017-11-08 23:43:03,43.6108532715
2017-11-08 23:53:04,1.2337209227,2017-11-08 23:53:04,37.0804394531
2017-11-09 00:03:05,1.2361064911,2017-11-09 00:03:06,63.4122342936
2017-11-09 00:13:07,1.2333887174,2017-11-09 00:13:07,37.277508138
2017-11-09 00:23:08,1.2347753763,2017-11-09 00:23:08,41.1163256836
2017-11-09 00:33:09,1.2352745237,2017-11-09 00:33:09,41.9910693359
2017-11-09 00:43:11,1.234883734,2017-11-09 00:43:11,67.7105436198
2017-11-09 00:53:13,1.2338870356,2017-11-09 00:53:13,35.6225333659
2017-11-09 01:03:16,1.2331674994,2017-11-09 01:03:16,31.9898335775
2017-11-09 01:13:17,1.2352745444,2017-11-09 01:13:17,36.7647273763
2017-11-09 01:23:19,1.2342192616,2017-11-09 01:23:19,99.5240653483
2017-11-09 01:33:21,1.2337209433,2017-11-09 01:33:21,32.6534322103
2017-11-09 01:43:23,1.2343853745,2017-11-09 01:43:23,56.8013842773
2017-11-09 01:53:24,1.2354409337,2017-11-09 01:53:24,37.7219181315
2017-11-09 02:03:25,1.2364392698,2017-11-09 02:03:26,37.8274906413
2017-11-09 02:13:27,1.2335548097,2017-11-09 02:13:27,60.5748474121
2017-11-09 02:23:28,1.235108155,2017-11-09 02:23:28,38.4398111979
2017-11-09 02:33:29,1.234608987,2017-11-09 02:33:30,32.7590047201
2017-11-09 02:43:31,1.2335548097,2017-11-09 02:43:32,97.1009248861
2017-11-09 02:53:33,1.2337209433,2017-11-09 02:53:33,40.3320727539
2017-11-09 03:03:35,1.232724245,2017-11-09 03:03:35,38.9113684082
2017-11-09 03:13:36,1.234608987,2017-11-09 03:13:36,53.3426277669
2017-11-09 03:23:38,1.2337209227,2017-11-09 03:23:38,45.0044104004
2017-11-09 03:33:39,1.2344425976,2017-11-09 03:33:39,41.6089973958
2017-11-09 03:43:41,1.2328903785,2017-11-09 03:43:41,39.8987227376
2017-11-09 03:53:42,1.2347753763,2017-11-09 03:53:42,33.0918094889
2017-11-09 04:03:44,1.232558132,2017-11-09 04:03:44,50.886307373
2017-11-09 04:13:45,1.2349417657,2017-11-09 04:13:45,78.0747477214
2017-11-09 04:23:46,1.2342762083,2017-11-09 04:23:46,48.6330883789
2017-11-09 04:33:47,1.2334442615,2017-11-09 04:33:47,79.1475655111
2017-11-09 04:43:49,1.2328903579,2017-11-09 04:43:49,87.9301928711
2017-11-09 04:53:50,1.2357737124,2017-11-09 04:53:50,40.8518916829
2017-11-09 05:03:52,1.2332225838,2017-11-09 05:03:52,45.8268705241
2017-11-09 05:13:54,1.2330564915,2017-11-09 05:13:54,40.654822998
2017-11-09 05:23:55,1.2346089663,2017-11-09 05:23:56,59.8861124674
2017-11-09 05:33:57,1.2340531692,2017-11-09 05:33:58,33.0284659831
2017-11-09 05:43:59,1.232724245,2017-11-09 05:43:59,52.587532959
2017-11-09 05:54:01,1.2340531692,2017-11-09 05:54:01,43.3625065104
2017-11-09 06:04:02,1.2354409131,2017-11-09 06:04:02,74.2268811035
2017-11-09 06:14:04,1.2335548303,2017-11-09 06:14:04,46.700608724
2017-11-09 06:24:05,1.2603993364,2017-11-09 06:24:05,41.3857869466
2017-11-09 06:34:07,1.232724245,2017-11-09 06:34:07,42.9271455892
2017-11-09 06:44:09,1.2335548303,2017-11-09 06:44:09,35.7029695638
2017-11-09 06:54:11,1.2330564709,2017-11-09 06:54:11,41.2108382161
2017-11-09 07:04:12,1.2354409337,2017-11-09 07:04:12,55.1242895508
2017-11-09 07:14:14,1.2328903579,2017-11-09 07:14:14,35.6818550618
2017-11-09 07:24:16,1.2333887174,2017-11-09 07:24:16,45.6931453451
2017-11-09 07:34:17,1.2346089663,2017-11-09 07:34:17,85.2265311686
2017-11-09 07:44:19,1.2335548303,2017-11-09 07:44:19,30.3026843262
2017-11-09 07:54:20,1.234608987,2017-11-09 07:54:21,75.0412976074
2017-11-09 08:04:22,1.2322259061,2017-11-09 08:04:22,51.2382157389
2017-11-09 08:14:24,1.2330564709,2017-11-09 08:14:24,50.7917948405
2017-11-09 08:24:25,1.2334442615,2017-11-09 08:24:25,37.1548429362
2017-11-09 08:34:27,1.2318937008,2017-11-09 08:34:27,85.6628975423
2017-11-09 08:44:29,1.2318936802,2017-11-09 08:44:29,48.7024645996
2017-11-09 08:54:30,1.235108155,2017-11-09 08:54:31,37.6213728841
2017-11-09 09:04:32,1.2320597931,2017-11-09 09:04:32,52.5050858561
2017-11-09 09:14:35,1.2318407996,2017-11-09 09:14:35,37.1236739095
2017-11-09 09:24:36,1.2339434296,2017-11-09 09:24:36,56.6324682617
2017-11-09 09:34:38,1.232392019,2017-11-09 09:34:38,46.3104931641
2017-11-09 09:44:40,1.2325581526,2017-11-09 09:44:40,45.4458040365
2017-11-09 09:54:41,1.2337770402,2017-11-09 09:54:42,48.2821854655
2017-11-09 10:04:43,1.2318936802,2017-11-09 10:04:43,100.642128499
2017-11-09 10:14:45,1.2313953413,2017-11-09 10:14:45,34.6140645345
2017-11-09 10:24:46,1.2322795361,2017-11-09 10:24:46,62.7285266113
2017-11-09 10:34:47,1.2336106509,2017-11-09 10:34:48,52.5060913086
2017-11-09 10:44:50,1.2301824248,2017-11-09 10:44:50,39.3135493978
2017-11-09 10:54:51,1.2329450935,2017-11-09 10:54:51,55.2318729655
2017-11-09 11:04:53,1.2317275672,2017-11-09 11:04:53,41.9619112142
2017-11-09 11:14:55,1.2305647971,2017-11-09 11:14:55,63.3036454264
2017-11-09 11:24:57,1.2318936802,2017-11-09 11:24:57,35.5441080729
2017-11-09 11:34:58,1.2329450935,2017-11-09 11:34:58,44.6977473958
2017-11-09 11:45:00,1.2318936802,2017-11-09 11:45:00,38.7555232747
2017-11-09 11:55:02,1.2318937008,2017-11-09 11:55:02,32.3025292969
2017-11-09 12:05:04,1.2307308895,2017-11-09 12:05:04,40.9353442383
2017-11-09 12:15:05,1.2329450935,2017-11-09 12:15:05,64.091920166
2017-11-09 12:25:07,1.2307308895,2017-11-09 12:25:07,43.5153352865
2017-11-09 12:35:09,1.2315614748,2017-11-09 12:35:09,35.329946696
2017-11-09 12:45:10,1.2327787041,2017-11-09 12:45:10,35.1831506348
2017-11-09 12:55:12,1.2318936802,2017-11-09 12:55:12,64.0567293294
2017-11-09 13:05:13,1.2337770402,2017-11-09 13:05:13,36.1966467285
2017-11-09 13:15:15,1.2315614543,2017-11-09 13:15:15,85.6196630859
2017-11-09 13:25:17,1.2315614748,2017-11-09 13:25:17,55.001624349
2017-11-09 13:35:18,1.2337770402,2017-11-09 13:35:18,50.3504012044
2017-11-09 13:45:20,1.2318936802,2017-11-09 13:45:20,52.4397314453
2017-11-09 13:55:21,1.2336106509,2017-11-09 13:55:21,42.9432328288
2017-11-09 14:05:23,1.2317275672,2017-11-09 14:05:23,29.9950158691
2017-11-09 14:15:24,1.2324459254,2017-11-09 14:15:25,64.5232592773
2017-11-09 14:25:26,1.2305647765,2017-11-09 14:25:26,61.9995735677
2017-11-09 14:35:27,1.2327787041,2017-11-09 14:35:27,30.8204923503
2017-11-09 14:45:29,1.2317275878,2017-11-09 14:45:29,35.5561735026
2017-11-09 14:55:31,1.232724245,2017-11-09 14:55:31,46.4562837728
2017-11-09 15:05:33,1.2320597931,2017-11-09 15:05:33,64.5242647298
2017-11-09 15:15:35,1.2328903785,2017-11-09 15:15:35,71.0275313314
2017-11-09 15:25:37,1.2318936802,2017-11-09 15:25:37,58.1788541667
2017-11-09 15:35:39,1.2325581526,2017-11-09 15:35:39,52.5010640462
2017-11-09 15:45:41,1.2322259061,2017-11-09 15:45:41,33.3492053223
2017-11-09 15:55:43,1.2332225838,2017-11-09 15:55:43,57.5142500814
2017-11-09 16:05:45,1.2335548303,2017-11-09 16:05:45,33.5060559082
2017-11-09 16:15:47,1.232724245,2017-11-09 16:15:47,37.6555582682
2017-11-09 16:25:48,1.234608987,2017-11-09 16:25:49,77.0270662435
2017-11-09 16:35:50,1.2312292284,2017-11-09 16:35:50,42.3520267741
2017-11-09 16:45:52,1.2330564915,2017-11-09 16:45:52,68.2766133626
2017-11-09 16:55:53,1.2331114828,2017-11-09 16:55:53,84.3849674479
2017-11-09 17:05:55,1.2332225838,2017-11-09 17:05:55,39.3909692383
2017-11-09 17:15:57,1.2318936802,2017-11-09 17:15:57,53.3064314779
2017-11-09 17:25:58,1.2344425976,2017-11-09 17:25:58,62.1212333171
2017-11-09 17:36:00,1.2323920396,2017-11-09 17:36:00,82.6163765462
2017-11-09 17:46:02,1.232558132,2017-11-09 17:46:02,35.2605704753
2017-11-09 17:56:04,1.2320597931,2017-11-09 17:56:04,42.5420572917
2017-11-09 18:06:06,1.2322259267,2017-11-09 18:06:06,74.0388614909
2017-11-09 18:16:08,1.2332225838,2017-11-09 18:16:08,56.9431530762
2017-11-09 18:26:10,1.232392019,2017-11-09 18:26:10,89.3850826009
2017-11-09 18:36:11,1.2327787041,2017-11-09 18:36:11,36.4992879232
2017-11-09 18:46:12,1.234608987,2017-11-09 18:46:13,34.943852946
2017-11-09 18:56:14,1.2325581526,2017-11-09 18:56:15,37.1367447917
2017-11-09 19:06:16,1.2315614543,2017-11-09 19:06:16,38.7323978678
2017-11-09 19:16:17,1.2334442615,2017-11-09 19:16:17,62.6591503906
2017-11-09 19:26:19,1.2318936802,2017-11-09 19:26:19,35.5410917155
2017-11-09 19:36:20,1.2332778722,2017-11-09 19:36:20,45.1361246745
2017-11-09 19:46:22,1.2317275672,2017-11-09 19:46:22,97.7675398763
2017-11-09 19:56:24,1.2328903785,2017-11-09 19:56:24,50.7857621257
2017-11-09 20:06:25,1.2336106509,2017-11-09 20:06:25,35.9291963704
2017-11-09 20:16:27,1.232558132,2017-11-09 20:16:27,52.990719401
2017-11-09 20:26:29,1.2308970024,2017-11-09 20:26:29,43.8722709147
2017-11-09 20:36:30,1.2337770402,2017-11-09 20:36:30,41.5607356771
2017-11-09 20:46:32,1.2320598137,2017-11-09 20:46:32,46.5970471191
2017-11-09 20:56:34,1.2328903579,2017-11-09 20:56:35,34.284276123
2017-11-09 21:06:36,1.2308970024,2017-11-09 21:06:36,41.4622013346
2017-11-09 21:16:37,1.2329450935,2017-11-09 21:16:37,32.7650374349
2017-11-09 21:26:38,1.2331114828,2017-11-09 21:26:38,46.1295117188
2017-11-09 21:36:40,1.2303986841,2017-11-09 21:36:40,35.3902738444
2017-11-09 21:46:41,1.2339434296,2017-11-09 21:46:41,31.814884847
2017-11-09 21:56:43,1.2312292284,2017-11-09 21:56:43,74.824119873
2017-11-09 22:06:44,1.2329450935,2017-11-09 22:06:44,49.3218233236
2017-11-09 22:16:46,1.2318936802,2017-11-09 22:16:47,37.1970719401
2017-11-09 22:26:48,1.2313953619,2017-11-09 22:26:49,95.8692456055
2017-11-09 22:36:50,1.2307308895,2017-11-09 22:36:50,36.2056958008
2017-11-09 22:46:52,1.2315614543,2017-11-09 22:46:52,37.6113183594
2017-11-09 22:56:54,1.2312292489,2017-11-09 22:56:54,43.9285762533
2017-11-09 23:06:55,1.2337770402,2017-11-09 23:06:55,49.5229138184
2017-11-09 23:16:57,1.2318936802,2017-11-09 23:16:57,49.2544580078
2017-11-09 23:26:59,1.2318936802,2017-11-09 23:26:59,37.5218330892
2017-11-09 23:37:01,1.2318937008,2017-11-09 23:37:01,42.4445284017
2017-11-09 23:47:03,1.2322259061,2017-11-09 23:47:03,36.9919596354
2017-11-09 23:57:05,1.2317275672,2017-11-09 23:57:05,33.1048803711
2017-11-10 00:07:07,1.2323920396,2017-11-10 00:07:07,50.7807348633
2017-11-10 00:17:09,1.2313953413,2017-11-10 00:17:09,68.1951717122
2017-11-10 00:27:10,1.2324459254,2017-11-10 00:27:10,44.961175944
2017-11-10 00:37:11,1.2314475893,2017-11-10 00:37:11,52.4296769206
2017-11-10 00:47:13,1.2312292284,2017-11-10 00:47:13,78.6961173503
2017-11-10 00:57:15,1.2297342323,2017-11-10 00:57:15,79.7417879232
2017-11-10 01:07:16,1.2327787041,2017-11-10 01:07:16,52.3894588216
2017-11-10 01:17:18,1.2299003247,2017-11-10 01:17:18,43.1332633464
2017-11-10 01:27:19,1.2316139787,2017-11-10 01:27:19,34.7548278809
2017-11-10 01:37:21,1.2307308895,2017-11-10 01:37:21,45.194440918
2017-11-10 01:47:23,1.2299003453,2017-11-10 01:47:23,44.5569840495
2017-11-10 01:57:25,1.2305647765,2017-11-10 01:57:25,42.0705000814
2017-11-10 02:07:27,1.2307308895,2017-11-10 02:07:27,32.8112882487
2017-11-10 02:17:29,1.2315614748,2017-11-10 02:17:29,36.621953125
2017-11-10 02:27:30,1.2319467574,2017-11-10 02:27:30,51.5046606445
2017-11-10 02:37:31,1.2317803474,2017-11-10 02:37:31,38.2899987793
2017-11-10 02:47:33,1.2297342323,2017-11-10 02:47:33,61.3158658854
2017-11-10 02:57:35,1.2302325506,2017-11-10 02:57:35,33.2677636719
2017-11-10 03:07:36,1.231780368,2017-11-10 03:07:36,52.4447587077
2017-11-10 03:17:37,1.2322795361,2017-11-10 03:17:37,56.9592403158
2017-11-10 03:27:39,1.2302325506,2017-11-10 03:27:39,38.611743571
2017-11-10 03:37:40,1.2316139787,2017-11-10 03:37:40,45.5795292155
2017-11-10 03:47:42,1.2302325712,2017-11-10 03:47:42,41.6190519206
2017-11-10 03:57:44,1.2292358729,2017-11-10 03:57:44,35.4465791829
2017-11-10 04:07:45,1.2309484213,2017-11-10 04:07:45,41.6954663086
2017-11-10 04:17:46,1.2311148106,2017-11-10 04:17:46,32.8575390625
2017-11-10 04:27:48,1.2320597931,2017-11-10 04:27:49,33.72625
2017-11-10 04:37:50,1.2290697805,2017-11-10 04:37:50,86.5487011719
2017-11-10 04:47:52,1.2310631154,2017-11-10 04:47:52,39.5900488281
2017-11-10 04:57:54,1.2308970024,2017-11-10 04:57:54,36.8954361979
2017-11-10 05:07:55,1.2324459254,2017-11-10 05:07:55,52.604625651
2017-11-10 05:17:57,1.2305647971,2017-11-10 05:17:57,31.0014737956
2017-11-10 05:27:59,1.2297342118,2017-11-10 05:27:59,32.6101977539
2017-11-10 05:38:01,1.2302325506,2017-11-10 05:38:01,29.4430224609
2017-11-10 05:48:03,1.2303986841,2017-11-10 05:48:03,39.2572440592
2017-11-10 05:58:04,1.2309484213,2017-11-10 05:58:04,27.3526867676
2017-11-10 06:08:06,1.2295680988,2017-11-10 06:08:06,31.8520865885
2017-11-10 06:18:10,1.2317880736,2017-11-10 06:18:11,32.6242740885
2017-11-10 06:28:12,1.2303986841,2017-11-10 06:28:12,47.7090775553
2017-11-10 06:38:14,1.2292358729,2017-11-10 06:38:14,94.612430013
