"bitcoin, x; Moving Average 8, x; Moving Average 40, x; Volume, x; Bollinger Bands, x; Trace 5, x",close,high,low,open,"Moving Average 8, y","Moving Average 40, y","Volume, y",color,"Bollinger Bands, y","Trace 5, y"
2013-06-27,101.44,104.0,101.1,104.0,105.96,115.289,,#7F7F7F,112.4014909345,100.2645090655
2013-06-28,94.65,101.74,92.33,101.74,104.0225,114.6055,,#7F7F7F,114.5321181941,95.5838818059
2013-06-29,94.99,99.99,93.0,94.66,102.20875,113.93025,,#17BECF,114.7984771068,92.6655228932
2013-06-30,96.61,98.12,94.22,95.0,100.7475,113.2735,,#17BECF,113.2663130006,91.4896869994
2013-07-01,88.05,97.66,86.3,97.51,98.30375,112.3775,,#7F7F7F,113.1482452551,87.3177547449
2013-07-02,90.13,92.3,87.51,88.05,96.7275,111.46325,,#17BECF,111.3995321337,85.4324678663
2013-07-03,77.53,90.98,76.98,90.41,93.425,110.0715,,#7F7F7F,112.2843059561,78.5336940439
2013-07-04,80.53,83.11,72.0,78.89,90.49125,108.78525,,#17BECF,111.5553449361,74.8206550639
2013-07-05,68.43,80.0,65.53,79.99,86.365,107.159,,#7F7F7F,112.0466070125,67.2253929875
2013-07-06,70.28,75.0,66.82,68.5,83.31875,105.67225,,#17BECF,109.2098864868,63.3181135132
2013-07-07,74.56,74.56,66.62,68.75,80.765,104.31125,,#17BECF,104.8579698336,62.2940301664
2013-07-08,76.52,80.0,72.6,76.5,78.25375,102.91675,,#17BECF,101.9108866827,61.6151133173
2013-07-09,76.69,78.3,72.52,76.0,76.83375,101.614,,#17BECF,97.9533811774,61.9126188226
2013-07-10,86.76,87.0,76.2,76.72,76.4125,100.558,,#17BECF,93.6967876715,64.1992123285
2013-07-11,88.98,90.28,85.08,88.0,77.84375,99.55,,#17BECF,94.0542280932,64.0277719068
2013-07-12,93.59,104.0,88.17,88.98,79.47625,98.8325,,#17BECF,95.6440136659,63.1299863341
2013-07-13,98.13,98.25,88.06,93.99,83.18875,98.23025,,#17BECF,101.4477689852,61.4462310148
2013-07-14,94.69,98.7,92.86,98.7,86.24,97.562,,#7F7F7F,104.512273121,61.213726879
2013-07-15,98.4,101.9,93.11,93.61,89.22,96.98075,,#17BECF,106.9188761967,64.8011238033
2013-07-16,97.45,99.86,96.14,98.89,91.83625,96.467,,#7F7F7F,107.6160523807,69.5379476193
2013-07-17,98.5,99.97,96.18,96.71,94.5625,96.142,,#17BECF,108.1014756372,73.8405243628
2013-07-18,90.58,98.8,86.2,98.5,95.04,95.699,,#7F7F7F,106.2305644832,78.5234355168
2013-07-19,92.17,95.2,87.8,90.07,95.43875,95.50325,,#17BECF,102.4055830512,85.4444169488
2013-07-20,89.39,93.1,89.27,92.0,94.91375,95.07925,,#7F7F7F,101.7996273629,86.5763726371
2013-07-21,90.76,91.95,88.0,89.82,93.9925,94.62575,,#17BECF,101.5049087246,87.2270912754
2013-07-22,91.61,92.0,90.08,92.0,93.6075,94.21225,,#7F7F7F,101.5095214893,86.8264785107
2013-07-23,95.56,96.82,91.6,91.6,93.2525,94.00125,,#17BECF,100.8022211464,87.0197788536
2013-07-24,94.51,95.99,93.0,95.56,92.885,93.8645,,#7F7F7F,100.7761133137,87.0098866863
2013-07-25,96.9,97.33,93.87,94.5,92.685,93.78725,,#17BECF,100.2443779736,87.2416220264
2013-07-26,96.02,97.47,96.0,96.95,93.365,93.7,,#7F7F7F,99.7946643708,87.4053356292
2013-07-27,94.12,97.0,93.0,96.02,93.60875,93.5105,,#7F7F7F,98.3552931107,87.9687068893
2013-07-28,99.76,100.58,94.0,94.4,94.905,93.3195,,#17BECF,100.3736581837,87.7863418163
2013-07-29,101.2,102.5,98.45,98.6,96.21,93.14325,,#17BECF,102.5259145561,87.4400854439
2013-07-30,107.99,107.99,100.47,101.49,98.2575,93.08925,,#17BECF,106.9824588942,86.7035411058
2013-07-31,106.09,111.34,103.88,107.95,99.57375,93.004,,#7F7F7F,109.0493862168,87.7026137832
2013-08-01,104.0,108.0,103.01,106.21,100.76,92.8965,,#7F7F7F,109.6554083582,89.5745916418
2013-08-02,104.5,108.0,101.21,104.86,101.71,92.819,,#7F7F7F,110.5367368666,90.4812631334
2013-08-03,104.0,105.78,102.0,104.5,102.7075,92.8505,,#7F7F7F,110.7302515544,92.1857484456
2013-08-04,105.14,105.95,103.52,104.95,104.085,92.88025,,#17BECF,111.2122223439,93.3517776561
2013-08-05,106.22,107.77,105.0,105.12,104.8925,92.93575,,#17BECF,111.3387533522,95.2652466478
2013-08-06,106.75,107.38,105.56,106.72,105.58625,93.0685,,#17BECF,109.5961938058,99.5338061942
2013-08-07,106.75,106.75,106.75,106.75,105.43125,93.371,,#7F7F7F,109.1372266193,101.3907733807
2013-08-08,103.0,106.75,101.26,106.75,105.045,93.57125,,#7F7F7F,108.5737738647,102.3142261353
2013-08-09,102.8,105.75,101.94,103.07,104.895,93.726,,#7F7F7F,107.8955854268,101.9544145732
2013-08-10,103.0,103.9,102.41,102.8,104.7075,94.09975,,#17BECF,107.6890686799,101.5429313201
2013-08-11,105.0,105.19,102.75,103.0,104.8325,94.4715,,#17BECF,107.7649663093,101.6670336907
2013-08-12,106.64,108.0,103.5,105.0,105.02,95.19925,,#17BECF,108.2037066997,101.6562933003
2013-08-13,109.0,109.35,104.65,106.99,105.3675,95.911,,#17BECF,109.5023239339,101.3576760661
2013-08-14,112.56,115.0,108.0,109.56,106.09375,97.01425,,#17BECF,112.2295301164,100.1144698836
2013-08-15,109.99,113.25,109.0,112.56,106.49875,98.007,,#7F7F7F,113.071245353,100.026754647
2013-08-16,108.99,112.3,108.52,110.0,107.2475,98.86775,,#7F7F7F,113.4772477414,100.0687522586
2013-08-17,113.5,113.75,108.22,108.99,108.585,99.79225,,#17BECF,115.3873915244,99.5086084756
2013-08-18,113.5,114.69,112.0,112.75,109.8975,100.7125,,#17BECF,116.5985722706,100.3974277294
2013-08-19,119.0,123.06,111.77,113.38,111.6475,101.5185,,#17BECF,119.5277859227,100.7082140773
2013-08-20,121.2,123.01,117.51,119.0,113.4675,102.324,,#17BECF,122.228123852,101.647876148
2013-08-21,123.3,124.91,119.68,121.21,115.255,103.06675,,#17BECF,125.0367406375,102.4992593625
2013-08-22,121.15,123.5,120.6,123.3,116.32875,103.64225,,#7F7F7F,126.1398605685,104.2981394315
2013-08-23,118.5,122.0,118.44,122.0,117.3925,104.2375,,#7F7F7F,126.3104592419,106.0275407581
2013-08-24,120.05,121.39,118.02,118.51,118.775,104.77875,,#17BECF,126.9808681575,106.8551318425
2013-08-25,122.11,122.99,119.17,119.6,119.85125,105.39525,,#17BECF,127.3702068279,108.8897931721
2013-08-26,120.06,122.75,119.93,122.11,120.67125,105.93425,,#7F7F7F,125.9049668732,112.5690331268
2013-08-27,126.5,127.24,120.07,120.07,121.60875,106.83225,,#17BECF,127.3021725773,113.7718274227
2013-08-28,122.62,127.32,122.62,126.48,121.78625,107.5935,,#7F7F7F,126.1384249825,116.7595750175
2013-08-29,122.39,123.7,122.21,122.62,121.6725,108.4185,,#7F7F7F,126.1706810668,117.4053189332
2013-08-30,133.49,135.75,120.99,122.35,123.215,109.48675,,#17BECF,131.5728143972,114.4611856028
2013-08-31,135.35,140.89,132.72,133.09,125.32125,110.58025,,#17BECF,135.8114005214,112.6325994786
2013-09-01,138.34,145.81,134.81,135.14,127.6075,111.64975,,#17BECF,140.2787991493,111.6032008507
2013-09-02,135.85,146.5,134.89,138.63,129.325,112.68325,,#7F7F7F,142.2095724751,113.1424275249
2013-09-03,136.77,138.34,133.0,135.61,131.41375,113.68,,#17BECF,143.8293252923,114.8666747077
2013-09-04,126.74,144.5,123.61,136.53,131.44375,114.448,,#7F7F7F,143.5403536305,116.0816463695
2013-09-05,126.43,131.44,121.83,126.76,131.92,115.25575,,#7F7F7F,142.6755746664,118.2204253336
2013-09-06,119.15,127.34,119.15,126.49,131.515,115.7405,,#7F7F7F,143.7456826452,115.6803173548
2013-09-07,124.15,125.94,118.46,118.89,130.3475,116.31425,,#17BECF,143.5848214589,116.1471785411
2013-09-08,121.66,124.72,120.49,124.13,128.63625,116.656,,#7F7F7F,143.695169455,115.890830545
2013-09-09,127.11,129.06,119.75,121.86,127.2325,117.1815,,#17BECF,142.8876609868,115.4223390132
2013-09-10,125.91,129.74,125.9,127.27,125.99,117.72925,,#7F7F7F,141.3353470102,115.0866529898
2013-09-11,135.25,137.83,123.27,125.89,125.8,118.498,,#17BECF,140.0776616977,115.7263383023
2013-09-12,133.13,136.08,131.81,135.55,126.59875,119.22625,,#7F7F7F,139.1186726823,116.1413273177
2013-09-13,134.98,137.58,132.27,132.83,127.6675,119.97225,,#17BECF,138.3472601127,116.5547398873
2013-09-14,129.22,135.85,128.87,135.01,128.92625,120.54725,,#7F7F7F,138.6361515691,116.7618484309
2013-09-15,130.37,131.44,128.26,129.4,129.70375,121.13775,,#17BECF,139.1105498385,117.0754501615
2013-09-16,131.72,132.72,129.77,130.86,130.96125,121.762,,#17BECF,138.5513718784,120.1486281216
2013-09-17,131.66,132.76,124.89,131.59,131.53,122.4785,,#17BECF,138.6164210439,121.5855789561
2013-09-18,131.47,133.2,130.54,131.71,132.225,123.19525,,#7F7F7F,137.1976614978,124.9663385022
2013-09-19,129.65,131.77,128.45,131.37,131.525,123.8615,,#7F7F7F,136.9050270445,125.7669729555
2013-09-20,127.04,135.62,126.68,129.7,130.76375,124.4125,,#7F7F7F,136.5553398503,126.3426601497
2013-09-21,127.43,128.61,126.24,126.95,129.82,124.93225,,#17BECF,135.5776510091,125.7563489909
2013-09-22,129.12,133.94,126.59,127.87,129.8075,125.43525,,#17BECF,134.931544627,125.600455373
2013-09-23,125.95,132.72,125.66,128.98,129.255,125.77,,#7F7F7F,133.4306725532,125.2953274468
2013-09-24,127.25,127.46,125.39,126.05,128.69625,126.2015,,#17BECF,133.4495416292,124.8824583708
2013-09-25,128.22,129.69,127.33,127.38,128.26625,126.68225,,#17BECF,133.1814551896,124.7205448104
2013-09-26,128.38,134.93,127.32,128.21,127.88,127.05425,,#17BECF,132.3770715123,124.8569284877
2013-09-27,133.78,134.74,128.49,128.94,128.39625,127.56125,,#17BECF,133.4841328899,124.1738671101
2013-09-28,134.78,135.63,132.56,133.77,129.36375,127.95575,,#17BECF,134.9757640178,123.3442359822
2013-09-29,137.34,140.61,134.71,134.9,130.6025,128.35925,,#17BECF,137.7281649126,122.1298350874
2013-09-30,133.0,138.35,130.27,137.15,131.0875,128.60175,,#7F7F7F,138.2535401813,122.7964598187
2013-10-01,132.18,134.63,131.55,132.68,131.86625,128.8775,,#7F7F7F,138.4624095007,123.5375904993
2013-10-02,114.13,133.59,102.25,132.05,130.22625,128.76825,,#7F7F7F,142.5630653463,116.4389346537
2013-10-03,123.63,123.63,111.82,114.45,129.6525,128.85775,,#17BECF,142.6888905443,115.8491094557
2013-10-04,129.01,130.09,123.41,123.41,129.73125,129.03025,,#17BECF,142.793179235,116.096820765
2013-10-05,128.55,130.44,128.03,128.63,129.0775,129.2425,,#7F7F7F,142.8143456597,116.1416543403
2013-10-06,129.0,129.66,126.15,128.36,128.355,129.305,,#17BECF,142.8594127331,116.2205872669
2013-10-07,126.94,130.27,126.36,129.43,127.055,129.413,,#7F7F7F,141.90750549,115.80449451
2013-10-08,126.0,127.47,124.71,126.74,126.18,129.50325,,#7F7F7F,140.4256353845,115.5303646155
2013-10-09,130.69,131.75,125.58,125.85,125.99375,129.43325,,#17BECF,138.1431802591,116.4828197409
2013-10-10,130.59,131.5,129.26,130.67,128.05125,129.31425,,#7F7F7F,137.4370000804,116.7069999196
2013-10-11,130.9,131.81,129.64,130.75,128.96,129.12825,,#17BECF,137.0572001749,116.8307998251
2013-10-12,135.19,135.66,130.56,130.9,129.7325,129.11175,,#17BECF,135.3593722174,122.7406277826
2013-10-13,138.13,138.66,134.55,135.19,130.93,129.14575,,#17BECF,137.8518977142,123.1481022858
2013-10-14,140.52,144.12,138.9,139.27,132.37,129.49025,,#17BECF,141.2321316891,122.0698683109
2013-10-15,145.24,145.39,139.13,140.77,134.6575,129.9605,,#17BECF,145.8585591942,120.7814408058
2013-10-16,142.55,152.23,142.43,145.65,136.72625,130.5455,,#7F7F7F,148.0400464521,121.3099535479
2013-10-17,146.25,147.42,142.41,142.41,138.67125,131.098,,#17BECF,150.5705239406,122.6414760594
2013-10-18,155.96,155.96,145.57,146.37,141.8425,131.9555,,#17BECF,156.0822610551,123.1217389449
2013-10-19,172.42,177.48,155.7,155.91,147.0325,133.08825,,#17BECF,169.0253540129,118.5246459871
2013-10-20,174.61,174.91,168.95,171.66,151.96,134.30575,,#17BECF,178.1231205798,118.2308794202
2013-10-21,182.21,184.82,174.8,174.8,157.47,135.47975,,#17BECF,187.394240691,119.221759309
2013-10-22,193.76,196.27,182.65,182.65,164.125,136.9955,,#17BECF,199.0496639979,119.2803360021
2013-10-23,213.62,213.62,192.38,193.36,172.6725,138.9615,,#17BECF,216.3001595385,117.1278404615
2013-10-24,198.23,217.42,168.52,214.3,179.6325,140.68675,,#7F7F7F,221.9548985916,123.0151014084
2013-10-25,186.69,198.87,168.5,197.69,184.6875,142.09475,,#7F7F7F,222.7893433421,130.4706566579
2013-10-26,177.32,188.41,175.75,187.45,187.3575,143.23475,,#7F7F7F,219.6160741195,140.5979258805
2013-10-27,196.44,196.44,176.6,176.6,190.36,144.85425,,#17BECF,217.6545682303,152.5974317697
2013-10-28,198.55,198.62,192.06,196.21,193.3525,146.53125,,#17BECF,215.4524326401,163.3175673599
2013-10-29,204.39,204.79,198.55,198.55,196.125,148.39975,,#17BECF,217.2038562347,167.9601437653
2013-10-30,199.97,209.16,199.97,204.39,196.90125,150.223,,#7F7F7F,216.5273163522,173.7086836478
2013-10-31,204.0,205.18,198.85,199.83,195.69875,152.13725,,#17BECF,217.2536241857,177.3403758143
2013-11-01,206.18,206.65,202.13,203.9,196.6925,154.06375,,#17BECF,219.0553575931,178.0226424069
2013-11-02,206.22,207.76,201.65,205.81,199.13375,156.0705,,#17BECF,216.3361373794,179.2618626206
2013-11-03,215.05,215.05,203.99,205.99,203.85,158.2655,,#17BECF,221.0038797123,177.9581202877
2013-11-04,229.1,231.01,213.94,214.66,207.9325,160.7875,,#17BECF,230.1886831234,177.2553168766
2013-11-05,245.24,250.66,226.22,229.21,213.76875,163.709,,#17BECF,241.3645936554,179.6634063446
2013-11-06,262.5,263.0,244.78,244.78,221.0325,166.927,,#17BECF,260.3739395765,173.8660604235
2013-11-07,296.41,304.17,261.55,261.68,233.0875,170.96775,,#17BECF,290.829334776,162.982665224
2013-11-08,338.11,338.66,296.93,297.85,249.85125,175.987,,#17BECF,332.8107309298,147.7452690702
2013-11-09,339.11,370.82,319.71,338.58,266.4675,181.13975,,#17BECF,360.592134837,147.791865163
2013-11-10,326.62,350.7,277.24,348.82,281.5175,186.00075,,#7F7F7F,375.3785129844,157.5294870156
2013-11-11,342.44,351.27,311.78,325.41,297.44125,191.7085,,#17BECF,389.5828661218,170.5771338782
2013-11-12,360.33,362.81,342.8,343.06,313.845,197.626,,#17BECF,402.1352653352,188.8467346648
2013-11-13,407.37,414.05,359.8,360.97,334.11125,204.585,,#17BECF,426.151515022,203.294484978
2013-11-14,420.2,425.9,395.19,406.41,353.82375,211.87625,,#17BECF,445.5447019833,222.1212980167
2013-11-15,417.95,437.89,396.11,419.41,369.01625,219.1,,#7F7F7F,455.0761339591,247.1318660409
2013-11-16,440.22,450.26,415.57,417.28,381.78,226.932,,#17BECF,466.0711376013,271.6808623987
2013-11-17,492.11,500.58,440.24,440.96,400.905,236.08475,,#17BECF,498.720328311,278.171671689
2013-11-18,703.56,703.78,494.94,496.58,448.0225,250.4065,,#17BECF,646.8705586098,203.1114413902
2013-11-19,584.61,806.11,456.39,712.76,478.29375,261.757,,#7F7F7F,683.2020704893,215.8799295107
2013-11-20,590.83,599.65,448.45,577.98,507.10625,273.25525,,#17BECF,707.5907091782,244.3332908218
2013-11-21,722.43,733.4,577.29,594.32,546.48875,287.93625,,#17BECF,771.4668084264,256.4551915736
2013-11-22,771.44,780.85,668.13,724.07,590.39375,303.769,,#17BECF,833.9487957042,276.1952042958
2013-11-23,797.82,844.97,771.7,771.7,637.8775,320.2015,,#17BECF,889.9046051869,298.3293948131
2013-11-24,774.25,807.36,722.87,795.63,679.63125,335.92675,,#7F7F7F,917.4408359089,341.6031640911
2013-11-25,799.11,810.68,754.43,773.02,718.00625,352.34075,,#17BECF,930.94003203,404.33596797
2013-11-26,928.1,928.54,800.8,805.73,746.07375,371.887,,#17BECF,973.1634166039,459.6885833961
2013-11-27,1001.96,1001.96,891.68,923.85,798.2425,393.037,,#17BECF,1028.6252777194,506.1967222806
2013-11-28,1031.95,1077.56,962.17,1003.38,853.3825,414.52525,,#17BECF,1104.7670716616,495.7329283384
2013-11-29,1131.97,1146.97,1000.64,1042.01,904.575,438.45925,,#17BECF,1183.0924918183,526.8795081817
2013-11-30,1129.43,1156.14,1106.61,1129.37,949.32375,462.13975,,#17BECF,1220.6531542476,597.0388457524
2013-12-01,955.85,1133.08,801.82,1128.92,969.0775,481.192,,#7F7F7F,1215.6297749811,648.7462250189
2013-12-02,1043.33,1055.42,938.41,951.42,1002.7125,501.93475,,#17BECF,1225.9465631621,692.8074368379
2013-12-03,1078.28,1096.0,1011.21,1046.4,1037.60875,523.936,,#17BECF,1236.9157966094,737.9302033906
2013-12-04,1151.17,1156.12,1070.16,1077.58,1065.4925,548.048,,#17BECF,1243.4098652626,806.8201347374
2013-12-05,1045.11,1154.36,897.11,1152.73,1070.88625,569.74275,,#7F7F7F,1199.5124906332,899.9175093668
2013-12-06,829.45,1042.38,829.45,1042.38,1045.57375,585.568,,#7F7F7F,1232.1942263813,847.5057736187
2013-12-07,698.23,854.64,640.22,835.32,991.35625,598.06,,#7F7F7F,1299.5230187319,719.4309812681
2013-12-08,795.87,802.51,670.88,697.31,949.66125,612.847,,#17BECF,1304.7800619941,666.9579380059
2013-12-09,893.19,921.93,780.9,793.8,941.82875,630.1775,,#17BECF,1267.7700802306,656.2119197694
2013-12-10,988.51,997.23,892.32,892.32,934.97625,649.79025,,#17BECF,1231.5721274548,664.2258725452
2013-12-11,878.48,1001.58,834.23,989.07,910.00125,666.59775,,#7F7F7F,1227.0732636804,653.2507363196
2013-12-12,873.26,901.94,844.95,882.78,875.2625,683.27375,,#7F7F7F,1202.9609054654,643.3490945346
2013-12-13,892.58,941.79,860.05,874.98,856.19625,700.212,,#17BECF,1162.4205562498,646.7494437502
2013-12-14,872.6,904.65,858.36,899.85,861.59,716.2995,,#7F7F7F,1067.675223843,685.780776157
2013-12-15,876.12,886.16,825.0,875.29,883.82625,732.0715,,#17BECF,1010.1309256031,709.5270743969
2013-12-16,705.97,882.25,668.25,880.33,872.58875,743.15825,,#7F7F7F,1026.4334854256,668.5285145744
2013-12-17,682.12,754.83,630.88,706.37,846.205,752.801,,#7F7F7F,1030.978290468,660.761709532
2013-12-18,522.7,679.32,420.51,678.2,787.97875,757.41575,,#7F7F7F,1094.6955495082,542.4104504918
2013-12-19,691.96,707.23,502.89,519.06,764.66375,766.237,,#17BECF,1079.680261669,517.179738331
2013-12-20,625.32,729.16,595.33,694.22,733.67125,773.7045,,#7F7F7F,1027.6292060215,496.5927939785
2013-12-21,605.66,654.27,579.17,619.9,697.80625,780.285,,#7F7F7F,1003.2539623183,466.4040376817
2013-12-22,617.18,666.74,585.64,601.78,665.87875,786.70625,,#17BECF,967.6240956901,450.8179043099
2013-12-23,673.41,680.91,611.04,613.06,640.54,793.35725,,#17BECF,911.5020430483,463.1059569517
2013-12-24,665.58,684.39,645.71,672.36,635.49125,799.49175,,#7F7F7F,849.1120449717,484.0919550283
2013-12-25,682.21,682.7,649.48,666.31,635.5025,806.09825,,#17BECF,757.83151385,536.59048615
2013-12-26,761.98,777.75,683.94,683.94,665.4125,814.14225,,#17BECF,780.9414691752,524.6825308248
2013-12-27,735.07,777.51,713.6,763.28,670.80125,820.21625,63.7527038241,#7F7F7F,795.6499814195,520.5640185805
2013-12-28,727.83,747.06,705.35,737.98,683.615,820.823,44.6612533146,#7F7F7F,783.784571136,573.455428864
2013-12-29,745.05,748.61,714.44,728.05,701.03875,824.834,25.5168109523,#17BECF,797.1391394949,570.7188605051
2013-12-30,756.13,766.6,740.24,741.35,718.4075,828.9665,27.3864282597,#17BECF,810.3512726631,583.6687273369
2013-12-31,754.01,760.58,738.17,760.32,728.4825,829.756,27.714884418,#7F7F7F,809.8414952888,613.8485047112
2014-01-01,771.4,775.35,754.97,754.97,741.71,829.755,29.1540057039,#17BECF,805.6234771768,648.9105228232
2014-01-02,802.39,820.31,767.21,773.44,756.7325,829.86925,47.9685689004,#17BECF,821.5248701244,658.8051298756
2014-01-03,818.72,834.15,789.12,802.85,763.825,830.981,46.1819669728,#17BECF,831.9468404153,679.0111595847
2014-01-04,859.51,859.51,801.67,823.27,779.38,832.491,44.2170539028,#17BECF,856.1201103398,690.2978896602
2014-01-05,933.53,952.4,854.52,858.55,805.0925,832.62675,78.0890812293,#17BECF,920.4936103293,660.2343896707
2014-01-06,953.29,1017.12,905.71,936.05,831.1225,831.41,89.7583106924,#17BECF,971.1078089222,653.2641910778
2014-01-07,802.0,965.74,802.0,946.49,836.85625,825.66125,101.386159601,#7F7F7F,967.5729954721,671.6330045279
2014-01-08,842.72,870.68,776.18,795.99,847.945,818.43,88.0192709322,#17BECF,968.0724344896,690.6675655104
