"quadx_usd, x; gemini, x; cexio, x","quadx_usd, y","gemini, y","cexio, y","quadx_fx, x; gemini_quadx, x; gemini_cexio, x; quadx_fx_reverse, x; bitfinex_cexio, x; bitfinex_quadx, x; quadx_cexio, x; quadx_bitfinex, x; exmo_quadx, x; exmo_cexio, x; quadx_cad_bitfinex, x; quadx_cad_gemini, x; cexio_bitfinex, x; cexio_exmo, x; cexio_gemini, x","quadx_fx, y","gemini_quadx, y","gemini_cexio, y","quadx_fx_reverse, y","bitfinex_cexio, y","bitfinex_quadx, y","quadx_cexio, y","quadx_bitfinex, y","exmo_quadx, y","exmo_cexio, y","quadx_cad_bitfinex, y","quadx_cad_gemini, y","cexio_bitfinex, y","cexio_exmo, y","cexio_gemini, y"
2017-09-17 22:30:02,3899.99,3764.1,3874.7043,2017-09-26 09:50:10.280981,-188.39,-35.01,-26.2,,,,,,,,,,,,
2017-09-17 22:40:01,3899.99,3750.0,3875.0,2017-09-26 10:00:07.590712,-198.34,-52.78,-34.21,,,,,,,,,,,,
2017-09-17 22:50:02,3894.87,3748.8,3865.4247,2017-09-26 10:10:06.616742,-197.66,-60.53,-39.82,,,,,,,,,,,,
2017-09-17 23:00:02,3894.87,3755.91,3880.9941,2017-09-26 10:20:10.977873,-190.08,-57.91,-36.74,,,,,,,,,,,,
2017-09-17 23:10:02,3894.87,3731.87,3865.1997,2017-09-26 10:30:11.311541,-191.1,-65.57,-35.37,,,,,,,,,,,,
2017-09-17 23:20:02,3894.87,3734.3,3851.2,2017-09-26 10:40:06.856439,-188.61,-67.08,-32.41,,,,,,,,,,,,
2017-09-17 23:30:02,3894.87,3725.03,3854.0998,2017-09-26 10:50:09.822722,-179.02,-75.22,-36.29,,,,,,,,,,,,
2017-09-17 23:40:02,3894.87,3708.13,3838.4346,2017-09-26 11:00:06.529492,-187.03,-71.11,-47.93,,,,,,,,,,,,
2017-09-17 23:50:02,3894.87,3718.07,3846.0381,2017-09-26 11:10:07.004124,-193.49,-71.11,-37.24,,,,,,,,,,,,
2017-09-18 00:00:02,3894.87,3716.46,3843.3299,2017-09-26 11:20:10.739292,-186.7,-67.16,-40.58,,,,,,,,,,,,
2017-09-18 00:10:01,3894.87,3740.3,3867.0517,2017-09-26 11:30:12.074849,-181.33,-67.16,-35.61,,,,,,,,,,,,
2017-09-18 00:20:01,3894.87,3739.71,3872.1065,2017-09-26 11:40:07.774081,-179.37,-45.64,-37.96,,,,,,,,,,,,
2017-09-18 00:30:01,3894.87,3753.5,3875.6674,2017-09-26 11:50:06.851217,-158.26,-70.85,-42.1,,,,,,,,,,,,
2017-09-18 00:40:03,3894.87,3772.43,3899.8175,2017-09-26 12:00:10.380134,-151.82,-77.36,-34.8,,,,,,,,,,,,
2017-09-18 00:50:02,3894.87,3771.17,3895.0,2017-09-26 12:10:08.145494,-225.82,-93.14,-40.26,,,,,,,,,,,,
2017-09-18 01:00:01,3894.87,3773.46,3893.1847,2017-09-26 12:20:06.115761,-236.78,-87.71,-43.66,,,,,,,,,,,,
2017-09-18 01:10:02,3894.87,3782.19,3900.3264,2017-09-26 12:30:08.501690,-233.07,-84.54,-33.71,,,,,,,,,,,,
2017-09-18 01:20:02,3894.87,3783.41,3905.6135,2017-09-26 12:40:07.299411,-231.34,-85.52,-40.52,,,,,,,,,,,,
2017-09-18 01:30:02,3800.0,3799.0,3917.5,2017-09-26 12:50:08.142610,-230.19,-87.12,-36.66,,,,,,,,,,,,
2017-09-18 01:40:01,3800.0,3782.98,3900.0001,2017-09-26 13:00:06.299956,-232.08,-85.14,-38.68,,,,,,,,,,,,
2017-09-18 01:50:02,3800.0,3772.12,3892.2659,2017-09-26 13:10:05.930875,-250.94,-85.13,-50.41,,,,,,,,,,,,
2017-09-18 02:00:02,3800.0,3784.11,3902.3247,2017-09-26 13:20:08.402286,-235.77,-85.0,-45.18,,,,,,,,,,,,
2017-09-18 02:10:03,3800.0,3800.0,3920.0002,2017-09-26 13:30:11.257252,-235.82,-86.76,-47.44,,,,,,,,,,,,
2017-09-18 02:20:02,3887.65,3835.27,3959.8178,2017-09-26 13:40:10.996874,-262.62,-73.05,-48.62,,,,,,,,,,,,
2017-09-18 02:33:43,3900.0,3816.52,3939.988,2017-09-26 13:50:08.506612,-256.55,-74.15,-45.08,,,,,,,,,,,,
2017-09-18 02:39:51,3900.0,3820.24,3945.2885,2017-09-26 14:00:18.060592,-254.14,-70.49,-44.37,,,,,,,,,,,,
2017-09-18 02:49:52,3900.0,3838.1,3957.0,2017-09-26 14:10:10.036231,-267.02,-71.13,-44.43,,,,,,,,,,,,
2017-09-18 02:59:51,3900.0,3837.98,3967.9091,2017-09-26 14:20:25.281620,-299.73,-68.55,-41.32,,,,,,,,,,,,
2017-09-18 03:10:04,3900.0,3820.0,3940.5604,2017-09-26 14:30:17.407163,-254.79,-69.75,-44.73,,,,,,,,,,,,
2017-09-18 03:20:02,3900.0,3794.24,3913.4617,2017-09-26 14:40:13.485115,-259.89,-75.13,-48.28,,,,,,,,,,,,
2017-09-18 03:21:37,3900.0,3794.25,3923.9639,2017-09-26 14:50:11.904699,-255.04,-69.6,-44.77,,,,,,,,,,,,
2017-09-18 03:30:02,3900.0,3794.59,3929.5607,2017-09-26 15:10:15.457836,-304.46,-43.13,-32.04,,,,,,,,,,,,
2017-09-18 03:40:04,3900.0,3812.9,3939.9099,2017-09-26 15:20:06.153929,-289.62,-52.06,-30.23,,,,,,,,,,,,
2017-09-18 03:50:02,3900.0,3802.71,3947.987,2017-09-26 15:30:10.549553,-291.25,-56.5,-26.22,,,,,,,,,,,,
2017-09-18 04:00:01,3900.0,3797.33,3947.6363,2017-09-26 15:40:09.432979,-311.28,-53.58,-21.99,,,,,,,,,,,,
2017-09-18 04:01:28,3900.0,3795.89,3947.6363,2017-09-26 15:50:05.109080,-218.48,-53.49,-33.62,,,,,,,,,,,,
2017-09-18 04:10:02,3900.0,3795.75,3940.0,2017-09-26 16:00:05.924974,-219.48,-37.99,-36.19,,,,,,,,,,,,
2017-09-18 04:20:03,3900.0,3781.27,3922.6386,2017-09-26 16:10:10.881033,-229.19,-37.98,-36.13,,,,,,,,,,,,
2017-09-18 04:30:02,3900.0,3777.03,3903.117,2017-09-26 16:20:07.113989,-220.57,-35.54,-34.42,,,,,,,,,,,,
2017-09-18 04:40:02,3900.0,3788.2,3921.0803,2017-09-26 16:30:09.877331,-212.36,-21.26,-26.59,,,,,,,,,,,,
2017-09-18 04:50:02,3900.0,3806.2,3924.6694,2017-09-26 16:40:07.242920,-219.96,-8.8,-22.38,,,,,,,,,,,,
2017-09-18 05:00:03,3900.0,3797.05,3920.0025,2017-09-26 16:50:09.337744,-227.15,-8.81,-14.6,,,,,,,,,,,,
2017-09-18 05:10:02,3900.0,3810.0,3938.8095,2017-09-26 17:00:07.381860,-216.78,-18.42,-17.99,,,,,,,,,,,,
2017-09-18 05:20:02,3900.0,3827.59,3941.2177,2017-09-26 17:10:10.031230,-206.95,-16.15,-14.06,,,,,,,,,,,,
2017-09-18 05:30:02,3900.0,3848.97,3960.0,2017-09-26 17:20:06.324260,-201.47,-21.07,-18.47,,,,,,,,,,,,
2017-09-18 05:40:02,3900.0,3854.74,3976.73,2017-09-26 17:30:07.285457,-201.47,-21.95,-12.04,,,,,,,,,,,,
2017-09-18 05:50:02,3900.0,3860.49,3981.0231,2017-09-26 17:40:07.095520,-202.08,-26.91,-19.43,,,,,,,,,,,,
2017-09-18 06:00:02,3900.0,3874.99,4016.66,2017-09-26 17:50:05.951348,-223.4,-29.95,-25.43,,,,,,,,,,,,
2017-09-18 06:10:02,3900.0,3866.23,4000.6629,2017-09-26 18:00:12.747482,-225.1,-29.95,-11.76,,,,,,,,,,,,
2017-09-18 06:20:02,3900.0,3865.9,4000.3522,2017-09-26 18:10:07.596338,-199.96,-26.94,-23.32,,,,,,,,,,,,
2017-09-18 06:30:02,3900.0,3862.61,3999.4401,2017-09-26 18:20:09.621817,-216.83,-22.99,-20.06,,,,,,,,,,,,
2017-09-18 06:40:02,3900.0,3863.81,4010.0142,2017-09-26 18:30:10.622066,-216.9,-18.67,-17.96,,,,,,,,,,,,
2017-09-18 06:50:02,3900.0,3887.99,4021.6269,2017-09-26 18:40:09.846092,-217.42,-19.55,-16.74,,,,,,,,,,,,
2017-09-18 07:00:02,3947.99,3924.55,4078.0,2017-09-26 18:50:07.654511,-217.55,-15.95,-23.89,,,,,,,,,,,,
2017-09-18 07:10:02,3949.98,3921.66,4092.7226,2017-09-26 19:00:06.282965,-209.5,-21.04,-22.03,,,,,,,,,,,,
2017-09-18 07:20:02,3949.99,3943.03,4101.9988,2017-09-26 19:10:05.387512,-213.36,-28.03,-28.13,,,,,,,,,,,,
2017-09-18 07:30:02,3999.99,3950.36,4109.9964,2017-09-26 19:20:06.538492,-188.46,-28.02,-28.04,,,,,,,,,,,,
2017-09-18 07:40:02,4097.79,3981.0,4139.9082,2017-09-26 19:30:07.499593,-209.97,-15.41,-29.11,,,,,,,,,,,,
2017-09-18 07:50:02,4097.79,3971.88,4129.3035,2017-09-26 19:40:06.838290,-322.1,1.54,-35.01,,,,,,,,,,,,
2017-09-18 08:00:02,4097.79,3959.31,4103.8391,2017-09-26 19:50:06.384390,-320.79,0.0,-32.77,,,,,,,,,,,,
2017-09-18 08:10:02,4097.79,3946.03,4110.0,2017-09-26 20:00:11.735499,-316.66,1.2,-40.21,,,,,,,,,,,,
2017-09-18 08:20:02,4097.58,3979.11,4140.0513,2017-09-26 20:10:09.143627,-320.37,2.36,-38.21,,,,,,,,,,,,
2017-09-18 08:30:03,4096.88,3946.28,4104.8988,2017-09-26 20:20:05.931804,-328.43,-3.22,-32.87,,,,,,,,,,,,
2017-09-18 08:40:02,4096.88,3947.48,4098.535,2017-09-26 20:30:05.981114,-340.56,-0.21,-34.0,,,,,,,,,,,,
2017-09-18 08:50:02,4096.88,3952.39,4108.9591,2017-09-26 20:40:08.652981,-317.54,3.26,-30.39,,,,,,,,,,,,
2017-09-18 09:00:02,4096.88,3972.09,4122.0,2017-09-26 20:50:06.656936,-327.55,-1.47,-31.82,,,,,,,,,,,,
2017-09-18 09:10:02,4086.94,3989.93,4147.14,2017-09-26 21:00:11.515253,-303.24,-4.53,-32.02,,,,,,,,,,,,
2017-09-18 09:20:02,4086.9,3987.72,4145.2801,2017-09-26 21:10:09.887872,-288.16,-15.89,-37.12,,,,,,,,,,,,
2017-09-18 09:30:02,4084.13,3976.98,4125.5001,2017-09-26 21:20:05.533012,-287.86,-28.67,-33.86,,,,,,,,,,,,
2017-09-18 09:40:02,4084.13,3961.55,4106.1103,2017-09-26 21:30:06.885975,-310.43,-25.16,-34.84,,,,,,,,,,,,
2017-09-18 09:50:02,4084.13,3957.25,4123.0,2017-09-26 21:40:06.822857,-306.56,-23.06,-34.58,,,,,,,,,,,,
2017-09-18 10:00:02,4084.13,3924.91,4075.1003,2017-09-26 21:50:06.052243,-306.56,-23.03,-35.91,,,,,,,,,,,,
2017-09-18 10:10:02,4084.13,3933.76,4099.0006,2017-09-26 22:00:10.495086,-284.82,-22.24,-34.2,,,,,,,,,,,,
2017-09-18 10:20:02,4092.35,3919.88,4077.61,2017-09-26 22:10:06.586028,-305.56,-22.02,-33.69,,,,,,,,,,,,
2017-09-18 10:30:05,4092.35,3900.01,4056.99,2017-09-26 22:20:05.996103,-305.56,-17.29,-28.82,,,,,,,,,,,,
2017-09-18 10:40:02,3888.37,3912.8,4075.0,2017-09-26 22:30:11.442501,-300.47,-17.07,-27.62,,,,,,,,,,,,
2017-09-18 10:50:02,3888.37,3940.29,4092.282,2017-09-26 22:40:08.292808,-315.23,-17.55,-29.85,,,,,,,,,,,,
2017-09-18 11:00:02,3888.37,3962.71,4122.35,2017-09-26 22:50:05.249160,-440.62,-17.29,-29.74,,,,,,,,,,,,
2017-09-18 11:10:02,3888.37,3959.8,4117.7827,2017-09-26 23:00:08.626381,-435.95,2.88,-30.02,,,,,,,,,,,,
2017-09-18 11:20:02,3888.37,3990.2,4138.8611,2017-09-26 23:10:05.873419,-305.83,-1.24,-28.75,,,,,,,,,,,,
2017-09-18 11:30:02,3888.37,3973.56,4140.0,2017-09-26 23:20:06.960908,-301.39,-4.27,-33.42,,,,,,,,,,,,
2017-09-18 11:40:02,3888.37,3968.12,4138.8379,2017-09-26 23:30:05.038701,-296.73,-4.35,-31.59,,,,,,,,,,,,
2017-09-18 11:50:02,4040.0,3958.07,4110.0,2017-09-26 23:40:06.258491,-328.74,-0.36,-25.96,,,,,,,,,,,,
2017-09-18 12:00:01,4040.0,3950.0,4118.4601,2017-09-26 23:50:06.670466,-333.31,2.16,-20.47,,,,,,,,,,,,
2017-09-18 12:10:02,3912.59,3949.13,4107.8205,2017-09-27 00:00:10.953856,-328.31,2.76,-26.69,,,,,,,,,,,,
2017-09-18 12:20:02,4092.77,3981.97,4136.0,2017-09-27 00:10:07.222414,-324.92,11.91,-18.29,,,,,,,,,,,,
2017-09-18 12:30:02,4092.77,4024.0,4199.9,2017-09-27 00:20:06.199641,-335.32,11.91,-13.08,,,,,,,,,,,,
2017-09-18 12:40:02,4092.77,4039.85,4191.0001,2017-09-27 00:30:05.954774,-343.18,-7.09,-24.78,,,,,,,,,,,,
2017-09-18 12:50:02,4092.77,4070.61,4197.9999,2017-09-27 00:40:07.506677,-336.15,-7.11,-19.48,,,,,,,,,,,,
2017-09-18 13:00:02,4092.77,4052.77,4184.0001,2017-09-27 00:50:10.470978,-331.94,-7.11,-19.51,,,,,,,,,,,,
2017-09-18 13:10:02,4100.01,4056.0,4190.0,2017-09-27 01:00:06.442060,-327.25,-13.25,-21.85,,,,,,,,,,,,
2017-09-18 13:20:02,4100.01,4086.5,4190.0,2017-09-27 01:10:05.619453,-318.18,-21.1,-28.58,,,,,,,,,,,,
2017-09-18 13:30:02,4161.86,4091.25,4199.9001,2017-09-27 01:20:06.542082,-320.43,-21.1,-23.97,,,,,,,,,,,,
2017-09-18 13:40:02,4161.86,4085.82,4206.0,2017-09-27 01:30:06.001480,-335.81,-20.08,-26.06,,,,,,,,,,,,
2017-09-18 13:50:02,4161.86,4084.01,4211.7457,2017-09-27 01:40:06.862956,-335.38,-18.15,-32.49,,,,,,,,,,,,
2017-09-18 14:00:02,4161.86,4086.56,4201.4011,2017-09-27 01:50:06.067686,-333.79,-14.1,-30.99,,,,,,,,,,,,
2017-09-18 14:10:03,4161.86,4088.0,4206.5801,2017-09-27 02:00:08.948010,-328.25,-10.09,-25.07,,,,,,,,,,,,
2017-09-18 14:20:03,4161.86,4091.51,4234.5261,2017-09-27 02:10:06.049691,-266.84,-13.12,-22.82,,,,,,,,,,,,
2017-09-18 14:30:02,4161.86,4084.26,4226.7235,2017-09-27 02:20:06.446518,-288.9,-13.13,-24.25,,,,,,,,,,,,
2017-09-18 14:40:02,4161.86,4050.01,4200.55,2017-09-27 02:30:09.660998,-284.92,-7.75,-18.49,,,,,,,,,,,,
2017-09-18 14:50:02,4161.86,4007.59,4163.7542,2017-09-27 02:40:06.165707,-284.92,-4.76,-19.8,,,,,,,,,,,,
2017-09-18 15:00:02,4080.01,4018.29,4172.8542,2017-09-27 02:50:06.353855,-283.56,-13.13,-20.73,,,,,,,,,,,,
2017-09-18 15:10:02,4080.01,4023.56,4175.0,2017-09-27 03:00:07.096193,-283.61,-13.13,-27.89,,,,,,,,,,,,
2017-09-18 15:20:02,4080.01,4009.99,4183.4763,2017-09-27 03:10:10.869514,-289.27,-12.08,-21.67,,,,,,,,,,,,
2017-09-18 15:30:02,4080.01,4030.0,4201.089,2017-09-27 30:20:07.688165,-290.41,-23.69,-27.15,,,,,,,,,,,,
2017-09-18 15:40:02,4089.95,4049.12,4199.9999,2017-09-27 03:30:06.335105,-291.83,-42.19,-30.95,,,,,,,,,,,,
2017-09-18 15:50:02,4089.95,4042.01,4180.0001,2017-09-27 03:40:12.077794,-262.25,-48.7,-42.56,,,,,,,,,,,,
2017-09-18 16:00:02,4014.73,4031.18,4172.5265,2017-09-27 03:50:08.688088,-326.38,-45.6,-41.51,,,,,,,,,,,,
2017-09-18 16:10:02,4141.0,4005.0,4169.4999,2017-09-27 04:00:06.687589,-325.87,-45.54,-43.26,,,,,,,,,,,,
2017-09-18 16:20:02,4141.0,4000.04,4174.0343,2017-09-27 04:08:04.478988,-323.42,-50.24,-43.39,-37.65,,,,,,,,,,,
2017-09-18 16:30:02,4141.0,4022.83,4172.2195,2017-09-27 04:10:06.387275,-275.64,-50.23,-46.12,-38.13,,,,,,,,,,,
2017-09-18 16:40:02,4141.0,4015.01,4178.6929,2017-09-27 04:20:07.288567,-280.62,-46.33,-41.01,-48.26,,,,,,,,,,,
2017-09-18 16:50:02,4141.0,4000.01,4163.5148,2017-09-27 04:22:30.037191,-280.52,-46.34,-41.25,-48.27,,,,,,,,,,,
2017-09-18 17:00:02,4141.0,4006.74,4158.8701,2017-09-27 04:30:10.494765,-280.62,-46.32,-42.81,-48.44,,,,,,,,,,,
2017-09-18 17:10:02,4141.0,4000.59,4133.7701,2017-09-27 04:40:07.590276,-278.02,-49.08,-40.27,-43.63,,,,,,,,,,,
2017-09-18 17:20:02,4141.0,3961.28,4128.1783,2017-09-27 04:44:25.278538,-279.53,-49.08,-42.65,-43.63,,,,,,,,,,,
2017-09-18 17:30:02,4141.0,3964.5,4116.1876,2017-09-27 04:45:41.106108,-279.53,-49.08,-42.71,-43.63,,,,,,,,,,,
2017-09-18 17:40:02,4014.86,3972.86,4143.4127,2017-09-27 04:48:17.295533,-313.28,-49.08,-39.73,-43.63,,,,,,,,,,,
2017-09-18 17:50:02,4122.63,3980.98,4141.2839,2017-09-27 04:48:50.552938,-291.67,-49.08,-39.03,-43.63,,,,,,,,,,,
2017-09-18 18:00:02,4122.63,4000.0,4163.91,2017-09-27 04:50:20.673273,-291.67,-48.98,-39.97,-49.15,,,,,,,,,,,
2017-09-18 18:10:02,4120.98,4013.88,4192.0245,2017-09-27 04:50:24.439552,-291.67,-48.98,-39.33,-49.15,,,,,,,,,,,
2017-09-18 18:20:03,4120.98,4009.68,4183.124,2017-09-27 05:00:14.844152,-295.51,-38.86,-32.18,-48.71,,,,,,,,,,,
2017-09-18 18:30:02,4050.0,4018.2,4184.9998,2017-09-27 05:05:45.182563,-294.46,-38.82,-34.15,-35.06,,,,,,,,,,,
2017-09-18 18:40:02,4119.99,4025.0,4194.9999,2017-09-27 05:10:15.529269,-294.46,-38.81,-34.19,-35.02,,,,,,,,,,,
2017-09-18 18:50:02,4119.99,4025.93,4185.0,2017-09-27 05:20:14.461698,-286.46,-34.35,-35.49,-33.66,,,,,,,,,,,
2017-09-18 19:00:02,4119.99,4029.49,4187.2873,2017-09-27 05:30:14.305156,-295.33,-38.75,-38.85,-31.9,,,,,,,,,,,
2017-09-18 19:10:02,4119.99,4004.51,4170.2015,2017-09-27 05:40:15.580997,-322.72,-40.9,-38.43,-33.18,,,,,,,,,,,
2017-09-18 19:20:02,4119.99,4002.42,4172.07,2017-09-27 05:50:21.237580,-344.58,-42.09,-38.53,-32.56,,,,,,,,,,,
2017-09-18 19:30:02,4119.99,4001.66,4178.9998,2017-09-27 06:00:17.339256,-338.21,-47.72,-44.32,-34.03,,,,,,,,,,,
2017-09-18 19:40:02,4119.99,4000.04,4178.9988,2017-09-27 06:10:18.400667,-333.08,-53.43,-49.04,-34.16,,,,,,,,,,,
2017-09-18 19:50:02,4119.99,4006.8,4174.8914,2017-09-27 06:20:26.153338,-339.8,-54.38,-49.8,-35.24,,,,,,,,,,,
2017-09-18 20:00:02,4100.0,4023.4,4176.0001,2017-09-27 06:30:26.048947,-306.4,-40.66,-43.47,-35.23,,,,,,,,,,,
2017-09-18 20:10:04,4100.0,4013.65,4188.77,2017-09-27 06:40:17.207165,-316.72,-40.13,-39.88,-35.23,,,,,,,,,,,
2017-09-18 20:20:01,4100.0,4012.0,4180.5326,2017-09-27 06:50:13.604755,-305.97,-36.76,-34.43,-35.23,,,,,,,,,,,
2017-09-18 20:30:01,4100.0,4002.46,4175.4474,2017-09-27 07:00:15.055742,-316.72,-44.37,-45.72,-35.22,,,,,,,,,,,
2017-09-18 20:40:02,4100.0,3994.94,4167.0,2017-09-27 07:10:15.386857,-323.03,-45.35,-47.77,-35.21,,,,,,,,,,,
2017-09-18 20:50:02,4100.0,4001.4,4180.2082,2017-09-27 07:20:13.150750,-336.02,-44.41,-48.79,-38.76,,,,,,,,,,,
2017-09-18 21:00:01,4100.0,4009.1,4180.9999,2017-09-27 07:30:14.840967,-332.34,-50.01,-51.17,-41.54,,,,,,,,,,,
2017-09-18 21:10:02,4120.99,4034.79,4197.15,2017-09-27 07:40:13.339808,-311.01,-44.34,-44.57,-41.48,,,,,,,,,,,
2017-09-18 21:20:01,4120.99,4043.88,4199.0012,2017-09-27 07:50:22.813686,-327.89,-45.98,-44.78,-41.52,,,,,,,,,,,
2017-09-18 21:30:02,4141.0,4048.0,4215.64,2017-09-27 08:00:15.811044,-336.85,-42.68,-42.74,-41.03,,,,,,,,,,,
2017-09-18 21:40:02,4141.0,4083.07,4223.995,2017-09-27 08:10:12.084230,-336.85,-41.17,-43.01,-40.71,,,,,,,,,,,
2017-09-18 21:50:02,4141.0,4077.47,4213.9861,2017-09-27 08:20:15.346581,-314.26,-42.12,-45.29,-41.67,,,,,,,,,,,
2017-09-18 22:00:02,4141.0,4076.28,4215.2413,2017-09-27 08:30:12.405855,-314.26,-38.45,-36.43,-40.72,,,,,,,,,,,
2017-09-18 22:10:02,4141.0,4102.89,4264.7803,2017-09-27 08:40:12.777126,-345.93,-44.89,-42.14,-38.31,,,,,,,,,,,
2017-09-18 22:20:02,4141.0,4100.54,4261.0,2017-09-27 08:50:12.875855,-312.27,-41.74,-39.72,-38.3,,,,,,,,,,,
2017-09-18 22:30:02,4141.0,4093.73,4257.3948,2017-09-27 09:00:19.506425,-314.26,-38.07,-33.54,-38.76,,,,,,,,,,,
2017-09-18 22:40:02,4150.0,4054.96,4222.39,2017-09-27 09:10:11.400855,-333.46,-44.11,-38.26,-39.14,,,,,,,,,,,
2017-09-18 22:50:01,4150.0,4071.67,4228.0,2017-09-27 09:20:15.755442,-345.55,-51.89,-44.27,-38.3,,,,,,,,,,,
2017-09-18 23:00:01,4150.0,4061.6,4232.2699,2017-09-27 09:30:12.724991,-344.1,-54.76,-38.74,-46.5,,,,,,,,,,,
2017-09-18 23:10:02,4150.0,4086.73,4242.61,2017-09-27 09:40:12.592469,-321.13,-56.87,-40.35,-46.68,,,,,,,,,,,
2017-09-18 23:20:02,4150.0,4059.57,4238.6561,2017-09-27 09:50:11.959251,-339.45,-56.88,-43.43,-46.68,,,,,,,,,,,
2017-09-18 23:30:01,4150.0,4080.01,4258.8777,2017-09-27 10:00:15.681911,-353.03,-58.55,-42.73,-46.72,,,,,,,,,,,
