"Predicted Probability, x; Observed Probability, x","Predicted Probability, y","Observed Probability, y",text,size
23,0.2,0.0,Cluster : 23 (Size : 359)<br>eg Vector : 0|0.23809523809523808|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,37.0103092784
24,0.2,0.0,Cluster : 24 (Size : 200)<br>eg Vector : 1|0.047619047619047616|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,20.618556701
25,0.2,0.0,Cluster : 25 (Size : 200)<br>eg Vector : 1|0.09523809523809523|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,20.618556701
26,0.2,0.0,Cluster : 26 (Size : 200)<br>eg Vector : 1|0.09523809523809523|0|0|0|0|0|0|1...<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,20.618556701
27,0.2,0.0,Cluster : 27 (Size : 200)<br>eg Vector : 1|0.2857142857142857|0|1|1|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,20.618556701
28,0.2,0.0,Cluster : 28 (Size : 200)<br>eg Vector : 1|0.3333333333333333|1|0|0|0|0|0|1|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,20.618556701
29,0.3,0.0,Cluster : 29 (Size : 200)<br>eg Vector : 0|0.23809523809523808|0|1|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.3%,20.618556701
30,0.3,0.0,Cluster : 30 (Size : 200)<br>eg Vector : 0|0.38095238095238093|1|0|0|0|0|0|1...<br>Obs Prob : 0.0%<br>Pred Prob : 0.3%,20.618556701
31,0.4,0.0,Cluster : 31 (Size : 200)<br>eg Vector : 0|0.2857142857142857|1|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.4%,20.618556701
32,0.5,0.6,Cluster : 32 (Size : 315)<br>eg Vector : 1|0.047619047619047616|0|0|0|0|0|0|...<br>Obs Prob : 0.6%<br>Pred Prob : 0.5%,32.4742268041
33,0.6,0.5,Cluster : 33 (Size : 209)<br>eg Vector : 1|0.3333333333333333|0|0|0|0|0|0|0|...<br>Obs Prob : 0.5%<br>Pred Prob : 0.6%,21.5463917526
34,0.7,1.0,Cluster : 34 (Size : 200)<br>eg Vector : 1|0.3333333333333333|1|0|0|0|0|0|1|...<br>Obs Prob : 1.0%<br>Pred Prob : 0.7%,20.618556701
35,0.9,1.0,Cluster : 35 (Size : 200)<br>eg Vector : 1|0.14285714285714285|1|0|0|0|0|0|1...<br>Obs Prob : 1.0%<br>Pred Prob : 0.9%,20.618556701
36,1.2,1.5,Cluster : 36 (Size : 200)<br>eg Vector : 0|0.2857142857142857|0|0|0|0|0|0|0|...<br>Obs Prob : 1.5%<br>Pred Prob : 1.2%,20.618556701
37,1.3,1.0,Cluster : 37 (Size : 194)<br>eg Vector : 0|0.23809523809523808|1|0|0|0|1|1|1...<br>Obs Prob : 1.0%<br>Pred Prob : 1.3%,20.0
38,2.5,3.0,Cluster : 38 (Size : 200)<br>eg Vector : 0|0.14285714285714285|1|0|0|0|0|0|1...<br>Obs Prob : 3.0%<br>Pred Prob : 2.5%,20.618556701
39,3.1,3.7,Cluster : 39 (Size : 217)<br>eg Vector : 0|0.3333333333333333|0|0|0|0|0|0|0|...<br>Obs Prob : 3.7%<br>Pred Prob : 3.1%,22.3711340206
