"DASH, x; ETC, x; ETH, x; FCT, x; GAS, x; OMG, x; STEEM, x; STORJ, x; XMR, x; XRP, x; BTC, x","DASH, y","ETC, y","ETH, y","FCT, y","GAS, y","OMG, y","STEEM, y","STORJ, y","XMR, y","XRP, y","BTC, y"
2017-12-01,772.0360012059,27.7329616133,446.6147753606,22.2904823407,19.1689466887,8.8868293032,1.0532966118,0.6960459501,181.1831012506,0.2419819056,10310.2644073
2017-12-02,767.3721422574,29.5374482881,459.8892264416,22.3120739692,19.2154068851,9.2080065367,1.108240573,0.7413415533,191.1982291226,0.2459841461,10932.62871675
2017-12-03,769.4503918048,29.3238889074,465.3633262832,22.6742103385,20.3351744339,9.6921271406,1.2524149266,0.8045120362,201.3238961242,0.2467185272,11270.83267315
2017-12-04,755.8686051044,28.8525017376,460.0753976681,23.1444003975,21.8844990415,9.759041268,1.3465287989,1.0385074978,199.3582436253,0.2446685971,11353.53118805
2017-12-05,753.5629164634,28.6018800705,459.3455582672,24.6049036363,21.0824556855,10.1732082766,1.4640156038,1.1120629341,229.0365884596,0.2396596698,11685.015594175
2017-12-06,709.2215262843,26.5854625677,429.6498804032,23.2732593205,19.4709533598,9.1984004856,1.3645223339,0.9746042531,268.5389882531,0.2258291464,12729.940609492
2017-12-07,673.3369332011,25.204930648,418.8135704875,21.3174741838,17.7108196944,8.4352670868,1.6799652122,0.9712961509,257.4080198927,0.2146151015,15145.7375781303
2017-12-08,698.7260303593,24.7894788685,433.6208250653,19.5751090011,19.0189678051,8.159546336,1.6562521478,0.9061481272,254.102379291,0.2276683516,15604.4106636515
2017-12-09,726.1887856876,27.9797083091,468.8395471715,20.852703749,18.3101567111,8.5781550317,1.645456057,0.9354193485,262.4291530828,0.2394413077,14798.59750836
2017-12-10,682.7730574124,25.9746555226,441.0761982528,20.0227880687,17.467996942,7.999599689,1.5246686154,0.8000909167,242.1563403588,0.2343965206,14549.7529856592
2017-12-11,727.1926170601,27.479745669,470.4554304627,22.058106375,17.7631962337,8.7722021166,1.6776811723,0.8999931158,262.9255908979,0.2427896103,16550.075685959
2017-12-12,848.2331924363,29.391998206,581.7852760566,25.0289787359,18.7336192441,9.9875243515,1.696257667,0.9708440675,295.8144197309,0.3331327683,16996.569809572
2017-12-13,883.030140788,30.2448224892,672.0874093714,26.4913717145,21.9269912475,10.6632997031,1.7181958953,0.9802281704,310.7887628325,0.4366030771,16696.102373828
2017-12-14,923.9829255698,31.394899886,707.4303040811,30.4601529429,24.3309567236,11.0961008174,1.820852089,1.0076271951,319.0870566292,0.6588902425,16488.7448062577
2017-12-15,873.6504319938,29.69359839,657.3683499058,28.7486319744,22.2483979003,10.729172006,1.8354523581,1.0335624563,304.948268674,0.7366177695,17405.901925593
2017-12-16,922.4530907226,36.2165629992,696.9043752076,30.8829492039,23.5953104756,14.5036280195,2.0735644083,1.1059257671,325.6574574964,0.7651268902,18562.0303310473
2017-12-17,1079.964829715,34.2292466727,712.4655342945,37.9187405942,30.8159982943,15.5351567404,2.2317023298,1.2379109122,341.4198693842,0.725433108,19237.1548125715
2017-12-18,1093.6172649344,37.237389714,743.5361006987,40.275685678,37.9487108342,17.0517144067,2.4538429921,1.3133375765,350.7782850918,0.7311267516,18684.5579236825
2017-12-19,1155.8796419077,39.0122789209,811.6392286706,42.0808081742,36.0939964473,19.1134080701,2.663367374,1.3763613864,363.4366912337,0.762403323,18015.2013931712
2017-12-20,1347.5095456565,38.341706614,780.7181457465,41.4455186715,32.2950430728,17.0132666065,3.0200061389,1.5893193853,403.3121588886,0.7017082869,16628.1584566077
2017-12-21,1402.4251725158,38.3736679749,791.6370253469,41.6711547845,32.8240912326,17.234783637,3.6278889632,1.6241186423,425.9132398541,0.9430726208,15938.3576275935
2017-12-22,1082.3595600839,28.5294840226,649.431333108,30.4079647074,23.9552850687,12.6119094807,2.7901849846,1.1421762862,317.1069421113,0.978969961,13399.5340948052
2017-12-23,1232.3132407132,31.1356589975,718.3332581004,37.4883352887,28.7210556563,14.8550564508,3.2539477384,1.3122941302,370.5092375467,1.0665924281,14881.9928578937
2017-12-24,1124.7438995962,27.8394331071,663.0501646407,33.5882818878,26.2333251883,13.6783190834,3.2313296218,1.3187136079,332.555232789,0.9829160448,13750.9239619137
2017-12-25,1148.6225074061,29.041044604,723.4950745277,42.7730896752,28.8625029915,15.2941793207,3.3001536583,1.4965618013,342.1409558318,0.9970088009,13981.3322247585
2017-12-26,1161.442674239,30.5521844699,756.0765139707,44.422915694,28.5312648508,15.4461726821,3.5035338522,1.5382797284,353.1926338817,1.0170903257,15419.8048158497
2017-12-27,1154.3346467554,29.2558045955,739.8990969651,43.9278452085,29.1314429563,14.9941728789,3.184463294,1.4578033745,372.7973216102,1.1726853449,15487.1281685468
2017-12-28,1054.7617886265,26.7509063845,703.31354689,40.2315872274,26.4978470648,14.0630307526,2.8308161624,1.3118902908,346.9347805818,1.2158531391,14248.835568404
2017-12-29,1100.4079317876,27.6494889072,737.996937808,45.395729232,27.9407309286,15.6430037964,2.9602077987,1.5367788099,354.4412485813,1.6660092616,14569.385759807
2017-12-30,996.5891003669,25.5590281493,706.5005621161,41.9598321839,26.2528027133,15.3232874976,2.7769643162,2.1936871804,324.3423411086,2.0777248614,13329.0021899188
2017-12-31,996.1124593829,25.439765972,721.2484533601,48.5099373873,28.7359824942,18.8976302944,2.8018041093,2.4422314454,324.9237979056,1.8786601533,13376.9592230488
2018-01-01,1011.5126756093,29.5239697342,749.1421555816,64.0103808644,31.1599068951,19.3671116447,3.7623325346,2.295532815,333.5323064051,1.9501264412,13455.6436986115
2018-01-02,1108.4626776259,31.9213749786,857.1603100906,62.8964183181,34.0342929167,19.9139617581,5.8588022287,2.268142339,358.8530855512,2.0714964905,14137.0128337523
2018-01-03,1125.0013323294,31.8578917092,900.1655308949,64.9479196328,34.9763000734,19.9811798189,7.4618950022,2.1896134238,376.6741771425,2.5656364684,15016.8947518407
2018-01-04,1126.7296802581,34.6791772953,953.9307523658,66.9024577617,40.4436840115,20.4358376147,7.3336592404,2.3927384026,372.9359434364,2.9587865099,14860.806177275
2018-01-05,1143.9585032331,33.9325425597,1002.0398769741,62.7306027522,38.0173467135,19.6949096364,6.4189779559,2.3287647298,360.6680341202,2.6843316906,15909.0362742403
