"SO2, x; 人数, x","SO2, y","人数, y"
2014-08-03,45.0,167
2014-08-04,65.0,246
2014-08-05,79.0,203
2014-08-06,81.0,208
2014-08-07,54.0,246
2014-08-08,43.5,243
2014-08-09,33.0,207
2014-08-10,45.0,167
2014-08-11,41.0,227
2014-08-12,88.0,235
2014-08-13,45.0,231
2014-08-14,29.0,214
2014-08-15,26.0,231
2014-08-16,18.0,206
2014-08-17,26.0,133
2014-08-18,57.0,277
2014-08-19,133.0,242
2014-08-20,32.0,210
2014-08-21,28.0,198
2014-08-22,31.5,239
2014-08-23,35.0,227
2014-08-24,36.0,160
2014-08-25,30.0,264
2014-08-26,33.0,253
2014-08-27,39.0,216
2014-08-28,51.0,220
2014-08-29,48.0,219
2014-08-30,46.0,179
2014-08-31,46.0,163
2014-09-01,44.0,223
2014-09-02,43.0,205
2014-09-03,24.0,180
2014-09-04,36.0,203
2014-09-05,44.0,222
2014-09-06,29.0,258
2014-09-07,34.0,182
2014-09-08,33.0,178
2014-09-09,99.0,223
2014-09-10,59.0,245
2014-09-11,35.0,270
2014-09-12,28.0,233
2014-09-13,85.0,242
2014-09-14,33.0,156
2014-09-15,30.0,240
2014-09-16,26.0,196
2014-09-17,57.0,209
2014-09-18,71.0,217
2014-09-19,20.0,244
2014-09-20,18.0,260
2014-09-21,31.0,169
2014-09-22,33.0,314
2014-09-23,69.0,277
2014-09-24,85.0,238
2014-09-25,62.0,247
2014-09-26,26.0,227
2014-09-27,33.0,262
2014-09-28,40.0,152
2014-09-29,77.0,281
2014-09-30,62.0,243
2014-10-01,47.0,161
2014-10-02,50.0,184
2014-10-03,45.0,167
2014-10-04,67.0,165
2014-10-05,54.0,165
2014-10-06,33.0,262
2014-10-07,44.0,230
2014-10-08,34.0,207
2014-10-09,66.0,209
2014-10-10,73.0,188
2014-10-11,28.0,197
2014-10-12,27.0,136
2014-10-13,25.0,211
2014-10-14,60.0,253
2014-10-15,54.0,202
2014-10-16,50.0,177
2014-10-17,39.0,186
2014-10-18,37.0,252
2014-10-19,30.0,140
2014-10-20,72.0,247
2014-10-21,38.0,231
2014-10-22,45.0,207
2014-10-23,27.0,216
2014-10-24,22.0,200
2014-10-25,26.0,206
2014-10-26,55.0,127
2014-10-27,54.0,220
2014-10-28,71.0,221
2014-10-29,67.0,227
2014-10-30,94.0,217
2014-10-31,52.0,216
2014-11-01,23.0,245
2014-11-02,21.0,167
2014-11-03,37.0,270
2014-11-04,41.0,278
2014-11-05,58.0,211
2014-11-06,54.0,242
2014-11-07,64.0,211
2014-11-08,103.0,257
2014-11-09,115.0,170
2014-11-10,45.0,300
2014-11-11,52.0,240
2014-11-12,27.0,246
2014-11-13,68.0,256
2014-11-14,80.0,259
2014-11-15,95.0,331
2014-11-16,54.0,210
2014-11-17,43.0,336
2014-11-18,86.0,340
2014-11-19,75.0,300
2014-11-20,51.0,306
2014-11-21,93.0,312
2014-11-22,204.0,325
2014-11-23,84.0,216
2014-11-24,104.0,347
2014-11-25,71.0,364
2014-11-26,64.0,321
2014-11-27,47.0,337
2014-11-28,35.0,309
2014-11-29,47.0,306
2014-11-30,56.0,241
2014-12-01,24.0,338
2014-12-02,42.0,335
2014-12-03,81.0,342
2014-12-04,64.0,330
2014-12-05,108.0,329
2014-12-06,125.0,328
2014-12-07,116.0,250
2014-12-08,122.0,392
2014-12-09,108.0,353
2014-12-10,71.0,352
2014-12-11,62.0,356
2014-12-12,91.0,356
2014-12-13,136.0,373
2014-12-14,105.0,327
2014-12-15,74.0,416
2014-12-16,43.0,405
2014-12-17,119.0,386
2014-12-18,70.0,402
2014-12-19,81.0,412
2014-12-20,58.0,352
2014-12-21,82.0,346
2014-12-22,109.0,479
2014-12-23,82.0,433
2014-12-24,125.0,391
2014-12-25,97.0,428
2014-12-26,138.0,430
2014-12-27,121.0,443
2014-12-28,136.0,328
2014-12-29,125.0,442
2014-12-30,161.0,457
2014-12-31,34.0,430
2015-01-01,90.0,321
2015-01-02,118.0,275
2015-01-03,85.0,322
2015-01-04,182.0,408
2015-01-05,186.0,392
2015-01-06,45.0,346
2015-01-07,89.0,322
2015-01-08,110.0,340
2015-01-09,131.0,370
2015-01-10,114.0,370
2015-01-11,109.0,285
2015-01-12,105.0,350
2015-01-13,114.0,400
2015-01-14,116.0,326
2015-01-15,110.0,348
2015-01-16,76.0,322
2015-01-17,59.0,313
2015-01-18,66.0,273
2015-01-19,70.0,373
2015-01-20,60.0,346
2015-01-21,77.0,307
2015-01-22,57.0,296
2015-01-23,79.0,302
2015-01-24,138.0,299
2015-01-25,33.0,227
2015-01-26,63.0,340
2015-01-27,49.0,310
2015-01-28,75.0,275
2015-01-29,99.0,286
2015-01-30,51.0,264
2015-01-31,76.0,312
2015-02-01,89.0,206
2015-02-02,144.0,310
2015-02-03,131.0,352
2015-02-04,66.0,293
2015-02-05,52.0,276
2015-02-06,82.0,276
2015-02-07,77.0,291
2015-02-08,56.0,187
2015-02-09,56.0,266
2015-02-10,60.0,195
2015-02-11,130.0,220
2015-02-12,109.0,216
2015-02-13,99.0,236
2015-02-14,53.0,197
2015-02-15,46.0,194
2015-02-16,40.0,226
2015-02-17,77.0,201
2015-02-18,99.0,112
2015-02-19,117.0,79
2015-02-20,54.0,106
2015-02-21,64.0,145
2015-02-22,32.0,127
2015-02-23,85.0,143
2015-02-24,50.0,178
2015-02-25,60.0,242
2015-02-26,111.0,230
2015-02-27,66.0,238
2015-02-28,72.0,186
2015-03-01,63.0,187
2015-03-02,47.0,275
2015-03-03,34.0,228
2015-03-04,49.0,215
2015-03-05,69.0,210
2015-03-06,51.0,210
2015-03-07,42.0,184
2015-03-08,61.0,145
2015-03-09,54.0,195
2015-03-10,51.0,187
2015-03-11,54.0,192
2015-03-12,86.0,190
2015-03-13,148.0,155
2015-03-14,65.0,194
2015-03-15,58.0,123
2015-03-16,37.0,220
2015-03-17,62.0,202
2015-03-18,116.0,197
2015-03-19,137.0,177
2015-03-20,96.0,188
2015-03-21,45.0,195
2015-03-22,67.0,143
2015-03-23,99.0,228
2015-03-24,60.0,202
2015-03-25,32.0,202
2015-03-26,33.0,220
2015-03-27,39.0,187
2015-03-28,38.0,219
2015-03-29,46.0,138
2015-03-30,37.0,245
2015-03-31,35.0,220
2015-04-01,46.0,153
2015-04-02,22.0,179
2015-04-03,40.0,195
2015-04-04,86.0,162
2015-04-05,46.0,131
2015-04-06,48.0,206
2015-04-07,72.0,204
2015-04-08,29.0,196
2015-04-09,31.0,195
2015-04-10,32.0,203
2015-04-11,35.0,191
2015-04-12,18.0,114
2015-04-13,16.0,205
2015-04-14,34.0,248
2015-04-15,40.0,208
2015-04-16,21.0,228
2015-04-17,30.0,224
2015-04-18,85.0,254
2015-04-19,21.0,157
2015-04-20,37.0,201
2015-04-21,27.0,228
2015-04-22,35.0,195
2015-04-23,31.0,175
2015-04-24,81.0,173
2015-04-25,44.0,154
2015-04-26,33.0,139
2015-04-27,35.0,255
2015-04-28,31.0,193
2015-04-29,32.0,195
2015-04-30,25.0,225
2015-05-01,30.0,138
2015-05-02,18.0,128
2015-05-03,22.0,125
2015-05-04,46.0,218
2015-05-05,29.0,199
2015-05-06,36.0,161
2015-05-07,34.0,218
2015-05-08,20.0,197
2015-05-09,38.0,198
2015-05-10,22.0,116
2015-05-11,28.0,195
2015-05-12,59.0,223
2015-05-13,27.0,187
2015-05-14,28.0,216
2015-05-15,84.0,187
2015-05-16,36.0,176
2015-05-17,28.0,121
2015-05-18,37.0,274
2015-05-19,69.0,231
2015-05-20,32.0,205
2015-05-21,37.0,217
2015-05-22,37.0,197
2015-05-23,39.0,225
2015-05-24,67.0,151
2015-05-25,40.0,249
2015-05-26,33.0,238
2015-05-27,28.0,206
2015-05-28,32.0,224
2015-05-29,21.0,192
2015-05-30,38.0,248
2015-05-31,21.0,143
2015-06-01,20.0,238
2015-06-02,31.0,282
2015-06-03,42.0,228
2015-06-04,24.0,216
2015-06-05,23.0,217
2015-06-06,22.0,268
2015-06-07,51.0,143
2015-06-08,19.0,301
2015-06-09,29.0,252
2015-06-10,20.0,236
2015-06-11,19.0,226
2015-06-12,32.0,235
2015-06-13,27.0,288
2015-06-14,44.0,180
2015-06-15,31.0,270
2015-06-16,30.0,244
2015-06-17,31.0,210
2015-06-18,33.0,249
2015-06-19,29.0,217
2015-06-20,40.0,151
2015-06-21,32.0,138
2015-06-22,26.0,262
2015-06-23,22.0,256
2015-06-24,14.0,179
2015-06-25,17.0,165
2015-06-26,26.0,175
2015-06-27,24.0,197
2015-06-28,16.0,134
2015-06-29,14.0,200
2015-06-30,16.0,208
2015-07-01,27.0,211
2015-07-02,43.0,209
2015-07-03,49.0,178
2015-07-04,42.0,188
2015-07-05,33.0,140
2015-07-06,48.0,214
2015-07-07,32.0,231
2015-07-08,32.0,225
2015-07-09,27.0,236
2015-07-10,38.0,209
2015-07-11,24.0,198
2015-07-12,30.0,139
2015-07-13,29.0,273
2015-07-14,29.0,209
2015-07-15,38.0,212
2015-07-16,20.0,192
2015-07-17,22.0,205
2015-07-18,17.0,183
2015-07-19,27.0,136
2015-07-20,18.0,217
2015-07-21,18.0,181
2015-07-22,21.0,179
2015-07-23,21.0,247
2015-07-24,20.0,218
2015-07-25,31.0,229
2015-07-26,23.0,143
2015-07-27,19.0,230
2015-07-28,18.0,218
2015-07-29,17.0,201
2015-07-30,15.0,195
2015-07-31,16.0,222
2015-08-01,19.0,234
2015-08-02,13.0,175
2015-08-03,16.0,211
2015-08-04,14.0,179
2015-08-05,14.0,216
2015-08-06,12.0,185
2015-08-07,21.0,235
2015-08-08,20.0,175
2015-08-09,19.0,157
2015-08-10,32.0,266
2015-08-11,27.0,254
2015-08-12,26.0,251
2015-08-13,24.0,254
2015-08-14,22.0,258
2015-08-15,22.0,241
2015-08-16,22.0,149
2015-08-17,27.0,273
2015-08-18,24.0,253
2015-08-19,22.0,235
2015-08-20,32.0,232
2015-08-21,29.0,237
2015-08-22,17.0,221
2015-08-23,33.0,174
2015-08-24,21.0,296
2015-08-25,15.0,253
2015-08-26,15.0,256
2015-08-27,18.0,263
2015-08-28,20.0,266
2015-08-29,21.0,237
2015-08-30,24.0,162
2015-08-31,20.0,239
2015-09-01,12.0,274
2015-09-02,13.0,237
2015-09-03,15.0,167
2015-09-04,16.0,173
2015-09-05,28.0,176
2015-09-06,24.0,219
2015-09-07,36.0,270
2015-09-08,27.0,278
2015-09-09,23.0,237
2015-09-10,24.0,208
2015-09-11,16.0,234
2015-09-12,14.0,268
2015-09-13,23.0,159
2015-09-14,26.0,278
2015-09-15,25.0,284
2015-09-16,31.0,243
2015-09-17,26.0,245
2015-09-18,20.0,278
2015-09-19,25.0,310
2015-09-20,37.0,160
2015-09-21,30.0,288
2015-09-22,21.0,279
2015-09-23,27.0,260
2015-09-24,31.0,269
2015-09-25,26.0,243
2015-09-26,32.0,254
2015-09-27,30.0,158
2015-09-28,42.0,305
2015-09-29,46.0,302
2015-09-30,51.0,289
2015-10-01,15.0,182
2015-10-02,25.0,156
2015-10-03,46.0,160
2015-10-04,37.0,153
2015-10-05,24.0,164
2015-10-06,24.0,204
2015-10-07,20.0,269
2015-10-08,16.0,249
2015-10-09,29.0,228
2015-10-10,17.0,210
2015-10-11,33.0,139
2015-10-12,22.0,275
2015-10-13,35.0,234
2015-10-14,29.0,239
2015-10-15,41.0,256
2015-10-16,42.0,256
2015-10-17,41.0,283
2015-10-18,52.0,161
2015-10-19,38.0,276
2015-10-20,34.0,283
2015-10-21,38.0,224
2015-10-22,33.0,274
2015-10-23,26.0,218
2015-10-24,49.0,203
2015-10-25,75.0,139
2015-10-26,28.0,285
2015-10-27,25.0,257
2015-10-28,47.0,230
2015-10-29,42.0,246
2015-10-30,29.0,238
2015-10-31,38.0,288
2015-11-01,30.0,164
2015-11-02,42.0,299
2015-11-03,42.0,280
2015-11-04,31.0,287
2015-11-05,29.0,339
2015-11-06,10.0,210
2015-11-07,9.0,310
2015-11-08,13.0,129
2015-11-09,20.0,271
2015-11-10,33.0,251
2015-11-11,65.0,263
2015-11-12,71.0,258
2015-11-13,36.0,202
2015-11-14,37.0,254
2015-11-15,44.0,154
2015-11-16,32.0,254
2015-11-17,71.0,270
2015-11-18,37.0,257
2015-11-19,39.0,251
2015-11-20,61.0,249
2015-11-21,56.0,311
2015-11-22,22.0,139
2015-11-23,19.0,274
2015-11-24,18.0,200
2015-11-25,36.0,196
2015-11-26,28.0,200
2015-11-27,37.0,232
2015-11-28,79.0,266
2015-11-29,82.0,153
2015-11-30,97.0,304
2015-12-01,58.0,274
2015-12-02,44.0,267
2015-12-03,41.0,296
2015-12-04,54.0,259
2015-12-05,90.0,302
2015-12-06,92.0,184
2015-12-07,98.0,331
2015-12-08,74.0,339
2015-12-09,57.0,298
2015-12-10,53.0,336
2015-12-11,58.0,301
2015-12-12,92.0,318
2015-12-13,113.0,218
2015-12-14,90.0,338
2015-12-15,54.0,355
2015-12-16,29.0,319
2015-12-17,43.0,338
2015-12-18,62.0,330
2015-12-19,112.0,333
2015-12-20,104.0,229
2015-12-21,100.0,381
2015-12-22,96.0,335
2015-12-23,84.0,306
2015-12-24,61.0,332
2015-12-25,62.0,332
2015-12-26,72.0,340
2015-12-27,59.0,248
2015-12-28,76.0,402
2015-12-29,43.0,353
2015-12-30,50.0,327
2015-12-31,49.0,378
2016-01-01,47.0,210
2016-01-02,87.0,281
2016-01-03,101.0,242
2016-01-04,112.0,410
2016-01-05,131.0,409
2016-01-06,88.0,304
2016-01-07,57.0,410
2016-01-08,74.0,335
2016-01-09,78.0,440
2016-01-10,130.0,297
2016-01-11,67.0,399
2016-01-12,49.0,380
2016-01-13,57.0,286
2016-01-14,78.0,438
2016-01-15,84.0,354
2016-01-16,129.0,471
2016-01-17,55.0,311
2016-01-18,54.0,445
2016-01-19,69.0,536
2016-01-20,89.0,450
2016-01-21,96.0,502
2016-01-22,75.0,388
2016-01-23,30.0,365
2016-01-24,31.0,261
2016-01-25,62.0,476
2016-01-26,71.0,457
2016-01-27,89.0,414
2016-01-28,132.0,425
2016-01-29,91.0,389
2016-01-30,75.0,388
2016-01-31,58.0,252
2016-02-01,67.0,387
2016-02-02,63.0,367
2016-02-03,59.0,375
2016-02-04,93.0,358
2016-02-05,69.0,315
2016-02-06,49.0,262
2016-02-07,62.0,206
2016-02-08,74.0,184
2016-02-09,71.0,217
2016-02-10,79.0,224
2016-02-11,96.0,219
2016-02-12,65.0,244
2016-02-13,24.0,219
2016-02-14,24.0,288
2016-02-15,35.0,326
2016-02-16,43.0,248
2016-02-17,58.0,270
2016-02-18,51.0,278
2016-02-19,55.0,285
2016-02-20,31.0,172
2016-02-21,37.0,176
2016-02-22,41.0,228
2016-02-23,41.0,232
2016-02-24,39.0,238
2016-02-25,55.0,239
2016-02-26,72.0,245
2016-02-27,100.0,240
2016-02-28,43.0,167
2016-02-29,36.0,311
2016-03-01,49.0,243
2016-03-02,62.0,239
2016-03-03,48.0,264
2016-03-04,46.0,241
2016-03-05,30.0,262
2016-03-06,44.0,164
2016-03-07,58.0,280
2016-03-08,56.0,229
2016-03-09,58.0,239
2016-03-10,39.0,281
2016-03-11,52.0,255
2016-03-12,48.0,276
2016-03-13,41.0,185
2016-03-14,34.0,303
2016-03-15,40.0,310
2016-03-16,47.0,274
2016-03-17,48.0,324
2016-03-18,54.0,339
2016-03-19,92.0,313
2016-03-20,109.0,266
2016-03-21,63.0,349
2016-03-22,73.0,368
2016-03-23,51.0,291
2016-03-24,38.0,329
2016-03-25,31.0,285
2016-03-26,35.0,339
2016-03-27,34.0,242
2016-03-28,33.0,325
2016-03-29,43.0,347
2016-03-30,48.0,310
2016-03-31,41.0,325
2016-04-01,34.0,290
2016-04-02,55.0,264
2016-04-03,53.0,183
2016-04-04,42.0,180
2016-04-05,40.0,344
2016-04-06,48.0,333
2016-04-07,32.0,274
2016-04-08,54.0,236
2016-04-09,31.0,255
2016-04-10,70.0,164
2016-04-11,57.0,264
2016-04-12,34.0,285
2016-04-13,33.0,217
2016-04-14,63.0,233
2016-04-15,31.0,225
2016-04-16,17.0,206
2016-04-17,22.0,139
2016-04-18,20.0,249
2016-04-19,24.0,242
2016-04-20,36.0,204
2016-04-21,32.0,247
2016-04-22,44.0,223
2016-04-23,59.0,244
2016-04-24,32.0,172
2016-04-25,37.0,259
2016-04-26,30.0,231
2016-04-27,50.0,238
2016-04-28,34.0,243
2016-04-29,28.0,218
2016-04-30,28.0,168
2016-05-01,27.0,121
2016-05-02,23.0,118
2016-05-03,24.0,278
2016-05-04,31.0,188
2016-05-05,28.0,231
2016-05-06,23.0,184
2016-05-07,42.0,208
2016-05-08,43.0,135
2016-05-09,21.0,177
2016-05-10,23.0,181
2016-05-11,20.0,173
2016-05-12,14.0,167
2016-05-13,17.0,174
2016-05-14,16.0,133
2016-05-15,12.0,126
2016-05-16,18.0,212
2016-05-17,19.0,170
2016-05-18,23.0,168
2016-05-19,26.0,167
2016-05-20,31.0,187
2016-05-21,37.0,159
2016-05-22,43.0,146
2016-05-23,46.0,214
2016-05-24,26.0,177
2016-05-25,22.0,173
2016-05-26,40.0,163
2016-05-27,31.0,175
2016-05-28,17.0,157
2016-05-29,25.0,171
2016-05-30,25.0,214
2016-05-31,42.0,181
2016-06-01,54.0,195
2016-06-02,43.0,188
2016-06-03,32.0,164
2016-06-04,36.0,182
2016-06-05,23.0,150
2016-06-06,17.0,196
2016-06-07,20.0,167
2016-06-08,22.0,161
2016-06-09,19.0,147
2016-06-10,18.0,163
2016-06-11,17.0,145
2016-06-12,34.0,165
2016-06-13,20.0,173
2016-06-14,13.0,147
2016-06-15,13.0,157
2016-06-16,20.0,174
2016-06-17,19.0,170
2016-06-18,20.0,141
2016-06-19,37.0,149
2016-06-20,22.0,172
2016-06-21,21.0,133
2016-06-22,21.0,136
2016-06-23,15.0,119
2016-06-24,18.0,152
2016-06-25,23.0,139
2016-06-26,22.0,135
2016-06-27,20.0,178
2016-06-28,16.0,156
2016-06-29,14.0,161
2016-06-30,16.0,151
2016-07-01,16.0,138
2016-07-02,24.0,138
2016-07-03,15.0,119
2016-07-04,22.0,195
2016-07-05,32.0,159
2016-07-06,24.0,170
2016-07-07,30.0,150
2016-07-08,22.0,156
2016-07-09,21.0,106
2016-07-10,26.0,113
2016-07-11,25.0,189
2016-07-12,22.0,132
2016-07-13,18.0,159
2016-07-14,24.0,165
2016-07-15,17.0,152
2016-07-16,15.0,148
2016-07-17,17.0,184
2016-07-18,14.0,199
2016-07-19,14.0,181
2016-07-20,13.0,112
2016-07-21,14.0,159
2016-07-22,14.0,144
2016-07-23,15.0,124
2016-07-24,19.0,107
2016-07-25,20.0,155
2016-07-26,20.0,176
2016-07-27,22.0,209
2016-07-28,18.0,150
2016-07-29,18.0,168
2016-07-30,15.0,115
2016-07-31,17.0,112
2016-08-01,15.0,164
2016-08-02,21.0,186
2016-08-03,20.0,156
2016-08-04,22.0,151
2016-08-05,18.0,190
2016-08-06,20.0,169
2016-08-07,19.0,139
2016-08-08,17.0,184
2016-08-09,20.0,160
2016-08-10,20.0,170
2016-08-11,21.0,164
2016-08-12,20.0,173
2016-08-13,21.0,178
2016-08-14,24.0,136
2016-08-15,25.0,217
2016-08-16,21.0,190
2016-08-17,22.0,177
2016-08-18,23.0,183
2016-08-19,19.0,136
2016-08-20,15.0,138
2016-08-21,21.0,114
2016-08-22,34.0,220
2016-08-23,20.0,168
2016-08-24,23.0,189
2016-08-25,20.0,177
2016-08-26,21.0,202
2016-08-27,20.0,165
2016-08-28,24.0,133
2016-08-29,23.0,215
2016-08-30,26.0,184
2016-08-31,39.0,201
2016-09-01,31.0,190
2016-09-02,33.0,188
2016-09-03,36.0,182
2016-09-04,31.0,170
2016-09-05,29.0,221
2016-09-06,22.0,205
2016-09-07,17.0,185
2016-09-08,22.0,185
2016-09-09,22.0,164
2016-09-10,18.0,192
2016-09-11,30.0,170
2016-09-12,21.0,223
2016-09-13,19.0,196
2016-09-14,21.0,214
2016-09-15,21.0,140
2016-09-16,33.0,178
2016-09-17,31.0,190
2016-09-18,39.0,248
2016-09-19,24.0,233
2016-09-20,26.0,183
2016-09-21,23.0,228
2016-09-22,31.0,236
2016-09-23,26.0,259
2016-09-24,22.0,240
2016-09-25,24.0,219
2016-09-26,19.0,274
2016-09-27,20.0,224
2016-09-28,18.0,212
2016-09-29,49.0,216
2016-09-30,41.0,236
2016-10-01,26.0,146
2016-10-02,26.0,178
2016-10-03,23.0,177
2016-10-04,22.0,180
2016-10-05,23.0,181
2016-10-06,40.0,160
