"Br9901, x","Br9901, y","Br9102, x","Br9102, y","Br9901 manuellt, x","Br9901 manuellt, y","Br9102 manuellt, x","Br9102 manuellt, y","ök. brunnsfilter Br9901, x; ök. brunnsfilter Br9102, x","ök. brunnsfilter Br9901, y","ök. brunnsfilter Br9102, y"
2017-11-08 12:01:16,15.8912803125,2017-11-08 12:01:16,16.5491643457,,,,,,,
2017-11-08 12:11:17,15.8854486881,2017-11-08 12:11:17,16.546047443,,,,,,,
2017-11-08 12:21:18,15.8820301497,2017-11-08 12:21:18,16.5418245426,,,,,,,
2017-11-08 12:31:20,15.8785110661,2017-11-08 12:31:20,16.5392103662,,,,,,,
2017-11-08 12:41:22,15.8760979801,2017-11-08 12:41:22,16.5363950993,,,,,,,
2017-11-08 12:51:23,15.8749919824,2017-11-08 12:51:23,16.5345852848,,,,,,,
2017-11-08 13:01:24,15.8794159733,2017-11-08 13:01:24,16.5320716537,,,,,,,
2017-11-08 13:11:26,15.8802203353,2017-11-08 13:11:26,16.5313678369,,,,,,,
2017-11-08 13:21:27,15.8793154281,2017-11-08 13:21:27,16.5298596582,,,,,,,
2017-11-08 13:31:29,15.8760979801,2017-11-08 13:31:29,16.5279492985,,,,,,,
2017-11-08 13:41:31,15.8747908919,2017-11-08 13:41:31,16.5270443913,,,,,,,
2017-11-08 13:51:32,15.8726794417,2017-11-08 13:51:32,16.5259383935,,,,,,,
2017-11-08 14:01:33,15.8615189193,2017-11-08 14:01:33,16.5242291244,,,,,,,
2017-11-08 14:11:34,15.8607145573,2017-11-08 14:11:34,16.5240280339,,,,,,,
2017-11-08 14:21:37,16.9254887272,2017-11-08 14:21:37,16.6171329329,,,,,,,
2017-11-08 14:31:38,16.9599757471,2017-11-08 14:31:38,16.6483019596,,,,,,,
2017-11-08 14:41:39,16.9808891585,2017-11-08 14:41:39,16.6658973779,,,,,,,
2017-11-08 14:51:41,16.9961720361,2017-11-08 14:51:41,16.6788677148,,,,,,,
2017-11-08 15:01:42,17.0101478255,2017-11-08 15:01:42,16.691134235,,,,,,,
2017-11-08 15:11:43,15.9614608952,2017-11-08 15:11:43,16.6091898584,,,,,,,
2017-11-08 15:21:46,15.9336098616,2017-11-08 15:21:46,16.5849584538,,,,,,,
2017-11-08 15:31:47,15.9216449772,2017-11-08 15:31:47,16.5728930241,,,,,,,
2017-11-08 15:41:48,15.9106855453,2017-11-08 15:41:48,16.5656537663,,,,,,,
2017-11-08 15:51:49,15.9031446517,2017-11-08 15:51:49,16.5609281396,,,,,,,
2017-11-08 16:01:51,15.8977152083,2017-11-08 16:01:51,16.555800332,,,,,,,
2017-11-08 16:11:52,15.8931906722,2017-11-08 16:11:52,16.5511752507,,,,,,,
2017-11-08 16:21:54,15.8891688623,2017-11-08 16:21:54,16.5471534408,,,,,,,
2017-11-08 16:31:55,16.9317225326,2017-11-08 16:31:55,16.6225623763,,,,,,,
2017-11-08 16:41:57,16.972946084,2017-11-08 16:41:57,16.6601662988,,,,,,,
2017-11-08 16:51:58,16.9952671289,2017-11-08 16:51:58,16.6789682601,,,,,,,
2017-11-08 17:01:59,16.1774320866,2017-11-08 17:01:59,16.6870118799,,,,,,,
2017-11-08 17:12:00,15.9553276351,2017-11-08 17:12:00,16.6032576888,,,,,,,
2017-11-08 17:22:02,15.9348164046,2017-11-08 17:22:02,16.5844557275,,,,,,,
2017-11-08 17:32:05,15.9222482487,2017-11-08 17:32:05,16.5738984766,,,,,,,
2017-11-08 17:42:06,15.9135008122,2017-11-08 17:42:06,16.5677652165,,,,,,,
2017-11-08 17:52:08,15.9067642806,2017-11-08 17:52:08,16.5613303206,,,,,,,
2017-11-08 18:02:10,15.8986201156,2017-11-08 18:02:10,16.5561019678,,,,,,,
2017-11-08 18:12:11,15.8943972152,2017-11-08 18:12:11,16.5534877913,,,,,,,
2017-11-08 18:22:13,15.8913808578,2017-11-08 18:22:13,16.546449624,,,,,,,
2017-11-08 18:32:15,15.8876606836,2017-11-08 18:32:15,16.5453436263,,,,,,,
2017-11-08 18:42:16,15.8834377832,2017-11-08 18:42:16,16.5438354476,,,,,,,
2017-11-08 18:52:18,15.8819296045,2017-11-08 18:52:18,16.5412212712,,,,,,,
2017-11-08 19:02:19,15.8810246973,2017-11-08 19:02:19,16.5403163639,,,,,,,
2017-11-08 19:12:20,15.8781088851,2017-11-08 19:12:20,16.5373000065,,,,,,,
2017-11-08 19:22:22,15.8745898014,2017-11-08 19:22:22,16.5359929183,,,,,,,
2017-11-08 19:32:23,15.8737854394,2017-11-08 19:32:23,16.5338814681,,,,,,,
2017-11-08 19:42:24,15.8718750797,2017-11-08 19:42:24,16.5319711084,,,,,,,
2017-11-08 19:52:26,15.8673505436,2017-11-08 19:52:26,16.5287536605,,,,,,,
2017-11-08 20:02:27,15.8662445459,2017-11-08 20:02:27,16.5279492985,,,,,,,
2017-11-08 20:12:28,15.8661440006,2017-11-08 20:12:28,16.5282509342,,,,,,,
2017-11-08 20:22:30,15.8653396387,2017-11-08 20:22:30,16.527346027,,,,,,,
2017-11-08 20:32:31,15.8629265527,2017-11-08 20:32:31,16.5245307601,,,,,,,
2017-11-08 20:42:32,15.8624238265,2017-11-08 20:42:32,16.5235253076,,,,,,,
2017-11-08 20:52:34,15.8636303695,2017-11-08 20:52:34,16.5242291244,,,,,,,
2017-11-08 21:02:35,15.8616194645,2017-11-08 21:02:35,16.5235253076,,,,,,,
2017-11-08 21:12:36,15.8600107406,2017-11-08 21:12:36,16.5228214909,,,,,,,
2017-11-08 21:22:38,15.8584020166,2017-11-08 21:22:38,16.5220171289,,,,,,,
2017-11-08 21:32:40,15.8595080143,2017-11-08 21:32:40,16.5227209456,,,,,,,
2017-11-08 21:42:41,15.8571954736,2017-11-08 21:42:41,16.5195034977,,,,,,,
2017-11-08 21:52:42,15.8567932926,2017-11-08 21:52:42,16.5199056787,,,,,,,
2017-11-08 22:02:43,15.8555867497,2017-11-08 22:02:43,16.5205089502,,,,,,,
2017-11-08 22:12:45,15.8573965641,2017-11-08 22:12:45,16.520006224,,,,,,,
2017-11-08 22:22:46,15.8546818424,2017-11-08 22:22:46,16.518799681,,,,,,,
2017-11-08 22:32:47,15.8564916569,2017-11-08 22:32:47,16.5180958643,,,,,,,
2017-11-08 22:42:49,15.854078571,2017-11-08 22:42:49,16.5176936833,,,,,,,
2017-11-08 22:52:50,15.8538774805,2017-11-08 22:52:50,16.5174925928,,,,,,,
2017-11-08 23:02:51,15.851665485,2017-11-08 23:02:51,16.5163865951,,,,,,,
2017-11-08 23:12:53,15.8522687565,2017-11-08 23:12:53,16.5162860498,,,,,,,
2017-11-08 23:22:54,15.853274209,2017-11-08 23:22:54,16.5166882308,,,,,,,
2017-11-08 23:32:56,16.85752014,2017-11-08 23:32:56,16.5556997868,,,,,,,
2017-11-08 23:42:57,16.9305159896,2017-11-08 23:42:57,16.6231656478,,,,,,,
2017-11-08 23:52:59,16.9597746566,2017-11-08 23:52:59,16.6484025049,,,,,,,
2017-11-09 00:03:01,16.9791798893,2017-11-09 00:03:01,16.6655957422,,,,,,,
2017-11-09 00:13:02,16.9949654932,2017-11-09 00:13:02,16.6789682601,,,,,,,
2017-11-09 00:23:04,17.009544554,2017-11-09 00:23:04,16.6909331445,,,,,,,
2017-11-09 00:33:05,17.0207050765,2017-11-09 00:33:05,16.7007865788,,,,,,,
2017-11-09 00:43:06,17.029854694,2017-11-09 00:43:06,16.7084280176,,,,,,,
2017-11-09 00:53:08,17.038803221,2017-11-09 00:53:08,16.7172759994,,,,,,,
2017-11-09 01:03:09,17.0470479313,2017-11-09 01:03:09,16.7237108952,,,,,,,
2017-11-09 01:13:10,17.0533822819,2017-11-09 01:13:10,16.7294419743,,,,,,,
2017-11-09 01:23:11,17.0608226302,2017-11-09 01:23:11,16.7360779606,,,,,,,
2017-11-09 01:33:13,17.0669558903,2017-11-09 01:33:13,16.7423117659,,,,,,,
2017-11-09 01:43:14,17.0722847884,2017-11-09 01:43:14,16.7470373926,,,,,,,
2017-11-09 01:53:15,17.0771109603,2017-11-09 01:53:15,16.7511597477,,,,,,,
2017-11-09 02:03:16,17.0822387679,2017-11-09 02:03:16,16.7562875553,,,,,,,
2017-11-09 02:13:18,17.0876682113,2017-11-09 02:13:18,16.7613148177,,,,,,,
2017-11-09 02:23:19,17.0907851139,2017-11-09 02:23:19,16.7639289941,,,,,,,
2017-11-09 02:33:20,17.0962145573,2017-11-09 02:33:20,16.7693584375,,,,,,,
2017-11-09 02:43:21,17.1010407292,2017-11-09 02:43:21,16.7735813379,,,,,,,
2017-11-09 02:53:23,17.1044592676,2017-11-09 02:53:23,16.7772009668,,,,,,,
2017-11-09 03:03:24,16.1314829085,2017-11-09 03:03:24,16.7580973698,,,,,,,
2017-11-09 03:13:25,16.0371714665,2017-11-09 03:13:25,16.6773595361,,,,,,,
2017-11-09 03:23:27,16.0113313379,2017-11-09 03:23:27,16.6556417627,,,,,,,
2017-11-09 03:33:29,15.9937359196,2017-11-09 03:33:29,16.6429730615,,,,,,,
2017-11-09 03:43:30,17.0051205632,2017-11-09 03:43:30,16.6876151514,,,,,,,
2017-11-09 03:53:31,17.0559964583,2017-11-09 03:53:31,16.7356757796,,,,,,,
2017-11-09 04:03:33,17.0749995101,2017-11-09 04:03:33,16.7527684717,,,,,,,
2017-11-09 04:13:34,17.0874671208,2017-11-09 04:13:34,16.7636273584,,,,,,,
2017-11-09 04:23:36,17.0960134668,2017-11-09 04:23:36,16.7706655257,,,,,,,
2017-11-09 04:33:37,17.1040570866,2017-11-09 04:33:37,16.7779047835,,,,,,,
2017-11-09 04:43:38,17.10948653,2017-11-09 04:43:38,16.7828315007,,,,,,,
2017-11-09 04:53:40,17.1142121566,2017-11-09 04:53:40,16.7868533106,,,,,,,
2017-11-09 05:03:41,17.1179323307,2017-11-09 05:03:41,16.7905734847,,,,,,,
2017-11-09 05:13:42,17.1222557764,2017-11-09 05:13:42,16.7943942041,,,,,,,
2017-11-09 05:23:44,17.12577486,2017-11-09 05:23:44,16.797209471,,,,,,,
2017-11-09 05:33:46,17.1288917627,2017-11-09 05:33:46,16.8006280094,,,,,,,
2017-11-09 05:43:47,17.1310032129,2017-11-09 05:43:47,16.8031416406,,,,,,,
2017-11-09 05:53:48,17.1344217513,2017-11-09 05:53:48,16.8056552718,,,,,,,
2017-11-09 06:03:50,17.137136473,2017-11-09 06:03:50,16.8088727197,,,,,,,
2017-11-09 06:13:51,17.1392479232,2017-11-09 06:13:51,16.8108836247,,,,,,,
2017-11-09 06:23:53,17.1419626449,2017-11-09 06:23:53,16.8136988916,,,,,,,
2017-11-09 06:33:55,17.1446773665,2017-11-09 06:33:55,16.815910887,,,,,,,
2017-11-09 06:43:56,17.1474926335,2017-11-09 06:43:56,16.8184245182,,,,,,,
2017-11-09 06:53:58,17.1484980859,2017-11-09 06:53:58,16.8194299707,,,,,,,
2017-11-09 07:03:59,17.1515144434,2017-11-09 07:03:59,16.8222452376,,,,,,,
2017-11-09 07:14:00,17.1536258936,2017-11-09 07:14:00,16.8247588688,,,,,,,
2017-11-09 07:24:02,16.1056427799,2017-11-09 07:24:02,16.7465346663,,,,,,,
2017-11-09 07:34:03,16.064620319,2017-11-09 07:34:03,16.7078247461,,,,,,,
2017-11-09 07:44:04,16.0428020003,2017-11-09 07:44:04,16.6895255111,,,,,,,
2017-11-09 07:54:05,16.0279213037,2017-11-09 07:54:05,16.6781638981,,,,,,,
2017-11-09 08:04:07,16.015051512,2017-11-09 08:04:07,16.6674055566,,,,,,,
2017-11-09 08:14:08,16.0056002588,2017-11-09 08:14:08,16.6587586654,,,,,,,
2017-11-09 08:24:09,15.9994669987,2017-11-09 08:24:09,16.6522232243,,,,,,,
2017-11-09 08:34:10,15.9902168359,2017-11-09 08:34:10,16.6468943262,,,,,,,
2017-11-09 08:44:12,15.9862955713,2017-11-09 08:44:12,16.6420681543,,,,,,,
2017-11-09 08:54:13,15.9820726709,2017-11-09 08:54:13,16.6382474349,,,,,,,
2017-11-09 09:04:14,15.9759394108,2017-11-09 09:04:14,16.6336223535,,,,,,,
2017-11-09 09:14:15,15.9715154199,2017-11-09 09:14:15,16.6287961816,,,,,,,
2017-11-09 09:24:17,15.9756377751,2017-11-09 09:24:17,16.6263830957,,,,,,,
2017-11-09 09:34:18,15.9743306868,2017-11-09 09:34:18,16.623668374,,,,,,,
2017-11-09 09:44:19,15.9705099674,2017-11-09 09:44:19,16.6216574691,,,,,,,
2017-11-09 09:54:21,15.96749361,2017-11-09 09:54:21,16.6189427474,,,,,,,
2017-11-09 10:04:22,15.9634718001,2017-11-09 10:04:22,16.616328571,,,,,,,
2017-11-09 10:14:23,15.9632707096,2017-11-09 10:14:23,16.614719847,,,,,,,
2017-11-09 10:24:25,15.9595505355,2017-11-09 10:24:25,16.6119045801,,,,,,,
2017-11-09 10:34:26,15.9448709294,2017-11-09 10:34:26,16.6089887679,,,,,,,
2017-11-09 10:44:28,15.9441671126,2017-11-09 10:44:28,16.6070784082,,,,,,,
2017-11-09 10:54:29,15.9435638411,2017-11-09 10:54:29,16.6056707747,,,,,,,
2017-11-09 11:04:30,15.9400447575,2017-11-09 11:04:30,16.6040620508,,,,,,,
2017-11-09 11:14:32,15.9399442122,2017-11-09 11:14:32,16.6013473291,,,,,,,
2017-11-09 11:24:34,15.937832762,2017-11-09 11:24:34,16.6008446029,,,,,,,
2017-11-09 11:34:35,15.9370284001,2017-11-09 11:34:35,16.5997386051,,,,,,,
2017-11-09 11:44:36,15.9361234928,2017-11-09 11:44:36,16.5980293359,,,,,,,
2017-11-09 11:54:38,15.9320011377,2017-11-09 11:54:38,16.596018431,,,,,,,
2017-11-09 12:04:39,15.9319005924,2017-11-09 12:04:39,16.5959178857,,,,,,,
2017-11-09 12:14:40,15.9285825993,2017-11-09 12:14:40,16.5939069808,,,,,,,
2017-11-09 12:24:42,15.928079873,2017-11-09 12:24:42,16.5928009831,,,,,,,
2017-11-09 12:34:43,15.9290853255,2017-11-09 12:34:43,16.5945102523,,,,,,,
2017-11-09 12:44:44,15.9278787825,2017-11-09 12:44:44,16.5929015283,,,,,,,
2017-11-09 12:54:45,15.9268733301,2017-11-09 12:54:45,16.5916949853,,,,,,,
2017-11-09 13:04:47,15.9282809635,2017-11-09 13:04:47,16.5914938949,,,,,,,
2017-11-09 13:14:48,15.9251640609,2017-11-09 13:14:48,16.5907900781,,,,,,,
2017-11-09 13:24:49,15.9235553369,2017-11-09 13:24:49,16.5903878971,,,,,,,
2017-11-09 13:34:51,15.9231531559,2017-11-09 13:34:51,16.5890808089,,,,,,,
2017-11-09 13:44:52,15.9239575179,2017-11-09 13:44:52,16.5873715397,,,,,,,
2017-11-09 13:54:53,15.9226504297,2017-11-09 13:54:53,16.5876731755,,,,,,,
2017-11-09 14:04:55,15.92074007,2017-11-09 14:04:55,16.5860644515,,,,,,,
2017-11-09 14:14:56,15.9218460677,2017-11-09 14:14:56,16.5860644515,,,,,,,
2017-11-09 14:24:57,15.9196340723,2017-11-09 14:24:57,16.5837519108,,,,,,,
2017-11-09 14:34:59,15.9175226221,2017-11-09 14:34:59,16.5833497298,,,,,,,
2017-11-09 14:45:00,15.9176231673,2017-11-09 14:45:00,16.5821431869,,,,,,,
2017-11-09 14:55:01,15.9167182601,2017-11-09 14:55:01,16.5820426416,,,,,,,
2017-11-09 15:05:02,16.9638970117,2017-11-09 15:05:02,16.6584570296,,,,,,,
2017-11-09 15:15:04,17.0102483708,2017-11-09 15:15:04,16.700887124,,,,,,,
2017-11-09 15:25:05,17.0350830469,2017-11-09 15:25:05,16.7226048975,,,,,,,
2017-11-09 15:35:06,17.0549910059,2017-11-09 15:35:06,16.740300861,,,,,,,
2017-11-09 15:45:07,17.0675591618,2017-11-09 15:45:07,16.7513608382,,,,,,,
2017-11-09 15:55:09,17.080630044,2017-11-09 15:55:09,16.7611137272,,,,,,,
2017-11-09 16:05:10,16.0390818262,2017-11-09 16:05:10,16.6880173324,,,,,,,
2017-11-09 16:15:11,16.005700804,2017-11-09 16:15:11,16.6580548486,,,,,,,
2017-11-09 16:25:13,15.9907195622,2017-11-09 16:25:13,16.6446823307,,,,,,,
2017-11-09 16:35:14,15.9810672184,2017-11-09 16:35:14,16.6370408919,,,,,,,
2017-11-09 16:45:16,15.9734257796,2017-11-09 16:45:16,16.6306059961,,,,,,,
2017-11-09 16:55:17,15.9675941553,2017-11-09 16:55:17,16.6243721908,,,,,,,
2017-11-09 17:05:18,15.9608576237,2017-11-09 17:05:18,16.6204509261,,,,,,,
2017-11-09 17:15:19,15.9575396305,2017-11-09 17:15:19,16.6172334782,,,,,,,
2017-11-09 17:25:20,15.9546238184,2017-11-09 17:25:20,16.6153231185,,,,,,,
2017-11-09 17:35:22,15.9523112777,2017-11-09 17:35:22,16.6134127588,,,,,,,
2017-11-09 17:45:23,15.9474851058,2017-11-09 17:45:23,16.6072794987,,,,,,,
2017-11-09 17:55:24,15.9445692936,2017-11-09 17:55:24,16.6052685938,,,,,,,
2017-11-09 18:05:25,15.9412513005,2017-11-09 18:05:25,16.6031571435,,,,,,,
2017-11-09 18:15:27,15.9381343978,2017-11-09 18:15:27,16.6020511458,,,,,,,
2017-11-09 18:25:28,15.9369278548,2017-11-09 18:25:28,16.5996380599,,,,,,,
2017-11-09 18:35:29,15.9345147689,2017-11-09 18:35:29,16.5979287907,,,,,,,
2017-11-09 18:45:31,15.9339114974,2017-11-09 18:45:31,16.5962195215,,,,,,,
2017-11-09 18:55:32,15.9301913232,2017-11-09 18:55:32,16.595214069,,,,,,,
2017-11-09 19:05:33,15.9299902328,2017-11-09 19:05:33,16.5928009831,,,,,,,
2017-11-09 19:15:35,15.9281804183,2017-11-09 19:15:35,16.5916949853,,,,,,,
2017-11-09 19:25:37,15.9267727848,2017-11-09 19:25:37,16.5911922591,,,,,,,
2017-11-09 19:35:38,15.9255662419,2017-11-09 19:35:38,16.5887791732,,,,,,,
2017-11-09 19:45:39,15.9237564274,2017-11-09 19:45:39,16.5877737207,,,,,,,
2017-11-09 19:55:40,15.921946613,2017-11-09 19:55:40,16.5865671777,,,,,,,
2017-11-09 20:05:42,15.921946613,2017-11-09 20:05:42,16.5845562728,,,,,,,
2017-11-09 20:15:44,15.9193324365,2017-11-09 20:15:44,16.5834502751,,,,,,,
2017-11-09 20:25:45,15.9177237126,2017-11-09 20:25:45,16.5829475488,,,,,,,
