"sell, x; profit, x; change_bal, x","sell, y","buy, x","buy, y","ma1h, x; ma24h, x; close, x; ticker, x","ma1h, y","profit, y","allTimeHigh, x","allTimeHigh, y","ma24h, y","close, y; ticker, y","change_bal, y"
2017-09-15 19:30:00,3640,2017-09-15 19:00:00,3532.6,2016-11-26 16:50:00,730.58,17167.9663792054,2016-11-30 16:20:00,741.39,,731.48,533.264527978
2017-09-15 19:45:00,3642,2017-09-15 19:35:00,3592.9,2016-11-26 16:55:00,730.6216666667,17368.1652876563,2016-11-30 16:30:00,741.99,,731.76,200.1989084509
2017-09-15 23:10:00,3660.9,2017-09-15 20:20:00,3615.9,2016-11-26 17:00:00,730.6841666667,17544.7288668555,2016-11-30 16:50:00,742.25,,732,176.5635791992
2017-09-15 23:30:00,3711.8,2017-09-15 23:15:00,3638.6,2016-11-26 17:05:00,730.9133333333,17884.7674746509,2016-12-01 00:50:00,742.48,,732.34,340.0386077954
2017-09-16 00:50:00,3722.7,2017-09-15 23:55:00,3672,2016-11-26 17:10:00,731.0358333333,18094.8907668202,2016-12-01 00:55:00,743,,731.68,210.1232921693
2017-09-16 01:05:00,3751.3,2017-09-16 00:55:00,3705.4,2016-11-26 17:15:00,731.1133333333,18276.3083229825,2016-12-01 06:55:00,743.53,,730,181.4175561622
2017-09-16 01:20:00,3792.4,2017-09-16 01:10:00,3733,2016-11-26 17:20:00,731.1916666667,18536.227141617,2016-12-01 07:10:00,743.54,,729.93,259.9188186346
2017-09-16 09:10:00,3843.9,2017-09-16 01:40:00,3766.5,2016-11-26 17:25:00,731.2033333333,18901.7170592042,2016-12-01 07:25:00,743.91,,729.92,365.4899175872
2017-10-13 06:30:00,5715,2017-09-16 09:50:00,3824.4,2016-11-26 17:30:00,731.0366666667,29917.0282790382,2016-12-01 07:30:00,744,,729.3,11015.311219834
2017-10-13 07:45:00,5757,2017-10-13 06:55:00,5660.2,2016-11-26 17:35:00,730.6825,30354.6991858196,2016-12-01 07:35:00,746.16,,727.42,437.6709067814
2017-10-13 08:05:00,5809.7,2017-10-13 07:50:00,5720,2016-11-26 17:40:00,730.3958333333,30749.9764794333,2016-12-01 07:40:00,747.82,,727.99,395.2772936137
2017-11-13 17:25:00,6661.9,2017-10-13 08:20:00,5767,2016-11-26 17:45:00,730.1491666667,35929.6933280755,2016-12-01 08:05:00,748.47,,727.97,5179.7168486423
2017-11-29 09:30:00,10870,2017-11-13 17:30:00,6629.5,2016-11-26 17:50:00,729.865,60989.0924472368,2016-12-01 08:10:00,748.98,,728.07,25059.3991191612
2017-11-29 17:55:00,11182,2017-11-29 09:35:00,10416,2016-11-26 17:55:00,729.7175,65465.61497805,2016-12-01 08:50:00,748.99,,729.99,4476.5225308132
2017-12-07 04:05:00,13695,2017-11-29 18:25:00,11134,2016-11-26 18:00:00,729.55,81024.2971104154,2016-12-01 09:00:00,749.77,,729.99,15558.6821323654
2017-12-07 05:05:00,13820,2017-12-07 05:00:00,13550.89344086,2016-11-26 18:05:00,729.3516666667,82360.8102202345,2016-12-01 09:05:00,749.83,,729.96,1336.5131098191
2017-12-07 05:30:00,13947,2017-12-07 05:10:00,13749,2016-11-26 18:10:00,729.07,83250.8387045515,2016-12-01 09:10:00,750.56,,728.3,890.028484317
2017-12-07 09:00:00,14088,2017-12-07 05:40:00,13835,2016-11-26 18:15:00,728.6541666667,84486.4276538763,2016-12-01 09:15:00,750.8,,725.01,1235.5889493248
2017-12-07 12:20:00,14337,2017-12-07 09:15:00,14011,2016-11-26 18:20:00,728.1008333333,86176.8067541142,2016-12-01 13:10:00,751.14,,723.29,1690.3791002379
2017-12-07 14:35:00,14523,2017-12-07 12:40:00,14240,2016-11-26 18:25:00,727.5991666667,87595.9550560028,2016-12-01 13:15:00,751.25,,723.9,1419.1483018885
2017-12-07 17:10:00,14717,2017-12-07 15:10:00,14171,2016-11-26 18:30:00,727.24,90733.0436155519,2016-12-01 13:20:00,751.93,,724.99,3137.0885595491
2017-12-07 18:05:00,14844,2017-12-07 17:35:00,14639,2016-11-26 18:35:00,727.0366666667,91672.3485383858,2016-12-01 13:40:00,751.97,,724.98,939.3049228339
2017-12-07 21:50:00,15481,2017-12-07 21:20:00,14630,2016-11-26 18:40:00,726.7858333333,96814.1726742063,2016-12-01 14:00:00,751.98,,724.98,5141.8241358205
2017-12-07 22:05:00,15651,2017-12-07 21:55:00,15415.25794495,2016-11-26 18:45:00,726.6508333333,97942.9886331891,2016-12-01 14:40:00,752,,726.35,1128.8159589828
2017-12-07 22:45:00,15757,2017-12-07 22:10:00,15569.78003228,2016-11-26 18:50:00,726.4691666667,98753.778208852,2016-12-01 14:45:00,752.15,,725.89,810.7895756628
2017-12-08 01:20:00,15849,2017-12-07 22:55:00,15620,2016-11-26 18:55:00,726.1875,99839.9160169173,2016-12-01 15:25:00,752.71,,726.61,1086.1378080653
2017-12-08 02:05:00,16038,2017-12-08 01:50:00,15785,2016-11-26 19:00:00,725.6925,101078.5019483153,2016-12-01 15:30:00,753.48,,724.05,1238.5859313981
2017-12-11 06:25:00,16059,2017-12-08 07:15:00,15850,2016-11-26 19:05:00,725.2008333333,102035.4789781082,2016-12-01 16:55:00,753.5,,724.06,956.9770297929
2017-12-11 07:00:00,16219,2017-12-11 06:35:00,15987,2016-11-26 19:10:00,725.0658333333,103140.7486575942,2016-12-01 17:00:00,753.97,,726.68,1105.269679486
2017-12-11 07:50:00,16259,2017-12-11 07:45:00,15950,2016-11-26 19:15:00,725.0783333333,104774.6538448789,2016-12-01 17:40:00,754,,725.16,1633.9051872847
2017-12-11 08:00:00,16420,2017-12-11 07:55:00,16165,2016-11-26 19:20:00,725.2375,106044.9696149687,2016-12-01 19:20:00,754.98,,725.2,1270.3157700898
2017-12-11 10:45:00,16590,2017-12-11 08:05:00,16315,2016-11-26 19:25:00,725.1225,107448.2594937948,2016-12-01 21:15:00,754.99,,722.52,1403.2898788262
