"Adults, lat","Adults, lon","Adults, Larvae, lat","Adults, Larvae, lon","Larvae, lat","Larvae, lon","Unknown, lat","Unknown, lon"
5.115,-1.416,13.5937,2.1102,-13.892,17.295,14.599,-16.517
10.82,7.7,13.521,2.09,-13.072,16.742,7.5208,-5.4833
5.0734,-1.4009,-15.983,30.549,4.0636,9.7478,7.5958,-5.5542
5.2832,-0.8171,-15.85,30.566,4.078,9.672,7.666,-5.568
5.4333,-0.6333,-17.3081,37.5146,-17.5304,31.4789,7.6833,-4.8333
5.33,-0.83,-16.282,35.45,-17.9056,20.6592,6.602,38.423
-16.0809,35.5761,9.734,8.784,-17.1357,31.8528,6.966,35.764
5.3667,-0.6667,9.75,8.882,3.861,9.6257,7.8167,-5.3167
5.4143,-0.605,9.789,8.864,-8.049,36.726,9.15,39.0238
11.11,7.73,9.851,8.683,-16.8193,30.6862,7.8458,-5.4042
7.0881,-2.3437,9.7,8.95,4.0933,9.7565,7.4178,36.3758
7.1528,-2.0473,-17.978,35.71,-17.6225,27.3416,8.6667,-5.2833
7.1942,-2.0759,-17.328,35.589,14.9173,-23.5087,7.4,-5.3
-16.1276,35.2926,-17.4998,37.0266,11.2935,2.399,7.4833,-5.3667
8.247,-1.607,-17.5904,36.8285,-8.8045,13.2649,7.325,-5.35
7.983,-1.7979,,,9.9833,2.7167,8.2665,37.8522
-16.0515,35.1655,7.19,3.76,10.4667,2.65,7.3333,-5.3333
8.0767,-1.8257,7.4396,3.9956,7.3892,2.263,6.333,36.715
7.918,-1.799,-17.509,24.265,7.5576,1.6977,7.9,-2.9833
-15.94,35.188,-25.9381,32.5415,7.351,2.049,-26.0038,31.8068
8.009,-1.5736,-25.121,17.768,7.2667,2.4,6.2839,36.8116
7.101,-2.352,-25.9262,32.5472,7.1461,2.0831,6.317,35.633
7.07,-2.318,-25.9658,32.5778,7.0448,2.1843,9.1833,38.3333
6.8634,-2.4479,-25.8667,32.5,-20.1027,26.2667,-12.366,33.183
7.067,-2.65,-25.166,32.833,-21.6069,28.1823,7.5335,36.0631
6.9704,-2.3762,-26.3231,32.627,-21.6456,28.3374,6.3559,2.3953
6.9927,-2.5367,-26.216,32.8702,-22.5667,28.4696,,
8.1505,-0.7086,-26.3678,32.6557,6.8,2.1667,,
7.218,-1.933,-26.416,32.866,6.5102,2.0469,,
-16.07,35.149,-26.3253,32.5253,-20.206,25.259,,
-15.801,35.645,-26.2167,32.9167,6.7219,2.5961,,
7.083,-2.168,-26.533,32.55,10.1167,2.55,,
7.086,-2.031,-26.4883,32.5747,9.85,2.7167,,
7.083,-2.167,-26.1286,32.6547,6.8228,2.6105,,
7.2578,-2.2046,-26.8323,32.3558,6.8547,2.575,,
7.266,-2.136,-26.733,32.816,6.7089,2.6044,,
7.284,-2.25,-25.2858,32.5115,6.856,2.5666,,
7.8312,-1.7943,-25.15,32.066,6.851,2.631,,
7.3955,-2.1855,-26.283,32.182,6.6503,2.6124,,
8.2288,-1.8447,-26.3,32.3489,8.6,1.6833,,
8.051,-1.901,-25.9475,32.5424,8.2945,1.96,,
8.1224,-1.5614,13.5331,2.1108,6.8065,2.6408,,
8.1165,-1.5572,8.1631,3.6721,8.9,2.6,,
8.2212,-1.8067,-18.0833,21.75,6.8304,2.6175,,
7.969,-1.735,17.716,8.281,6.829,2.6027,,
7.155,-2.408,17.6127,8.9342,9.35,2.6168,,
13.416,-14.034,17.4175,6.6444,9.4,2.591,,
13.384,-13.934,6.93,3.73,-13.0071,28.6305,,
13.4,-13.88,13.6987,13.3095,-18.0103,24.4061,,
13.601,-15.117,13.316,12.616,7.78,2.18,,
13.661,-15.057,14.252,13.118,-22.2764,20.0928,,
13.6749,-15.0893,13.4348,2.9205,-22.3892,20.1216,,
13.5901,-15.1324,14.116,3.895,2.6022,32.1692,,
13.65,-15.32,6.96,3.72,2.5605,31.9003,,
13.651,-15.316,14.5106,6.765,-20.201,23.248,,
13.6,-15.167,13.489,7.099,2.694,32.0254,,
13.6416,-15.3124,13.748,7.99,2.4959,31.9205,,
-25.4294,31.9631,6.94,3.92,3.0883,32.1583,,
13.668,-15.367,6.535,2.848,2.5633,31.6839,,
-25.4397,31.6811,13.5318,2.118,3.1734,32.1622,,
13.5381,-14.7665,13.5101,2.1081,3.0183,32.1943,,
13.55,-14.935,16.992,7.979,3.2625,32.36,,
13.5667,-14.9167,7.9683,3.5979,2.8553,31.7695,,
13.7011,-15.3333,15.617,7.867,2.8436,32.0697,,
13.5011,-14.8823,18.6853,12.9164,2.7704,32.2098,,
13.617,-15.067,8.168,3.665,2.8169,32.0182,,
13.551,-15.251,7.4741,3.763,2.8105,32.1403,,
13.4132,-15.3969,7.518,3.784,2.5371,31.8851,,
13.3911,-15.3901,7.71,3.56,2.6036,32.1773,,
13.4048,-15.3877,-17.925,19.753,2.5291,31.8398,,
13.8191,-15.0612,-18.06,13.824,-24.45,26.016,,
-25.6861,31.8007,7.5486,3.444,-24.1855,26.8562,,
13.59,-14.7667,7.5431,3.4537,1.5264,31.3211,,
13.6231,-15.0243,-17.436,15.86,2.7362,32.3677,,
-25.5691,31.798,7.4176,3.9421,2.5762,32.3547,,
13.72,-15.1,-22.408,19.497,2.606,32.472,,
-25.4243,31.9588,-17.5094,14.9885,2.6852,32.7212,,
-25.6998,31.5501,7.2,5.015,2.644,32.5097,,
13.55,-15.3,-17.782,15.695,2.7002,32.3097,,
13.55,-15.28,19.0625,8.42,2.5315,32.4108,,
13.6085,-15.25,7.21,5.38,2.7504,32.1999,,
-25.4424,31.9626,18.1122,8.7761,2.6907,32.6539,,
13.4887,-15.2676,21.0152,12.3043,2.5497,31.8197,,
13.45,-14.67,13.7828,9.0035,2.5693,31.7705,,
13.549,-14.916,-8.473,13.362,2.5605,31.6405,,
-25.7465,31.8144,12.27,6.56,-21.534,21.933,,
-0.635,10.381,-9.555,33.944,2.8169,32.1833,,
-0.7004,10.2375,-8.9662,32.3108,-13.3327,28.772,,
-1.6099,14.3657,-8.141,36.681,7.6775,2.2248,,
-1.637,13.5697,-8.0677,37.1259,6.372,2.4423,,
-1.3593,13.4636,-8.1167,36.65,6.6446,2.7292,,
-0.95,10.449,-8.199,36.299,6.6851,2.7527,,
-25.6906,31.736,-8.233,36.166,6.356,2.436,,
-1.8299,13.0205,-6.2536,37.549,6.5645,2.6969,,
-1.8294,13.0206,-6.3,37.45,6.5964,2.6946,,
0.416,9.4565,-8.3854,36.6702,6.5694,2.733,,
0.4207,9.4311,-10.9167,38.6667,6.35,2.3833,,
0.4422,9.4272,-2.865,32.165,6.3708,2.4541,,
0.3861,9.5066,-2.5908,33.4462,6.5604,2.7165,,
-1.607,13.605,-6.4533,38.8974,6.7006,2.6855,,
13.4468,-14.6693,-7.9511,31.6154,7.3572,2.5969,,
-1.382,11.5412,-10.6667,36.0,7.3955,2.6706,,
-1.844,12.686,-2.75,34.5,7.3485,2.601,,
13.48,-14.82,-1.3333,34.1667,6.6135,2.6703,,
13.55,-14.9,-3.826,32.587,6.668,2.7198,,
13.534,-14.951,-1.6039,33.9484,6.5419,2.715,,
13.566,-14.964,-10.0667,38.9333,6.5302,2.7134,,
13.499,-14.835,-6.8365,39.2389,2.642,32.7185,,
13.533,-14.933,-6.8108,39.2596,6.49,2.66,,
-0.384,11.766,-6.7637,39.2453,6.5195,2.5613,,
13.4993,-14.9254,-6.8788,39.2456,0.7563,34.1156,,
-1.9,10.15,-6.8581,39.269,0.7073,34.1464,,
-0.7158,8.7603,-6.349,35.85,0.6432,34.2605,,
-0.8087,12.7632,-6.176,35.735,6.3752,2.4753,,
-0.8665,12.774,-7.564,34.8816,0.761,34.196,,
-0.794,12.7726,-1.8397,31.6544,0.618,34.129,,
-25.9333,31.8333,-2.5122,30.6558,6.368,2.523,,
13.5356,-14.8405,-4.584,30.099,6.6158,2.7213,,
-25.6599,31.9559,-5.2,30.194,6.7107,2.7715,,
13.4903,-15.2406,-3.4309,37.271,6.6594,2.7253,,
13.4532,-15.2233,-3.4374,37.2968,6.7302,2.7723,,
13.3333,-10.5,-3.3504,37.1581,0.2646,32.6328,,
13.5558,-15.6211,-3.3667,37.3167,7.3386,2.5888,,
13.5684,-15.5457,-3.37,37.3387,6.8461,2.6081,,
13.5744,-15.5417,-4.2167,35.75,7.2625,2.541,,
13.5773,-15.5552,-5.7435,34.8314,7.3693,2.6102,,
13.5188,-15.633,-4.8174,34.7435,7.0328,2.6467,,
13.5335,-15.4104,-4.9167,32.8333,7.1947,2.6668,,
13.583,-15.417,9.75,1.099,9.0,1.6667,,
13.5381,-15.5222,9.983,1.266,6.9781,2.6483,,
13.5704,-15.5766,9.765,1.113,7.0535,2.642,,
13.5385,-15.6346,9.9,1.081,6.8501,2.5898,,
13.5821,-15.5538,9.533,1.05,7.1527,2.6529,,
13.5561,-15.6013,9.717,1.183,8.028,2.489,,
13.5,-15.751,9.547,1.193,8.2833,2.65,,
13.5224,-15.6263,9.517,1.283,7.8923,2.6379,,
13.5515,-15.3874,9.633,1.25,7.8231,1.6622,,
13.5839,-15.7229,9.666,1.183,8.011,2.295,,
13.58,-15.72,6.4967,1.7134,7.9667,2.2333,,
13.2876,-14.1534,6.466,1.733,8.2167,2.2,,
13.299,-14.167,6.266,1.683,-12.3738,27.8322,,
-27.0833,32.55,6.3437,1.7125,6.9659,2.6987,,
13.3058,-14.1948,6.416,1.666,7.1018,2.6864,,
-27.032,32.416,6.401,1.766,7.0171,2.6917,,
-27.3074,32.3271,6.3,1.749,3.5922,32.7074,,
-28.734,32.084,9.884,1.316,3.31,32.89,,
13.4,-14.084,9.549,1.3,7.3693,2.6102,,
13.3,-14.2,9.7525,1.3278,3.24,32.9,,
13.3272,-14.1948,9.65,1.316,7.3501,2.5667,,
13.352,-14.534,-5.4333,38.0167,7.2759,2.5663,,
-28.7505,32.0449,-5.1327,38.3952,-14.0509,27.355,,
13.32,-14.22,-5.0888,38.4722,7.3743,2.6091,,
-28.783,32.1,-5.1024,38.4755,7.2921,2.5744,,
13.318,-14.234,-4.6667,38.3333,7.3327,2.5895,,
13.5461,-15.6189,-5.0986,38.6316,7.3757,2.5969,,
-28.1013,32.4518,-4.967,39.132,7.3701,2.5971,,
-26.9542,32.8232,-5.166,38.783,6.9782,2.6483,,
13.422,-16.152,-6.8274,39.2703,6.9655,2.6985,,
13.4,-15.618,-5.2193,38.6585,7.0899,2.6352,,
13.417,-15.619,-5.05,39.05,7.2627,2.5409,,
13.3624,-15.7731,-5.066,39.051,5.516,14.116,,
13.3559,-15.761,-5.0549,39.0569,2.823,32.1013,,
13.3936,-15.7984,-5.083,39.1,2.9122,32.071,,
13.3315,-16.0096,8.95,1.417,11.3878,-4.4081,,
-25.249,31.938,8.95,1.167,-16.3,12.45,,
13.483,-15.517,8.986,1.146,11.234,-4.167,,
-24.7333,30.55,8.866,1.083,11.1245,-4.3488,,
13.3986,-15.2692,-5.367,38.817,-14.117,13.243,,
,,-6.818,39.279,12.366,-1.951,,
-25.4167,31.104,-3.464,35.919,-15.3475,26.8811,,
13.518,-15.235,-3.2923,36.825,-9.2637,16.9249,,
13.3602,-15.5921,15.6555,32.4705,-9.5,16.649,,
13.412,-16.034,15.6397,32.3753,-9.579,16.501,,
13.5841,-15.8536,19.6291,30.416,-4.9622,39.6974,,
13.55,-15.9167,19.55,30.432,-10.671,17.376,,
-28.883,31.733,19.169,30.474,-5.1467,39.8155,,
13.5645,-15.6211,18.5698,31.8487,-5.283,39.7851,,
13.5691,-15.5572,18.4836,31.827,-5.0088,39.7709,,
-27.4833,31.2832,18.5549,31.8816,11.1799,-4.2907,,
12.688,10.258,18.6603,32.0421,6.1698,1.3259,,
13.5709,-15.5597,19.667,30.416,12.479,1.522,,
13.4773,-15.3413,20.8204,30.4433,12.3941,-1.5793,,
-24.7386,31.5758,21.0333,30.55,12.054,-0.357,,
-25.235,31.873,20.8186,30.3515,11.3076,2.4509,,
-25.2333,31.9667,19.9167,30.3833,11.2972,2.4741,,
13.51,-16.07,19.934,30.467,12.055,-2.221,,
13.493,-16.096,19.6729,30.4013,12.2167,-2.45,,
13.5835,-15.8868,19.7986,30.321,12.3167,-2.4667,,
13.484,-15.967,15.6562,32.4871,11.169,-1.136,,
13.5828,-15.8634,15.6615,32.4643,11.583,-1.201,,
5.7,-1.6,15.4,32.45,11.2985,2.4386,,
0.4564,9.4207,15.333,32.466,12.0548,0.3609,,
6.15,-2.15,15.5889,32.5126,-16.0333,12.8667,,
5.8582,-1.6792,15.5947,32.5288,11.4167,0.9167,,
4.9472,-2.3781,15.7782,32.6131,-15.6705,12.7619,,
4.9561,-2.3781,15.9624,32.5812,12.0768,1.796,,
5.1496,-1.4967,15.6309,32.5345,-5.302,39.799,,
4.8239,-1.9204,15.6379,32.5161,12.4161,-1.4915,,
8.4916,8.5166,15.6527,32.5353,-9.7838,16.6557,,
4.816,-2.173,15.6484,32.6314,-10.941,19.1581,,
5.1681,-2.2147,19.7,30.383,3.8799,11.5062,,
4.7682,-1.9697,15.6554,32.6487,3.8725,11.5011,,
8.2599,0.5217,15.623,32.5514,3.8119,11.5223,,
8.582,0.384,15.6628,32.5286,3.8724,11.5027,,
8.2667,0.5167,15.6205,32.5057,-5.0,38.0,,
-11.147,34.212,15.599,32.478,3.8484,11.5142,,
6.865,0.234,15.3872,32.449,3.8747,11.5004,,
6.103,1.1548,15.6164,32.4626,3.8566,11.5202,,
6.0587,0.6016,15.3676,32.426,-8.8193,13.3007,,
6.0117,1.0522,15.5667,32.45,1.9833,15.7167,,
8.2869,-13.1816,15.9621,32.5811,4.1178,13.9966,,
5.2364,-2.2858,6.316,1.649,4.1189,14.1418,,
5.4814,-2.1361,19.7118,30.3992,-8.8804,13.1965,,
5.4211,-2.0083,14.1333,25.55,4.1123,14.0615,,
5.5165,-1.867,13.756,33.4765,3.8704,11.5244,,
8.492,-13.2888,13.571,33.5459,3.8711,11.5081,,
5.4481,-2.1125,13.7141,34.2841,3.8549,11.4814,,
8.4905,-13.2823,13.7063,33.4964,3.8881,11.5307,,
4.9283,-2.325,13.1667,33.9167,3.8608,11.3939,,
5.8269,-2.48,12.1278,22.6033,3.8622,11.4025,,
8.4309,-13.2814,12.3826,23.136,3.8506,11.3717,,
8.4226,-13.2673,14.0,32.3167,4.749,11.233,,
8.4861,-13.2422,13.704,32.218,-5.8823,39.2514,,
8.482,-13.205,13.26,32.74,-6.0255,39.2141,,
8.4749,-13.1829,13.0601,33.0373,-6.233,39.35,,
4.901,-1.763,13.1419,32.6245,-7.9,21.367,,
5.6075,-2.0811,13.1833,32.6497,-6.1144,39.3006,,
8.4272,-13.2644,13.1748,32.659,-9.0,13.2667,,
7.6833,0.45,13.1711,32.6671,-6.1659,39.2247,,
7.3744,0.5316,,,3.79,11.42,,
10.9333,-2.1333,-26.8714,31.9881,3.701,11.449,,
10.9333,-2.3333,13.5717,33.5335,-6.0904,39.2246,,
10.95,-2.4167,13.8782,33.444,3.8438,11.5348,,
10.767,-2.434,13.418,33.66,-8.6667,16.0,,
10.888,-2.1113,13.6659,33.4792,2.951,32.1408,,
10.4,-2.7167,15.4833,32.2005,11.2867,3.0213,,
10.8744,-2.1594,13.0457,30.1775,11.05,2.733,,
10.4667,-2.5333,12.8985,35.1292,0.7743,30.0702,,
10.3667,-2.7,13.516,33.6889,-20.7265,27.5852,,
10.3414,-2.3877,13.33,33.3655,10.6654,1.3492,,
10.1839,-2.5929,13.7452,33.4642,10.463,1.17,,
10.4867,-2.5942,13.7932,33.4811,0.8333,30.1667,,
10.3875,-2.5605,13.7422,33.4844,10.5821,1.3296,,
10.3739,-2.6739,13.4821,25.2987,-21.3804,27.4481,,
10.1833,-2.4833,13.5333,33.6,10.1919,1.9565,,
7.1833,0.3333,13.739,33.4831,10.4124,2.01,,
10.95,-2.283,13.8248,33.4581,10.252,2.048,,
10.8667,-2.3833,13.7597,33.4626,11.6167,-2.75,,
8.5324,8.6858,13.5873,33.5585,10.3916,1.5729,,
7.2103,0.4745,13.8232,33.4954,10.333,1.384,,
8.83,7.86,13.3203,33.3655,12.1,-4.567,,
7.1098,0.451,13.6262,33.4615,10.163,2.194,,
7.028,0.512,13.6153,33.483,-20.839,27.2218,,
6.6962,0.4826,13.6009,33.5419,-21.1567,27.4956,,
10.9333,-2.1667,15.5348,32.5376,0.8351,30.1614,,
6.549,0.6958,6.534,1.649,3.4803,32.0701,,
10.05,-2.6,6.3167,1.7333,2.7767,32.2218,,
10.85,-2.4,-15.0735,29.6137,3.2649,32.1248,,
10.8789,-2.0611,-15.8889,29.0443,2.9705,32.0834,,
10.886,-2.051,-15.7841,28.1875,2.9081,32.4797,,
10.9293,-2.2195,-15.2008,30.1904,3.1108,32.3631,,
10.85,-2.05,-15.618,30.409,2.8955,32.4508,,
8.374,8.33,-15.1145,30.2065,2.9142,32.2982,,
10.3833,-2.6,-15.3498,28.3188,3.0432,32.3491,,
5.4722,-2.2075,-15.4063,28.3645,2.8205,32.2795,,
5.3,-1.9922,,,2.9686,32.4,,
12.162,-14.697,,,-20.0363,23.3749,,
12.052,-14.9,,,-19.9504,23.4704,,
12.032,-14.868,-10.2569,33.0092,0.8348,30.1614,,
9.8539,-11.3222,-10.108,30.918,-20.899,27.296,,
8.55,-8.9667,-10.0172,31.6193,10.242,1.454,,
7.7248,-8.4063,-12.4341,26.3327,12.15,-1.383,,
12.336,-14.9142,-16.4976,27.6069,10.7659,1.0147,,
8.4201,-8.663,-15.856,27.748,0.822,30.162,,
11.201,-12.535,,,12.65,-3.834,,
11.334,-12.951,-15.8812,27.5839,12.668,-3.834,,
9.2,-10.938,-15.4336,28.7987,12.667,-3.734,,
8.694,-13.173,-15.2895,28.5138,13.1,-3.435,,
11.4,-12.2667,-9.7915,29.0791,10.0489,1.7583,,
11.4332,-12.1222,-10.9643,28.8952,6.8572,1.182,,
8.6609,-8.3912,,,12.85,-3.734,,
-12.061,34.737,,,12.3824,-1.5493,,
11.833,-15.768,,,12.3225,-1.4533,,
8.734,8.5341,,,12.3276,-1.555,,
-9.9553,33.9374,,,6.3374,1.1113,,
11.1385,-16.0433,-10.4458,28.6541,12.353,-1.5564,,
11.2472,-15.7234,-10.3133,28.6765,11.15,3.5333,,
9.881,4.518,-10.5246,28.6533,11.2667,3.5833,,
11.95,-15.651,-9.35,28.733,7.6489,0.9333,,
11.9307,-15.6447,-11.3717,29.5484,12.65,-3.766,,
11.8,-15.751,,,12.772,-3.81,,
11.884,-15.651,,,12.667,-3.95,,
11.8899,-15.6653,-11.3277,30.0327,0.807,30.1199,,
11.886,-15.863,,,10.6909,1.1082,,
11.7858,-15.7794,-15.3833,28.6959,10.8746,0.9547,,
11.7777,-15.7905,-15.406,28.718,12.619,-3.908,,
11.8499,-15.6847,-15.7776,27.9195,12.717,-3.766,,
11.8222,-15.6776,-14.7882,24.7976,12.75,-3.773,,
11.9,-15.651,-16.1146,23.2954,10.362,1.635,,
8.4967,-13.2881,-17.0721,31.9489,12.684,-3.984,,
8.117,-11.567,-16.0501,28.8794,12.583,-3.968,,
9.264,-9.015,-16.5218,28.8509,12.567,-3.783,,
7.5565,-11.6918,-17.28,30.23,12.684,-3.784,,
7.318,-11.85,-20.3394,32.0278,12.704,-4.004,,
7.355,-11.704,-22.3361,31.279,12.668,-3.784,,
8.4933,-13.2899,-21.2859,32.3766,10.7724,1.8238,,
8.4585,-13.2751,-17.6247,27.342,12.846,-3.663,,
10.939,-14.297,-18.0136,27.1358,10.9369,1.0624,,
7.4086,-11.7242,-18.3559,26.502,-12.716,45.116,,
,,-17.9283,25.8378,4.8897,31.5751,,
,,-18.3541,26.501,-8.09,36.715,,
,,-18.7184,27.5563,-0.0765,34.6761,,
,,-21.8271,30.4384,-0.6629,34.8548,,
,,-17.6666,28.3167,-0.5989,34.8465,,
,,-18.2167,28.9338,-0.2941,35.0364,,
,,-17.9,28.7,15.611,-16.247,,
,,-16.7519,32.2718,-0.1753,35.0329,,
8.1,-11.45,-17.2201,31.9329,-0.3265,34.8968,,
7.383,-11.201,-17.2848,31.9252,-0.0787,35.0012,,
8.083,-11.517,-16.7274,32.9209,-0.1886,34.9279,,
7.984,-11.567,-4.947,39.747,15.55,-15.551,,
