"distplot; distplot (2), x","distplot (1), x","distplot (1), y","distplot (2), y"
-1.1852860705,-2.7577030758,0.0148215797,distplot
-0.3346727468,-2.7450927898,0.0151969332,distplot
0.2316210271,-2.7324825038,0.0155818686,distplot
0.533312855,-2.7198722178,0.0159771913,distplot
0.1718273934,-2.7072619318,0.0163837194,distplot
0.7402447826,-2.6946516459,0.0168022721,distplot
-0.1325635184,-2.6820413599,0.0172336592,distplot
1.0269188065,-2.6694310739,0.0176786695,distplot
0.248921873,-2.6568207879,0.0181380595,distplot
-0.7033003535,-2.6442105019,0.0186125433,distplot
0.0402689193,-2.6316002159,0.0191027815,distplot
0.0696535172,-2.61898993,0.0196093727,distplot
1.6740506345,-2.606379644,0.0201328442,distplot
-0.5282588208,-2.593769358,0.0206736453,distplot
1.0246736665,-2.581159072,0.0212321409,distplot
-0.8987133708,-2.568548786,0.0218086068,distplot
-0.5726342938,-2.5559385,0.0224032264,distplot
1.4892759119,-2.5433282141,0.0230160893,distplot
0.5974222686,-2.5307179281,0.0236471908,distplot
0.4179094274,-2.5181076421,0.0242964335,distplot
-0.641232624,-2.5054973561,0.0249636303,distplot
0.9113021911,-2.4928870701,0.0256485087,distplot
0.7380760642,-2.4802767841,0.0263507166,distplot
-0.3481616504,-2.4676664982,0.0270698293,distplot
1.6885376002,-2.4550562122,0.0278053578,distplot
2.3724463952,-2.4424459262,0.028556758,distplot
0.7862675505,-2.4298356402,0.0293234403,distplot
-0.4609806559,-2.4172253542,0.0301047802,distplot
-0.924896939,-2.4046150682,0.0309001293,distplot
-0.0968425846,-2.3920047823,0.0317088267,distplot
-0.5947830221,-2.3793944963,0.0325302092,distplot
0.7735537558,-2.3667842103,0.0333636234,distplot
-0.6488155643,-2.3541739243,0.0342084354,distplot
-1.6697001963,-2.3415636383,0.0350640416,distplot
-0.9613857122,-2.3289533523,0.0359298776,distplot
1.2551945668,-2.3163430663,0.0368054274,distplot
1.19324242,-2.3037327804,0.0376902307,distplot
-0.9460062881,-2.2911224944,0.0385838903,distplot
0.348433569,-2.2785122084,0.0394860775,distplot
-0.064265562,-2.2659019224,0.0403965373,distplot
2.0374392893,-2.2532916364,0.0413150919,distplot
-1.9503109211,-2.2406813504,0.0422416436,distplot
0.2627759017,-2.2280710645,0.0431761763,distplot
0.5285195355,-2.2154607785,0.0441187567,distplot
1.9821493641,-2.2028504925,0.0450695337,distplot
1.0073846335,-2.1902402065,0.0460287374,distplot
-0.2871912809,-2.1776299205,0.0469966779,distplot
-1.7998522682,-2.1650196345,0.0479737423,distplot
0.5941714368,-2.1524093486,0.0489603919,distplot
-0.5242313054,-2.1397990626,0.0499571587,distplot
0.670063186,-2.1271887766,0.0509646418,distplot
-0.8849071871,-2.1145784906,0.0519835022,distplot
-0.1759362006,-2.1019682046,0.0530144593,distplot
-1.0188808714,-2.0893579186,0.0540582852,distplot
0.137752287,-2.0767476327,0.0551158,distplot
0.211895352,-2.0641373467,0.0561878667,distplot
-0.0198255383,-2.0515270607,0.0572753854,distplot
-0.2655920663,-2.0389167747,0.058379288,distplot
0.9476050164,-2.0263064887,0.0595005326,distplot
0.5566601699,-2.0136962027,0.0606400971,distplot
0.316318253,-2.0010859168,0.0617989736,distplot
-1.1111869931,-1.9884756308,0.0629781621,distplot
-1.0295513256,-1.9758653448,0.0641786632,distplot
-0.5205496533,-1.9632550588,0.0654014723,distplot
0.9437530136,-1.9506447728,0.0666475718,distplot
0.4745261031,-1.9380344868,0.067917924,distplot
-0.6753482916,-1.9254242009,0.0692134634,distplot
-1.9443099899,-1.9128139149,0.0705350888,distplot
-0.5843252008,-1.9002036289,0.0718836555,distplot
-0.3297855907,-1.8875933429,0.0732599663,distplot
0.9917480207,-1.8749830569,0.0746647642,distplot
0.0293721203,-1.8623727709,0.0760987232,distplot
-0.3223856324,-1.849762485,0.0775624404,distplot
0.6688922883,-1.837152199,0.0790564283,distplot
-0.3611408267,-1.824541913,0.0805811066,distplot
-0.5660648276,-1.811931627,0.0821367961,distplot
0.5046428148,-1.799321341,0.0837237115,distplot
0.2856950193,-1.786711055,0.0853419564,distplot
-0.9931982652,-1.7741007691,0.0869915194,distplot
0.93762368,-1.7614904831,0.0886722704,distplot
0.8194990429,-1.7488801971,0.0903839594,distplot
2.4031692229,-1.7362699111,0.0921262164,distplot
0.687353106,-1.7236596251,0.0938985532,distplot
-0.803202915,-1.7110493391,0.0957003669,distplot
1.0946596871,-1.6984390532,0.0975309458,distplot
-0.3893026051,-1.6858287672,0.0993894762,distplot
0.0554101054,-1.6732184812,0.101275053,distplot
-0.7505644376,-1.6606081952,0.1031866904,distplot
2.0600270022,-1.6479979092,0.105123336,distplot
0.9267663507,-1.6353876232,0.107083886,distplot
0.2670285901,-1.6227773372,0.1090672022,distplot
-2.0882809233,-1.6101670513,0.1110721306,distplot
-0.3598770756,-1.5975567653,0.1130975215,distplot
0.5273141563,-1.5849464793,0.1151422497,distplot
-0.5148375348,-1.5723361933,0.1172052364,distplot
1.0396524891,-1.5597259073,0.1192854708,distplot
0.2617718566,-1.5471156213,0.1213820318,distplot
-2.2520197853,-1.5345053354,0.123494109,distplot
0.6126825318,-1.5218950494,0.1256210231,distplot
1.041797059,-1.5092847634,0.1277622453,distplot
1.3860866713,-1.4966744774,0.1299174141,distplot
1.6765593173,-1.4840641914,0.1320863512,distplot
-0.4377802282,-1.4714539054,0.1342690741,distplot
0.1625625435,-1.4588436195,0.1364658064,distplot
-0.0507176449,-1.4462333335,0.138676985,distplot
1.301496241,-1.4336230475,0.1409032642,distplot
0.6522843478,-1.4210127615,0.1431455161,distplot
1.3164476138,-1.4084024755,0.145404828,distplot
-0.3120452772,-1.3957921895,0.1476824952,distplot
-2.3091007804,-1.3831819036,0.1499800116,distplot
0.0290167826,-1.3705716176,0.1522990557,distplot
1.1584937472,-1.3579613316,0.1546414742,distplot
0.1648771781,-1.3453510456,0.1570092613,distplot
0.7714549963,-1.3327407596,0.1594045367,distplot
0.4890615888,-1.3201304736,0.1618295201,distplot
-0.6321729327,-1.3075201877,0.1642865036,distplot
-0.5843738087,-1.2949099017,0.166777823,distplot
0.3216838213,-1.2822996157,0.1693058276,distplot
-0.7653578426,-1.2696893297,0.1718728492,distplot
-0.8022250094,-1.2570790437,0.1744811709,distplot
-0.8750859298,-1.2444687577,0.1771329966,distplot
1.2337017242,-1.2318584718,0.1798304205,distplot
1.24934216,-1.2192481858,0.1825753982,distplot
0.5975242169,-1.2066378998,0.18536972,distplot
0.5668919148,-1.1940276138,0.1882149848,distplot
-0.4167248837,-1.1814173278,0.1911125781,distplot
-1.2788117268,-1.1688070418,0.1940636514,distplot
-0.3021341829,-1.1561967559,0.1970691049,distplot
1.1879171597,-1.1435864699,0.2001295733,distplot
-1.8473866012,-1.1309761839,0.2032454148,distplot
0.4741920174,-1.1183658979,0.2064167032,distplot
-0.7792823713,-1.1057556119,0.2096432229,distplot
-0.1881078473,-1.0931453259,0.2129244675,distplot
2.6261081331,-1.08053504,0.2162596405,distplot
-0.7587671158,-1.067924754,0.2196476596,distplot
-0.2599509436,-1.055314468,0.2230871627,distplot
1.7689245471,-1.042704182,0.2265765162,distplot
0.5321467948,-1.030093896,0.2301138255,distplot
-0.5321323474,-1.01748361,0.2336969465,distplot
0.2268974817,-1.0048733241,0.2373234987,distplot
1.9890413894,-0.9922630381,0.2409908784,distplot
0.1219258519,-0.9796527521,0.2446962734,distplot
-1.4931717385,-0.9670424661,0.2484366772,distplot
0.626105962,-0.9544321801,0.2522089026,distplot
0.2586650002,-0.9418218941,0.2560095967,distplot
0.4481157107,-0.9292116081,0.2598352527,distplot
0.3715653136,-0.9166013222,0.2636822236,distplot
-2.4236303795,-0.9039910362,0.2675467329,distplot
-0.9702799667,-0.8913807502,0.2714248852,distplot
1.2115328441,-0.8787704642,0.275312676,distplot
-0.2406381666,-0.8661601782,0.2792059996,distplot
-0.9834297297,-0.8535498922,0.2831006566,distplot
0.6617984735,-0.8409396063,0.2869923604,distplot
-0.3246742408,-0.8283293203,0.2908767423,distplot
0.4395534188,-0.8157190343,0.2947493564,distplot
-0.5511386281,-0.8031087483,0.2986056838,distplot
0.4301971577,-0.7904984623,0.302441136,distplot
-0.4311813974,-0.7778881763,0.3062510589,distplot
-0.1357622607,-0.7652778904,0.3100307355,distplot
-0.8756707611,-0.7526676044,0.3137753902,distplot
0.6000587824,-0.7400573184,0.3174801921,distplot
2.3840056696,-0.7274470324,0.3211402593,distplot
0.6562548467,-0.7148367464,0.3247506644,distplot
-0.352449014,-0.7022264604,0.3283064399,distplot
-0.3368713178,-0.6896161745,0.3318025851,distplot
-0.5647798444,-0.6770058885,0.3352340737,distplot
-0.1059592584,-0.6643956025,0.3385958631,distplot
-0.9297139441,-0.6517853165,0.3418829047,distplot
0.8384988737,-0.6391750305,0.3450901548,distplot
1.4176615486,-0.6265647445,0.3482125883,distplot
0.1398804809,-0.6139544586,0.3512452126,distplot
-1.1896225347,-0.6013441726,0.3541830836,distplot
-0.8461877856,-0.5887338866,0.3570213225,distplot
0.9713481111,-0.5761236006,0.3597551349,distplot
-0.9282024668,-0.5635133146,0.3623798303,distplot
2.5847055363,-0.5509030286,0.3648908439,distplot
0.6327139413,-0.5382927427,0.3672837587,distplot
0.4697968876,-0.5256824567,0.3695543296,distplot
-0.3832415502,-0.5130721707,0.3716985083,distplot
-2.6383658806,-0.5004618847,0.3737124692,distplot
-1.4139773875,-0.4878515987,0.375592636,distplot
-0.1813148675,-0.4752413127,0.3773357094,distplot
0.0637741301,-0.4626310268,0.3789386948,distplot
0.2809160619,-0.4500207408,0.3803989308,distplot
-0.8629447986,-0.4374104548,0.3817141173,distplot
-1.6160896732,-0.4248001688,0.3828823434,distplot
-0.7372118576,-0.4121898828,0.3839021154,distplot
-1.2615613133,-0.3995795968,0.3847723828,distplot
1.2620621081,-0.3869693109,0.3854925644,distplot
-0.1995352461,-0.3743590249,0.3860625716,distplot
0.3911663434,-0.3617487389,0.3864828307,distplot
0.3733202753,-0.3491384529,0.3867543019,distplot
-1.3529485627,-0.3365281669,0.3868784964,distplot
0.1761230436,-0.3239178809,0.3868574894,distplot
0.3794268419,-0.311307595,0.3866939305,distplot
1.5548308392,-0.298697309,0.386391049,distplot
-1.7501358325,-0.286087023,0.3859526555,distplot
0.3791833908,-0.273476737,0.385383139,distplot
1.3968962448,-0.260866451,0.3846874583,distplot
-0.1122052577,-0.248256165,0.383871129,distplot
0.0937207732,-0.2356458791,0.3829402047,distplot
-0.4217283551,-0.2230355931,0.3819012532,distplot
-0.2327152312,-0.2104253071,0.3807613264,distplot
1.7219467799,-0.1978150211,0.3795279261,distplot
-1.368030186,-0.1852047351,0.3782089637,distplot
1.0315422175,-0.1725944491,0.3768127149,distplot
0.3370221312,-0.1599841631,0.3753477703,distplot
1.3636904264,-0.1473738772,0.3738229813,distplot
0.1578955326,-0.1347635912,0.3722474022,distplot
1.7771658197,-0.1221533052,0.3706302294,distplot
0.5920891017,-0.1095430192,0.3689807373,distplot
-1.2952673847,-0.0969327332,0.367308213,distplot
1.5344917884,-0.0843224472,0.365621889,distplot
-0.6895016651,-0.0717121613,0.3639308758,distplot
0.1745475053,-0.0591018753,0.3622440946,distplot
0.6144935266,-0.0464915893,0.3605702108,distplot
-1.6156564566,-0.0338813033,0.3589175689,distplot
-1.9340071191,-0.0212710173,0.357294131,distplot
-1.4512949947,-0.0086607313,0.3557074169,distplot
-1.2934592188,0.0039495546,0.3541644494,distplot
-0.6236586104,0.0165598406,0.3526717028,distplot
0.4906178329,0.0291701266,0.3512350573,distplot
0.9545133957,0.0417804126,0.3498597585,distplot
1.2438079483,0.0543906986,0.3485503825,distplot
-0.845702389,0.0670009846,0.3473108074,distplot
-1.2138356434,0.0796112705,0.3461441918,distplot
-0.467643878,0.0922215565,0.3450529586,distplot
0.5508029401,0.1048318425,0.3440387864,distplot
-0.3999094066,0.1174421285,0.3431026077,distplot
-0.1431874179,0.1300524145,0.3422446129,distplot
-0.2428763171,0.1426627005,0.3414642609,distplot
-0.3034009643,0.1552729864,0.3407602966,distplot
-0.8838225944,0.1678832724,0.340130773,distplot
0.7868428235,0.1804935584,0.3395730801,distplot
1.3275575807,0.1931038444,0.3390839778,distplot
-0.0161839573,0.2057141304,0.3386596337,distplot
-2.8933702755,0.2183244164,0.3382956655,distplot
-0.5461024629,0.2309347023,0.3379871867,distplot
1.2564911516,0.2435449883,0.3377288546,distplot
0.209670784,0.2561552743,0.3375149223,distplot
-0.1067916984,0.2687655603,0.3373392911,distplot
-0.473435144,0.2813758463,0.3371955651,distplot
-1.117717263,0.2939861323,0.3370771066,distplot
-0.4665857946,0.3065964182,0.3369770914,distplot
0.6303306191,0.3192067042,0.3368885639,distplot
-0.7720925704,0.3318169902,0.3368044917,distplot
-1.2310066463,0.3444272762,0.3367178185,distplot
-0.5497117534,0.3570375622,0.3366215159,distplot
1.2662906618,0.3696478482,0.3365086329,distplot
1.2535269675,0.3822581341,0.3363723426,distplot
0.3943312909,0.3948684201,0.3362059866,distplot
-2.3057885929,0.4074787061,0.3360031166,distplot
0.8633473968,0.4200889921,0.3357575323,distplot
0.6711358135,0.4326992781,0.3354633161,distplot
-1.323757086,0.4453095641,0.3351148643,distplot
0.4882327918,0.45791985,0.3347069147,distplot
0.8231141056,0.470530136,0.3342345709,distplot
-0.3078559241,0.483140422,0.3336933222,distplot
0.4316322005,0.495750708,0.3330790604,distplot
-0.9018704759,0.508360994,0.3323880937,distplot
-0.4531226766,0.52097128,0.3316171558,distplot
0.925750165,0.533581566,0.330763413,distplot
-0.5095206586,0.5461918519,0.3298244675,distplot
-1.1221425774,0.5588021379,0.3287983585,distplot
-0.1357239354,0.5714124239,0.3276835596,distplot
-0.9054603164,0.5840227099,0.3264789749,distplot
1.5744405568,0.5966329959,0.3251839318,distplot
-2.8575899779,0.6092432819,0.3237981723,distplot
0.1892275584,0.6218535678,0.3223218426,distplot
0.1262276721,0.6344638538,0.3207554804,distplot
1.1534438798,0.6470741398,0.3191000012,distplot
-0.4912619338,0.6596844258,0.3173566839,distplot
0.9113649534,0.6722947118,0.3155271536,distplot
-0.7167202422,0.6849049978,0.3136133653,distplot
1.0492552806,0.6975152837,0.3116175858,distplot
-0.330237487,0.7101255697,0.3095423742,distplot
1.5129407903,0.7227358557,0.3073905636,distplot
-0.0082952307,0.7353461417,0.3051652397,distplot
1.7482666282,0.7479564277,0.3028697213,distplot
-1.0946456919,0.7605667137,0.3005075381,distplot
-0.9237475924,0.7731769996,0.2980824095,distplot
-1.7607480666,0.7857872856,0.2955982221,distplot
-0.0066006996,0.7983975716,0.2930590069,distplot
-0.7932999689,0.8110078576,0.2904689161,distplot
-1.479163127,0.8236181436,0.2878321995,distplot
0.138325762,0.8362284296,0.2851531802,distplot
-0.1700438276,0.8488387155,0.2824362305,distplot
-0.7690506749,0.8614490015,0.279685747,distplot
0.8079725997,0.8740592875,0.2769061259,distplot
1.274136701,0.8866695735,0.2741017382,distplot
0.1667713599,0.8992798595,0.2712769051,distplot
0.6386626149,0.9118901455,0.2684358732,distplot
-0.1077912676,0.9245004314,0.2655827906,distplot
-1.0137088979,0.9371107174,0.2627216838,distplot
0.2545664273,0.9497210034,0.2598564347,distplot
-1.4575642936,0.9623312894,0.2569907598,distplot
0.5335366719,0.9749415754,0.2541281897,distplot
-0.0316731532,0.9875518614,0.2512720506,distplot
-0.1994609799,1.0001621473,0.2484254474,distplot
-0.6841707858,1.0127724333,0.2455912492,distplot
-0.2492658658,1.0253827193,0.2427720764,distplot
1.3786431692,1.0379930053,0.2399702904,distplot
-0.5466045788,1.0506032913,0.2371879855,distplot
1.6829064242,1.0632135773,0.2344269837,distplot
0.0703690417,1.0758238632,0.2316888318,distplot
1.3555439207,1.0884341492,0.2289748012,distplot
0.4319050563,1.1010444352,0.2262858899,distplot
1.6305853998,1.1136547212,0.2236228279,distplot
0.8318981756,1.1262650072,0.2209860836,distplot
-1.8188043242,1.1388752932,0.2183758738,distplot
0.871783807,1.1514855791,0.2157921743,distplot
-0.8202575649,1.1640958651,0.2132347333,distplot
-0.4088693047,1.1767061511,0.2107030859,distplot
0.1276132437,1.1893164371,0.2081965692,distplot
-0.6939768654,1.2019267231,0.2057143397,distplot
0.7375294534,1.2145370091,0.2032553897,distplot
-0.667273777,1.2271472951,0.2008185647,distplot
1.12409943,1.239757581,0.1984025815,distplot
0.1112489857,1.252367867,0.1960060447,distplot
0.9393503139,1.264978153,0.1936274635,distplot
-0.7097057226,1.277588439,0.1912652678,distplot
-0.7202546815,1.290198725,0.1889178236,distplot
1.3549920316,1.302809011,0.1865834466,distplot
-1.1413887328,1.3154192969,0.1842604159,distplot
0.1593743118,1.3280295829,0.1819469858,distplot
-0.3086098982,1.3406398689,0.1796413969,distplot
-1.8903511781,1.3532501549,0.1773418864,distplot
0.0233143933,1.3658604409,0.1750466971,distplot
-2.7420888506,1.3784707269,0.172754086,distplot
-0.9324571781,1.3910810128,0.1704623322,distplot
1.6394443266,1.4036912988,0.1681697444,distplot
0.0761770428,1.4163015848,0.1658746682,distplot
-0.0389255296,1.4289118708,0.1635754934,distplot
-1.1104893756,1.4415221568,0.1612706615,distplot
-0.290040584,1.4541324428,0.1589586732,distplot
-0.8297342147,1.4667427287,0.1566380974,distplot
-0.2521536775,1.4793530147,0.1543075791,distplot
-0.4238051697,1.4919633007,0.1519658499,distplot
1.6218138186,1.5045735867,0.1496117374,distplot
-1.0517498786,1.5171838727,0.1472441769,distplot
1.2526406144,1.5297941587,0.1448622225,distplot
-0.2674557693,1.5424044446,0.1424650594,distplot
1.1304877955,1.5550147306,0.1400520167,distplot
0.8678619773,1.5676250166,0.1376225797,distplot
-0.8762420141,1.5802353026,0.135176403,distplot
0.8045147502,1.5928455886,0.1327133229,distplot
0.9304587219,1.6054558746,0.1302333691,distplot
-0.9702911829,1.6180661605,0.127736776,distplot
-1.7221006826,1.6306764465,0.1252239924,distplot
-1.0030500699,1.6432867325,0.1226956901,distplot
-0.7502243445,1.6558970185,0.1201527705,distplot
-0.2071689462,1.6685073045,0.1175963691,distplot
0.5107803484,1.6811175905,0.1150278582,distplot
-2.1125087587,1.6937278764,0.1124488466,distplot
-0.613679993,1.7063381624,0.1098611768,distplot
0.4445366771,1.7189484484,0.1072669198,distplot
1.0065985504,1.7315587344,0.1046683668,distplot
1.2117789473,1.7441690204,0.1020680176,distplot
1.4766817273,1.7567793064,0.0994685675,distplot
-1.5103029556,1.7693895923,0.09687289,distplot
-2.0510245006,1.7819998783,0.0942840183,distplot
0.8145768892,1.7946101643,0.0917051235,distplot
1.6054989385,1.8072204503,0.0891394915,distplot
0.758533729,1.8198307363,0.0865904973,distplot
0.1412904927,1.8324410223,0.0840615788,distplot
-1.6098381535,1.8450513082,0.0815562087,distplot
1.2726947772,1.8576615942,0.0790778659,distplot
-0.6425263738,1.8702718802,0.0766300071,distplot
0.3375424543,1.8828821662,0.0742160374,distplot
0.5439397434,1.8954924522,0.071839282,distplot
-0.1830858574,1.9081027382,0.0695029588,distplot
0.7123988973,1.9207130242,0.0672101514,distplot
-1.4534482044,1.9333233101,0.0649637844,distplot
-1.2049970016,1.9459335961,0.0627665997,distplot
-1.258449994,1.9585438821,0.0606211353,distplot
0.6424448853,1.9711541681,0.0585297062,distplot
0.250291297,1.9837644541,0.0564943877,distplot
-1.2947184909,1.9963747401,0.0545170011,distplot
0.6782262687,2.008985026,0.0525991023,distplot
-1.174045118,2.021595312,0.0507419734,distplot
0.0261935724,2.034205598,0.0489466164,distplot
0.1380328628,2.046815884,0.0472137502,distplot
1.2483750732,2.05942617,0.0455438102,distplot
-0.6069577663,2.072036456,0.0439369504,distplot
0.1378819184,2.0846467419,0.0423930484,distplot
0.4851249204,2.0972570279,0.0409117127,distplot
0.4007719287,2.1098673139,0.0394922917,distplot
-0.7134729923,2.1224775999,0.0381338859,distplot
-1.8555247341,2.1350878859,0.0368353609,distplot
0.1172524439,2.1476981719,0.0355953632,distplot
1.2948583206,2.1603084578,0.0344123361,distplot
0.3050079019,2.1729187438,0.0332845386,distplot
-0.3839525005,2.1855290298,0.0322100639,distplot
-0.4585797959,2.1981393158,0.0311868596,distplot
0.926232931,2.2107496018,0.030212748,distplot
1.0785010024,2.2233598878,0.0292854471,distplot
0.5745819499,2.2359701737,0.0284025921,distplot
-1.1418047011,2.2485804597,0.0275617559,distplot
-0.7019963804,2.2611907457,0.0267604699,distplot
-0.3688585896,2.2738010317,0.0259962452,distplot
0.8036594969,2.2864113177,0.0252665913,distplot
-1.9630161963,2.2990216037,0.0245690358,distplot
-0.1064582834,2.3116318896,0.0239011421,distplot
-1.8684317316,2.3242421756,0.0232605264,distplot
0.5621615217,2.3368524616,0.0226448733,distplot
1.5133209025,2.3494627476,0.0220519502,distplot
-0.9485199966,2.3620730336,0.0214796199,distplot
1.5561857971,2.3746833196,0.0209258523,distplot
0.3482943953,2.3872936055,0.0203887336,distplot
0.1922539834,2.3999038915,0.0198664752,distplot
-0.6621365628,2.4125141775,0.0193574191,distplot
-0.3705868202,2.4251244635,0.0188600437,distplot
1.2908472348,2.4377347495,0.0183729661,distplot
0.1412489913,2.4503450355,0.0178949443,distplot
-0.2510794635,2.4629553214,0.0174248768,distplot
0.5067209638,2.4755656074,0.0169618011,distplot
-0.7135038096,2.4881758934,0.0165048913,distplot
2.841263901,2.5007861794,0.0160534533,distplot
0.0163725288,2.5133964654,0.0156069201,distplot
-0.1961781679,2.5260067514,0.0151648452,distplot
-0.3242580734,2.5386170373,0.0147268956,distplot
-0.0711095779,2.5512273233,0.0142928434,distplot
-1.3671522642,2.5638376093,0.0138625578,distplot
-0.3041803305,2.5764478953,0.0134359958,distplot
-0.0401659916,2.5890581813,0.0130131929,distplot
0.6948839078,2.6016684673,0.0125942537,distplot
-1.1565918065,2.6142787533,0.0121793422,distplot
-0.3202331211,2.6268890392,0.0117686729,distplot
-0.6700921403,2.6394993252,0.0113625009,distplot
-0.6928037119,2.6521096112,0.0109611139,distplot
-0.8731959956,2.6647198972,0.0105648231,distplot
0.0240939861,2.6773301832,0.0101739557,distplot
-0.9706883882,2.6899404692,0.0097888476,distplot
0.8077840027,2.7025507551,0.0094098365,distplot
0.3342402165,2.7151610411,0.0090372562,distplot
2.2946440788,2.7277713271,0.0086714311,distplot
-2.2101066808,2.7403816131,0.008312672,distplot
1.4665701702,2.7529918991,0.0079612715,distplot
1.2012604642,2.7656021851,0.0076175018,distplot
0.0049034682,2.778212471,0.0072816114,distplot
0.3028712798,2.790822757,0.0069538235,distplot
-1.2685904075,2.803433043,0.0066343348,distplot
-1.3038208265,2.816043329,0.0063233148,distplot
0.1721266161,2.828653615,0.0060209051,distplot
-0.0336686221,,,distplot
-0.1849098873,,,distplot
1.811304073,,,distplot
0.9199216095,,,distplot
1.0646898017,,,distplot
-0.7662110585,,,distplot
-0.194467135,,,distplot
0.281213067,,,distplot
-0.2129801031,,,distplot
0.9712886362,,,distplot
-0.1104457848,,,distplot
-0.7074290501,,,distplot
-1.407551198,,,distplot
0.3997756995,,,distplot
-2.1255032432,,,distplot
-0.3050081928,,,distplot
0.7915500087,,,distplot
1.3750974992,,,distplot
0.7542097178,,,distplot
-0.9012235443,,,distplot
-0.331611896,,,distplot
-0.5346436555,,,distplot
0.3405807,,,distplot
-0.1605866339,,,distplot
-1.0814996239,,,distplot
-0.7781813138,,,distplot
0.7476757029,,,distplot
0.8952525724,,,distplot
1.5352450693,,,distplot
0.5177693582,,,distplot
-0.2074426952,,,distplot
0.2315371471,,,distplot
0.4993411347,,,distplot
-0.7901273794,,,distplot
1.1627094305,,,distplot
0.6647271815,,,distplot
1.8535676191,,,distplot
0.9139979971,,,distplot
0.3734159716,,,distplot
0.6420567777,,,distplot
-2.2722861823,,,distplot
-1.5296629309,,,distplot
-0.5989754649,,,distplot
-0.6551234992,,,distplot
1.0474134702,,,distplot
0.8640721967,,,distplot
0.8086136975,,,distplot
1.0653302855,,,distplot
0.4031836754,,,distplot
-0.5227167464,,,distplot
0.9668970275,,,distplot
-1.3410964216,,,distplot
-0.1384199351,,,distplot
-1.1681047128,,,distplot
-1.0282385571,,,distplot
0.3759107261,,,distplot
1.0809759544,,,distplot
2.4337208416,,,distplot
-0.5638613857,,,distplot
-1.093985381,,,distplot
0.625089193,,,distplot
0.551232318,,,distplot
-1.8420080166,,,distplot
1.3248083887,,,distplot
-0.8859104804,,,distplot
0.6373739502,,,distplot
0.867797633,,,distplot
0.1750639599,,,distplot
0.7252234394,,,distplot
0.4482293673,,,distplot
-1.4482394729,,,distplot
-0.1628353384,,,distplot
0.6910773165,,,distplot
0.2775520389,,,distplot
0.7015502864,,,distplot
-0.7489353104,,,distplot
