"Under Inspection, x; Issued, x","Under Inspection, y","Issued, y","R2P2, x","R2P2, y"
2009 January,138,53,2014 October,19
2009 February,138,53,2014 November,19
2009 March,138,53,2014 December,19
2009 April,138,53,2015 January,19
2009 May,138,53,2015 February,19
2009 June,138,53,2015 March,19
2009 July,139,53,2015 April,19
2009 August,139,53,2015 May,19
2009 September,139,53,2015 June,19
2009 October,139,53,2015 July,19
2009 November,139,53,2015 August,19
2009 December,139,53,2015 September,19
2010 January,139,53,2015 October,19
2010 February,139,53,2015 November,19
2010 March,139,53,2015 December,19
2010 April,139,53,2016 January,19
2010 May,139,53,2016 February,19
2010 June,139,53,2016 March,19
2010 July,139,53,2016 April,19
2010 August,139,53,2016 May,19
2010 September,139,53,2016 June,19
2010 October,139,53,2016 July,19
2010 November,139,53,2016 August,19
2010 December,139,53,2016 September,19
2011 January,139,53,2016 October,19
2011 February,139,53,2016 November,19
2011 March,139,53,2016 December,19
2011 April,139,53,2017 January,19
2011 May,139,53,2017 February,19
2011 June,139,53,2017 March,19
2011 July,139,53,2017 April,19
2011 August,139,53,2017 May,19
2011 September,139,53,2017 June,19
2011 October,139,53,2017 July,19
2011 November,139,53,2017 August,19
2011 December,139,53,2017 September,19
2012 January,139,53,2017 October,19
2012 February,139,53,2017 November,19
2012 March,139,53,2017 December,19
2012 April,139,53,2018 January,19
2012 May,139,53,,
2012 June,139,53,,
2012 July,139,53,,
2012 August,139,53,,
2012 September,139,53,,
2012 October,139,53,,
2012 November,139,53,,
2012 December,139,53,,
2013 January,139,53,,
2013 February,140,53,,
2013 March,140,53,,
2013 April,140,53,,
2013 May,140,53,,
2013 June,140,53,,
2013 July,140,53,,
2013 August,140,53,,
2013 September,140,53,,
2013 October,140,53,,
2013 November,140,53,,
2013 December,140,53,,
2014 January,140,53,,
2014 February,140,53,,
2014 March,140,53,,
2014 April,140,53,,
2014 May,140,53,,
2014 June,140,53,,
2014 July,140,53,,
2014 August,140,53,,
2014 September,140,54,,
2014 October,140,54,,
2014 November,141,54,,
2014 December,141,54,,
2015 January,141,54,,
2015 February,141,54,,
2015 March,141,54,,
2015 April,141,54,,
2015 May,141,54,,
2015 June,141,54,,
2015 July,141,54,,
2015 August,142,54,,
2015 September,142,54,,
2015 October,142,54,,
2015 November,142,54,,
2015 December,142,54,,
2016 January,143,56,,
2016 February,144,57,,
2016 March,145,57,,
2016 April,146,57,,
2016 May,147,57,,
2016 June,148,57,,
2016 July,148,58,,
2016 August,154,58,,
2016 September,156,59,,
2016 October,157,60,,
2016 November,159,60,,
2016 December,163,60,,
2017 January,168,60,,
2017 February,172,60,,
2017 March,174,60,,
2017 April,178,63,,
2017 May,190,63,,
2017 June,199,66,,
2017 July,206,68,,
2017 August,214,69,,
2017 September,224,77,,
2017 October,232,87,,
2017 November,239,97,,
2017 December,241,119,,
2018 January,242,125,,
