x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10],z[11],z[12],z[13],z[14],z[15],z[16],z[17],z[18],z[19],z[20],z[21],z[22],z[23],z[24],z[25],z[26],z[27],z[28],z[29],z[30],z[31],z[32],z[33],z[34],z[35],z[36],z[37],z[38],z[39],z[40],z[41],z[42],z[43],z[44],z[45],z[46],z[47],z[48],z[49]
161212000,11:46:24,-73.1378,-72.7543,-74.3167,-73.8981,-74.2736,-75.1167,-75.0347,-75.0904,-75.2591,-75.1765,-78.9522,-75.5972,-75.1231,-75.3627,-81.1936,-75.7017,-75.4069,-75.0661,-74.5364,-75.7777,-75.7144,-75.5512,-75.9275,-75.8068,-76.0347,-74.9789,-74.6763,-87.7411,-77.8078,-76.3317,-78.0778,-76.5309,-76.4986,-77.8384,-76.3848,-76.4736,-77.411,-76.3147,-75.2449,-75.1255,-74.601,-74.9511,-75.9072,-75.6751,-76.0664,-76.3541,-80.8272,-74.7302,-75.5808,-76.9119
161216000,11:46:24,-73.6155,-74.41,-75.1198,-75.1163,-76.3331,-77.9874,-76.1261,-77.4631,-76.0243,-77.0192,-80.9828,-78.0671,-77.3814,-75.2988,-82.4766,-77.1465,-76.1718,-77.0185,-76.2653,-75.8159,-77.0913,-77.5875,-75.6743,-76.0893,-75.8443,-76.5145,-74.4593,-88.1366,-78.1706,-77.647,-79.3273,-78.4276,-76.7738,-77.4956,-76.9848,-76.6515,-79.353,-77.5217,-77.6403,-76.6864,-76.8598,-76.8378,-76.9247,-75.6105,-76.3863,-78.0918,-82.0155,-77.4886,-75.9089,-78.0287
161220000,11:46:24,-74.3517,-74.9868,-75.7387,-76.2454,-75.5782,-77.8571,-77.061,-76.6919,-77.0123,-77.4486,-80.2498,-77.8119,-76.7812,-75.1243,-82.0883,-77.977,-76.0024,-77.277,-77.2325,-75.644,-76.3478,-76.3212,-76.3237,-76.404,-76.7709,-76.5835,-74.5404,-91.0273,-78.3832,-78.7076,-79.8615,-78.6645,-76.275,-77.8459,-77.9098,-77.9763,-78.6915,-78.1777,-76.7165,-76.5314,-76.7588,-76.9278,-77.6504,-77.8834,-76.4082,-76.6125,-80.9732,-77.5895,-76.0745,-77.643
161224000,11:46:24,-74.2706,-73.6173,-76.004,-75.7842,-76.1613,-77.1722,-76.2557,-76.7035,-77.7617,-76.288,-81.0798,-77.0032,-76.7783,-77.4401,-82.1181,-79.0103,-77.8897,-76.2368,-77.4335,-76.113,-77.0896,-77.4868,-78.3008,-76.6594,-76.7075,-76.5709,-75.4105,-90.749,-79.0972,-77.3543,-78.8972,-76.9435,-76.0295,-76.9391,-78.0449,-77.6866,-77.1657,-77.5633,-76.7424,-75.7701,-75.1026,-76.2473,-77.9946,-78.5151,-77.5283,-77.3022,-81.1987,-76.4354,-76.8544,-76.9921
161228000,11:46:24,-73.732,-73.3201,-75.9375,-75.7712,-76.3279,-75.2592,-76.1114,-75.8057,-76.7783,-76.8797,-79.8568,-77.7236,-77.5375,-76.8868,-81.7369,-77.9231,-76.6322,-76.1262,-76.0026,-77.4496,-77.4175,-77.7552,-78.9437,-75.7078,-76.3002,-78.0404,-76.3121,-89.0593,-77.8144,-75.9894,-79.0191,-76.5865,-75.8776,-76.7055,-77.5537,-76.9731,-76.281,-76.1841,-76.7194,-76.2388,-75.3836,-76.6616,-77.5217,-76.4557,-76.096,-77.5103,-83.159,-75.7939,-76.6234,-77.3385
161232000,11:46:24,-72.8034,-74.2974,-74.7207,-76.9626,-76.0912,-76.9023,-76.1931,-76.5144,-75.7686,-76.4311,-78.5571,-77.1742,-75.9581,-75.8646,-82.2745,-76.3769,-76.8386,-77.4154,-76.0247,-76.6316,-76.5687,-76.7594,-77.7009,-75.9282,-76.985,-78.1335,-77.373,-88.4168,-77.5428,-75.6938,-78.2169,-76.123,-76.4721,-76.3157,-76.9569,-76.347,-77.0647,-76.1512,-75.5071,-74.9784,-75.8416,-76.879,-77.0431,-76.8732,-76.3511,-76.6743,-81.8905,-77.4078,-76.2142,-76.4418
161236000,11:46:24,-72.6208,-75.0247,-74.4891,-75.3879,-75.3585,-76.6657,-76.0492,-76.2444,-75.4995,-74.6513,-78.6303,-77.2986,-75.6729,-75.8273,-82.1423,-76.3964,-75.1184,-75.4292,-74.8762,-76.3235,-75.8657,-74.6702,-75.562,-75.7089,-76.4674,-75.5236,-75.6742,-87.8725,-76.939,-74.7206,-78.9164,-76.4036,-76.627,-76.1595,-76.1125,-76.3586,-75.8297,-75.034,-74.8569,-74.9899,-74.9613,-76.5478,-75.8283,-76.6061,-76.7062,-75.3623,-80.0686,-76.7331,-75.4048,-75.886
161240000,11:46:25,-72.0452,-71.2043,-72.0374,-72.7115,-74.8572,-73.0233,-73.2243,-72.845,-74.4129,-73.7859,-76.1835,-74.1275,-73.672,-73.2994,-78.4852,-76.9855,-72.2565,-71.3218,-72.5736,-73.8101,-73.2799,-73.5091,-73.6951,-74.2301,-74.1753,-72.9406,-72.4905,-86.1588,-75.5555,-72.326,-78.0832,-74.2112,-74.0061,-75.0953,-72.9109,-72.9289,-74.175,-73.9397,-73.07,-73.2902,-72.8394,-73.9086,-74.6218,-73.6816,-72.9139,-73.3022,-78.022,-74.5551,-72.4624,-73.1608
161244000,11:46:25,-70.4773,-70.2925,-70.6062,-71.8744,-72.7629,-71.5346,-71.9299,-70.7219,-72.7888,-72.0478,-75.3329,-72.1185,-73.1104,-72.81,-76.5798,-74.4647,-71.4823,-71.8799,-71.6135,-73.0138,-71.9582,-73.8819,-73.2471,-74.0906,-72.8274,-72.4733,-72.1954,-85.4434,-74.4953,-71.1959,-75.4852,-72.7307,-72.3102,-72.758,-72.1069,-72.5329,-73.7927,-73.5334,-71.6142,-72.6636,-72.158,-73.0666,-74.3889,-72.2805,-71.5156,-72.2905,-77.4655,-73.3826,-71.7048,-71.5447
161248000,11:46:25,-72.1197,-72.3419,-72.7074,-74.0147,-74.6607,-73.7984,-74.5829,-74.9967,-74.0796,-74.8907,-78.0813,-75.1464,-74.8008,-74.8265,-78.7966,-75.1462,-75.0975,-75.1357,-74.1007,-76.6517,-74.0984,-74.6623,-75.2577,-75.0779,-74.731,-74.8157,-75.7031,-86.5823,-75.3242,-74.5739,-76.1273,-74.638,-75.2986,-74.8541,-75.3796,-75.2898,-75.7333,-75.344,-74.8004,-75.0464,-74.7113,-75.6973,-75.7987,-73.99,-74.9298,-75.2004,-78.96,-75.4498,-74.4734,-73.9074
161252000,11:46:25,-74.0504,-73.3399,-73.2085,-76.3674,-74.7768,-75.1085,-76.1009,-75.0886,-75.1849,-76.2802,-79.6763,-75.9339,-76.6377,-75.3633,-81.362,-77.4403,-76.7861,-76.4924,-75.4727,-74.8044,-76.3678,-76.1228,-76.8247,-75.5909,-76.153,-76.168,-76.4678,-85.9743,-76.4871,-75.8921,-77.9269,-75.7473,-75.5278,-76.5453,-75.6061,-76.8965,-75.2479,-74.7319,-75.8159,-74.9273,-76.3055,-75.3613,-75.0477,-76.4039,-75.6467,-77.697,-80.6839,-76.036,-75.7712,-76.2507
161256000,11:46:25,-73.6664,-72.5399,-73.604,-75.4351,-75.6792,-75.1468,-76.4805,-76.4566,-76.4143,-76.6344,-79.3705,-77.1939,-77.3022,-76.3579,-82.1428,-77.8149,-76.0083,-74.9144,-76.8145,-75.0531,-76.297,-76.8112,-75.9397,-75.1988,-76.26,-74.3836,-77.7895,-86.6356,-77.8006,-76.8629,-79.0769,-75.7642,-75.6768,-75.5274,-76.2808,-76.7048,-75.3657,-76.0871,-74.9607,-76.6381,-76.0639,-76.2693,-75.6613,-76.07,-76.4947,-77.1854,-81.5647,-76.063,-77.1189,-76.489
161260000,11:46:25,-73.9077,-73.244,-75.3878,-76.153,-76.315,-75.4253,-76.9339,-76.4532,-76.4783,-76.848,-79.2822,-76.7709,-76.5361,-76.6366,-81.7483,-75.6042,-75.6989,-75.6618,-76.3719,-76.3011,-76.1498,-77.0454,-75.2155,-75.645,-76.0783,-75.3535,-77.6926,-87.8371,-76.9095,-75.8622,-79.6787,-76.831,-75.4911,-76.3074,-75.972,-76.8061,-75.035,-75.8566,-75.3244,-77.093,-77.2424,-76.6482,-76.2927,-75.3264,-76.5208,-76.3125,-81.5041,-76.6401,-76.783,-75.8628
161264000,11:46:25,-72.8115,-74.064,-75.79,-76.007,-77.9806,-76.1244,-75.6502,-76.2812,-75.7861,-76.6588,-77.9841,-75.8797,-76.4379,-76.0216,-80.9592,-77.0543,-76.356,-76.3785,-76.1285,-75.7847,-76.5184,-76.9836,-75.8289,-76.9477,-75.9286,-75.0434,-77.7248,-85.2114,-77.4727,-76.0125,-80.3112,-75.7783,-76.7247,-76.1539,-77.0316,-75.978,-67.9723,-75.8572,-76.0101,-75.3597,-75.8249,-75.8421,-75.9429,-75.2397,-76.1377,-75.69,-80.9635,-77.3629,-75.0518,-76.3592
161268000,11:46:25,-71.6973,-74.7186,-74.7182,-75.8741,-76.678,-74.7873,-76.2212,-76.6882,-75.9067,-75.3068,-77.0571,-76.6736,-75.229,-75.6148,-81.0893,-76.2388,-76.2305,-75.6377,-75.6883,-75.9909,-75.909,-76.3626,-75.7383,-77.2573,-75.8086,-74.9862,-76.735,-84.1343,-77.7642,-76.1267,-80.4688,-76.0553,-76.2681,-75.5721,-75.052,-74.632,-64.4802,-76.1489,-76.6897,-76.142,-75.7295,-77.3464,-74.3461,-75.5115,-75.6838,-75.4493,-81.8557,-76.6345,-74.3015,-75.7442
161272000,11:46:25,-73.385,-73.1583,-73.0547,-75.1973,-74.7693,-74.1481,-75.7462,-76.3192,-75.1144,-74.7983,-77.1961,-76.1103,-74.9826,-75.1218,-81.6377,-75.3442,-75.8705,-74.7287,-74.9977,-75.1048,-75.0847,-74.982,-74.9069,-74.8727,-75.2715,-75.3229,-75.7152,-84.7325,-77.0214,-74.6213,-78.1687,-76.0268,-74.678,-74.9114,-74.0118,-74.7259,-67.0723,-74.7168,-75.6364,-76.1556,-76.2197,-75.7853,-73.4498,-74.6264,-75.3965,-74.4785,-81.2702,-75.9916,-74.2287,-75.5637
161276000,11:46:26,-73.0852,-72.3562,-72.9178,-74.8022,-74.5818,-75.1767,-74.5861,-75.7892,-74.5717,-75.294,-77.5353,-75.775,-74.8223,-74.1163,-80.9996,-74.9298,-75.5893,-73.8933,-75.0146,-74.6843,-75.7814,-74.3658,-74.5205,-73.8319,-75.3007,-74.4074,-75.8152,-86.546,-76.1325,-74.8699,-76.1664,-76.2641,-74.4717,-75.1793,-75.2276,-74.4702,-72.4132,-74.2071,-73.5573,-74.4603,-75.5942,-75.5782,-73.8571,-73.766,-74.9345,-75.1263,-79.527,-75.7248,-74.0325,-74.86
161280000,11:46:26,-72.8074,-73.2383,-73.494,-74.9618,-74.4009,-75.0756,-74.7468,-75.5747,-75.7304,-76.5284,-78.132,-75.4601,-74.5856,-74.1704,-81.7595,-75.0865,-76.0651,-74.4152,-76.459,-75.8628,-75.9188,-75.217,-76.5787,-74.5331,-75.6897,-75.4048,-75.9965,-87.0784,-76.3718,-75.6471,-77.0219,-75.8027,-76.7289,-76.8791,-75.7961,-74.1886,-75.2978,-75.4599,-74.5782,-74.549,-74.8024,-75.9282,-75.0352,-74.868,-74.8549,-75.0734,-80.6752,-75.8958,-74.4191,-75.2282
161284000,11:46:26,-72.4815,-73.0186,-72.9091,-74.2934,-74.6628,-75.9791,-75.2356,-75.4451,-74.9934,-75.7732,-78.3051,-75.3527,-75.6888,-75.2676,-81.1499,-75.5576,-76.1281,-75.5822,-75.788,-74.6821,-76.1101,-74.7763,-76.3134,-74.9424,-75.2791,-75.621,-75.5904,-86.4865,-75.7223,-76.3913,-77.3645,-76.3062,-76.6869,-76.4601,-74.2745,-75.4055,-75.5568,-76.5433,-75.9079,-74.4989,-75.5357,-74.3978,-75.5133,-76.5817,-75.3479,-75.3004,-79.9613,-75.918,-74.8342,-75.0395
161288000,11:46:26,-72.7286,-72.6026,-74.2203,-75.5254,-75.1256,-76.4008,-75.8949,-76.1341,-74.6496,-74.3828,-78.5567,-75.9964,-76.4521,-75.7494,-81.9588,-75.2934,-76.4933,-77.2205,-75.9013,-75.2646,-75.7223,-74.744,-76.2734,-76.4132,-76.3407,-76.3452,-75.7746,-87.9217,-75.7148,-77.0609,-78.8617,-78.2918,-76.361,-75.3345,-74.7342,-75.1566,-74.7297,-76.4493,-75.2156,-75.1099,-75.5624,-74.5119,-75.1572,-75.234,-75.6965,-74.6687,-80.6843,-76.0407,-75.6607,-75.0244
161292000,11:46:26,-72.393,-72.3566,-74.1429,-75.2384,-76.2936,-74.8576,-75.821,-74.7583,-75.046,-74.9515,-78.1267,-75.5199,-75.4662,-76.4564,-81.3042,-76.5944,-75.9078,-74.9363,-74.6899,-76.4728,-76.4785,-76.0884,-76.2856,-75.7497,-75.7994,-75.8722,-74.1904,-87.7057,-76.6484,-75.8669,-79.3261,-76.5115,-74.6994,-75.8545,-75.8453,-74.8346,-74.598,-75.517,-73.8847,-76.1365,-74.8525,-74.524,-75.1504,-74.4072,-76.0874,-77.3847,-80.3828,-77.5543,-74.0558,-75.181
161296000,11:46:26,-72.5405,-72.9344,-73.3099,-74.849,-75.0255,-76.3706,-75.3916,-74.8612,-75.6306,-74.0898,-77.952,-75.9086,-74.7832,-75.0751,-80.9381,-76.4884,-74.8425,-75.7394,-74.1398,-75.2319,-74.7686,-77.2434,-77.0146,-74.6385,-73.9429,-74.5753,-75.2482,-86.6034,-76.6024,-75.6132,-78.6867,-76.1231,-75.1852,-75.6709,-74.4253,-75.6271,-74.6288,-76.9914,-75.3298,-76.2782,-75.5166,-75.1484,-74.5518,-75.5698,-74.6951,-77.3785,-80.0602,-76.0394,-74.4215,-74.4586
161300000,11:46:26,-71.2025,-73.3896,-72.3406,-74.5633,-73.4998,-74.9444,-74.8303,-75.1793,-74.649,-73.7506,-75.9072,-76.2195,-75.0313,-72.5266,-79.3806,-75.0848,-75.6673,-75.359,-74.4189,-74.0582,-72.8851,-75.4046,-75.3834,-74.4383,-73.0493,-74.0659,-73.7214,-85.4473,-74.6336,-74.6686,-77.2502,-74.9364,-73.5199,-72.9938,-74.0689,-74.2691,-73.4871,-75.2143,-74.2833,-74.5124,-74.9413,-75.5974,-72.8054,-75.465,-73.5949,-74.2849,-79.1269,-75.66,-75.1377,-73.7913
161304000,11:46:26,-69.0602,-70.4719,-69.7446,-71.5739,-70.4652,-71.823,-71.2342,-71.8031,-72.5916,-71.2615,-73.6781,-73.1717,-71.7829,-70.9059,-76.1685,-73.0174,-72.0556,-71.9622,-70.8124,-70.9509,-71.3319,-70.9988,-72.5734,-70.8113,-71.7856,-72.0222,-71.0164,-82.792,-71.2888,-72.0542,-75.1256,-72.0269,-70.7757,-70.8306,-71.8218,-71.1713,-70.6753,-71.4553,-71.4655,-70.7753,-72.4014,-72.2961,-71.1328,-73.137,-71.5941,-70.3308,-75.5111,-72.2711,-71.3904,-71.0288
161308000,11:46:26,-70.7298,-71.7915,-71.7327,-73.2182,-73.4893,-72.8214,-73.5881,-73.7408,-75.9749,-73.5727,-75.7812,-74.6669,-73.7612,-73.783,-77.3815,-75.7347,-73.9355,-74.0558,-73.4471,-72.3372,-73.7071,-73.5083,-73.6066,-74.3869,-73.7169,-72.9063,-72.4627,-84.562,-74.0462,-74.4599,-77.99,-73.3084,-72.5892,-72.9483,-73.1757,-72.1728,-72.741,-72.8844,-72.8048,-72.5269,-74.2635,-73.356,-72.6476,-74.9098,-72.8732,-74.1371,-77.5777,-73.7563,-73.3135,-72.9102
161312000,11:46:27,-71.9907,-71.8011,-72.8211,-72.8788,-74.0141,-73.3751,-73.9456,-74.5768,-74.3223,-74.6211,-76.4772,-74.9386,-74.4052,-73.938,-78.6044,-75.7229,-74.591,-74.5071,-73.9666,-73.1585,-74.1015,-75.2673,-75.0281,-75.8536,-74.8862,-72.6148,-74.0266,-84.3915,-75.9442,-75.8835,-79.4628,-74.0182,-74.2409,-74.1327,-72.6613,-73.2074,-73.1856,-74.6836,-73.6483,-73.9636,-72.17,-74.3541,-72.2194,-76.2224,-74.1594,-75.6813,-77.1739,-74.9179,-72.9252,-73.5393
161316000,11:46:27,-71.3889,-71.3804,-72.2423,-73.2365,-73.6972,-72.9348,-72.5941,-73.6004,-74.1001,-74.2565,-75.5602,-74.7745,-73.6576,-72.6682,-78.5191,-74.2072,-74.1345,-72.9382,-73.2941,-72.4398,-72.9489,-74.3748,-75.4323,-73.9142,-74.4422,-72.9299,-73.7602,-83.3626,-74.2175,-74.4095,-77.1156,-74.2881,-73.7637,-73.8344,-72.7182,-73.9691,-73.9627,-73.5952,-74.9982,-74.1606,-71.7279,-73.3797,-73.18,-76.0342,-73.7823,-74.1604,-76.304,-74.4758,-73.0201,-73.2958
161320000,11:46:27,-72.3773,-72.6641,-72.6264,-74.2961,-73.2048,-73.8655,-73.4429,-73.5605,-75.5165,-75.0406,-76.8935,-75.3238,-74.0744,-73.6819,-80.3343,-73.6169,-74.7803,-73.4033,-74.4871,-73.8473,-73.9403,-74.1217,-74.6599,-73.876,-75.8065,-74.1112,-74.0623,-86.1753,-74.7219,-73.7016,-76.5006,-74.2026,-75.5887,-74.2531,-75.1169,-75.3858,-75.3658,-73.4659,-74.988,-76.0471,-74.7543,-72.2581,-73.5537,-77.3946,-74.7301,-75.0881,-78.5456,-74.5348,-75.0061,-76.0183
161324000,11:46:27,-71.8491,-72.1983,-73.0479,-73.6161,-73.2989,-74.357,-73.7458,-73.961,-75.0722,-74.244,-77.2164,-75.4927,-74.1657,-75.9063,-79.7424,-74.6834,-74.1966,-73.94,-75.5035,-73.9503,-74.356,-73.9449,-73.7943,-75.0311,-75.0278,-74.2693,-73.2926,-84.4371,-75.6865,-74.4523,-76.7866,-74.014,-76.4194,-74.5061,-74.5039,-74.5764,-75.5046,-73.7783,-74.718,-75.0976,-75.1932,-72.9068,-73.3503,-76.0577,-74.4627,-75.6397,-79.2238,-76.0273,-76.0931,-75.8557
161328000,11:46:27,-71.5978,-71.2582,-72.7293,-73.3611,-75.0554,-74.6334,-74.7213,-73.7389,-75.2226,-73.8036,-78.0499,-75.6467,-73.2238,-74.9504,-80.3455,-75.22,-73.503,-75.1019,-74.2213,-74.8033,-74.9724,-74.7953,-75.0907,-74.4297,-75.6065,-74.8164,-72.3652,-85.1922,-75.993,-75.619,-77.5302,-74.6931,-74.5967,-74.0721,-74.8351,-74.4531,-74.1753,-73.6153,-74.717,-75.5619,-74.7179,-73.2749,-73.406,-74.7053,-75.5364,-74.9365,-79.4483,-75.4508,-74.1889,-75.7666
161332000,11:46:27,-71.8354,-71.3049,-73.0132,-72.5501,-74.8045,-74.6779,-74.3988,-74.573,-74.1176,-74.1657,-77.2203,-74.9502,-73.934,-74.0918,-79.647,-73.73,-73.7582,-74.4419,-73.0533,-74.1508,-73.8412,-75.2394,-75.4058,-73.59,-73.6939,-74.4275,-73.3889,-86.7921,-75.7456,-74.7691,-78.7086,-75.039,-74.2874,-73.8533,-75.4033,-74.5641,-74.3169,-74.8287,-75.9759,-75.3502,-74.2833,-74.4867,-74.4431,-75.2076,-74.7699,-74.966,-79.7634,-75.3966,-73.4203,-75.5424
161336000,11:46:27,-73.4396,-71.2773,-71.5022,-73.1838,-76.0286,-73.7405,-74.2328,-75.8452,-73.7392,-73.6148,-76.7462,-76.1375,-74.4918,-73.6809,-78.8622,-73.9444,-75.1384,-73.8683,-74.1759,-76.2365,-75.0399,-73.4131,-74.988,-73.6661,-74.0875,-73.8376,-74.2255,-85.5247,-76.9674,-73.4205,-79.3145,-74.3911,-76.5075,-74.2271,-75.2986,-74.9297,-74.4767,-74.5955,-75.2981,-74.6955,-74.0875,-73.4854,-75.2183,-75.3637,-74.9401,-74.9701,-79.7091,-76.1516,-75.0922,-74.6071
161340000,11:46:27,-73.9941,-70.9427,-71.611,-74.004,-73.5577,-73.893,-75.5066,-75.6933,-73.9378,-74.7817,-76.6777,-76.7349,-74.1086,-74.2264,-78.4034,-74.999,-74.4974,-73.8843,-74.4568,-76.465,-74.5263,-73.5371,-74.4239,-75.0291,-73.6924,-74.1347,-74.3286,-84.7576,-76.1503,-73.2059,-77.8816,-75.0628,-74.3242,-74.4854,-74.4138,-73.4878,-75.1319,-72.7512,-74.2522,-74.229,-74.2973,-73.7244,-75.9266,-74.6286,-75.2283,-73.9539,-80.2068,-75.0782,-76.4707,-73.1452
161344000,11:46:27,-71.7535,-72.5112,-71.1022,-73.5597,-73.9307,-74.146,-73.962,-74.2834,-72.765,-73.8033,-76.2466,-73.9823,-73.1364,-73.3406,-79.0903,-74.2754,-74.2163,-74.3705,-74.3244,-74.7376,-74.4995,-74.4713,-75.6708,-75.1667,-73.8656,-75.1684,-72.8897,-85.2797,-75.0643,-73.36,-75.1994,-74.7651,-74.2902,-75.2049,-74.0256,-74.2831,-73.7991,-74.1093,-74.9676,-73.4016,-73.7014,-74.4628,-74.4334,-74.2617,-73.9643,-73.9657,-79.2164,-73.4463,-74.9191,-72.4316
