"Daily Avg., x; 7 Day Avg., x; 30 Day Avg., x","Daily Avg., y","Daily Avg., text","7 Day Avg., y","7 Day Avg., text","30 Day Avg., y","30 Day Avg., text"
2017-01-13,3.54872,total number = 195<br>5☆ = 97<br>4☆ = 28<br>3☆ = 8<br>2☆ = 9<br>1☆ = 53,3.83607,total number = 195<br>5☆ = 776<br>4☆ = 273<br>3☆ = 90<br>2☆ = 49<br>1☆ = 276,4.04053,total number = 5477<br>5☆ = 3054<br>4☆ = 1194<br>3☆ = 335<br>2☆ = 185<br>1☆ = 709
2017-01-14,3.85876,total number = 177<br>5☆ = 90<br>4☆ = 39<br>3☆ = 10<br>2☆ = 9<br>1☆ = 29,3.80138,total number = 177<br>5☆ = 757<br>4☆ = 267<br>3☆ = 91<br>2☆ = 51<br>1☆ = 284,4.03553,total number = 5489<br>5☆ = 3055<br>4☆ = 1199<br>3☆ = 328<br>2☆ = 189<br>1☆ = 718
2017-01-15,3.80303,total number = 198<br>5☆ = 100<br>4☆ = 41<br>3☆ = 13<br>2☆ = 6<br>1☆ = 38,3.7751,total number = 198<br>5☆ = 770<br>4☆ = 279<br>3☆ = 89<br>2☆ = 51<br>1☆ = 305,4.0211,total number = 5449<br>5☆ = 3011<br>4☆ = 1189<br>3☆ = 330<br>2☆ = 191<br>1☆ = 728
2017-01-16,3.98707,total number = 232<br>5☆ = 132<br>4☆ = 45<br>3☆ = 10<br>2☆ = 10<br>1☆ = 35,3.79055,total number = 232<br>5☆ = 817<br>4☆ = 291<br>3☆ = 86<br>2☆ = 57<br>1☆ = 315,4.01666,total number = 5522<br>5☆ = 3046<br>4☆ = 1204<br>3☆ = 334<br>2☆ = 194<br>1☆ = 744
2017-01-17,3.97209,total number = 215<br>5☆ = 120<br>4☆ = 43<br>3☆ = 11<br>2☆ = 8<br>1☆ = 33,3.75048,total number = 215<br>5☆ = 795<br>4☆ = 289<br>3☆ = 85<br>2☆ = 60<br>1☆ = 326,4.01292,total number = 5573<br>5☆ = 3078<br>4☆ = 1209<br>3☆ = 327<br>2☆ = 198<br>1☆ = 761
2017-01-18,4.18229,total number = 192<br>5☆ = 114<br>4☆ = 45<br>3☆ = 10<br>2☆ = 0<br>1☆ = 23,3.82025,total number = 192<br>5☆ = 788<br>4☆ = 281<br>3☆ = 79<br>2☆ = 52<br>1☆ = 291,4.01486,total number = 5520<br>5☆ = 3053<br>4☆ = 1197<br>3☆ = 325<br>2☆ = 189<br>1☆ = 756
2017-01-19,4.14525,total number = 179<br>5☆ = 111<br>4☆ = 33<br>3☆ = 7<br>2☆ = 6<br>1☆ = 22,3.92795,total number = 179<br>5☆ = 764<br>4☆ = 274<br>3☆ = 69<br>2☆ = 48<br>1☆ = 233,4.01529,total number = 5493<br>5☆ = 3054<br>4☆ = 1173<br>3☆ = 318<br>2☆ = 192<br>1☆ = 756
2017-01-20,3.99621,total number = 264<br>5☆ = 159<br>4☆ = 42<br>3☆ = 13<br>2☆ = 3<br>1☆ = 47,3.99108,total number = 264<br>5☆ = 826<br>4☆ = 288<br>3☆ = 74<br>2☆ = 42<br>1☆ = 227,4.01505,total number = 5583<br>5☆ = 3116<br>4☆ = 1179<br>3☆ = 321<br>2☆ = 190<br>1☆ = 777
2017-01-21,3.78776,total number = 245<br>5☆ = 133<br>4☆ = 40<br>3☆ = 11<br>2☆ = 9<br>1☆ = 52,3.97377,total number = 245<br>5☆ = 869<br>4☆ = 289<br>3☆ = 75<br>2☆ = 42<br>1☆ = 250,4.00141,total number = 5671<br>5☆ = 3157<br>4☆ = 1183<br>3☆ = 324<br>2☆ = 196<br>1☆ = 811
2017-01-22,3.45267,total number = 243<br>5☆ = 121<br>4☆ = 29<br>3☆ = 8<br>2☆ = 9<br>1☆ = 76,3.91465,total number = 243<br>5☆ = 890<br>4☆ = 277<br>3☆ = 70<br>2☆ = 45<br>1☆ = 288,3.97559,total number = 5735<br>5☆ = 3178<br>4☆ = 1172<br>3☆ = 319<br>2☆ = 199<br>1☆ = 867
2017-01-23,4.06207,total number = 290<br>5☆ = 169<br>4☆ = 59<br>3☆ = 15<br>2☆ = 5<br>1☆ = 42,3.93059,total number = 290<br>5☆ = 927<br>4☆ = 291<br>3☆ = 75<br>2☆ = 40<br>1☆ = 295,3.97843,total number = 5887<br>5☆ = 3267<br>4☆ = 1205<br>3☆ = 327<br>2☆ = 197<br>1☆ = 891
2017-01-24,3.97659,total number = 299<br>5☆ = 161<br>4☆ = 65<br>3☆ = 21<br>2☆ = 9<br>1☆ = 43,3.93341,total number = 299<br>5☆ = 968<br>4☆ = 313<br>3☆ = 85<br>2☆ = 41<br>1☆ = 305,3.97256,total number = 6013<br>5☆ = 3330<br>4☆ = 1228<br>3☆ = 335<br>2☆ = 200<br>1☆ = 920
2017-01-25,4.07458,total number = 295<br>5☆ = 179<br>4☆ = 51<br>3☆ = 16<br>2☆ = 6<br>1☆ = 43,3.93003,total number = 295<br>5☆ = 1033<br>4☆ = 319<br>3☆ = 91<br>2☆ = 47<br>1☆ = 325,3.97174,total number = 6157<br>5☆ = 3419<br>4☆ = 1244<br>3☆ = 343<br>2☆ = 203<br>1☆ = 948
2017-01-26,4.14847,total number = 229<br>5☆ = 138<br>4☆ = 46<br>3☆ = 12<br>2☆ = 7<br>1☆ = 26,3.93619,total number = 229<br>5☆ = 1060<br>4☆ = 332<br>3☆ = 96<br>2☆ = 48<br>1☆ = 329,3.97379,total number = 6220<br>5☆ = 3462<br>4☆ = 1254<br>3☆ = 342<br>2☆ = 203<br>1☆ = 959
2017-01-27,3.9272,total number = 261<br>5☆ = 148<br>4☆ = 48<br>3☆ = 10<br>2☆ = 8<br>1☆ = 47,3.92642,total number = 261<br>5☆ = 1049<br>4☆ = 338<br>3☆ = 93<br>2☆ = 53<br>1☆ = 329,3.97315,total number = 6332<br>5☆ = 3534<br>4☆ = 1268<br>3☆ = 342<br>2☆ = 202<br>1☆ = 986
2017-01-28,4.15271,total number = 203<br>5☆ = 134<br>4☆ = 27<br>3☆ = 10<br>2☆ = 3<br>1☆ = 29,3.97033,total number = 203<br>5☆ = 1050<br>4☆ = 325<br>3☆ = 92<br>2☆ = 47<br>1☆ = 306,3.97414,total number = 6342<br>5☆ = 3558<br>4☆ = 1251<br>3☆ = 340<br>2☆ = 197<br>1☆ = 996
2017-01-29,4.15385,total number = 273<br>5☆ = 160<br>4☆ = 59<br>3☆ = 18<br>2☆ = 8<br>1☆ = 28,4.06541,total number = 273<br>5☆ = 1089<br>4☆ = 355<br>3☆ = 102<br>2☆ = 46<br>1☆ = 258,3.97925,total number = 6459<br>5☆ = 3630<br>4☆ = 1278<br>3☆ = 346<br>2☆ = 197<br>1☆ = 1008
2017-01-30,4.11888,total number = 286<br>5☆ = 172<br>4☆ = 54<br>3☆ = 15<br>2☆ = 12<br>1☆ = 33,4.07421,total number = 286<br>5☆ = 1092<br>4☆ = 350<br>3☆ = 102<br>2☆ = 53<br>1☆ = 249,3.98216,total number = 6616<br>5☆ = 3729<br>4☆ = 1303<br>3☆ = 351<br>2☆ = 203<br>1☆ = 1030
2017-01-31,4.04016,total number = 249<br>5☆ = 141<br>4☆ = 54<br>3☆ = 10<br>2☆ = 11<br>1☆ = 33,4.08575,total number = 249<br>5☆ = 1072<br>4☆ = 339<br>3☆ = 91<br>2☆ = 55<br>1☆ = 239,3.97915,total number = 6668<br>5☆ = 3760<br>4☆ = 1302<br>3☆ = 355<br>2☆ = 209<br>1☆ = 1042
2017-02-01,4.05263,total number = 304<br>5☆ = 184<br>4☆ = 49<br>3☆ = 19<br>2☆ = 7<br>1☆ = 45,4.08199,total number = 304<br>5☆ = 1077<br>4☆ = 337<br>3☆ = 94<br>2☆ = 56<br>1☆ = 241,3.97846,total number = 6825<br>5☆ = 3861<br>4☆ = 1313<br>3☆ = 367<br>2☆ = 211<br>1☆ = 1073
2017-02-02,4.00735,total number = 272<br>5☆ = 164<br>4☆ = 45<br>3☆ = 10<br>2☆ = 7<br>1☆ = 46,4.06277,total number = 272<br>5☆ = 1103<br>4☆ = 336<br>3☆ = 92<br>2☆ = 56<br>1☆ = 261,3.97626,total number = 6949<br>5☆ = 3942<br>4☆ = 1320<br>3☆ = 370<br>2☆ = 214<br>1☆ = 1103
2017-02-03,3.72401,total number = 279<br>5☆ = 150<br>4☆ = 40<br>3☆ = 14<br>2☆ = 12<br>1☆ = 63,4.03108,total number = 279<br>5☆ = 1105<br>4☆ = 328<br>3☆ = 96<br>2☆ = 60<br>1☆ = 277,3.96221,total number = 7091<br>5☆ = 4007<br>4☆ = 1333<br>3☆ = 378<br>2☆ = 222<br>1☆ = 1151
2017-02-04,3.98964,total number = 193<br>5☆ = 114<br>4☆ = 31<br>3☆ = 9<br>2☆ = 10<br>1☆ = 29,4.01347,total number = 193<br>5☆ = 1085<br>4☆ = 332<br>3☆ = 95<br>2☆ = 67<br>1☆ = 277,3.9615,total number = 7143<br>5☆ = 4048<br>4☆ = 1328<br>3☆ = 378<br>2☆ = 222<br>1☆ = 1167
2017-02-05,4.25806,total number = 248<br>5☆ = 161<br>4☆ = 47<br>3☆ = 9<br>2☆ = 5<br>1☆ = 26,4.02567,total number = 248<br>5☆ = 1086<br>4☆ = 320<br>3☆ = 86<br>2☆ = 64<br>1☆ = 275,3.96192,total number = 7090<br>5☆ = 4031<br>4☆ = 1305<br>3☆ = 371<br>2☆ = 219<br>1☆ = 1164
2017-02-06,4.12857,total number = 350<br>5☆ = 212<br>4☆ = 73<br>3☆ = 10<br>2☆ = 8<br>1☆ = 47,4.03061,total number = 350<br>5☆ = 1126<br>4☆ = 339<br>3☆ = 81<br>2☆ = 60<br>1☆ = 289,3.96579,total number = 7249<br>5☆ = 4134<br>4☆ = 1333<br>3☆ = 372<br>2☆ = 220<br>1☆ = 1190
2017-02-07,4.24494,total number = 494<br>5☆ = 333<br>4☆ = 78<br>3☆ = 13<br>2☆ = 11<br>1☆ = 59,4.07897,total number = 494<br>5☆ = 1318<br>4☆ = 363<br>3☆ = 84<br>2☆ = 60<br>1☆ = 315,3.98208,total number = 7589<br>5☆ = 4380<br>4☆ = 1382<br>3☆ = 370<br>2☆ = 225<br>1☆ = 1232
2017-02-08,3.96429,total number = 364<br>5☆ = 205<br>4☆ = 71<br>3☆ = 18<br>2☆ = 10<br>1☆ = 60,4.06364,total number = 364<br>5☆ = 1339<br>4☆ = 385<br>3☆ = 83<br>2☆ = 63<br>1☆ = 330,3.98229,total number = 7793<br>5☆ = 4500<br>4☆ = 1420<br>3☆ = 375<br>2☆ = 231<br>1☆ = 1267
2017-02-09,4.18644,total number = 295<br>5☆ = 197<br>4☆ = 41<br>3☆ = 11<br>2☆ = 7<br>1☆ = 39,4.08682,total number = 295<br>5☆ = 1372<br>4☆ = 381<br>3☆ = 84<br>2☆ = 63<br>1☆ = 323,3.98257,total number = 7862<br>5☆ = 4555<br>4☆ = 1416<br>3☆ = 374<br>2☆ = 233<br>1☆ = 1284
2017-02-10,4.27815,total number = 755<br>5☆ = 488<br>4☆ = 146<br>3☆ = 33<br>2☆ = 19<br>1☆ = 69,4.17784,total number = 755<br>5☆ = 1710<br>4☆ = 487<br>3☆ = 103<br>2☆ = 70<br>1☆ = 329,4.0189,total number = 8361<br>5☆ = 4922<br>4☆ = 1509<br>3☆ = 391<br>2☆ = 244<br>1☆ = 1295
2017-02-11,4.20221,total number = 1355<br>5☆ = 823<br>4☆ = 305<br>3☆ = 48<br>2☆ = 36<br>1☆ = 143,4.1958,total number = 1355<br>5☆ = 2419<br>4☆ = 761<br>3☆ = 142<br>2☆ = 96<br>1☆ = 443,4.06084,total number = 9434<br>5☆ = 5610<br>4☆ = 1774<br>3☆ = 422<br>2☆ = 270<br>1☆ = 1358
2017-02-12,4.22735,total number = 1170<br>5☆ = 739<br>4☆ = 242<br>3☆ = 34<br>2☆ = 26<br>1☆ = 129,4.20029,total number = 1170<br>5☆ = 2997<br>4☆ = 956<br>3☆ = 167<br>2☆ = 117<br>1☆ = 546,4.08915,total number = 10409<br>5☆ = 6252<br>4☆ = 1988<br>3☆ = 448<br>2☆ = 287<br>1☆ = 1434
2017-02-13,4.23172,total number = 889<br>5☆ = 547<br>4☆ = 190<br>3☆ = 40<br>2☆ = 35<br>1☆ = 77,4.21026,total number = 889<br>5☆ = 3332<br>4☆ = 1073<br>3☆ = 197<br>2☆ = 144<br>1☆ = 576,4.10422,total number = 11121<br>5☆ = 6709<br>4☆ = 2139<br>3☆ = 478<br>2☆ = 313<br>1☆ = 1482
2017-02-14,4.22016,total number = 754<br>5☆ = 459<br>4☆ = 167<br>3☆ = 33<br>2☆ = 25<br>1☆ = 70,4.20853,total number = 754<br>5☆ = 3458<br>4☆ = 1162<br>3☆ = 217<br>2☆ = 158<br>1☆ = 587,4.11681,total number = 11677<br>5☆ = 7068<br>4☆ = 2265<br>3☆ = 498<br>2☆ = 332<br>1☆ = 1514
2017-02-15,4.20065,total number = 613<br>5☆ = 377<br>4☆ = 132<br>3☆ = 25<br>2☆ = 8<br>1☆ = 71,4.22295,total number = 613<br>5☆ = 3630<br>4☆ = 1223<br>3☆ = 224<br>2☆ = 156<br>1☆ = 598,4.12357,total number = 12058<br>5☆ = 7313<br>4☆ = 2352<br>3☆ = 513<br>2☆ = 330<br>1☆ = 1550
2017-02-16,4.15905,total number = 503<br>5☆ = 326<br>4☆ = 77<br>3☆ = 20<br>2☆ = 14<br>1☆ = 66,4.21941,total number = 503<br>5☆ = 3759<br>4☆ = 1259<br>3☆ = 233<br>2☆ = 163<br>1☆ = 625,4.12765,total number = 12346<br>5☆ = 7519<br>4☆ = 2386<br>3☆ = 522<br>2☆ = 336<br>1☆ = 1583
2017-02-17,4.06178,total number = 518<br>5☆ = 314<br>4☆ = 92<br>3☆ = 14<br>2☆ = 26<br>1☆ = 72,4.19769,total number = 518<br>5☆ = 3585<br>4☆ = 1205<br>3☆ = 214<br>2☆ = 170<br>1☆ = 628,4.12413,total number = 12672<br>5☆ = 7719<br>4☆ = 2433<br>3☆ = 526<br>2☆ = 362<br>1☆ = 1632
2017-02-18,4.26437,total number = 435<br>5☆ = 281<br>4☆ = 83<br>3☆ = 15<br>2☆ = 17<br>1☆ = 39,4.20238,total number = 435<br>5☆ = 3043<br>4☆ = 983<br>3☆ = 181<br>2☆ = 151<br>1☆ = 524,4.12856,total number = 12928<br>5☆ = 7889<br>4☆ = 2483<br>3☆ = 534<br>2☆ = 373<br>1☆ = 1649
2017-02-19,4.10304,total number = 427<br>5☆ = 262<br>4☆ = 79<br>3☆ = 13<br>2☆ = 14<br>1☆ = 59,4.18507,total number = 427<br>5☆ = 2566<br>4☆ = 820<br>3☆ = 160<br>2☆ = 139<br>1☆ = 454,4.13039,total number = 13091<br>5☆ = 7992<br>4☆ = 2520<br>3☆ = 534<br>2☆ = 384<br>1☆ = 1661
2017-02-20,4.19107,total number = 403<br>5☆ = 237<br>4☆ = 97<br>3☆ = 16<br>2☆ = 15<br>1☆ = 38,4.17438,total number = 403<br>5☆ = 2256<br>4☆ = 727<br>3☆ = 136<br>2☆ = 119<br>1☆ = 415,4.13858,total number = 13249<br>5☆ = 8096<br>4☆ = 2577<br>3☆ = 539<br>2☆ = 390<br>1☆ = 1647
2017-02-21,3.91279,total number = 344<br>5☆ = 195<br>4☆ = 61<br>3☆ = 14<br>2☆ = 11<br>1☆ = 63,4.13599,total number = 344<br>5☆ = 1992<br>4☆ = 621<br>3☆ = 117<br>2☆ = 105<br>1☆ = 408,4.14524,total number = 13350<br>5☆ = 8170<br>4☆ = 2609<br>3☆ = 545<br>2☆ = 392<br>1☆ = 1634
2017-02-22,3.4742,total number = 407<br>5☆ = 190<br>4☆ = 64<br>3☆ = 14<br>2☆ = 27<br>1☆ = 112,4.03424,total number = 407<br>5☆ = 1805<br>4☆ = 553<br>3☆ = 106<br>2☆ = 124<br>1☆ = 449,4.12675,total number = 13467<br>5☆ = 8191<br>4☆ = 2614<br>3☆ = 544<br>2☆ = 414<br>1☆ = 1704
2017-02-23,2.65017,total number = 606<br>5☆ = 160<br>4☆ = 74<br>3☆ = 33<br>2☆ = 72<br>1☆ = 267,3.74713,total number = 606<br>5☆ = 1639<br>4☆ = 550<br>3☆ = 119<br>2☆ = 182<br>1☆ = 650,4.06505,total number = 13774<br>5☆ = 8190<br>4☆ = 2623<br>3☆ = 556<br>2☆ = 477<br>1☆ = 1928
2017-02-24,2.7116,total number = 319<br>5☆ = 94<br>4☆ = 31<br>3☆ = 16<br>2☆ = 45<br>1☆ = 133,3.57939,total number = 319<br>5☆ = 1419<br>4☆ = 489<br>3☆ = 121<br>2☆ = 201<br>1☆ = 711,4.03356,total number = 13798<br>5☆ = 8105<br>4☆ = 2603<br>3☆ = 556<br>2☆ = 516<br>1☆ = 2018
2017-02-25,2.79779,total number = 272<br>5☆ = 89<br>4☆ = 20<br>3☆ = 18<br>2☆ = 37<br>1☆ = 108,3.39561,total number = 272<br>5☆ = 1227<br>4☆ = 426<br>3☆ = 124<br>2☆ = 221<br>1☆ = 780,4.00737,total number = 13841<br>5☆ = 8056<br>4☆ = 2577<br>3☆ = 562<br>2☆ = 546<br>1☆ = 2100
2017-02-26,2.93243,total number = 222<br>5☆ = 81<br>4☆ = 20<br>3☆ = 10<br>2☆ = 25<br>1☆ = 86,3.23824,total number = 222<br>5☆ = 1046<br>4☆ = 367<br>3☆ = 121<br>2☆ = 232<br>1☆ = 807,3.9916,total number = 13802<br>5☆ = 7989<br>4☆ = 2549<br>3☆ = 562<br>2☆ = 563<br>1☆ = 2139
2017-02-27,2.83796,total number = 216<br>5☆ = 77<br>4☆ = 14<br>3☆ = 11<br>2☆ = 25<br>1☆ = 89,3.04107,total number = 216<br>5☆ = 886<br>4☆ = 284<br>3☆ = 116<br>2☆ = 242<br>1☆ = 858,3.97119,total number = 13815<br>5☆ = 7932<br>4☆ = 2536<br>3☆ = 563<br>2☆ = 585<br>1☆ = 2199
2017-02-28,2.82667,total number = 150<br>5☆ = 49<br>4☆ = 15<br>3☆ = 10<br>2☆ = 13<br>1☆ = 63,2.8896,total number = 150<br>5☆ = 740<br>4☆ = 238<br>3☆ = 112<br>2☆ = 244<br>1☆ = 858,3.95501,total number = 13692<br>5☆ = 7821<br>4☆ = 2492<br>3☆ = 555<br>2☆ = 590<br>1☆ = 2234
2017-03-01,3.02632,total number = 152<br>5☆ = 53<br>4☆ = 19<br>3☆ = 13<br>2☆ = 13<br>1☆ = 54,2.77749,total number = 152<br>5☆ = 603<br>4☆ = 193<br>3☆ = 111<br>2☆ = 230<br>1☆ = 800,3.94114,total number = 13558<br>5☆ = 7702<br>4☆ = 2457<br>3☆ = 553<br>2☆ = 591<br>1☆ = 2255
2017-03-02,2.72327,total number = 159<br>5☆ = 50<br>4☆ = 12<br>3☆ = 8<br>2☆ = 22<br>1☆ = 67,2.82349,total number = 159<br>5☆ = 493<br>4☆ = 131<br>3☆ = 86<br>2☆ = 180<br>1☆ = 600,3.92493,total number = 13468<br>5☆ = 7611<br>4☆ = 2415<br>3☆ = 551<br>2☆ = 602<br>1☆ = 2289
2017-03-03,3.14865,total number = 74<br>5☆ = 28<br>4☆ = 9<br>3☆ = 5<br>2☆ = 10<br>1☆ = 22,2.87149,total number = 74<br>5☆ = 427<br>4☆ = 109<br>3☆ = 75<br>2☆ = 145<br>1☆ = 489,3.91766,total number = 13238<br>5☆ = 7455<br>4☆ = 2375<br>3☆ = 537<br>2☆ = 605<br>1☆ = 2266
2017-03-04,3.10309,total number = 97<br>5☆ = 39<br>4☆ = 8<br>3☆ = 4<br>2☆ = 16<br>1☆ = 30,2.91121,total number = 97<br>5☆ = 377<br>4☆ = 97<br>3☆ = 61<br>2☆ = 124<br>1☆ = 411,3.90975,total number = 13063<br>5☆ = 7330<br>4☆ = 2338<br>3☆ = 531<br>2☆ = 614<br>1☆ = 2250
2017-03-05,3.33333,total number = 81<br>5☆ = 33<br>4☆ = 13<br>3☆ = 6<br>2☆ = 6<br>1☆ = 23,2.94295,total number = 81<br>5☆ = 329<br>4☆ = 90<br>3☆ = 57<br>2☆ = 105<br>1☆ = 348,3.91014,total number = 12865<br>5☆ = 7213<br>4☆ = 2311<br>3☆ = 523<br>2☆ = 608<br>1☆ = 2210
2017-03-06,3.42222,total number = 90<br>5☆ = 42<br>4☆ = 11<br>3☆ = 6<br>2☆ = 5<br>1☆ = 26,3.02491,total number = 90<br>5☆ = 294<br>4☆ = 87<br>3☆ = 52<br>2☆ = 85<br>1☆ = 285,3.9055,total number = 12762<br>5☆ = 7141<br>4☆ = 2291<br>3☆ = 520<br>2☆ = 603<br>1☆ = 2207
2017-03-07,3.2375,total number = 80<br>5☆ = 29<br>4☆ = 14<br>3☆ = 6<br>2☆ = 9<br>1☆ = 22,3.08868,total number = 80<br>5☆ = 274<br>4☆ = 86<br>3☆ = 48<br>2☆ = 81<br>1☆ = 244,3.89431,total number = 12594<br>5☆ = 7009<br>4☆ = 2258<br>3☆ = 517<br>2☆ = 607<br>1☆ = 2203
2017-03-08,2.98667,total number = 75<br>5☆ = 26<br>4☆ = 10<br>3☆ = 3<br>2☆ = 9<br>1☆ = 27,3.09146,total number = 75<br>5☆ = 247<br>4☆ = 77<br>3☆ = 38<br>2☆ = 77<br>1☆ = 217,3.88213,total number = 12319<br>5☆ = 6823<br>4☆ = 2195<br>3☆ = 510<br>2☆ = 608<br>1☆ = 2183
2017-03-09,3.03448,total number = 58<br>5☆ = 20<br>4☆ = 8<br>3☆ = 3<br>2☆ = 8<br>1☆ = 19,3.19099,total number = 58<br>5☆ = 217<br>4☆ = 73<br>3☆ = 33<br>2☆ = 63<br>1☆ = 169,3.86291,total number = 11883<br>5☆ = 6510<br>4☆ = 2125<br>3☆ = 500<br>2☆ = 605<br>1☆ = 2143
2017-03-10,3.33333,total number = 66<br>5☆ = 23<br>4☆ = 16<br>3☆ = 7<br>2☆ = 0<br>1☆ = 20,3.21389,total number = 66<br>5☆ = 212<br>4☆ = 80<br>3☆ = 35<br>2☆ = 53<br>1☆ = 167,3.85671,total number = 11585<br>5☆ = 6328<br>4☆ = 2070<br>3☆ = 489<br>2☆ = 595<br>1☆ = 2103
2017-03-11,3.48837,total number = 43<br>5☆ = 19<br>4☆ = 8<br>3☆ = 1<br>2☆ = 5<br>1☆ = 10,3.25963,total number = 43<br>5☆ = 192<br>4☆ = 80<br>3☆ = 32<br>2☆ = 42<br>1☆ = 147,3.84673,total number = 11333<br>5☆ = 6150<br>4☆ = 2037<br>3☆ = 479<br>2☆ = 593<br>1☆ = 2074
