"R2P2, x; Fees Due, x; Issued, x; Expire Pending, x; Under Inspection, x","R2P2, y","Fees Due, y","Issued, y","Approved to Issue, x","Approved to Issue, y","Admin Hold, x","Admin Hold, y","Expire Pending, y","Under Inspection, y"
2015 February,300,11,440,,,,,1,2228
2015 March,300,11,440,,,,,1,2231
2015 April,300,11,440,,,,,1,2238
2015 May,301,11,440,,,,,1,2250
2015 June,301,11,441,,,,,1,2261
2015 July,301,11,441,,,,,1,2274
2015 August,301,11,441,,,,,1,2284
2015 September,301,11,441,,,,,1,2297
2015 October,301,11,441,,,,,1,2317
2015 November,301,11,441,,,,,1,2328
2015 December,302,11,441,,,,,1,2335
2016 January,301,11,446,,,,,1,2354
2016 February,301,11,448,,,,,1,2369
2016 March,301,11,448,,,,,1,2394
2016 April,301,11,448,,,,,1,2425
2016 May,301,11,448,,,,,1,2462
2016 June,301,11,450,,,,,1,2497
2016 July,301,12,452,,,,,1,2530
2016 August,301,12,455,,,,,1,2568
2016 September,301,13,458,,,,,1,2604
2016 October,301,13,464,,,,,1,2656
2016 November,301,13,466,,,,,1,2701
2016 December,301,14,471,,,,,1,2762
2017 January,301,13,478,,,,,1,2821
2017 February,301,13,482,,,,,1,2907
2017 March,301,14,491,,,,,1,3043
2017 April,301,13,502,,,,,1,3187
2017 May,301,13,521,,,,,1,3381
2017 June,301,13,551,,,,,1,3605
2017 July,301,13,596,,,,,1,3841
2017 August,301,13,656,,,,,1,4145
2017 September,301,13,733,,,,,1,4381
2017 October,301,13,830,,,,,1,4617
2017 November,301,14,960,,,,,1,4832
2017 December,301,14,1192,,,,,1,4994
2018 January,301,14,1340,,,,,1,5019
