"Following, x","Following, y","Followers, x","Followers, y"
2017-12-16 12:00:05.710331,1520,2017-12-16 12:00:05.712810,1681
2017-12-16 18:00:05.761183,1543,2017-12-16 18:00:05.765005,1683
2017-12-17 00:00:05.545832,1913,2017-12-17 00:00:05.548375,1685
2017-12-17 06:00:05.146131,2049,2017-12-17 06:00:05.148929,1688
2017-12-17 12:00:05.172786,2049,2017-12-17 12:00:05.175507,1690
2017-12-17 18:00:05.085742,2051,2017-12-17 18:00:05.088349,1693
2017-12-18 00:00:05.356570,2097,2017-12-18 00:00:05.359284,1698
2017-12-18 06:00:05.444160,2097,2017-12-18 06:00:05.446868,1700
2017-12-18 12:00:05.664197,2097,2017-12-18 12:00:05.666984,1699
2017-12-18 18:00:05.491071,2097,2017-12-18 18:00:05.493818,1692
2017-12-19 00:00:06.853498,2099,2017-12-19 00:00:06.858702,1695
2017-12-19 06:00:05.346082,2157,2017-12-19 06:00:05.349304,1701
2017-12-19 12:00:05.820867,2158,2017-12-19 12:00:05.823914,1707
2017-12-19 18:00:05.194264,2159,2017-12-19 18:00:05.197475,1710
2017-12-20 00:00:05.695260,2159,2017-12-20 00:00:05.698338,1710
2017-12-20 06:00:06.045519,2158,2017-12-20 06:00:06.051237,1710
2017-12-20 12:00:05.503760,2158,2017-12-20 12:00:05.506744,1712
2017-12-20 18:00:05.838885,2159,2017-12-20 18:00:05.841834,1713
2017-12-21 00:00:05.611716,2159,2017-12-21 00:00:05.614692,1715
2017-12-21 06:00:04.963934,2160,2017-12-21 06:00:04.966794,1716
2017-12-21 12:00:05.742865,2160,2017-12-21 12:00:05.746038,1716
2017-12-21 18:00:05.796910,2161,2017-12-21 18:00:05.799933,1717
2017-12-22 00:00:05.573024,2160,2017-12-22 00:00:05.578605,1718
2017-12-22 06:00:06.315014,2160,2017-12-22 06:00:06.321044,1718
2017-12-22 12:00:05.754417,2160,2017-12-22 12:00:05.782612,1716
2017-12-22 18:00:05.572576,2160,2017-12-22 18:00:05.575569,1717
2017-12-23 00:00:05.693010,2160,2017-12-23 00:00:05.696255,1723
2017-12-23 06:00:05.740579,2160,2017-12-23 06:00:05.746972,1732
2017-12-23 12:00:05.699674,2160,2017-12-23 12:00:05.702858,1734
2017-12-23 18:00:05.894422,2160,2017-12-23 18:00:05.897582,1737
2017-12-24 00:00:05.175317,2159,2017-12-24 00:00:05.178718,1736
2017-12-24 06:00:05.421611,2159,2017-12-24 06:00:05.425064,1735
2017-12-24 12:00:05.799240,2159,2017-12-24 12:00:05.802489,1736
2017-12-24 18:00:05.256400,2159,2017-12-24 18:00:05.259805,1737
2017-12-25 00:00:05.880354,2159,2017-12-25 00:00:05.883577,1738
2017-12-25 06:00:07.248770,2159,2017-12-25 06:00:07.265899,1739
2017-12-25 12:00:06.320960,2158,2017-12-25 12:00:06.324585,1739
2017-12-25 18:00:05.077994,2159,2017-12-25 18:00:05.082274,1740
2017-12-26 00:00:05.383861,2159,2017-12-26 00:00:05.387541,1738
2017-12-26 06:00:05.697398,2160,2017-12-26 06:00:05.701241,1738
2017-12-26 12:00:06.100590,2160,2017-12-26 12:00:06.104242,1737
2017-12-26 18:00:05.850904,2159,2017-12-26 18:00:05.854875,1736
2017-12-27 00:00:05.049671,2159,2017-12-27 00:00:05.053271,1743
2017-12-27 06:00:06.807387,2160,2017-12-27 06:00:06.811488,1742
2017-12-27 12:00:05.790157,2160,2017-12-27 12:00:05.794082,1743
2017-12-27 18:00:05.257396,2160,2017-12-27 18:00:05.261203,1744
2017-12-28 00:00:05.596810,2160,2017-12-28 00:00:05.600493,1742
2017-12-28 06:00:06.665675,2160,2017-12-28 06:00:06.695787,1744
2017-12-28 12:00:05.810977,2160,2017-12-28 12:00:05.814678,1742
2017-12-28 18:00:05.739127,2160,2017-12-28 18:00:05.742933,1746
2017-12-29 00:00:05.321937,2160,2017-12-29 00:00:05.325686,1746
2017-12-29 06:00:05.275608,2160,2017-12-29 06:00:05.279453,1745
2017-12-29 12:00:05.465153,2160,2017-12-29 12:00:05.468932,1745
2017-12-29 18:00:05.763813,2160,2017-12-29 18:00:05.767810,1745
2017-12-30 00:00:05.950143,2160,2017-12-30 00:00:05.954118,1747
2017-12-30 06:00:05.645474,2160,2017-12-30 06:00:05.649885,1747
2017-12-30 12:00:05.689075,2160,2017-12-30 12:00:05.693563,1747
2017-12-30 18:00:05.929130,2159,2017-12-30 18:00:05.933094,1745
2017-12-31 00:00:05.639167,2160,2017-12-31 00:00:05.643197,1745
2017-12-31 06:00:05.578335,2161,2017-12-31 06:00:05.582437,1745
2017-12-31 12:00:05.126390,2162,2017-12-31 12:00:05.130429,1746
2017-12-31 18:00:05.867996,2161,2017-12-31 18:00:05.872188,1745
2018-01-01 00:00:06.272399,2161,2018-01-01 00:00:06.276513,1746
2018-01-01 06:00:05.679188,2162,2018-01-01 06:00:05.683347,1746
2018-01-01 12:00:05.375004,2163,2018-01-01 12:00:05.379089,1744
2018-01-01 18:00:05.244663,2162,2018-01-01 18:00:05.248987,1744
2018-01-02 00:00:05.373386,2162,2018-01-02 00:00:05.377594,1744
2018-01-02 06:00:05.886611,2163,2018-01-02 06:00:05.890913,1742
2018-01-02 12:00:05.002676,2163,2018-01-02 12:00:05.007095,1742
2018-01-02 18:00:05.575720,2163,2018-01-02 18:00:05.579940,1741
2018-01-03 00:00:05.924566,2163,2018-01-03 00:00:05.928764,1740
2018-01-03 06:00:05.342592,2163,2018-01-03 06:00:05.347286,1742
2018-01-03 12:00:05.597979,2163,2018-01-03 12:00:05.602989,1742
2018-01-03 18:00:05.874800,2163,2018-01-03 18:00:05.879370,1741
2018-01-04 00:00:13.588225,2163,2018-01-04 00:00:13.638709,1743
2018-01-04 06:53:10.216613,2163,2018-01-04 06:53:10.224264,1741
2018-01-04 12:00:05.827053,2163,2018-01-04 12:00:05.832096,1738
2018-01-04 18:00:05.874349,2162,2018-01-04 18:00:05.900948,1737
2018-01-05 00:00:05.120198,2162,2018-01-05 00:00:05.148586,1737
2018-01-05 06:00:05.738261,2162,2018-01-05 06:00:05.743064,1735
2018-01-05 12:00:05.566827,2162,2018-01-05 12:00:05.575490,1735
2018-01-05 18:00:05.688930,2162,2018-01-05 18:00:05.699792,1734
2018-01-06 00:00:09.801690,2162,2018-01-06 00:00:09.810366,1733
2018-01-06 06:00:08.126943,2162,2018-01-06 06:00:08.133664,1736
2018-01-06 12:00:05.642079,2162,2018-01-06 12:00:05.652809,1736
2018-01-06 18:00:06.256040,2162,2018-01-06 18:00:06.339001,1736
2018-01-07 00:00:05.384950,2162,2018-01-07 00:00:05.394382,1734
2018-01-07 06:00:05.106861,2163,2018-01-07 06:00:05.115691,1735
2018-01-07 12:00:05.592871,2163,2018-01-07 12:00:05.601033,1736
2018-01-07 18:00:05.200219,2164,2018-01-07 18:00:05.204846,1736
2018-01-08 00:00:06.190749,2164,2018-01-08 00:00:06.200110,1734
2018-01-08 06:00:05.931143,2164,2018-01-08 06:00:05.938136,1734
2018-01-08 12:00:05.956203,2164,2018-01-08 12:00:05.960918,1734
2018-01-08 18:00:05.191496,2164,2018-01-08 18:00:05.196360,1733
2018-01-09 00:00:08.526876,2164,2018-01-09 00:00:08.549122,1732
2018-01-09 06:00:06.482876,2164,2018-01-09 06:00:06.490854,1732
2018-01-09 12:00:06.100586,2164,2018-01-09 12:00:06.107688,1732
2018-01-09 18:00:05.826992,2164,2018-01-09 18:00:05.834009,1728
2018-01-10 00:00:05.988824,2164,2018-01-10 00:00:06.008874,1730
2018-01-10 06:00:05.983799,2165,2018-01-10 06:00:05.998111,1731
2018-01-10 12:00:05.710157,2165,2018-01-10 12:00:05.717300,1730
2018-01-10 18:00:06.186158,2165,2018-01-10 18:00:06.208181,1729
2018-01-11 00:00:06.450879,2164,2018-01-11 00:00:06.458246,1726
2018-01-11 06:00:06.911608,2165,2018-01-11 06:00:06.937255,1726
2018-01-11 12:00:06.032650,2165,2018-01-11 12:00:06.041243,1726
2018-01-11 18:00:05.528555,2164,2018-01-11 18:00:05.537052,1725
2018-01-12 00:00:06.233161,2162,2018-01-12 00:00:06.245938,1722
2018-01-12 06:00:07.979354,2162,2018-01-12 06:00:07.987994,1723
2018-01-12 12:00:06.784979,2162,2018-01-12 12:00:06.796840,1723
2018-01-12 18:00:05.446837,2162,2018-01-12 18:00:05.493458,1723
