"Balance in $, x; Funds in $, x; Funds in Ƀ, x; Ƀ value in $, x; Trace 7, x; Trace 8, x","Balance in $, y","Funds in $, y","Funds in Ƀ, y","Ƀ value in $, y","RSI-14 below 30, x","RSI-14 below 30, y","RSI-14 above 70, x","RSI-14 above 70, y","RSI-14 value, x","RSI-14 value, y","Trace 7, y","Trace 8, y"
2017-11-30T08:00:00+00:00,9999.01,9999.01,0,10226,2017-12-30T12:00:00+00:00,12743.91,2017-12-06T11:00:00+00:00,12580,2017-11-30T23:00:00+00:00,47.1908150116,70,30
2017-11-30T09:00:00+00:00,9999.01,9999.01,0,10160,2017-12-30T13:00:00+00:00,12758.36,2017-12-06T12:00:00+00:00,12699.96,2017-12-01T00:00:00+00:00,56.7443221951,70,30
2017-11-30T10:00:00+00:00,9999.01,9999.01,0,9482,2017-12-30T14:00:00+00:00,12729.65,2017-12-06T13:00:00+00:00,12625.5,2017-12-01T01:00:00+00:00,52.2662442698,70,30
2017-11-30T11:00:00+00:00,9999.01,9999.01,0,9708,,,2017-12-06T14:00:00+00:00,12775,2017-12-01T02:00:00+00:00,49.9077308841,70,30
2017-11-30T12:00:00+00:00,9999.01,9999.01,0,9850.23,,,2017-12-06T19:00:00+00:00,13120,2017-12-01T03:00:00+00:00,63.2990887976,70,30
2017-11-30T13:00:00+00:00,9999.01,9999.01,0,9150.12,,,2017-12-06T20:00:00+00:00,13190,2017-12-01T04:00:00+00:00,60.0216031062,70,30
2017-11-30T14:00:00+00:00,9999.01,9999.01,0,9461,,,2017-12-06T21:00:00+00:00,13198,2017-12-01T05:00:00+00:00,57.964749388,70,30
2017-11-30T15:00:00+00:00,9999.01,9999.01,0,9249.99,,,2017-12-06T22:00:00+00:00,13695.71,2017-12-01T06:00:00+00:00,53.5727202957,70,30
2017-11-30T16:00:00+00:00,9999.01,9999.01,0,9269,,,2017-12-06T23:00:00+00:00,13623.5,2017-12-01T07:00:00+00:00,49.871653832,70,30
2017-11-30T17:00:00+00:00,9924.5173755,4999.505,0.5129152651,9602,,,2017-12-07T00:00:00+00:00,13898,2017-12-01T08:00:00+00:00,54.1556874752,70,30
2017-11-30T18:00:00+00:00,9943.5824359038,4999.505,0.5129152651,9639.17,,,2017-12-07T01:00:00+00:00,13990,2017-12-01T09:00:00+00:00,54.3459780185,70,30
2017-11-30T19:00:00+00:00,10059.0345329254,4999.505,0.5129152651,9864.26,,,2017-12-07T03:00:00+00:00,13650,2017-12-01T10:00:00+00:00,58.154451659,70,30
2017-11-30T20:00:00+00:00,9850.4575403721,4999.505,0.5129152651,9457.61,,,2017-12-07T04:00:00+00:00,13999,2017-12-01T11:00:00+00:00,57.0958823277,70,30
2017-11-30T21:00:00+00:00,9975.6396399726,4999.505,0.5129152651,9701.67,,,2017-12-07T05:00:00+00:00,14019.96,2017-12-01T12:00:00+00:00,57.2687245548,70,30
2017-11-30T22:00:00+00:00,10051.3459331015,4999.505,0.5129152651,9849.27,,,2017-12-07T06:00:00+00:00,13990,2017-12-01T13:00:00+00:00,64.1977857903,70,30
2017-11-30T23:00:00+00:00,10101.8167951875,4999.505,0.5129152651,9947.67,,,2017-12-07T07:00:00+00:00,14183.81,2017-12-01T14:00:00+00:00,64.1282660521,70,30
2017-12-01T00:00:00+00:00,10080.4128411748,4999.505,0.5129152651,9905.94,,,2017-12-07T08:00:00+00:00,14463.74,2017-12-01T15:00:00+00:00,64.1886097259,70,30
2017-12-01T01:00:00+00:00,10048.1607293053,4999.505,0.5129152651,9843.06,,,2017-12-07T09:00:00+00:00,14618.02,2017-12-01T16:00:00+00:00,65.4326097621,70,30
2017-12-01T02:00:00+00:00,10049.1506557669,4999.505,0.5129152651,9844.99,,,2017-12-07T10:00:00+00:00,14849.4,2017-12-01T17:00:00+00:00,62.9951591003,70,30
2017-12-01T03:00:00+00:00,9998.1720075685,4999.505,0.5129152651,9745.6,,,2017-12-07T15:00:00+00:00,15695,2017-12-01T18:00:00+00:00,61.6488853199,70,30
2017-12-01T04:00:00+00:00,10063.4866374265,4999.505,0.5129152651,9872.94,,,2017-12-08T01:00:00+00:00,16626.13,2017-12-01T19:00:00+00:00,70.0306371272,70,30
2017-12-01T05:00:00+00:00,9917.8494770537,4999.505,0.5129152651,9589,,,2017-12-10T17:00:00+00:00,14910.2,2017-12-01T20:00:00+00:00,77.2386818252,70,30
2017-12-01T06:00:00+00:00,9836.8088651677,4999.505,0.5129152651,9431,,,2017-12-10T19:00:00+00:00,15185,2017-12-01T21:00:00+00:00,76.9034728369,70,30
2017-12-01T07:00:00+00:00,9921.7527622211,4999.505,0.5129152651,9596.61,,,2017-12-10T20:00:00+00:00,15025,2017-12-01T22:00:00+00:00,71.5634249286,70,30
2017-12-01T08:00:00+00:00,10041.462055943,4999.505,0.5129152651,9830,,,2017-12-11T01:00:00+00:00,15444,2017-12-01T23:00:00+00:00,68.6959874684,70,30
2017-12-01T09:00:00+00:00,10161.8227520516,4999.505,0.5129152651,10064.66,,,2017-12-11T02:00:00+00:00,15749.71,2017-12-02T00:00:00+00:00,79.0102598268,70,30
2017-12-01T10:00:00+00:00,10030.6908353759,4999.505,0.5129152651,9809,,,2017-12-11T06:00:00+00:00,16362.61,2017-12-02T01:00:00+00:00,78.3940660763,70,30
2017-12-01T11:00:00+00:00,10128.6063594837,4999.505,0.5129152651,9999.9,,,2017-12-11T07:00:00+00:00,16400,2017-12-02T02:00:00+00:00,76.4392674887,70,30
2017-12-01T12:00:00+00:00,10208.672432366,4999.505,0.5129152651,10156,,,2017-12-11T10:00:00+00:00,16529.29,2017-12-02T03:00:00+00:00,60.2009979619,70,30
2017-12-01T13:00:00+00:00,10468.5922429559,4999.505,0.5129152651,10662.75,,,2017-12-11T11:00:00+00:00,16304.37,2017-12-02T04:00:00+00:00,58.6065604926,70,30
2017-12-01T14:00:00+00:00,10445.7880302695,4999.505,0.5129152651,10618.29,,,2017-12-11T12:00:00+00:00,16370,2017-12-02T05:00:00+00:00,63.6969142377,70,30
2017-12-01T15:00:00+00:00,10414.7515275783,4999.505,0.5129152651,10557.78,,,2017-12-11T13:00:00+00:00,16190,2017-12-02T06:00:00+00:00,56.6910668395,70,30
2017-12-01T16:00:00+00:00,10462.2320936687,4999.505,0.5129152651,10650.35,,,2017-12-11T14:00:00+00:00,16129.99,2017-12-02T07:00:00+00:00,69.8650794284,70,30
2017-12-01T17:00:00+00:00,10359.4695203057,4999.505,0.5129152651,10450,,,2017-12-11T15:00:00+00:00,16296.76,2017-12-02T08:00:00+00:00,69.3587642582,70,30
2017-12-01T18:00:00+00:00,10375.9853918419,4999.505,0.5129152651,10482.2,,,2017-12-11T19:00:00+00:00,16881.02,2017-12-02T09:00:00+00:00,72.073850613,70,30
2017-12-01T19:00:00+00:00,10410.8072091896,4999.505,0.5129152651,10550.09,,,2017-12-12T16:00:00+00:00,17110.97,2017-12-02T10:00:00+00:00,63.4899170033,70,30
2017-12-01T20:00:00+00:00,10525.4796750083,4999.505,0.5129152651,10773.66,,,2017-12-12T17:00:00+00:00,17169.59,2017-12-02T11:00:00+00:00,51.9002355457,70,30
2017-12-01T21:00:00+00:00,10592.076593029,4999.505,0.5129152651,10903.5,,,2017-12-12T18:00:00+00:00,17254.45,2017-12-02T12:00:00+00:00,61.3086590294,70,30
2017-12-01T22:00:00+00:00,10505.3571115566,7731.7678155229,0.2564576326,10815,,,2017-12-12T19:00:00+00:00,17259,2017-12-02T13:00:00+00:00,56.9671912307,70,30
2017-12-01T23:00:00+00:00,10511.883958305,7731.7678155229,0.2564576326,10840.45,,,2017-12-15T04:00:00+00:00,17155.3,2017-12-02T14:00:00+00:00,49.469183978,70,30
2017-12-02T00:00:00+00:00,10526.5430765816,7731.7678155229,0.2564576326,10897.61,,,2017-12-15T05:00:00+00:00,17150,2017-12-02T15:00:00+00:00,39.370780429,70,30
2017-12-02T01:00:00+00:00,10561.7777907177,7731.7678155229,0.2564576326,11035,,,2017-12-15T06:00:00+00:00,17150,2017-12-02T16:00:00+00:00,42.4756493506,70,30
2017-12-02T02:00:00+00:00,10541.8239635655,9126.1945016328,0.1282288163,11039.87,,,2017-12-15T08:00:00+00:00,17170,2017-12-02T17:00:00+00:00,48.764071589,70,30
2017-12-02T03:00:00+00:00,10526.9686552,9126.1945016328,0.1282288163,10924.02,,,2017-12-15T09:00:00+00:00,17450.11,2017-12-02T18:00:00+00:00,52.023984713,70,30
2017-12-02T04:00:00+00:00,10516.8001100693,9126.1945016328,0.1282288163,10844.72,,,2017-12-15T10:00:00+00:00,17556.25,2017-12-02T19:00:00+00:00,48.6534318252,70,30
2017-12-02T05:00:00+00:00,10526.8378618074,9126.1945016328,0.1282288163,10923,,,2017-12-15T11:00:00+00:00,17853.12,2017-12-02T20:00:00+00:00,54.7759545598,70,30
2017-12-02T06:00:00+00:00,10514.7792239248,9126.1945016328,0.1282288163,10828.96,,,2017-12-15T12:00:00+00:00,17790.96,2017-12-02T21:00:00+00:00,53.5283769871,70,30
2017-12-02T07:00:00+00:00,10530.0371707734,9126.1945016328,0.1282288163,10947.95,,,2017-12-15T13:00:00+00:00,17800,2017-12-02T22:00:00+00:00,49.6047340173,70,30
2017-12-02T08:00:00+00:00,10531.5105198724,9126.1945016328,0.1282288163,10959.44,,,2017-12-16T11:00:00+00:00,17985,2017-12-02T23:00:00+00:00,38.509207834,70,30
2017-12-02T09:00:00+00:00,10555.5829155518,9126.1945016328,0.1282288163,11147.17,,,2017-12-16T12:00:00+00:00,18010.88,2017-12-03T00:00:00+00:00,41.5100003431,70,30
2017-12-02T10:00:00+00:00,10548.6213731162,9126.1945016328,0.1282288163,11092.88,,,2017-12-16T13:00:00+00:00,18362,2017-12-03T01:00:00+00:00,49.5896647992,70,30
2017-12-02T11:00:00+00:00,10530.1718110305,9126.1945016328,0.1282288163,10949,,,2017-12-16T14:00:00+00:00,18498.9,2017-12-03T02:00:00+00:00,41.4470391086,70,30
2017-12-02T12:00:00+00:00,10549.5202571183,9126.1945016328,0.1282288163,11099.89,,,2017-12-16T15:00:00+00:00,18799.99,2017-12-03T03:00:00+00:00,48.6577928149,70,30
2017-12-02T13:00:00+00:00,10539.6761308928,9126.1945016328,0.1282288163,11023.12,,,2017-12-16T16:00:00+00:00,18769.99,2017-12-03T04:00:00+00:00,63.4126604208,70,30
2017-12-02T14:00:00+00:00,10521.6843456813,9126.1945016328,0.1282288163,10882.81,,,2017-12-16T17:00:00+00:00,18796.33,2017-12-03T05:00:00+00:00,70.4667215503,70,30
2017-12-02T15:00:00+00:00,10502.9629385051,9126.1945016328,0.1282288163,10736.81,,,2017-12-16T18:00:00+00:00,18727.47,2017-12-03T06:00:00+00:00,69.6289253292,70,30
2017-12-02T16:00:00+00:00,10513.2956165205,9126.1945016328,0.1282288163,10817.39,,,2017-12-16T19:00:00+00:00,19170,2017-12-03T07:00:00+00:00,68.6003608844,70,30
2017-12-02T17:00:00+00:00,10522.4242259512,9126.1945016328,0.1282288163,10888.58,,,2017-12-16T20:00:00+00:00,19112.38,2017-12-03T08:00:00+00:00,65.6027294403,70,30
2017-12-02T18:00:00+00:00,10523.8898813212,9126.1945016328,0.1282288163,10900.01,,,2017-12-16T21:00:00+00:00,19100.07,2017-12-03T09:00:00+00:00,62.7200826176,70,30
2017-12-02T19:00:00+00:00,10522.3498532377,9126.1945016328,0.1282288163,10888,,,2017-12-16T22:00:00+00:00,19180.03,2017-12-03T10:00:00+00:00,60.0542488158,70,30
2017-12-02T20:00:00+00:00,10530.3051689994,9126.1945016328,0.1282288163,10950.04,,,2017-12-16T23:00:00+00:00,19187.78,2017-12-03T11:00:00+00:00,74.065150347,70,30
2017-12-02T21:00:00+00:00,10541.1994892302,9126.1945016328,0.1282288163,11035,,,2017-12-17T00:00:00+00:00,19078.42,2017-12-03T12:00:00+00:00,80.4023803306,70,30
2017-12-02T22:00:00+00:00,10530.1846339122,9126.1945016328,0.1282288163,10949.1,,,2017-12-17T01:00:00+00:00,18988.33,2017-12-03T13:00:00+00:00,87.2634824575,70,30
2017-12-02T23:00:00+00:00,10520.2981921773,9126.1945016328,0.1282288163,10872,,,2017-12-17T02:00:00+00:00,19074.53,2017-12-03T14:00:00+00:00,82.8957190311,70,30
2017-12-03T00:00:00+00:00,10523.23463207,9126.1945016328,0.1282288163,10894.9,,,2017-12-17T03:00:00+00:00,19064.21,2017-12-03T15:00:00+00:00,84.3405091406,70,30
2017-12-03T01:00:00+00:00,10529.0485266,9126.1945016328,0.1282288163,10940.24,,,2017-12-17T06:00:00+00:00,19335,2017-12-03T16:00:00+00:00,79.2436433859,70,30
2017-12-03T02:00:00+00:00,10529.3626871998,9126.1945016328,0.1282288163,10942.69,,,2017-12-17T07:00:00+00:00,19462.97,2017-12-03T17:00:00+00:00,77.824341427,70,30
2017-12-03T03:00:00+00:00,10536.5832518443,9126.1945016328,0.1282288163,10999,,,2017-12-23T03:00:00+00:00,14802.76,2017-12-03T18:00:00+00:00,76.7093020185,70,30
2017-12-03T04:00:00+00:00,10551.8642798798,9126.1945016328,0.1282288163,11118.17,,,2017-12-23T14:00:00+00:00,15583.02,2017-12-03T19:00:00+00:00,80.8493069344,70,30
2017-12-03T05:00:00+00:00,10533.8395398624,9824.7341858603,0.0641144081,11060,,,2017-12-26T04:00:00+00:00,14955.64,2017-12-03T20:00:00+00:00,56.3131488129,70,30
2017-12-03T06:00:00+00:00,10537.6094670609,9824.7341858603,0.0641144081,11118.8,,,2017-12-26T05:00:00+00:00,15149.85,2017-12-03T21:00:00+00:00,43.6051604683,70,30
2017-12-03T07:00:00+00:00,10540.5612944116,9824.7341858603,0.0641144081,11164.84,,,2017-12-26T06:00:00+00:00,15560.74,2017-12-03T22:00:00+00:00,49.7648494202,70,30
2017-12-03T08:00:00+00:00,10538.7699378482,9824.7341858603,0.0641144081,11136.9,,,2017-12-26T07:00:00+00:00,15500,2017-12-03T23:00:00+00:00,54.0137672216,70,30
2017-12-03T09:00:00+00:00,10535.7629721066,9824.7341858603,0.0641144081,11090,,,2017-12-26T10:00:00+00:00,15080,2017-12-04T00:00:00+00:00,54.3559021553,70,30
2017-12-03T10:00:00+00:00,10536.3432075002,9824.7341858603,0.0641144081,11099.05,,,2017-12-26T11:00:00+00:00,14995,2017-12-04T01:00:00+00:00,43.8307390612,70,30
2017-12-03T11:00:00+00:00,10567.4572886253,9824.7341858603,0.0641144081,11584.34,,,2017-12-26T12:00:00+00:00,15199.74,2017-12-04T02:00:00+00:00,40.2269991996,70,30
2017-12-03T12:00:00+00:00,10568.5254346649,9824.7341858603,0.0641144081,11601,,,2017-12-26T13:00:00+00:00,15257.49,2017-12-04T03:00:00+00:00,42.6503494572,70,30
2017-12-03T13:00:00+00:00,10571.6862749861,9824.7341858603,0.0641144081,11650.3,,,2017-12-26T14:00:00+00:00,15910.42,2017-12-04T04:00:00+00:00,47.1563854261,70,30
2017-12-03T14:00:00+00:00,10568.4613202568,9824.7341858603,0.0641144081,11600,,,2017-12-26T15:00:00+00:00,15763.03,2017-12-04T05:00:00+00:00,41.564519221,70,30
2017-12-03T15:00:00+00:00,10577.7079001984,9824.7341858603,0.0641144081,11744.22,,,2017-12-26T16:00:00+00:00,16097.53,2017-12-04T06:00:00+00:00,43.262244862,70,30
2017-12-03T16:00:00+00:00,10572.9217596309,9824.7341858603,0.0641144081,11669.57,,,,,2017-12-04T07:00:00+00:00,47.7995661652,70,30
2017-12-03T17:00:00+00:00,10572.497322249,9824.7341858603,0.0641144081,11662.95,,,,,2017-12-04T08:00:00+00:00,45.0383320198,70,30
2017-12-03T18:00:00+00:00,10576.475621274,9824.7341858603,0.0641144081,11725,,,,,2017-12-04T09:00:00+00:00,41.3896148625,70,30
2017-12-03T19:00:00+00:00,10576.475621274,9824.7341858603,0.0641144081,11725,,,,,2017-12-04T10:00:00+00:00,52.1440057173,70,30
2017-12-03T20:00:00+00:00,10543.8931631222,10181.6146999405,0.0320572041,11301,,,,,2017-12-04T11:00:00+00:00,57.021442876,70,30
2017-12-03T21:00:00+00:00,10532.3205124534,10181.6146999405,0.0320572041,10940,,,,,2017-12-04T12:00:00+00:00,51.592291611,70,30
2017-12-03T22:00:00+00:00,10538.3434199538,10181.6146999405,0.0320572041,11127.88,,,,,2017-12-04T13:00:00+00:00,48.6737831554,70,30
2017-12-03T23:00:00+00:00,10542.2582457147,10181.6146999405,0.0320572041,11250,,,,,2017-12-04T14:00:00+00:00,53.2632201962,70,30
2017-12-04T00:00:00+00:00,10543.0272980403,10181.6146999405,0.0320572041,11273.99,,,,,2017-12-04T15:00:00+00:00,48.3511375683,70,30
2017-12-04T01:00:00+00:00,10546.5218538559,10181.6146999405,0.0320572041,11383,,,,,2017-12-04T16:00:00+00:00,49.5864520176,70,30
2017-12-04T02:00:00+00:00,10542.6291475658,10181.6146999405,0.0320572041,11261.57,,,,,2017-12-04T17:00:00+00:00,43.9675044616,70,30
2017-12-04T03:00:00+00:00,10546.5619253609,10181.6146999405,0.0320572041,11384.25,,,,,2017-12-04T18:00:00+00:00,35.2484366668,70,30
2017-12-04T04:00:00+00:00,10550.0705863463,10181.6146999405,0.0320572041,11493.7,,,,,2017-12-04T19:00:00+00:00,37.0444932487,70,30
2017-12-04T05:00:00+00:00,10548.5094005081,10181.6146999405,0.0320572041,11445,,,,,2017-12-04T20:00:00+00:00,48.3186064125,70,30
2017-12-04T06:00:00+00:00,10548.3475116276,10181.6146999405,0.0320572041,11439.95,,,,,2017-12-04T21:00:00+00:00,45.0315062117,70,30
2017-12-04T07:00:00+00:00,10552.9012374655,10181.6146999405,0.0320572041,11582,,,,,2017-12-04T22:00:00+00:00,46.7775851256,70,30
2017-12-04T08:00:00+00:00,10551.7135180548,10181.6146999405,0.0320572041,11544.95,,,,,2017-12-04T23:00:00+00:00,60.7344233901,70,30
2017-12-04T09:00:00+00:00,10546.585968264,10181.6146999405,0.0320572041,11385,,,,,2017-12-05T00:00:00+00:00,59.7540194117,70,30
2017-12-04T10:00:00+00:00,10546.0474072356,10181.6146999405,0.0320572041,11368.2,,,,,2017-12-05T01:00:00+00:00,73.5983573832,70,30
2017-12-04T11:00:00+00:00,10538.7720247722,10181.6146999405,0.0320572041,11141.25,,,,,2017-12-05T02:00:00+00:00,69.3153143049,70,30
2017-12-04T12:00:00+00:00,10539.6423778627,10181.6146999405,0.0320572041,11168.4,,,,,2017-12-05T03:00:00+00:00,70.4918032787,70,30
2017-12-04T13:00:00+00:00,10541.2378649092,10181.6146999405,0.0320572041,11218.17,,,,,2017-12-05T04:00:00+00:00,57.922674695,70,30
2017-12-04T14:00:00+00:00,10545.7845381623,10181.6146999405,0.0320572041,11360,,,,,2017-12-05T05:00:00+00:00,59.071286763,70,30
2017-12-04T15:00:00+00:00,10545.2254605233,10181.6146999405,0.0320572041,11342.56,,,,,2017-12-05T06:00:00+00:00,68.4440402542,70,30
2017-12-04T16:00:00+00:00,10542.3121018175,10181.6146999405,0.0320572041,11251.68,,,,,2017-12-05T07:00:00+00:00,73.6582393543,70,30
2017-12-04T17:00:00+00:00,10542.4009002728,10181.6146999405,0.0320572041,11254.45,,,,,2017-12-05T08:00:00+00:00,79.1633888207,70,30
2017-12-04T18:00:00+00:00,10540.3152585761,10181.6146999405,0.0320572041,11189.39,,,,,2017-12-05T09:00:00+00:00,71.8828060942,70,30
2017-12-04T19:00:00+00:00,10540.3399426232,10181.6146999405,0.0320572041,11190.16,,,,,2017-12-05T10:00:00+00:00,61.5360256947,70,30
2017-12-04T20:00:00+00:00,10547.066505753,10181.6146999405,0.0320572041,11399.99,,,,,2017-12-05T11:00:00+00:00,60.5390479063,70,30
2017-12-04T21:00:00+00:00,10549.3422466698,10181.6146999405,0.0320572041,11470.98,,,,,2017-12-05T12:00:00+00:00,62.6310237985,70,30
2017-12-04T22:00:00+00:00,10549.4733606345,10181.6146999405,0.0320572041,11475.07,,,,,2017-12-05T13:00:00+00:00,54.2424166332,70,30
2017-12-04T23:00:00+00:00,10553.897254796,10181.6146999405,0.0320572041,11613.07,,,,,2017-12-05T14:00:00+00:00,60.3729659675,70,30
2017-12-05T00:00:00+00:00,10552.7999367007,10181.6146999405,0.0320572041,11578.84,,,,,2017-12-05T15:00:00+00:00,64.3271313136,70,30
2017-12-05T01:00:00+00:00,10552.0356929557,10181.6146999405,0.0320572041,11555,,,,,2017-12-05T16:00:00+00:00,57.0625903739,70,30
2017-12-05T02:00:00+00:00,10547.6808574925,10363.1459665606,0.016028602,11512.85,,,,,2017-12-05T17:00:00+00:00,52.5672619249,70,30
2017-12-05T03:00:00+00:00,10549.048417818,10363.1459665606,0.016028602,11598.17,,,,,2017-12-05T18:00:00+00:00,61.3538579214,70,30
