"平均气温, x; 就诊人数, x","平均气温, y","就诊人数, y"
2015-02-23,7.0,143
2015-02-24,6.0,178
2015-02-25,3.5,242
2015-02-26,3.5,230
2015-02-27,2.5,238
2015-02-28,5.5,186
2015-03-01,11.5,187
2015-03-02,6.5,275
2015-03-03,1.0,228
2015-03-04,3.5,215
2015-03-05,7.0,210
2015-03-06,10.0,210
2015-03-07,10.0,184
2015-03-08,3.5,145
2015-03-09,2.5,195
2015-03-10,7.0,187
2015-03-11,10.5,192
2015-03-12,10.0,190
2015-03-13,10.5,155
2015-03-14,13.5,194
2015-03-15,17.0,123
2015-03-16,13.0,220
2015-03-17,9.0,202
2015-03-18,11.5,197
2015-03-19,14.5,177
2015-03-20,14.0,188
2015-03-21,11.5,195
2015-03-22,10.0,143
2015-03-23,12.5,228
2015-03-24,14.5,202
2015-03-25,14.5,202
2015-03-26,15.0,220
2015-03-27,20.0,187
2015-03-28,18.0,219
2015-03-29,21.5,138
2015-03-30,15.5,245
2015-03-31,10.0,220
2015-04-01,7.5,153
2015-04-02,10.0,179
2015-04-03,11.0,195
2015-04-04,13.5,162
2015-04-05,8.5,131
2015-04-06,7.0,206
2015-04-07,9.5,204
2015-04-08,13.0,196
2015-04-09,15.0,195
2015-04-10,19.0,203
2015-04-11,5.5,191
2015-04-12,7.5,114
2015-04-13,12.0,205
2015-04-14,21.5,248
2015-04-15,18.0,208
2015-04-16,18.0,228
2015-04-17,17.0,224
2015-04-18,14.5,254
2015-04-19,12.5,157
2015-04-20,18.5,201
2015-04-21,19.0,228
2015-04-22,24.0,195
2015-04-23,21.0,175
2015-04-24,23.5,173
2015-04-25,25.5,154
2015-04-26,25.5,139
2015-04-27,20.0,255
2015-04-28,19.0,193
2015-04-29,22.5,195
2015-04-30,24.0,225
2015-05-01,20.0,138
2015-05-02,19.0,128
2015-05-03,18.5,125
2015-05-04,22.5,218
2015-05-05,19.5,199
2015-05-06,19.5,161
2015-05-07,19.5,218
2015-05-08,21.0,197
2015-05-09,16.5,198
2015-05-10,17.5,116
2015-05-11,15.0,195
2015-05-12,22.0,223
2015-05-13,25.5,187
2015-05-14,21.0,216
2015-05-15,19.5,187
2015-05-16,23.5,176
2015-05-17,26.0,121
2015-05-18,23.5,274
2015-05-19,21.0,231
2015-05-20,22.0,205
2015-05-21,22.0,217
2015-05-22,27.5,197
2015-05-23,25.0,225
2015-05-24,26.5,151
2015-05-25,27.5,249
2015-05-26,27.0,238
2015-05-27,25.5,206
2015-05-28,26.5,224
2015-05-29,22.5,192
2015-05-30,26.5,248
2015-05-31,29.5,143
2015-06-01,28.5,238
2015-06-02,26.0,282
2015-06-03,26.5,228
2015-06-04,24.0,216
2015-06-05,29.0,217
2015-06-06,31.0,268
2015-06-07,27.0,143
2015-06-08,26.0,301
2015-06-09,31.5,252
2015-06-10,27.0,236
2015-06-11,26.0,226
2015-06-12,27.0,235
2015-06-13,25.0,288
2015-06-14,26.0,180
2015-06-15,27.5,270
2015-06-16,28.5,244
2015-06-17,29.5,210
2015-06-18,26.0,249
2015-06-19,24.0,217
2015-06-20,24.5,151
2015-06-21,26.0,138
2015-06-22,28.0,262
2015-06-23,27.0,256
2015-06-24,22.5,179
2015-06-25,23.0,165
2015-06-26,26.5,175
2015-06-27,27.5,197
2015-06-28,26.5,134
2015-06-29,23.0,200
2015-06-30,22.5,208
2015-07-01,28.5,211
2015-07-02,26.0,209
2015-07-03,27.0,178
2015-07-04,28.0,188
2015-07-05,27.5,140
2015-07-06,27.0,214
2015-07-07,26.5,231
2015-07-08,27.5,225
2015-07-09,29.0,236
2015-07-10,28.0,209
2015-07-11,27.5,198
2015-07-12,29.0,139
2015-07-13,33.0,273
2015-07-14,33.0,209
2015-07-15,29.0,212
2015-07-16,26.0,192
2015-07-17,25.5,205
2015-07-18,26.0,183
2015-07-19,26.0,136
2015-07-20,26.5,217
2015-07-21,27.5,181
2015-07-22,28.0,179
2015-07-23,26.0,247
2015-07-24,28.0,218
2015-07-25,29.5,229
2015-07-26,30.5,143
2015-07-27,31.5,230
2015-07-28,30.5,218
2015-07-29,30.5,201
2015-07-30,28.5,195
2015-07-31,27.0,222
2015-08-01,29.0,234
2015-08-02,30.5,175
2015-08-03,27.5,211
2015-08-04,25.5,179
2015-08-05,26.0,216
2015-08-06,25.0,185
2015-08-07,27.0,235
2015-08-08,28.0,175
2015-08-09,28.0,157
2015-08-10,27.0,266
2015-08-11,27.0,254
2015-08-12,28.0,251
2015-08-13,29.0,254
2015-08-14,28.0,258
2015-08-15,26.5,241
2015-08-16,27.5,149
2015-08-17,28.0,273
2015-08-18,27.5,253
2015-08-19,24.5,235
2015-08-20,26.0,232
2015-08-21,27.0,237
2015-08-22,26.0,221
2015-08-23,25.0,174
2015-08-24,24.0,296
2015-08-25,23.0,253
2015-08-26,24.0,256
2015-08-27,24.0,263
2015-08-28,25.0,266
2015-08-29,24.5,237
2015-08-30,25.5,162
2015-08-31,22.5,239
2015-09-01,20.5,274
2015-09-02,22.5,237
2015-09-03,24.5,167
2015-09-04,22.5,173
2015-09-05,22.0,176
2015-09-06,20.5,219
2015-09-07,22.5,270
2015-09-08,24.0,278
2015-09-09,22.5,237
2015-09-10,21.0,208
2015-09-11,17.0,234
2015-09-12,18.0,268
2015-09-13,20.5,159
2015-09-14,21.0,278
2015-09-15,21.5,284
2015-09-16,22.0,243
2015-09-17,23.0,245
2015-09-18,23.0,278
2015-09-19,23.0,310
2015-09-20,23.5,160
2015-09-21,24.5,288
2015-09-22,24.0,279
2015-09-23,23.5,260
2015-09-24,23.0,269
2015-09-25,21.5,243
2015-09-26,23.0,254
2015-09-27,24.5,158
2015-09-28,21.5,305
2015-09-29,21.0,302
2015-09-30,21.0,289
2015-10-01,17.5,182
2015-10-02,20.5,156
2015-10-03,21.5,160
2015-10-04,23.0,153
2015-10-05,23.0,164
2015-10-06,23.0,204
2015-10-07,19.5,269
2015-10-08,15.5,249
2015-10-09,16.5,228
2015-10-10,13.0,210
2015-10-11,15.5,139
2015-10-12,17.5,275
2015-10-13,21.0,234
2015-10-14,20.5,239
2015-10-15,19.5,256
2015-10-16,22.5,256
2015-10-17,22.5,283
2015-10-18,19.0,161
2015-10-19,20.0,276
2015-10-20,20.0,283
2015-10-21,19.0,224
2015-10-22,16.5,274
2015-10-23,14.0,218
2015-10-24,15.5,203
2015-10-25,14.0,139
2015-10-26,11.0,285
2015-10-27,12.5,257
2015-10-28,13.5,230
2015-10-29,9.5,246
2015-10-30,8.5,238
2015-10-31,11.0,288
2015-11-01,11.0,164
2015-11-02,14.5,299
2015-11-03,16.0,280
2015-11-04,14.5,287
2015-11-05,13.0,339
2015-11-06,7.5,210
2015-11-07,5.5,310
2015-11-08,6.0,129
2015-11-09,8.5,271
2015-11-10,8.5,251
2015-11-11,7.0,263
2015-11-12,8.5,258
2015-11-13,7.5,202
2015-11-14,10.5,254
2015-11-15,10.5,154
2015-11-16,8.0,254
2015-11-17,8.0,270
2015-11-18,6.5,257
2015-11-19,8.0,251
2015-11-20,9.5,249
2015-11-21,7.5,311
2015-11-22,4.0,139
2015-11-23,1.0,274
2015-11-24,-3.0,200
2015-11-25,-5.5,196
2015-11-26,-5.0,200
2015-11-27,-0.5,232
2015-11-28,1.5,266
2015-11-29,2.5,153
2015-11-30,3.0,304
2015-12-01,5.0,274
2015-12-02,2.0,267
2015-12-03,1.5,296
2015-12-04,2.5,259
2015-12-05,3.5,302
2015-12-06,4.5,184
2015-12-07,4.0,331
2015-12-08,8.0,339
2015-12-09,7.5,298
2015-12-10,3.5,336
2015-12-11,3.0,301
2015-12-12,2.5,318
2015-12-13,3.5,218
2015-12-14,3.0,338
2015-12-15,0.5,355
2015-12-16,-1.0,319
2015-12-17,0.0,338
2015-12-18,2.5,330
2015-12-19,3.0,333
2015-12-20,2.5,229
2015-12-21,4.0,381
2015-12-22,4.5,335
2015-12-23,3.5,306
2015-12-24,3.0,332
2015-12-25,3.5,332
2015-12-26,2.5,340
2015-12-27,-1.0,248
2015-12-28,1.0,402
2015-12-29,3.5,353
2015-12-30,1.5,327
2015-12-31,3.5,378
2016-01-01,7.0,210
2016-01-02,7.5,281
2016-01-03,4.5,242
2016-01-04,1.5,410
2016-01-05,1.0,409
2016-01-06,-1.5,304
2016-01-07,-1.5,410
2016-01-08,-0.5,335
2016-01-09,1.5,440
2016-01-10,0.5,297
2016-01-11,-3.5,399
2016-01-12,-3.0,380
2016-01-13,-1.0,286
2016-01-14,1.5,438
2016-01-15,2.0,354
2016-01-16,2.0,471
2016-01-17,-4.5,311
2016-01-18,-5.5,445
2016-01-19,-3.5,536
2016-01-20,-2.0,450
2016-01-21,-0.5,502
2016-01-22,-9.5,388
2016-01-23,-13.0,365
2016-01-24,-7.0,261
2016-01-25,-3.0,476
2016-01-26,-2.0,457
2016-01-27,0.5,414
2016-01-28,2.0,425
2016-01-29,-1.0,389
2016-01-30,-2.5,388
2016-01-31,-3.0,252
2016-02-01,-2.0,387
2016-02-02,1.5,367
2016-02-03,3.5,375
2016-02-04,2.0,358
2016-02-05,-0.5,315
2016-02-06,1.0,262
2016-02-07,5.0,206
2016-02-08,6.5,184
2016-02-09,10.0,217
2016-02-10,11.0,224
2016-02-11,10.0,219
2016-02-12,5.0,244
2016-02-13,-3.5,219
2016-02-14,-3.5,288
2016-02-15,-0.5,326
2016-02-16,4.0,248
2016-02-17,7.0,270
2016-02-18,6.0,278
2016-02-19,3.5,285
2016-02-20,2.0,172
2016-02-21,5.5,176
2016-02-22,4.5,228
2016-02-23,1.0,232
2016-02-24,4.0,238
2016-02-25,3.5,239
2016-02-26,7.0,245
2016-02-27,6.0,240
2016-02-28,2.0,167
2016-02-29,3.5,311
2016-03-01,9.5,243
2016-03-02,14.5,239
2016-03-03,18.5,264
2016-03-04,15.5,241
2016-03-05,9.0,262
2016-03-06,12.5,164
2016-03-07,8.0,280
2016-03-08,2.5,229
2016-03-09,1.0,239
2016-03-10,3.0,281
2016-03-11,6.0,255
2016-03-12,8.5,276
2016-03-13,5.0,185
2016-03-14,11.0,303
2016-03-15,10.0,310
2016-03-16,14.0,274
2016-03-17,16.0,324
2016-03-18,16.5,339
2016-03-19,14.5,313
2016-03-20,13.0,266
2016-03-21,14.0,349
2016-03-22,13.0,368
2016-03-23,7.0,291
2016-03-24,8.0,329
2016-03-25,9.0,285
2016-03-26,11.5,339
2016-03-27,16.0,242
2016-03-28,17.0,325
2016-03-29,16.0,347
2016-03-30,20.0,310
2016-03-31,21.5,325
2016-04-01,19.5,290
2016-04-02,13.0,264
2016-04-03,12.0,183
2016-04-04,16.5,180
2016-04-05,19.0,344
2016-04-06,17.0,333
2016-04-07,17.5,274
2016-04-08,19.5,236
2016-04-09,20.5,255
2016-04-10,17.0,164
2016-04-11,18.0,264
2016-04-12,19.5,285
2016-04-13,21.0,217
2016-04-14,22.0,233
2016-04-15,23.0,225
2016-04-16,13.5,206
2016-04-17,15.5,139
2016-04-18,16.0,249
2016-04-19,21.0,242
2016-04-20,19.5,204
2016-04-21,22.5,247
2016-04-22,20.0,223
2016-04-23,18.5,244
2016-04-24,22.0,172
2016-04-25,22.5,259
2016-04-26,18.5,231
2016-04-27,18.5,238
2016-04-28,19.0,243
2016-04-29,24.5,218
2016-04-30,27.5,168
2016-05-01,27.0,121
2016-05-02,20.0,118
2016-05-03,19.0,278
2016-05-04,25.0,188
2016-05-05,22.0,231
2016-05-06,19.5,184
2016-05-07,20.0,208
2016-05-08,19.5,135
2016-05-09,15.0,177
2016-05-10,20.0,181
2016-05-11,26.5,173
2016-05-12,18.0,167
2016-05-13,19.0,174
2016-05-14,15.5,133
2016-05-15,16.0,126
2016-05-16,23.0,212
2016-05-17,24.5,170
2016-05-18,22.5,168
2016-05-19,22.5,167
2016-05-20,22.0,187
2016-05-21,22.0,159
2016-05-22,24.0,146
2016-05-23,18.5,214
2016-05-24,23.5,177
2016-05-25,23.5,173
2016-05-26,24.5,163
2016-05-27,20.0,175
2016-05-28,19.5,157
2016-05-29,24.5,171
2016-05-30,29.0,214
2016-05-31,25.5,181
2016-06-01,24.0,195
2016-06-02,25.5,188
2016-06-03,22.0,164
2016-06-04,23.5,182
2016-06-05,20.0,150
2016-06-06,23.0,196
2016-06-07,23.0,167
2016-06-08,25.0,161
2016-06-09,28.0,147
2016-06-10,26.5,163
2016-06-11,25.0,145
2016-06-12,26.5,165
2016-06-13,26.0,173
2016-06-14,23.5,147
2016-06-15,22.0,157
2016-06-16,29.0,174
2016-06-17,31.0,170
2016-06-18,29.5,141
2016-06-19,29.0,149
2016-06-20,29.0,172
2016-06-21,27.5,133
2016-06-22,31.0,136
2016-06-23,25.5,119
2016-06-24,25.5,152
2016-06-25,26.5,139
2016-06-26,29.0,135
2016-06-27,28.0,178
2016-06-28,28.0,156
2016-06-29,29.0,161
2016-06-30,28.0,151
2016-07-01,25.0,138
2016-07-02,27.5,138
2016-07-03,27.5,119
2016-07-04,26.0,195
2016-07-05,26.0,159
2016-07-06,27.5,170
2016-07-07,28.0,150
2016-07-08,28.0,156
2016-07-09,26.5,106
2016-07-10,29.0,113
2016-07-11,30.0,189
2016-07-12,27.0,132
2016-07-13,27.5,159
2016-07-14,26.0,165
2016-07-15,22.5,152
2016-07-16,25.0,148
2016-07-17,24.5,184
2016-07-18,27.0,199
2016-07-19,26.5,181
2016-07-20,25.5,112
2016-07-21,28.0,159
2016-07-22,29.0,144
2016-07-23,30.5,124
2016-07-24,32.5,107
2016-07-25,30.0,155
2016-07-26,29.0,176
2016-07-27,29.0,209
2016-07-28,31.0,150
2016-07-29,31.5,168
2016-07-30,31.0,115
2016-07-31,29.5,112
2016-08-01,27.0,164
2016-08-02,27.0,186
2016-08-03,27.0,156
2016-08-04,27.5,151
2016-08-05,28.5,190
2016-08-06,27.0,169
2016-08-07,25.5,139
2016-08-08,26.5,184
2016-08-09,28.0,160
2016-08-10,30.0,170
2016-08-11,31.0,164
2016-08-12,30.5,173
2016-08-13,30.0,178
2016-08-14,28.5,136
2016-08-15,26.5,217
2016-08-16,25.0,190
2016-08-17,25.0,177
2016-08-18,29.0,183
2016-08-19,26.5,136
2016-08-20,25.0,138
2016-08-21,26.0,114
2016-08-22,27.0,220
2016-08-23,28.0,168
2016-08-24,29.5,189
2016-08-25,22.5,177
2016-08-26,21.5,202
2016-08-27,22.5,165
2016-08-28,22.5,133
2016-08-29,23.5,215
2016-08-30,25.0,184
2016-08-31,26.0,201
2016-09-01,24.5,190
2016-09-02,24.5,188
2016-09-03,27.0,182
2016-09-04,26.0,170
2016-09-05,26.5,221
2016-09-06,25.0,205
2016-09-07,22.5,185
2016-09-08,26.0,185
2016-09-09,27.0,164
2016-09-10,24.0,192
2016-09-11,24.5,170
2016-09-12,23.5,223
2016-09-13,23.5,196
2016-09-14,25.0,214
2016-09-15,25.5,140
2016-09-16,25.0,178
2016-09-17,23.5,190
2016-09-18,21.5,248
2016-09-19,20.0,233
2016-09-20,20.0,183
2016-09-21,22.0,228
2016-09-22,25.0,236
2016-09-23,26.0,259
2016-09-24,25.5,240
2016-09-25,25.0,219
2016-09-26,24.5,274
2016-09-27,21.0,224
2016-09-28,16.5,212
2016-09-29,18.5,216
2016-09-30,20.5,236
