"Helleroed Kaer flow (m3/s), x","Helleroed Kaer flow (m3/s), y","Helleroed Kaer vanddybde / 10 (m), x","Helleroed Kaer vanddybde / 10 (m), y"
2017-07-21 12:26:35,0.0215697824,2017-07-21 12:16:35,0.01984979
2017-07-21 12:36:35,0.0211070462,2017-07-21 12:26:35,0.02006704
2017-07-21 12:46:35,0.0207009356,2017-07-21 12:36:35,0.02040955
2017-07-21 12:56:35,0.0207419797,2017-07-21 12:46:35,0.02063867
2017-07-21 13:06:35,0.02028469,2017-07-21 12:56:35,0.02085718
2017-07-21 13:16:35,0.0204127054,2017-07-21 13:06:35,0.02117178
2017-07-21 13:26:35,0.0205315562,2017-07-21 13:16:35,0.02142881
2017-07-21 13:36:35,0.0215559809,2017-07-21 13:26:35,0.02170655
2017-07-21 13:46:35,0.0218231946,2017-07-21 13:36:35,0.02182364
2017-07-21 13:56:35,0.0212057331,2017-07-21 13:46:35,0.02184396
2017-07-21 14:06:35,0.0215062735,2017-07-21 13:56:35,0.02180671
2017-07-21 14:16:35,0.021275691,2017-07-21 14:06:35,0.02201385
2017-07-21 14:26:35,0.0208377554,2017-07-21 14:16:35,0.02207648
2017-07-21 14:36:35,0.0199245827,2017-07-21 14:26:35,0.02250136
2017-07-21 14:46:35,0.01944076,2017-07-21 14:36:35,0.02297116
2017-07-21 14:56:35,0.0194243747,2017-07-21 14:46:35,0.02302397
2017-07-21 15:06:35,0.0197153548,2017-07-21 14:56:35,0.02303807
2017-07-21 15:16:35,0.0209886836,2017-07-21 15:06:35,0.02312695
2017-07-21 15:26:35,0.0203912966,2017-07-21 15:16:35,0.02313298
2017-07-21 15:36:35,0.0200644205,2017-07-21 15:26:35,0.02306637
2017-07-21 15:46:35,0.0207511952,2017-07-21 15:36:35,0.02306462
2017-07-21 15:56:35,0.0213996205,2017-07-21 15:46:35,0.02327467
2017-07-21 16:06:35,0.0215257598,2017-07-21 15:56:35,0.02348308
2017-07-21 16:16:35,0.0207753042,2017-07-21 16:06:35,0.02326631
2017-07-21 16:26:35,0.0215418549,2017-07-21 16:16:35,0.02299936
2017-07-21 16:36:35,0.0223218123,2017-07-21 16:26:35,0.02298244
2017-07-21 16:46:35,0.0229471103,2017-07-21 16:36:35,0.02283822
2017-07-21 16:56:35,0.0237672687,2017-07-21 16:46:35,0.02304254
2017-07-21 17:06:35,0.0235202673,2017-07-21 16:56:35,0.02285622
2017-07-21 17:16:35,0.0241394745,2017-07-21 17:06:35,0.02225532
2017-07-21 17:26:35,0.0244991939,2017-07-21 17:16:35,0.02204536
2017-07-21 17:36:35,0.0247301378,2017-07-21 17:26:35,0.02188529
2017-07-21 17:46:35,0.024725395,2017-07-21 17:36:35,0.02178717
2017-07-21 17:56:35,0.0235039976,2017-07-21 17:46:35,0.02214485
2017-07-21 18:06:35,0.0236949813,2017-07-21 17:56:35,0.02162865
2017-07-21 18:16:35,0.0236748899,2017-07-21 18:06:35,0.02154356
2017-07-21 18:26:35,0.0234119107,2017-07-21 18:16:35,0.021037
2017-07-21 18:36:35,0.0231744149,2017-07-21 18:26:35,0.02062262
2017-07-21 18:46:35,0.0226137042,2017-07-21 18:36:35,0.02042054
2017-07-21 18:56:35,0.0224587121,2017-07-21 18:46:35,0.02008562
2017-07-21 19:06:35,0.0221788702,2017-07-21 18:56:35,0.01990736
2017-07-21 19:16:35,0.0229066373,2017-07-21 19:06:35,0.01974515
2017-07-21 19:26:35,0.0229637504,2017-07-21 19:16:35,0.01940089
2017-07-21 19:36:35,0.0228943607,2017-07-21 19:26:35,0.01915388
2017-07-21 19:46:35,0.0229569128,2017-07-21 19:36:35,0.0188635
2017-07-21 19:56:35,0.0227475366,2017-07-21 19:46:35,0.01865568
2017-07-21 20:06:35,0.0223961458,2017-07-21 19:56:35,0.01844631
2017-07-21 20:16:35,0.021962879,2017-07-21 20:06:35,0.01826105
2017-07-21 20:26:35,0.0216925407,2017-07-21 20:16:35,0.01816944
2017-07-21 20:36:35,0.0203420983,2017-07-21 20:26:35,0.01803398
2017-07-21 20:46:35,0.0200149215,2017-07-21 20:36:35,0.01791475
2017-07-21 20:56:35,0.0202208812,2017-07-21 20:46:35,0.01775653
2017-07-21 21:06:35,0.0201817813,2017-07-21 20:56:35,0.01774894
2017-07-21 21:16:35,0.0205390028,2017-07-21 21:06:35,0.01777257
2017-07-21 21:26:35,0.0206899563,2017-07-21 21:16:35,0.01768184
2017-07-21 21:36:35,0.0212053417,2017-07-21 21:26:35,0.0176198
2017-07-21 21:46:35,0.0210999482,2017-07-21 21:36:35,0.01759451
2017-07-21 21:56:35,0.0208781424,2017-07-21 21:46:35,0.01756534
2017-07-21 22:06:35,0.0207152607,2017-07-21 21:56:35,0.01758829
2017-07-21 22:16:35,0.0191925682,2017-07-21 22:06:35,0.01787196
2017-07-21 22:26:35,0.0190015689,2017-07-21 22:16:35,0.01789433
2017-07-21 22:36:35,0.0191034635,2017-07-21 22:26:35,0.01796989
2017-07-21 22:46:35,0.0186005467,2017-07-21 22:36:35,0.01803495
2017-07-21 22:56:35,0.0182406302,2017-07-21 22:46:35,0.01809806
2017-07-21 23:06:35,0.0180656917,2017-07-21 22:56:35,0.01817596
2017-07-21 23:16:35,0.0187693167,2017-07-21 23:06:35,0.01830491
2017-07-21 23:26:35,0.0187194864,2017-07-21 23:16:35,0.01830316
2017-07-21 23:36:35,0.0190268726,2017-07-21 23:26:35,0.01852673
2017-07-21 23:46:35,0.0196916804,2017-07-21 23:36:35,0.01867999
2017-07-21 23:56:35,0.0195814193,2017-07-21 23:46:35,0.01878298
2017-07-22 00:06:35,0.0200852728,2017-07-21 23:56:35,0.01881118
2017-07-22 00:16:35,0.0209771481,2017-07-22 00:06:35,0.01881575
2017-07-22 00:26:35,0.0201490588,2017-07-22 00:16:35,0.01884395
2017-07-22 00:36:35,0.0199676139,2017-07-22 00:26:35,0.01897096
2017-07-22 00:46:35,0.02005317,2017-07-22 00:36:35,0.01886865
2017-07-22 00:56:35,0.0204590347,2017-07-22 00:46:35,0.0185913
2017-07-22 01:06:35,0.0209398149,2017-07-22 00:56:35,0.01861746
2017-07-22 01:16:35,0.0211840426,2017-07-22 01:06:35,0.01894762
2017-07-22 01:26:35,0.0212204347,2017-07-22 01:16:35,0.01931036
2017-07-22 01:36:35,0.0209382255,2017-07-22 01:26:35,0.01949698
2017-07-22 01:46:35,0.0215103045,2017-07-22 01:36:35,0.01967533
2017-07-22 01:56:35,0.0211882094,2017-07-22 01:46:35,0.01987741
2017-07-22 02:06:35,0.0203491453,2017-07-22 01:56:35,0.02011654
2017-07-22 02:16:35,0.0202259074,2017-07-22 02:06:35,0.02077219
2017-07-22 02:26:35,0.0193104412,2017-07-22 02:16:35,0.0210827
2017-07-22 02:36:35,0.0166465206,2017-07-22 02:26:35,0.02104682
2017-07-22 02:46:35,0.0156918861,2017-07-22 02:36:35,0.02161766
2017-07-22 02:56:35,0.0149368166,2017-07-22 02:46:35,0.02220679
2017-07-22 03:06:35,0.0135758289,2017-07-22 02:56:35,0.02264227
2017-07-22 03:16:35,0.0138902497,2017-07-22 03:06:35,0.02306452
2017-07-22 03:26:35,0.0156503108,2017-07-22 03:16:35,0.02344505
2017-07-22 03:36:35,0.0169589048,2017-07-22 03:26:35,0.02364538
2017-07-22 03:46:35,0.0185060481,2017-07-22 03:36:35,0.02403953
2017-07-22 03:56:35,0.0202243337,2017-07-22 03:46:35,0.02406375
2017-07-22 04:06:35,0.0209901286,2017-07-22 03:56:35,0.02382831
2017-07-22 04:16:35,0.0210837749,2017-07-22 04:06:35,0.02366279
2017-07-22 04:26:35,0.0228529728,2017-07-22 04:16:35,0.02339546
2017-07-22 04:36:35,0.0237350218,2017-07-22 04:26:35,0.02291301
2017-07-22 04:46:35,0.0235632126,2017-07-22 04:36:35,0.02234459
2017-07-22 04:56:35,0.0242067445,2017-07-22 04:46:35,0.02171851
2017-07-22 05:06:35,0.0248281693,2017-07-22 04:56:35,0.02130598
2017-07-22 05:16:35,0.025004872,2017-07-22 05:06:35,0.02098633
2017-07-22 05:26:35,0.0242590164,2017-07-22 05:16:35,0.02049873
2017-07-22 05:36:35,0.0238590829,2017-07-22 05:26:35,0.01999537
2017-07-22 05:46:35,0.0234532676,2017-07-22 05:36:35,0.01951497
2017-07-22 05:56:35,0.0230276503,2017-07-22 05:46:35,0.01893576
2017-07-22 06:06:35,0.0230103114,2017-07-22 05:56:35,0.01867367
2017-07-22 06:16:35,0.0225883518,2017-07-22 06:06:35,0.01841227
2017-07-22 06:26:35,0.022152194,2017-07-22 06:16:35,0.01813424
2017-07-22 06:36:35,0.0222841138,2017-07-22 06:26:35,0.01787585
2017-07-22 06:46:35,0.0224220994,2017-07-22 06:36:35,0.01758556
2017-07-22 06:56:35,0.0226754902,2017-07-22 06:46:35,0.01738222
2017-07-22 07:06:35,0.0227334019,2017-07-22 06:56:35,0.01726484
2017-07-22 07:16:35,0.0225005213,2017-07-22 07:06:35,0.01715903
2017-07-22 07:26:35,0.0224558229,2017-07-22 07:16:35,0.0171389
2017-07-22 07:36:35,0.0220490203,2017-07-22 07:26:35,0.01721096
2017-07-22 07:46:35,0.0218901428,2017-07-22 07:36:35,0.0171179
2017-07-22 07:56:35,0.0214574224,2017-07-22 07:46:35,0.01699945
2017-07-22 08:06:35,0.0213947761,2017-07-22 07:56:35,0.01705731
2017-07-22 08:16:35,0.0216439812,2017-07-22 08:06:35,0.01697728
2017-07-22 08:26:35,0.0215486296,2017-07-22 08:16:35,0.01706859
2017-07-22 08:36:35,0.0215673088,2017-07-22 08:26:35,0.01717644
2017-07-22 08:46:35,0.0215672625,2017-07-22 08:36:35,0.01720143
2017-07-22 08:56:35,0.0213396799,2017-07-22 08:46:35,0.01719531
2017-07-22 09:06:35,0.0212169175,2017-07-22 08:56:35,0.01715359
2017-07-22 09:16:35,0.0210888393,2017-07-22 09:06:35,0.01718092
2017-07-22 09:26:35,0.0211923307,2017-07-22 09:16:35,0.01713929
2017-07-22 09:36:35,0.0208570781,2017-07-22 09:26:35,0.01698447
2017-07-22 09:46:35,0.0208973878,2017-07-22 09:36:35,0.01695297
2017-07-22 09:56:35,0.0209510626,2017-07-22 09:46:35,0.01689462
2017-07-22 10:06:35,0.0210029299,2017-07-22 09:56:35,0.01684599
2017-07-22 10:16:35,0.0211309993,2017-07-22 10:06:35,0.01684376
2017-07-22 10:26:35,0.0212224895,2017-07-22 10:16:35,0.0167749
2017-07-22 10:36:35,0.0212208635,2017-07-22 10:26:35,0.01669399
2017-07-22 10:46:35,0.021200233,2017-07-22 10:36:35,0.01671393
2017-07-22 10:56:35,0.0212309351,2017-07-22 10:46:35,0.01673688
2017-07-22 11:06:35,0.0211736042,2017-07-22 10:56:35,0.01682713
2017-07-22 11:16:35,0.0206852434,2017-07-22 11:06:35,0.0168456
2017-07-22 11:26:35,0.0208050017,2017-07-22 11:16:35,0.01689131
2017-07-22 11:36:35,0.0207466557,2017-07-22 11:26:35,0.01685173
2017-07-22 11:46:35,0.0209646674,2017-07-22 11:36:35,0.01683549
2017-07-22 11:56:35,0.0210138796,2017-07-22 11:46:35,0.01678862
2017-07-22 12:06:35,0.0214277744,2017-07-22 11:56:35,0.01683442
2017-07-22 12:16:35,0.0213415052,2017-07-22 12:06:35,0.01674855
2017-07-22 12:26:35,0.0213676764,2017-07-22 12:16:35,0.01675332
2017-07-22 12:36:35,0.0210165872,2017-07-22 12:26:35,0.01664751
2017-07-22 12:46:35,0.0209635661,2017-07-22 12:36:35,0.01658576
2017-07-22 12:56:35,0.02057353,2017-07-22 12:46:35,0.01650319
2017-07-22 13:06:35,0.0205817664,2017-07-22 12:56:35,0.0164534
2017-07-22 13:16:35,0.0201235444,2017-07-22 13:06:35,0.01646332
2017-07-22 13:26:35,0.0198173433,2017-07-22 13:16:35,0.01645963
2017-07-22 13:36:35,0.0198024656,2017-07-22 13:26:35,0.01640692
2017-07-22 13:46:35,0.0199441468,2017-07-22 13:36:35,0.01634273
2017-07-22 13:56:35,0.020297954,2017-07-22 13:46:35,0.01626241
2017-07-22 14:06:35,0.0205399378,2017-07-22 13:56:35,0.01630578
2017-07-22 14:16:35,0.0208047869,2017-07-22 14:06:35,0.01634273
2017-07-22 14:26:35,0.0205381448,2017-07-22 14:16:35,0.01625667
2017-07-22 14:36:35,0.0203719811,2017-07-22 14:26:35,0.01623518
2017-07-22 14:46:35,0.0199691108,2017-07-22 14:36:35,0.01625715
2017-07-22 14:56:35,0.019418323,2017-07-22 14:46:35,0.01626999
2017-07-22 15:06:35,0.018648065,2017-07-22 14:56:35,0.0163158
2017-07-22 15:16:35,0.0184410805,2017-07-22 15:06:35,0.0163122
2017-07-22 15:26:35,0.0182227903,2017-07-22 15:16:35,0.01628166
2017-07-22 15:36:35,0.0187840737,2017-07-22 15:26:35,0.01629382
2017-07-22 15:46:35,0.018579185,2017-07-22 15:36:35,0.01633515
2017-07-22 15:56:35,0.0187404311,2017-07-22 15:46:35,0.01636646
2017-07-22 16:06:35,0.0182283187,2017-07-22 15:56:35,0.0163157
2017-07-22 16:16:35,0.0183719053,2017-07-22 16:06:35,0.01635975
2017-07-22 16:26:35,0.0182782332,2017-07-22 16:16:35,0.01624199
2017-07-22 16:36:35,0.0188003177,2017-07-22 16:26:35,0.01620552
2017-07-22 16:46:35,0.0187945908,2017-07-22 16:36:35,0.01617197
2017-07-22 16:56:35,0.0188993078,2017-07-22 16:46:35,0.01620659
2017-07-22 17:06:35,0.0192154822,2017-07-22 16:56:35,0.01626814
2017-07-22 17:16:35,0.0189941546,2017-07-22 17:06:35,0.01622224
2017-07-22 17:26:35,0.0185560944,2017-07-22 17:16:35,0.01622876
2017-07-22 17:36:35,0.0182980132,2017-07-22 17:26:35,0.01627495
2017-07-22 17:46:35,0.0180555187,2017-07-22 17:36:35,0.01620668
2017-07-22 17:56:35,0.0183245775,2017-07-22 17:46:35,0.01623469
2017-07-22 18:06:35,0.0187646719,2017-07-22 17:56:35,0.01629275
2017-07-22 18:16:35,0.0195014818,2017-07-22 18:06:35,0.01632474
2017-07-22 18:26:35,0.0203083682,2017-07-22 18:16:35,0.01624996
2017-07-22 18:36:35,0.0204078198,2017-07-22 18:26:35,0.01627991
2017-07-22 18:46:35,0.0202445776,2017-07-22 18:36:35,0.01627515
2017-07-22 18:56:35,0.0189891087,2017-07-22 18:46:35,0.01632688
2017-07-22 19:06:35,0.0183731456,2017-07-22 18:56:35,0.01634925
2017-07-22 19:16:35,0.0171399413,2017-07-22 19:06:35,0.01641188
2017-07-22 19:26:35,0.0163588347,2017-07-22 19:16:35,0.01637132
2017-07-22 19:36:35,0.0163666913,2017-07-22 19:26:35,0.01631434
2017-07-22 19:46:35,0.0165042487,2017-07-22 19:36:35,0.01624092
2017-07-22 19:56:35,0.0171205972,2017-07-22 19:46:35,0.01620124
2017-07-22 20:06:35,0.0186019545,2017-07-22 19:56:35,0.01626338
2017-07-22 20:16:35,0.0192527456,2017-07-22 20:06:35,0.0163332
2017-07-22 20:26:35,0.0197450293,2017-07-22 20:16:35,0.01638562
2017-07-22 20:36:35,0.0201657945,2017-07-22 20:26:35,0.01648637
2017-07-22 20:46:35,0.0206459554,2017-07-22 20:36:35,0.01645642
2017-07-22 20:56:35,0.0204906245,2017-07-22 20:46:35,0.01652575
2017-07-22 21:06:35,0.0201977304,2017-07-22 20:56:35,0.01654695
2017-07-22 21:16:35,0.0204912947,2017-07-22 21:06:35,0.01650572
2017-07-22 21:26:35,0.0207501974,2017-07-22 21:16:35,0.01648355
2017-07-22 21:36:35,0.0212555166,2017-07-22 21:26:35,0.01659937
2017-07-22 21:46:35,0.0216966617,2017-07-22 21:36:35,0.01661279
2017-07-22 21:56:35,0.0219514321,2017-07-22 21:46:35,0.0166337
2017-07-22 22:06:35,0.0219225861,2017-07-22 21:56:35,0.01664683
2017-07-22 22:16:35,0.0216697214,2017-07-22 22:06:35,0.0166618
2017-07-22 22:26:35,0.0212582828,2017-07-22 22:16:35,0.01668544
2017-07-22 22:36:35,0.021016278,2017-07-22 22:26:35,0.0166831
2017-07-22 22:46:35,0.02063832,2017-07-22 22:36:35,0.01664109
2017-07-22 22:56:35,0.0208143157,2017-07-22 22:46:35,0.01661308
2017-07-22 23:06:35,0.0208558605,2017-07-22 22:56:35,0.01664138
2017-07-22 23:16:35,0.0210776735,2017-07-22 23:06:35,0.01665548
2017-07-22 23:26:35,0.0212872597,2017-07-22 23:16:35,0.0165738
2017-07-22 23:36:35,0.021901968,2017-07-22 23:26:35,0.01652673
2017-07-22 23:46:35,0.0218649401,2017-07-22 23:36:35,0.01651409
2017-07-22 23:56:35,0.0217126779,2017-07-22 23:46:35,0.01636559
2017-07-23 00:06:35,0.0222746121,2017-07-22 23:56:35,0.01631609
2017-07-23 00:16:35,0.0221256534,2017-07-23 00:06:35,0.01635995
2017-07-23 00:26:35,0.0217755675,2017-07-23 00:16:35,0.01648715
2017-07-23 00:36:35,0.021583474,2017-07-23 00:26:35,0.01654151
2017-07-23 00:46:35,0.021312191,2017-07-23 00:36:35,0.01659033
2017-07-23 00:56:35,0.0213405142,2017-07-23 00:46:35,0.01659597
2017-07-23 01:06:35,0.0216747572,2017-07-23 00:56:35,0.01662709
2017-07-23 01:16:35,0.0220857822,2017-07-23 01:06:35,0.01658342
2017-07-23 01:26:35,0.0221177123,2017-07-23 01:16:35,0.01649872
2017-07-23 01:36:35,0.0222997586,2017-07-23 01:26:35,0.01644368
2017-07-23 01:46:35,0.0227572648,2017-07-23 01:36:35,0.01639661
2017-07-23 01:56:35,0.0222908777,2017-07-23 01:46:35,0.0163475
2017-07-23 02:06:35,0.0220183337,2017-07-23 01:56:35,0.01634341
2017-07-23 02:16:35,0.0219487811,2017-07-23 02:06:35,0.01643599
2017-07-23 02:26:35,0.0221972286,2017-07-23 02:16:35,0.0164713
2017-07-23 02:36:35,0.0224474659,2017-07-23 02:26:35,0.01653879
2017-07-23 02:46:35,0.0229046474,2017-07-23 02:36:35,0.01656388
2017-07-23 02:56:35,0.0227323457,2017-07-23 02:46:35,0.01651233
2017-07-23 03:06:35,0.0223523424,2017-07-23 02:56:35,0.01648501
2017-07-23 03:16:35,0.0222461638,2017-07-23 03:06:35,0.01645894
2017-07-23 03:26:35,0.0218781176,2017-07-23 03:16:35,0.01653256
2017-07-23 03:36:35,0.0216936945,2017-07-23 03:26:35,0.01657
2017-07-23 03:46:35,0.0212823617,2017-07-23 03:36:35,0.01637492
2017-07-23 03:56:35,0.0208260265,2017-07-23 03:46:35,0.01653888
2017-07-23 04:06:35,0.0207874131,2017-07-23 03:56:35,0.01672113
2017-07-23 04:16:35,0.0206710232,2017-07-23 04:06:35,0.01676003
2017-07-23 04:26:35,0.0210137449,2017-07-23 04:16:35,0.01673902
2017-07-23 04:36:35,0.0208260617,2017-07-23 04:26:35,0.01679853
2017-07-23 04:46:35,0.020835705,2017-07-23 04:36:35,0.01672531
2017-07-23 04:56:35,0.0209193102,2017-07-23 04:46:35,0.01669808
2017-07-23 05:06:35,0.0210214232,2017-07-23 04:56:35,0.01670673
2017-07-23 05:16:35,0.0214464562,2017-07-23 05:06:35,0.01671665
2017-07-23 05:26:35,0.0213765156,2017-07-23 05:16:35,0.01670926
2017-07-23 05:36:35,0.0211686907,2017-07-23 05:26:35,0.016616
2017-07-23 05:46:35,0.0209716319,2017-07-23 05:36:35,0.01654773
2017-07-23 05:56:35,0.0207497798,2017-07-23 05:46:35,0.01654054
2017-07-23 06:06:35,0.0207346523,2017-07-23 05:56:35,0.01655435
2017-07-23 06:16:35,0.0207831977,2017-07-23 06:06:35,0.01656174
2017-07-23 06:26:35,0.0208540622,2017-07-23 06:16:35,0.01652819
2017-07-23 06:36:35,0.0212577515,2017-07-23 06:26:35,0.01657253
2017-07-23 06:46:35,0.0213177493,2017-07-23 06:36:35,0.01663963
2017-07-23 06:56:35,0.0219840852,2017-07-23 06:46:35,0.01656563
2017-07-23 07:06:35,0.0222569864,2017-07-23 06:56:35,0.01654307
2017-07-23 07:16:35,0.0218772291,2017-07-23 07:06:35,0.01666219
2017-07-23 07:26:35,0.021561592,2017-07-23 07:16:35,0.01670508
2017-07-23 07:36:35,0.0213839284,2017-07-23 07:26:35,0.0165559
2017-07-23 07:46:35,0.0212854203,2017-07-23 07:36:35,0.01654277
2017-07-23 07:56:35,0.0218138984,2017-07-23 07:46:35,0.01668427
2017-07-23 08:06:35,0.0220349317,2017-07-23 07:56:35,0.01670566
2017-07-23 08:16:35,0.0224806445,2017-07-23 08:06:35,0.01670936
2017-07-23 08:26:35,0.0226568994,2017-07-23 08:16:35,0.01669779
2017-07-23 08:36:35,0.0233818121,2017-07-23 08:26:35,0.01676499
2017-07-23 08:46:35,0.0238259011,2017-07-23 08:36:35,0.01682625
2017-07-23 08:56:35,0.0240228834,2017-07-23 08:46:35,0.01682226
2017-07-23 09:06:35,0.0244030367,2017-07-23 08:56:35,0.01690191
2017-07-23 09:16:35,0.0247616455,2017-07-23 09:06:35,0.01697562
2017-07-23 09:26:35,0.0250328826,2017-07-23 09:16:35,0.01711527
2017-07-23 09:36:35,0.0252919849,2017-07-23 09:26:35,0.01720143
2017-07-23 09:46:35,0.0251810089,2017-07-23 09:36:35,0.01723897
2017-07-23 09:56:35,0.0250886975,2017-07-23 09:46:35,0.01741402
2017-07-23 10:06:35,0.0251595689,2017-07-23 09:56:35,0.01753412
2017-07-23 10:16:35,0.0251029523,2017-07-23 10:06:35,0.01758138
2017-07-23 10:26:35,0.0252053542,2017-07-23 10:16:35,0.01759461
2017-07-23 10:36:35,0.0252701122,2017-07-23 10:26:35,0.01770285
2017-07-23 10:46:35,0.0253236078,2017-07-23 10:36:35,0.01778473
2017-07-23 10:56:35,0.0251667944,2017-07-23 10:46:35,0.01781487
2017-07-23 11:06:35,0.0252094019,2017-07-23 10:56:35,0.01770479
2017-07-23 11:16:35,0.024645512,2017-07-23 11:06:35,0.01757963
2017-07-23 11:26:35,0.0242838101,2017-07-23 11:16:35,0.01751029
2017-07-23 11:36:35,0.0238816735,2017-07-23 11:26:35,0.01749862
2017-07-23 11:46:35,0.0237719811,2017-07-23 11:36:35,0.01750076
2017-07-23 11:56:35,0.0238040831,2017-07-23 11:46:35,0.01744232
2017-07-23 12:06:35,0.0238812208,2017-07-23 11:56:35,0.01741509
2017-07-23 12:16:35,0.0241206289,2017-07-23 12:06:35,0.01731745
2017-07-23 12:26:35,0.0247432536,2017-07-23 12:16:35,0.01721145
2017-07-23 12:36:35,0.0251996229,2017-07-23 12:26:35,0.01713842
2017-07-23 12:46:35,0.0259555111,2017-07-23 12:36:35,0.01711342
2017-07-23 12:56:35,0.0261819098,2017-07-23 12:46:35,0.01720921
2017-07-23 13:06:35,0.0267237372,2017-07-23 12:56:35,0.0171321
2017-07-23 13:16:35,0.0272167719,2017-07-23 13:06:35,0.01754871
2017-07-23 13:26:35,0.0277088384,2017-07-23 13:16:35,0.0177786
2017-07-23 13:36:35,0.0283336233,2017-07-23 13:26:35,0.01808435
2017-07-23 13:46:35,0.0287627178,2017-07-23 13:36:35,0.01845681
2017-07-23 13:56:35,0.0292228687,2017-07-23 13:46:35,0.01861756
2017-07-23 14:06:35,0.0295563955,2017-07-23 13:56:35,0.01861844
2017-07-23 14:16:35,0.0296322074,2017-07-23 14:06:35,0.01859529
2017-07-23 14:26:35,0.0298571928,2017-07-23 14:16:35,0.01856446
2017-07-23 14:36:35,0.0297201104,2017-07-23 14:26:35,0.0185598
2017-07-23 14:46:35,0.0294916542,2017-07-23 14:36:35,0.01862427
2017-07-23 14:56:35,0.0292015562,2017-07-23 14:46:35,0.01862719
2017-07-23 15:06:35,0.0289426233,2017-07-23 14:56:35,0.0187045
2017-07-23 15:16:35,0.0287046479,2017-07-23 15:06:35,0.0188353
2017-07-23 15:26:35,0.031314317,2017-07-23 15:16:35,0.01886224
2017-07-23 15:36:35,0.0346919853,2017-07-23 15:26:35,0.01911781
2017-07-23 15:46:35,0.0391178014,2017-07-23 15:36:35,0.01941519
2017-07-23 15:56:35,0.0453964924,2017-07-23 15:46:35,0.02028692
2017-07-23 16:06:35,0.0538208747,2017-07-23 15:56:35,0.0213053
2017-07-23 16:16:35,0.0639622983,2017-07-23 16:06:35,0.0237543
2017-07-23 16:26:35,0.0748778173,2017-07-23 16:16:35,0.02724833
2017-07-23 16:36:35,0.0848908491,2017-07-23 16:26:35,0.03159172
2017-07-23 16:46:35,0.0939538883,2017-07-23 16:36:35,0.03521431
2017-07-23 16:56:35,0.102506034,2017-07-23 16:46:35,0.03845033
2017-07-23 17:06:35,0.1112670083,2017-07-23 16:56:35,0.04094261
2017-07-23 17:16:35,0.1164504102,2017-07-23 17:06:35,0.04281619
2017-07-23 17:26:35,0.1208485519,2017-07-23 17:16:35,0.04437488
2017-07-23 17:36:35,0.1245535978,2017-07-23 17:26:35,0.0454413
2017-07-23 17:46:35,0.1283376263,2017-07-23 17:36:35,0.04613566
2017-07-23 17:56:35,0.1330294219,2017-07-23 17:46:35,0.0469611
2017-07-23 18:06:35,0.1367364266,2017-07-23 17:56:35,0.04748429
2017-07-23 18:16:35,0.1393688839,2017-07-23 18:06:35,0.04808091
2017-07-23 18:26:35,0.1419175305,2017-07-23 18:16:35,0.04868346
2017-07-23 18:36:35,0.1432144972,2017-07-23 18:26:35,0.04917913
2017-07-23 18:46:35,0.1427584844,2017-07-23 18:36:35,0.04948984
2017-07-23 18:56:35,0.1405106301,2017-07-23 18:46:35,0.04978752
2017-07-23 19:06:35,0.1381045683,2017-07-23 18:56:35,0.05007274
2017-07-23 19:16:35,0.1355466883,2017-07-23 19:06:35,0.05024731
2017-07-23 19:26:35,0.1334306273,2017-07-23 19:16:35,0.05034465
