"RC_LOSSER_1, x; RC_LOSSER_2, x; RC_LOSSER_3, x; RC_LOSSER_4, x","RC_LOSSER_1, y","RC_LOSSER_2, y","RC_LOSSER_3, y","RC_LOSSER_4, y"
2016-12-08,0.0,-130.0,-20.0,-10.0
2016-12-09,-10.0,-150.0,-60.0,-30.0
2016-12-10,0.0,0.0,0.0,0.0
2016-12-11,0.0,0.0,0.0,0.0
2016-12-12,0.0,-110.0,-10.0,-20.0
2016-12-13,-60.0,-20.0,-10.0,-20.0
2016-12-14,-60.0,-98.0,-20.0,-20.0
2016-12-15,-20.0,-90.0,-10.0,-60.0
2016-12-16,0.0,-160.0,-60.0,-30.0
2016-12-17,0.0,0.0,0.0,0.0
2016-12-18,0.0,0.0,0.0,0.0
2016-12-19,-170.0,-60.0,-80.0,-40.0
2016-12-20,40.0,-80.0,-40.0,-120.0
2016-12-21,-40.0,-100.0,-70.0,-80.0
2016-12-22,-50.0,-160.0,-100.0,-70.0
2016-12-23,-30.0,-200.0,-40.0,-80.0
2016-12-24,0.0,0.0,0.0,0.0
2016-12-25,0.0,0.0,0.0,0.0
2016-12-26,0.0,0.0,0.0,0.0
2016-12-27,-70.0,-60.0,-10.0,-10.0
2016-12-28,-130.0,-20.0,-120.0,-20.0
2016-12-29,-30.0,-70.0,-30.0,-50.0
2016-12-30,-130.0,-80.0,-10.0,-20.0
2016-12-31,0.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,0.0
2017-01-02,-40.0,-20.0,-20.0,-40.0
2017-01-03,-10.0,-130.0,-60.0,0.0
2017-01-04,0.0,-50.0,0.0,-40.0
2017-01-05,-20.0,-260.0,-220.0,-50.0
2017-01-06,0.0,-240.0,-120.0,-30.0
2017-01-07,0.0,0.0,0.0,0.0
2017-01-08,0.0,0.0,0.0,0.0
2017-01-09,-40.0,-170.0,-40.0,-20.0
2017-01-10,0.0,0.0,-70.0,-140.0
2017-01-11,-30.0,-170.0,0.0,-40.0
2017-01-12,0.0,-190.0,-70.0,-150.0
2017-01-13,-20.0,-170.0,-60.0,-80.0
2017-01-14,0.0,0.0,0.0,0.0
2017-01-15,0.0,0.0,0.0,0.0
2017-01-16,-70.0,-660.0,-130.0,-20.0
2017-01-17,0.0,-40.0,-40.0,-40.0
2017-01-18,0.0,0.0,0.0,-30.0
2017-01-19,-40.0,-130.0,-10.0,-210.0
2017-01-20,-50.0,-200.0,-70.0,-10.0
2017-01-21,0.0,0.0,0.0,0.0
2017-01-22,0.0,0.0,0.0,0.0
2017-01-23,-90.0,-150.0,-20.0,-40.0
2017-01-24,-90.0,-90.0,0.0,-50.0
2017-01-25,0.0,-90.0,-10.0,-20.0
2017-01-26,0.0,-260.0,-60.0,-20.0
2017-01-27,-50.0,-140.0,-10.0,-40.0
2017-01-28,0.0,0.0,0.0,0.0
2017-01-29,0.0,0.0,0.0,0.0
2017-01-30,-160.0,-10.0,0.0,-10.0
2017-01-31,0.0,-10.0,0.0,-30.0
2017-02-01,0.0,-10.0,0.0,-20.0
2017-02-02,-50.0,0.0,-170.0,-80.0
2017-02-03,-70.0,0.0,-10.0,-20.0
2017-02-04,0.0,0.0,0.0,0.0
2017-02-05,0.0,0.0,0.0,0.0
2017-02-06,0.0,-10.0,-160.0,-10.0
2017-02-07,-10.0,0.0,-20.0,-10.0
2017-02-08,-270.0,-20.0,-10.0,-50.0
2017-02-09,-200.0,-50.0,-170.0,-60.0
2017-02-10,-50.0,-10.0,-30.0,-60.0
2017-02-11,0.0,0.0,0.0,0.0
2017-02-12,0.0,0.0,0.0,0.0
2017-02-13,0.0,0.0,-10.0,-10.0
2017-02-14,0.0,10.0,0.0,-20.0
2017-02-15,0.0,-50.0,-20.0,-10.0
2017-02-16,0.0,-70.0,-10.0,-40.0
2017-02-17,0.0,-40.0,-10.0,-40.0
2017-02-18,0.0,0.0,0.0,0.0
2017-02-19,0.0,0.0,0.0,0.0
2017-02-20,-10.0,-60.0,0.0,0.0
2017-02-21,0.0,0.0,0.0,-40.0
2017-02-22,0.0,-50.0,-30.0,-30.0
2017-02-23,0.0,10.0,-70.0,-40.0
2017-02-24,-40.0,-50.0,-20.0,-20.0
2017-02-25,0.0,0.0,0.0,0.0
2017-02-26,0.0,0.0,0.0,0.0
2017-02-27,0.0,0.0,-20.0,0.0
2017-02-28,-20.0,0.0,0.0,0.0
2017-03-01,-30.0,0.0,-10.0,0.0
2017-03-02,-30.0,-70.0,-60.0,-120.0
2017-03-03,-90.0,0.0,-140.0,-10.0
2017-03-04,0.0,0.0,0.0,0.0
2017-03-05,0.0,0.0,0.0,0.0
2017-03-06,-10.0,0.0,-10.0,-30.0
2017-03-07,-160.0,-20.0,-120.0,0.0
2017-03-08,-40.0,-50.0,-10.0,-30.0
2017-03-09,-120.0,-40.0,-40.0,-80.0
2017-03-10,-470.0,-40.0,-20.0,-60.0
2017-03-11,0.0,0.0,0.0,0.0
2017-03-12,0.0,-10.0,0.0,0.0
2017-03-13,-10.0,-20.0,-260.0,-40.0
2017-03-14,0.0,-100.0,-10.0,-40.0
2017-03-15,-40.0,-10.0,-10.0,0.0
2017-03-16,-120.0,-20.0,-50.0,-90.0
2017-03-17,-20.0,-10.0,-110.0,-160.0
2017-03-18,0.0,0.0,0.0,0.0
2017-03-19,0.0,0.0,0.0,0.0
2017-03-20,-160.0,-10.0,0.0,-10.0
2017-03-21,0.0,-10.0,0.0,-130.0
2017-03-22,0.0,-10.0,-10.0,-40.0
2017-03-23,-60.0,-170.0,-20.0,-80.0
2017-03-24,-50.0,-230.0,-30.0,-20.0
2017-03-25,0.0,0.0,0.0,0.0
2017-03-26,-20.0,-20.0,0.0,-30.0
2017-03-27,-30.0,-70.0,-20.0,-60.0
2017-03-28,-50.0,-50.0,-40.0,0.0
2017-03-29,-20.0,-30.0,-130.0,-40.0
2017-03-30,-10.0,-40.0,-10.0,-20.0
2017-03-31,-20.0,0.0,-70.0,-30.0
2017-04-01,0.0,0.0,0.0,0.0
2017-04-02,0.0,0.0,0.0,0.0
2017-04-03,0.0,-10.0,-160.0,-30.0
2017-04-04,-10.0,0.0,-10.0,-20.0
2017-04-05,-20.0,0.0,-10.0,0.0
2017-04-06,-30.0,-10.0,-20.0,-20.0
2017-04-07,-70.0,-10.0,-290.0,-10.0
2017-04-08,0.0,0.0,0.0,0.0
2017-04-09,0.0,0.0,0.0,0.0
2017-04-10,0.0,0.0,-10.0,-40.0
2017-04-11,-40.0,-10.0,-40.0,-70.0
2017-04-12,-10.0,-10.0,-20.0,0.0
2017-04-13,0.0,0.0,0.0,0.0
2017-04-14,0.0,0.0,0.0,0.0
2017-04-15,0.0,0.0,0.0,0.0
2017-04-16,0.0,0.0,0.0,0.0
2017-04-17,-10.0,0.0,-30.0,-20.0
2017-04-18,-100.0,-20.0,-20.0,-40.0
2017-04-19,-240.0,-160.0,-100.0,-130.0
2017-04-20,-110.0,-100.0,-120.0,-100.0
2017-04-21,-50.0,-80.0,-40.0,-10.0
2017-04-22,0.0,0.0,0.0,0.0
2017-04-23,0.0,0.0,0.0,0.0
2017-04-24,-90.0,-10.0,-30.0,-40.0
2017-04-25,-30.0,0.0,-10.0,0.0
2017-04-26,-30.0,-10.0,-10.0,-10.0
2017-04-27,-370.0,-40.0,-230.0,10.0
2017-04-28,-20.0,0.0,-130.0,0.0
2017-04-29,0.0,0.0,-10.0,0.0
2017-04-30,0.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,0.0
2017-05-02,-80.0,-20.0,-40.0,-10.0
2017-05-03,-90.0,0.0,-10.0,0.0
2017-05-04,-120.0,0.0,-60.0,-60.0
2017-05-05,-90.0,-40.0,0.0,0.0
2017-05-06,0.0,0.0,0.0,0.0
2017-05-07,0.0,0.0,0.0,-50.0
2017-05-08,-40.0,0.0,-10.0,-40.0
2017-05-09,-10.0,0.0,-20.0,0.0
2017-05-10,-60.0,0.0,0.0,-170.0
2017-05-11,-60.0,-30.0,-30.0,-10.0
2017-05-12,-160.0,-70.0,0.0,-10.0
2017-05-13,-40.0,0.0,0.0,0.0
2017-05-14,0.0,0.0,0.0,0.0
2017-05-15,-260.0,-10.0,-40.0,-30.0
2017-05-16,-80.0,-30.0,-20.0,-20.0
2017-05-17,0.0,0.0,0.0,0.0
2017-05-18,-10.0,0.0,-80.0,0.0
2017-05-19,-20.0,0.0,0.0,0.0
2017-05-20,0.0,0.0,0.0,0.0
2017-05-21,0.0,0.0,0.0,0.0
2017-05-22,-20.0,0.0,-10.0,0.0
2017-05-23,-100.0,0.0,-50.0,-20.0
2017-05-24,-100.0,-20.0,-10.0,-110.0
2017-05-25,0.0,0.0,0.0,0.0
2017-05-26,-120.0,0.0,-20.0,-10.0
2017-05-27,0.0,0.0,0.0,0.0
2017-05-28,0.0,0.0,0.0,0.0
2017-05-29,-40.0,0.0,-40.0,0.0
2017-05-30,-20.0,-10.0,0.0,0.0
2017-05-31,-20.0,-40.0,-30.0,0.0
2017-06-01,-140.0,-150.0,0.0,-70.0
2017-06-02,-60.0,-30.0,-40.0,-20.0
2017-06-03,0.0,0.0,0.0,0.0
2017-06-04,0.0,0.0,0.0,0.0
2017-06-05,0.0,0.0,0.0,0.0
2017-06-06,-60.0,0.0,-40.0,0.0
2017-06-07,-40.0,0.0,0.0,-30.0
2017-06-08,0.0,0.0,0.0,0.0
2017-06-09,0.0,0.0,0.0,0.0
2017-06-10,0.0,0.0,0.0,0.0
2017-06-11,0.0,0.0,0.0,0.0
2017-06-12,0.0,0.0,0.0,0.0
2017-06-13,0.0,0.0,0.0,0.0
2017-06-14,0.0,0.0,0.0,0.0
2017-06-15,0.0,0.0,0.0,0.0
2017-06-16,0.0,0.0,0.0,0.0
2017-06-17,0.0,0.0,0.0,0.0
2017-06-18,0.0,0.0,0.0,0.0
2017-06-19,0.0,0.0,0.0,0.0
2017-06-20,0.0,0.0,0.0,0.0
2017-06-21,0.0,0.0,0.0,0.0
2017-06-22,0.0,0.0,0.0,0.0
2017-06-23,0.0,0.0,0.0,0.0
2017-06-24,0.0,0.0,0.0,0.0
2017-06-25,0.0,0.0,0.0,0.0
2017-06-26,0.0,0.0,0.0,0.0
2017-06-27,0.0,0.0,0.0,0.0
2017-06-28,0.0,0.0,0.0,0.0
2017-06-29,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,0.0,0.0
2017-07-03,0.0,0.0,0.0,0.0
2017-07-04,0.0,0.0,0.0,0.0
2017-07-05,-20.0,-10.0,0.0,-20.0
2017-07-06,-90.0,0.0,-10.0,-90.0
2017-07-07,-50.0,-10.0,-10.0,-70.0
2017-07-08,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,0.0,0.0
2017-07-10,-160.0,-20.0,0.0,-20.0
2017-07-11,-140.0,0.0,0.0,-40.0
2017-07-12,-70.0,0.0,0.0,-20.0
2017-07-13,-150.0,-50.0,0.0,-60.0
2017-07-14,-40.0,0.0,-10.0,-30.0
2017-07-15,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,0.0,0.0
2017-07-17,-40.0,0.0,0.0,-30.0
2017-07-18,-10.0,0.0,0.0,-30.0
2017-07-19,-30.0,0.0,0.0,-20.0
2017-07-20,-180.0,-30.0,0.0,-30.0
2017-07-21,-80.0,-20.0,-20.0,-60.0
2017-07-22,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0,0.0
2017-07-24,-20.0,0.0,0.0,-10.0
2017-07-25,-20.0,0.0,0.0,-10.0
2017-07-26,-60.0,-20.0,-10.0,-30.0
2017-07-27,-60.0,0.0,0.0,-100.0
2017-07-28,-10.0,-10.0,0.0,10.0
2017-07-29,0.0,0.0,0.0,0.0
2017-07-30,0.0,0.0,0.0,0.0
2017-07-31,-20.0,-50.0,0.0,-10.0
2017-08-01,-50.0,-40.0,30.0,0.0
2017-08-02,-100.0,-10.0,-50.0,-200.0
2017-08-03,-290.0,-140.0,-20.0,-20.0
2017-08-04,-60.0,20.0,-130.0,0.0
2017-08-05,0.0,0.0,0.0,0.0
2017-08-06,0.0,0.0,0.0,0.0
2017-08-07,-80.0,0.0,-20.0,-20.0
2017-08-08,-30.0,-40.0,0.0,0.0
2017-08-09,-40.0,0.0,-10.0,0.0
2017-08-10,-160.0,-90.0,0.0,-40.0
2017-08-11,-140.0,-50.0,0.0,-20.0
2017-08-12,0.0,0.0,0.0,0.0
2017-08-13,0.0,0.0,0.0,0.0
2017-08-14,-80.0,-50.0,-40.0,-60.0
2017-08-15,-10.0,-30.0,0.0,-10.0
2017-08-16,-110.0,-20.0,0.0,-10.0
2017-08-17,-190.0,-70.0,0.0,-20.0
2017-08-18,-50.0,-10.0,-10.0,0.0
2017-08-19,0.0,0.0,0.0,0.0
2017-08-20,0.0,0.0,0.0,0.0
2017-08-21,-20.0,-40.0,-40.0,140.0
2017-08-22,-10.0,-10.0,-360.0,0.0
2017-08-23,0.0,-30.0,-40.0,0.0
2017-08-24,-40.0,-60.0,-190.0,-100.0
2017-08-25,-20.0,-40.0,0.0,0.0
2017-08-26,0.0,0.0,0.0,0.0
2017-08-27,0.0,0.0,0.0,0.0
2017-08-28,-80.0,0.0,0.0,0.0
2017-08-29,0.0,0.0,0.0,-50.0
2017-08-30,-20.0,-20.0,-20.0,-10.0
2017-08-31,-30.0,-180.0,-40.0,0.0
2017-09-01,-20.0,-30.0,-10.0,-30.0
2017-09-02,0.0,0.0,0.0,0.0
2017-09-03,0.0,0.0,0.0,0.0
2017-09-04,-10.0,-20.0,-20.0,-10.0
2017-09-05,0.0,-10.0,-10.0,0.0
2017-09-06,-10.0,-20.0,-40.0,-10.0
2017-09-07,-10.0,-10.0,-10.0,-30.0
2017-09-08,-10.0,-190.0,-10.0,0.0
2017-09-09,0.0,0.0,0.0,0.0
2017-09-10,0.0,0.0,0.0,0.0
2017-09-11,0.0,-40.0,0.0,0.0
2017-09-12,-30.0,-40.0,0.0,-10.0
2017-09-13,-30.0,0.0,0.0,0.0
2017-09-14,-10.0,-50.0,0.0,-10.0
2017-09-15,0.0,-10.0,-10.0,40.0
2017-09-16,0.0,0.0,0.0,0.0
2017-09-17,0.0,0.0,0.0,0.0
2017-09-18,0.0,-10.0,-10.0,0.0
2017-09-19,-20.0,-10.0,-10.0,-20.0
2017-09-20,-10.0,0.0,-10.0,0.0
2017-09-21,20.0,-10.0,-190.0,-50.0
2017-09-22,-10.0,-180.0,-160.0,-40.0
2017-09-23,0.0,0.0,0.0,0.0
2017-09-24,0.0,0.0,0.0,0.0
2017-09-25,-30.0,-20.0,-160.0,-10.0
2017-09-26,-200.0,-70.0,-10.0,0.0
2017-09-27,-10.0,-40.0,0.0,-10.0
2017-09-28,-20.0,-40.0,0.0,-20.0
2017-09-29,-10.0,-20.0,0.0,-60.0
2017-09-30,0.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,0.0
2017-10-02,-20.0,-10.0,-40.0,-20.0
2017-10-03,-10.0,0.0,-160.0,-20.0
2017-10-04,-10.0,0.0,-10.0,-40.0
2017-10-05,0.0,-140.0,-20.0,0.0
2017-10-06,0.0,-40.0,-170.0,-3.0
2017-10-07,0.0,0.0,0.0,0.0
2017-10-08,0.0,0.0,0.0,0.0
2017-10-09,-40.0,-40.0,-50.0,0.0
2017-10-10,-50.0,-10.0,0.0,0.0
2017-10-11,0.0,0.0,-50.0,0.0
2017-10-12,0.0,-30.0,-60.0,-20.0
2017-10-13,0.0,-10.0,-40.0,-10.0
2017-10-14,0.0,0.0,0.0,0.0
2017-10-15,0.0,0.0,0.0,0.0
2017-10-16,-10.0,-50.0,-10.0,-10.0
2017-10-17,0.0,-20.0,-20.0,0.0
2017-10-18,0.0,-20.0,-10.0,-20.0
2017-10-19,-10.0,-20.0,-10.0,-31.0
2017-10-20,0.0,0.0,-40.0,0.0
2017-10-21,0.0,0.0,0.0,0.0
2017-10-22,0.0,0.0,0.0,0.0
2017-10-23,0.0,-40.0,0.0,-20.0
2017-10-24,-40.0,-50.0,-10.0,140.0
2017-10-25,10.0,0.0,-20.0,0.0
2017-10-26,0.0,-10.0,-20.0,-10.0
2017-10-27,-20.0,-70.0,0.0,0.0
2017-10-28,0.0,0.0,0.0,0.0
2017-10-29,0.0,0.0,0.0,0.0
2017-10-30,0.0,-20.0,-170.0,-310.0
2017-10-31,0.0,0.0,-60.0,-7.0
2017-11-01,0.0,-10.0,-130.0,-26.0
2017-11-02,-10.0,-50.0,-200.0,-100.0
2017-11-03,-40.0,-40.0,-10.0,-74.0
2017-11-04,0.0,0.0,0.0,0.0
2017-11-05,0.0,0.0,0.0,0.0
2017-11-06,0.0,-10.0,-170.0,-53.0
2017-11-07,0.0,0.0,0.0,-18.0
2017-11-08,0.0,0.0,0.0,-14.0
2017-11-09,0.0,-80.0,-40.0,-10.0
2017-11-10,0.0,-20.0,0.0,-40.0
2017-11-11,0.0,0.0,0.0,0.0
2017-11-12,0.0,0.0,0.0,0.0
2017-11-13,0.0,-20.0,0.0,-10.0
2017-11-14,0.0,-80.0,-10.0,0.0
2017-11-15,0.0,-10.0,-10.0,0.0
2017-11-16,0.0,-20.0,-20.0,-40.0
2017-11-17,-10.0,-30.0,-30.0,0.0
2017-11-18,0.0,0.0,0.0,0.0
2017-11-19,0.0,0.0,0.0,0.0
2017-11-20,0.0,0.0,-20.0,0.0
2017-11-21,0.0,-40.0,-10.0,-1.0
2017-11-22,-10.0,-20.0,0.0,-10.0
2017-11-23,-40.0,-70.0,-20.0,-30.0
2017-11-24,0.0,-140.0,-10.0,-10.0
2017-11-25,0.0,0.0,0.0,0.0
2017-11-26,0.0,0.0,0.0,0.0
2017-11-27,-40.0,-20.0,0.0,0.0
2017-11-28,-40.0,-30.0,0.0,0.0
2017-11-29,0.0,-20.0,-20.0,-10.0
2017-11-30,-160.0,-40.0,-60.0,-20.0
2017-12-01,0.0,-10.0,-160.0,-110.0
2017-12-02,0.0,0.0,0.0,0.0
2017-12-03,0.0,0.0,0.0,0.0
2017-12-04,0.0,-30.0,0.0,-10.0
2017-12-05,-70.0,-40.0,0.0,-140.0
2017-12-06,-20.0,-60.0,0.0,-50.0
2017-12-07,0.0,-50.0,-30.0,-10.0
2017-12-08,0.0,-40.0,-80.0,-40.0
2017-12-09,0.0,0.0,0.0,0.0
2017-12-10,0.0,0.0,0.0,0.0
2017-12-11,-80.0,0.0,-10.0,-70.0
2017-12-12,0.0,-10.0,0.0,-20.0
2017-12-13,0.0,-50.0,0.0,-10.0
2017-12-14,0.0,-40.0,-150.0,-40.0
2017-12-15,0.0,-90.0,-50.0,-30.0
2017-12-16,0.0,0.0,0.0,0.0
2017-12-17,0.0,0.0,0.0,0.0
2017-12-18,0.0,-80.0,-20.0,-40.0
2017-12-19,0.0,-50.0,-70.0,-50.0
2017-12-20,-40.0,-30.0,-60.0,-10.0
2017-12-21,0.0,-50.0,-70.0,-100.0
2017-12-22,-160.0,-10.0,10.0,0.0
2017-12-23,0.0,0.0,0.0,0.0
2017-12-24,0.0,0.0,0.0,0.0
2017-12-25,0.0,0.0,0.0,0.0
2017-12-26,-90.0,-180.0,-50.0,0.0
2017-12-27,0.0,-10.0,-30.0,0.0
2017-12-28,-40.0,-10.0,-170.0,-10.0
2017-12-29,0.0,-110.0,-30.0,-40.0
2017-12-30,0.0,0.0,0.0,0.0
2017-12-31,0.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,0.0
2018-01-02,0.0,-20.0,0.0,-10.0
2018-01-03,-10.0,0.0,-10.0,-10.0
2018-01-04,-50.0,0.0,-60.0,-10.0
2018-01-05,-80.0,-20.0,-130.0,-30.0
2018-01-06,0.0,0.0,0.0,0.0
2018-01-07,0.0,0.0,0.0,0.0
2018-01-08,0.0,-20.0,-50.0,-10.0
2018-01-09,0.0,0.0,-80.0,0.0
2018-01-10,0.0,0.0,0.0,-10.0
2018-01-11,-10.0,-50.0,-300.0,-40.0
2018-01-12,0.0,-80.0,-10.0,-30.0
