"Group1; Group1 (2), x","Group2; Group2 (2), x","Group3; Group3 (2), x","Group1 (1), x","Group1 (1), y","Group2 (1), x","Group2 (1), y","Group3 (1), x","Group3 (1), y","Group1 (2), y","Group2 (2), y","Group3 (2), y"
8845.0,9742.970896028,8902.1781075105,8179.432,7.43956e-05,3716.7696312975,2.73951e-05,7905.4157572124,7.31253e-05,Group1,Group2,Group3
10295.0,10033.6063319234,8995.7131041291,8259.996,7.45076e-05,3805.0499895212,2.84049e-05,7979.597576566,7.33896e-05,Group1,Group2,Group3
12945.0,10690.399062218,10580.9342443224,8340.56,7.45845e-05,3893.3303477449,2.94267e-05,8053.7793959195,7.36233e-05,Group1,Group2,Group3
10345.0,9994.8393026636,9950.1505312592,8421.124,7.46266e-05,3981.6107059686,3.04592e-05,8127.961215273,7.38265e-05,Group1,Group2,Group3
6785.0,9713.613055018,8422.9162937032,8501.688,7.46345e-05,4069.8910641923,3.1501e-05,8202.1430346266,7.39994e-05,Group1,Group2,Group3
11048.0,12583.5922716192,11600.7561580479,8582.252,7.46087e-05,4158.171422416,3.25506e-05,8276.3248539801,7.41421e-05,Group1,Group2,Group3
32250.0,35459.0142570013,35564.9318967553,8662.816,7.45496e-05,4246.4517806398,3.36066e-05,8350.5066733336,7.42549e-05,Group1,Group2,Group3
35550.0,35459.0142570013,35564.9318967553,8743.38,7.44579e-05,4334.7321388635,3.46675e-05,8424.6884926872,7.4338e-05,Group1,Group2,Group3
36000.0,44502.2951306545,41969.592044042,8823.944,7.43342e-05,4423.0124970872,3.57318e-05,8498.8703120407,7.43917e-05,Group1,Group2,Group3
5195.0,5400.7089513636,5212.606079715,8904.508,7.41794e-05,4511.2928553109,3.67979e-05,8573.0521313942,7.44164e-05,Group1,Group2,Group3
6095.0,5592.7174566076,6442.0502289584,8985.072,7.39941e-05,4599.5732135346,3.78642e-05,8647.2339507478,7.44124e-05,Group1,Group2,Group3
6795.0,5614.087709247,6438.6102533012,9065.636,7.37792e-05,4687.8535717583,3.89291e-05,8721.4157701013,7.43802e-05,Group1,Group2,Group3
6695.0,5785.049730362,6421.8142013487,9146.2,7.35355e-05,4776.1339299821,3.99912e-05,8795.5975894548,7.43203e-05,Group1,Group2,Group3
7395.0,5806.4199830014,6421.0551640178,9226.764,7.3264e-05,4864.4142882058,4.10486e-05,8869.7794088084,7.4233e-05,Group1,Group2,Group3
8845.0,11339.7153494403,10122.768896177,9307.328,7.29656e-05,4952.6946464295,4.21e-05,8943.9612281619,7.41189e-05,Group1,Group2,Group3
8495.0,11446.5666126371,10191.482306865,9387.892,7.26413e-05,5040.9750046532,4.31436e-05,9018.1430475154,7.39787e-05,Group1,Group2,Group3
10595.0,11339.7153494403,10122.768896177,9468.456,7.2292e-05,5129.2553628769,4.4178e-05,9092.324866869,7.38129e-05,Group1,Group2,Group3
10245.0,11446.5666126371,10191.482306865,9549.02,7.19188e-05,5217.5357211006,4.52016e-05,9166.5066862225,7.3622e-05,Group1,Group2,Group3
10795.0,11312.9489051041,11007.5638908165,9629.584,7.15228e-05,5305.8160793244,4.62129e-05,9240.688505576,7.34068e-05,Group1,Group2,Group3
11245.0,11510.6773705552,10236.2849377129,9710.148,7.11051e-05,5394.0964375481,4.72104e-05,9314.8703249296,7.31679e-05,Group1,Group2,Group3
18280.0,15310.4129719449,14993.6681843443,9790.712,7.06667e-05,5482.3767957718,4.81927e-05,9389.0521442831,7.29061e-05,Group1,Group2,Group3
18344.0,13863.2289388838,13068.3336318219,9871.276,7.02088e-05,5570.6571539955,4.91584e-05,9463.2339636366,7.2622e-05,Group1,Group2,Group3
25552.0,23684.8896592451,23425.3335140389,9951.84,6.97325e-05,5658.9375122192,5.01063e-05,9537.4157829902,7.23164e-05,Group1,Group2,Group3
28248.0,24689.2915332955,25909.0168912058,10032.404,6.9239e-05,5747.2178704429,5.10349e-05,9611.5976023437,7.19901e-05,Group1,Group2,Group3
28176.0,23599.4086486876,23244.340173042,10112.968,6.87293e-05,5835.4982286667,5.19432e-05,9685.7794216972,7.16439e-05,Group1,Group2,Group3
31600.0,24774.772543853,26150.7781675989,10193.532,6.82047e-05,5923.7785868904,5.28299e-05,9759.9612410508,7.12785e-05,Group1,Group2,Group3
34184.0,30890.7323449911,33225.5783643358,10274.096,6.76664e-05,6012.0589451141,5.36939e-05,9834.1430604043,7.08949e-05,Group1,Group2,Group3
35056.0,30655.659565958,32895.8739634087,10354.66,6.71153e-05,6100.3393033378,5.45343e-05,9908.3248797578,7.04938e-05,Group1,Group2,Group3
40960.0,40383.4624949331,42177.4162985447,10435.224,6.65528e-05,6188.6196615615,5.53501e-05,9982.5066991114,7.0076e-05,Group1,Group2,Group3
45400.0,39152.5429812298,41528.3028144715,10515.788,6.59799e-05,6276.9000197852,5.61404e-05,10056.6885184649,6.96426e-05,Group1,Group2,Group3
16503.0,17613.9418796336,19168.6462185254,10596.352,6.53977e-05,6365.180378009,5.69045e-05,10130.8703378184,6.91942e-05,Group1,Group2,Group3
5389.0,5843.6774076062,6514.2712185924,10676.916,6.48074e-05,6453.4607362327,5.76415e-05,10205.052157172,6.87319e-05,Group1,Group2,Group3
6189.0,5890.8307213458,6512.2809121524,10757.48,6.421e-05,6541.7410944564,5.83508e-05,10279.2339765255,6.82565e-05,Group1,Group2,Group3
6669.0,6147.2737530182,6522.8404161256,10838.044,6.36066e-05,6630.0214526801,5.90319e-05,10353.415795879,6.77689e-05,Group1,Group2,Group3
7689.0,8069.0854638936,9683.0503319074,10918.608,6.29983e-05,6718.3018109038,5.96842e-05,10427.5976152326,6.727e-05,Group1,Group2,Group3
9959.0,10692.9382932375,11086.2038957494,10999.172,6.23862e-05,6806.5821691275,6.03073e-05,10501.7794345861,6.67606e-05,Group1,Group2,Group3
8499.0,11193.6747443321,10185.9021448719,11079.736,6.17711e-05,6894.8625273513,6.09008e-05,10575.9612539396,6.62418e-05,Group1,Group2,Group3
12629.0,18313.8685908188,19729.5981330358,11160.3,6.11541e-05,6983.142885575,6.14645e-05,10650.1430732932,6.57143e-05,Group1,Group2,Group3
14869.0,18689.9850372718,19435.6264370076,11240.864,6.05361e-05,7071.4232437987,6.19981e-05,10724.3248926467,6.5179e-05,Group1,Group2,Group3
14489.0,18711.3552899111,19421.6938026705,11321.428,5.9918e-05,7159.7036020224,6.25014e-05,10798.5067120002,6.46369e-05,Group1,Group2,Group3
6989.0,11351.8146138634,10233.6527880794,11401.992,5.93008e-05,7247.9839602461,6.29744e-05,10872.6885313537,6.40888e-05,Group1,Group2,Group3
8189.0,11522.7766349784,10303.6246384938,11482.556,5.86853e-05,7336.2643184698,6.3417e-05,10946.8703507073,6.35355e-05,Group1,Group2,Group3
9279.0,10833.9819606573,10949.5610722066,11563.12,5.80722e-05,7424.5446766936,6.38293e-05,11021.0521700608,6.2978e-05,Group1,Group2,Group3
9279.0,10833.9819606573,10949.5610722066,11643.684,5.74625e-05,7512.8250349173,6.42112e-05,11095.2339894143,6.24169e-05,Group1,Group2,Group3
5499.0,6209.1042186211,6959.9110919021,11724.248,5.68567e-05,7601.105393141,6.4563e-05,11169.4158087679,6.18532e-05,Group1,Group2,Group3
7099.0,7352.1939727622,8080.4838619269,11804.812,5.62557e-05,7689.3857513647,6.48847e-05,11243.5976281214,6.12877e-05,Group1,Group2,Group3
6649.0,6333.0516839294,6938.9728851172,11885.376,5.56601e-05,7777.6661095884,6.51767e-05,11317.7794474749,6.0721e-05,Group1,Group2,Group3
6849.0,6418.5326944869,6930.3712304175,11965.94,5.50705e-05,7865.9464678121,6.54391e-05,11391.9612668285,6.0154e-05,Group1,Group2,Group3
7349.0,6786.1010398841,6947.6939680589,12046.504,5.44875e-05,7954.2268260359,6.56723e-05,11466.143086182,5.95874e-05,Group1,Group2,Group3
7299.0,6474.0953513493,6927.3359827338,12127.068,5.39116e-05,8042.5071842596,6.58766e-05,11540.3249055355,5.90218e-05,Group1,Group2,Group3
7799.0,6803.1972419956,6950.6444274475,12207.632,5.33435e-05,8130.7875424833,6.60523e-05,11614.5067248891,5.84581e-05,Group1,Group2,Group3
7499.0,6559.5763619068,6926.5984137912,12288.196,5.27835e-05,8219.067900707,6.61998e-05,11688.6885442426,5.78967e-05,Group1,Group2,Group3
7999.0,6841.6636967465,6957.9800050366,12368.76,5.2232e-05,8307.3482589307,6.63196e-05,11762.8703635961,5.73384e-05,Group1,Group2,Group3
8249.0,6717.7162314381,6937.7985755368,12449.324,5.16895e-05,8395.6286171544,6.64121e-05,11837.0521829497,5.67838e-05,Group1,Group2,Group3
8949.0,11218.6720778939,9840.277965027,12529.888,5.11563e-05,8483.9089753782,6.64777e-05,11911.2340023032,5.62333e-05,Group1,Group2,Group3
9549.0,11124.6429662806,9867.4398183494,12610.452,5.06328e-05,8572.1893336019,6.6517e-05,11985.4158216567,5.56876e-05,Group1,Group2,Group3
13499.0,22313.1633481393,23566.9708158305,12691.016,5.01191e-05,8660.4696918256,6.65304e-05,12059.5976410103,5.51471e-05,Group1,Group2,Group3
14399.0,23172.247504242,23457.6823557452,12771.58,4.96155e-05,8748.7500500493,6.65184e-05,12133.7794603638,5.46123e-05,Group1,Group2,Group3
13499.0,22227.5435796488,20860.1959670971,12852.144,4.91222e-05,8837.030408273,6.64816e-05,12207.9612797173,5.40836e-05,Group1,Group2,Group3
17199.0,22469.7186854168,20917.4485410819,12932.708,4.86394e-05,8925.3107664967,6.64206e-05,12282.1430990709,5.35614e-05,Group1,Group2,Group3
19699.0,23693.5088711287,23750.7128319296,13013.272,4.81671e-05,9013.5911247205,6.63358e-05,12356.3249184244,5.30461e-05,Group1,Group2,Group3
18399.0,22760.3541213122,20672.2540635578,13093.836,4.77055e-05,9101.8714829442,6.62278e-05,12430.5067377779,5.2538e-05,Group1,Group2,Group3
11900.0,13980.1712453438,14091.2141186605,13174.4,4.72546e-05,9190.1518411679,6.60973e-05,12504.6885571315,5.20374e-05,Group1,Group2,Group3
13200.0,18401.5653796156,17230.3131934554,13254.964,4.68143e-05,9278.4321993916,6.59447e-05,12578.870376485,5.15446e-05,Group1,Group2,Group3
12440.0,14877.7218561974,16061.9380074076,13335.528,4.63848e-05,9366.7125576153,6.57708e-05,12653.0521958385,5.10597e-05,Group1,Group2,Group3
13860.0,19226.8271526499,21494.875581945,13416.092,4.59658e-05,9454.992915839,6.55762e-05,12727.2340151921,5.05829e-05,Group1,Group2,Group3
15580.0,14166.4538868866,14511.2815094463,13496.656,4.55574e-05,9543.2732740628,6.53614e-05,12801.4158345456,5.01145e-05,Group1,Group2,Group3
16900.0,18636.6381586487,17809.523511033,13577.22,4.51594e-05,9631.5536322865,6.51271e-05,12875.5976538991,4.96545e-05,Group1,Group2,Group3
16695.0,15064.0044977402,16708.908309592,13657.784,4.47716e-05,9719.8339905102,6.48739e-05,12949.7794732527,4.92031e-05,Group1,Group2,Group3
17075.0,19461.899931683,22268.3083389884,13738.348,4.43939e-05,9808.1143487339,6.46026e-05,13023.9612926062,4.87602e-05,Group1,Group2,Group3
16630.0,14215.2440243769,14556.5672023412,13818.912,4.40261e-05,9896.3947069576,6.43138e-05,13098.1431119597,4.83259e-05,Group1,Group2,Group3
17950.0,18636.6381586487,17809.523511033,13899.476,4.36679e-05,9984.6750651813,6.40081e-05,13172.3249313133,4.79003e-05,Group1,Group2,Group3
18150.0,17088.8654781056,16766.6766546536,13980.04,4.33191e-05,10072.9554234051,6.36864e-05,13246.5067506668,4.74832e-05,Group1,Group2,Group3
5572.0,5623.5673245829,6329.8406402786,14060.604,4.29793e-05,10161.2357816288,6.33493e-05,13320.6885700203,4.70746e-05,Group1,Group2,Group3
7957.0,7996.4266049198,9755.9462613762,14141.168,4.26484e-05,10249.5161398525,6.29975e-05,13394.8703893739,4.66744e-05,Group1,Group2,Group3
6229.0,5769.0238004636,6329.8052308923,14221.732,4.2326e-05,10337.7964980762,6.26319e-05,13469.0522087274,4.62826e-05,Group1,Group2,Group3
6692.0,5863.0529120768,6334.1956471954,14302.296,4.20116e-05,10426.0768562999,6.22531e-05,13543.2340280809,4.58989e-05,Group1,Group2,Group3
7609.0,7606.8514508006,7383.2878823334,14382.86,4.17051e-05,10514.3572145236,6.1862e-05,13617.4158474345,4.55233e-05,Group1,Group2,Group3
8921.0,12035.755203612,10827.3657767461,14463.424,4.14059e-05,10602.6375727473,6.14594e-05,13691.597666788,4.51556e-05,Group1,Group2,Group3
12764.0,18249.7578329007,19788.9114997791,14543.988,4.11138e-05,10690.9179309711,6.1046e-05,13765.7794861415,4.47955e-05,Group1,Group2,Group3
22018.0,17543.7024667223,16794.0902901403,14624.552,4.08283e-05,10779.1982891948,6.06228e-05,13839.9613054951,4.44429e-05,Group1,Group2,Group3
32528.0,23700.6765398107,27445.3060454033,14705.116,4.0549e-05,10867.4786474185,6.01905e-05,13914.1431248486,4.40976e-05,Group1,Group2,Group3
34028.0,23700.6765398107,27445.3060454033,14785.68,4.02755e-05,10955.7590056422,5.975e-05,13988.3249442021,4.37592e-05,Group1,Group2,Group3
37028.0,23888.7347630371,26682.4983713301,14866.244,4.00074e-05,11044.0393638659,5.93021e-05,14062.5067635557,4.34277e-05,Group1,Group2,Group3
9295.0,16248.7010226246,11321.5657589302,14946.808,3.97441e-05,11132.3197220897,5.88479e-05,14136.6885829092,4.31026e-05,Group1,Group2,Group3
9895.0,15740.0890098076,13907.3969172096,15027.372,3.94854e-05,11220.6000803134,5.8388e-05,14210.8704022627,4.27839e-05,Group1,Group2,Group3
11850.0,12945.4518894324,12256.1043471533,15107.936,3.92307e-05,11308.8804385371,5.79235e-05,14285.0522216163,4.24711e-05,Group1,Group2,Group3
12170.0,13103.5917589637,12289.8276084475,15188.5,3.89796e-05,11397.1607967608,5.74552e-05,14359.2340409698,4.2164e-05,Group1,Group2,Group3
15040.0,13154.8803652982,12304.2679751271,15269.064,3.87316e-05,11485.4411549845,5.69839e-05,14433.4158603233,4.18624e-05,Group1,Group2,Group3
15510.0,13372.8569422198,12384.7814331652,15349.628,3.84863e-05,11573.7215132082,5.65107e-05,14507.5976796769,4.15659e-05,Group1,Group2,Group3
18150.0,14763.6649058816,14825.6410759153,15430.192,3.82433e-05,11662.0018714319,5.60363e-05,14581.7794990304,4.12744e-05,Group1,Group2,Group3
18620.0,14930.3528764687,14524.197274413,15510.756,3.80022e-05,11750.2822296557,5.55617e-05,14655.9613183839,4.09874e-05,Group1,Group2,Group3
5118.0,6875.9023536138,6892.477827837,15591.32,3.77624e-05,11838.5625878794,5.50876e-05,14730.1431377375,4.07048e-05,Group1,Group2,Group3
7053.0,8376.6516221986,7474.1494601716,15671.884,3.75235e-05,11926.8429461031,5.46151e-05,14804.324957091,4.04263e-05,Group1,Group2,Group3
7603.0,8889.5376855435,7764.6752280821,15752.448,3.72852e-05,12015.1233043268,5.41449e-05,14878.5067764445,4.01516e-05,Group1,Group2,Group3
7126.0,8831.0025040722,8083.1364988643,15833.012,3.70471e-05,12103.4036625505,5.36778e-05,14952.6885957981,3.98805e-05,Group1,Group2,Group3
7775.0,8938.0387778464,8465.9097598964,15913.576,3.68087e-05,12191.6840207742,5.32146e-05,15026.8704151516,3.96127e-05,Group1,Group2,Group3
9960.0,9850.5631819744,9162.1811147434,15994.14,3.65696e-05,12279.964378998,5.27561e-05,15101.0522345051,3.9348e-05,Group1,Group2,Group3
9233.0,9600.8866308215,8009.7009749961,16074.704,3.63295e-05,12368.2447372217,5.2303e-05,15175.2340538587,3.90861e-05,Group1,Group2,Group3
11259.0,10927.8959403957,10672.386852223,16155.268,3.6088e-05,12456.5250954454,5.18561e-05,15249.4158732122,3.88269e-05,Group1,Group2,Group3
7463.0,9344.1198306387,8588.2531770362,16235.832,3.58448e-05,12544.8054536691,5.14159e-05,15323.5976925657,3.85701e-05,Group1,Group2,Group3
10198.0,10320.7549926849,9419.6845342198,16316.396,3.55995e-05,12633.0858118928,5.09832e-05,15397.7795119193,3.83155e-05,Group1,Group2,Group3
8013.0,9835.7743992772,8794.2540569286,16396.96,3.53519e-05,12721.3661701165,5.05585e-05,15471.9613312728,3.80629e-05,Group1,Group2,Group3
11694.0,11398.3190143278,12500.1197465775,16477.524,3.51016e-05,12809.6465283403,5.01423e-05,15546.1431506263,3.78123e-05,Group1,Group2,Group3
5348.0,5941.0203805127,6566.4877705885,16558.088,3.48484e-05,12897.926886564,4.97351e-05,15620.3249699799,3.75633e-05,Group1,Group2,Group3
6338.0,6154.7691595507,6541.6285971077,16638.652,3.45919e-05,12986.2072447877,4.93375e-05,15694.5067893334,3.73158e-05,Group1,Group2,Group3
6488.0,6047.9178963538,6489.4058967572,16719.216,3.43321e-05,13074.4876030114,4.89497e-05,15768.6886086869,3.70698e-05,Group1,Group2,Group3
6918.0,7159.2172862454,7284.3867077904,16799.78,3.40686e-05,13162.7679612351,4.85721e-05,15842.8704280405,3.6825e-05,Group1,Group2,Group3
7898.0,7095.337791549,6123.0497828994,16880.344,3.38012e-05,13251.0483194588,4.8205e-05,15917.052247394,3.65814e-05,Group1,Group2,Group3
8778.0,10600.0592244058,14870.9960596482,16960.908,3.35299e-05,13339.3286776826,4.78486e-05,15991.2340667475,3.63389e-05,Group1,Group2,Group3
6938.0,7164.1720302297,7107.9885723698,17041.472,3.32544e-05,13427.6090359063,4.75031e-05,16065.4158861011,3.60974e-05,Group1,Group2,Group3
7198.0,7283.8454450102,7146.0472565462,17122.036,3.29746e-05,13515.88939413,4.71686e-05,16139.5977054546,3.58567e-05,Group1,Group2,Group3
7898.0,8951.1433683498,8689.3504337206,17202.6,3.26903e-05,13604.1697523537,4.68452e-05,16213.7795248081,3.56168e-05,Group1,Group2,Group3
7788.0,9185.7073682953,9919.9953771168,17283.164,3.24017e-05,13692.4501105774,4.65327e-05,16287.9613441617,3.53777e-05,Group1,Group2,Group3
7738.0,7432.9746870425,5748.5880972369,17363.728,3.21084e-05,13780.7304688011,4.62312e-05,16362.1431635152,3.51393e-05,Group1,Group2,Group3
8358.0,7275.4361018874,6897.1089733665,17444.292,3.18106e-05,13869.0108270249,4.59406e-05,16436.3249828687,3.49016e-05,Group1,Group2,Group3
9258.0,7352.3690113892,6934.393004114,17524.856,3.15081e-05,13957.2911852486,4.56606e-05,16510.5068022223,3.46645e-05,Group1,Group2,Group3
8058.0,7476.3164766975,7002.5819846265,17605.42,3.12011e-05,14045.5715434723,4.53911e-05,16584.6886215758,3.44279e-05,Group1,Group2,Group3
8238.0,7625.9082451731,7098.224145297,17685.984,3.08894e-05,14133.851901696,4.51317e-05,16658.8704409293,3.4192e-05,Group1,Group2,Group3
9298.0,8804.5982146951,10496.3640551915,17766.548,3.05733e-05,14222.1322599197,4.48821e-05,16733.0522602829,3.39566e-05,Group1,Group2,Group3
9538.0,8954.1899831707,10336.0734852751,17847.112,3.02526e-05,14310.4126181434,4.46419e-05,16807.2340796364,3.37217e-05,Group1,Group2,Group3
8449.0,15381.5083773957,14046.8781321096,17927.676,2.99275e-05,14398.6929763672,4.44107e-05,16881.4158989899,3.34874e-05,Group1,Group2,Group3
9639.0,15364.4121752842,14054.485867389,18008.24,2.95982e-05,14486.9733345909,4.4188e-05,16955.5977183435,3.32536e-05,Group1,Group2,Group3
9989.0,15428.5229332023,14026.9398708108,18088.804,2.92647e-05,14575.2536928146,4.39732e-05,17029.779537697,3.30204e-05,Group1,Group2,Group3
11199.0,15975.6014007702,13900.9293558426,18169.368,2.89271e-05,14663.5340510383,4.37659e-05,17103.9613570505,3.27878e-05,Group1,Group2,Group3
11549.0,16125.1931692458,13900.4616959929,18249.932,2.85857e-05,14751.814409262,4.35654e-05,17178.1431764041,3.25557e-05,Group1,Group2,Group3
17669.0,17240.7203570209,14357.2377815436,18330.496,2.82405e-05,14840.0947674857,4.33711e-05,17252.3249957576,3.23241e-05,Group1,Group2,Group3
8948.0,11325.3549182471,9967.9726742627,18411.06,2.78919e-05,14928.3751257095,4.31824e-05,17326.5068151111,3.20932e-05,Group1,Group2,Group3
10698.0,10178.0678952467,9309.8334966004,18491.624,2.75399e-05,15016.6554839332,4.29985e-05,17400.6886344647,3.18628e-05,Group1,Group2,Group3
9988.0,11658.8233647099,10435.657663871,18572.188,2.71848e-05,15104.9358421569,4.28189e-05,17474.8704538182,3.16331e-05,Group1,Group2,Group3
10898.0,11658.8233647099,10435.657663871,18652.752,2.68268e-05,15193.2162003806,4.26427e-05,17549.0522731717,3.14039e-05,Group1,Group2,Group3
11248.0,11846.8815879364,10501.9514283438,18733.316,2.64662e-05,15281.4965586043,4.24693e-05,17623.2340925253,3.11754e-05,Group1,Group2,Group3
16558.0,20966.2045389023,21488.7239545585,18813.88,2.61032e-05,15369.776916828,4.22979e-05,17697.4159118788,3.09475e-05,Group1,Group2,Group3
15998.0,21137.1665600173,21282.9958766044,18894.444,2.5738e-05,15458.0572750518,4.21278e-05,17771.5977312323,3.07202e-05,Group1,Group2,Group3
15690.0,21506.707026997,20746.7590215168,18975.008,2.53709e-05,15546.3376332755,4.19583e-05,17845.7795505859,3.04935e-05,Group1,Group2,Group3
15750.0,20491.6376224379,19663.9508554752,19055.572,2.50022e-05,15634.6179914992,4.17887e-05,17919.9613699394,3.02675e-05,Group1,Group2,Group3
7775.0,7576.2508462779,9433.8105531488,19136.136,2.46322e-05,15722.8983497229,4.16182e-05,17994.1431892929,3.00421e-05,Group1,Group2,Group3
7975.0,9223.8099856182,8624.1482036306,19216.7,2.42611e-05,15811.1787079466,4.14462e-05,18068.3250086465,2.98173e-05,Group1,Group2,Group3
