"RC_LASTERE_1, x; RC_LASTERE_2, x; RC_LASTERE_3, x; RC_LASTERE_4, x","RC_LASTERE_1, y","RC_LASTERE_2, y","RC_LASTERE_3, y","RC_LASTERE_4, y"
2016-08-24,-20.0,-50.0,-100.0,-40.0
2016-08-25,-430.0,-80.0,-120.0,-1050.0
2016-08-26,-110.0,-30.0,-60.0,-330.0
2016-08-27,0.0,0.0,0.0,0.0
2016-08-28,0.0,0.0,0.0,0.0
2016-08-29,-120.0,-60.0,-540.0,-680.0
2016-08-30,-180.0,-190.0,-40.0,-60.0
2016-08-31,-560.0,-20.0,-20.0,-340.0
2016-09-01,-230.0,-90.0,-180.0,-90.0
2016-09-02,-40.0,-60.0,-40.0,-650.0
2016-09-03,0.0,0.0,0.0,0.0
2016-09-04,0.0,0.0,0.0,0.0
2016-09-05,-80.0,-40.0,-190.0,-370.0
2016-09-06,-50.0,-30.0,-270.0,-160.0
2016-09-07,-30.0,-40.0,-40.0,-340.0
2016-09-08,-190.0,-60.0,-220.0,-530.0
2016-09-09,-50.0,-70.0,-140.0,-260.0
2016-09-10,0.0,0.0,0.0,0.0
2016-09-11,0.0,0.0,0.0,0.0
2016-09-12,-50.0,-60.0,-200.0,-1830.0
2016-09-13,-110.0,-80.0,-50.0,-200.0
2016-09-14,-20.0,-60.0,-350.0,-370.0
2016-09-15,-280.0,-350.0,-930.0,-1070.0
2016-09-16,-430.0,-40.0,-240.0,-60.0
2016-09-17,0.0,0.0,0.0,0.0
2016-09-18,0.0,0.0,0.0,0.0
2016-09-19,-50.0,0.0,-40.0,-90.0
2016-09-20,-50.0,10.0,-180.0,-30.0
2016-09-21,-470.0,-770.0,-60.0,-40.0
2016-09-22,-130.0,-50.0,-90.0,-390.0
2016-09-23,-90.0,-50.0,-50.0,-120.0
2016-09-24,0.0,0.0,0.0,0.0
2016-09-25,0.0,0.0,0.0,0.0
2016-09-26,-80.0,-80.0,-160.0,-130.0
2016-09-27,-30.0,-50.0,-110.0,-210.0
2016-09-28,-170.0,-180.0,-110.0,0.0
2016-09-29,-100.0,-20.0,-80.0,-50.0
2016-09-30,-410.0,-70.0,-210.0,-120.0
2016-10-01,0.0,0.0,0.0,0.0
2016-10-02,0.0,0.0,0.0,0.0
2016-10-03,-170.0,-60.0,-170.0,-30.0
2016-10-04,-20.0,-50.0,-210.0,-110.0
2016-10-05,0.0,-30.0,-20.0,-120.0
2016-10-06,-120.0,-180.0,-30.0,-110.0
2016-10-07,-100.0,-190.0,-40.0,-60.0
2016-10-08,0.0,0.0,0.0,0.0
2016-10-09,0.0,0.0,0.0,0.0
2016-10-10,-80.0,-40.0,-10.0,-250.0
2016-10-11,-70.0,-540.0,-230.0,-50.0
2016-10-12,0.0,-60.0,-30.0,-50.0
2016-10-13,-110.0,-350.0,-40.0,-40.0
2016-10-14,-340.0,-350.0,-190.0,-380.0
2016-10-15,0.0,0.0,0.0,0.0
2016-10-16,0.0,0.0,0.0,0.0
2016-10-17,-210.0,-220.0,-110.0,-40.0
2016-10-18,-140.0,-80.0,0.0,-20.0
2016-10-19,-40.0,-50.0,-110.0,-30.0
2016-10-20,-210.0,-90.0,-60.0,-60.0
2016-10-21,-210.0,-90.0,-40.0,-40.0
2016-10-22,0.0,0.0,0.0,0.0
2016-10-23,0.0,0.0,0.0,0.0
2016-10-24,-140.0,-220.0,-20.0,-30.0
2016-10-25,-50.0,-50.0,-10.0,-20.0
2016-10-26,-120.0,-220.0,-80.0,-70.0
2016-10-27,-70.0,-440.0,-50.0,-160.0
2016-10-28,-70.0,-60.0,-60.0,-50.0
2016-10-29,0.0,0.0,0.0,0.0
2016-10-30,0.0,0.0,0.0,0.0
2016-10-31,-40.0,-90.0,-40.0,-10.0
2016-11-01,-10.0,-60.0,-370.0,-540.0
2016-11-02,-520.0,-380.0,-310.0,-220.0
2016-11-03,-70.0,-190.0,-160.0,-570.0
2016-11-04,-210.0,-40.0,-50.0,-40.0
2016-11-05,0.0,0.0,0.0,0.0
2016-11-06,0.0,0.0,0.0,0.0
2016-11-07,-60.0,-40.0,-80.0,-120.0
2016-11-08,-30.0,-60.0,-50.0,-90.0
2016-11-09,-20.0,-80.0,0.0,-220.0
2016-11-10,-150.0,-100.0,-230.0,-70.0
2016-11-11,-310.0,-750.0,-100.0,-240.0
2016-11-12,0.0,0.0,0.0,0.0
2016-11-13,0.0,0.0,0.0,0.0
2016-11-14,-260.0,-40.0,-40.0,-300.0
2016-11-15,-80.0,-80.0,-20.0,-20.0
2016-11-16,-30.0,-120.0,-40.0,-1630.0
2016-11-17,-10.0,-30.0,-20.0,-240.0
2016-11-18,-20.0,-90.0,-60.0,-230.0
2016-11-19,0.0,0.0,0.0,0.0
2016-11-20,0.0,0.0,0.0,0.0
2016-11-21,-100.0,-160.0,-10.0,-10.0
2016-11-22,-220.0,-550.0,-100.0,-30.0
2016-11-23,-70.0,-240.0,-440.0,-420.0
2016-11-24,-50.0,-20.0,-60.0,-200.0
2016-11-25,-30.0,-60.0,-210.0,-80.0
2016-11-26,0.0,0.0,0.0,0.0
2016-11-27,0.0,0.0,0.0,0.0
2016-11-28,-90.0,-40.0,-60.0,-50.0
2016-11-29,-100.0,-120.0,-30.0,-50.0
2016-11-30,0.0,-30.0,-30.0,-30.0
2016-12-01,-100.0,-30.0,-90.0,-90.0
2016-12-02,-130.0,-50.0,-70.0,-260.0
2016-12-03,0.0,0.0,0.0,0.0
2016-12-04,0.0,0.0,0.0,0.0
2016-12-05,-40.0,-40.0,-150.0,-370.0
2016-12-06,-20.0,-10.0,-90.0,-20.0
2016-12-07,-20.0,-190.0,-70.0,-180.0
2016-12-08,-80.0,-60.0,-50.0,-370.0
2016-12-09,-30.0,-30.0,-70.0,-60.0
2016-12-10,0.0,0.0,0.0,0.0
2016-12-11,0.0,0.0,0.0,0.0
2016-12-12,-200.0,-70.0,-90.0,-50.0
2016-12-13,-100.0,-30.0,-60.0,-10.0
2016-12-14,-90.0,-40.0,0.0,-70.0
2016-12-15,-220.0,-150.0,-40.0,-90.0
2016-12-16,-80.0,-80.0,-50.0,-40.0
2016-12-17,0.0,0.0,0.0,0.0
2016-12-18,0.0,0.0,0.0,0.0
2016-12-19,-200.0,-50.0,-60.0,-60.0
2016-12-20,-60.0,-100.0,-40.0,-90.0
2016-12-21,-100.0,-50.0,-150.0,-30.0
2016-12-22,-50.0,-130.0,-110.0,-220.0
2016-12-23,-800.0,-370.0,-390.0,-210.0
2016-12-24,0.0,0.0,0.0,0.0
2016-12-25,0.0,0.0,0.0,0.0
2016-12-26,0.0,0.0,0.0,0.0
2016-12-27,-170.0,-240.0,-10.0,-310.0
2016-12-28,-40.0,-80.0,-60.0,-230.0
2016-12-29,-620.0,-240.0,-10.0,-40.0
2016-12-30,-240.0,-330.0,-140.0,-120.0
2016-12-31,0.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,0.0
2017-01-02,-550.0,-410.0,-60.0,-70.0
2017-01-03,-120.0,-120.0,-90.0,-110.0
2017-01-04,-70.0,-150.0,-10.0,-60.0
2017-01-05,-750.0,-230.0,-1350.0,-280.0
2017-01-06,-630.0,-40.0,-30.0,-20.0
2017-01-07,0.0,0.0,0.0,0.0
2017-01-08,0.0,0.0,0.0,0.0
2017-01-09,-90.0,-80.0,-10.0,-40.0
2017-01-10,0.0,-10.0,-100.0,-210.0
2017-01-11,-270.0,-20.0,-60.0,-340.0
2017-01-12,-120.0,-100.0,-240.0,-340.0
2017-01-13,-280.0,-40.0,-400.0,-80.0
2017-01-14,0.0,0.0,0.0,0.0
2017-01-15,0.0,0.0,0.0,0.0
2017-01-16,-100.0,-80.0,-50.0,-100.0
2017-01-17,-90.0,-50.0,-20.0,-50.0
2017-01-18,-190.0,-20.0,-50.0,-30.0
2017-01-19,-90.0,-70.0,-50.0,-130.0
2017-01-20,-1940.0,-270.0,-20.0,-30.0
2017-01-21,0.0,0.0,0.0,0.0
2017-01-22,0.0,0.0,0.0,0.0
2017-01-23,-30.0,-40.0,-340.0,-50.0
2017-01-24,-30.0,-260.0,-120.0,-40.0
2017-01-25,-40.0,-40.0,-30.0,-210.0
2017-01-26,-220.0,-110.0,-40.0,-330.0
2017-01-27,-110.0,-120.0,-100.0,-40.0
2017-01-28,0.0,0.0,0.0,0.0
2017-01-29,0.0,0.0,0.0,0.0
2017-01-30,-180.0,-60.0,-60.0,-60.0
2017-01-31,-30.0,-180.0,-20.0,-30.0
2017-02-01,-40.0,0.0,-120.0,-20.0
2017-02-02,-150.0,-60.0,-90.0,-10.0
2017-02-03,-90.0,-40.0,-60.0,-210.0
2017-02-04,0.0,0.0,0.0,0.0
2017-02-05,0.0,0.0,0.0,0.0
2017-02-06,-10.0,-50.0,-50.0,-50.0
2017-02-07,-40.0,-30.0,-20.0,-20.0
2017-02-08,-20.0,-20.0,-190.0,-180.0
2017-02-09,-20.0,-130.0,-70.0,-140.0
2017-02-10,-110.0,-50.0,-160.0,-300.0
2017-02-11,0.0,0.0,0.0,0.0
2017-02-12,0.0,0.0,0.0,0.0
2017-02-13,-60.0,-70.0,-120.0,-30.0
2017-02-14,-30.0,-20.0,-40.0,-10.0
2017-02-15,-20.0,-50.0,-180.0,-20.0
2017-02-16,-150.0,-70.0,-40.0,-40.0
2017-02-17,-120.0,-90.0,-70.0,-100.0
2017-02-18,0.0,0.0,0.0,0.0
2017-02-19,0.0,0.0,0.0,0.0
2017-02-20,-70.0,-40.0,-40.0,-10.0
2017-02-21,-130.0,-110.0,-20.0,-60.0
2017-02-22,-60.0,-60.0,-250.0,-50.0
2017-02-23,-60.0,-50.0,-60.0,-180.0
2017-02-24,-50.0,-80.0,-50.0,-60.0
2017-02-25,0.0,0.0,0.0,0.0
2017-02-26,0.0,0.0,0.0,0.0
2017-02-27,-60.0,-40.0,-80.0,-50.0
2017-02-28,-80.0,-70.0,-20.0,-60.0
2017-03-01,-10.0,-30.0,-30.0,-30.0
2017-03-02,-30.0,-130.0,-40.0,-240.0
2017-03-03,-10.0,-430.0,-60.0,-120.0
2017-03-04,0.0,0.0,0.0,0.0
2017-03-05,0.0,0.0,0.0,0.0
2017-03-06,-460.0,-40.0,-30.0,-50.0
2017-03-07,-130.0,-240.0,-60.0,-10.0
2017-03-08,-180.0,-90.0,-70.0,-50.0
2017-03-09,-60.0,-110.0,-150.0,-130.0
2017-03-10,-160.0,-40.0,-70.0,-70.0
2017-03-11,0.0,0.0,0.0,0.0
2017-03-12,0.0,0.0,0.0,0.0
2017-03-13,-70.0,-40.0,-50.0,-50.0
2017-03-14,-40.0,-30.0,-20.0,-70.0
2017-03-15,-20.0,-10.0,-20.0,-30.0
2017-03-16,-70.0,-70.0,-50.0,-40.0
2017-03-17,-50.0,-60.0,-40.0,-30.0
2017-03-18,0.0,0.0,0.0,0.0
2017-03-19,0.0,0.0,0.0,0.0
2017-03-20,-230.0,-40.0,-30.0,-80.0
2017-03-21,-30.0,-20.0,-20.0,-10.0
2017-03-22,-50.0,-30.0,-40.0,-10.0
2017-03-23,-110.0,-160.0,-60.0,-180.0
2017-03-24,-80.0,-90.0,-130.0,-180.0
2017-03-25,0.0,0.0,0.0,0.0
2017-03-26,-10.0,-30.0,-30.0,0.0
2017-03-27,-60.0,-30.0,-30.0,-80.0
2017-03-28,-30.0,-50.0,-30.0,-50.0
2017-03-29,-20.0,-40.0,-20.0,-40.0
2017-03-30,-170.0,-230.0,-340.0,-70.0
2017-03-31,-20.0,-170.0,-150.0,-560.0
2017-04-01,0.0,0.0,0.0,0.0
2017-04-02,0.0,0.0,0.0,0.0
2017-04-03,0.0,-110.0,-50.0,-250.0
2017-04-04,-50.0,-200.0,-40.0,-40.0
2017-04-05,-30.0,-40.0,-50.0,-180.0
2017-04-06,-70.0,-70.0,-50.0,-210.0
2017-04-07,-960.0,-20.0,-260.0,-240.0
2017-04-08,0.0,0.0,0.0,0.0
2017-04-09,0.0,0.0,0.0,0.0
2017-04-10,-90.0,-110.0,-60.0,-190.0
2017-04-11,-80.0,-50.0,-100.0,-80.0
2017-04-12,-30.0,-50.0,-80.0,-20.0
2017-04-13,0.0,0.0,0.0,0.0
2017-04-14,0.0,0.0,0.0,0.0
2017-04-15,0.0,0.0,0.0,0.0
2017-04-16,0.0,0.0,0.0,0.0
2017-04-17,-30.0,-70.0,-70.0,-70.0
2017-04-18,-70.0,-20.0,-40.0,-310.0
2017-04-19,-60.0,-40.0,-90.0,-40.0
2017-04-20,-300.0,-40.0,-40.0,-70.0
2017-04-21,-200.0,-630.0,-120.0,-50.0
2017-04-22,0.0,0.0,0.0,0.0
2017-04-23,0.0,0.0,0.0,0.0
2017-04-24,-60.0,-50.0,-120.0,-10.0
2017-04-25,-30.0,-140.0,-190.0,-360.0
2017-04-26,-160.0,-30.0,-250.0,-30.0
2017-04-27,-70.0,-40.0,-60.0,-260.0
2017-04-28,-70.0,-80.0,-140.0,-400.0
2017-04-29,-10.0,0.0,-10.0,0.0
2017-04-30,0.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,0.0
2017-05-02,-140.0,-20.0,-40.0,-100.0
2017-05-03,-20.0,-50.0,-100.0,-110.0
2017-05-04,-100.0,-40.0,-150.0,-280.0
2017-05-05,-20.0,-30.0,-160.0,-20.0
2017-05-06,0.0,0.0,0.0,0.0
2017-05-07,0.0,0.0,0.0,0.0
2017-05-08,-70.0,-40.0,-90.0,-100.0
2017-05-09,-40.0,-20.0,-40.0,-80.0
2017-05-10,-30.0,-20.0,-40.0,-190.0
2017-05-11,-140.0,-40.0,-50.0,-110.0
2017-05-12,0.0,-110.0,-40.0,-770.0
2017-05-13,-10.0,-50.0,0.0,-30.0
2017-05-14,0.0,0.0,0.0,0.0
2017-05-15,-90.0,-90.0,-50.0,-380.0
2017-05-16,-250.0,-80.0,-110.0,-70.0
2017-05-17,0.0,0.0,0.0,0.0
2017-05-18,-40.0,-50.0,-10.0,-40.0
2017-05-19,-110.0,-30.0,-130.0,-190.0
2017-05-20,0.0,0.0,0.0,0.0
2017-05-21,0.0,0.0,0.0,0.0
2017-05-22,-20.0,-200.0,-20.0,-60.0
2017-05-23,-50.0,-50.0,-280.0,-410.0
2017-05-24,-190.0,-110.0,-140.0,-470.0
2017-05-25,0.0,0.0,0.0,0.0
2017-05-26,-280.0,-40.0,-60.0,-250.0
2017-05-27,0.0,0.0,0.0,0.0
2017-05-28,0.0,0.0,0.0,0.0
2017-05-29,-60.0,-40.0,-30.0,-70.0
2017-05-30,-30.0,-60.0,-1310.0,-390.0
2017-05-31,-30.0,-170.0,-70.0,-130.0
2017-06-01,-40.0,-40.0,-80.0,-790.0
2017-06-02,-50.0,-60.0,-250.0,-180.0
2017-06-03,0.0,0.0,-10.0,0.0
2017-06-04,0.0,0.0,0.0,0.0
2017-06-05,0.0,0.0,0.0,0.0
2017-06-06,-40.0,-80.0,-30.0,-70.0
2017-06-07,-10.0,0.0,-10.0,-40.0
2017-06-08,0.0,0.0,0.0,0.0
2017-06-09,0.0,0.0,0.0,0.0
2017-06-10,0.0,0.0,0.0,0.0
2017-06-11,0.0,0.0,0.0,0.0
2017-06-12,0.0,0.0,0.0,0.0
2017-06-13,0.0,0.0,0.0,0.0
2017-06-14,0.0,0.0,0.0,0.0
2017-06-15,0.0,0.0,0.0,0.0
2017-06-16,0.0,0.0,0.0,0.0
2017-06-17,0.0,0.0,0.0,0.0
2017-06-18,0.0,0.0,0.0,0.0
2017-06-19,0.0,0.0,0.0,0.0
2017-06-20,0.0,0.0,0.0,0.0
2017-06-21,0.0,0.0,0.0,0.0
2017-06-22,0.0,0.0,0.0,0.0
2017-06-23,0.0,0.0,0.0,0.0
2017-06-24,0.0,0.0,0.0,0.0
2017-06-25,0.0,0.0,0.0,0.0
2017-06-26,0.0,0.0,0.0,0.0
2017-06-27,0.0,0.0,0.0,0.0
2017-06-28,0.0,0.0,0.0,0.0
2017-06-29,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,0.0,0.0
2017-07-03,0.0,0.0,0.0,0.0
2017-07-04,0.0,0.0,0.0,0.0
2017-07-05,-490.0,-30.0,-20.0,-270.0
2017-07-06,-920.0,-110.0,-120.0,-100.0
2017-07-07,-320.0,-40.0,-10.0,-230.0
2017-07-08,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,0.0,0.0
2017-07-10,-180.0,-190.0,-720.0,-120.0
2017-07-11,-40.0,-140.0,-60.0,-180.0
2017-07-12,0.0,-50.0,-80.0,-50.0
2017-07-13,-30.0,-20.0,-80.0,-80.0
2017-07-14,-20.0,-160.0,-20.0,-100.0
2017-07-15,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,0.0,0.0
2017-07-17,-200.0,-40.0,-110.0,-170.0
2017-07-18,-20.0,-10.0,-30.0,-40.0
2017-07-19,-20.0,-20.0,0.0,-10.0
2017-07-20,-20.0,-170.0,-30.0,-420.0
2017-07-21,-190.0,-50.0,-150.0,-240.0
2017-07-22,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0,0.0
2017-07-24,-40.0,-30.0,-30.0,-30.0
2017-07-25,-20.0,-20.0,0.0,-10.0
2017-07-26,-20.0,-20.0,-40.0,-40.0
2017-07-27,-90.0,-40.0,-70.0,-270.0
2017-07-28,-10.0,-40.0,-40.0,-130.0
2017-07-29,0.0,0.0,0.0,0.0
2017-07-30,0.0,0.0,0.0,0.0
2017-07-31,-40.0,-20.0,-390.0,-20.0
2017-08-01,-20.0,-10.0,0.0,-60.0
2017-08-02,-10.0,-30.0,-190.0,-160.0
2017-08-03,-30.0,-100.0,-140.0,-130.0
2017-08-04,-110.0,-60.0,-240.0,-60.0
2017-08-05,0.0,0.0,0.0,0.0
2017-08-06,0.0,0.0,0.0,0.0
2017-08-07,-400.0,-300.0,-90.0,-50.0
2017-08-08,-10.0,-140.0,-160.0,-46.0
2017-08-09,-80.0,-40.0,-20.0,-60.0
2017-08-10,-30.0,-90.0,-2090.0,-1020.0
2017-08-11,-10.0,-70.0,-50.0,-150.0
2017-08-12,0.0,0.0,0.0,0.0
2017-08-13,0.0,0.0,0.0,0.0
2017-08-14,-80.0,-100.0,-110.0,-210.0
2017-08-15,-20.0,-20.0,-40.0,-40.0
2017-08-16,-40.0,-50.0,-10.0,-40.0
2017-08-17,-60.0,-40.0,-90.0,-40.0
2017-08-18,-40.0,-110.0,-1010.0,-2140.0
2017-08-19,0.0,0.0,0.0,0.0
2017-08-20,0.0,0.0,0.0,0.0
2017-08-21,-140.0,-60.0,40.0,-650.0
2017-08-22,-20.0,-20.0,-230.0,-1090.0
2017-08-23,-10.0,-50.0,-420.0,-150.0
2017-08-24,-70.0,-40.0,-10.0,-260.0
2017-08-25,-110.0,-90.0,-290.0,-520.0
2017-08-26,0.0,0.0,0.0,0.0
2017-08-27,0.0,0.0,0.0,0.0
2017-08-28,-20.0,-20.0,-260.0,-120.0
2017-08-29,-40.0,-40.0,-340.0,-320.0
2017-08-30,-50.0,-50.0,-310.0,-200.0
2017-08-31,-100.0,-30.0,-30.0,-400.0
2017-09-01,-10.0,-30.0,-170.0,-90.0
2017-09-02,0.0,0.0,0.0,0.0
2017-09-03,0.0,0.0,0.0,0.0
2017-09-04,-210.0,-60.0,-70.0,-90.0
2017-09-05,-110.0,-10.0,-50.0,-20.0
2017-09-06,-40.0,-80.0,-190.0,-870.0
2017-09-07,0.0,-120.0,-250.0,-190.0
2017-09-08,-40.0,-40.0,-80.0,-30.0
2017-09-09,0.0,0.0,0.0,0.0
2017-09-10,0.0,0.0,0.0,0.0
2017-09-11,-20.0,-20.0,-90.0,-90.0
2017-09-12,-60.0,-130.0,-10.0,-30.0
2017-09-13,-20.0,-60.0,-190.0,-30.0
2017-09-14,-20.0,-30.0,-50.0,-80.0
2017-09-15,-50.0,-70.0,-910.0,-80.0
2017-09-16,0.0,0.0,0.0,0.0
2017-09-17,0.0,0.0,0.0,0.0
2017-09-18,-20.0,-20.0,-2540.0,-160.0
2017-09-19,-60.0,-60.0,-10.0,-10.0
2017-09-20,-10.0,-50.0,-10.0,-30.0
2017-09-21,-40.0,-50.0,-30.0,-20.0
2017-09-22,-30.0,-190.0,-60.0,-10.0
2017-09-23,0.0,0.0,0.0,0.0
2017-09-24,0.0,0.0,0.0,0.0
2017-09-25,-60.0,-40.0,-180.0,-170.0
2017-09-26,-360.0,-30.0,-180.0,-80.0
2017-09-27,-170.0,-30.0,-100.0,0.0
2017-09-28,-30.0,-60.0,-140.0,0.0
2017-09-29,-80.0,-20.0,-50.0,0.0
2017-09-30,0.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,0.0
2017-10-02,-40.0,-60.0,-140.0,-300.0
2017-10-03,-30.0,-20.0,-10.0,-180.0
2017-10-04,-20.0,-20.0,0.0,-100.0
2017-10-05,-50.0,-50.0,-100.0,-150.0
2017-10-06,-10.0,-80.0,-31.0,0.0
2017-10-07,0.0,0.0,0.0,0.0
2017-10-08,0.0,0.0,0.0,0.0
2017-10-09,0.0,-50.0,-230.0,-60.0
2017-10-10,-190.0,-60.0,-230.0,-60.0
2017-10-11,-20.0,-60.0,-40.0,-50.0
2017-10-12,-40.0,-40.0,-100.0,-130.0
2017-10-13,-76.0,-130.0,-90.0,-150.0
2017-10-14,0.0,0.0,0.0,0.0
2017-10-15,0.0,0.0,0.0,0.0
2017-10-16,-50.0,-40.0,-70.0,-100.0
2017-10-17,-20.0,-10.0,-110.0,-20.0
2017-10-18,-40.0,-20.0,-40.0,-30.0
2017-10-19,-20.0,-20.0,-75.0,-53.0
2017-10-20,-60.0,-110.0,-20.0,-185.0
2017-10-21,0.0,0.0,0.0,0.0
2017-10-22,0.0,0.0,0.0,0.0
2017-10-23,-60.0,-80.0,-90.0,-50.0
2017-10-24,0.0,-210.0,-20.0,-10.0
2017-10-25,-10.0,0.0,-50.0,-10.0
2017-10-26,-30.0,-30.0,-30.0,-60.0
2017-10-27,-40.0,-150.0,-100.0,-301.0
2017-10-28,0.0,0.0,0.0,0.0
2017-10-29,0.0,0.0,0.0,0.0
2017-10-30,-10.0,-50.0,-170.0,-150.0
2017-10-31,-20.0,-30.0,-30.0,-20.0
2017-11-01,-30.0,-240.0,-30.0,-41.0
2017-11-02,-80.0,-20.0,-60.0,-40.0
2017-11-03,-50.0,-60.0,-184.0,-90.0
2017-11-04,0.0,0.0,0.0,0.0
2017-11-05,0.0,0.0,0.0,0.0
2017-11-06,-60.0,-30.0,-210.0,-10.0
2017-11-07,-20.0,-20.0,-40.0,-30.0
2017-11-08,-20.0,-30.0,-81.0,-70.0
2017-11-09,-110.0,-50.0,-110.0,-150.0
2017-11-10,-200.0,-20.0,-60.0,-50.0
2017-11-11,0.0,0.0,0.0,0.0
2017-11-12,0.0,0.0,0.0,0.0
2017-11-13,-30.0,-40.0,-130.0,-30.0
2017-11-14,-10.0,-220.0,-30.0,-60.0
2017-11-15,-110.0,-20.0,-200.0,-50.0
2017-11-16,-50.0,-60.0,-90.0,-60.0
2017-11-17,-280.0,-380.0,-60.0,-40.0
2017-11-18,0.0,0.0,0.0,0.0
2017-11-19,0.0,0.0,0.0,0.0
2017-11-20,-50.0,-830.0,-30.0,-50.0
2017-11-21,-30.0,-130.0,-45.0,-101.0
2017-11-22,-10.0,-180.0,-10.0,0.0
2017-11-23,-10.0,-90.0,-90.0,-30.0
2017-11-24,-210.0,-80.0,-40.0,-70.0
2017-11-25,0.0,0.0,0.0,0.0
2017-11-26,0.0,0.0,0.0,0.0
2017-11-27,-30.0,-70.0,-30.0,-200.0
2017-11-28,0.0,-50.0,-10.0,-40.0
2017-11-29,-140.0,-70.0,-20.0,-120.0
2017-11-30,-70.0,-10.0,-70.0,-80.0
2017-12-01,-70.0,-20.0,-60.0,-140.0
2017-12-02,0.0,0.0,0.0,0.0
2017-12-03,0.0,0.0,0.0,0.0
2017-12-04,-40.0,-40.0,-60.0,-40.0
2017-12-05,-10.0,-20.0,-30.0,-20.0
2017-12-06,-10.0,-30.0,-40.0,-20.0
2017-12-07,-50.0,-70.0,-60.0,-30.0
2017-12-08,-50.0,-40.0,-50.0,-20.0
2017-12-09,0.0,0.0,0.0,0.0
2017-12-10,0.0,0.0,0.0,0.0
2017-12-11,-100.0,-20.0,-20.0,-310.0
2017-12-12,-20.0,-80.0,-10.0,-20.0
2017-12-13,-40.0,-40.0,-10.0,-20.0
2017-12-14,-40.0,-40.0,-40.0,-60.0
2017-12-15,-90.0,-40.0,-20.0,-90.0
2017-12-16,0.0,0.0,0.0,0.0
2017-12-17,0.0,0.0,0.0,0.0
2017-12-18,-50.0,-10.0,-100.0,-10.0
2017-12-19,-70.0,-60.0,-30.0,-60.0
2017-12-20,-110.0,-30.0,-860.0,-1360.0
2017-12-21,-40.0,-100.0,-300.0,-40.0
2017-12-22,-30.0,-40.0,-10.0,-1810.0
2017-12-23,0.0,0.0,0.0,0.0
2017-12-24,0.0,0.0,0.0,0.0
2017-12-25,0.0,0.0,0.0,0.0
2017-12-26,-20.0,-50.0,-450.0,-170.0
2017-12-27,-10.0,-10.0,-90.0,-110.0
2017-12-28,-60.0,-30.0,-90.0,-40.0
2017-12-29,-40.0,-40.0,-50.0,-60.0
2017-12-30,0.0,0.0,0.0,0.0
2017-12-31,0.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,0.0
2018-01-02,-50.0,-60.0,-30.0,-40.0
2018-01-03,-1230.0,20.0,-40.0,-30.0
2018-01-04,-340.0,-270.0,-40.0,-280.0
