"Ping (ms), x; Download (Mbit/s), x; Upload (Mbit/s), x","Ping (ms), y","Download (Mbit/s), y","Upload (Mbit/s), y"
2017-11-07 11:00:03,6.166,238.69,33.58
2017-11-07 12:00:02,10.428,292.85,46.29
2017-11-07 13:00:02,6.123,400.45,145.50
2017-11-07 14:00:03,7.142,715.91,93.45
2017-11-07 16:00:02,29.095,100.91,9.69
2017-11-07 17:00:02,9.512,162.19,141.45
2017-11-07 19:00:03,7.788,293.24,115.05
2017-11-07 21:00:03,6.628,128.58,43.45
2017-11-07 22:00:05,5.644,94.32,6.28
2017-11-07 23:00:05,4.947,1.60,3.77
2017-11-08 00:00:05,6.143,55.70,1.39
2017-11-08 01:00:02,6.891,641.01,34.39
2017-11-08 02:00:05,5.836,305.67,26.83
2017-11-08 03:00:05,4.606,493.46,44.30
2017-11-08 04:00:06,6.645,76.75,2.63
2017-11-08 05:00:02,5.204,358.93,63.08
2017-11-08 06:00:06,5.674,816.16,14.70
2017-11-08 07:00:01,5.023,82.12,3.60
2017-11-08 08:00:02,5.745,66.83,15.15
2017-11-08 09:00:05,4.384,148.48,2.52
2017-11-08 10:00:05,5.357,430.42,22.68
2017-11-08 11:00:02,5.931,115.30,3.43
2017-11-08 13:00:02,13.216,291.05,26.79
2017-11-08 16:00:03,6.38,193.26,4.09
2017-11-08 17:00:02,6.137,115.69,69.19
2017-11-08 18:00:01,8.12,43.89,1.64
2017-11-08 19:00:02,6.202,125.90,5.60
2017-11-08 20:00:02,5.626,695.14,37.53
2017-11-08 21:00:02,4.596,295.14,13.74
2017-11-08 22:00:02,7.427,206.22,113.09
2017-11-09 00:00:02,178.523,25.18,2.77
2017-11-09 01:00:02,7.503,316.64,55.61
2017-11-09 02:00:02,14.629,281.52,136.26
2017-11-09 04:00:01,12.945,406.73,140.82
2017-11-09 05:00:02,12.07,269.11,92.41
2017-11-09 06:00:01,11.05,39.63,0.86
2017-11-09 07:00:02,4.686,141.95,4.43
2017-11-09 08:00:02,9.647,341.00,139.18
2017-11-09 09:00:02,6.532,144.56,67.07
2017-11-09 11:00:02,9.564,439.74,57.37
2017-11-09 12:00:02,13.325,361.11,4.21
2017-11-09 13:00:03,52.344,141.61,145.62
2017-11-09 14:00:02,9.392,102.50,31.41
2017-11-09 15:00:02,8.636,62.95,6.01
2017-11-09 16:00:02,7.261,7.14,1.25
2017-11-09 17:00:02,5.2,642.59,11.83
2017-11-09 18:00:02,7.495,113.73,51.66
2017-11-09 19:00:03,6.03,342.64,27.40
2017-11-09 21:00:02,9.701,587.98,107.20
2017-11-09 22:00:02,5.337,522.06,36.32
2017-11-09 23:00:02,9.18,416.24,92.46
2017-11-10 00:00:03,5.317,3.95,0.92
2017-11-10 01:00:03,5.48,389.89,13.87
2017-11-10 02:00:02,4.966,123.71,1.22
2017-11-10 03:00:02,5.778,591.66,16.10
2017-11-10 04:00:02,6.071,139.47,3.74
2017-11-10 05:00:03,5.446,357.08,17.80
2017-11-10 06:00:01,4.741,22.52,1.07
2017-11-10 07:00:02,9.788,529.64,165.75
2017-11-10 09:00:02,5.272,249.95,21.67
2017-11-10 10:00:02,99.203,13.04,10.73
2017-11-10 11:00:01,4.785,323.02,13.55
2017-11-10 12:00:02,17.273,385.43,43.72
2017-11-10 13:00:02,10.819,428.25,163.38
2017-11-10 14:00:02,6.421,45.05,138.53
2017-11-10 15:00:02,52.423,355.08,38.43
2017-11-10 16:00:03,5.257,325.23,14.51
2017-11-10 17:00:03,7.234,147.64,179.26
2017-11-10 18:00:03,46.681,11.87,60.59
2017-11-10 19:00:02,5.875,336.25,17.36
2017-11-10 20:00:02,33.253,57.13,152.70
2017-11-10 21:00:03,5.222,37.29,8.01
2017-11-10 22:00:03,12.563,211.58,94.41
2017-11-10 23:00:02,11.493,614.20,141.32
2017-11-11 00:00:02,9.881,478.67,39.71
2017-11-11 01:00:02,10.768,393.77,133.24
2017-11-11 02:00:03,13.232,284.62,88.60
2017-11-11 03:00:02,10.962,458.47,130.42
2017-11-11 04:00:03,11.015,267.31,119.18
2017-11-11 05:00:02,10.554,597.87,176.51
2017-11-11 06:00:02,45.19,10.32,30.61
2017-11-11 07:00:05,9.889,340.84,163.62
2017-11-11 08:00:05,17.896,216.83,121.66
2017-11-11 09:00:02,7.1,421.74,35.69
2017-11-11 10:00:02,6.418,301.13,147.09
2017-11-11 11:00:06,7.041,199.65,15.97
2017-11-11 12:00:06,5.643,464.13,13.47
2017-11-11 13:00:03,6.255,320.60,134.50
2017-11-11 14:00:02,12.888,248.60,140.78
2017-11-11 15:00:01,5.049,20.60,2.95
2017-11-11 16:00:02,16.594,260.36,169.56
2017-11-11 17:00:01,38.808,106.09,217.47
2017-11-11 18:00:02,4.97,102.02,83.36
2017-11-11 19:00:02,5.842,464.42,14.76
2017-11-11 20:00:10,10.03,82.84,89.57
2017-11-11 21:00:05,10.417,562.37,66.22
2017-11-11 22:00:02,5.826,170.15,30.11
2017-11-11 23:00:06,4.73,132.05,10.96
2017-11-12 00:00:02,415.658,460.99,11.93
2017-11-12 01:00:02,10.41,631.86,97.10
2017-11-12 02:00:06,60.111,239.73,136.74
2017-11-12 03:00:05,10.573,484.65,145.79
2017-11-12 04:00:05,6.56,518.75,69.76
2017-11-12 05:00:05,10.656,535.48,29.41
2017-11-12 06:00:08,138.545,347.15,105.65
2017-11-12 07:00:06,6.981,408.51,18.86
2017-11-12 08:00:05,21.513,116.75,126.01
2017-11-12 09:00:02,4.752,26.00,3.84
2017-11-12 10:00:02,8.757,222.73,38.19
2017-11-12 11:00:02,7.308,59.40,4.66
2017-11-12 12:00:09,9.693,416.72,59.38
2017-11-12 13:00:01,6.972,167.86,145.83
2017-11-12 14:00:03,6.102,122.47,7.62
2017-11-12 15:00:05,6.904,286.39,15.20
2017-11-12 16:00:03,9.019,49.53,93.64
2017-11-12 17:00:06,29.956,506.92,146.18
2017-11-12 18:00:05,39.814,74.00,12.28
2017-11-12 19:00:06,10.81,571.82,186.78
2017-11-12 20:00:07,6.951,466.66,139.78
2017-11-12 21:00:03,7.289,157.09,204.34
2017-11-12 22:00:02,4.759,603.62,26.64
2017-11-12 23:00:05,7.158,129.38,143.97
2017-11-13 00:00:03,5.631,105.56,17.07
2017-11-13 01:00:02,9.99,516.62,159.22
2017-11-13 02:00:02,7.37,53.18,29.52
2017-11-13 03:00:02,6.92,358.47,156.91
2017-11-13 04:00:02,6.981,641.47,17.98
2017-11-13 05:00:01,5.002,319.77,33.45
2017-11-13 06:00:02,9.266,19.06,20.58
2017-11-13 07:00:02,5.675,654.37,20.81
2017-11-13 08:00:06,44.784,50.77,140.82
2017-11-13 09:00:03,9.057,424.49,58.98
2017-11-13 10:00:02,6.78,117.46,23.75
2017-11-13 11:00:05,7.314,618.25,24.18
2017-11-13 12:00:08,19.769,61.15,131.38
2017-11-13 13:00:05,7.861,565.35,27.11
2017-11-13 14:00:06,181.807,178.90,30.78
2017-11-13 15:00:02,9.902,600.27,114.89
2017-11-13 16:00:05,8.22,205.03,10.03
2017-11-13 17:00:01,9.801,508.60,140.30
2017-11-13 18:00:05,9.457,141.66,3.21
2017-11-13 19:00:05,6.597,140.11,8.87
2017-11-13 20:00:01,5.849,33.87,2.28
2017-11-13 21:00:02,9.008,273.54,102.05
2017-11-13 22:00:04,18.643,225.00,18.02
2017-11-13 23:00:03,6.07,12.77,1.37
2017-11-14 00:00:03,11.543,126.73,3.41
2017-11-14 01:00:03,5.044,96.02,2.49
2017-11-14 02:00:02,6.173,114.69,7.60
2017-11-14 03:00:08,26.557,231.11,131.48
2017-11-14 04:00:05,94.883,360.46,28.05
2017-11-14 05:00:06,5.225,102.19,2.82
2017-11-14 06:00:07,58.511,451.49,31.92
2017-11-14 07:00:05,7.068,196.68,56.78
2017-11-14 08:00:02,10.524,63.86,83.75
2017-11-14 09:00:02,6.34,150.61,6.50
2017-11-14 10:00:02,13.892,39.86,125.97
2017-11-14 11:00:02,8.433,394.63,15.47
2017-11-14 12:00:02,5.072,681.04,13.94
2017-11-14 13:00:02,6.79,118.55,2.87
2017-11-14 14:00:02,9.205,344.91,146.29
2017-11-14 15:00:02,4.529,43.70,3.80
2017-11-14 16:00:01,9.974,339.21,66.81
2017-11-14 17:00:02,25.534,362.62,20.39
2017-11-14 18:00:02,131.791,163.72,26.63
2017-11-14 19:00:01,5.501,552.34,65.99
2017-11-14 20:00:03,6.637,576.95,86.75
2017-11-14 21:00:01,8.97,532.94,163.86
2017-11-14 22:00:02,9.975,574.31,29.24
2017-11-14 23:00:05,44.984,208.04,217.87
2017-11-15 00:00:02,6.034,194.87,3.91
2017-11-15 01:00:03,5.455,327.50,35.71
2017-11-15 02:00:02,11.156,222.93,177.43
2017-11-15 03:00:02,6.91,216.33,81.79
2017-11-15 04:00:01,8.048,573.56,16.32
2017-11-15 05:00:02,41.372,76.26,28.17
2017-11-15 06:00:02,16.539,238.70,5.62
2017-11-15 07:00:02,4.673,292.72,8.65
2017-11-15 08:00:02,7.233,115.61,7.11
2017-11-15 09:00:01,8.506,124.88,85.24
2017-11-15 10:00:02,25.77,475.26,40.81
2017-11-15 11:00:01,4.527,590.16,15.94
2017-11-15 12:00:01,78.611,106.55,37.84
2017-11-15 13:00:03,11.793,479.81,146.24
2017-11-15 15:00:02,40.255,68.88,28.42
2017-11-15 16:00:02,6.44,79.10,6.27
2017-11-15 17:00:02,9.277,210.06,131.82
2017-11-15 18:00:02,24.058,49.42,3.63
2017-11-15 19:00:02,9.614,489.98,164.34
2017-11-15 20:00:01,5.494,30.73,1.64
2017-11-15 21:00:02,5.114,309.81,19.77
2017-11-15 23:00:02,6.721,118.16,9.97
2017-11-16 00:00:02,107.073,119.10,125.18
2017-11-16 01:00:02,25.449,105.39,39.75
2017-11-16 02:00:02,7.753,134.83,137.16
2017-11-16 04:00:02,7.578,289.07,12.23
2017-11-16 06:00:01,10.001,22.26,0.81
2017-11-16 07:00:02,10.484,559.55,143.20
2017-11-16 09:00:02,5.064,315.22,5.44
2017-11-16 10:00:02,8.18,423.58,53.15
2017-11-16 11:00:02,4.598,5.05,4.06
2017-11-16 12:00:02,10.859,130.51,8.03
2017-11-16 13:00:06,8.03,497.27,140.38
2017-11-16 14:00:02,10.442,559.67,157.67
2017-11-16 15:00:02,41.871,37.27,50.41
2017-11-16 16:00:01,41.208,31.43,30.95
2017-11-16 17:00:02,6.342,248.80,43.78
2017-11-16 18:00:03,5.97,207.07,16.76
2017-11-16 19:00:01,7.022,487.12,141.68
2017-11-16 20:00:02,4.823,159.98,13.61
2017-11-16 21:00:01,7.6,97.51,2.46
2017-11-16 22:00:13,32.93,106.94,117.89
2017-11-16 23:00:01,6.393,9.34,5.16
2017-11-17 00:00:02,21.133,50.42,28.77
2017-11-17 01:00:02,19.02,523.19,171.26
2017-11-17 02:00:02,8.149,120.86,16.76
2017-11-17 03:00:02,6.64,285.30,20.28
2017-11-17 04:00:02,5.113,42.86,3.10
2017-11-17 05:00:02,7.57,100.74,82.09
2017-11-17 06:00:02,6.989,272.01,13.30
2017-11-17 07:00:03,9.066,268.50,74.66
2017-11-17 08:00:01,5.778,29.28,50.31
2017-11-17 09:00:02,32.305,55.05,89.57
2017-11-17 10:00:02,38.077,54.55,44.82
2017-11-17 11:00:02,9.489,271.50,138.24
2017-11-17 12:00:02,7.667,639.13,24.75
2017-11-17 13:00:02,8.426,135.24,9.68
2017-11-17 14:00:02,8.016,127.52,94.79
2017-11-17 15:00:03,6.393,736.34,17.69
2017-11-17 16:00:02,7.62,201.95,50.54
2017-11-17 17:00:02,21.16,549.86,171.28
2017-11-17 18:00:01,5.92,398.07,105.77
2017-11-17 19:00:02,5.265,214.16,51.79
2017-11-17 20:00:02,12.44,642.23,129.44
2017-11-17 21:00:03,10.916,389.84,57.97
2017-11-17 22:00:02,4.914,262.61,23.52
2017-11-17 23:00:02,5.906,15.49,1.40
2017-11-18 00:00:01,5.132,7.75,0.72
2017-11-18 01:00:02,4.544,588.32,14.22
2017-11-18 02:00:02,8.709,196.05,56.20
2017-11-18 05:00:01,7.662,45.65,44.09
2017-11-18 07:00:02,5.034,459.31,15.40
2017-11-18 08:00:02,4.269,23.63,8.67
2017-11-18 10:00:02,8.188,138.17,145.76
2017-11-18 11:00:02,9.52,214.24,138.57
2017-11-18 12:00:02,4.746,320.44,30.51
2017-11-18 13:00:02,5.162,610.92,141.74
2017-11-18 14:00:02,7.148,262.22,115.92
2017-11-18 15:00:02,6.023,403.46,70.80
2017-11-18 16:00:02,5.974,119.92,4.79
2017-11-18 17:00:02,7.322,465.84,100.60
2017-11-18 19:00:01,23.141,592.87,154.73
2017-11-18 20:00:02,19.135,135.41,203.09
2017-11-18 21:00:02,6.177,551.85,164.08
2017-11-18 22:00:02,5.392,647.97,58.86
2017-11-18 23:00:02,12.958,314.76,213.02
2017-11-19 01:00:01,4.722,522.22,28.96
2017-11-19 02:00:02,6.38,431.07,45.04
2017-11-19 03:00:01,5.598,84.67,2.14
2017-11-19 04:00:02,11.323,555.15,152.56
2017-11-19 05:00:02,6.911,711.43,60.84
2017-11-19 06:00:02,31.786,73.32,33.05
2017-11-19 08:00:01,5.855,659.24,44.99
2017-11-19 09:00:02,18.513,641.06,35.21
2017-11-19 10:00:02,7.042,664.18,56.59
2017-11-19 11:00:02,6.323,128.91,4.93
2017-11-19 12:00:01,4.666,59.68,1.06
2017-11-19 13:00:02,4.446,273.38,208.33
2017-11-19 14:00:02,8.97,445.71,23.98
2017-11-19 16:00:02,6.639,115.82,12.41
2017-11-19 17:00:01,6.691,213.88,216.39
2017-11-19 20:00:02,19.069,172.92,73.14
2017-11-19 21:00:02,9.942,635.46,67.47
2017-11-19 22:00:01,8.693,422.55,78.88
2017-11-19 23:00:02,7.551,182.72,57.57
2017-11-20 00:00:01,5.468,273.50,18.15
2017-11-20 01:00:02,10.87,482.52,59.45
2017-11-20 02:00:02,6.593,397.63,41.76
2017-11-20 04:00:02,38.013,291.12,85.99
2017-11-20 05:00:02,4.918,706.84,133.90
2017-11-20 06:00:02,10.225,160.12,179.48
2017-11-20 07:00:02,9.561,397.54,139.97
2017-11-20 08:00:02,4.94,498.58,25.41
2017-11-20 09:00:04,5.263,89.80,17.36
2017-11-20 11:00:02,6.575,376.23,47.55
2017-11-20 12:00:03,13.627,68.22,26.63
2017-11-20 13:00:02,5.142,469.12,35.42
2017-11-20 15:00:03,9.9,163.56,114.03
2017-11-20 16:00:01,22.372,108.25,70.04
2017-11-20 17:00:02,5.146,508.75,30.06
2017-11-20 18:00:01,10.288,162.65,116.72
2017-11-20 20:00:02,7.504,329.45,36.89
2017-11-20 21:00:02,4.994,731.34,25.80
2017-11-20 22:00:02,4.698,124.60,45.96
2017-11-20 23:00:02,5.35,205.36,37.55
2017-11-21 01:00:01,7.27,436.90,112.60
2017-11-21 02:00:02,5.581,59.42,2.19
2017-11-21 03:00:03,9.126,266.27,32.25
2017-11-21 05:00:02,4.968,618.42,28.41
2017-11-21 06:00:02,10.898,69.89,23.50
2017-11-21 07:00:06,7.094,340.66,88.07
2017-11-21 08:00:02,4.916,589.09,64.23
2017-11-21 09:00:02,5.022,489.94,24.36
2017-11-21 12:00:02,4.991,358.04,5.47
2017-11-21 13:00:02,11.902,683.80,80.49
2017-11-21 15:00:01,9.307,521.58,167.34
2017-11-21 17:00:04,9.466,476.75,51.60
2017-11-21 18:00:02,17.593,456.00,139.25
2017-11-21 19:00:04,7.29,443.33,130.35
2017-11-21 22:00:01,8.677,174.17,3.41
2017-11-21 23:00:06,6.382,51.13,137.82
2017-11-22 00:00:03,16.367,123.48,6.63
2017-11-22 01:00:02,9.745,269.96,171.64
2017-11-22 02:00:03,5.076,674.86,19.61
2017-11-22 03:00:02,6.681,338.32,57.72
2017-11-22 04:00:02,7.871,219.37,204.65
2017-11-22 05:00:03,7.138,203.91,134.39
2017-11-22 06:00:02,7.636,365.95,14.91
2017-11-22 07:00:03,8.431,505.77,220.13
2017-11-22 08:00:02,45.099,76.23,66.85
2017-11-22 09:00:01,5.316,607.13,26.57
2017-11-22 13:00:02,8.74,31.47,3.37
2017-11-22 14:00:01,7.156,15.50,3.65
2017-11-22 15:00:02,4.532,295.17,15.33
2017-11-22 17:00:01,9.913,149.60,175.50
2017-11-22 19:00:02,9.249,470.31,56.08
2017-11-22 20:00:02,7.495,204.39,17.59
2017-11-22 21:00:01,10.215,461.80,136.37
2017-11-22 23:00:02,5.741,419.83,104.40
2017-11-23 00:00:02,4.239,457.36,1.29
2017-11-23 01:00:03,6.389,24.48,16.58
2017-11-23 03:00:02,5.041,325.73,19.35
2017-11-23 04:00:01,25.271,251.15,121.75
2017-11-23 05:00:02,48.552,514.57,60.21
2017-11-23 06:00:02,6.321,581.82,10.58
2017-11-23 07:00:01,10.677,645.55,72.82
2017-11-23 08:00:02,6.467,19.83,1.47
2017-11-23 09:00:02,11.226,213.30,9.38
2017-11-23 11:00:02,6.99,528.18,24.13
2017-11-23 13:00:02,10.162,483.10,105.34
2017-11-23 14:00:02,9.328,37.94,8.59
2017-11-23 15:00:02,4.845,786.38,15.91
2017-11-23 16:00:05,8.808,44.34,7.96
2017-11-23 17:00:02,9.702,540.32,139.06
2017-11-23 18:00:02,8.556,100.11,11.31
2017-11-23 19:00:01,5.488,9.58,81.67
2017-11-23 20:00:02,4.339,453.86,122.05
2017-11-23 21:00:01,5.168,273.26,36.72
2017-11-23 22:00:02,7.096,52.95,3.02
2017-11-23 23:00:03,4.354,236.30,14.32
2017-11-24 01:00:02,24.899,343.36,116.84
2017-11-24 02:00:02,4.29,647.26,14.29
2017-11-24 03:00:02,8.776,90.25,7.18
2017-11-24 04:00:01,7.02,207.14,58.20
2017-11-24 05:00:02,7.121,662.93,150.88
2017-11-24 06:00:01,9.216,148.42,139.27
2017-11-24 07:00:02,8.458,46.70,3.46
2017-11-24 08:00:03,184.68,199.94,131.38
2017-11-24 09:00:01,6.536,85.03,8.06
2017-11-24 11:00:02,9.052,92.57,25.98
2017-11-24 14:00:02,11.056,267.25,132.71
2017-11-24 15:00:02,7.582,229.72,11.94
2017-11-24 17:00:02,4.512,305.35,14.00
2017-11-24 18:00:02,7.074,18.71,14.18
2017-11-24 19:00:06,4.48,568.63,21.03
2017-11-24 20:00:02,10.523,268.34,106.91
2017-11-24 21:00:02,7.535,4.80,4.37
2017-11-24 22:00:01,58.224,249.28,137.65
2017-11-25 00:00:02,8.932,166.38,17.40
2017-11-25 01:00:02,6.55,565.09,170.66
2017-11-25 02:00:01,10.381,188.64,145.67
2017-11-25 03:00:02,6.559,440.89,56.87
2017-11-25 04:00:02,7.324,408.99,48.71
2017-11-25 05:00:02,6.683,217.23,53.09
2017-11-25 06:00:02,4.404,391.03,9.35
2017-11-25 07:00:02,10.423,109.75,7.56
2017-11-25 08:00:02,5.688,698.84,20.99
2017-11-25 09:00:02,7.289,10.11,3.40
2017-11-25 10:00:02,26.34,151.25,1.04
2017-11-25 11:00:02,7.175,20.26,10.02
2017-11-25 14:00:01,4.593,720.24,132.30
2017-11-25 15:00:02,6.457,392.52,32.95
2017-11-25 17:00:02,4.467,328.90,19.42
2017-11-25 18:00:02,9.086,130.06,1.96
2017-11-25 19:00:02,5.549,452.68,143.54
2017-11-25 21:00:02,7.057,330.06,70.73
2017-11-25 22:00:03,6.944,151.56,25.20
2017-11-26 00:00:02,4.476,573.22,14.29
2017-11-26 01:00:03,5.353,166.82,71.87
2017-11-26 03:00:01,4.456,367.15,35.76
2017-11-26 04:00:03,9.027,138.01,14.92
2017-11-26 05:00:01,60.663,514.04,147.56
2017-11-26 06:00:03,5.291,343.88,10.86
2017-11-26 07:00:03,9.029,491.78,162.06
2017-11-26 08:00:02,9.155,293.68,176.17
2017-11-26 12:00:02,10.396,475.16,145.69
2017-11-26 13:00:02,7.061,703.37,158.12
2017-11-26 14:00:02,6.959,202.49,7.72
2017-11-26 15:00:02,8.855,612.55,146.13
2017-11-26 16:00:03,11.636,146.88,165.08
2017-11-26 17:00:02,7.56,64.52,3.92
2017-11-26 19:00:02,6.379,394.68,89.98
2017-11-26 20:00:02,25.903,98.92,44.34
2017-11-27 01:00:02,10.873,601.90,137.67
2017-11-27 02:00:02,7.829,32.49,11.52
2017-11-27 03:00:03,6.952,7.84,1.14
2017-11-27 04:00:02,6.986,61.92,3.44
2017-11-27 05:00:02,11.052,565.27,136.71
2017-11-27 06:00:02,166.55,283.57,78.40
2017-11-27 07:00:02,7.356,241.51,22.65
2017-11-27 08:00:02,5.292,9.83,89.28
2017-11-27 09:00:02,7.303,80.47,4.11
2017-11-27 11:00:04,21.535,623.99,119.10
2017-11-27 12:00:02,10.948,410.72,120.75
2017-11-27 14:00:02,9.872,349.58,46.13
2017-11-27 15:00:02,7.692,566.02,42.52
2017-11-27 16:00:06,9.349,463.79,172.42
2017-11-27 17:00:03,10.767,71.19,13.85
2017-11-27 19:00:02,17.013,30.54,6.35
2017-11-27 20:00:02,7.278,24.98,1.16
2017-11-27 21:00:02,4.41,477.33,16.55
2017-11-27 22:00:03,6.293,317.34,21.61
2017-11-27 23:00:03,12.51,514.73,160.22
2017-11-28 01:00:01,5.115,12.46,104.30
2017-11-28 02:00:02,107.09,430.55,83.56
2017-11-28 03:00:02,9.591,450.94,123.79
2017-11-28 04:00:02,41.413,353.87,154.50
2017-11-28 05:00:03,9.484,339.97,110.59
2017-11-28 06:00:03,6.958,66.93,10.51
2017-11-28 07:00:02,6.469,228.02,31.47
2017-11-28 08:00:01,34.158,122.26,11.80
2017-11-28 10:00:01,6.699,68.77,28.67
2017-11-28 15:00:01,54.753,192.02,322.67
2017-11-28 16:00:02,6.69,306.32,21.11
2017-11-28 17:00:02,4.535,94.15,26.23
2017-11-28 19:00:02,10.221,550.67,152.79
2017-11-28 21:00:02,5.359,601.45,14.34
2017-11-29 01:00:02,10.571,446.26,112.34
2017-11-29 03:00:02,10.574,540.07,213.37
2017-11-29 04:00:02,6.171,387.58,15.21
2017-11-29 05:00:02,9.51,390.99,24.30
2017-11-29 06:00:02,10.595,265.69,46.08
2017-11-29 08:00:02,4.699,29.65,8.05
2017-11-29 09:00:03,5.099,507.35,17.14
2017-11-29 10:00:02,11.782,345.55,162.07
2017-11-29 13:00:02,7.853,72.38,9.63
2017-11-29 14:00:02,9.089,584.40,124.33
2017-11-29 17:00:06,11.004,244.38,182.66
2017-11-29 18:00:02,8.68,371.72,128.59
2017-11-29 20:00:02,6.283,498.81,82.82
2017-11-29 21:00:02,6.2,171.55,215.62
2017-11-29 22:00:02,5.211,276.55,9.73
2017-11-29 23:00:02,9.103,692.57,156.84
2017-11-30 00:00:03,17.532,523.16,106.04
2017-11-30 02:00:03,7.586,538.69,16.02
2017-11-30 03:00:03,7.265,296.29,14.01
2017-11-30 04:00:02,9.355,205.39,159.83
2017-11-30 05:00:02,75.678,55.26,209.87
2017-11-30 07:00:01,10.199,627.69,133.33
2017-11-30 08:00:02,5.343,271.97,26.53
2017-11-30 10:00:03,5.341,271.34,51.79
2017-11-30 11:00:02,9.267,71.40,35.67
2017-11-30 13:00:02,6.5,117.21,19.22
2017-11-30 15:00:03,7.202,312.79,21.42
2017-11-30 16:00:02,4.695,30.70,2.12
2017-11-30 17:00:06,69.102,83.34,111.54
2017-11-30 18:00:05,5.364,314.16,19.73
2017-11-30 19:00:02,9.636,605.20,137.45
2017-11-30 20:00:02,4.731,22.01,1.15
2017-11-30 21:00:02,307.596,360.61,141.38
2017-11-30 23:00:02,5.592,465.95,41.82
2017-12-01 01:00:02,5.655,706.23,13.41
2017-12-01 04:00:05,4.323,311.03,79.99
2017-12-01 07:00:06,7.787,312.56,53.97
2017-12-01 08:00:04,17.546,272.96,163.17
2017-12-01 09:00:01,6.986,302.05,29.42
2017-12-01 10:00:02,7.216,421.98,35.45
2017-12-01 11:00:01,31.653,578.67,28.42
2017-12-01 12:00:02,10.686,372.34,129.20
2017-12-01 13:00:02,6.601,410.69,32.49
2017-12-01 14:00:02,6.101,39.53,13.12
2017-12-01 16:00:02,8.24,35.81,8.18
2017-12-01 18:00:02,4.493,132.13,11.02
2017-12-01 19:00:02,4.582,51.66,3.42
2017-12-01 20:00:01,5.297,415.48,40.23
2017-12-01 21:00:05,6.171,45.85,3.27
2017-12-01 22:00:02,4.429,180.48,19.36
2017-12-02 00:00:02,8.35,319.81,33.52
2017-12-02 01:00:02,8.954,688.16,86.36
2017-12-02 03:00:02,63.817,780.37,217.56
2017-12-02 05:00:02,6.675,325.02,44.20
2017-12-02 07:00:01,6.413,432.31,43.21
2017-12-02 10:00:01,6.72,385.96,19.50
2017-12-02 12:00:02,4.49,586.33,33.91
2017-12-02 13:00:02,6.712,71.49,18.70
2017-12-02 15:00:05,5.799,190.56,148.57
2017-12-02 17:00:05,9.317,697.14,192.76
2017-12-02 18:00:02,47.244,297.78,11.01
2017-12-02 19:00:05,11.082,389.81,183.04
2017-12-02 21:00:02,7.284,288.02,14.92
2017-12-02 22:00:09,87.432,124.92,167.61
2017-12-02 23:00:06,5.447,495.49,22.08
2017-12-03 00:00:06,11.19,324.98,28.95
2017-12-03 02:00:02,4.691,319.32,112.52
2017-12-03 03:00:02,6.561,388.10,108.41
2017-12-03 04:00:01,16.961,136.16,151.23
2017-12-03 05:00:02,8.42,133.71,11.33
2017-12-03 06:00:02,7.457,2.29,1.33
2017-12-03 08:00:02,5.127,598.82,15.16
2017-12-03 09:00:02,7.609,316.44,16.53
2017-12-03 10:00:03,7.086,285.06,3.28
2017-12-03 11:00:01,8.943,426.91,39.17
2017-12-03 12:00:02,9.676,208.30,20.95
