x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10],z[11],z[12],z[13],z[14],z[15],z[16],z[17],z[18],z[19],z[20],z[21],z[22],z[23],z[24],z[25],z[26],z[27],z[28],z[29],z[30],z[31],z[32],z[33],z[34],z[35],z[36],z[37],z[38],z[39],z[40],z[41],z[42],z[43],z[44],z[45],z[46],z[47],z[48]
-0.5,-0.5,-0.0255448964,-0.0452069253,-0.0771251509,-0.1266723538,-0.1999752786,-0.3028752847,-0.4390770323,-0.6074677984,-0.7989066336,-0.9932187418,-1.157571165,-1.2476484397,-1.2128484321,-1.0058988443,-0.5958700125,0.0181549383,0.7968861774,1.6585812131,2.4879475014,3.1564872536,3.5507315704,3.601336951,3.3043954791,2.7275441703,1.9975255056,1.271542953,0.7000634465,0.3916316795,0.3896281623,0.6669497204,1.1388279197,1.6885675334,2.1977508812,2.5722866475,2.7582262491,2.7452453693,2.5595247482,2.2502509865,1.8746142,1.4852612325,1.1223848685,0.8107839108,0.5608878932,0.3721281389,0.2370723255,0.1451712611,0.0855190247,0.0485001386,0.0264967519
-0.375,-0.375,-0.0296102542,-0.0526054006,-0.0901442591,-0.1488096122,-0.2363229349,-0.3604643363,-0.5270614319,-0.7369919441,-0.9824899201,-1.2435337719,-1.4856040227,-1.6604075475,-1.7109999386,-1.5818861387,-1.2331393625,-0.655676568,0.1167753474,1.0039787909,1.8874484738,2.6312987878,3.1121193456,3.2504593197,3.0345791283,2.5282850942,1.8589324668,1.1878009361,0.6708494163,0.42113902,0.4836789242,0.8292913114,1.3679107964,1.9758428562,2.5279470488,2.9254604457,3.1128759572,3.0815655077,2.8619899619,2.5090429087,2.0858003214,1.6499618688,1.2453437542,0.8987791203,0.6213242683,0.4120038842,0.2623688103,0.1606121579,0.0945935625,0.0536377379,0.0293002133
-0.25,-0.25,-0.0329674977,-0.0587395046,-0.1009850579,-0.1673300001,-0.2668903409,-0.4091756458,-0.6019656669,-0.8480700723,-1.1412468923,-1.4620840505,-1.7752139207,-2.0295965621,-2.1634760883,-2.1147478448,-1.8358523625,-1.3102679269,-0.5659019721,0.319940896,1.2281097385,2.0185848474,2.5613738756,2.769658434,2.6253576465,2.1883483196,1.584977601,0.9779250867,0.5256399915,0.3431462663,0.4755652365,0.8914118402,1.4962415395,2.1609985582,2.7556157941,3.1780994476,3.3721406118,3.3307917911,3.0881318823,2.7037111821,2.2453443504,1.7747818571,1.3387533706,0.96575332,0.6673929386,0.4424380738,0.2816963263,0.1724205159,0.1015389336,0.0575727709,0.0314488885
-0.125,-0.125,-0.0353309141,-0.0630864586,-0.1087218174,-0.1806478278,-0.2890512943,-0.4448053934,-0.6572881313,-0.9309894149,-1.2611644054,-1.6293453242,-2.0001281493,-2.3210596103,-2.5273510617,-2.5522817379,-2.3424905946,-1.8752246661,-1.1727260609,-0.3082132415,0.6009104894,1.413762505,1.9971968264,2.2597837398,2.1784685737,1.8088071104,1.2741037869,0.7353489207,0.3502279099,0.2332257106,0.4284912749,0.9027895555,1.5592433932,2.266159066,2.8912869049,3.3315003202,3.5307341062,3.4836330862,3.2268749207,2.823090392,2.3431114943,1.8512130396,1.3959144609,1.0067177893,0.6955617417,0.4610441707,0.2935120647,0.1796401916,0.1057862124,0.0599798314,0.0327636959
0,0,-0.0365062046,-0.0652904791,-0.1127240895,-0.1876825534,-0.3010153542,-0.4644866391,-0.6885942601,-0.9791260677,-1.332690467,-1.7320217344,-2.142483473,-2.5116292938,-2.7736100195,-2.8593741195,-2.711947378,-2.3039218081,-1.6523454639,-0.8254083825,0.0635698771,0.8761597875,1.479606922,1.7807426221,1.7529522848,1.4470182637,0.9810118431,0.5109563508,0.1903906922,0.1307808384,0.3744457186,0.8873865562,1.5728089824,2.2997100944,2.9369303164,3.3826683979,3.5822924798,3.5318832394,3.2694633264,2.8588369302,2.3717777148,1.8732396471,1.4121612599,1.0182357417,0.7034169879,0.4662013948,0.2967732702,0.1816273881,0.1069534825,0.0606410083,0.0331249499
0.125,0.125,-0.0364147546,-0.0652063903,-0.1127323509,-0.187985273,-0.3020315189,-0.4670046763,-0.6939851967,-0.9896121098,-1.351641198,-1.764218965,-2.1942619287,-2.5907752882,-2.8888997603,-3.0196727684,-2.9248772731,-2.574235753,-1.9802810118,-1.2054065514,-0.35662666,0.4333568223,1.035755027,1.3586138895,1.3732798175,1.1254167464,0.7257639665,0.3221736429,0.0607212267,0.0474477902,0.3220803841,0.8509635315,1.5400372076,2.2624497375,2.8915079596,3.3292504988,3.5236685454,3.4720691372,3.2124737726,2.8078408116,2.3286978053,1.8387362273,1.3858712668,0.9991260081,0.6901364225,0.4573612955,0.2911288888,0.1781662112,0.1049130516,0.0594836079,0.0324927914
0.25,0.25,-0.0350987703,-0.0629078836,-0.1088703231,-0.1817552903,-0.2924069918,-0.4528109345,-0.6740901443,-0.9632730562,-1.3190236282,-1.7270539624,-2.1565367496,-2.5592706297,-2.8733257995,-3.0321512779,-2.9786024575,-2.6813334936,-2.1491481589,-1.4380782466,-0.6468900846,0.100405574,0.6822761094,1.0107428208,1.0565794454,0.8600873703,0.5228111996,0.1815453829,-0.0280889496,-0.0076186919,0.279478256,0.8010139549,1.4682172082,2.1616797885,2.7623656135,3.1785126346,3.3618310365,3.3106212965,3.0615943953,2.674918641,2.2177758098,1.7507332738,1.3192991144,0.9509976737,0.6568225942,0.4352497877,0.2770385086,0.16953665,0.0998291551,0.056600438,0.0309177686
0.375,0.375,-0.0327081673,-0.0586627343,-0.1015994634,-0.1697589269,-0.2733664483,-0.4237859176,-0.631678205,-0.9040098578,-1.2400785905,-1.6272124403,-2.0373557231,-2.4261665261,-2.7362392064,-2.9053894699,-2.8795421308,-2.6279011291,-2.1563585085,-1.5143109707,-0.7908782282,-0.0991392524,0.449148532,0.7720784698,0.8409032412,0.6902370683,0.4108218621,0.1260132305,-0.0414009266,-0.0020998453,0.2769979357,0.7664302496,1.3851741324,2.0243089752,2.5753515074,2.9548566328,3.1192267835,3.0675393089,2.8340187318,2.474301347,2.0503394649,1.6178986584,1.2188206832,0.8783602511,0.6065433964,0.4018753081,0.2557679656,0.1565071104,0.0921512447,0.0522449112,0.0285376619
0.5,0.5,-0.0294738356,-0.0528840437,-0.0916329115,-0.1531826161,-0.2468095568,-0.3828523773,-0.5710621151,-0.8179110095,-1.1230035413,-1.4751740457,-1.8493576561,-2.2056969541,-2.4923453471,-2.652830957,-2.6375972081,-2.417666318,-1.9968153929,-1.4179266808,-0.7598865799,-0.1237338168,0.3898050204,0.7058379033,0.7963323382,0.6895665943,0.4640713194,0.2280075295,0.0898069674,0.1289089901,0.3753755788,0.804075799,1.3442276181,1.9002481199,2.3768163793,2.7006774133,2.8337885754,2.7758423332,2.5575958708,2.2286853949,1.8442313189,1.4537491932,1.0942986754,0.7881440249,0.5439886967,0.3602948961,0.229237172,0.1402396482,0.0825573834,0.0467985702,0.0255595694
0.625,0.625,-0.0256737604,-0.0460695579,-0.0798306378,-0.1334583435,-0.2150313781,-0.3335451727,-0.4974640321,-0.7123587979,-0.977753243,-1.2836880614,-1.6079523468,-1.9152647074,-2.1596908701,-2.291069214,-2.2651299452,-2.0555333104,-1.6646824617,-1.1295110393,-0.5190425994,0.0774741386,0.5700610303,0.8903530355,1.0102245456,0.9505038175,0.7762651417,0.5794069239,0.4534702158,0.4683017639,0.6521756805,0.98636205,1.4129159047,1.8522770743,2.2246147627,2.468491643,2.5521799416,2.4759035312,2.2662030203,1.9655626149,1.6209882216,1.274553768,0.9575762354,0.6886550743,0.4747706563,0.3141621175,0.1997382713,0.1221204179,0.0718558174,0.040715941,0.0222300818
0.75,0.75,-0.0215983584,-0.0387403588,-0.0670951195,-0.1120932155,-0.1804557766,-0.2796134491,-0.4164520768,-0.5952776957,-0.8151075537,-1.0667235822,-1.3303024469,-1.5747223485,-1.7596545034,-1.8411114776,-1.780200174,-1.5535779495,-1.1629296531,-0.6402023234,-0.0458152669,0.5412513771,1.040049302,1.3869315358,1.5519334635,1.5469444145,1.4225627564,1.2540666427,1.1205369303,1.0834649369,1.1712705204,1.3740249944,1.6491780921,1.9355803883,2.170830099,2.3066166625,2.3181487705,2.2061742856,1.9925241237,1.7117356982,1.4017854865,1.0964178191,0.8204426001,0.5881990235,0.4045218881,0.2671550321,0.1695846132,0.1035513567,0.06086545,0.0344582366,0.0187997388
0.875,0.875,-0.0175199132,-0.0313871352,-0.0542805983,-0.0905226165,-0.1454085326,-0.2246875674,-0.3334792247,-0.4745395938,-0.6459723039,-0.8387558459,-1.0347761432,-1.2062941905,-1.3177872409,-1.330739373,-1.2111833469,-0.9387438339,-0.5149280857,0.0321030706,0.6486826706,1.2637229278,1.8026474037,2.2039126446,2.4334944708,2.4928242215,2.4174091059,2.2662537658,2.1051956795,1.9892430852,1.9492035171,1.9862634209,2.0753963935,2.1756265915,2.2432831633,2.2440081107,2.1603404906,1.9935937081,1.7606712617,1.4877773503,1.2033824495,0.9323968668,0.6926365364,0.4937408388,0.338023271,0.222426324,0.1407751213,0.0857519307,0.0503025528,0.0284307453,0.0154895667
1,1,-0.0136690687,-0.0244286481,-0.0421224854,-0.0699950356,-0.1119374802,-0.1720112439,-0.2535049143,-0.3574608597,-0.4807587721,-0.6140734188,-0.7402866572,-0.8341335253,-0.8638703964,-0.795454315,-0.5990813577,-0.2570542905,0.2288994501,0.8331951287,1.5069161614,2.1842682635,2.7942037493,3.2746399544,3.5854867772,3.7166676709,3.6886295673,3.5451178718,3.3404418393,3.1251608654,2.9344476073,2.7822442511,2.6622162516,2.5542634466,2.4337891159,2.2805185716,2.0843698334,1.8472687135,1.5812600849,1.3042869185,1.0353519394,0.7905034259,0.5804546965,0.409962811,0.278586334,0.1822113754,0.1147536965,0.0696163063,0.0406987917,0.0229373519,0.0124666909
1.125,1.125,-0.0102196572,-0.0181842198,-0.0311891182,-0.0514903051,-0.0816786748,-0.1242300859,-0.1806726905,-0.2503284996,-0.3287123751,-0.4058618581,-0.4650874041,-0.4827966495,-0.4300532594,-0.27628545,0.0049700268,0.4291332615,0.9940205661,1.6756347906,2.4281149684,3.1887918043,3.8878922265,4.4609112875,4.8605838781,5.0652202322,5.0810878929,4.9382756801,4.6814557595,4.3584463734,4.0099361488,3.663039707,3.3298436238,3.0103916594,2.6982811293,2.3865862643,2.0722102248,1.7576988207,1.4505865784,1.1611070608,0.8993929078,0.6731424053,0.486313677,0.3389419532,0.2278266984,0.1476761566,0.0923113778,0.0556529635,0.0323654185,0.0181601167,0.0098331254
1.25,1.25,-0.0072819737,-0.012860421,-0.0218561311,-0.0356716157,-0.0557690273,-0.0832369316,-0.1180440215,-0.1579547924,-0.1971883108,-0.2250585827,-0.2250125106,-0.1746156089,-0.0470410308,0.1855844366,0.5470611564,1.0509179327,1.6944415824,2.4546198921,3.287594631,4.1325597088,4.9199058454,5.5821274858,6.0650177246,6.3363858683,6.3901171229,6.2447035792,5.9369676407,5.5130108283,5.0190019559,4.4941142171,3.9669216678,3.4553055461,2.9688769761,2.5124192391,2.0889562164,1.7015917485,1.353942587,1.0495300522,0.7907489255,0.5779918609,0.4092778905,0.2804552085,0.1858341957,0.1190085559,0.0736335179,0.0440081098,0.0254044153,0.0141643497,0.0076279762
