"genesis-vision, x; Moving Average 8, x; Moving Average 40, x; Volume, x; Bollinger Bands, x; Trace 5, x",close,high,low,open,"Moving Average 8, y","Moving Average 40, y","Volume, y",color,"Bollinger Bands, y","Trace 5, y"
2017-12-05,6.94,6.94,5.96,6.36,6.4825,,286.318443804,#17BECF,8.2641460486,4.8138539514
2017-12-06,6.0,7.97,5.88,7.14,6.46,,333.0966666667,#7F7F7F,8.1472330694,5.0787669306
2017-12-07,5.44,6.67,4.79,6.08,6.46875,,346.7683823529,#7F7F7F,7.5086244336,5.1513755664
2017-12-08,5.58,5.89,4.43,5.45,6.285,,230.8655913978,#17BECF,7.5401006084,4.9998993916
2017-12-09,5.35,5.77,4.9,5.55,6.14625,,170.3011214953,#7F7F7F,7.5444464562,4.9915535438
2017-12-10,4.85,5.37,4.47,5.37,5.9125,,178.5791752577,#7F7F7F,7.4749096366,4.6210903634
2017-12-11,6.59,7.92,4.67,5.07,5.88625,,752.0121396055,#17BECF,7.5068353987,4.6151646013
2017-12-12,5.66,6.85,5.29,6.55,5.80125,,860.1978798587,#7F7F7F,7.3402637134,4.5697362866
2017-12-13,5.28,5.85,5.14,5.75,5.59375,,683.2708333333,#7F7F7F,7.107387468,4.498612532
2017-12-14,6.22,6.34,5.24,5.35,5.62125,,787.88585209,#17BECF,7.0754869274,4.5065130726
2017-12-15,5.7,6.38,5.33,6.24,5.65375,,791.6684210526,#7F7F7F,6.6662463827,4.6677536173
2017-12-16,6.44,6.75,5.69,5.69,5.76125,,797.1242236025,#17BECF,6.8092592287,4.6127407713
2017-12-17,7.35,9.06,6.19,6.35,6.01125,,966.5183673469,#17BECF,7.3870304898,4.4169695102
2017-12-18,8.29,8.37,6.67,7.33,6.44125,,794.3956574186,#17BECF,8.2628070086,4.0831929914
2017-12-19,8.28,8.64,7.38,8.28,6.6525,,627.0120772947,#7F7F7F,8.844612107,4.087387893
2017-12-20,7.08,8.27,6.75,8.27,6.83,,595.9435028249,#7F7F7F,8.7970048492,4.5809951508
2017-12-21,7.11,8.14,6.94,7.05,7.05875,,529.6849507736,#17BECF,8.8637539764,4.6182460236
2017-12-22,6.49,7.36,5.02,7.14,7.0925,,314.1386748844,#7F7F7F,8.820022712,4.827977288
2017-12-23,6.34,7.04,6.28,6.52,7.1725,,312.1735015773,#7F7F7F,8.6559071689,5.2040928311
2017-12-24,7.94,7.94,5.68,6.42,7.36,5.413,489.0629722922,#17BECF,8.856025212,5.347974788
2017-12-25,7.66,9.65,7.45,7.87,7.39875,5.5375,516.8733681462,#7F7F7F,8.771312217,5.824687783
2017-12-26,7.6,8.43,7.04,7.63,7.3125,5.659,330.4276315789,#7F7F7F,8.7646278375,6.0633721625
2017-12-27,7.88,8.98,7.41,7.55,7.2625,5.802,251.1979695431,#17BECF,8.847726057,6.086273943
2017-12-28,7.4,8.03,7.1,7.83,7.3025,5.93425,213.1716216216,#7F7F7F,8.6318580462,6.1241419538
2017-12-29,7.77,8.18,7.26,7.48,7.385,6.07425,207.5662805663,#17BECF,8.4527412373,6.2012587627
2017-12-30,7.37,7.78,6.49,7.73,7.495,6.19675,197.4464043419,#7F7F7F,8.4683228948,6.2436771052
2017-12-31,9.32,9.63,7.26,7.29,7.8675,6.36,234.4216738197,#17BECF,9.2224935092,5.9315064908
2018-01-01,11.2,11.44,8.56,9.38,8.275,6.57125,347.14375,#17BECF,10.6994867947,5.3965132053
2018-01-02,12.83,13.72,10.48,11.23,8.92125,6.826,590.0724863601,#17BECF,12.442018024,4.951981976
2018-01-03,12.81,13.87,12.23,12.65,9.5725,7.069,247.387197502,#17BECF,13.6823275905,4.6856724095
2018-01-04,18.24,19.33,11.98,12.87,10.8675,7.4365,457.1968201754,#17BECF,17.3607876621,3.1232123379
2018-01-05,23.19,24.68,16.03,17.92,12.84125,7.88475,535.9163432514,#17BECF,22.3501292953,1.2518707047
2018-01-06,33.89,38.17,20.93,23.42,16.10625,8.52525,752.6526999115,#17BECF,31.4677155985,-2.6637155985
2018-01-07,34.76,51.39,31.18,33.92,19.53,9.23975,774.0046029919,#17BECF,37.6411180285,-3.3651180285
