"F-bland dygnsmedel fr drift-db, x","F-bland dygnsmedel fr drift-db, y","F-bland dygnsmedel fr månadsrapport, x","F-bland dygnsmedel fr månadsrapport, y","Br9901 momentant, x","Br9901 momentant, y","17098+17099(Br1701+Br1702), x","17098+17099(Br1701+Br1702), y","17097(Br1703), x","17097(Br1703), y"
2016-01-19 00:00:00,3.9224782176,2013-10-18 00:00:00,,2017-01-12 08:17:16,4.72226,2017-06-14 14:27:15,0.3548823047,,
2016-01-20 00:00:00,3.8904539892,2013-10-19 00:00:00,,2017-01-16 10:33:51,4.72226,2017-06-14 14:29:16,0.355171875,,
2016-01-21 00:00:00,4.1860023534,2013-10-20 00:00:00,,2017-01-18 09:30:40,4.72226,2017-06-14 14:31:17,0.3550753516,,
2016-01-22 00:00:00,3.8694259182,2013-10-21 00:00:00,,2017-01-23 09:35:16,4.72226,2017-06-14 14:33:19,0.3547857812,,
2016-01-23 00:00:00,3.9869122608,2013-10-22 00:00:00,,2017-01-27 08:22:07,3.75003,2017-06-14 14:35:20,0.3555579688,,
2016-01-24 00:00:00,4.2131070216,2013-10-23 00:00:00,,2017-02-01 09:40:16,3.75003,2017-06-14 14:37:22,0.3559440625,,
2016-01-25 00:00:00,3.8940228858,2013-10-24 00:00:00,,2017-02-08 09:56:01,3.75003,2017-06-14 14:39:23,0.3549788281,,
2016-01-26 00:00:00,4.0426653318,2013-10-25 00:00:00,,2017-02-15 07:50:14,4.30559,2017-06-14 14:41:24,0.3550753516,,
2016-01-27 00:00:00,3.9157260108,2013-10-26 00:00:00,,2017-02-16 14:09:14,0.6222272,2017-06-14 14:43:25,0.3553649219,,
2016-01-28 00:00:00,3.9567209568,2013-10-27 00:00:00,,2017-03-14 10:40:55,4.44448,2017-06-14 14:45:27,0.3552683984,,
2016-01-29 00:00:00,3.8257304784,2013-10-28 00:00:00,,2017-04-11 10:29:01,4.72226,2017-06-14 14:47:28,0.3545927344,,
2016-01-30 00:00:00,4.160923125,2013-10-29 00:00:00,,,,2017-06-14 14:49:30,0.3550753516,,
2016-01-31 00:00:00,4.322394375,2013-10-30 00:00:00,,,,2017-06-14 14:51:31,0.3552683984,,
2016-02-01 00:00:00,3.770266875,2013-10-31 00:00:00,3.480062724,,,2017-06-14 14:53:32,0.3555579688,,
2016-02-02 00:00:00,4.0335015432,2013-11-01 00:00:00,,,,2017-06-14 14:55:34,0.3555579688,,
2016-02-03 00:00:00,3.9028005324,2013-11-02 00:00:00,,,,2017-06-14 14:57:36,0.3554614453,,
2016-02-04 00:00:00,4.1455863426,2013-11-03 00:00:00,,,,2017-06-14 14:59:37,0.3552683984,,
2016-02-05 00:00:00,4.0086153858,2013-11-04 00:00:00,,,,2017-06-14 15:01:38,0.3552683984,,
2016-02-06 00:00:00,3.8396204784,2013-11-05 00:00:00,,,,2017-06-14 15:03:40,0.3555579688,,
2016-02-07 00:00:00,4.3481486574,2013-11-06 00:00:00,,,,2017-06-14 15:05:41,0.3554614453,,
2016-02-08 00:00:00,3.9006784182,2013-11-07 00:00:00,,,,2017-06-14 15:07:42,0.3555579688,,
2016-02-09 00:00:00,3.9533448534,2013-11-08 00:00:00,,,,2017-06-14 15:09:44,0.3554614453,,
2016-02-10 00:00:00,4.2804349074,2013-11-09 00:00:00,,,,2017-06-14 15:11:45,0.3555579688,,
2016-02-11 00:00:00,4.0899296682,2013-11-10 00:00:00,,,,2017-06-14 15:13:46,0.3554614453,,
2016-02-12 00:00:00,4.0092907176,2013-11-11 00:00:00,,,,2017-06-14 15:15:48,0.3555579688,,
2016-02-13 00:00:00,4.0357203318,2013-11-12 00:00:00,,,,2017-06-14 15:17:49,0.3554614453,,
2016-02-14 00:00:00,4.1912111034,2013-11-13 00:00:00,,,,2017-06-14 15:19:50,0.3553649219,,
2016-02-15 00:00:00,3.9038617284,2013-11-14 00:00:00,,,,2017-06-14 15:21:52,0.3555579688,,
2016-02-16 00:00:00,4.2909490818,2013-11-15 00:00:00,,,,2017-06-14 15:23:53,0.355171875,,
2016-02-17 00:00:00,4.3261563426,2013-11-16 00:00:00,,,,2017-06-14 15:25:55,0.3536275,,
2016-02-18 00:00:00,4.1368084182,2013-11-17 00:00:00,,,,2017-06-14 15:27:56,0.3553649219,,
2016-02-19 00:00:00,4.3856711034,2013-11-18 00:00:00,,,,2017-06-14 15:29:58,0.3553649219,,
2016-02-20 00:00:00,3.9952076466,2013-11-19 00:00:00,,,,2017-06-14 15:31:59,0.355171875,,
2016-02-21 00:00:00,4.2379934568,2013-11-20 00:00:00,,,,2017-06-14 15:34:01,0.3554614453,,
2016-02-22 00:00:00,4.0792229784,2013-11-21 00:00:00,,,,2017-06-14 15:36:02,0.3553649219,,
2016-02-23 00:00:00,4.190439375,2013-11-22 00:00:00,,,,2017-06-14 15:38:04,0.3550753516,,
2016-02-24 00:00:00,4.0435334568,2013-11-23 00:00:00,,,,2017-06-14 15:40:05,0.3550753516,,
2016-02-25 00:00:00,3.7221341358,2013-11-24 00:00:00,,,,2017-06-14 15:42:06,0.3554614453,,
2016-02-26 00:00:00,4.1067135108,2013-11-25 00:00:00,,,,2017-06-14 15:44:08,0.355171875,,
2016-02-27 00:00:00,3.9627011574,2013-11-26 00:00:00,,,,2017-06-14 15:46:09,0.3552683984,,
2016-02-28 00:00:00,4.2397297068,2013-11-27 00:00:00,,,,2017-06-14 15:48:10,0.3555579688,,
2016-02-29 00:00:00,4.0479704784,2013-11-28 00:00:00,,,,2017-06-14 15:50:12,0.3554614453,,
2016-03-01 00:00:00,4.5190728858,2013-11-29 00:00:00,,,,2017-06-14 15:52:13,0.3554614453,,
2016-03-02 00:00:00,4.3957991358,2013-11-30 00:00:00,2.5108024691,,,2017-06-14 15:54:14,0.3554614453,,
2016-03-03 00:00:00,4.39097625,2013-12-01 00:00:00,,,,2017-06-14 15:56:15,0.3549788281,,
2016-03-04 00:00:00,4.2450348534,2013-12-02 00:00:00,,,,2017-06-14 15:58:17,0.3553649219,,
2016-03-05 00:00:00,3.9915423534,2013-12-03 00:00:00,,,,2017-06-14 16:00:18,0.355171875,,
2016-03-06 00:00:00,4.2683778318,2013-12-04 00:00:00,,,,2017-06-14 16:02:19,0.3552683984,,
2016-03-07 00:00:00,4.0676478858,2013-12-05 00:00:00,,,,2017-06-14 16:04:21,0.355171875,,
2016-03-08 00:00:00,4.1905357716,2013-12-06 00:00:00,,,,2017-06-14 16:06:22,0.3554614453,,
2016-03-09 00:00:00,4.1206035108,2013-12-07 00:00:00,,,,2017-06-14 16:08:23,0.3553649219,,
2016-03-10 00:00:00,4.0813450926,2013-12-08 00:00:00,,,,2017-06-14 16:10:25,0.3549788281,,
2016-03-11 00:00:00,4.0638859182,2013-12-09 00:00:00,,,,2017-06-14 16:12:26,0.3554614453,,
2016-03-12 00:00:00,4.035045,2013-12-10 00:00:00,,,,2017-06-14 16:14:27,0.355171875,,
2016-03-13 00:00:00,4.4817435108,2013-12-11 00:00:00,,,,2017-06-14 16:16:29,0.3553649219,,
2016-03-14 00:00:00,4.2151327392,2013-12-12 00:00:00,,,,2017-06-14 16:18:30,0.3554614453,,
2016-03-15 00:00:00,4.379690625,2013-12-13 00:00:00,,,,2017-06-14 16:20:32,0.355171875,,
2016-03-16 00:00:00,4.5136713426,2013-12-14 00:00:00,,,,2017-06-14 16:22:33,0.3552683984,,
2016-03-17 00:00:00,4.4192385108,2013-12-15 00:00:00,,,,2017-06-14 16:24:34,0.3554614453,,
2016-03-18 00:00:00,4.3452550926,2013-12-16 00:00:00,,,,2017-06-14 16:26:36,0.3549788281,,
2016-03-19 00:00:00,4.2730076466,2013-12-17 00:00:00,,,,2017-06-14 16:28:37,0.3554614453,,
2016-03-20 00:00:00,4.6521854784,2013-12-18 00:00:00,,,,2017-06-14 16:30:38,0.3555579688,,
2016-03-21 00:00:00,4.020286875,2013-12-19 00:00:00,,,,2017-06-14 16:32:40,0.3552683984,,
2016-03-22 00:00:00,4.2818819676,2013-12-20 00:00:00,,,,2017-06-14 16:34:41,0.3550753516,,
2016-03-23 00:00:00,4.383163125,2013-12-21 00:00:00,,,,2017-06-14 16:36:42,0.3554614453,,
2016-03-24 00:00:00,4.3852852392,2013-12-22 00:00:00,,,,2017-06-14 16:38:44,0.3554614453,,
2016-03-25 00:00:00,4.3454478858,2013-12-23 00:00:00,,,,2017-06-14 16:40:45,0.355171875,,
2016-03-26 00:00:00,4.2465780324,2013-12-24 00:00:00,,,,2017-06-14 16:42:46,0.3530483594,,
2016-03-27 00:00:00,2.3863703388,2013-12-25 00:00:00,,,,2017-06-14 16:44:48,0.3550753516,,
2016-03-28 00:00:00,2.9808517824,2013-12-26 00:00:00,,,,2017-06-14 16:46:49,0.355171875,,
2016-03-29 00:00:00,6.4353142284,2013-12-27 00:00:00,,,,2017-06-14 16:48:51,0.3554614453,,
2016-03-30 00:00:00,6.2916877392,2013-12-28 00:00:00,,,,2017-06-14 16:50:52,0.3552683984,,
2016-03-31 00:00:00,3.8907434568,2013-12-29 00:00:00,,,,2017-06-14 16:52:53,0.3554614453,,
2016-04-01 00:00:00,4.0132454784,2013-12-30 00:00:00,,,,2017-06-14 16:54:55,0.3554614453,,
2016-04-02 00:00:00,3.9454353318,2013-12-31 00:00:00,2.8229540024,,,2017-06-14 16:56:56,0.3553649219,,
2016-04-03 00:00:00,4.282460625,2014-01-01 00:00:00,,,,2017-06-14 16:58:57,0.3555579688,,
2016-04-04 00:00:00,4.284196875,2014-01-02 00:00:00,,,,2017-06-14 17:00:59,0.3549788281,,
2016-04-05 00:00:00,4.0896404784,2014-01-03 00:00:00,,,,2017-06-14 17:03:00,0.3552683984,,
2016-04-06 00:00:00,4.1389305324,2014-01-04 00:00:00,,,,2017-06-14 17:05:02,0.3552683984,,
2016-04-07 00:00:00,4.1912111034,2014-01-05 00:00:00,,,,2017-06-14 17:07:03,0.3555579688,,
2016-04-08 00:00:00,4.2863189892,2014-01-06 00:00:00,,,,2017-06-14 17:09:05,0.3554614453,,
2016-04-09 00:00:00,4.2296977932,2014-01-07 00:00:00,,,,2017-06-14 17:11:06,0.3554614453,,
2016-04-10 00:00:00,4.5329628858,2014-01-08 00:00:00,,,,2017-06-14 17:13:08,0.3554614453,,
2016-04-11 00:00:00,4.6921192284,2014-01-09 00:00:00,,,,2017-06-14 17:15:09,0.3552683984,,
2016-04-12 00:00:00,4.673116875,2014-01-10 00:00:00,,,,2017-06-14 17:17:10,0.355171875,,
2016-04-13 00:00:00,4.7719867284,2014-01-11 00:00:00,,,,2017-06-14 17:19:12,0.3550753516,,
2016-04-14 00:00:00,4.6193895216,2014-01-12 00:00:00,,,,2017-06-14 17:21:13,0.3554614453,,
2016-04-15 00:00:00,4.4469221142,2014-01-13 00:00:00,,,,2017-06-14 17:23:14,0.3555579688,,
2016-04-16 00:00:00,4.4993954784,2014-01-14 00:00:00,,,,2017-06-14 17:25:16,0.3554614453,,
2016-04-17 00:00:00,4.5879442284,2014-01-15 00:00:00,,,,2017-06-14 17:27:17,0.3552683984,,
2016-04-18 00:00:00,4.5254392284,2014-01-16 00:00:00,,,,2017-06-14 17:29:18,0.355171875,,
2016-04-19 00:00:00,4.6303859568,2014-01-17 00:00:00,,,,2017-06-14 17:31:20,0.3554614453,,
2016-04-20 00:00:00,4.7332102932,2014-01-18 00:00:00,,,,2017-06-14 17:33:21,0.3555579688,,
2016-04-21 00:00:00,4.4915823534,2014-01-19 00:00:00,,,,2017-06-14 17:35:22,0.3555579688,,
2016-04-22 00:00:00,4.4556033642,2014-01-20 00:00:00,,,,2017-06-14 17:37:24,0.355171875,,
2016-04-23 00:00:00,4.7639805324,2014-01-21 00:00:00,,,,2017-06-14 17:39:25,0.3552683984,,
2016-04-24 00:00:00,4.7195133642,2014-01-22 00:00:00,,,,2017-06-14 17:41:26,0.3555579688,,
2016-04-25 00:00:00,4.5618040818,2014-01-23 00:00:00,,,,2017-06-14 17:43:28,0.3555579688,,
2016-04-26 00:00:00,4.3514283642,2014-01-24 00:00:00,,,,2017-06-14 17:45:29,0.3554614453,,
2016-04-27 00:00:00,4.7513445216,2014-01-25 00:00:00,,,,2017-06-14 17:47:31,0.3552683984,,
2016-04-28 00:00:00,4.5182047608,2014-01-26 00:00:00,,,,2017-06-14 17:49:32,0.355171875,,
2016-04-29 00:00:00,4.6778433642,2014-01-27 00:00:00,,,,2017-06-14 17:51:33,0.3555579688,,
2016-04-30 00:00:00,4.5074013966,2014-01-28 00:00:00,,,,2017-06-14 17:53:35,0.3554614453,,
2016-05-01 00:00:00,4.9119476466,2014-01-29 00:00:00,,,,2017-06-14 17:55:37,0.3554614453,,
2016-05-02 00:00:00,4.6884536574,2014-01-30 00:00:00,,,,2017-06-14 17:57:38,0.3554614453,,
2016-05-03 00:00:00,4.7013791358,2014-01-31 00:00:00,2.6123805257,,,2017-06-14 17:59:39,0.3552683984,,
2016-05-04 00:00:00,4.6328936574,2014-02-01 00:00:00,,,,2017-06-14 18:01:41,0.3554614453,,
2016-05-05 00:00:00,5.2409670216,2014-02-02 00:00:00,,,,2017-06-14 18:03:42,0.3554614453,,
2016-05-06 00:00:00,4.5445379784,2014-02-03 00:00:00,,,,2017-06-14 18:05:44,0.3555579688,,
2016-05-07 00:00:00,4.4448963966,2014-02-04 00:00:00,,,,2017-06-14 18:07:45,0.3552683984,,
2016-05-08 00:00:00,5.2392307716,2014-02-05 00:00:00,,,,2017-06-14 18:09:46,0.355171875,,
2016-05-09 00:00:00,5.1034174074,2014-02-06 00:00:00,,,,2017-06-14 18:11:48,0.3554614453,,
2016-05-10 00:00:00,5.0254792284,2014-02-07 00:00:00,,,,2017-06-14 18:13:49,0.3554614453,,
2016-05-11 00:00:00,4.771215,2014-02-08 00:00:00,,,,2017-06-14 18:15:50,0.3553649219,,
2016-05-12 00:00:00,5.1377565432,2014-02-09 00:00:00,,,,2017-06-14 18:17:52,0.3554614453,,
2016-05-13 00:00:00,4.9182175926,2014-02-10 00:00:00,,,,2017-06-14 18:19:53,0.3552683984,,
2016-05-14 00:00:00,4.7623409568,2014-02-11 00:00:00,,,,2017-06-14 18:21:54,0.355171875,,
2016-05-15 00:00:00,4.9365446142,2014-02-12 00:00:00,,,,2017-06-14 18:23:56,0.3555579688,,
2016-05-16 00:00:00,4.8886046682,2014-02-13 00:00:00,,,,2017-06-14 18:25:57,0.3554614453,,
2016-05-17 00:00:00,4.9879567824,2014-02-14 00:00:00,,,,2017-06-14 18:27:58,0.3554614453,,
2016-05-18 00:00:00,5.01949875,2014-02-15 00:00:00,,,,2017-06-14 18:30:00,0.3552683984,,
2016-05-19 00:00:00,4.9317217284,2014-02-16 00:00:00,,,,2017-06-14 18:32:02,0.355171875,,
2016-05-20 00:00:00,5.0069591358,2014-02-17 00:00:00,,,,2017-06-14 18:34:03,0.3549788281,,
2016-05-21 00:00:00,4.9032663966,2014-02-18 00:00:00,,,,2017-06-14 18:36:05,0.3549788281,,
2016-05-22 00:00:00,5.3682922068,2014-02-19 00:00:00,,,,2017-06-14 18:38:06,0.3554614453,,
2016-05-23 00:00:00,5.2829264892,2014-02-20 00:00:00,,,,2017-06-14 18:40:08,0.3553649219,,
2016-05-24 00:00:00,4.9080892824,2014-02-21 00:00:00,,,,2017-06-14 18:42:09,0.3553649219,,
2016-05-25 00:00:00,4.6180391358,2014-02-22 00:00:00,,,,2017-06-14 18:44:10,0.3554614453,,
2016-05-26 00:00:00,5.6218811034,2014-02-23 00:00:00,,,,2017-06-14 18:46:12,0.3550753516,,
2016-05-27 00:00:00,5.0072486034,2014-02-24 00:00:00,,,,2017-06-14 18:48:13,0.3552683984,,
2016-05-28 00:00:00,4.3903009182,2014-02-25 00:00:00,,,,2017-06-14 18:50:14,0.3553649219,,
2016-05-29 00:00:00,4.4277269676,2014-02-26 00:00:00,,,,2017-06-14 18:52:16,0.3554614453,,
2016-05-30 00:00:00,6.05777625,2014-02-27 00:00:00,,,,2017-06-14 18:54:17,0.3552683984,,
2016-05-31 00:00:00,6.2886975,2014-02-28 00:00:00,2.8492890212,,,2017-06-14 18:56:18,0.3552683984,,
2016-06-01 00:00:00,5.9861077392,2014-03-01 00:00:00,,,,2017-06-14 18:58:19,0.3549788281,,
2016-06-02 00:00:00,5.0573103858,2014-03-02 00:00:00,,,,2017-06-14 19:00:21,0.3550753516,,
2016-06-03 00:00:00,6.0939480324,2014-03-03 00:00:00,,,,2017-06-14 19:02:22,0.3550753516,,
2016-06-04 00:00:00,5.2042165818,2014-03-04 00:00:00,,,,2017-06-14 19:04:24,0.355171875,,
2016-06-05 00:00:00,3.3712188426,2014-03-05 00:00:00,,,,2017-06-14 19:06:25,0.3550753516,,
2016-06-06 00:00:00,3.9164013426,2014-03-06 00:00:00,,,,2017-06-14 19:08:26,0.3555579688,,
2016-06-07 00:00:00,4.1115363966,2014-03-07 00:00:00,,,,2017-06-14 19:10:28,0.3554614453,,
2016-06-08 00:00:00,3.2834415432,2014-03-08 00:00:00,,,,2017-06-14 19:12:29,0.3554614453,,
2016-06-09 00:00:00,2.6567780808,2014-03-09 00:00:00,,,,2017-06-14 19:14:30,0.3553649219,,
2016-06-10 00:00:00,,2014-03-10 00:00:00,,,,2017-06-14 19:16:32,0.3550753516,,
2016-06-11 00:00:00,,2014-03-11 00:00:00,,,,2017-06-14 19:18:33,0.355171875,,
2016-06-12 00:00:00,4.6902801924,2014-03-12 00:00:00,,,,2017-06-14 19:20:34,0.3550753516,,
2016-06-13 00:00:00,3.2927017284,2014-03-13 00:00:00,,,,2017-06-14 19:22:36,0.3554614453,,
2016-06-14 00:00:00,4.1535922608,2014-03-14 00:00:00,,,,2017-06-14 19:24:37,0.3553649219,,
2016-06-15 00:00:00,4.2406942284,2014-03-15 00:00:00,,,,2017-06-14 19:26:38,0.3552683984,,
2016-06-16 00:00:00,2.9532648534,2014-03-16 00:00:00,,,,2017-06-14 19:28:40,0.3553649219,,
2016-06-17 00:00:00,3.1621935108,2014-03-17 00:00:00,,,,2017-06-14 19:30:41,0.3553649219,,
2016-06-18 00:00:00,2.9864463966,2014-03-18 00:00:00,,,,2017-06-14 19:32:43,0.3553649219,,
2016-06-19 00:00:00,3.3612836034,2014-03-19 00:00:00,,,,2017-06-14 19:34:44,0.3553649219,,
2016-06-20 00:00:00,3.6277015818,2014-03-20 00:00:00,,,,2017-06-14 19:36:45,0.3553649219,,
2016-06-21 00:00:00,3.8732842824,2014-03-21 00:00:00,,,,2017-06-14 19:38:46,0.3553649219,,
2016-06-22 00:00:00,3.6672494676,2014-03-22 00:00:00,,,,2017-06-14 19:40:48,0.3553649219,,
2016-06-23 00:00:00,4.0878078318,2014-03-23 00:00:00,,,,2017-06-14 19:42:49,0.3554614453,,
2016-06-24 00:00:00,2.7989313966,2014-03-24 00:00:00,,,,2017-06-14 19:44:51,0.3554614453,,
2016-06-25 00:00:00,3.8806151466,2014-03-25 00:00:00,,,,2017-06-14 19:46:52,0.3552683984,,
2016-06-26 00:00:00,3.0815542824,2014-03-26 00:00:00,,,,2017-06-14 19:48:53,0.3554614453,,
2016-06-27 00:00:00,3.7642863966,2014-03-27 00:00:00,,,,2017-06-14 19:50:54,0.3553649219,,
2016-06-28 00:00:00,3.7962142284,2014-03-28 00:00:00,,,,2017-06-14 19:52:56,0.3555579688,,
2016-06-29 00:00:00,3.8267913966,2014-03-29 00:00:00,,,,2017-06-14 19:54:57,0.3554614453,,
2016-06-30 00:00:00,3.3378442284,2014-03-30 00:00:00,,,,2017-06-14 19:56:59,0.3553649219,,
2016-07-01 00:00:00,3.0312352572,2014-03-31 00:00:00,3.0002986858,,,2017-06-14 19:59:00,0.3554614453,,
2016-07-02 00:00:00,4.3316356698,2014-04-01 00:00:00,,,,2017-06-14 20:01:02,0.3554614453,,
2016-07-03 00:00:00,3.3816363426,2014-04-02 00:00:00,,,,2017-06-14 20:03:03,0.3554614453,,
2016-07-04 00:00:00,3.5091540432,2014-04-03 00:00:00,,,,2017-06-14 20:05:05,0.3555579688,,
2016-07-05 00:00:00,3.6006930324,2014-04-04 00:00:00,,,,2017-06-14 20:07:06,0.3552683984,,
2016-07-06 00:00:00,3.5911436574,2014-04-05 00:00:00,,,,2017-06-14 20:09:07,0.3555579688,,
2016-07-07 00:00:00,4.2245857176,2014-04-06 00:00:00,,,,2017-06-14 20:11:09,0.355171875,,
2016-07-08 00:00:00,4.5319019676,2014-04-07 00:00:00,,,,2017-06-14 20:13:10,0.355171875,,
2016-07-09 00:00:00,3.0246527862,2014-04-08 00:00:00,,,,2017-06-14 20:15:11,0.3555579688,,
2016-07-10 00:00:00,,2014-04-09 00:00:00,,,,2017-06-14 20:17:13,0.3553649219,,
2016-07-11 00:00:00,,2014-04-10 00:00:00,,,,2017-06-14 20:19:14,0.3550753516,,
2016-07-12 00:00:00,,2014-04-11 00:00:00,,,,2017-06-14 20:21:16,0.3553649219,,
2016-07-13 00:00:00,,2014-04-12 00:00:00,,,,2017-06-14 20:23:17,0.3554614453,,
2016-07-14 00:00:00,,2014-04-13 00:00:00,,,,2017-06-14 20:25:18,0.3553649219,,
2016-07-15 00:00:00,,2014-04-14 00:00:00,,,,2017-06-14 20:27:20,0.3554614453,,
2016-07-16 00:00:00,,2014-04-15 00:00:00,,,,2017-06-14 20:29:21,0.355171875,,
2016-07-17 00:00:00,,2014-04-16 00:00:00,,,,2017-06-14 20:31:22,0.3552683984,,
2016-07-18 00:00:00,,2014-04-17 00:00:00,,,,2017-06-14 20:33:24,0.3552683984,,
2016-07-19 00:00:00,,2014-04-18 00:00:00,,,,2017-06-14 20:35:25,0.355171875,,
2016-07-20 00:00:00,,2014-04-19 00:00:00,,,,2017-06-14 20:37:26,0.3552683984,,
2016-07-21 00:00:00,,2014-04-20 00:00:00,,,,2017-06-14 20:39:28,0.355171875,,
2016-07-22 00:00:00,,2014-04-21 00:00:00,,,,2017-06-14 20:41:29,0.3555579688,,
2016-07-23 00:00:00,,2014-04-22 00:00:00,,,,2017-06-14 20:43:30,0.3535309766,,
2016-07-24 00:00:00,,2014-04-23 00:00:00,,,,2017-06-14 20:45:32,0.3555579688,,
2016-07-25 00:00:00,,2014-04-24 00:00:00,,,,2017-06-14 20:47:33,0.3553649219,,
2016-07-26 00:00:00,,2014-04-25 00:00:00,,,,2017-06-14 20:49:35,0.3555579688,,
2016-07-27 00:00:00,,2014-04-26 00:00:00,,,,2017-06-14 20:51:36,0.3555579688,,
2016-07-28 00:00:00,,2014-04-27 00:00:00,,,,2017-06-14 20:53:37,0.3553649219,,
2016-07-29 00:00:00,,2014-04-28 00:00:00,,,,2017-06-14 20:55:39,0.3548823047,,
2016-07-30 00:00:00,,2014-04-29 00:00:00,,,,2017-06-14 20:57:40,0.3550753516,,
2016-07-31 00:00:00,,2014-04-30 00:00:00,3.5999228395,,,2017-06-14 20:59:42,0.3553649219,,
2016-08-01 00:00:00,,2014-05-01 00:00:00,,,,2017-06-14 21:01:43,0.355171875,,
2016-08-02 00:00:00,,2014-05-02 00:00:00,,,,2017-06-14 21:03:44,0.355171875,,
2016-08-03 00:00:00,,2014-05-03 00:00:00,,,,2017-06-14 21:05:46,0.3552683984,,
2016-08-04 00:00:00,,2014-05-04 00:00:00,,,,2017-06-14 21:07:47,0.3553649219,,
2016-08-05 00:00:00,,2014-05-05 00:00:00,,,,2017-06-14 21:09:48,0.3555579688,,
2016-08-06 00:00:00,,2014-05-06 00:00:00,,,,2017-06-14 21:11:50,0.3550753516,,
2016-08-07 00:00:00,,2014-05-07 00:00:00,,,,2017-06-14 21:13:51,0.355171875,,
2016-08-08 00:00:00,,2014-05-08 00:00:00,,,,2017-06-14 21:15:52,0.3553649219,,
2016-08-09 00:00:00,,2014-05-09 00:00:00,,,,2017-06-14 21:17:54,0.3553649219,,
2016-08-10 00:00:00,,2014-05-10 00:00:00,,,,2017-06-14 21:19:55,0.3550753516,,
2016-08-11 00:00:00,,2014-05-11 00:00:00,,,,2017-06-14 21:21:56,0.3554614453,,
2016-08-12 00:00:00,,2014-05-12 00:00:00,,,,2017-06-14 21:23:58,0.3554614453,,
2016-08-13 00:00:00,,2014-05-13 00:00:00,,,,2017-06-14 21:25:59,0.3550753516,,
2016-08-14 00:00:00,,2014-05-14 00:00:00,,,,2017-06-14 21:28:00,0.3553649219,,
