"Link Error, x; Suggestion, x; No Video, x; No Audio, x","Link Error, y","Suggestion, y","No Video, y","No Audio, y"
2016-12-14,6,3,2,2
2016-12-13,5,4,2,3
2016-12-12,3,5,5,10
2016-12-11,12,4,,2
2016-12-10,5,1,1,
2016-12-09,4,3,1,2
2016-12-08,9,4,3,1
2016-12-05,22,4,1,6
2016-12-04,11,3,1,3
2016-12-03,11,2,,2
2016-12-02,2,2,1,3
2016-12-01,12,5,1,1
2016-11-30,10,5,,
2016-11-29,3,6,2,1
2016-11-28,11,5,1,3
2016-11-27,7,6,1,4
2016-11-26,5,10,2,3
2016-11-25,4,6,2,1
2016-11-24,10,11,1,3
2016-11-23,9,11,2,1
2016-11-22,19,6,3,5
2016-11-21,9,6,,1
2016-11-20,9,11,3,6
2016-11-19,19,11,1,4
2016-11-18,20,9,1,4
2016-11-17,14,10,2,8
2016-11-16,6,9,2,5
2016-11-15,16,8,2,5
2016-11-14,9,6,3,4
2016-11-13,15,19,1,2
2016-11-12,8,12,2,4
2016-11-11,8,13,3,1
2016-11-10,9,17,1,4
2016-11-09,5,12,3,5
2016-11-08,8,11,1,5
2016-11-07,8,10,2,3
2016-11-06,12,17,7,6
2016-11-05,8,18,4,6
2016-11-04,18,19,1,7
2016-11-03,9,15,1,1
2016-11-02,9,15,,
2016-11-01,9,13,1,6
2016-10-31,12,25,4,10
2016-10-30,7,18,5,9
2016-10-29,14,20,3,9
2016-10-28,12,45,5,6
2016-10-27,17,19,1,6
2016-10-26,14,31,2,9
2016-10-25,11,27,3,15
2016-10-24,13,30,1,3
2016-10-23,19,56,3,10
2016-10-22,20,47,3,13
2016-10-21,30,40,3,12
2016-10-20,26,59,4,12
2016-10-19,23,69,2,2
2016-10-18,17,55,6,4
2016-10-17,16,74,7,11
2016-10-16,18,102,4,10
2016-10-15,14,103,2,12
2016-10-14,20,113,6,10
2016-10-13,30,149,3,8
2016-10-12,38,194,5,15
2016-10-11,22,257,5,11
2016-10-10,28,325,4,25
2016-10-09,20,397,4,21
2016-10-08,15,613,4,7
2016-10-07,33,495,12,15
2016-10-06,72,322,10,29
2016-10-05,75,115,11,23
2016-10-04,134,40,20,33
2016-10-03,110,57,15,30
2016-10-02,90,52,18,32
2016-10-01,67,56,26,39
2016-09-30,69,46,19,33
2016-09-29,56,46,18,25
2016-09-28,85,27,19,48
2016-09-27,88,13,20,50
2016-09-26,60,13,25,40
2016-09-25,59,24,20,32
2016-09-24,56,12,15,33
2016-09-23,76,10,9,24
2016-09-22,137,22,13,33
2016-09-21,62,27,10,33
2016-09-20,59,30,16,20
2016-09-19,107,8,14,40
2016-09-18,187,18,17,61
2016-09-17,175,13,16,59
2016-09-16,138,16,21,37
2016-09-15,161,7,28,45
2016-09-14,333,35,17,55
2016-09-13,207,8,18,34
2016-09-12,49,11,13,14
2016-09-11,111,15,9,37
2016-09-10,75,22,12,44
2016-09-09,87,9,16,49
2016-09-08,95,8,19,41
2016-09-07,122,22,14,47
2016-09-06,314,16,19,54
2016-09-05,66,20,13,34
2016-09-04,74,17,12,34
2016-09-03,75,17,11,37
2016-09-02,46,12,9,38
2016-09-01,57,12,18,40
2016-08-31,62,4,8,27
2016-08-30,76,16,4,35
2016-08-29,49,9,9,39
2016-08-28,53,10,8,40
2016-08-27,63,12,11,41
2016-08-26,70,33,16,31
2016-08-25,113,112,57,58
2016-08-24,144,75,61,65
2016-08-23,74,23,8,20
2016-08-22,101,27,8,45
2016-08-21,150,28,11,42
2016-08-20,40,11,16,41
2016-08-19,73,11,16,32
2016-08-18,61,9,10,37
2016-08-17,61,17,16,27
2016-08-16,72,20,6,28
2016-08-15,64,13,5,28
2016-08-14,90,18,14,35
2016-08-13,62,18,7,23
2016-08-12,77,17,9,22
2016-08-11,72,19,16,19
2016-08-10,63,15,12,27
2016-08-09,81,63,6,19
2016-08-08,62,46,10,23
2016-08-07,71,16,14,26
2016-08-06,70,7,18,24
2016-08-05,64,5,9,20
2016-08-04,66,11,8,27
2016-08-03,49,3,7,23
2016-08-02,50,8,5,25
2016-08-01,57,8,14,45
2016-07-31,91,14,21,34
2016-07-30,125,23,13,44
2016-07-29,65,53,14,38
2016-07-28,53,11,18,61
2016-07-27,52,10,12,29
2016-07-26,54,9,16,39
2016-07-25,89,23,20,44
2016-07-24,122,30,77,33
2016-07-23,42,8,9,28
2016-07-22,55,13,8,26
2016-07-21,63,22,5,43
2016-07-20,43,17,9,26
2016-07-19,42,12,12,24
2016-07-18,47,4,13,32
2016-07-17,66,14,17,34
2016-07-16,42,9,8,32
2016-07-15,45,7,16,37
2016-07-14,46,8,18,34
2016-07-13,64,14,11,30
2016-07-12,54,8,8,25
2016-07-11,54,13,12,30
2016-07-10,53,13,16,38
2016-07-09,52,14,20,43
2016-07-08,40,11,20,39
2016-07-07,37,20,10,22
2016-07-06,137,18,4,29
2016-07-05,129,13,12,32
2016-07-04,39,10,11,17
2016-07-03,52,5,9,33
2016-07-02,38,12,16,34
2016-07-01,36,8,9,32
2016-06-30,35,7,18,45
2016-06-29,57,5,10,43
2016-06-28,64,38,19,38
2016-06-27,56,11,10,33
2016-06-26,78,18,9,42
2016-06-25,42,15,14,51
2016-06-24,58,9,9,26
2016-06-23,41,6,23,57
2016-06-22,50,11,29,58
2016-06-21,52,16,24,45
2016-06-20,44,6,25,56
2016-06-19,15,6,4,11
2016-06-18,53,17,16,47
2016-06-17,41,20,14,37
2016-06-16,39,22,20,34
2016-06-15,40,7,19,28
2016-06-14,44,14,22,69
2016-06-13,35,16,13,24
2016-06-12,47,38,8,50
2016-06-11,57,29,15,50
2016-06-10,45,13,19,50
2016-06-09,57,14,13,41
2016-06-08,42,20,12,38
2016-06-07,56,19,29,79
2016-06-06,75,11,35,143
2016-06-05,91,21,44,146
2016-06-04,89,18,18,114
2016-06-03,62,10,25,93
2016-06-02,63,18,20,129
2016-06-01,51,14,24,127
2016-05-31,64,9,26,110
2016-05-30,62,18,22,119
2016-05-29,82,21,37,156
2016-05-28,59,20,25,142
2016-05-27,58,11,16,88
2016-05-26,59,18,30,108
2016-05-25,42,12,28,91
2016-05-24,45,8,25,88
2016-05-23,43,13,31,116
2016-05-22,60,28,42,187
2016-05-21,67,13,36,128
2016-05-20,48,48,18,124
2016-05-19,36,36,21,93
2016-05-18,72,19,32,97
2016-05-17,60,14,34,132
2016-05-16,72,22,25,136
2016-05-15,99,16,44,158
2016-05-14,70,16,23,131
2016-05-13,58,9,24,113
2016-05-12,46,17,25,81
2016-05-11,60,19,18,86
2016-05-10,41,6,28,107
2016-05-09,57,14,38,99
2016-05-08,76,18,29,136
2016-05-07,77,19,25,104
2016-05-06,37,24,14,79
2016-05-05,61,28,22,114
2016-05-04,54,18,23,99
2016-05-03,49,18,36,109
2016-05-02,85,22,57,185
2016-05-01,64,28,50,173
2016-04-30,56,14,28,145
2016-04-29,47,21,20,118
2016-04-28,53,18,21,138
2016-04-27,65,23,28,140
2016-04-26,48,39,35,150
2016-04-25,42,18,59,143
2016-04-24,80,24,41,208
2016-04-23,64,15,43,145
2016-04-22,35,18,26,131
2016-04-21,48,11,40,106
2016-04-20,40,13,25,118
2016-04-19,33,25,41,96
2016-04-18,51,18,49,160
2016-04-17,67,23,66,196
2016-04-16,77,20,49,189
2016-04-15,46,25,36,151
2016-04-14,60,20,38,156
2016-04-13,53,26,50,151
2016-04-12,85,25,47,135
2016-04-11,45,17,42,165
2016-04-10,76,37,77,226
2016-04-09,61,30,51,150
2016-04-08,46,52,35,110
2016-04-07,43,32,48,131
2016-04-06,102,24,53,174
2016-04-05,107,32,96,250
2016-04-04,118,41,100,299
2016-04-03,112,39,101,279
2016-04-02,141,43,90,284
2016-04-01,78,41,66,236
2016-03-31,97,72,74,223
2016-03-30,89,32,67,195
2016-03-29,82,37,69,186
2016-03-28,95,46,76,205
2016-03-27,129,51,114,346
2016-03-26,118,54,132,342
2016-03-25,179,92,159,393
2016-03-24,127,56,127,336
2016-03-23,95,43,111,269
2016-03-22,90,30,101,251
2016-03-21,103,42,111,274
2016-03-20,161,61,173,382
2016-03-19,153,53,156,345
2016-03-18,154,51,105,294
2016-03-17,224,82,117,292
2016-03-16,139,71,109,208
2016-03-15,105,73,75,150
2016-03-14,75,58,54,142
2016-03-13,90,53,99,229
2016-03-12,107,58,94,218
2016-03-11,70,41,69,142
2016-03-10,81,60,83,150
2016-03-09,85,34,71,137
2016-03-08,81,39,76,143
2016-03-07,70,56,101,151
2016-03-06,118,66,128,165
2016-03-05,78,43,124,178
2016-03-04,34,40,45,45
2016-03-03,32,77,2,4
2016-03-02,33,50,2,5
2016-03-01,22,137,,
2016-02-29,34,87,2,3
2016-02-28,65,47,1,3
2016-02-27,57,37,2,4
2016-02-26,31,49,,2
2016-02-25,36,36,,2
2016-02-24,38,40,1,3
2016-02-23,26,104,4,9
2016-02-22,31,103,4,3
2016-02-21,44,68,2,7
2016-02-20,47,78,1,
2016-02-19,46,59,1,4
2016-02-18,68,32,4,
2016-02-17,61,55,1,4
2016-02-16,44,41,4,9
2016-02-15,31,44,2,2
2016-02-14,43,49,5,2
2016-02-13,42,32,3,2
2016-02-12,36,33,,3
2016-02-11,46,29,2,1
2016-02-10,40,45,5,2
2016-02-09,40,42,4,4
2016-02-08,35,40,5,6
2016-02-07,44,41,5,4
2016-02-06,38,33,1,3
2016-02-05,31,63,2,6
2016-02-04,61,84,21,38
2016-02-03,86,126,38,60
2016-02-02,56,95,33,45
2016-02-01,65,96,33,59
2016-01-31,94,89,51,97
2016-01-30,108,101,50,96
2016-01-29,112,121,33,73
2016-01-28,728,114,47,125
2016-01-27,90,42,42,85
2016-01-26,101,38,40,82
2016-01-25,95,39,37,88
2016-01-24,113,42,40,63
2016-01-23,146,58,57,78
2016-01-22,115,49,34,76
2016-01-21,103,55,38,102
2016-01-20,106,42,55,115
2016-01-19,104,47,51,126
2016-01-18,109,37,46,111
2016-01-17,102,55,60,143
2016-01-16,53,42,50,91
2016-01-15,78,76,50,83
2016-01-14,60,45,44,72
2016-01-13,38,35,29,67
2016-01-12,60,50,46,96
2016-01-11,67,56,52,87
2016-01-10,62,50,59,93
2016-01-09,81,63,63,111
2016-01-08,69,70,57,127
2016-01-07,63,72,66,132
2016-01-06,78,54,87,188
2016-01-05,95,77,89,160
2016-01-04,144,89,79,146
2016-01-03,285,109,98,190
2016-01-02,203,57,61,129
2016-01-01,297,50,37,131
2015-12-31,202,28,52,115
2015-12-30,205,60,71,145
2015-12-29,154,57,48,135
2015-12-28,89,43,62,142
2015-12-27,139,47,166,236
2015-12-26,175,85,263,282
2015-12-25,62,38,62,129
2015-12-24,59,41,71,134
2015-12-23,91,31,68,163
2015-12-22,83,42,64,130
2015-12-21,78,50,81,138
2015-12-20,90,60,71,179
2015-12-19,78,35,77,133
2015-12-18,62,74,46,82
2015-12-17,130,56,63,134
2015-12-16,146,74,75,141
2015-12-15,192,60,76,155
2015-12-14,172,73,61,134
2015-12-13,124,67,60,144
2015-12-12,131,65,77,97
2015-12-11,110,66,55,108
2015-12-10,113,71,95,185
2015-12-09,123,60,96,178
2015-12-08,114,59,68,143
2015-12-07,80,54,79,157
2015-12-06,71,59,89,196
2015-12-05,71,51,73,111
2015-12-04,37,48,50,76
2015-12-03,28,63,57,110
2015-12-02,28,89,60,97
2015-12-01,35,71,50,121
2015-11-30,28,99,66,120
2015-11-29,26,109,71,115
2015-11-28,18,86,55,83
2015-11-27,30,85,42,86
2015-11-26,29,101,50,91
2015-11-25,29,139,60,114
2015-11-24,35,206,46,106
2015-11-23,31,185,52,96
2015-11-22,35,155,45,117
2015-11-21,35,212,46,98
2015-11-20,28,127,81,97
2015-11-19,32,199,45,99
2015-11-18,36,193,45,83
2015-11-17,29,96,58,100
2015-11-16,30,37,53,86
2015-11-15,33,32,57,93
2015-11-14,33,27,66,84
2015-11-13,31,124,31,51
2015-11-12,11,115,29,48
2015-11-11,15,37,34,48
2015-11-10,15,49,54,61
2015-11-09,19,31,57,59
2015-11-08,20,25,78,65
2015-11-07,28,23,30,52
2015-11-06,27,23,40,72
2015-11-05,16,22,38,66
2015-11-04,16,29,36,61
2015-11-03,20,23,42,64
2015-11-02,18,20,35,56
2015-11-01,17,36,33,47
2015-10-31,17,24,40,61
2015-10-30,15,20,21,48
2015-10-29,14,16,29,50
2015-10-28,11,17,31,57
2015-10-27,17,28,32,50
2015-10-26,8,21,29,54
2015-10-25,22,19,34,77
2015-10-24,23,25,34,73
2015-10-23,16,34,35,68
2015-10-22,18,18,35,58
2015-10-21,25,23,39,79
2015-10-20,20,24,39,57
2015-10-19,31,24,48,66
2015-10-18,35,40,48,74
2015-10-17,30,40,43,71
2015-10-16,27,56,42,70
2015-10-15,23,109,36,65
2015-10-14,25,75,27,46
2015-10-13,34,25,37,60
2015-10-12,34,26,28,76
2015-10-11,55,34,45,119
2015-10-10,41,33,31,88
2015-10-09,30,22,40,81
2015-10-08,19,21,28,44
2015-10-07,36,25,31,62
2015-10-06,44,25,34,65
2015-10-05,64,37,38,88
2015-10-04,54,61,50,126
2015-10-03,70,64,49,109
2015-10-02,64,97,37,92
2015-10-01,40,84,52,86
2015-09-30,46,58,32,111
2015-09-29,44,53,53,130
2015-09-28,76,31,66,141
2015-09-27,26,43,31,76
2015-09-26,42,21,35,81
2015-09-25,28,22,30,67
2015-09-24,23,17,29,52
2015-09-23,18,13,18,57
2015-09-22,37,28,29,56
2015-09-21,34,24,37,83
2015-09-20,56,26,52,88
2015-09-19,18,32,35,68
2015-09-18,24,30,35,66
2015-09-17,25,31,40,70
2015-09-16,40,92,40,70
2015-09-15,13,47,31,67
2015-09-14,31,63,37,67
2015-09-13,34,43,55,84
2015-09-12,45,25,56,92
2015-09-11,13,42,37,73
2015-09-10,26,60,33,58
2015-09-09,18,21,45,69
2015-09-08,16,52,46,71
2015-09-07,24,41,51,90
2015-09-06,39,64,60,102
2015-09-05,23,59,45,60
2015-09-04,20,22,37,56
2015-09-03,16,23,33,61
2015-09-02,20,19,20,56
2015-09-01,13,11,21,67
2015-08-31,31,33,34,72
2015-08-30,33,25,49,78
2015-08-29,33,17,47,109
2015-08-28,22,25,45,70
2015-08-27,20,18,42,62
2015-08-26,21,19,42,65
2015-08-25,23,13,44,76
2015-08-24,12,21,37,73
2015-08-23,35,31,35,69
2015-08-22,28,15,35,74
2015-08-21,31,18,39,66
2015-08-20,17,13,14,50
2015-08-19,27,25,41,62
2015-08-18,31,37,38,84
2015-08-17,34,23,45,103
2015-08-16,29,30,51,90
2015-08-15,20,26,32,57
2015-08-14,20,8,34,48
2015-08-13,19,17,28,58
2015-08-12,15,18,28,55
2015-08-11,14,25,39,71
2015-08-10,12,19,47,65
2015-08-09,35,23,57,77
2015-08-08,21,24,61,86
2015-08-07,19,20,41,51
2015-08-06,11,20,30,51
2015-08-05,17,21,20,38
2015-08-04,19,27,46,58
2015-08-03,16,31,32,48
2015-08-02,15,26,40,35
2015-08-01,18,61,26,42
2015-07-31,17,18,34,42
2015-07-30,22,23,48,60
2015-07-29,33,23,33,82
2015-07-28,43,21,66,99
2015-07-27,24,15,44,36
2015-07-26,34,34,67,76
2015-07-25,28,31,37,85
2015-07-24,16,9,34,49
2015-07-23,19,30,23,37
2015-07-22,24,22,26,51
2015-07-21,52,13,25,37
2015-07-20,34,24,41,56
2015-07-19,20,13,32,39
2015-07-18,22,25,30,33
2015-07-17,26,22,33,35
2015-07-16,22,29,17,28
2015-07-15,30,19,27,37
2015-07-14,21,20,26,40
2015-07-13,21,21,35,41
2015-07-12,47,50,39,61
2015-07-11,17,26,32,40
2015-07-10,33,24,55,60
2015-07-09,31,38,37,55
2015-07-08,15,15,44,58
2015-07-07,27,17,38,53
2015-07-06,24,31,54,54
2015-07-05,31,24,35,49
2015-07-04,16,18,31,34
2015-07-03,17,13,26,40
2015-07-02,19,40,20,48
2015-07-01,13,7,23,42
2015-06-30,11,14,12,19
2015-06-29,20,9,10,38
2015-06-28,16,10,14,28
2015-06-27,17,13,24,37
2015-06-26,8,7,17,38
2015-06-25,17,9,29,19
2015-06-24,19,16,21,28
2015-06-23,11,20,23,33
2015-06-22,18,14,32,20
2015-06-21,13,18,26,34
2015-06-20,19,16,36,41
2015-06-19,15,13,25,40
2015-06-18,18,13,30,50
2015-06-17,15,19,28,36
2015-06-16,16,11,26,34
2015-06-15,26,21,37,50
2015-06-14,22,25,61,46
2015-06-13,25,31,29,40
2015-06-12,19,22,28,26
2015-06-11,12,17,29,46
2015-06-10,24,17,25,32
2015-06-09,38,31,25,50
2015-06-08,34,24,18,40
2015-06-07,34,38,41,45
2015-06-06,42,34,38,46
2015-06-05,21,21,23,30
2015-06-04,25,25,46,43
2015-06-03,25,40,24,33
2015-06-02,22,35,19,42
2015-06-01,31,20,41,37
2015-05-31,25,29,32,43
2015-05-30,27,36,33,36
2015-05-29,16,21,28,34
2015-05-28,18,11,29,60
2015-05-27,24,20,49,58
2015-05-26,22,25,33,49
2015-05-25,28,19,34,53
2015-05-24,43,19,62,103
2015-05-23,32,20,117,77
2015-05-22,22,19,53,50
2015-05-21,39,23,22,64
2015-05-20,25,8,22,45
2015-05-19,42,21,36,58
2015-05-18,24,12,36,37
2015-05-17,36,23,35,52
2015-05-16,25,15,30,31
2015-05-15,19,6,15,29
2015-05-14,13,4,30,31
2015-05-13,19,14,19,23
2015-05-12,31,9,31,47
2015-05-11,20,6,15,37
2015-05-10,24,12,25,30
2015-05-09,32,9,29,47
2015-05-08,8,11,17,26
2015-05-07,16,9,36,35
2015-05-06,17,11,21,40
2015-05-05,21,7,28,46
2015-05-04,20,13,33,51
2015-05-03,42,16,53,58
2015-05-02,35,13,69,75
2015-05-01,29,20,35,63
2015-04-30,50,7,58,92
2015-04-29,36,13,44,66
2015-04-28,32,23,40,69
2015-04-27,31,12,39,54
2015-04-26,39,12,45,48
2015-04-25,34,13,51,58
2015-04-24,19,9,28,49
2015-04-23,24,6,21,48
2015-04-22,25,13,36,45
2015-04-21,17,3,13,29
2015-04-20,14,13,11,14
2015-04-19,31,6,21,40
2015-04-18,23,10,33,28
2015-04-17,17,9,29,44
2015-04-16,21,9,29,39
2015-04-15,19,7,25,43
2015-04-14,24,11,32,42
2015-04-13,12,7,29,47
2015-04-12,21,8,47,63
2015-04-11,17,9,33,57
2015-04-10,22,5,27,43
2015-04-09,17,1,24,31
2015-04-08,10,7,22,20
2015-04-07,12,9,18,33
2015-04-06,36,30,25,38
2015-04-05,29,12,32,38
2015-04-04,29,15,29,36
2015-04-03,13,7,15,12
2015-04-02,20,4,23,24
2015-04-01,28,19,24,29
2015-03-31,26,24,26,40
2015-03-30,17,11,26,38
2015-03-29,31,15,42,46
2015-03-28,21,10,54,48
2015-03-27,16,13,29,34
2015-03-26,22,16,22,38
2015-03-25,19,3,42,35
2015-03-24,18,9,32,44
2015-03-23,38,14,31,51
2015-03-22,39,19,58,46
2015-03-21,41,19,62,63
2015-03-20,53,35,48,43
2015-03-19,32,8,43,45
2015-03-18,60,20,41,53
2015-03-17,60,10,44,45
2015-03-16,38,13,35,61
2015-03-15,43,20,53,68
2015-03-14,51,8,53,57
2015-03-13,45,8,43,42
2015-03-12,58,14,46,50
2015-03-11,56,14,38,51
2015-03-10,32,37,32,47
2015-03-09,38,19,26,46
2015-03-08,140,20,52,64
2015-03-07,273,19,56,62
2015-03-06,38,11,38,40
2015-03-05,39,15,38,51
2015-03-04,27,10,39,54
2015-03-03,35,13,45,45
2015-03-02,39,18,28,29
2015-03-01,37,14,58,53
2015-02-28,43,15,63,59
2015-02-27,32,17,51,65
2015-02-26,30,10,44,31
2015-02-25,31,10,36,30
2015-02-24,47,12,38,42
2015-02-23,53,21,46,74
2015-02-22,48,16,45,54
2015-02-21,53,11,64,53
2015-02-20,52,13,37,32
2015-02-19,52,25,48,20
2015-02-18,37,21,30,28
2015-02-17,29,38,35,43
2015-02-16,51,14,50,38
2015-02-15,39,16,42,50
2015-02-14,43,13,56,35
2015-02-13,44,12,36,27
2015-02-12,36,7,44,44
2015-02-11,28,8,51,35
2015-02-10,43,11,39,43
2015-02-09,45,13,51,34
2015-02-08,51,18,58,31
2015-02-07,36,8,47,43
2015-02-06,34,12,50,45
2015-02-05,37,10,43,47
2015-02-04,29,9,53,39
2015-02-03,31,11,55,50
2015-02-02,38,10,54,57
2015-02-01,46,24,64,53
2015-01-31,39,14,48,47
2015-01-30,28,10,36,36
2015-01-29,60,9,35,23
2015-01-28,38,12,52,51
2015-01-27,22,10,54,27
2015-01-26,25,10,41,35
2015-01-25,47,18,54,47
2015-01-24,51,20,50,24
2015-01-23,29,16,36,40
2015-01-22,31,33,33,32
2015-01-21,17,53,17,7
2015-01-20,25,17,30,37
2015-01-19,53,22,52,41
2015-01-18,39,15,60,58
2015-01-17,59,11,82,88
2015-01-16,60,20,64,86
2015-01-15,72,16,89,94
2015-01-14,31,9,32,35
2015-01-13,25,8,38,38
2015-01-12,32,4,32,39
2015-01-11,36,12,59,27
2015-01-10,42,10,58,35
2015-01-09,79,14,32,36
2015-01-08,143,23,41,42
2015-01-07,43,8,37,49
2015-01-06,39,14,59,55
2015-01-05,597,31,77,70
2015-01-04,36,20,49,44
2015-01-03,62,9,52,50
2015-01-02,54,21,60,46
2015-01-01,34,16,36,18
2014-12-31,36,15,24,50
2014-12-30,37,14,38,41
2014-12-29,30,13,38,29
2014-12-28,33,14,51,51
2014-12-27,29,8,46,26
2014-12-26,41,22,46,50
2014-12-25,38,5,32,29
2014-12-24,36,8,21,33
2014-12-23,24,9,34,29
2014-12-22,36,7,44,39
2014-12-21,43,10,31,43
2014-12-20,39,7,31,41
2014-12-19,32,10,38,27
2014-12-18,20,6,21,21
2014-12-17,68,12,60,42
2014-12-16,80,18,68,53
2014-12-15,37,11,46,43
2014-12-14,58,21,54,56
2014-12-13,94,27,44,45
2014-12-12,203,79,44,51
2014-12-11,22,10,43,35
2014-12-10,17,9,31,27
2014-12-09,16,7,36,32
2014-12-08,25,8,44,32
2014-12-07,52,5,42,55
2014-12-06,26,5,33,31
2014-12-05,8,3,14,22
2014-12-04,7,4,11,19
2014-12-03,8,2,23,17
2014-12-02,9,5,17,12
2014-12-01,3,6,18,13
2014-11-30,13,5,23,27
2014-11-29,10,4,22,18
2014-11-28,14,4,29,16
2014-11-27,17,2,13,22
2014-11-26,12,7,16,19
2014-11-25,13,4,22,24
2014-11-24,14,4,22,13
2014-11-23,17,4,28,30
2014-11-22,18,5,22,32
2014-11-21,15,4,26,18
2014-11-20,14,1,10,6
2014-11-11,3,1,3,4
2014-11-10,13,5,14,19
2014-11-09,12,4,41,22
2014-11-08,22,3,26,19
2014-11-07,17,2,12,23
2014-11-06,6,2,7,12
2014-11-05,9,1,14,7
2014-11-04,8,1,17,21
2014-11-03,23,5,19,16
2014-11-02,23,14,36,32
2014-11-01,22,9,33,31
2014-10-31,18,1,21,23
2014-10-30,11,4,15,9
2014-10-29,7,3,7,6
2014-10-23,7,6,13,16
2014-10-22,16,4,20,20
2014-10-21,39,7,17,26
2014-10-20,10,2,11,16
2014-10-19,23,10,30,26
2014-10-18,26,4,13,15
2014-10-17,18,9,13,25
2014-10-16,2,4,12,11
2014-10-15,5,1,6,9
2014-10-14,3,2,6,6
2014-10-12,2,1,5,6
2014-10-11,14,3,19,14
2014-10-10,11,5,10,15
2014-10-09,10,3,17,9
2014-10-08,8,1,16,21
2014-10-07,6,6,17,11
2014-10-06,9,5,23,15
2014-10-05,10,5,29,18
2014-10-04,12,8,19,22
2014-10-03,17,6,20,11
2014-10-02,14,6,16,13
2014-10-01,9,3,8,11
2014-09-30,3,2,11,4
2014-09-29,9,5,12,14
2014-09-28,9,5,17,16
2014-09-27,5,11,16,12
