"bitshares, x; Moving Average 8, x; Moving Average 40, x; Volume, x; Bollinger Bands, x; Trace 5, x",close,high,low,open,"Moving Average 8, y","Moving Average 40, y","Volume, y",color,"Bollinger Bands, y","Trace 5, y"
2017-10-30,0.056903,0.057696,0.054714,0.054848,0.05296775,,28777.9203205455,#17BECF,0.0568227941,0.0492504059
2017-10-31,0.073222,0.079228,0.056026,0.056716,0.055888125,,102444.0741853541,#17BECF,0.0683214029,0.0415927971
2017-11-01,0.06382,0.074857,0.063465,0.074201,0.057232,,119204.7947351927,#7F7F7F,0.0704127445,0.0417440555
2017-11-02,0.057189,0.064167,0.054328,0.063584,0.057844375,,149463.5331969435,#7F7F7F,0.070465782,0.043157018
2017-11-03,0.056713,0.059322,0.052161,0.057525,0.058401375,,71336.7305556045,#7F7F7F,0.0705784711,0.0437731289
2017-11-04,0.059235,0.060358,0.053824,0.05668,0.05919,,59626.0656706339,#17BECF,0.0708611864,0.0448794136
2017-11-05,0.059444,0.061036,0.057901,0.059183,0.060162125,,40591.817508916,#17BECF,0.0709810968,0.0461969032
2017-11-06,0.059709,0.060554,0.057095,0.059221,0.060779375,,41384.5483930396,#17BECF,0.0710071289,0.0475274711
2017-11-07,0.065026,0.066134,0.059233,0.05966,0.06179475,,39022.3910435826,#17BECF,0.0715099734,0.0496964266
2017-11-08,0.067927,0.070106,0.062525,0.064952,0.061132875,,84382.204425339,#17BECF,0.0728726485,0.0509649515
2017-11-09,0.082825,0.083363,0.067699,0.067857,0.0635085,,72993.1783881678,#17BECF,0.0810395778,0.0479824222
2017-11-10,0.074902,0.08204,0.070996,0.081859,0.065722625,,57619.9567434781,#7F7F7F,0.0816298486,0.0477281514
2017-11-11,0.082099,0.08788,0.074467,0.074467,0.068895875,,89391.5882044848,#17BECF,0.0866817104,0.0463320896
2017-11-12,0.079113,0.083264,0.072729,0.082207,0.071380625,,65850.7451367032,#7F7F7F,0.0891370212,0.0482615788
2017-11-13,0.081149,0.086169,0.076766,0.07965,0.07409375,,61438.2185855648,#17BECF,0.0910475376,0.0512382624
2017-11-14,0.083756,0.085834,0.080386,0.081412,0.077099625,,29658.6513205024,#17BECF,0.0930155173,0.0541744827
2017-11-15,0.089525,0.090707,0.084215,0.084215,0.080162,,48737.1125383971,#17BECF,0.0955958419,0.0576103581
2017-11-16,0.083372,0.091939,0.083372,0.089733,0.082092625,,53847.9345583649,#7F7F7F,0.0941137893,0.0638250107
2017-11-17,0.092466,0.096564,0.079235,0.083911,0.08329775,,75492.3972054593,#17BECF,0.0955133619,0.0679134381
2017-11-18,0.100355,0.103915,0.092239,0.092262,0.086479375,,74710.8763888197,#17BECF,0.0995739144,0.0703384856
2017-11-19,0.102424,0.103897,0.098919,0.100716,0.08902,,52314.594235726,#17BECF,0.1050874387,0.0687447613
2017-11-20,0.126175,0.127827,0.102009,0.1029,0.09490275,0.06612765,96161.680206063,#17BECF,0.1209261135,0.0631606865
2017-11-21,0.143889,0.150972,0.117517,0.126044,0.10274525,0.068496925,193207.958912773,#17BECF,0.1408278238,0.0556169762
2017-11-22,0.137132,0.146424,0.128626,0.14367,0.10941725,0.070585775,68265.3939270192,#7F7F7F,0.1506739024,0.0573746976
2017-11-23,0.139836,0.146217,0.136735,0.136735,0.115706125,0.07280405,55617.0800080094,#17BECF,0.1584783168,0.0613076832
2017-11-24,0.13427,0.140403,0.126249,0.139704,0.122068375,0.074895625,50380.1295896328,#7F7F7F,0.1619296375,0.0679591625
2017-11-25,0.133966,0.136077,0.12984,0.133776,0.127255875,0.07683955,78471.4031918546,#17BECF,0.1640367715,0.0747402285
2017-11-26,0.136213,0.140955,0.13316,0.133507,0.131738125,0.078865,89751.3453194629,#17BECF,0.162337566,0.087007634
2017-11-27,0.151971,0.152397,0.136624,0.136739,0.1379315,0.08125935,189667.7655605346,#17BECF,0.1642604787,0.0969857213
2017-11-28,0.175528,0.175528,0.150287,0.150549,0.144100625,0.08433985,330178.6609543777,#17BECF,0.1751449581,0.1011358419
2017-11-29,0.135587,0.177201,0.135543,0.17559,0.143062875,0.0864801,324135.0571957489,#7F7F7F,0.1689593394,0.1139540606
2017-11-30,0.13571,0.149749,0.121987,0.136377,0.142885125,0.088522425,103370.4222238597,#7F7F7F,0.1681636612,0.1166567388
2017-12-01,0.147392,0.148951,0.131239,0.135962,0.143829625,0.09089205,77094.414893617,#17BECF,0.1686979984,0.1168230016
2017-12-02,0.137244,0.151617,0.135892,0.147612,0.144201375,0.093076675,76871.1200489639,#7F7F7F,0.168698491,0.116844909
2017-12-03,0.144446,0.150438,0.137012,0.137269,0.145511375,0.0953611,74551.0432964568,#17BECF,0.1690913443,0.1173740557
2017-12-04,0.178372,0.18416,0.14232,0.144794,0.15078125,0.09851315,142729.8006413563,#17BECF,0.1807383721,0.1145474279
2017-12-05,0.170421,0.178379,0.163827,0.177079,0.1530875,0.10146725,79339.9874428621,#7F7F7F,0.1856934103,0.1168833897
2017-12-06,0.176051,0.2097,0.162851,0.16973,0.153152875,0.104545375,219160.3569420225,#17BECF,0.1911147427,0.1194296573
2017-12-07,0.174088,0.186364,0.155355,0.175967,0.1579655,0.1076059,191168.2597307109,#7F7F7F,0.1951063989,0.1198614011
2017-12-08,0.184835,0.185922,0.15345,0.174132,0.164106125,0.1108575,135289.8531122352,#17BECF,0.1984068162,0.1184223838
2017-12-09,0.178565,0.201346,0.170049,0.184553,0.16800275,0.11389905,92710.7775879932,#7F7F7F,0.2010026802,0.1244221198
2017-12-10,0.169324,0.179672,0.15899,0.179038,0.17201275,0.1163016,82065.1531974203,#7F7F7F,0.1994099402,0.1327376598
2017-12-11,0.179253,0.179253,0.165488,0.166582,0.176363625,0.119187425,71478.859489102,#17BECF,0.2006965409,0.1378232591
2017-12-12,0.213373,0.21338,0.175379,0.179185,0.18073875,0.123092025,117769.3522610639,#17BECF,0.2106365258,0.1431090742
2017-12-13,0.234994,0.250916,0.197349,0.214759,0.188810375,0.12754905,168563.8782266781,#17BECF,0.2284672973,0.1433879027
2017-12-14,0.330216,0.330216,0.233838,0.236524,0.208081,0.134323575,213158.356954236,#17BECF,0.3011743215,0.1010496785
2017-12-15,0.354883,0.399298,0.267753,0.33212,0.230680375,0.14170955,273400.8109715033,#17BECF,0.3559058169,0.0832105831
2017-12-16,0.446008,0.45321,0.346035,0.351869,0.263327,0.151367025,212278.0308873383,#17BECF,0.4396893973,0.0534184027
2017-12-17,0.378112,0.454327,0.377909,0.450362,0.288270375,0.159194175,142138.5726980366,#7F7F7F,0.4689701812,0.0649424188
2017-12-18,0.44176,0.443445,0.362302,0.377689,0.322324875,0.16854,132157.279971025,#17BECF,0.5127831009,0.0725144991
2017-12-19,0.463273,0.48996,0.42189,0.444489,0.357827375,0.1780512,176606.881903327,#17BECF,0.5491786939,0.0930605061
2017-12-20,0.628286,0.654883,0.409656,0.461208,0.4096915,0.1918858,227409.1735292526,#17BECF,0.639672947,0.094358653
2017-12-21,0.586835,0.668158,0.555942,0.635535,0.453671625,0.2045042,148575.3235577292,#7F7F7F,0.6775250148,0.1380229852
2017-12-22,0.490811,0.603688,0.384784,0.59145,0.473746,0.21479665,255819.4498493311,#7F7F7F,0.6713414937,0.1996941063
2017-12-23,0.55993,0.639977,0.467745,0.489406,0.499376875,0.226766175,127516.4752736949,#17BECF,0.6678325349,0.2681902651
2017-12-24,0.558068,0.570233,0.477072,0.563631,0.513384375,0.238623975,106959.1877692324,#7F7F7F,0.6718675609,0.3097256391
2017-12-25,0.617005,0.669663,0.538656,0.562514,0.543246,0.251810975,133641.2184666251,#17BECF,0.6861311334,0.3478864666
2017-12-26,0.57785,0.62969,0.534649,0.614832,0.56025725,0.264172925,108879.6400449944,#7F7F7F,0.6952217853,0.3651642147
2017-12-27,0.566494,0.612003,0.537065,0.582966,0.573159875,0.276023625,53094.4723156821,#7F7F7F,0.6753781284,0.4226842716
2017-12-28,0.51063,0.566046,0.456936,0.565864,0.558452875,0.2862805,110327.0469811801,#7F7F7F,0.6621908333,0.4496455667
2017-12-29,0.58147,0.627251,0.500705,0.512417,0.55778225,0.29825665,117250.7610022873,#17BECF,0.652286168,0.483189632
2017-12-30,0.64569,0.69716,0.568007,0.581214,0.577142125,0.311244525,170165.2495779709,#17BECF,0.6600667202,0.4788898798
2017-12-31,0.657628,0.675504,0.596943,0.640364,0.589354375,0.324088,66131.0041543243,#17BECF,0.6828737719,0.4702414281
2018-01-01,0.768535,0.769455,0.662219,0.664406,0.61566275,0.339873075,103553.5141535519,#17BECF,0.749200547,0.459459453
2018-01-02,0.792659,0.916782,0.732192,0.767762,0.6376195,0.35619365,174493.6977943857,#17BECF,0.8105442908,0.4446615092
2018-01-03,0.891892,0.902155,0.773925,0.794158,0.67687475,0.3751342,92749.7948182067,#17BECF,0.9005884653,0.4213821347
2018-01-04,0.843038,0.899139,0.813526,0.891498,0.71144275,0.392861,93474.9086043571,#7F7F7F,0.9462853833,0.4208918167
2018-01-05,0.775645,0.862864,0.725942,0.838993,0.744569625,0.4088468,94363.9164824114,#7F7F7F,0.9604050995,0.4463311005
2018-01-06,0.833124,0.90194,0.751943,0.779906,0.776026375,0.425875625,83575.4341490582,#17BECF,0.9791593237,0.4809028763
2018-01-07,0.81719,0.844531,0.782178,0.824787,0.797463875,0.441917175,54938.5087923249,#7F7F7F,0.9603622689,0.5610119311
