"Kilde Trindbak flow (m3/s), x","Kilde Trindbak flow (m3/s), y","Kilde Trindbak vandstand /50 (m), x","Kilde Trindbak vandstand /50 (m), y"
2017-07-12 22:46:35,0.0065166925,2017-07-12 22:46:35,0.00429502
2017-07-12 22:56:35,0.0065130899,2017-07-12 22:56:35,0.004288582
2017-07-12 23:06:35,0.0065095364,2017-07-12 23:06:35,0.004281716
2017-07-12 23:16:35,0.0065060317,2017-07-12 23:16:35,0.004273528
2017-07-12 23:26:35,0.0065025753,2017-07-12 23:26:35,0.004265554
2017-07-12 23:36:35,0.0064991669,2017-07-12 23:36:35,0.004258066
2017-07-12 23:46:35,0.0064958062,2017-07-12 23:46:35,0.004260322
2017-07-12 23:56:35,0.0064924929,2017-07-12 23:56:35,0.004255538
2017-07-13 00:06:35,0.0064892265,2017-07-13 00:06:35,0.00424904
2017-07-13 00:16:35,0.0064860068,2017-07-13 00:16:35,0.004246804
2017-07-13 00:26:35,0.0064828334,2017-07-13 00:26:35,0.004252814
2017-07-13 00:36:35,0.0064797059,2017-07-13 00:36:35,0.004246688
2017-07-13 00:46:35,0.0064766241,2017-07-13 00:46:35,0.004242778
2017-07-13 00:56:35,0.0064735876,2017-07-13 00:56:35,0.004248866
2017-07-13 01:06:35,0.0064705959,2017-07-13 01:06:35,0.004254156
2017-07-13 01:16:35,0.0064676489,2017-07-13 01:16:35,0.004266176
2017-07-13 01:26:35,0.006464746,2017-07-13 01:26:35,0.004261236
2017-07-13 01:36:35,0.0064618871,2017-07-13 01:36:35,0.004261352
2017-07-13 01:46:35,0.0064590717,2017-07-13 01:46:35,0.004262364
2017-07-13 01:56:35,0.0064562995,2017-07-13 01:56:35,0.00426606
2017-07-13 02:06:35,0.0064535702,2017-07-13 02:06:35,0.004257716
2017-07-13 02:16:35,0.0064508833,2017-07-13 02:16:35,0.004255538
2017-07-13 02:26:35,0.0064482387,2017-07-13 02:26:35,0.004262228
2017-07-13 02:36:35,0.0064456358,2017-07-13 02:36:35,0.004269638
2017-07-13 02:46:35,0.0064430744,2017-07-13 02:46:35,0.004275026
2017-07-13 02:56:35,0.0064405542,2017-07-13 02:56:35,0.00426888
2017-07-13 03:06:35,0.0064380747,2017-07-13 03:06:35,0.004268918
2017-07-13 03:16:35,0.0064356357,2017-07-13 03:16:35,0.004261586
2017-07-13 03:26:35,0.0064332367,2017-07-13 03:26:35,0.004250442
2017-07-13 03:36:35,0.0064308775,2017-07-13 03:36:35,0.004242564
2017-07-13 03:46:35,0.0064285578,2017-07-13 03:46:35,0.004255168
2017-07-13 03:56:35,0.006426277,2017-07-13 03:56:35,0.004270552
2017-07-13 04:06:35,0.006424035,2017-07-13 04:06:35,0.004275064
2017-07-13 04:16:35,0.0064218314,2017-07-13 04:16:35,0.004273352
2017-07-13 04:26:35,0.0064196657,2017-07-13 04:26:35,0.004268684
2017-07-13 04:36:35,0.0064175378,2017-07-13 04:36:35,0.00427524
2017-07-13 04:46:35,0.0064154472,2017-07-13 04:46:35,0.00426713
2017-07-13 04:56:35,0.0064133936,2017-07-13 04:56:35,0.004261216
2017-07-13 05:06:35,0.0064113766,2017-07-13 05:06:35,0.004249604
2017-07-13 05:16:35,0.0064093959,2017-07-13 05:16:35,0.004251744
2017-07-13 05:26:35,0.0064074511,2017-07-13 05:26:35,0.00425295
2017-07-13 05:36:35,0.006405542,2017-07-13 05:36:35,0.004242662
2017-07-13 05:46:35,0.0064036682,2017-07-13 05:46:35,0.00423778
2017-07-13 05:56:35,0.0064018292,2017-07-13 05:56:35,0.004240814
2017-07-13 06:06:35,0.0064000248,2017-07-13 06:06:35,0.00423212
2017-07-13 06:16:35,0.0063982547,2017-07-13 06:16:35,0.004222842
2017-07-13 06:26:35,0.0063965184,2017-07-13 06:26:35,0.004218992
2017-07-13 06:36:35,0.0063948157,2017-07-13 06:36:35,0.0042187
2017-07-13 06:46:35,0.0063931461,2017-07-13 06:46:35,0.004215918
2017-07-13 06:56:35,0.0063915095,2017-07-13 06:56:35,0.004220916
2017-07-13 07:06:35,0.0063899053,2017-07-13 07:06:35,0.004223036
2017-07-13 07:16:35,0.0063883332,2017-07-13 07:16:35,0.004222998
2017-07-13 07:26:35,0.006386793,2017-07-13 07:26:35,0.00422082
2017-07-13 07:36:35,0.0063852843,2017-07-13 07:36:35,0.004222746
2017-07-13 07:46:35,0.0063838066,2017-07-13 07:46:35,0.004226188
2017-07-13 07:56:35,0.0063823598,2017-07-13 07:56:35,0.0042236
2017-07-13 08:06:35,0.0063809433,2017-07-13 08:06:35,0.004210356
2017-07-13 08:16:35,0.006379557,2017-07-13 08:16:35,0.004213526
2017-07-13 08:26:35,0.0063782004,2017-07-13 08:26:35,0.004210998
2017-07-13 08:36:35,0.0063768732,2017-07-13 08:36:35,0.004197908
2017-07-13 08:46:35,0.0063755751,2017-07-13 08:46:35,0.004193512
2017-07-13 08:56:35,0.0063743056,2017-07-13 08:56:35,0.004200864
2017-07-13 09:06:35,0.0063730645,2017-07-13 09:06:35,0.004195672
2017-07-13 09:16:35,0.0063718515,2017-07-13 09:16:35,0.004202596
2017-07-13 09:26:35,0.0063706661,2017-07-13 09:26:35,0.004198958
2017-07-13 09:36:35,0.006369508,2017-07-13 09:36:35,0.0041918
2017-07-13 09:46:35,0.0063683769,2017-07-13 09:46:35,0.004186958
2017-07-13 09:56:35,0.0063672725,2017-07-13 09:56:35,0.004178574
2017-07-13 10:06:35,0.0063661943,2017-07-13 10:06:35,0.004165894
2017-07-13 10:16:35,0.0063651421,2017-07-13 10:16:35,0.0041805
2017-07-13 10:26:35,0.0063641155,2017-07-13 10:26:35,0.004185946
2017-07-13 10:36:35,0.0063631141,2017-07-13 10:36:35,0.004177934
2017-07-13 10:46:35,0.0063621377,2017-07-13 10:46:35,0.004192462
2017-07-13 10:56:35,0.0063611858,2017-07-13 10:56:35,0.004188534
2017-07-13 11:06:35,0.0063602581,2017-07-13 11:06:35,0.004194524
2017-07-13 11:16:35,0.0063593544,2017-07-13 11:16:35,0.004190264
2017-07-13 11:26:35,0.0063614421,2017-07-13 11:26:35,0.00420244
2017-07-13 11:36:35,0.0063585697,2017-07-13 11:36:35,0.004210434
2017-07-13 11:46:35,0.0063533595,2017-07-13 11:46:35,0.004200844
2017-07-13 11:56:35,0.0063489565,2017-07-13 11:56:35,0.004186744
2017-07-13 12:06:35,0.0063422167,2017-07-13 12:06:35,0.004200534
2017-07-13 12:16:35,0.0063373358,2017-07-13 12:16:35,0.00419149
2017-07-13 12:26:35,0.0063377509,2017-07-13 12:26:35,0.004187366
2017-07-13 12:36:35,0.0063237644,2017-07-13 12:36:35,0.004173556
2017-07-13 12:46:35,0.0063233131,2017-07-13 12:46:35,0.004183184
2017-07-13 12:56:35,0.0063179302,2017-07-13 12:56:35,0.004188902
2017-07-13 13:06:35,0.0063127269,2017-07-13 13:06:35,0.004180248
2017-07-13 13:16:35,0.0063117315,2017-07-13 13:16:35,0.004183224
2017-07-13 13:26:35,0.006307742,2017-07-13 13:26:35,0.004172838
2017-07-13 13:36:35,0.0063032727,2017-07-13 13:36:35,0.00416924
2017-07-13 13:46:35,0.0063055517,2017-07-13 13:46:35,0.0041473
2017-07-13 13:56:35,0.0063084703,2017-07-13 13:56:35,0.004166146
2017-07-13 14:06:35,0.0063051295,2017-07-13 14:06:35,0.004171436
2017-07-13 14:16:35,0.0063128456,2017-07-13 14:16:35,0.004156208
2017-07-13 14:26:35,0.0063180547,2017-07-13 14:26:35,0.004160234
2017-07-13 14:36:35,0.0063144402,2017-07-13 14:36:35,0.004169706
2017-07-13 14:46:35,0.0063092832,2017-07-13 14:46:35,0.004165972
2017-07-13 14:56:35,0.0063113128,2017-07-13 14:56:35,0.004159008
2017-07-13 15:06:35,0.0062976992,2017-07-13 15:06:35,0.004162354
2017-07-13 15:16:35,0.0062946716,2017-07-13 15:16:35,0.00415154
2017-07-13 15:26:35,0.0062979121,2017-07-13 15:26:35,0.004166536
2017-07-13 15:36:35,0.0062965163,2017-07-13 15:36:35,0.00415755
2017-07-13 15:46:35,0.0062984102,2017-07-13 15:46:35,0.004149206
2017-07-13 15:56:35,0.0063044472,2017-07-13 15:56:35,0.004153718
2017-07-13 16:06:35,0.0063109335,2017-07-13 16:06:35,0.004155528
2017-07-13 16:16:35,0.0063134103,2017-07-13 16:16:35,0.004147494
2017-07-13 16:26:35,0.0063123886,2017-07-13 16:26:35,0.004149984
2017-07-13 16:36:35,0.0063060116,2017-07-13 16:36:35,0.004153426
2017-07-13 16:46:35,0.0063100173,2017-07-13 16:46:35,0.004159572
2017-07-13 16:56:35,0.0063165946,2017-07-13 16:56:35,0.004160682
2017-07-13 17:06:35,0.0063194942,2017-07-13 17:06:35,0.004168442
2017-07-13 17:16:35,0.0063209326,2017-07-13 17:16:35,0.004176358
2017-07-13 17:26:35,0.0063215442,2017-07-13 17:26:35,0.004170582
2017-07-13 17:36:35,0.0063243003,2017-07-13 17:36:35,0.004166146
2017-07-13 17:46:35,0.00633203,2017-07-13 17:46:35,0.004165232
2017-07-13 17:56:35,0.0063314484,2017-07-13 17:56:35,0.004168228
2017-07-13 18:06:35,0.006327164,2017-07-13 18:06:35,0.004169278
2017-07-13 18:16:35,0.0063384124,2017-07-13 18:16:35,0.00416994
2017-07-13 18:26:35,0.0063427298,2017-07-13 18:26:35,0.004180052
2017-07-13 18:36:35,0.0063524079,2017-07-13 18:36:35,0.004195652
2017-07-13 18:46:35,0.006355895,2017-07-13 18:46:35,0.004189642
2017-07-13 18:56:35,0.0063671633,2017-07-13 18:56:35,0.004189876
2017-07-13 19:06:35,0.0063721477,2017-07-13 19:06:35,0.004187736
2017-07-13 19:16:35,0.0063621132,2017-07-13 19:16:35,0.004185752
2017-07-13 19:26:35,0.0063688953,2017-07-13 19:26:35,0.004190712
2017-07-13 19:36:35,0.0063658555,2017-07-13 19:36:35,0.004193124
2017-07-13 19:46:35,0.0063604623,2017-07-13 19:46:35,0.004189894
2017-07-13 19:56:35,0.0063599385,2017-07-13 19:56:35,0.004182542
2017-07-13 20:06:35,0.0063631126,2017-07-13 20:06:35,0.00417348
2017-07-13 20:16:35,0.0063557064,2017-07-13 20:16:35,0.004185712
2017-07-13 20:26:35,0.0063631501,2017-07-13 20:26:35,0.00419256
2017-07-13 20:36:35,0.0063589988,2017-07-13 20:36:35,0.004187794
2017-07-13 20:46:35,0.006360735,2017-07-13 20:46:35,0.004193182
2017-07-13 20:56:35,0.0063610625,2017-07-13 20:56:35,0.004193182
2017-07-13 21:06:35,0.0063634,2017-07-13 21:06:35,0.00418791
2017-07-13 21:16:35,0.0063686264,2017-07-13 21:16:35,0.004183146
2017-07-13 21:26:35,0.0063677793,2017-07-13 21:26:35,0.004167002
2017-07-13 21:36:35,0.0063695937,2017-07-13 21:36:35,0.004165544
2017-07-13 21:46:35,0.0063825943,2017-07-13 21:46:35,0.00416988
2017-07-13 21:56:35,0.0063854148,2017-07-13 21:56:35,0.004172526
2017-07-13 22:06:35,0.0063865964,2017-07-13 22:06:35,0.004186336
2017-07-13 22:16:35,0.0063828281,2017-07-13 22:16:35,0.004189602
2017-07-13 22:26:35,0.00637681,2017-07-13 22:26:35,0.004198258
2017-07-13 22:36:35,0.006380075,2017-07-13 22:36:35,0.004206504
2017-07-13 22:46:35,0.0063792156,2017-07-13 22:46:35,0.004204034
2017-07-13 22:56:35,0.0063858637,2017-07-13 22:56:35,0.004200086
2017-07-13 23:06:35,0.0063787288,2017-07-13 23:06:35,0.00419571
2017-07-13 23:16:35,0.0063710523,2017-07-13 23:16:35,0.004195768
2017-07-13 23:26:35,0.0063613742,2017-07-13 23:26:35,0.004195184
2017-07-13 23:36:35,0.0063636779,2017-07-13 23:36:35,0.0041805
2017-07-13 23:46:35,0.0063678171,2017-07-13 23:46:35,0.004167644
2017-07-13 23:56:35,0.0063771748,2017-07-13 23:56:35,0.004157024
2017-07-14 00:06:35,0.0063848089,2017-07-14 00:06:35,0.004159884
2017-07-14 00:16:35,0.0063886342,2017-07-14 00:16:35,0.004155586
2017-07-14 00:26:35,0.0063880779,2017-07-14 00:26:35,0.004157958
2017-07-14 00:36:35,0.0063837929,2017-07-14 00:36:35,0.004155528
2017-07-14 00:46:35,0.0063810906,2017-07-14 00:46:35,0.00415751
2017-07-14 00:56:35,0.0063806676,2017-07-14 00:56:35,0.0041367
2017-07-14 01:06:35,0.0063784955,2017-07-14 01:06:35,0.004142554
2017-07-14 01:16:35,0.0063774769,2017-07-14 01:16:35,0.004144732
2017-07-14 01:26:35,0.0063862478,2017-07-14 01:26:35,0.004130184
2017-07-14 01:36:35,0.0063922467,2017-07-14 01:36:35,0.004138178
2017-07-14 01:46:35,0.006390952,2017-07-14 01:46:35,0.004139696
2017-07-14 01:56:35,0.0063829459,2017-07-14 01:56:35,0.004145336
2017-07-14 02:06:35,0.0063881153,2017-07-14 02:06:35,0.004160992
2017-07-14 02:16:35,0.0063820139,2017-07-14 02:16:35,0.004160662
2017-07-14 02:26:35,0.006379765,2017-07-14 02:26:35,0.00417414
2017-07-14 02:36:35,0.0063882047,2017-07-14 02:36:35,0.004172682
2017-07-14 02:46:35,0.0063932144,2017-07-14 02:46:35,0.004175638
2017-07-14 02:56:35,0.0063970967,2017-07-14 02:56:35,0.00417554
2017-07-14 03:06:35,0.0064029276,2017-07-14 03:06:35,0.00416848
2017-07-14 03:16:35,0.0064035419,2017-07-14 03:16:35,0.004169492
2017-07-14 03:26:35,0.0063988671,2017-07-14 03:26:35,0.004172992
2017-07-14 03:36:35,0.0064053048,2017-07-14 03:36:35,0.004171204
2017-07-14 03:46:35,0.0064023339,2017-07-14 03:46:35,0.00417276
2017-07-14 03:56:35,0.0064026123,2017-07-14 03:56:35,0.004174744
2017-07-14 04:06:35,0.0063988732,2017-07-14 04:06:35,0.004180306
2017-07-14 04:16:35,0.0064056282,2017-07-14 04:16:35,0.004188416
2017-07-14 04:26:35,0.0064019899,2017-07-14 04:26:35,0.004189428
2017-07-14 04:36:35,0.0063996703,2017-07-14 04:36:35,0.004184506
2017-07-14 04:46:35,0.0063975651,2017-07-14 04:46:35,0.004179216
2017-07-14 04:56:35,0.0063878074,2017-07-14 04:56:35,0.004184858
2017-07-14 05:06:35,0.006386562,2017-07-14 05:06:35,0.004192364
2017-07-14 05:16:35,0.0063765737,2017-07-14 05:16:35,0.004198414
2017-07-14 05:26:35,0.0063771397,2017-07-14 05:26:35,0.004193142
2017-07-14 05:36:35,0.006381881,2017-07-14 05:36:35,0.00419287
2017-07-14 05:46:35,0.0063880006,2017-07-14 05:46:35,0.004195904
2017-07-14 05:56:35,0.0063831271,2017-07-14 05:56:35,0.004200864
2017-07-14 06:06:35,0.0063853104,2017-07-14 06:06:35,0.004192696
2017-07-14 06:16:35,0.0063759708,2017-07-14 06:16:35,0.004179042
2017-07-14 06:26:35,0.0063751899,2017-07-14 06:26:35,0.004173246
2017-07-14 06:36:35,0.0063707764,2017-07-14 06:36:35,0.004175326
2017-07-14 06:46:35,0.0063789093,2017-07-14 06:46:35,0.004184974
2017-07-14 06:56:35,0.0063796967,2017-07-14 06:56:35,0.004180228
2017-07-14 07:06:35,0.0063735617,2017-07-14 07:06:35,0.004182738
2017-07-14 07:16:35,0.0063820763,2017-07-14 07:16:35,0.00418867
2017-07-14 07:26:35,0.0063680309,2017-07-14 07:26:35,0.004182368
2017-07-14 07:36:35,0.0063640599,2017-07-14 07:36:35,0.004177914
2017-07-14 07:46:35,0.0063614938,2017-07-14 07:46:35,0.0041805
2017-07-14 07:56:35,0.0063542341,2017-07-14 07:56:35,0.004190634
2017-07-14 08:06:35,0.006365957,2017-07-14 08:06:35,0.004189564
2017-07-14 08:16:35,0.0063736107,2017-07-14 08:16:35,0.004198588
2017-07-14 08:26:35,0.0063598572,2017-07-14 08:26:35,0.004207904
2017-07-14 08:36:35,0.0063582632,2017-07-14 08:36:35,0.004199308
2017-07-14 08:46:35,0.0063684087,2017-07-14 08:46:35,0.004195418
2017-07-14 08:56:35,0.0063614316,2017-07-14 08:56:35,0.004201642
2017-07-14 09:06:35,0.0063582847,2017-07-14 09:06:35,0.004208858
2017-07-14 09:16:35,0.0063597567,2017-07-14 09:16:35,0.00419433
2017-07-14 09:26:35,0.0063680689,2017-07-14 09:26:35,0.004190556
2017-07-14 09:36:35,0.0063677212,2017-07-14 09:36:35,0.004185284
2017-07-14 09:46:35,0.0063798887,2017-07-14 09:46:35,0.004175716
2017-07-14 09:56:35,0.0063891559,2017-07-14 09:56:35,0.004171826
2017-07-14 10:06:35,0.0063899901,2017-07-14 10:06:35,0.004169784
2017-07-14 10:16:35,0.0063868838,2017-07-14 10:16:35,0.004170658
2017-07-14 10:26:35,0.0063952247,2017-07-14 10:26:35,0.004174062
2017-07-14 10:36:35,0.0063960054,2017-07-14 10:36:35,0.004175386
2017-07-14 10:46:35,0.006397082,2017-07-14 10:46:35,0.004180734
2017-07-14 10:56:35,0.0063991404,2017-07-14 10:56:35,0.00418507
2017-07-14 11:06:35,0.0064020273,2017-07-14 11:06:35,0.004167586
2017-07-14 11:16:35,0.0064048511,2017-07-14 11:16:35,0.004170348
2017-07-14 11:26:35,0.006406911,2017-07-14 11:26:35,0.004185284
2017-07-14 11:36:35,0.0064046164,2017-07-14 11:36:35,0.00417589
2017-07-14 11:46:35,0.0064028325,2017-07-14 11:46:35,0.004184294
2017-07-14 11:56:35,0.0064009243,2017-07-14 11:56:35,0.004182796
2017-07-14 12:06:35,0.006408158,2017-07-14 12:06:35,0.004163502
2017-07-14 12:16:35,0.0064106916,2017-07-14 12:16:35,0.00416885
2017-07-14 12:26:35,0.0064091975,2017-07-14 12:26:35,0.004186744
2017-07-14 12:36:35,0.0064129416,2017-07-14 12:36:35,0.00418902
2017-07-14 12:46:35,0.0064114088,2017-07-14 12:46:35,0.004192228
2017-07-14 12:56:35,0.0064077787,2017-07-14 12:56:35,0.004197656
2017-07-14 13:06:35,0.00640169,2017-07-14 13:06:35,0.004190848
2017-07-14 13:16:35,0.0064051208,2017-07-14 13:16:35,0.004192636
2017-07-14 13:26:35,0.0064216334,2017-07-14 13:26:35,0.004212222
2017-07-14 13:36:35,0.0064233316,2017-07-14 13:36:35,0.004244432
2017-07-14 13:46:35,0.0064139971,2017-07-14 13:46:35,0.00424095
2017-07-14 13:56:35,0.0064168065,2017-07-14 13:56:35,0.004233306
2017-07-14 14:06:35,0.0064113828,2017-07-14 14:06:35,0.00422218
2017-07-14 14:16:35,0.0064008385,2017-07-14 14:16:35,0.00422187
2017-07-14 14:26:35,0.0063995222,2017-07-14 14:26:35,0.004211872
2017-07-14 14:36:35,0.0063974807,2017-07-14 14:36:35,0.00420349
2017-07-14 14:46:35,0.0063961089,2017-07-14 14:46:35,0.004183904
2017-07-14 14:56:35,0.0063991282,2017-07-14 14:56:35,0.004175618
2017-07-14 15:06:35,0.0064015341,2017-07-14 15:06:35,0.004159008
2017-07-14 15:16:35,0.0064090334,2017-07-14 15:16:35,0.004157278
2017-07-14 15:26:35,0.0064076184,2017-07-14 15:26:35,0.00416004
2017-07-14 15:36:35,0.0064070546,2017-07-14 15:36:35,0.004161304
2017-07-14 15:46:35,0.006398688,2017-07-14 15:46:35,0.00416356
2017-07-14 15:56:35,0.0063883746,2017-07-14 15:56:35,0.004163384
2017-07-14 16:06:35,0.0063799474,2017-07-14 16:06:35,0.004164416
2017-07-14 16:16:35,0.0063765193,2017-07-14 16:16:35,0.004164668
2017-07-14 16:26:35,0.0063803498,2017-07-14 16:26:35,0.00417064
2017-07-14 16:36:35,0.0063812348,2017-07-14 16:36:35,0.004167546
2017-07-14 16:46:35,0.0063769391,2017-07-14 16:46:35,0.004167236
2017-07-14 16:56:35,0.006379791,2017-07-14 16:56:35,0.004177466
2017-07-14 17:06:35,0.006379218,2017-07-14 17:06:35,0.00418756
2017-07-14 17:16:35,0.0063846847,2017-07-14 17:16:35,0.004185208
2017-07-14 17:26:35,0.0063876653,2017-07-14 17:26:35,0.004180986
2017-07-14 17:36:35,0.0063922419,2017-07-14 17:36:35,0.004180422
2017-07-14 17:46:35,0.0064017776,2017-07-14 17:46:35,0.004185246
2017-07-14 17:56:35,0.006406224,2017-07-14 17:56:35,0.004187618
2017-07-14 18:06:35,0.0064017522,2017-07-14 18:06:35,0.004185986
2017-07-14 18:16:35,0.0064044088,2017-07-14 18:16:35,0.004187832
2017-07-14 18:26:35,0.0064087497,2017-07-14 18:26:35,0.004184916
2017-07-14 18:36:35,0.006404343,2017-07-14 18:36:35,0.004180754
2017-07-14 18:46:35,0.0064037724,2017-07-14 18:46:35,0.004187502
2017-07-14 18:56:35,0.0064134512,2017-07-14 18:56:35,0.004193006
2017-07-14 19:06:35,0.0064041629,2017-07-14 19:06:35,0.004191004
2017-07-14 19:16:35,0.0064037841,2017-07-14 19:16:35,0.004194174
2017-07-14 19:26:35,0.0064090292,2017-07-14 19:26:35,0.004201798
2017-07-14 19:36:35,0.0064050127,2017-07-14 19:36:35,0.004208974
2017-07-14 19:46:35,0.0064098203,2017-07-14 19:46:35,0.004208294
2017-07-14 19:56:35,0.0064103679,2017-07-14 19:56:35,0.00420806
2017-07-14 20:06:35,0.0064221536,2017-07-14 20:06:35,0.004207924
2017-07-14 20:16:35,0.0064269196,2017-07-14 20:16:35,0.00420386
2017-07-14 20:26:35,0.0064295822,2017-07-14 20:26:35,0.004207068
2017-07-14 20:36:35,0.0064352156,2017-07-14 20:36:35,0.004217902
2017-07-14 20:46:35,0.0064390961,2017-07-14 20:46:35,0.004220178
2017-07-14 20:56:35,0.0064508403,2017-07-14 20:56:35,0.004218058
2017-07-14 21:06:35,0.0064525249,2017-07-14 21:06:35,0.004213934
2017-07-14 21:16:35,0.006449495,2017-07-14 21:16:35,0.004214206
