"Download, x; Upload, x","Download, y","Upload, y"
2017-12-12 18:01:01,18.08,3.43
2017-12-13 00:01:01,16.46,3.25
2017-12-13 06:01:01,18.15,3.58
2017-12-13 12:01:01,18.22,3.47
2017-12-13 18:01:01,16.38,3.34
2017-12-14 00:01:01,15.88,3.47
2017-12-14 06:01:01,18.13,3.42
2017-12-14 12:01:01,19.0,3.49
2017-12-14 18:01:01,14.22,3.48
2017-12-15 00:01:01,17.56,3.61
2017-12-15 06:01:01,18.26,3.62
2017-12-15 12:01:01,17.84,3.69
2017-12-15 18:01:01,16.08,3.53
2017-12-16 00:01:01,14.1,3.14
2017-12-17 12:01:01,15.71,3.41
2017-12-17 18:01:01,14.98,3.59
2017-12-18 00:01:01,15.4,3.33
2017-12-18 06:01:01,18.18,3.4
2017-12-18 18:01:01,8.09,3.6
2017-12-19 00:01:01,3.68,3.6
2017-12-19 06:01:01,16.72,3.62
2017-12-19 12:01:01,10.46,3.45
2017-12-19 18:01:01,17.0,3.78
2017-12-20 00:01:01,15.88,3.37
2017-12-20 06:01:01,17.76,3.69
2017-12-20 12:01:01,9.13,3.29
2017-12-20 18:01:01,17.54,3.52
2017-12-21 00:01:01,17.79,3.44
2017-12-21 06:01:01,18.31,3.53
2017-12-21 12:01:01,15.24,3.39
2017-12-21 18:01:01,8.32,2.94
2017-12-22 00:01:01,16.83,3.4
2017-12-22 06:01:01,17.86,3.76
2017-12-22 12:01:01,12.66,3.4
2017-12-22 18:01:01,10.05,3.23
2017-12-23 00:01:01,17.73,3.63
2017-12-23 06:01:01,16.62,3.41
2017-12-23 12:01:01,19.19,3.51
2017-12-23 18:01:01,8.52,3.46
2017-12-24 00:01:01,19.06,3.64
2017-12-24 06:01:01,16.5,3.49
2017-12-24 12:01:01,8.96,3.56
2017-12-24 18:01:01,17.71,3.67
2017-12-25 12:01:01,4.89,2.91
2017-12-25 18:01:01,14.91,3.46
2017-12-26 00:01:01,17.75,3.42
2017-12-26 06:01:01,16.39,3.64
2017-12-26 12:01:01,16.26,3.42
2017-12-26 18:01:01,17.35,3.53
2017-12-27 00:01:01,18.6,3.49
2017-12-27 06:01:01,19.19,3.43
2017-12-27 12:01:02,11.22,3.43
2017-12-27 18:01:01,11.69,3.44
2017-12-28 00:01:01,11.63,3.29
2017-12-28 06:01:01,19.24,3.56
2017-12-28 12:01:01,18.72,3.59
2017-12-28 18:01:01,13.28,3.36
2017-12-29 00:01:01,18.24,3.52
2017-12-29 06:01:01,19.08,3.47
2017-12-29 12:01:01,18.47,3.53
2017-12-29 18:01:01,18.01,3.64
2017-12-30 00:01:01,18.11,3.44
2017-12-30 06:01:01,17.76,3.63
2017-12-30 12:01:01,17.79,3.32
2017-12-30 18:01:01,8.43,3.62
2017-12-31 00:01:01,15.81,3.34
2017-12-31 06:01:01,17.81,3.28
2017-12-31 12:01:01,15.01,3.66
2017-12-31 18:01:01,11.63,3.45
2018-01-01 00:01:01,19.0,3.6
2018-01-01 06:01:02,19.17,3.49
2018-01-01 12:01:01,6.96,3.57
2018-01-01 18:01:01,7.33,3.05
2018-01-02 00:01:02,15.35,3.56
2018-01-02 06:01:01,18.09,3.57
2018-01-02 12:01:01,18.83,3.42
2018-01-02 18:01:01,3.04,3.32
2018-01-03 00:01:01,13.97,3.68
2018-01-03 06:01:01,15.38,3.18
2018-01-03 12:01:01,15.86,3.45
2018-01-03 18:01:01,11.64,3.41
2018-01-04 00:01:01,11.39,3.82
2018-01-04 06:01:02,19.32,3.55
2018-01-04 12:01:01,8.96,3.47
2018-01-04 18:01:01,7.83,3.21
2018-01-05 00:01:01,17.03,3.4
2018-01-05 06:01:01,18.95,3.43
2018-01-05 12:01:01,15.17,3.4
2018-01-05 18:01:01,9.06,3.48
2018-01-06 00:01:01,8.13,3.46
2018-01-06 06:01:01,17.49,3.35
Ping: 57.89,19.13,3.51
Ping: 59.117,13.97,3.59
2018-01-08 00:01:01,4.68,3.48
2018-01-08 06:01:01,11.27,3.25
2018-01-08 12:01:01,15.11,3.61
2018-01-08 18:01:01,16.58,3.48
2018-01-09 00:01:01,2.62,2.89
2018-01-09 06:01:01,15.97,3.46
2018-01-09 12:01:01,16.88,3.63
2018-01-09 18:01:01,16.61,3.35
2018-01-10 00:01:01,17.36,3.33
2018-01-10 06:01:01,18.53,3.42
2018-01-10 12:01:01,19.32,3.38
2018-01-10 18:01:01,15.94,3.52
2018-01-11 00:01:01,18.73,3.42
2018-01-11 06:01:01,17.52,3.33
2018-01-11 12:01:01,17.88,3.5
2018-01-11 18:01:01,18.12,3.39
2018-01-12 00:01:01,,
2018-01-12 06:01:01,,
2018-01-12 12:01:01,,
