"u71-scratch, x","u71-scratch, y","u32-scratch, x; u70-scratch, x","u32-scratch, y","u70-scratch, y","clg-opsview, x","clg-opsview, y","ioa-ful01, x; ioa-bxb200, x","ioa-ful01, y","ioa-bxb200, y","ioa-blr11, x","ioa-blr11, y","ioa-rtp6, x","ioa-rtp6, y","ioa-clg5, x","ioa-clg5, y","ioa-sjc19, x","ioa-sjc19, y","ioa-prg5, x","ioa-prg5, y","u45-scratch, x","u45-scratch, y","u51-scratch, x; prg5-opsview, x","u51-scratch, y","prg5-opsview, y"
2018-01-10 19:00:00,27.39,2018-01-10 19:00:00,11.36,13.98,2018-01-10 19:00:00,19.2,2018-01-10 21:00:00,10.22,13.95,2018-01-10 21:00:00,0.0,2018-01-10 22:00:00,8.15,2018-01-10 22:00:00,16.47,2018-01-10 22:00:00,7.73,2018-01-10 22:00:00,0.0,2018-01-10 22:00:00,23.33,,,
2018-01-10 22:00:00,47.03,2018-01-10 22:00:00,15.7,32.35,2018-01-10 22:00:00,11.71,2018-01-11 01:00:00,16.41,37.22,2018-01-11 01:00:00,0.0,2018-01-11 01:00:00,19.72,2018-01-11 01:00:00,30.69,2018-01-11 01:00:00,13.51,2018-01-11 01:00:00,0.0,2018-01-11 01:00:00,60.51,,,
2018-01-11 01:00:00,64.01,2018-01-11 01:00:00,28.58,44.63,2018-01-11 01:00:00,59.87,2018-01-11 05:00:00,14.03,26.17,2018-01-11 05:00:00,2.81,2018-01-11 06:00:00,8.75,2018-01-11 06:00:00,38.96,2018-01-11 06:00:00,10.08,2018-01-11 06:00:00,0.0,2018-01-11 06:00:00,47.14,,,
2018-01-11 06:00:00,19.26,2018-01-11 06:00:00,23.56,49.68,2018-01-11 06:00:00,51.69,2018-01-11 09:00:00,16.24,35.64,2018-01-11 09:00:00,3.34,2018-01-11 09:00:00,8.24,2018-01-11 09:00:00,38.27,2018-01-11 10:00:00,13.13,2018-01-11 10:00:00,0.0,2018-01-11 10:00:00,60.9,,,
2018-01-11 10:00:00,66.55,2018-01-11 10:00:00,24.94,31.84,2018-01-11 10:00:00,17.43,2018-01-11 13:00:00,15.3,34.12,2018-01-11 13:00:00,2.93,2018-01-11 13:00:00,11.85,2018-01-11 14:00:00,8.28,2018-01-11 14:00:00,9.68,2018-01-11 14:00:00,0.0,2018-01-11 19:00:00,20.22,,,
2018-01-11 19:00:00,26.33,2018-01-11 19:00:00,14.05,17.16,2018-01-11 19:00:00,8.94,2018-01-11 17:00:00,18.71,23.11,2018-01-11 18:00:00,1.64,2018-01-11 18:00:00,7.74,2018-01-11 18:00:00,9.17,2018-01-11 18:00:00,9.18,2018-01-11 18:00:00,0.0,2018-01-11 20:00:00,0.31,,,
2018-01-11 20:00:00,28.92,2018-01-11 20:00:00,17.75,26.45,2018-01-11 20:00:00,10.66,2018-01-11 21:00:00,19.2,17.61,2018-01-11 22:00:00,2.04,2018-01-11 22:00:00,9.43,2018-01-11 22:00:00,21.38,2018-01-11 22:00:00,8.43,2018-01-11 22:00:00,0.0,2018-01-11 22:00:00,25.68,,,
2018-01-11 22:00:00,34.24,2018-01-11 22:00:00,17.27,27.06,2018-01-11 23:00:00,29.32,2018-01-12 01:00:00,25.82,23.3,2018-01-12 01:00:00,2.78,2018-01-12 01:00:00,15.68,2018-01-12 02:00:00,17.99,2018-01-12 02:00:00,12.6,2018-01-12 02:00:00,0.0,2018-01-12 02:00:00,68.33,,,
2018-01-12 02:00:00,44.85,2018-01-12 02:00:00,27.27,36.57,2018-01-12 02:00:00,38.92,2018-01-12 05:00:00,16.2,22.38,2018-01-12 05:00:00,3.04,2018-01-12 05:00:00,13.97,2018-01-12 06:00:00,22.06,2018-01-12 06:00:00,16.37,2018-01-12 06:00:00,0.0,2018-01-12 06:00:00,46.62,,,
2018-01-12 06:00:00,46.35,2018-01-12 06:00:00,5.57,28.01,2018-01-12 06:00:00,19.85,2018-01-12 09:00:00,18.62,115.87,2018-01-12 09:00:00,3.22,2018-01-12 09:00:00,32.25,2018-01-12 09:00:00,45.08,2018-01-12 09:00:00,19.17,2018-01-12 09:00:00,0.0,2018-01-12 09:00:00,64.23,,,
2018-01-12 09:00:00,40.2,2018-01-12 10:00:00,13.85,26.47,2018-01-12 10:00:00,45.85,2018-01-12 13:00:00,14.58,28.82,2018-01-12 13:00:00,2.73,2018-01-12 14:00:00,11.42,2018-01-12 14:00:00,15.02,2018-01-12 14:00:00,10.27,2018-01-12 14:00:00,0.0,2018-01-12 14:00:00,57.93,,,
2018-01-12 14:00:00,39.41,2018-01-12 14:00:00,22.96,25.97,2018-01-12 14:00:00,47.49,2018-01-12 17:00:00,14.24,22.48,2018-01-12 18:00:00,2.23,2018-01-12 18:00:00,9.03,2018-01-12 18:00:00,17.07,2018-01-12 18:00:00,8.13,2018-01-12 18:00:00,0.0,2018-01-12 18:00:00,15.75,,,
2018-01-12 18:00:00,27.74,2018-01-12 18:00:00,18.9,20.12,2018-01-12 19:00:00,14.1,,,,,,,,,,,,,,,,,,
