"Trace 0, x","Trace 0, y","Trace 1, x","Trace 1, y",text
,,0.0396081806,-0.088834685,アルバセテ
0.0221200432,-0.1275326786,0.0738504083,-0.3047217506,カスティーリャ＝ラ・マンチャ州
0.0167999477,-0.0294122499,-0.0424540467,-0.0045527849,地方公共団体
,,0.0857207466,-0.1584497856,シウダ・レアル県
0.031839439,-0.4283175441,0.06925896,-0.1315594018,アルバセーテ
0.0083403349,-0.0190808823,0.151344573,-0.4450938816,ムルシア州
,,0.0105331906,-0.0570171954,カウデーテ
-0.2431930635,-0.2692074426,0.0412268123,-0.0585819082,カサス＝イバーニェス
0.0083403349,-0.0190808823,0.0131334278,-0.0521976554,トバーラ
,,0.0093626567,-0.0812953776,マドリゲーラス
-0.2931667034,0.8824761874,0.0182804948,-0.0745777425,ビリャロブレド
0.0083403349,-0.0190808823,0.1025205702,-0.396029678,スペイン語
,,-0.0490423358,-0.2190596205,利他主義
-0.0520019788,0.5520226874,-0.0237088698,-0.1255141357,対義語
-0.1612282519,0.3034225779,-0.108703528,-0.3056931353,進化心理学
,,-0.1649573143,-0.4064045866,社会生物学
0.248048345,-0.9343236217,-0.0422762101,-0.1761223567,互恵的利他主義
0.0221200432,-0.1275326786,0.0375074129,0.1893556061,利益
,,-0.036069698,-0.1789471092,黄金律
0.7581143997,-0.2136762067,0.022790442,-0.1996619749,利己主義
-0.1514797685,0.14573513,-0.021176251,-0.1684615696,利他的行動
,,-0.2368442139,0.5624551654,南海りんかんバス
0.5704250149,0.286615017,-0.4731537431,0.3778788581,五條市
0.0221200432,-0.1275326786,-0.0925889705,-0.1686047355,世界遺産
,,-0.3502995647,0.2440111409,伊都郡
0.0221200432,-0.1275326786,0.6713957581,0.3683514484,廃墟
0.0309590908,-0.2414744165,-0.1212414658,0.3249002213,和歌山バス那賀
,,-0.1744891674,0.2012111063,龍神温泉
0.0765901961,0.1882607303,-0.0384730396,0.0773904215,九度山駅
0.0083403349,-0.0190808823,-0.2657099748,0.2690257979,和歌山県
,,-0.0351776151,0.1112710792,御幸辻駅
0.0560066431,0.0382837981,-0.435084817,0.4303819598,橋本市
0.0083403349,-0.0190808823,-0.1064348828,0.2023436853,五條バスセンター
,,-0.1237101187,0.5172511387,南海バス
-0.5137509558,0.3494807019,0.079128675,0.0794914161,子会社
0.0221200432,-0.1275326786,-0.1466479935,0.2032928852,紀伊田辺駅
,,-0.0248606678,0.361891184,スルッとKANSAI
0.2303118372,0.2038308056,-0.0303928175,0.5316134957,三菱ふそうトラック・バス
0.0083403349,-0.0190808823,-0.141028381,0.3348332653,パークアンドライド
,,-0.076533159,0.1264816543,野迫川村営バス
0.0553586697,-0.6341611478,-0.0715574806,0.1023046591,立里荒神社
0.0221200432,-0.1275326786,-0.0305775731,0.2152244744,低床バス
,,-0.1286813556,0.1416960967,高野龍神スカイライン
0.5690371121,-0.0807932006,-0.0583324584,0.046596954,バス専用道路
0.0221200432,-0.1275326786,-0.053038079,0.4065547544,ノンステップバス
,,-0.0405101821,0.4398773352,南海電気鉄道
0.1176030025,0.0680759721,-0.3676766769,0.2986992206,天川村
0.0083403349,-0.0190808823,0.154198655,0.3862624646,日野自動車
,,-0.0673648321,0.2456799929,高野口駅
0.485818332,0.7527516876,-0.0824432117,0.4557513464,ワンステップバス
0.0221200432,-0.1275326786,0.085944185,0.0236670618,自動車排出ガス規制
,,-0.3200609422,0.1531243833,高野山
0.626579776,-0.250751889,-0.267640891,0.749808711,濃飛乗合自動車
0.0083403349,-0.0190808823,-0.2084632499,0.5082233784,奈良交通
,,-0.3439800824,0.3659170633,九度山町
0.1814195428,-0.4515255913,-0.4005050444,0.4262598478,野迫川村
0.0221200432,-0.1275326786,-0.0988245284,0.2608715722,高野山駅
,,-0.1734202559,0.5842585699,京阪バス
-0.6596194669,0.0864198287,-0.4376338173,0.345586608,高野町
-0.1514797685,0.14573513,-0.3040588988,0.2103779005,奈良県
,,-0.3612129476,0.3395788526,田辺市
-0.3279722849,0.2581600002,-0.1722588017,0.1385167019,護摩壇山
0.0083403349,-0.0190808823,-0.1274629325,0.1341423889,龍神自動車
,,-0.0515127098,0.1394477042,林間田園都市駅
0.5490118009,0.0373414121,-0.089456196,0.1392843125,洞川温泉
0.0985936331,0.1617787887,-0.1581099854,0.1459235492,雲海
,,-0.0191174148,0.2397761525,富士火災海上保険
-0.2485691477,0.6898026136,0.1466310433,-0.0138263839,出版
0.0083403349,-0.0190808823,0.393329416,0.0812876764,編集プロダクション
,,0.0134975725,0.0038161712,キリシタン版
-0.3042893977,0.1165635861,0.0548872344,0.0342260877,出版人
-0.1612282519,0.3034225779,0.0808721791,-0.0670898342,活字離れ
,,0.0044686188,-0.0644946544,ISSN
-0.1386509922,0.5517900391,0.0221538152,-0.0937360761,インターネット
-0.1612282519,0.3034225779,0.1608659301,0.0085503149,版元
,,0.198283588,-0.012806292,電子出版
0.184252702,0.0176734878,-0.103545028,0.0189661911,明治時代
0.0083403349,-0.0190808823,-0.046219209,0.0541747648,嵯峨野
,,0.1488190328,-0.0091238382,自費出版
-0.1809867923,-0.1193031007,-0.0353099232,-0.0181332715,角倉素庵
0.0083403349,-0.0190808823,0.1288968575,-0.0868499119,校正
,,0.1031500855,0.0695854097,出版権
-0.561028207,0.6203178783,-0.0532749236,-0.0111913826,学校
-0.1514797685,0.14573513,0.173842036,0.0292263303,テレビ
,,0.0371115366,-0.0264021332,新聞紙法
-0.0751605224,0.4229010454,0.0565684367,-0.0661846541,図書館
-0.1612282519,0.3034225779,0.2406773829,-0.0193464892,DTP
,,0.120570826,-0.0041797412,ラジオ
0.2838123244,0.4053285799,0.094431067,0.0200526183,返本
0.0985936331,0.1617787887,-0.018486908,-0.007919744,尾崎紅葉
,,-0.0041165689,-0.3491477481,マルクス主義
-0.0363463102,-0.3715643682,0.184252702,0.0176734878,雑誌
0.0083403349,-0.0190808823,0.0645731341,0.020548902,ミズメ
,,0.0567885015,-0.1631746369,ヨハネス・グーテンベルク
0.0221200432,-0.1275326786,0.1720487391,0.0858291073,印刷会社
0.1204034249,-0.1522639145,0.1203357689,-0.1774500012,第二次世界大戦
,,-0.1798864351,-0.0333345178,京都
0.089682885,-0.5009388871,0.0868137991,-0.3876968728,宗教改革
0.0221200432,-0.1275326786,0.1289354691,-0.1064016066,夏目漱石
,,0.083853539,-0.034309036,作家
-0.0606249176,-0.3677239192,-0.1882903016,-0.1337768927,大蔵経
0.0221200432,-0.1275326786,-0.0956604644,-0.0359266896,黄表紙
,,0.0957477968,-0.0815702504,グーテンベルク聖書
-0.0958746926,0.1958869145,0.1313451619,-0.1562793287,検閲
-0.1612282519,0.3034225779,0.1514361663,0.0075246538,本
,,0.121137142,-0.1247779464,印刷
0.1126727156,0.1178959557,0.0906214147,-0.0008507617,出版条例
0.0985936331,0.1617787887,-0.1551313782,-0.2200507306,高麗
,,0.3329048941,-0.2437930102,ISBN
0.2726208443,0.0108880663,-0.2251231087,-0.0651560357,自由民権運動
0.0221200432,-0.1275326786,-0.0152303846,-0.2435114233,中国
,,0.1422298291,-0.1169448279,印税
0.337426671,0.0123831695,0.1368871505,-0.0175276083,原稿
0.0083403349,-0.0190808823,0.0696048788,0.0183684797,キササゲ
,,-0.2785538883,0.0062069674,朝鮮出兵
-0.2117030935,0.4275892194,0.1799978305,0.1469886908,古書店
-0.1514797685,0.14573513,0.2137030508,-0.0107119303,編集
,,0.0676928063,-0.1278438902,プレスコード
-0.0315680331,-0.1612600379,0.0244224627,-0.4349823277,社会主義
-0.1514797685,0.14573513,0.0944067279,-0.1851221417,英語
,,0.09911456,-0.1009731851,プライバシー
-0.4774791292,0.0947630191,0.0384238519,-0.1124703733,活版印刷
-0.1514797685,0.14573513,-0.0144247436,0.0243344932,蔦屋重三郎
,,0.1441361754,0.0080174361,中央公論
-0.3010319385,0.2882332363,-0.0031187938,-0.0157254005,出版法
0.0221200432,-0.1275326786,0.2077510801,0.0359202289,出版不況
,,0.1916049097,0.0662466817,出版取次
-0.0739008743,0.6234981959,-0.0355195132,-0.0275601134,洒落本
0.0221200432,-0.1275326786,-0.0457522361,0.0702343857,GHQ
,,-0.2529766448,-0.0233153032,平安時代
0.4327844583,-0.6003293489,0.0825580489,-0.0373578084,新聞
0.0221200432,-0.1275326786,0.1570068759,0.0179983055,持ち込み原稿
,,-0.1058066703,0.0224031982,滑稽本
-0.1261791092,-0.3429233775,0.2248722113,0.0244639776,書店
0.0221200432,-0.1275326786,0.0891030186,0.0083613856,嵯峨本
,,0.1407738168,-0.012939168,共同出版
0.6263628694,0.241712068,-0.0018441085,0.0703311558,永井荷風
0.0083403349,-0.0190808823,0.1733335663,-0.0388893122,著作権
,,-0.1401118328,-0.1708964363,仏典
0.0985936331,0.1617787887,0.0296449689,0.0053584844,アルドゥス・マヌティウス
-0.2336924295,-0.0441616191,-0.0562217264,0.0233851601,新聞紙条例
,,0.0419874641,0.0437696627,新古書店
-0.4538066443,0.6612578207,0.1288602569,-0.0523597713,奥付
0.0985936331,0.1617787887,0.0020543376,0.0161873634,浮世草子
,,0.1827397087,0.0166766862,パンフレット
0.1847530411,0.3933917365,0.0517592432,-0.0458122017,五山版
-0.1612282519,0.3034225779,-0.1693738383,-0.2576622266,写本
,,0.2754592177,0.0201727364,出版社
-0.325751357,0.5854845621,-0.1348901413,0.0018998974,寺院
-0.1612282519,0.3034225779,0.1050501416,-0.1227465029,活字
,,0.1318987947,-0.1064420902,学術出版
-0.5543198023,0.1781544786,0.1298835357,0.0222097901,写真植字
-0.1514797685,0.14573513,-0.0420950299,-0.1735067144,日本国憲法
,,0.1794838972,-0.0347908345,オンデマンド印刷
0.5693870491,-0.0431213691,0.2249392098,0.0510503585,イラストレーター
0.0083403349,-0.0190808823,0.268322933,-0.0775101296,編集者
,,0.109216801,-0.3846080082,マルティン・ルター
0.4990467236,0.0747139414,0.2556259003,-0.06938355,装幀
0.0083403349,-0.0190808823,-0.0438768528,0.0286082574,本阿弥光悦
,,0.0979811398,0.0348431617,カメラマン
-0.1513448767,0.3741643158,0.0862909272,0.0142207449,検印
0.0221200432,-0.1275326786,-0.0628274154,0.1441249944,温水プール
,,-0.1526953385,0.1057242567,大正時代
-0.0346985307,0.5329947529,-0.0775190659,0.1140704476,プール
0.0985936331,0.1617787887,0.1124066991,-0.0144324325,水泳
,,-0.0958862171,-0.0769207859,サウナ
-0.3409310406,-0.0981703151,0.1948061022,-0.0525481103,スイミングスクール
0.0083403349,-0.0190808823,-0.1258755391,-0.0104103238,清掃工場
,,-0.2787897804,0.0663431197,温泉
-0.628392255,0.1253290994,-0.0489112003,-0.1543154834,ボイラー
0.0083403349,-0.0190808823,-0.2237708867,-0.1221082227,細菌
,,0.5979465735,-0.3393070163,サンフランシスコ・ジャイアンツ
-0.3176443089,-0.4180296992,0.1832635916,0.1836951267,新庄剛志
0.0221200432,-0.1275326786,0.0964419674,-0.405376494,ドミニカ共和国
,,0.4434326977,-0.2721658743,ジャッキー・ロビンソン
0.0221200432,-0.1275326786,0.05886963,-0.0263706845,ショーン・エステス
0.0873774298,-0.6236173218,0.2425062724,-0.1374420529,ベーブ・ルース
,,0.2579278429,-0.1340168086,ウォーレン・スパーン
-0.2612182804,-0.3196221411,0.0541219844,-0.0282217817,ダスティ・ローズ
0.0221200432,-0.1275326786,0.1136082573,0.1214461795,命名権
,,0.1065683409,-0.0793652106,フランキー・フリッシュ
0.1614584371,0.3863169351,0.2169962657,-0.1008744292,ジェイク・ベックリー
-0.1514797685,0.14573513,0.2252182487,-0.1274508641,マーク・マグワイア
,,0.4971250775,-0.282342592,ニューヨーク・ヤンキース
0.4816130759,-0.1045623829,0.0978203447,-0.0576980944,ブルース・ボウチー
0.0221200432,-0.1275326786,0.039195656,-0.0223235553,リッチモンド・フライングスクウォーレルズ
,,0.1666868526,-0.1266100027,ハック・ウィルソン
0.0221200432,-0.1275326786,0.0681351169,-0.0624299666,メルキー・カブレラ
