"Predicted Probability, x; Observed Probability, x","Predicted Probability, y","Observed Probability, y",text,size
14,0.8,0.8,Cluster : 14 (Size : 780)<br>eg Vector : 0.5|0.19999999999999998|0.875|0.0|0...<br>Obs Prob : 0.8%<br>Pred Prob : 0.8%,78.0
15,0.9,1.3,Cluster : 15 (Size : 228)<br>eg Vector : 0.0|0.19999999999999998|0.875|0.111...<br>Obs Prob : 1.3%<br>Pred Prob : 0.9%,22.8
16,0.9,0.4,Cluster : 16 (Size : 262)<br>eg Vector : 0.0|0.39999999999999997|0.875|0.0|0...<br>Obs Prob : 0.4%<br>Pred Prob : 0.9%,26.2
17,0.9,0.4,Cluster : 17 (Size : 455)<br>eg Vector : 0.5|0.6000000000000001|1.0|0.0|0|0|0|0<br>Obs Prob : 0.4%<br>Pred Prob : 0.9%,45.5
18,0.9,0.8,Cluster : 18 (Size : 507)<br>eg Vector : 0.5|0.39999999999999997|0.875|0.0|0...<br>Obs Prob : 0.8%<br>Pred Prob : 0.9%,50.7
19,1.0,0.9,Cluster : 19 (Size : 320)<br>eg Vector : 0.0|0.6000000000000001|1.0|0.0|0|0|0|0<br>Obs Prob : 0.9%<br>Pred Prob : 1.0%,32.0
20,1.0,1.0,Cluster : 20 (Size : 391)<br>eg Vector : 0.0|0.19999999999999998|0.75|0.0|0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.0%,39.1
21,1.0,1.2,Cluster : 21 (Size : 577)<br>eg Vector : 0.5|0.19999999999999998|0.875|0.111...<br>Obs Prob : 1.2%<br>Pred Prob : 1.0%,57.7
22,1.0,1.7,Cluster : 22 (Size : 287)<br>eg Vector : 0.5|0.0|0.75|0.1111111111111111|0|0|0|0<br>Obs Prob : 1.7%<br>Pred Prob : 1.0%,28.7
23,1.0,1.6,Cluster : 23 (Size : 645)<br>eg Vector : 0.5|0.0|0.625|0.0|0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.0%,64.5
24,1.0,0.6,Cluster : 24 (Size : 820)<br>eg Vector : 0.5|0.19999999999999998|0.75|0.0|0|0|0|0<br>Obs Prob : 0.6%<br>Pred Prob : 1.0%,82.0
25,1.1,1.5,Cluster : 25 (Size : 342)<br>eg Vector : 0.0|0.0|0.625|0.0|0|0|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 1.1%,34.2
26,1.1,1.3,Cluster : 26 (Size : 224)<br>eg Vector : 0.0|0.0|0.625|0.1111111111111111|0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 1.1%,22.4
27,1.1,0.6,Cluster : 27 (Size : 350)<br>eg Vector : 0.5|0.7999999999999999|1.0|0.0|0|0|0|0<br>Obs Prob : 0.6%<br>Pred Prob : 1.1%,35.0
28,1.1,2.0,Cluster : 28 (Size : 203)<br>eg Vector : 0.0|0.6000000000000001|0.875|0.0|0|0|0|0<br>Obs Prob : 2.0%<br>Pred Prob : 1.1%,20.3
29,1.1,1.5,Cluster : 29 (Size : 452)<br>eg Vector : 0.5|0.0|0.75|0.2222222222222222|0|0|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 1.1%,45.2
30,1.1,1.6,Cluster : 30 (Size : 313)<br>eg Vector : 0.0|0.39999999999999997|0.75|0.0|0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.1%,31.3
31,1.1,0.8,Cluster : 31 (Size : 391)<br>eg Vector : 0.5|0.39999999999999997|0.875|0.111...<br>Obs Prob : 0.8%<br>Pred Prob : 1.1%,39.1
32,1.1,0.7,Cluster : 32 (Size : 433)<br>eg Vector : 0.5|0.6000000000000001|0.875|0.0|0|0|0|0<br>Obs Prob : 0.7%<br>Pred Prob : 1.1%,43.3
33,1.1,1.8,Cluster : 33 (Size : 329)<br>eg Vector : 0.5|0.19999999999999998|0.75|0.1111...<br>Obs Prob : 1.8%<br>Pred Prob : 1.1%,32.9
34,1.1,1.1,Cluster : 34 (Size : 645)<br>eg Vector : 0.5|0.39999999999999997|0.75|0.0|0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.1%,64.5
35,1.2,1.0,Cluster : 35 (Size : 208)<br>eg Vector : 0.5|0.19999999999999998|0.75|0.0|0|0|0|1<br>Obs Prob : 1.0%<br>Pred Prob : 1.2%,20.8
36,1.2,0.9,Cluster : 36 (Size : 214)<br>eg Vector : 0.0|0.0|0.75|0.3333333333333333|0|0|0|0<br>Obs Prob : 0.9%<br>Pred Prob : 1.2%,21.4
37,1.2,1.5,Cluster : 37 (Size : 331)<br>eg Vector : 0.0|0.7999999999999999|0.875|0.0|0|0|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 1.2%,33.1
38,1.2,0.7,Cluster : 38 (Size : 304)<br>eg Vector : 0.0|0.19999999999999998|0.625|0.0|0...<br>Obs Prob : 0.7%<br>Pred Prob : 1.2%,30.4
39,1.2,1.5,Cluster : 39 (Size : 268)<br>eg Vector : 0.0|0.39999999999999997|0.75|0.1111...<br>Obs Prob : 1.5%<br>Pred Prob : 1.2%,26.8
40,1.2,2.1,Cluster : 40 (Size : 385)<br>eg Vector : 0.5|0.0|0.5|0.0|0|0|0|0<br>Obs Prob : 2.1%<br>Pred Prob : 1.2%,38.5
41,1.2,1.6,Cluster : 41 (Size : 733)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.0|0...<br>Obs Prob : 1.6%<br>Pred Prob : 1.2%,73.3
42,1.3,1.0,Cluster : 42 (Size : 305)<br>eg Vector : 0.5|1.0|1.0|0.0|0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.3%,30.5
43,1.3,2.0,Cluster : 43 (Size : 256)<br>eg Vector : 0.5|0.6000000000000001|0.875|0.1111...<br>Obs Prob : 2.0%<br>Pred Prob : 1.3%,25.6
44,1.3,1.4,Cluster : 44 (Size : 360)<br>eg Vector : 0.5|0.7999999999999999|0.875|0.0|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 1.3%,36.0
45,1.3,2.1,Cluster : 45 (Size : 336)<br>eg Vector : 0.0|0.19999999999999998|0.625|0.111...<br>Obs Prob : 2.1%<br>Pred Prob : 1.3%,33.6
46,1.3,1.1,Cluster : 46 (Size : 271)<br>eg Vector : 0.0|0.6000000000000001|0.75|0.0|0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.3%,27.1
47,1.3,1.2,Cluster : 47 (Size : 499)<br>eg Vector : 0.5|0.19999999999999998|0.75|0.2222...<br>Obs Prob : 1.2%<br>Pred Prob : 1.3%,49.9
48,1.3,0.4,Cluster : 48 (Size : 501)<br>eg Vector : 0.5|0.0|0.625|0.1111111111111111|0|0|0|0<br>Obs Prob : 0.4%<br>Pred Prob : 1.3%,50.1
49,1.3,0.7,Cluster : 49 (Size : 554)<br>eg Vector : 0.5|0.6000000000000001|0.75|0.0|0|0|0|0<br>Obs Prob : 0.7%<br>Pred Prob : 1.3%,55.4
50,1.3,1.5,Cluster : 50 (Size : 264)<br>eg Vector : 0.5|0.39999999999999997|0.75|0.1111...<br>Obs Prob : 1.5%<br>Pred Prob : 1.3%,26.4
51,1.4,1.2,Cluster : 51 (Size : 568)<br>eg Vector : 0.5|0.19999999999999998|0.5|0.0|0|0|0|0<br>Obs Prob : 1.2%<br>Pred Prob : 1.4%,56.8
52,1.4,1.6,Cluster : 52 (Size : 243)<br>eg Vector : 0.0|1.0|1.0|0.0|0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.4%,24.3
53,1.4,1.1,Cluster : 53 (Size : 641)<br>eg Vector : 0.5|0.0|0.375|0.0|0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.4%,64.1
54,1.4,0.0,Cluster : 54 (Size : 213)<br>eg Vector : 0.0|0.19999999999999998|0.5|0.0|0|0|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 1.4%,21.3
55,1.4,0.8,Cluster : 55 (Size : 355)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.111...<br>Obs Prob : 0.8%<br>Pred Prob : 1.4%,35.5
56,1.4,1.0,Cluster : 56 (Size : 589)<br>eg Vector : 0.5|0.39999999999999997|0.625|0.0|0...<br>Obs Prob : 1.0%<br>Pred Prob : 1.4%,58.9
57,1.5,1.8,Cluster : 57 (Size : 331)<br>eg Vector : 0.0|0.0|0.375|0.0|0|0|0|0<br>Obs Prob : 1.8%<br>Pred Prob : 1.5%,33.1
58,1.5,1.0,Cluster : 58 (Size : 310)<br>eg Vector : 0.5|1.0|0.875|0.0|0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.5%,31.0
59,1.5,1.5,Cluster : 59 (Size : 205)<br>eg Vector : 0.0|0.7999999999999999|0.75|0.0|0|0|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 1.5%,20.5
60,1.5,1.3,Cluster : 60 (Size : 473)<br>eg Vector : 0.0|0.39999999999999997|0.625|0.0|0...<br>Obs Prob : 1.3%<br>Pred Prob : 1.5%,47.3
61,1.5,1.4,Cluster : 61 (Size : 505)<br>eg Vector : 0.5|0.7999999999999999|0.75|0.0|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 1.5%,50.5
62,1.5,2.8,Cluster : 62 (Size : 319)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.222...<br>Obs Prob : 2.8%<br>Pred Prob : 1.5%,31.9
63,1.6,1.5,Cluster : 63 (Size : 204)<br>eg Vector : 0.0|0.7999999999999999|0.75|0.0|0|0|0|1<br>Obs Prob : 1.5%<br>Pred Prob : 1.6%,20.4
64,1.6,3.0,Cluster : 64 (Size : 200)<br>eg Vector : 0.0|0.39999999999999997|0.5|0.22222...<br>Obs Prob : 3.0%<br>Pred Prob : 1.6%,20.0
65,1.6,2.4,Cluster : 65 (Size : 209)<br>eg Vector : 0.5|0.19999999999999998|0.75|0.1111...<br>Obs Prob : 2.4%<br>Pred Prob : 1.6%,20.9
66,1.6,2.1,Cluster : 66 (Size : 331)<br>eg Vector : 0.5|0.7999999999999999|0.875|0.1111...<br>Obs Prob : 2.1%<br>Pred Prob : 1.6%,33.1
67,1.6,0.8,Cluster : 67 (Size : 379)<br>eg Vector : 0.0|0.19999999999999998|0.75|0.2222...<br>Obs Prob : 0.8%<br>Pred Prob : 1.6%,37.9
68,1.6,0.4,Cluster : 68 (Size : 229)<br>eg Vector : 0.0|0.39999999999999997|0.75|0.2222...<br>Obs Prob : 0.4%<br>Pred Prob : 1.6%,22.9
69,1.6,1.3,Cluster : 69 (Size : 230)<br>eg Vector : 0.0|0.19999999999999998|0.625|0.222...<br>Obs Prob : 1.3%<br>Pred Prob : 1.6%,23.0
70,1.6,1.4,Cluster : 70 (Size : 427)<br>eg Vector : 0.5|0.0|0.625|0.3333333333333333|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 1.6%,42.7
71,1.6,0.7,Cluster : 71 (Size : 278)<br>eg Vector : 0.5|0.6000000000000001|0.75|0.11111...<br>Obs Prob : 0.7%<br>Pred Prob : 1.6%,27.8
72,1.6,0.9,Cluster : 72 (Size : 330)<br>eg Vector : 0.5|0.39999999999999997|0.75|0.2222...<br>Obs Prob : 0.9%<br>Pred Prob : 1.6%,33.0
73,1.6,1.6,Cluster : 73 (Size : 503)<br>eg Vector : 0.5|0.6000000000000001|0.625|0.0|0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.6%,50.3
74,1.6,0.9,Cluster : 74 (Size : 453)<br>eg Vector : 0.5|0.39999999999999997|0.5|0.0|0|0|0|0<br>Obs Prob : 0.9%<br>Pred Prob : 1.6%,45.3
75,1.6,0.9,Cluster : 75 (Size : 318)<br>eg Vector : 0.5|0.39999999999999997|0.625|0.111...<br>Obs Prob : 0.9%<br>Pred Prob : 1.6%,31.8
76,1.7,2.2,Cluster : 76 (Size : 405)<br>eg Vector : 0.0|1.0|0.75|0.0|0|0|0|0<br>Obs Prob : 2.2%<br>Pred Prob : 1.7%,40.5
77,1.7,1.3,Cluster : 77 (Size : 307)<br>eg Vector : 0.5|0.0|0.25|0.0|0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 1.7%,30.7
78,1.7,2.0,Cluster : 78 (Size : 245)<br>eg Vector : 0.0|0.19999999999999998|0.375|0.111...<br>Obs Prob : 2.0%<br>Pred Prob : 1.7%,24.5
79,1.7,2.2,Cluster : 79 (Size : 365)<br>eg Vector : 0.0|0.6000000000000001|0.625|0.0|0|0|0|0<br>Obs Prob : 2.2%<br>Pred Prob : 1.7%,36.5
80,1.7,1.7,Cluster : 80 (Size : 303)<br>eg Vector : 0.0|0.39999999999999997|0.625|0.111...<br>Obs Prob : 1.7%<br>Pred Prob : 1.7%,30.3
81,1.7,1.2,Cluster : 81 (Size : 893)<br>eg Vector : 0.5|0.19999999999999998|0.375|0.0|0...<br>Obs Prob : 1.2%<br>Pred Prob : 1.7%,89.3
82,1.7,2.8,Cluster : 82 (Size : 253)<br>eg Vector : 0.5|0.19999999999999998|0.5|0.11111...<br>Obs Prob : 2.8%<br>Pred Prob : 1.7%,25.3
83,1.8,1.1,Cluster : 83 (Size : 528)<br>eg Vector : 0.0|0.19999999999999998|0.375|0.0|0...<br>Obs Prob : 1.1%<br>Pred Prob : 1.8%,52.8
84,1.8,1.8,Cluster : 84 (Size : 434)<br>eg Vector : 0.5|1.0|0.75|0.0|0|0|0|0<br>Obs Prob : 1.8%<br>Pred Prob : 1.8%,43.4
85,1.8,4.0,Cluster : 85 (Size : 252)<br>eg Vector : 0.5|0.6000000000000001|0.75|0.22222...<br>Obs Prob : 4.0%<br>Pred Prob : 1.8%,25.2
86,1.8,2.2,Cluster : 86 (Size : 510)<br>eg Vector : 0.5|0.19999999999999998|0.625|0.333...<br>Obs Prob : 2.2%<br>Pred Prob : 1.8%,51.0
87,1.9,0.5,Cluster : 87 (Size : 203)<br>eg Vector : 0.0|0.19999999999999998|0.625|0.0|0...<br>Obs Prob : 0.5%<br>Pred Prob : 1.9%,20.3
88,1.9,1.7,Cluster : 88 (Size : 347)<br>eg Vector : 0.5|0.0|0.375|0.1111111111111111|0|0|0|0<br>Obs Prob : 1.7%<br>Pred Prob : 1.9%,34.7
89,1.9,3.0,Cluster : 89 (Size : 337)<br>eg Vector : 0.5|0.0|0.5|0.2222222222222222|0|0|0|0<br>Obs Prob : 3.0%<br>Pred Prob : 1.9%,33.7
90,1.9,1.6,Cluster : 90 (Size : 500)<br>eg Vector : 0.5|0.7999999999999999|0.625|0.0|0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.9%,50.0
91,1.9,0.8,Cluster : 91 (Size : 379)<br>eg Vector : 0.5|0.6000000000000001|0.5|0.0|0|0|0|0<br>Obs Prob : 0.8%<br>Pred Prob : 1.9%,37.9
92,1.9,1.0,Cluster : 92 (Size : 205)<br>eg Vector : 0.5|0.39999999999999997|0.5|0.11111...<br>Obs Prob : 1.0%<br>Pred Prob : 1.9%,20.5
93,2.0,4.8,Cluster : 93 (Size : 248)<br>eg Vector : 0.0|0.7999999999999999|0.875|0.1111...<br>Obs Prob : 4.8%<br>Pred Prob : 2.0%,24.8
94,2.0,1.4,Cluster : 94 (Size : 416)<br>eg Vector : 0.5|0.19999999999999998|0.25|0.0|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 2.0%,41.6
95,2.0,1.7,Cluster : 95 (Size : 360)<br>eg Vector : 0.0|0.7999999999999999|0.625|0.0|0|0|0|0<br>Obs Prob : 1.7%<br>Pred Prob : 2.0%,36.0
96,2.0,2.4,Cluster : 96 (Size : 335)<br>eg Vector : 0.5|0.7999999999999999|0.625|0.1111...<br>Obs Prob : 2.4%<br>Pred Prob : 2.0%,33.5
97,2.0,1.8,Cluster : 97 (Size : 331)<br>eg Vector : 0.5|0.19999999999999998|0.375|0.111...<br>Obs Prob : 1.8%<br>Pred Prob : 2.0%,33.1
98,2.0,2.2,Cluster : 98 (Size : 986)<br>eg Vector : 0.5|0.39999999999999997|0.375|0.0|0...<br>Obs Prob : 2.2%<br>Pred Prob : 2.0%,98.6
99,2.0,2.0,Cluster : 99 (Size : 200)<br>eg Vector : 0.5|0.19999999999999998|0.5|0.22222...<br>Obs Prob : 2.0%<br>Pred Prob : 2.0%,20.0
100,2.0,0.7,Cluster : 100 (Size : 409)<br>eg Vector : 0.5|0.6000000000000001|0.625|0.1111...<br>Obs Prob : 0.7%<br>Pred Prob : 2.0%,40.9
101,2.1,1.5,Cluster : 101 (Size : 201)<br>eg Vector : 0.5|0.39999999999999997|0.875|0.0|0...<br>Obs Prob : 1.5%<br>Pred Prob : 2.1%,20.1
102,2.1,1.4,Cluster : 102 (Size : 555)<br>eg Vector : 0.0|0.39999999999999997|0.375|0.0|0...<br>Obs Prob : 1.4%<br>Pred Prob : 2.1%,55.5
103,2.1,3.9,Cluster : 103 (Size : 232)<br>eg Vector : 0.5|0.0|0.375|0.2222222222222222|0|0|0|0<br>Obs Prob : 3.9%<br>Pred Prob : 2.1%,23.2
104,2.1,2.8,Cluster : 104 (Size : 253)<br>eg Vector : 0.0|0.6000000000000001|0.5|0.111111...<br>Obs Prob : 2.8%<br>Pred Prob : 2.1%,25.3
105,2.1,2.4,Cluster : 105 (Size : 294)<br>eg Vector : 0.5|0.39999999999999997|0.5|0.22222...<br>Obs Prob : 2.4%<br>Pred Prob : 2.1%,29.4
106,2.2,4.5,Cluster : 106 (Size : 422)<br>eg Vector : 0.5|1.0|0.625|0.0|0|0|0|0<br>Obs Prob : 4.5%<br>Pred Prob : 2.2%,42.2
107,2.2,2.5,Cluster : 107 (Size : 200)<br>eg Vector : 0.0|0.7999999999999999|0.75|0.11111...<br>Obs Prob : 2.5%<br>Pred Prob : 2.2%,20.0
108,2.2,3.0,Cluster : 108 (Size : 201)<br>eg Vector : 0.5|0.0|0.5|0.4444444444444444|0|0|0|0<br>Obs Prob : 3.0%<br>Pred Prob : 2.2%,20.1
109,2.2,1.3,Cluster : 109 (Size : 229)<br>eg Vector : 0.0|0.39999999999999997|0.5|0.22222...<br>Obs Prob : 1.3%<br>Pred Prob : 2.2%,22.9
110,2.2,3.0,Cluster : 110 (Size : 397)<br>eg Vector : 0.5|0.39999999999999997|0.625|0.333...<br>Obs Prob : 3.0%<br>Pred Prob : 2.2%,39.7
111,2.2,2.2,Cluster : 111 (Size : 406)<br>eg Vector : 0.5|0.7999999999999999|0.5|0.0|0|0|0|0<br>Obs Prob : 2.2%<br>Pred Prob : 2.2%,40.6
112,2.3,2.2,Cluster : 112 (Size : 314)<br>eg Vector : 0.0|0.0|0.625|0.3333333333333333|0|0|0|0<br>Obs Prob : 2.2%<br>Pred Prob : 2.3%,31.4
113,2.3,1.2,Cluster : 113 (Size : 979)<br>eg Vector : 0.5|0.6000000000000001|0.375|0.0|0|0|0|0<br>Obs Prob : 1.2%<br>Pred Prob : 2.3%,97.9
114,2.3,2.7,Cluster : 114 (Size : 365)<br>eg Vector : 0.5|0.39999999999999997|0.375|0.111...<br>Obs Prob : 2.7%<br>Pred Prob : 2.3%,36.5
115,2.4,3.0,Cluster : 115 (Size : 271)<br>eg Vector : 0.0|0.19999999999999998|0.125|0.0|0...<br>Obs Prob : 3.0%<br>Pred Prob : 2.4%,27.1
116,2.4,1.5,Cluster : 116 (Size : 263)<br>eg Vector : 0.5|0.0|0.0|0.0|0|0|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 2.4%,26.3
117,2.4,2.9,Cluster : 117 (Size : 242)<br>eg Vector : 0.0|0.19999999999999998|0.25|0.1111...<br>Obs Prob : 2.9%<br>Pred Prob : 2.4%,24.2
118,2.4,1.2,Cluster : 118 (Size : 425)<br>eg Vector : 0.0|1.0|0.625|0.0|0|0|0|0<br>Obs Prob : 1.2%<br>Pred Prob : 2.4%,42.5
119,2.4,4.8,Cluster : 119 (Size : 293)<br>eg Vector : 0.5|0.7999999999999999|0.75|0.22222...<br>Obs Prob : 4.8%<br>Pred Prob : 2.4%,29.3
120,2.4,1.3,Cluster : 120 (Size : 236)<br>eg Vector : 0.0|0.0|0.375|0.2222222222222222|0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 2.4%,23.6
121,2.4,1.9,Cluster : 121 (Size : 419)<br>eg Vector : 0.5|0.39999999999999997|0.25|0.0|0|0|0|0<br>Obs Prob : 1.9%<br>Pred Prob : 2.4%,41.9
122,2.4,2.3,Cluster : 122 (Size : 304)<br>eg Vector : 0.5|1.0|0.625|0.1111111111111111|0|0|0|0<br>Obs Prob : 2.3%<br>Pred Prob : 2.4%,30.4
123,2.4,1.6,Cluster : 123 (Size : 254)<br>eg Vector : 0.5|0.19999999999999998|0.25|0.1111...<br>Obs Prob : 1.6%<br>Pred Prob : 2.4%,25.4
124,2.5,2.0,Cluster : 124 (Size : 342)<br>eg Vector : 0.5|0.19999999999999998|0.125|0.0|0...<br>Obs Prob : 2.0%<br>Pred Prob : 2.5%,34.2
125,2.5,3.0,Cluster : 125 (Size : 298)<br>eg Vector : 0.0|0.39999999999999997|0.625|0.333...<br>Obs Prob : 3.0%<br>Pred Prob : 2.5%,29.8
126,2.5,3.8,Cluster : 126 (Size : 236)<br>eg Vector : 0.5|0.0|0.375|0.3333333333333333|0|0|0|0<br>Obs Prob : 3.8%<br>Pred Prob : 2.5%,23.6
127,2.5,1.9,Cluster : 127 (Size : 212)<br>eg Vector : 0.0|0.39999999999999997|0.375|0.111...<br>Obs Prob : 1.9%<br>Pred Prob : 2.5%,21.2
128,2.5,2.1,Cluster : 128 (Size : 560)<br>eg Vector : 0.0|0.6000000000000001|0.375|0.0|0|0|0|0<br>Obs Prob : 2.1%<br>Pred Prob : 2.5%,56.0
129,2.5,2.8,Cluster : 129 (Size : 217)<br>eg Vector : 0.5|0.19999999999999998|0.5|0.44444...<br>Obs Prob : 2.8%<br>Pred Prob : 2.5%,21.7
130,2.5,3.3,Cluster : 130 (Size : 335)<br>eg Vector : 0.5|0.19999999999999998|0.375|0.222...<br>Obs Prob : 3.3%<br>Pred Prob : 2.5%,33.5
131,2.6,3.0,Cluster : 131 (Size : 201)<br>eg Vector : 0.0|0.6000000000000001|0.25|0.0|0|0|0|1<br>Obs Prob : 3.0%<br>Pred Prob : 2.6%,20.1
132,2.6,3.0,Cluster : 132 (Size : 230)<br>eg Vector : 0.0|0.7999999999999999|0.875|0.0|0|1|0|0<br>Obs Prob : 3.0%<br>Pred Prob : 2.6%,23.0
133,2.6,3.0,Cluster : 133 (Size : 361)<br>eg Vector : 0.5|1.0|0.5|0.0|0|0|0|0<br>Obs Prob : 3.0%<br>Pred Prob : 2.6%,36.1
134,2.6,4.0,Cluster : 134 (Size : 303)<br>eg Vector : 0.5|0.6000000000000001|0.625|0.2222...<br>Obs Prob : 4.0%<br>Pred Prob : 2.6%,30.3
135,2.7,3.9,Cluster : 135 (Size : 206)<br>eg Vector : 0.0|0.6000000000000001|0.75|0.22222...<br>Obs Prob : 3.9%<br>Pred Prob : 2.7%,20.6
136,2.7,2.7,Cluster : 136 (Size : 225)<br>eg Vector : 0.5|0.6000000000000001|0.625|0.3333...<br>Obs Prob : 2.7%<br>Pred Prob : 2.7%,22.5
137,2.7,1.3,Cluster : 137 (Size : 393)<br>eg Vector : 0.5|0.6000000000000001|0.25|0.0|0|0|0|0<br>Obs Prob : 1.3%<br>Pred Prob : 2.7%,39.3
138,2.7,2.1,Cluster : 138 (Size : 874)<br>eg Vector : 0.5|0.7999999999999999|0.375|0.0|0|0|0|0<br>Obs Prob : 2.1%<br>Pred Prob : 2.7%,87.4
139,2.7,2.2,Cluster : 139 (Size : 320)<br>eg Vector : 0.5|0.6000000000000001|0.375|0.1111...<br>Obs Prob : 2.2%<br>Pred Prob : 2.7%,32.0
140,2.8,4.5,Cluster : 140 (Size : 201)<br>eg Vector : 0.5|0.39999999999999997|0.25|0.1111...<br>Obs Prob : 4.5%<br>Pred Prob : 2.8%,20.1
141,2.8,2.4,Cluster : 141 (Size : 246)<br>eg Vector : 0.5|0.39999999999999997|0.625|0.0|0...<br>Obs Prob : 2.4%<br>Pred Prob : 2.8%,24.6
142,2.8,2.3,Cluster : 142 (Size : 433)<br>eg Vector : 0.0|0.7999999999999999|0.375|0.0|0|0|0|0<br>Obs Prob : 2.3%<br>Pred Prob : 2.8%,43.3
143,2.8,3.8,Cluster : 143 (Size : 266)<br>eg Vector : 0.5|0.7999999999999999|0.5|0.111111...<br>Obs Prob : 3.8%<br>Pred Prob : 2.8%,26.6
144,2.8,2.8,Cluster : 144 (Size : 253)<br>eg Vector : 0.5|0.39999999999999997|0.25|0.1111...<br>Obs Prob : 2.8%<br>Pred Prob : 2.8%,25.3
145,2.8,3.9,Cluster : 145 (Size : 231)<br>eg Vector : 0.5|0.6000000000000001|0.5|0.222222...<br>Obs Prob : 3.9%<br>Pred Prob : 2.8%,23.1
146,2.8,2.5,Cluster : 146 (Size : 242)<br>eg Vector : 0.5|0.19999999999999998|0.375|0.333...<br>Obs Prob : 2.5%<br>Pred Prob : 2.8%,24.2
147,2.9,1.9,Cluster : 147 (Size : 216)<br>eg Vector : 0.5|1.0|0.75|0.2222222222222222|0|1|0|0<br>Obs Prob : 1.9%<br>Pred Prob : 2.9%,21.6
