"Total, x; Category, x; Event, x; Marketing, x; Suggested, x; Other, x","Total, y","Category, y","Event, y","Marketing, y","Suggested, y","Other, y"
2017-11-10,5541.5,467.69,2066.53,539.67,2250.71,216.9
2017-11-11,6730.47,1223.21,2391.08,944.41,1898.96,272.81
2017-11-12,6518.39,1027.24,2326.25,583.49,2327.55,253.86
2017-11-13,5532.1,474.74,2290.15,882.31,1469.12,415.78
2017-11-14,4614.14,689.51,1713.02,417.72,1683.02,110.87
2017-11-15,4546.43,1392.46,1408.04,202.79,1323.28,219.86
2017-11-16,5354.75,1269.24,1513.71,491.34,1720.65,359.81
2017-11-17,5123.5,759.47,1951.52,669.46,1327.2,415.85
2017-11-18,6828.55,1649.66,2490.76,709.42,1533,445.71
2017-11-19,4688.45,895.05,1601.93,818.39,1165.22,207.86
2017-11-20,4226.68,494.76,1450.35,364.68,1827.96,88.93
2017-11-21,5500.81,1565.21,1825.72,375.69,1624.32,109.87
2017-11-22,3902.27,776.38,1103.12,527.65,1248.31,246.81
2017-11-23,3973.43,907.53,1106.16,485.63,1370.19,103.92
2017-11-24,8382.08,1051.35,4010.43,604.53,2250.11,465.66
2017-11-25,5736.96,855.47,2128.54,444.68,1886.04,422.23
2017-11-26,5099.35,633.41,1877.57,633.45,1563.1,391.82
2017-11-27,12700.93,2068.24,4586.62,822.6,4866.75,356.72
2017-11-28,6216.15,863.53,1782.61,907.37,2245.89,416.75
2017-11-29,5805.22,1107.34,1753.73,681.57,1857.76,404.82
2017-11-30,6282.56,1312.31,1673.19,938.26,1967.01,391.79
2017-12-01,6618.01,1312,2300.47,808.44,1823.51,373.59
2017-12-02,7438.49,1599.99,2658.14,1124.22,1745.38,310.76
2017-12-03,8139.78,1479.05,3167.77,922.34,2286.83,283.79
2017-12-04,8303.62,979.37,2561.48,1097.32,2479.72,1185.73
2017-12-05,6349.31,889.49,1671.02,823.39,2608.26,357.15
2017-12-06,6562.93,1667.18,1923.67,985.32,1683.98,302.78
2017-12-07,7955.7,1281.23,2226.43,1157.18,2922,368.86
2017-12-08,6557.18,799.49,1998.66,706.47,2648.86,403.7
2017-12-09,7341.95,1991.91,2331.82,561.58,2177.81,278.83
2017-12-10,7045.57,1082.28,2711.27,382.67,2744.44,124.91
2017-12-11,4911.79,864.44,2053.69,579.55,1205.27,208.84
2017-12-12,9103.35,1264.4,2324.27,1207.74,3850.42,456.52
2017-12-13,6174.76,1347.17,1714.64,1333.16,1699.86,79.93
2017-12-14,5757.06,1365.22,1816.98,560.59,1847.39,166.88
2017-12-15,6954.59,1162.2,2280.42,685.52,2595.62,230.83
2017-12-16,6262.15,994.34,1627.96,1200.28,2083.82,355.75
2017-12-17,5359.54,886.55,1840.79,672.5,1512.95,446.75
2017-12-18,5789.24,1143.38,1710.76,534.56,1557.75,842.79
2017-12-19,5227.3,1146.18,1883.73,779.37,1052.29,365.73
2017-12-20,4761.39,735.7,1409.08,495.6,1834.18,286.83
2017-12-21,4722.93,645.59,1700.94,673.51,1385.13,317.76
2017-12-22,4050.3,621.56,1719.79,485.61,1058.43,164.91
2017-12-23,4272.22,527.69,1593.61,284.8,1664.27,201.85
2017-12-24,3374.84,414.75,1195.24,459.57,883.46,421.82
2017-12-25,4454.7,244.59,943.97,449.61,2679.63,136.9
2017-12-26,5335.63,559.63,2343.32,934.23,1427.52,70.93
2017-12-27,4919.72,975.41,1526.79,915.37,1306.25,195.9
2017-12-28,5628.37,938.36,1438.86,1027.32,1916.99,306.84
2017-12-29,6743.77,649.55,2531.27,1798.98,1353.22,410.75
2017-12-30,7033.78,1017.39,2398,747.64,2598.95,271.8
2017-12-31,7781.39,1382.67,2642.29,1321.08,2024.66,410.69
2018-01-01,5760.03,716.59,1965.37,1198.15,1311.2,568.72
2018-01-02,7234.46,1238.29,2897.23,963.22,1834.88,300.84
2018-01-03,6884.75,1047.98,1784.76,1236.09,2119.33,696.59
2018-01-04,8466.52,1698.79,1768.07,1409.03,3108.98,481.65
2018-01-05,8295.82,1424.41,2256.23,1486.61,2793.81,334.76
2018-01-06,8034.71,1144.05,2859.79,846.44,2409.81,774.62
2018-01-07,7475.6,1306.24,2453.26,964.26,2311.15,440.69
2018-01-08,6546.34,1482.91,1963.5,796.35,1772.9,530.68
2018-01-09,9145.68,1049.1,3184.11,1061.34,3215.66,635.47
2018-01-10,5789.37,1040.01,1714.84,687.42,1731.43,615.67
2018-01-11,6285.5,1095.36,1742.9,761.45,2332.02,353.77
2018-01-12,2813.12,417.69,936.4,541.52,750.6,166.91
