"Exchange Deposit Amount(Token), x; Exchange Daily Remain Amount(Token), x","Exchange Deposit Amount(Token), y","Exchange Daily Remain Amount(Token), y","Price(USD), x","Price(USD), y"
2017-12-21 20:00:00,5708829.360737699,5708456.735737699,2017-12-22 07:20:02,0.766401
2017-12-21 21:00:00,0,0,2017-12-22 07:35:00,0.728519
2017-12-21 22:00:00,4739921.50836,4691962.51736,2017-12-22 07:49:58,0.709304
2017-12-21 23:00:00,0,-52072.893,2017-12-22 08:04:56,0.730085
2017-12-22,1078940.708,1070029.783,2017-12-22 08:19:57,0.72373
2017-12-22 01:00:00,0,-11030.952,2017-12-22 08:34:59,0.734245
2017-12-22 02:00:00,5000.0,-93051.38899999,2017-12-22 08:49:58,0.7578
2017-12-22 03:00:00,23708.0,11670.05,2017-12-22 09:04:59,0.763508
2017-12-22 04:00:00,0,-11663.838,2017-12-22 09:19:56,0.772542
2017-12-22 05:00:00,141000.0,137366.534,2017-12-22 09:34:55,0.805056
2017-12-22 06:00:00,193650.0,165984.277,2017-12-22 09:49:57,0.808921
2017-12-22 07:00:00,600315.0,591028.128,2017-12-22 10:04:57,0.804082
2017-12-22 08:00:00,146690.0,119218.476,2017-12-22 10:19:54,0.801029
2017-12-22 09:00:00,100000.0,99841.161,2017-12-22 10:34:54,0.853112
2017-12-22 10:00:00,908551.3039,899241.9619000001,2017-12-22 10:49:55,0.870686
2017-12-22 11:00:00,4019.0,-12819.892,2017-12-22 11:04:54,0.85
2017-12-22 12:00:00,0,-43293.0,2017-12-22 11:19:53,0.86359
2017-12-22 13:00:00,4500.0,-3230.578,2017-12-22 11:34:53,0.857274
2017-12-22 14:00:00,0,-3696.718,2017-12-22 11:49:52,0.811394
2017-12-22 15:00:00,8193563.5413,8167168.5413,2017-12-22 12:04:51,0.820776
2017-12-22 16:00:00,0,-7602.389,2017-12-22 12:19:52,0.839646
2017-12-22 17:00:00,853.29799999,-124660.64300001,2017-12-22 12:34:57,0.828689
2017-12-22 18:00:00,0,-9240.746,2017-12-22 12:49:55,0.832452
2017-12-22 19:00:00,6162.63299996,-438846.5250000401,2017-12-22 13:04:57,0.805017
2017-12-22 20:00:00,454500.0,454481.0,2017-12-22 13:19:57,0.766872
2017-12-22 21:00:00,0,-149861.25,2017-12-22 13:34:59,0.708086
2017-12-22 22:00:00,0,-6880.109,2017-12-22 13:49:56,0.7348
2017-12-22 23:00:00,0,-854.143,2017-12-22 14:04:56,0.687177
2017-12-23,0,-32395.6,2017-12-22 14:20:00,0.639566
2017-12-23 01:00:00,2332059.2953000003,2331851.2953000003,2017-12-22 14:35:07,0.658884
2017-12-23 02:00:00,0,-199.0,2017-12-22 14:50:03,0.650055
2017-12-23 03:00:00,0,-19464.505,2017-12-22 15:05:00,0.674326
2017-12-23 04:00:00,22007.0,-3998.0,2017-12-22 15:19:59,0.699799
2017-12-23 05:00:00,0,-70195.2545,2017-12-22 15:35:02,0.749599
2017-12-23 06:00:00,0,-4081.945,2017-12-22 15:50:02,0.768651
2017-12-23 07:00:00,10000.0,-15176.321,2017-12-22 16:05:02,0.750634
2017-12-23 08:00:00,8000.0,-119081.914,2017-12-22 16:21:51,0.743651
2017-12-23 09:00:00,0,-1353.0,2017-12-22 16:35:09,0.717108
2017-12-23 10:00:00,48346.0152,42644.0152,2017-12-22 16:50:02,0.741545
2017-12-23 11:00:00,20000.0,20000.0,2017-12-22 17:04:52,0.75508
2017-12-23 12:00:00,0,-15772.108,2017-12-22 17:20:01,0.75899
2017-12-23 13:00:00,76070.0,65509.575,2017-12-22 17:35:09,0.787415
2017-12-23 14:00:00,1753.0026,-635397.7294,2017-12-22 17:50:12,0.755077
2017-12-23 15:00:00,0,-54909.634,2017-12-22 18:04:48,0.774943
2017-12-23 16:00:00,0,-39073.0,2017-12-22 18:19:44,0.766565
2017-12-23 17:00:00,0,-50548.0,2017-12-22 18:34:50,0.7944
2017-12-23 18:00:00,0,-45514.991,2017-12-22 18:49:44,0.79873
2017-12-23 19:00:00,0,-4658.331,2017-12-22 19:04:52,0.806759
2017-12-23 20:00:00,0,-2852.139,2017-12-22 19:20:01,0.813194
2017-12-23 21:00:00,0,-64931.29,2017-12-22 19:35:05,0.803716
2017-12-23 22:00:00,50000.0,45775.431,2017-12-22 19:50:07,0.779155
2017-12-23 23:00:00,0,-1263.729,2017-12-22 20:05:03,0.792124
2017-12-24,0,-56727.2425,2017-12-22 20:20:02,0.826867
2017-12-24 01:00:00,0,-11469.563,2017-12-22 20:35:03,0.852927
2017-12-24 02:00:00,0,-1807.935,2017-12-22 20:50:02,0.871543
2017-12-24 03:00:00,349.596,-130140.256,2017-12-22 21:05:04,0.860294
2017-12-24 04:00:00,0,-13463.86,2017-12-22 21:20:06,0.854259
2017-12-24 05:00:00,0,-23641.35,2017-12-22 21:34:45,0.859841
2017-12-24 06:00:00,0,-48306.0,2017-12-22 21:49:48,0.864236
2017-12-24 07:00:00,0,0,2017-12-22 22:04:44,0.852099
2017-12-24 08:00:00,0,0,2017-12-22 22:19:45,0.860121
2017-12-24 09:00:00,0,0,2017-12-22 22:34:44,0.887644
2017-12-24 10:00:00,0,0,2017-12-22 22:49:45,0.864774
2017-12-24 11:00:00,0,0,2017-12-22 23:04:46,0.865648
2017-12-24 12:00:00,0,0,2017-12-22 23:19:44,0.872672
2017-12-24 13:00:00,0,0,2017-12-22 23:34:42,0.84444
2017-12-24 14:00:00,0,0,2017-12-22 23:49:42,0.805462
2017-12-24 15:00:00,0,0,2017-12-23 00:04:41,0.814893
2017-12-24 16:00:00,0,0,2017-12-23 00:19:38,0.833253
2017-12-24 17:00:00,0,0,2017-12-23 00:34:40,0.846228
2017-12-24 18:00:00,0,0,2017-12-23 00:49:40,0.839112
2017-12-24 19:00:00,0,0,2017-12-23 01:04:40,0.851466
2017-12-24 20:00:00,0,0,2017-12-23 01:19:37,0.878509
2017-12-24 21:00:00,0,0,2017-12-23 01:34:39,0.885816
2017-12-24 22:00:00,0,0,2017-12-23 01:49:38,0.900948
2017-12-24 23:00:00,0,0,2017-12-23 02:04:38,0.921181
2017-12-25,0,0,2017-12-23 02:19:36,0.932491
2017-12-25 01:00:00,0,0,2017-12-23 02:34:36,0.951242
2017-12-25 02:00:00,0,0,2017-12-23 02:49:36,0.935782
2017-12-25 03:00:00,0,0,2017-12-23 03:04:38,0.960636
2017-12-25 04:00:00,0,0,2017-12-23 03:19:37,0.940581
2017-12-25 05:00:00,0,0,2017-12-23 03:34:38,0.952967
2017-12-25 06:00:00,0,0,2017-12-23 03:49:36,0.985328
2017-12-25 07:00:00,0,0,2017-12-23 04:04:37,0.997487
2017-12-25 08:00:00,0,0,2017-12-23 04:19:36,1.00517
2017-12-25 09:00:00,0,0,2017-12-23 04:34:36,1.00753
2017-12-25 10:00:00,0,0,2017-12-23 04:49:39,1.01475
2017-12-25 11:00:00,0,0,2017-12-23 05:04:39,0.992459
2017-12-25 12:00:00,0,0,2017-12-23 05:19:46,0.969371
2017-12-25 13:00:00,0,0,2017-12-23 05:34:40,0.977698
2017-12-25 14:00:00,0,0,2017-12-23 05:49:40,0.96189
2017-12-25 15:00:00,0,0,2017-12-23 06:04:41,0.943138
2017-12-25 16:00:00,0,0,2017-12-23 06:19:41,0.92535
2017-12-25 17:00:00,0,0,2017-12-23 06:34:41,0.931321
2017-12-25 18:00:00,0,0,2017-12-23 06:49:40,0.917611
2017-12-25 19:00:00,0,0,2017-12-23 07:04:50,0.938339
2017-12-25 20:00:00,0,0,2017-12-23 07:19:52,0.956215
2017-12-25 21:00:00,0,0,2017-12-23 07:34:55,0.974465
2017-12-25 22:00:00,0,0,2017-12-23 07:50:01,0.987931
2017-12-25 23:00:00,0,0,2017-12-23 08:05:04,0.973038
2017-12-26,0,0,2017-12-23 08:19:58,0.999097
2017-12-26 01:00:00,0,0,2017-12-23 08:34:59,1.013
2017-12-26 02:00:00,0,0,2017-12-23 08:50:02,1.00015
2017-12-26 03:00:00,0,0,2017-12-23 09:05:01,1.00717
2017-12-26 04:00:00,0,0,2017-12-23 09:20:00,0.99183
2017-12-26 05:00:00,0,0,2017-12-23 09:34:57,0.992971
2017-12-26 06:00:00,0,0,2017-12-23 09:50:00,1.00662
2017-12-26 07:00:00,0,0,2017-12-23 10:05:05,1.0361
2017-12-26 08:00:00,0,0,2017-12-23 10:20:01,1.0583
2017-12-26 09:00:00,0,0,2017-12-23 10:35:04,1.06196
2017-12-26 10:00:00,0,0,2017-12-23 10:50:05,1.11937
2017-12-26 11:00:00,0,0,2017-12-23 11:05:21,1.16855
2017-12-26 12:00:00,0,0,2017-12-23 11:20:19,1.17616
2017-12-26 13:00:00,0,0,2017-12-23 11:35:12,1.26559
2017-12-26 14:00:00,0,0,2017-12-23 11:50:04,1.28479
2017-12-26 15:00:00,0,0,2017-12-23 12:05:15,1.34577
2017-12-26 16:00:00,0,0,2017-12-23 12:20:08,1.27318
2017-12-26 17:00:00,0,0,2017-12-23 12:35:13,1.19857
2017-12-26 18:00:00,0,0,2017-12-23 12:50:07,1.22833
2017-12-26 19:00:00,0,0,2017-12-23 13:05:15,1.21347
2017-12-26 20:00:00,0,0,2017-12-23 13:20:10,1.20048
2017-12-26 21:00:00,0,0,2017-12-23 13:35:12,1.19659
2017-12-26 22:00:00,0,0,2017-12-23 13:50:15,1.19129
2017-12-26 23:00:00,0,0,2017-12-23 14:05:19,1.2072
2017-12-27,0,0,2017-12-23 14:20:18,1.2485
2017-12-27 01:00:00,0,0,2017-12-23 14:35:19,1.21867
2017-12-27 02:00:00,0,0,2017-12-23 14:50:31,1.22829
2017-12-27 03:00:00,0,0,2017-12-23 15:05:41,1.23419
2017-12-27 04:00:00,0,0,2017-12-23 15:20:42,1.25405
2017-12-27 05:00:00,0,0,2017-12-23 15:35:36,1.23909
2017-12-27 06:00:00,0,0,2017-12-23 15:50:41,1.24687
2017-12-27 07:00:00,0,0,2017-12-23 16:05:33,1.23892
2017-12-27 08:00:00,0,0,2017-12-23 16:23:15,1.2233
2017-12-27 09:00:00,0,0,2017-12-23 16:37:24,1.2396
2017-12-27 10:00:00,0,0,2017-12-23 16:52:31,1.2389
2017-12-27 11:00:00,0,0,2017-12-23 17:07:45,1.24274
2017-12-27 12:00:00,0,0,2017-12-23 17:22:21,1.22303
2017-12-27 13:00:00,0,0,2017-12-23 17:36:53,1.19696
2017-12-27 14:00:00,0,0,2017-12-23 17:52:37,1.18343
2017-12-27 15:00:00,0,0,2017-12-23 18:07:00,1.21759
2017-12-27 16:00:00,0,0,2017-12-23 18:20:52,1.19911
2017-12-27 17:00:00,0,0,2017-12-23 18:36:05,1.20772
2017-12-27 18:00:00,0,0,2017-12-23 18:50:55,1.19292
2017-12-27 19:00:00,0,0,2017-12-23 19:06:02,1.18415
2017-12-27 20:00:00,0,0,2017-12-23 19:20:48,1.1888
2017-12-27 21:00:00,0,0,2017-12-23 19:36:11,1.21765
2017-12-27 22:00:00,0,0,2017-12-23 19:50:57,1.21443
2017-12-27 23:00:00,0,0,2017-12-23 20:05:43,1.21995
2017-12-28,0,0,2017-12-23 20:20:52,1.21792
2017-12-28 01:00:00,0,0,2017-12-23 20:36:03,1.22015
2017-12-28 02:00:00,0,0,2017-12-23 20:49:59,1.21691
2017-12-28 03:00:00,0,0,2017-12-23 21:05:06,1.20939
2017-12-28 04:00:00,0,0,2017-12-23 21:20:08,1.22018
2017-12-28 05:00:00,0,0,2017-12-23 21:35:05,1.18815
2017-12-28 06:00:00,0,0,2017-12-23 21:50:09,1.18282
2017-12-28 07:00:00,0,0,2017-12-23 22:04:59,1.18176
2017-12-28 08:00:00,0,0,2017-12-23 22:20:00,1.18346
2017-12-28 09:00:00,0,0,2017-12-23 22:35:03,1.20969
2017-12-28 10:00:00,0,0,2017-12-23 22:50:06,1.18614
2017-12-28 11:00:00,0,0,2017-12-23 23:04:55,1.155
2017-12-28 12:00:00,0,0,2017-12-23 23:19:55,1.14658
2017-12-28 13:00:00,0,0,2017-12-23 23:34:55,1.13474
2017-12-28 14:00:00,0,0,2017-12-23 23:49:58,1.08364
2017-12-28 15:00:00,0,0,2017-12-24 00:05:00,1.10627
2017-12-28 16:00:00,0,0,2017-12-24 00:19:55,1.08492
2017-12-28 17:00:00,0,0,2017-12-24 00:34:53,1.0814
2017-12-28 18:00:00,0,0,2017-12-24 00:49:54,1.11899
2017-12-28 19:00:00,0,0,2017-12-24 01:04:52,1.13968
2017-12-28 20:00:00,0,0,2017-12-24 01:19:46,1.15148
2017-12-28 21:00:00,0,0,2017-12-24 01:34:49,1.14485
2017-12-28 22:00:00,0,0,2017-12-24 01:49:45,1.14539
2017-12-28 23:00:00,0,0,2017-12-24 02:04:45,1.11292
2017-12-29,0,0,2017-12-24 02:19:45,1.07516
2017-12-29 01:00:00,0,0,2017-12-24 02:34:43,1.07328
2017-12-29 02:00:00,0,0,2017-12-24 02:49:41,1.05824
2017-12-29 03:00:00,0,0,2017-12-24 03:04:42,1.00966
2017-12-29 04:00:00,0,0,2017-12-24 03:19:40,1.04284
2017-12-29 05:00:00,0,0,2017-12-24 03:34:41,1.05374
2017-12-29 06:00:00,0,0,2017-12-24 03:49:40,1.07757
2017-12-29 07:00:00,0,0,2017-12-24 04:04:39,1.05343
2017-12-29 08:00:00,0,0,2017-12-24 04:19:38,1.04931
2017-12-29 09:00:00,0,0,2017-12-24 04:34:38,1.02367
2017-12-29 10:00:00,0,0,2017-12-24 04:49:38,1.00054
2017-12-29 11:00:00,0,0,2017-12-24 05:04:39,1.01662
2017-12-29 12:00:00,0,0,2017-12-24 05:19:39,1.01953
2017-12-29 13:00:00,0,0,2017-12-24 05:34:38,0.949681
2017-12-29 14:00:00,0,0,2017-12-24 05:49:40,0.964228
2017-12-29 15:00:00,0,0,2017-12-24 06:04:40,0.992267
2017-12-29 16:00:00,0,0,2017-12-24 06:19:40,0.989468
2017-12-29 17:00:00,0,0,2017-12-24 06:34:41,1.00883
2017-12-29 18:00:00,0,0,2017-12-24 06:49:41,1.02081
2017-12-29 19:00:00,0,0,2017-12-24 07:04:48,1.04118
2017-12-29 20:00:00,0,0,2017-12-24 07:19:51,1.08064
2017-12-29 21:00:00,0,0,2017-12-24 07:34:51,1.07619
2017-12-29 22:00:00,0,0,2017-12-24 07:49:52,1.05334
2017-12-29 23:00:00,0,0,2017-12-24 08:04:54,1.04965
2017-12-30,0,0,2017-12-24 08:19:56,1.04681
2017-12-30 01:00:00,0,0,2017-12-24 08:34:54,1.04839
2017-12-30 02:00:00,0,0,2017-12-24 08:49:53,1.09663
2017-12-30 03:00:00,0,0,2017-12-24 09:04:55,1.0865
2017-12-30 04:00:00,0,0,2017-12-24 09:20:09,1.06053
2017-12-30 05:00:00,0,0,2017-12-24 09:35:08,1.04525
2017-12-30 06:00:00,0,0,2017-12-24 09:50:07,1.02721
2017-12-30 07:00:00,0,0,2017-12-24 10:05:12,0.975824
2017-12-30 08:00:00,0,0,2017-12-24 10:20:13,0.962176
2017-12-30 09:00:00,0,0,2017-12-24 10:35:13,0.946183
2017-12-30 10:00:00,0,0,2017-12-24 10:50:16,0.953608
2017-12-30 11:00:00,0,0,2017-12-24 11:05:13,0.971344
2017-12-30 12:00:00,0,0,2017-12-24 11:20:07,0.951683
2017-12-30 13:00:00,0,0,2017-12-24 11:35:11,0.909639
2017-12-30 14:00:00,0,0,2017-12-24 11:50:13,0.915994
2017-12-30 15:00:00,0,0,2017-12-24 12:05:05,0.935313
2017-12-30 16:00:00,0,0,2017-12-24 12:20:03,0.942584
2017-12-30 17:00:00,0,0,2017-12-24 12:35:09,0.941268
2017-12-30 18:00:00,0,0,2017-12-24 12:49:55,0.922087
2017-12-30 19:00:00,0,0,2017-12-24 13:04:58,0.939992
2017-12-30 20:00:00,0,0,2017-12-24 13:19:55,0.966046
2017-12-30 21:00:00,0,0,2017-12-24 13:34:59,0.980033
2017-12-30 22:00:00,0,0,2017-12-24 13:49:55,0.978472
2017-12-30 23:00:00,0,0,2017-12-24 14:04:58,0.999767
2017-12-31,0,0,2017-12-24 14:20:01,1.00694
2017-12-31 01:00:00,0,0,2017-12-24 14:35:07,1.02788
2017-12-31 02:00:00,0,0,2017-12-24 14:50:12,1.047
2017-12-31 03:00:00,0,0,2017-12-24 15:05:04,1.09805
2017-12-31 04:00:00,0,0,2017-12-24 15:20:10,1.11366
2017-12-31 05:00:00,0,0,2017-12-24 15:35:15,1.05279
2017-12-31 06:00:00,0,0,2017-12-24 15:50:13,1.08557
2017-12-31 07:00:00,0,0,2017-12-24 16:08:48,1.06949
2017-12-31 08:00:00,0,0,2017-12-24 16:23:05,1.06617
2017-12-31 09:00:00,0,0,2017-12-24 16:34:37,1.04104
2017-12-31 10:00:00,0,0,2017-12-24 16:49:36,1.0457
2017-12-31 11:00:00,0,0,2017-12-24 17:04:36,1.02071
2017-12-31 12:00:00,0,0,2017-12-24 17:19:46,1.02359
2017-12-31 13:00:00,0,0,2017-12-24 17:34:52,1.02215
2017-12-31 14:00:00,0,0,2017-12-24 17:49:55,1.01316
2017-12-31 15:00:00,0,0,2017-12-24 18:04:53,1.01618
2017-12-31 16:00:00,0,0,2017-12-24 18:19:56,1.00004
2017-12-31 17:00:00,0,0,2017-12-24 18:34:57,1.00431
2017-12-31 18:00:00,0,0,2017-12-24 18:49:56,1.01803
2017-12-31 19:00:00,0,0,2017-12-24 19:04:54,1.01094
2017-12-31 20:00:00,0,0,2017-12-24 19:19:56,0.984939
2017-12-31 21:00:00,0,0,2017-12-24 19:34:52,1.00555
2017-12-31 22:00:00,0,0,2017-12-24 19:49:51,1.00393
2017-12-31 23:00:00,0,0,2017-12-24 20:04:52,0.999428
2018-01-01,0,0,2017-12-24 20:19:44,1.02931
2018-01-01 01:00:00,0,0,2017-12-24 20:34:45,1.02305
2018-01-01 02:00:00,0,0,2017-12-24 20:49:44,1.0197
2018-01-01 03:00:00,0,0,2017-12-24 21:04:48,1.03138
2018-01-01 04:00:00,0,0,2017-12-24 21:19:49,1.02818
2018-01-01 05:00:00,0,0,2017-12-24 21:34:45,1.0137
2018-01-01 06:00:00,0,0,2017-12-24 21:49:45,1.01347
2018-01-01 07:00:00,0,0,2017-12-24 22:04:46,1.01084
2018-01-01 08:00:00,0,0,2017-12-24 22:19:43,0.986507
2018-01-01 09:00:00,0,0,2017-12-24 22:34:44,1.00118
2018-01-01 10:00:00,0,0,2017-12-24 22:49:43,1.01267
2018-01-01 11:00:00,0,0,2017-12-24 23:04:44,1.03855
2018-01-01 12:00:00,0,0,2017-12-24 23:19:44,1.06682
2018-01-01 13:00:00,0,0,2017-12-24 23:34:18,1.0493
2018-01-01 14:00:00,0,0,2017-12-24 23:49:17,1.02308
2018-01-01 15:00:00,0,0,2017-12-25 00:04:18,1.04337
2018-01-01 16:00:00,0,0,2017-12-25 00:19:18,1.04449
2018-01-01 17:00:00,0,0,2017-12-25 00:34:18,1.0381
2018-01-01 18:00:00,0,0,2017-12-25 00:49:17,1.05934
2018-01-01 19:00:00,0,0,2017-12-25 01:04:17,1.03314
2018-01-01 20:00:00,0,0,2017-12-25 01:19:17,1.0174
2018-01-01 21:00:00,0,0,2017-12-25 01:34:18,1.03226
2018-01-01 22:00:00,0,0,2017-12-25 01:49:18,1.03786
2018-01-01 23:00:00,0,0,2017-12-25 02:04:19,1.05732
2018-01-02,0,0,2017-12-25 02:19:17,1.06337
2018-01-02 01:00:00,0,0,2017-12-25 02:34:18,1.0703
2018-01-02 02:00:00,0,0,2017-12-25 02:49:18,1.06426
2018-01-02 03:00:00,0,0,2017-12-25 03:04:17,1.04568
2018-01-02 04:00:00,0,0,2017-12-25 03:19:18,1.04806
2018-01-02 05:00:00,0,0,2017-12-25 03:34:18,1.06021
2018-01-02 06:00:00,0,0,2017-12-25 03:49:18,1.06279
2018-01-02 07:00:00,0,0,2017-12-25 04:04:18,1.0496
2018-01-02 08:00:00,0,0,2017-12-25 04:19:18,1.06628
2018-01-02 09:00:00,0,0,2017-12-25 04:34:18,1.0835
2018-01-02 10:00:00,0,0,2017-12-25 04:49:17,1.11701
2018-01-02 11:00:00,0,0,2017-12-25 05:04:18,1.12636
2018-01-02 12:00:00,0,0,2017-12-25 05:19:19,1.1253
2018-01-02 13:00:00,0,0,2017-12-25 05:34:18,1.12128
2018-01-02 14:00:00,0,0,2017-12-25 05:49:17,1.08107
2018-01-02 15:00:00,0,0,2017-12-25 06:04:18,1.06021
2018-01-02 16:00:00,0,0,2017-12-25 06:19:17,1.08958
2018-01-02 17:00:00,0,0,2017-12-25 06:34:17,1.06882
2018-01-02 18:00:00,0,0,2017-12-25 06:49:18,1.04235
2018-01-02 19:00:00,0,0,2017-12-25 07:04:18,1.04618
2018-01-02 20:00:00,0,0,2017-12-25 07:19:18,1.0598
2018-01-02 21:00:00,0,0,2017-12-25 07:34:17,1.04316
2018-01-02 22:00:00,0,0,2017-12-25 07:49:18,1.05824
2018-01-02 23:00:00,0,0,2017-12-25 08:04:17,1.0528
2018-01-03,0,0,2017-12-25 08:19:18,1.0384
2018-01-03 01:00:00,0,0,2017-12-25 08:34:18,1.03311
2018-01-03 02:00:00,0,0,2017-12-25 08:49:18,1.0506
2018-01-03 03:00:00,0,0,2017-12-25 09:04:18,1.05458
2018-01-03 04:00:00,0,0,2017-12-25 09:19:18,1.04244
2018-01-03 05:00:00,0,0,2017-12-25 09:34:18,1.05244
2018-01-03 06:00:00,0,0,2017-12-25 09:49:18,1.03611
2018-01-03 07:00:00,0,0,2017-12-25 10:04:18,1.02996
2018-01-03 08:00:00,0,0,2017-12-25 10:19:18,1.0412
2018-01-03 09:00:00,0,0,2017-12-25 10:34:18,1.04181
2018-01-03 10:00:00,0,0,2017-12-25 10:49:18,1.04596
2018-01-03 11:00:00,0,0,2017-12-25 11:04:18,1.04417
2018-01-03 12:00:00,0,0,2017-12-25 11:19:18,1.03867
2018-01-03 13:00:00,0,0,2017-12-25 11:34:19,1.04479
2018-01-03 14:00:00,0,0,2017-12-25 11:49:18,1.07065
2018-01-03 15:00:00,0,0,2017-12-25 12:04:18,1.06951
2018-01-03 16:00:00,0,0,2017-12-25 12:19:18,1.07514
2018-01-03 17:00:00,0,0,2017-12-25 12:34:18,1.09207
2018-01-03 18:00:00,0,0,2017-12-25 12:49:18,1.10059
2018-01-03 19:00:00,0,0,2017-12-25 13:04:18,1.09989
2018-01-03 20:00:00,0,0,2017-12-25 13:19:19,1.0814
2018-01-03 21:00:00,0,0,2017-12-25 13:34:18,1.07248
2018-01-03 22:00:00,0,0,2017-12-25 13:49:18,1.0636
2018-01-03 23:00:00,0,0,2017-12-25 14:04:17,1.03321
2018-01-04,0,0,2017-12-25 14:19:18,1.03419
2018-01-04 01:00:00,0,0,2017-12-25 14:34:18,1.0375
2018-01-04 02:00:00,0,0,2017-12-25 14:49:18,1.02923
2018-01-04 03:00:00,0,0,2017-12-25 15:04:19,1.0276
2018-01-04 04:00:00,0,0,2017-12-25 15:19:18,1.04061
2018-01-04 05:00:00,0,0,2017-12-25 15:34:17,1.04875
2018-01-04 06:00:00,0,0,2017-12-25 15:49:17,1.08077
2018-01-04 07:00:00,0,0,2017-12-25 16:04:18,1.08119
2018-01-04 08:00:00,0,0,2017-12-25 16:19:18,1.09526
2018-01-04 09:00:00,0,0,2017-12-25 16:34:18,1.06594
2018-01-04 10:00:00,0,0,2017-12-25 16:49:18,1.06142
2018-01-04 11:00:00,0,0,2017-12-25 17:04:18,1.07914
2018-01-04 12:00:00,0,0,2017-12-25 17:19:18,1.0572
2018-01-04 13:00:00,0,0,2017-12-25 17:34:19,1.03826
2018-01-04 14:00:00,0,0,2017-12-25 17:49:18,1.03746
2018-01-04 15:00:00,0,0,2017-12-25 18:04:18,1.05507
2018-01-04 16:00:00,0,0,2017-12-25 18:19:37,1.06671
2018-01-04 17:00:00,0,0,2017-12-25 18:34:22,1.07605
