"OP, x; OTHER, x; UL, x; RL, x; AVG, x","OP, y","OTHER, y","UL, y","RL, y","AVG, y"
2016-08-28,0.0,0.0,0.0,0.0,-227.7433862434
2016-08-29,-60.0,-110.0,-160.0,-1400.0,-227.7433862434
2016-08-30,-10.0,-350.0,-150.0,-470.0,-227.7433862434
2016-08-31,-30.0,-150.0,-140.0,-940.0,-227.7433862434
2016-09-01,-60.0,-180.0,-140.0,-590.0,-227.7433862434
2016-09-02,-80.0,-320.0,-170.0,-790.0,-227.7433862434
2016-09-03,0.0,0.0,0.0,0.0,-227.7433862434
2016-09-04,0.0,0.0,0.0,0.0,-227.7433862434
2016-09-05,-30.0,-40.0,-130.0,-680.0,-227.7433862434
2016-09-06,-10.0,-100.0,-40.0,-510.0,-227.7433862434
2016-09-07,-20.0,-30.0,-10.0,-450.0,-227.7433862434
2016-09-08,-20.0,0.0,-80.0,-1000.0,-227.7433862434
2016-09-09,-20.0,-190.0,-80.0,-520.0,-227.7433862434
2016-09-10,0.0,0.0,0.0,0.0,-227.7433862434
2016-09-11,0.0,0.0,0.0,0.0,-227.7433862434
2016-09-12,0.0,-250.0,-100.0,-2140.0,-227.7433862434
2016-09-13,-20.0,-110.0,-80.0,-440.0,-227.7433862434
2016-09-14,-40.0,-58.0,-150.0,-800.0,-227.7433862434
2016-09-15,-190.0,-760.0,-140.0,-2630.0,-227.7433862434
2016-09-16,-30.0,-10.0,-80.0,-770.0,-227.7433862434
2016-09-17,0.0,0.0,0.0,0.0,-227.7433862434
2016-09-18,0.0,0.0,0.0,0.0,-227.7433862434
2016-09-19,-80.0,-164.0,-200.0,-180.0,-227.7433862434
2016-09-20,-50.0,-216.0,-50.0,-250.0,-227.7433862434
2016-09-21,-40.0,-34.0,-10.0,-1340.0,-227.7433862434
2016-09-22,-150.0,-12.0,-110.0,-660.0,-227.7433862434
2016-09-23,-20.0,-300.0,-300.0,-310.0,-227.7433862434
2016-09-24,0.0,0.0,0.0,0.0,-227.7433862434
2016-09-25,0.0,0.0,0.0,0.0,-227.7433862434
2016-09-26,70.0,-184.0,-420.0,-450.0,-227.7433862434
2016-09-27,-270.0,-256.0,-240.0,-400.0,-227.7433862434
2016-09-28,-10.0,38.0,-40.0,-460.0,-227.7433862434
2016-09-29,-60.0,-132.0,-90.0,-250.0,-227.7433862434
2016-09-30,-20.0,-64.0,-100.0,-810.0,-227.7433862434
2016-10-01,0.0,0.0,0.0,0.0,-227.7433862434
2016-10-02,0.0,0.0,0.0,0.0,-227.7433862434
2016-10-03,-30.0,-5.0,-110.0,-430.0,-227.7433862434
2016-10-04,40.0,-192.0,-30.0,-390.0,-227.7433862434
2016-10-05,-10.0,-322.0,-220.0,-170.0,-227.7433862434
2016-10-06,-110.0,-190.0,-550.0,-440.0,-227.7433862434
2016-10-07,-10.0,-260.0,-390.0,-390.0,-227.7433862434
2016-10-08,0.0,0.0,0.0,0.0,-227.7433862434
2016-10-09,0.0,0.0,0.0,0.0,-227.7433862434
2016-10-10,0.0,-52.0,-520.0,-380.0,-227.7433862434
2016-10-11,110.0,-634.0,-260.0,-890.0,-227.7433862434
2016-10-12,20.0,-740.0,-130.0,-140.0,-227.7433862434
2016-10-13,-20.0,-32.0,-300.0,-540.0,-227.7433862434
2016-10-14,-10.0,-90.0,-350.0,-1260.0,-227.7433862434
2016-10-15,0.0,0.0,0.0,0.0,-227.7433862434
2016-10-16,0.0,0.0,0.0,0.0,-227.7433862434
2016-10-17,40.0,-472.0,-50.0,-580.0,-227.7433862434
2016-10-18,-30.0,-194.0,-70.0,-240.0,-227.7433862434
2016-10-19,20.0,-18.0,-50.0,-230.0,-227.7433862434
2016-10-20,-60.0,0.0,-160.0,-420.0,-227.7433862434
2016-10-21,-20.0,-20.0,-90.0,-380.0,-227.7433862434
2016-10-22,0.0,0.0,0.0,0.0,-227.7433862434
2016-10-23,0.0,0.0,0.0,0.0,-227.7433862434
2016-10-24,-100.0,-96.0,-20.0,-410.0,-227.7433862434
2016-10-25,-10.0,-402.0,-40.0,-130.0,-227.7433862434
2016-10-26,10.0,-94.0,-140.0,-490.0,-227.7433862434
2016-10-27,-150.0,-30.0,-190.0,-720.0,-227.7433862434
2016-10-28,20.0,-330.0,-140.0,-240.0,-227.7433862434
2016-10-29,0.0,0.0,0.0,0.0,-227.7433862434
2016-10-30,0.0,0.0,0.0,0.0,-227.7433862434
2016-10-31,-50.0,-174.0,-170.0,-180.0,-227.7433862434
2016-11-01,-140.0,49.0,-280.0,-980.0,-227.7433862434
2016-11-02,40.0,-1958.0,-80.0,-1430.0,-227.7433862434
2016-11-03,-70.0,-212.0,-250.0,-990.0,-227.7433862434
2016-11-04,-20.0,-349.0,-50.0,-340.0,-227.7433862434
2016-11-05,0.0,0.0,0.0,0.0,-227.7433862434
2016-11-06,0.0,0.0,0.0,0.0,-227.7433862434
2016-11-07,-70.0,-480.0,-80.0,-300.0,-227.7433862434
2016-11-08,20.0,-78.0,-90.0,-230.0,-227.7433862434
2016-11-09,-10.0,-24.0,-130.0,-320.0,-227.7433862434
2016-11-10,-410.0,-320.0,-190.0,-550.0,-227.7433862434
2016-11-11,-10.0,-770.0,-280.0,-1400.0,-227.7433862434
2016-11-12,0.0,0.0,0.0,0.0,-227.7433862434
2016-11-13,0.0,0.0,0.0,0.0,-227.7433862434
2016-11-14,20.0,-472.0,-90.0,-640.0,-227.7433862434
2016-11-15,30.0,-574.0,-100.0,-200.0,-227.7433862434
2016-11-16,-300.0,-432.0,-110.0,-1820.0,-227.7433862434
2016-11-17,-260.0,-354.0,-240.0,-300.0,-227.7433862434
2016-11-18,230.0,-10.0,-360.0,-400.0,-227.7433862434
2016-11-19,0.0,0.0,0.0,0.0,-227.7433862434
2016-11-20,0.0,0.0,0.0,0.0,-227.7433862434
2016-11-21,-20.0,-136.0,0.0,-280.0,-227.7433862434
2016-11-22,110.0,-156.0,-100.0,-900.0,-227.7433862434
2016-11-23,-110.0,-768.0,-130.0,-1170.0,-227.7433862434
2016-11-24,-160.0,-204.0,-300.0,-330.0,-227.7433862434
2016-11-25,-60.0,-80.0,-330.0,-380.0,-227.7433862434
2016-11-26,0.0,0.0,0.0,0.0,-227.7433862434
2016-11-27,0.0,0.0,0.0,0.0,-227.7433862434
2016-11-28,60.0,-172.0,-110.0,-240.0,-227.7433862434
2016-11-29,-30.0,-160.0,10.0,-300.0,-227.7433862434
2016-11-30,-100.0,-24.0,-202.0,-90.0,-227.7433862434
2016-12-01,-70.0,-130.0,-330.0,-310.0,-227.7433862434
2016-12-02,-40.0,-213.0,-90.0,-510.0,-227.7433862434
2016-12-03,0.0,0.0,0.0,0.0,-227.7433862434
2016-12-04,0.0,0.0,0.0,0.0,-227.7433862434
2016-12-05,10.0,-260.0,-340.0,-600.0,-227.7433862434
2016-12-06,130.0,-54.0,-210.0,-140.0,-227.7433862434
2016-12-07,-20.0,-444.0,-50.0,-460.0,-227.7433862434
2016-12-08,-10.0,173.0,-160.0,-560.0,-227.7433862434
2016-12-09,-130.0,122.0,-250.0,-190.0,-227.7433862434
2016-12-10,0.0,0.0,0.0,0.0,-227.7433862434
2016-12-11,0.0,0.0,0.0,0.0,-227.7433862434
2016-12-12,-90.0,137.0,-140.0,-410.0,-227.7433862434
2016-12-13,90.0,7.0,-110.0,-200.0,-227.7433862434
2016-12-14,-80.0,-18.0,-198.0,-200.0,-227.7433862434
2016-12-15,10.0,423.0,-180.0,-500.0,-227.7433862434
2016-12-16,-20.0,0.0,-250.0,-250.0,-227.7433862434
2016-12-17,0.0,0.0,0.0,0.0,-227.7433862434
2016-12-18,0.0,0.0,0.0,0.0,-227.7433862434
2016-12-19,-30.0,122.0,-350.0,-370.0,-227.7433862434
2016-12-20,-20.0,-53.0,-200.0,-290.0,-227.7433862434
2016-12-21,-180.0,-40.0,-290.0,-330.0,-227.7433862434
2016-12-22,90.0,-35.0,-380.0,-510.0,-227.7433862434
2016-12-23,-30.0,-541.0,-350.0,-1770.0,-227.7433862434
2016-12-24,0.0,0.0,0.0,0.0,-227.7433862434
2016-12-25,0.0,0.0,0.0,0.0,-227.7433862434
2016-12-26,0.0,0.0,0.0,0.0,-227.7433862434
2016-12-27,20.0,-790.0,-150.0,-730.0,-227.7433862434
2016-12-28,-80.0,-633.0,-290.0,-410.0,-227.7433862434
2016-12-29,150.0,520.0,-180.0,-910.0,-227.7433862434
2016-12-30,10.0,2.0,-240.0,-830.0,-227.7433862434
2016-12-31,0.0,0.0,0.0,0.0,-227.7433862434
2017-01-01,0.0,0.0,0.0,0.0,-227.7433862434
2017-01-02,-40.0,-108.0,-120.0,-1090.0,-227.7433862434
2017-01-03,180.0,-350.0,-200.0,-440.0,-227.7433862434
2017-01-04,-70.0,-66.0,-90.0,-290.0,-227.7433862434
2017-01-05,-150.0,-1888.0,-550.0,-2610.0,-227.7433862434
2017-01-06,20.0,0.0,-390.0,-720.0,-227.7433862434
2017-01-07,0.0,0.0,0.0,0.0,-227.7433862434
2017-01-08,0.0,0.0,0.0,0.0,-227.7433862434
2017-01-09,40.0,-214.0,-270.0,-220.0,-227.7433862434
2017-01-10,0.0,-72.0,-210.0,-320.0,-227.7433862434
2017-01-11,-10.0,-62.0,-240.0,-690.0,-227.7433862434
2017-01-12,-190.0,47.0,-410.0,-800.0,-227.7433862434
2017-01-13,-30.0,-80.0,-330.0,-800.0,-227.7433862434
2017-01-14,0.0,0.0,0.0,0.0,-227.7433862434
2017-01-15,0.0,0.0,0.0,0.0,-227.7433862434
2017-01-16,-190.0,-93.0,-880.0,-330.0,-227.7433862434
2017-01-17,-90.0,-50.0,-120.0,-210.0,-227.7433862434
2017-01-18,-20.0,480.0,-30.0,-290.0,-227.7433862434
2017-01-19,-90.0,276.0,-390.0,-340.0,-227.7433862434
2017-01-20,10.0,-1870.0,-330.0,-2260.0,-227.7433862434
2017-01-21,0.0,0.0,0.0,0.0,-227.7433862434
2017-01-22,0.0,0.0,0.0,0.0,-227.7433862434
2017-01-23,120.0,201.0,-300.0,-460.0,-227.7433862434
2017-01-24,110.0,141.0,-230.0,-450.0,-227.7433862434
2017-01-25,-100.0,-12.0,-120.0,-320.0,-227.7433862434
2017-01-26,-90.0,-246.0,-340.0,-700.0,-227.7433862434
2017-01-27,-50.0,14.0,-240.0,-370.0,-227.7433862434
2017-01-28,0.0,0.0,0.0,0.0,-227.7433862434
2017-01-29,0.0,0.0,0.0,0.0,-227.7433862434
2017-01-30,270.0,-130.0,-180.0,-360.0,-227.7433862434
2017-01-31,-20.0,168.0,-40.0,-260.0,-227.7433862434
2017-02-01,0.0,-18.0,-30.0,-180.0,-227.7433862434
2017-02-02,40.0,500.0,-300.0,-310.0,-227.7433862434
2017-02-03,-170.0,146.0,-100.0,-400.0,-227.7433862434
2017-02-04,0.0,0.0,0.0,0.0,-227.7433862434
2017-02-05,0.0,0.0,0.0,0.0,-227.7433862434
2017-02-06,-10.0,9.0,-180.0,-160.0,-227.7433862434
2017-02-07,0.0,0.0,-40.0,-110.0,-227.7433862434
2017-02-08,30.0,-326.0,-350.0,-410.0,-227.7433862434
2017-02-09,70.0,104.0,-480.0,-360.0,-227.7433862434
2017-02-10,-80.0,-730.0,-150.0,-620.0,-227.7433862434
2017-02-11,0.0,0.0,0.0,0.0,-227.7433862434
2017-02-12,0.0,0.0,0.0,0.0,-227.7433862434
2017-02-13,0.0,-120.0,-20.0,-280.0,-227.7433862434
2017-02-14,-30.0,-58.0,-10.0,-100.0,-227.7433862434
2017-02-15,-10.0,666.0,-80.0,-270.0,-227.7433862434
2017-02-16,-70.0,-130.0,-120.0,-300.0,-227.7433862434
2017-02-17,-40.0,-51.0,-90.0,-380.0,-227.7433862434
2017-02-18,0.0,0.0,0.0,0.0,-227.7433862434
2017-02-19,0.0,0.0,0.0,0.0,-227.7433862434
2017-02-20,-20.0,-112.0,-70.0,-160.0,-227.7433862434
2017-02-21,30.0,0.0,-40.0,-320.0,-227.7433862434
2017-02-22,-50.0,-30.0,-110.0,-420.0,-227.7433862434
2017-02-23,-30.0,-150.0,-100.0,-350.0,-227.7433862434
2017-02-24,-50.0,-181.0,-130.0,-240.0,-227.7433862434
2017-02-25,0.0,0.0,0.0,0.0,-227.7433862434
2017-02-26,0.0,0.0,0.0,0.0,-227.7433862434
2017-02-27,-10.0,-46.0,-20.0,-230.0,-227.7433862434
2017-02-28,-20.0,-96.0,-20.0,-230.0,-227.7433862434
2017-03-01,0.0,-30.0,-40.0,-100.0,-227.7433862434
2017-03-02,-30.0,148.0,-280.0,-440.0,-227.7433862434
2017-03-03,90.0,-178.0,-240.0,-620.0,-227.7433862434
2017-03-04,0.0,0.0,0.0,0.0,-227.7433862434
2017-03-05,0.0,0.0,0.0,0.0,-227.7433862434
2017-03-06,100.0,85.0,-50.0,-580.0,-227.7433862434
2017-03-07,80.0,-390.0,-300.0,-440.0,-227.7433862434
2017-03-08,-30.0,224.0,-130.0,-390.0,-227.7433862434
2017-03-09,-20.0,-312.0,-280.0,-450.0,-227.7433862434
2017-03-10,-60.0,-120.0,-590.0,-340.0,-227.7433862434
2017-03-11,0.0,0.0,0.0,0.0,-227.7433862434
2017-03-12,160.0,0.0,-10.0,0.0,-227.7433862434
2017-03-13,20.0,-128.0,-330.0,-210.0,-227.7433862434
2017-03-14,270.0,-24.0,-150.0,-160.0,-227.7433862434
2017-03-15,170.0,-188.0,-60.0,-80.0,-227.7433862434
2017-03-16,10.0,-19.0,-280.0,-230.0,-227.7433862434
2017-03-17,290.0,-230.0,-300.0,-180.0,-227.7433862434
2017-03-18,0.0,0.0,0.0,0.0,-227.7433862434
2017-03-19,0.0,0.0,0.0,0.0,-227.7433862434
2017-03-20,260.0,-64.0,-180.0,-380.0,-227.7433862434
2017-03-21,240.0,-22.0,-140.0,-80.0,-227.7433862434
2017-03-22,-30.0,-183.0,-60.0,-130.0,-227.7433862434
2017-03-23,-40.0,-113.0,-330.0,-510.0,-227.7433862434
2017-03-24,-10.0,274.0,-330.0,-480.0,-227.7433862434
2017-03-25,0.0,0.0,0.0,0.0,-227.7433862434
2017-03-26,-20.0,17.0,-70.0,-70.0,-227.7433862434
2017-03-27,20.0,-20.0,-180.0,-200.0,-227.7433862434
2017-03-28,-40.0,-390.0,-140.0,-160.0,-227.7433862434
2017-03-29,-30.0,-176.0,-220.0,-120.0,-227.7433862434
2017-03-30,-50.0,-1021.0,-80.0,-810.0,-227.7433862434
2017-03-31,-40.0,-452.0,-120.0,-900.0,-227.7433862434
2017-04-01,0.0,0.0,0.0,0.0,-227.7433862434
2017-04-02,0.0,0.0,0.0,0.0,-227.7433862434
2017-04-03,30.0,-192.0,-200.0,-410.0,-227.7433862434
2017-04-04,-90.0,-262.0,-40.0,-330.0,-227.7433862434
2017-04-05,-60.0,-210.0,-30.0,-300.0,-227.7433862434
2017-04-06,-100.0,185.0,-80.0,-400.0,-227.7433862434
2017-04-07,60.0,89.0,-380.0,-1480.0,-227.7433862434
2017-04-08,0.0,0.0,0.0,0.0,-227.7433862434
2017-04-09,0.0,0.0,0.0,0.0,-227.7433862434
2017-04-10,-60.0,-470.0,-50.0,-450.0,-227.7433862434
2017-04-11,-80.0,-610.0,-160.0,-310.0,-227.7433862434
2017-04-12,-10.0,-190.0,-40.0,-180.0,-227.7433862434
2017-04-13,0.0,0.0,0.0,0.0,-227.7433862434
2017-04-14,0.0,0.0,0.0,0.0,-227.7433862434
2017-04-15,0.0,0.0,0.0,0.0,-227.7433862434
2017-04-16,0.0,0.0,0.0,0.0,-227.7433862434
2017-04-17,0.0,0.0,-60.0,-240.0,-227.7433862434
2017-04-18,-30.0,-10.0,-180.0,-440.0,-227.7433862434
2017-04-19,0.0,402.0,-630.0,-230.0,-227.7433862434
2017-04-20,50.0,-10.0,-430.0,-450.0,-227.7433862434
2017-04-21,-160.0,-801.0,-180.0,-1000.0,-227.7433862434
2017-04-22,0.0,0.0,0.0,0.0,-227.7433862434
2017-04-23,0.0,0.0,0.0,0.0,-227.7433862434
2017-04-24,-20.0,0.0,-170.0,-240.0,-227.7433862434
2017-04-25,-60.0,-190.0,-40.0,-720.0,-227.7433862434
2017-04-26,0.0,0.0,-60.0,-470.0,-227.7433862434
2017-04-27,-80.0,172.0,-630.0,-430.0,-227.7433862434
2017-04-28,-120.0,0.0,-150.0,-690.0,-227.7433862434
2017-04-29,-10.0,0.0,-10.0,-20.0,-227.7433862434
2017-04-30,0.0,0.0,0.0,0.0,-227.7433862434
2017-05-01,0.0,0.0,0.0,0.0,-227.7433862434
2017-05-02,-20.0,-460.0,-150.0,-300.0,-227.7433862434
2017-05-03,90.0,0.0,-100.0,-280.0,-227.7433862434
2017-05-04,260.0,-512.0,-240.0,-570.0,-227.7433862434
2017-05-05,-70.0,-170.0,-130.0,-230.0,-227.7433862434
2017-05-06,0.0,-640.0,0.0,0.0,-227.7433862434
2017-05-07,0.0,-244.0,-50.0,0.0,-227.7433862434
2017-05-08,150.0,-360.0,-90.0,-300.0,-227.7433862434
2017-05-09,30.0,-124.0,-30.0,-180.0,-227.7433862434
2017-05-10,-20.0,-780.0,-230.0,-280.0,-227.7433862434
2017-05-11,-190.0,0.0,-130.0,-340.0,-227.7433862434
2017-05-12,10.0,-276.0,-240.0,-920.0,-227.7433862434
2017-05-13,-60.0,-10.0,-40.0,-90.0,-227.7433862434
2017-05-14,0.0,0.0,0.0,0.0,-227.7433862434
2017-05-15,-110.0,-254.0,-340.0,-610.0,-227.7433862434
2017-05-16,50.0,-20.0,-150.0,-510.0,-227.7433862434
2017-05-17,0.0,0.0,0.0,0.0,-227.7433862434
2017-05-18,100.0,0.0,-90.0,-140.0,-227.7433862434
2017-05-19,40.0,-150.0,-20.0,-460.0,-227.7433862434
2017-05-20,0.0,0.0,0.0,0.0,-227.7433862434
2017-05-21,0.0,0.0,0.0,0.0,-227.7433862434
2017-05-22,30.0,-150.0,-30.0,-300.0,-227.7433862434
2017-05-23,-40.0,-360.0,-170.0,-790.0,-227.7433862434
2017-05-24,-50.0,-330.0,-240.0,-910.0,-227.7433862434
2017-05-25,0.0,0.0,0.0,0.0,-227.7433862434
2017-05-26,-80.0,0.0,-150.0,-630.0,-227.7433862434
2017-05-27,0.0,0.0,0.0,0.0,-227.7433862434
2017-05-28,0.0,0.0,0.0,0.0,-227.7433862434
2017-05-29,-10.0,-290.0,-80.0,-200.0,-227.7433862434
2017-05-30,-60.0,-240.0,-30.0,-1790.0,-227.7433862434
2017-05-31,-10.0,0.0,-90.0,-400.0,-227.7433862434
2017-06-01,-30.0,-70.0,-360.0,-950.0,-227.7433862434
2017-06-02,-20.0,-10.0,-150.0,-540.0,-227.7433862434
2017-06-03,0.0,0.0,0.0,-10.0,-227.7433862434
2017-06-04,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-05,0.0,133.0,0.0,0.0,-227.7433862434
2017-06-06,-30.0,-300.0,-100.0,-220.0,-227.7433862434
2017-06-07,0.0,0.0,-70.0,-60.0,-227.7433862434
2017-06-08,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-09,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-10,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-11,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-12,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-13,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-14,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-15,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-16,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-17,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-18,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-19,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-20,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-21,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-22,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-23,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-24,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-25,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-26,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-27,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-28,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-29,0.0,0.0,0.0,0.0,-227.7433862434
2017-06-30,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-01,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-02,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-03,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-04,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-05,-40.0,-540.0,-50.0,-810.0,-227.7433862434
2017-07-06,-60.0,-444.0,-190.0,-1250.0,-227.7433862434
2017-07-07,0.0,104.0,-140.0,-600.0,-227.7433862434
2017-07-08,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-09,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-10,-10.0,0.0,-200.0,-1210.0,-227.7433862434
2017-07-11,-10.0,-374.0,-180.0,-420.0,-227.7433862434
2017-07-12,-10.0,-90.0,-90.0,-180.0,-227.7433862434
2017-07-13,-70.0,0.0,-260.0,-210.0,-227.7433862434
2017-07-14,-10.0,-10.0,-80.0,-300.0,-227.7433862434
2017-07-15,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-16,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-17,-100.0,-200.0,-70.0,-520.0,-227.7433862434
2017-07-18,0.0,0.0,-40.0,-100.0,-227.7433862434
2017-07-19,-30.0,0.0,-50.0,-50.0,-227.7433862434
2017-07-20,-40.0,0.0,-240.0,-640.0,-227.7433862434
2017-07-21,0.0,-240.0,-180.0,-630.0,-227.7433862434
2017-07-22,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-23,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-24,-20.0,0.0,-30.0,-130.0,-227.7433862434
2017-07-25,40.0,0.0,-30.0,-50.0,-227.7433862434
2017-07-26,0.0,-277.0,-120.0,-120.0,-227.7433862434
2017-07-27,-60.0,-30.0,-160.0,-470.0,-227.7433862434
2017-07-28,-10.0,-70.0,-10.0,-220.0,-227.7433862434
2017-07-29,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-30,0.0,0.0,0.0,0.0,-227.7433862434
2017-07-31,-20.0,0.0,-80.0,-470.0,-227.7433862434
2017-08-01,0.0,-840.0,-60.0,-90.0,-227.7433862434
2017-08-02,-130.0,-108.0,-360.0,-390.0,-227.7433862434
2017-08-03,200.0,-260.0,-470.0,-400.0,-227.7433862434
2017-08-04,-50.0,0.0,-170.0,-470.0,-227.7433862434
2017-08-05,0.0,0.0,0.0,0.0,-227.7433862434
2017-08-06,0.0,0.0,0.0,0.0,-227.7433862434
2017-08-07,-170.0,74.0,-120.0,-840.0,-227.7433862434
2017-08-08,80.0,-120.0,-70.0,-356.0,-227.7433862434
2017-08-09,-10.0,-80.0,-50.0,-200.0,-227.7433862434
2017-08-10,-40.0,-126.0,-290.0,-3230.0,-227.7433862434
2017-08-11,-160.0,84.0,-210.0,-280.0,-227.7433862434
2017-08-12,0.0,0.0,0.0,0.0,-227.7433862434
2017-08-13,0.0,0.0,0.0,0.0,-227.7433862434
2017-08-14,-10.0,-290.0,-230.0,-500.0,-227.7433862434
2017-08-15,200.0,-300.0,-50.0,-120.0,-227.7433862434
2017-08-16,60.0,-20.0,-140.0,-140.0,-227.7433862434
2017-08-17,-70.0,-3.0,-280.0,-230.0,-227.7433862434
2017-08-18,-190.0,-750.0,-70.0,-3300.0,-227.7433862434
2017-08-19,0.0,0.0,0.0,0.0,-227.7433862434
2017-08-20,0.0,0.0,0.0,0.0,-227.7433862434
2017-08-21,-100.0,-260.0,40.0,-810.0,-227.7433862434
2017-08-22,230.0,-940.0,-380.0,-1360.0,-227.7433862434
2017-08-23,170.0,-722.0,-70.0,-630.0,-227.7433862434
2017-08-24,-50.0,-200.0,-390.0,-380.0,-227.7433862434
2017-08-25,-50.0,413.0,-60.0,-1010.0,-227.7433862434
2017-08-26,0.0,0.0,0.0,0.0,-227.7433862434
2017-08-27,0.0,0.0,0.0,0.0,-227.7433862434
2017-08-28,200.0,-110.0,-80.0,-420.0,-227.7433862434
2017-08-29,150.0,-160.0,-50.0,-740.0,-227.7433862434
2017-08-30,30.0,-130.0,-70.0,-610.0,-227.7433862434
2017-08-31,-10.0,-90.0,-250.0,-560.0,-227.7433862434
2017-09-01,-10.0,-20.0,-90.0,-300.0,-227.7433862434
2017-09-02,0.0,0.0,0.0,0.0,-227.7433862434
2017-09-03,0.0,0.0,0.0,0.0,-227.7433862434
2017-09-04,-50.0,-56.0,-60.0,-430.0,-227.7433862434
2017-09-05,0.0,-10.0,-20.0,-190.0,-227.7433862434
