"平均气压, x; 就诊人数, x","平均气压, y","就诊人数, y"
2014-04-25,1015.6,223
2014-04-26,1018.1,207
2014-04-27,1019.9,140
2014-04-28,1018.9,269
2014-04-29,1013.8,236
2014-04-30,1010.2,196
2014-05-01,1010.0,152
2014-05-02,1019.7,131
2014-05-03,1015.3,154
2014-05-04,1020.4,207
2014-05-05,1017.9,266
2014-05-06,1007.4,211
2014-05-07,1008.4,179
2014-05-08,1012.5,224
2014-05-09,1011.6,186
2014-05-10,1009.0,203
2014-05-11,1005.3,108
2014-05-12,1006.3,215
2014-05-13,1002.1,210
2014-05-14,1006.4,226
2014-05-15,1004.5,221
2014-05-16,1008.6,193
2014-05-17,1011.2,184
2014-05-18,1009.5,135
2014-05-19,1006.1,234
2014-05-20,1004.9,213
2014-05-21,1006.0,192
2014-05-22,1009.1,180
2014-05-23,1010.0,196
2014-05-24,1008.4,223
2014-05-25,1009.1,157
2014-05-26,1003.1,214
2014-05-27,999.9,215
2014-05-28,1003.3,186
2014-05-29,1001.6,183
2014-05-30,1006.3,201
2014-05-31,1005.7,138
2014-06-01,1005.8,141
2014-06-02,1008.9,217
2014-06-03,1007.1,232
2014-06-04,1005.2,216
2014-06-05,1004.9,223
2014-06-06,1003.1,165
2014-06-07,1004.5,204
2014-06-08,1002.8,169
2014-06-09,1005.4,236
2014-06-10,1007.5,215
2014-06-11,1009.0,174
2014-06-12,1006.3,194
2014-06-13,1005.9,208
2014-06-14,1005.8,219
2014-06-15,1006.2,171
2014-06-16,1003.8,241
2014-06-17,1003.5,234
2014-06-18,1003.6,198
2014-06-19,1003.8,191
2014-06-20,1006.0,193
2014-06-21,1008.1,225
2014-06-22,1007.8,147
2014-06-23,1006.9,248
2014-06-24,1004.1,227
2014-06-25,1005.1,197
2014-06-26,1004.9,212
2014-06-27,1006.7,201
2014-06-28,1005.8,201
2014-06-29,1006.7,148
2014-06-30,1006.8,196
2014-07-01,1004.6,245
2014-07-02,1003.0,223
2014-07-03,1002.4,214
2014-07-04,1006.4,193
2014-07-05,1006.3,218
2014-07-06,1005.1,125
2014-07-07,1003.1,245
2014-07-08,1002.8,227
2014-07-09,1003.3,212
2014-07-10,1003.3,186
2014-07-11,1001.7,196
2014-07-12,1002.6,195
2014-07-13,1003.6,156
2014-07-14,1004.6,239
2014-07-15,1004.9,244
2014-07-16,1004.4,193
2014-07-17,1006.5,181
2014-07-18,1008.5,248
2014-07-19,1009.4,174
2014-07-20,1005.5,140
2014-07-21,1002.4,195
2014-07-22,1004.6,164
2014-07-23,1004.1,160
2014-07-24,1003.4,160
2014-07-25,1006.4,159
2014-07-26,1011.0,142
2014-07-27,1008.3,153
2014-07-28,1005.0,287
2014-07-29,1003.3,220
2014-07-30,1005.1,205
2014-07-31,1005.6,193
2014-08-01,1005.2,223
2014-08-02,1002.0,201
2014-08-03,1000.8,167
2014-08-04,1002.0,246
2014-08-05,1006.4,203
2014-08-06,1008.5,208
2014-08-07,1008.0,246
2014-08-08,1007.6,243
2014-08-09,1006.7,207
2014-08-10,1004.6,167
2014-08-11,1004.2,227
2014-08-12,1005.3,235
2014-08-13,1007.5,231
2014-08-14,1008.7,214
2014-08-15,1007.9,231
2014-08-16,1008.3,206
2014-08-17,1011.1,133
2014-08-18,1012.2,277
2014-08-19,1012.0,242
2014-08-20,1009.5,210
2014-08-21,1008.5,198
2014-08-22,1007.6,239
2014-08-23,1005.8,227
2014-08-24,1008.0,160
2014-08-25,1012.2,264
2014-08-26,1013.6,253
2014-08-27,1014.1,216
2014-08-28,1014.6,220
2014-08-29,1015.0,219
2014-08-30,1013.4,179
2014-08-31,1012.3,163
2014-09-01,1011.6,223
2014-09-02,1008.6,205
2014-09-03,1010.1,180
2014-09-04,1008.5,203
2014-09-05,1010.5,222
2014-09-06,1010.8,258
2014-09-07,1008.6,182
2014-09-08,1008.8,178
2014-09-09,1009.8,223
2014-09-10,1013.2,245
2014-09-11,1014.2,270
2014-09-12,1014.9,233
2014-09-13,1014.6,242
2014-09-14,1017.1,156
2014-09-15,1019.1,240
2014-09-16,1019.5,196
2014-09-17,1021.3,209
2014-09-18,1019.2,217
2014-09-19,1012.4,244
2014-09-20,1011.9,260
2014-09-21,1016.8,169
2014-09-22,1016.8,314
2014-09-23,1014.6,277
2014-09-24,1015.7,238
2014-09-25,1014.9,247
2014-09-26,1012.0,227
2014-09-27,1015.0,262
2014-09-28,1014.1,152
2014-09-29,1020.2,281
2014-09-30,1022.9,243
2014-10-01,1014.6,161
2014-10-02,1014.4,184
2014-10-03,1016.3,167
2014-10-04,1019.9,165
2014-10-05,1024.6,165
2014-10-06,1023.9,262
2014-10-07,1020.6,230
2014-10-08,1019.6,207
2014-10-09,1020.0,209
2014-10-10,1020.9,188
2014-10-11,1021.9,197
2014-10-12,1028.4,136
2014-10-13,1025.3,211
2014-10-14,1020.2,253
2014-10-15,1018.8,202
2014-10-16,1022.2,177
2014-10-17,1018.1,186
2014-10-18,1017.0,252
2014-10-19,1015.7,140
2014-10-20,1018.2,247
2014-10-21,1023.6,231
2014-10-22,1021.2,207
2014-10-23,1014.5,216
2014-10-24,1012.7,200
2014-10-25,1012.9,206
2014-10-26,1024.6,127
2014-10-27,1029.4,220
2014-10-28,1025.8,221
2014-10-29,1023.5,227
2014-10-30,1020.3,217
2014-10-31,1018.9,216
2014-11-01,1021.2,245
2014-11-02,1025.5,167
2014-11-03,1021.8,270
2014-11-04,1017.8,278
2014-11-05,1020.7,211
2014-11-06,1029.2,242
2014-11-07,1029.9,211
2014-11-08,1028.3,257
2014-11-09,1026.3,170
2014-11-10,1022.1,300
2014-11-11,1020.0,240
2014-11-12,1027.3,246
2014-11-13,1026.5,256
2014-11-14,1028.0,259
2014-11-15,1028.2,331
2014-11-16,1028.8,210
2014-11-17,1032.1,336
2014-11-18,1029.8,340
2014-11-19,1022.2,300
2014-11-20,1018.4,306
2014-11-21,1021.5,312
2014-11-22,1025.1,325
2014-11-23,1024.9,216
2014-11-24,1025.2,347
2014-11-25,1019.4,364
2014-11-26,1018.5,321
2014-11-27,1019.3,337
2014-11-28,1022.0,309
2014-11-29,1019.9,306
2014-11-30,1025.6,241
2014-12-01,1032.7,338
2014-12-02,1027.7,335
2014-12-03,1028.6,342
2014-12-04,1029.4,330
2014-12-05,1028.0,329
2014-12-06,1025.3,328
2014-12-07,1028.8,250
2014-12-08,1035.8,392
2014-12-09,1032.6,353
2014-12-10,1030.0,352
2014-12-11,1032.2,356
2014-12-12,1030.5,356
2014-12-13,1029.7,373
2014-12-14,1025.8,327
2014-12-15,1031.1,416
2014-12-16,1033.2,405
2014-12-17,1031.4,386
2014-12-18,1027.2,402
2014-12-19,1026.6,412
2014-12-20,1032.0,352
2014-12-21,1030.0,346
2014-12-22,1025.7,479
2014-12-23,1022.7,433
2014-12-24,1032.9,391
2014-12-25,1033.8,428
2014-12-26,1031.5,430
2014-12-27,1028.2,443
2014-12-28,1019.8,328
2014-12-29,1016.0,442
2014-12-30,1020.0,457
2014-12-31,1025.6,430
2015-01-01,1031.3,321
2015-01-02,1028.1,275
2015-01-03,1016.9,322
2015-01-04,1015.6,408
2015-01-05,1020.8,392
2015-01-06,1028.9,346
2015-01-07,1031.7,322
2015-01-08,1030.2,340
2015-01-09,1029.5,370
2015-01-10,1025.0,370
2015-01-11,1033.6,285
2015-01-12,1036.1,350
2015-01-13,1031.5,400
2015-01-14,1029.4,326
2015-01-15,1027.4,348
2015-01-16,1032.3,322
2015-01-17,1030.3,313
2015-01-18,1023.9,273
2015-01-19,1025.2,373
2015-01-20,1021.3,346
2015-01-21,1028.5,307
2015-01-22,1024.8,296
2015-01-23,1020.5,302
2015-01-24,1024.5,299
2015-01-25,1025.5,227
2015-01-26,1030.6,340
2015-01-27,1035.7,310
2015-01-28,1033.1,275
2015-01-29,1031.7,286
2015-01-30,1037.6,264
2015-01-31,1038.7,312
2015-02-01,1035.0,206
2015-02-02,1033.3,310
2015-02-03,1032.8,352
2015-02-04,1033.0,293
2015-02-05,1032.0,276
2015-02-06,1024.1,276
2015-02-07,1031.7,291
2015-02-08,1036.3,187
2015-02-09,1028.1,266
2015-02-10,1016.2,195
2015-02-11,1016.8,220
2015-02-12,1020.4,216
2015-02-13,1018.4,236
2015-02-14,1013.0,197
2015-02-15,1017.5,194
2015-02-16,1020.3,226
2015-02-17,1025.0,201
2015-02-18,1030.8,112
2015-02-19,1026.7,79
2015-02-20,1019.8,106
2015-02-21,1020.0,145
2015-02-22,1024.6,127
2015-02-23,1020.6,143
2015-02-24,1014.7,178
2015-02-25,1020.4,242
2015-02-26,1026.8,230
2015-02-27,1031.0,238
2015-02-28,1027.0,186
2015-03-01,1021.6,187
2015-03-02,1013.1,275
2015-03-03,1025.4,228
2015-03-04,1029.7,215
2015-03-05,1026.3,210
2015-03-06,1021.2,210
2015-03-07,1020.4,184
2015-03-08,1023.5,145
2015-03-09,1036.1,195
2015-03-10,1030.0,187
2015-03-11,1022.8,192
2015-03-12,1015.1,190
2015-03-13,1022.7,155
2015-03-14,1019.6,194
2015-03-15,1017.7,123
2015-03-16,1013.1,220
2015-03-17,1017.1,202
2015-03-18,1015.6,197
2015-03-19,1018.9,177
2015-03-20,1019.0,188
2015-03-21,1020.8,195
2015-03-22,1027.0,143
2015-03-23,1030.7,228
2015-03-24,1031.3,202
2015-03-25,1031.8,202
2015-03-26,1029.9,220
2015-03-27,1020.6,187
2015-03-28,1015.4,219
2015-03-29,1013.9,138
2015-03-30,1008.6,245
2015-03-31,1013.0,220
2015-04-01,1012.1,153
2015-04-02,1004.1,179
2015-04-03,1012.2,195
2015-04-04,1013.4,162
2015-04-05,1019.6,131
2015-04-06,1030.7,206
2015-04-07,1031.5,204
2015-04-08,1024.7,196
2015-04-09,1022.4,195
2015-04-10,1021.5,203
2015-04-11,1019.1,191
2015-04-12,1024.8,114
2015-04-13,1021.9,205
2015-04-14,1008.8,248
2015-04-15,1003.8,208
2015-04-16,1014.7,228
2015-04-17,1010.5,224
2015-04-18,1008.5,254
2015-04-19,1015.3,157
2015-04-20,1016.6,201
2015-04-21,1015.0,228
2015-04-22,1019.0,195
2015-04-23,1017.3,175
2015-04-24,1019.8,173
2015-04-25,1016.8,154
2015-04-26,1012.0,139
2015-04-27,1006.0,255
2015-04-28,1011.1,193
2015-04-29,1013.6,195
2015-04-30,1011.3,225
2015-05-01,1008.1,138
2015-05-02,1010.7,128
2015-05-03,1014.9,125
2015-05-04,1014.9,218
2015-05-05,1006.4,199
2015-05-06,1009.8,161
2015-05-07,1012.1,218
2015-05-08,1009.7,197
2015-05-09,1014.2,198
2015-05-10,1013.8,116
2015-05-11,1007.3,195
2015-05-12,1000.7,223
2015-05-13,999.3,187
2015-05-14,1008.4,216
2015-05-15,1013.7,187
2015-05-16,1010.0,176
2015-05-17,1001.2,121
2015-05-18,1002.7,274
2015-05-19,1009.8,231
2015-05-20,1016.5,205
2015-05-21,1014.3,217
2015-05-22,1010.5,197
2015-05-23,1008.9,225
2015-05-24,1008.0,151
2015-05-25,1008.5,249
2015-05-26,1007.8,238
2015-05-27,1005.5,206
2015-05-28,1005.0,224
2015-05-29,1006.4,192
2015-05-30,1007.4,248
2015-05-31,1004.2,143
2015-06-01,1003.5,238
2015-06-02,1009.2,282
2015-06-03,1012.7,228
2015-06-04,1005.4,216
2015-06-05,999.8,217
2015-06-06,1002.1,268
2015-06-07,1005.9,143
2015-06-08,1005.0,301
2015-06-09,1001.3,252
2015-06-10,999.0,236
2015-06-11,1000.8,226
2015-06-12,999.1,235
2015-06-13,1004.9,288
2015-06-14,1008.5,180
2015-06-15,1006.9,270
2015-06-16,1003.7,244
2015-06-17,1002.5,210
2015-06-18,1005.9,249
2015-06-19,1008.7,217
2015-06-20,1011.2,151
2015-06-21,1007.8,138
2015-06-22,1006.4,262
2015-06-23,1008.5,256
2015-06-24,1005.5,179
2015-06-25,1001.2,165
2015-06-26,1001.7,175
2015-06-27,1005.9,197
2015-06-28,1006.3,134
2015-06-29,1005.0,200
2015-06-30,1001.8,208
2015-07-01,998.8,211
2015-07-02,1003.5,209
2015-07-03,1007.8,178
2015-07-04,1007.7,188
2015-07-05,1008.0,140
2015-07-06,1008.5,214
2015-07-07,1008.5,231
2015-07-08,1010.6,225
2015-07-09,1011.8,236
2015-07-10,1010.5,209
2015-07-11,1005.8,198
2015-07-12,998.8,139
2015-07-13,998.9,273
2015-07-14,1003.8,209
2015-07-15,1004.6,212
2015-07-16,1005.3,192
2015-07-17,1005.4,205
2015-07-18,1006.5,183
2015-07-19,1007.6,136
2015-07-20,1007.3,217
2015-07-21,1005.4,181
2015-07-22,1004.3,179
2015-07-23,1004.1,247
2015-07-24,1001.8,218
2015-07-25,1002.4,229
2015-07-26,1004.8,143
2015-07-27,1004.4,230
2015-07-28,1002.8,218
2015-07-29,1001.6,201
2015-07-30,1003.5,195
2015-07-31,1006.1,222
2015-08-01,1005.5,234
2015-08-02,1002.5,175
2015-08-03,1001.1,211
2015-08-04,1003.5,179
2015-08-05,1004.1,216
2015-08-06,1008.6,185
2015-08-07,1012.1,235
2015-08-08,1012.1,175
2015-08-09,1010.8,157
2015-08-10,1008.7,266
2015-08-11,1008.3,254
2015-08-12,1007.9,251
2015-08-13,1005.2,254
2015-08-14,1004.7,258
2015-08-15,1006.6,241
2015-08-16,1007.4,149
2015-08-17,1008.5,273
2015-08-18,1011.3,253
2015-08-19,1011.5,235
2015-08-20,1008.6,232
2015-08-21,1006.0,237
2015-08-22,1005.9,221
2015-08-23,1008.2,174
2015-08-24,1009.3,296
2015-08-25,1009.7,253
2015-08-26,1009.8,256
2015-08-27,1009.8,263
2015-08-28,1008.4,266
2015-08-29,1009.5,237
2015-08-30,1010.5,162
2015-08-31,1010.7,239
2015-09-01,1010.9,274
2015-09-02,1013.7,237
2015-09-03,1014.7,167
2015-09-04,1011.1,173
2015-09-05,1008.8,176
2015-09-06,1013.0,219
2015-09-07,1014.3,270
2015-09-08,1015.6,278
2015-09-09,1019.1,237
2015-09-10,1016.6,208
2015-09-11,1016.6,234
2015-09-12,1019.6,268
2015-09-13,1018.9,159
2015-09-14,1019.6,278
2015-09-15,1019.0,284
2015-09-16,1018.3,243
2015-09-17,1017.9,245
2015-09-18,1017.2,278
2015-09-19,1015.6,310
2015-09-20,1013.1,160
2015-09-21,1012.2,288
2015-09-22,1011.2,279
2015-09-23,1009.7,260
2015-09-24,1009.4,269
2015-09-25,1012.0,243
2015-09-26,1014.2,254
2015-09-27,1015.2,158
2015-09-28,1020.9,305
2015-09-29,1023.2,302
2015-09-30,1015.4,289
2015-10-01,1015.9,182
2015-10-02,1014.9,156
2015-10-03,1021.8,160
2015-10-04,1023.2,153
2015-10-05,1020.1,164
2015-10-06,1017.4,204
2015-10-07,1016.9,269
2015-10-08,1019.4,249
2015-10-09,1012.9,228
2015-10-10,1019.0,210
2015-10-11,1020.7,139
2015-10-12,1023.0,275
2015-10-13,1020.7,234
2015-10-14,1016.8,239
2015-10-15,1018.2,256
2015-10-16,1018.9,256
2015-10-17,1018.6,283
2015-10-18,1021.4,161
2015-10-19,1016.1,276
2015-10-20,1016.0,283
2015-10-21,1020.8,224
2015-10-22,1021.8,274
2015-10-23,1019.5,218
2015-10-24,1025.0,203
2015-10-25,1023.5,139
2015-10-26,1019.8,285
2015-10-27,1019.5,257
2015-10-28,1022.8,230
2015-10-29,1028.1,246
2015-10-30,1033.1,238
2015-10-31,1031.2,288
2015-11-01,1025.1,164
2015-11-02,1024.0,299
2015-11-03,1024.2,280
2015-11-04,1023.2,287
2015-11-05,1024.2,339
2015-11-06,1023.1,210
2015-11-07,1025.6,310
2015-11-08,1026.2,129
2015-11-09,1029.1,271
2015-11-10,1029.9,251
2015-11-11,1031.1,263
2015-11-12,1027.6,258
2015-11-13,1020.0,202
2015-11-14,1018.0,254
2015-11-15,1019.3,154
2015-11-16,1020.2,254
2015-11-17,1025.6,270
2015-11-18,1026.1,257
2015-11-19,1025.2,251
2015-11-20,1026.4,249
2015-11-21,1027.8,311
2015-11-22,1030.4,139
2015-11-23,1035.8,274
2015-11-24,1035.3,200
2015-11-25,1031.8,196
2015-11-26,1032.9,200
2015-11-27,1027.2,232
2015-11-28,1028.2,266
2015-11-29,1027.4,153
2015-11-30,1024.2,304
2015-12-01,1020.8,274
2015-12-02,1024.1,267
2015-12-03,1028.1,296
2015-12-04,1028.9,259
2015-12-05,1031.0,302
2015-12-06,1030.8,184
2015-12-07,1032.8,331
2015-12-08,1029.4,339
2015-12-09,1023.9,298
2015-12-10,1025.5,336
2015-12-11,1027.9,301
2015-12-12,1026.5,318
2015-12-13,1026.3,218
2015-12-14,1025.4,338
2015-12-15,1029.4,355
2015-12-16,1033.9,319
2015-12-17,1034.5,338
2015-12-18,1035.4,330
2015-12-19,1033.1,333
2015-12-20,1026.7,229
2015-12-21,1028.3,381
2015-12-22,1026.9,335
2015-12-23,1026.6,306
2015-12-24,1027.4,332
2015-12-25,1019.3,332
2015-12-26,1026.9,340
2015-12-27,1038.2,248
2015-12-28,1035.9,402
2015-12-29,1029.1,353
2015-12-30,1033.2,327
2015-12-31,1028.1,378
2016-01-01,1023.1,210
2016-01-02,1019.4,281
2016-01-03,1023.0,242
2016-01-04,1027.8,410
2016-01-05,1029.5,409
2016-01-06,1032.1,304
2016-01-07,1031.0,410
2016-01-08,1028.8,335
2016-01-09,1026.6,440
2016-01-10,1029.6,297
2016-01-11,1034.4,399
2016-01-12,1031.6,380
2016-01-13,1025.1,286
2016-01-14,1021.4,438
2016-01-15,1018.5,354
2016-01-16,1020.3,471
2016-01-17,1025.2,311
2016-01-18,1029.0,445
2016-01-19,1033.2,536
2016-01-20,1033.5,450
2016-01-21,1032.6,502
2016-01-22,1042.2,388
2016-01-23,1043.7,365
2016-01-24,1040.3,261
2016-01-25,1030.9,476
2016-01-26,1029.2,457
2016-01-27,1027.5,414
2016-01-28,1028.5,425
2016-01-29,1032.1,389
2016-01-30,1035.4,388
2016-01-31,1038.6,252
2016-02-01,1036.4,387
2016-02-02,1030.6,367
2016-02-03,1029.6,375
2016-02-04,1029.5,358
2016-02-05,1031.1,315
2016-02-06,1029.4,262
2016-02-07,1020.6,206
2016-02-08,1017.7,184
2016-02-09,1019.9,217
2016-02-10,1015.5,224
2016-02-11,1015.0,219
2016-02-12,1013.9,244
2016-02-13,1025.6,219
2016-02-14,1033.2,288
2016-02-15,1027.9,326
2016-02-16,1025.9,248
2016-02-17,1022.5,270
2016-02-18,1022.9,278
2016-02-19,1029.5,285
2016-02-20,1030.6,172
2016-02-21,1027.2,176
2016-02-22,1029.8,228
2016-02-23,1038.6,232
2016-02-24,1036.1,238
2016-02-25,1031.0,239
2016-02-26,1024.1,245
2016-02-27,1023.0,240
2016-02-28,1031.8,167
2016-02-29,1032.3,311
2016-03-01,1024.4,243
2016-03-02,1018.2,239
2016-03-03,1013.9,264
2016-03-04,1016.3,241
2016-03-05,1021.0,262
2016-03-06,1016.1,164
2016-03-07,1021.8,280
2016-03-08,1029.7,229
2016-03-09,1033.7,239
2016-03-10,1030.9,281
2016-03-11,1022.8,255
2016-03-12,1019.4,276
2016-03-13,1026.0,185
2016-03-14,1024.0,303
2016-03-15,1019.1,310
2016-03-16,1017.3,274
2016-03-17,1012.5,324
2016-03-18,1013.3,339
2016-03-19,1020.6,313
2016-03-20,1024.9,266
2016-03-21,1021.9,349
2016-03-22,1022.3,368
2016-03-23,1032.6,291
2016-03-24,1031.1,329
2016-03-25,1027.6,285
2016-03-26,1025.2,339
2016-03-27,1020.3,242
2016-03-28,1013.8,325
2016-03-29,1017.8,347
2016-03-30,1016.0,310
2016-03-31,1009.2,325
2016-04-01,1010.0,290
2016-04-02,1019.6,264
2016-04-03,1020.3,183
2016-04-04,1015.0,180
2016-04-05,1013.3,344
2016-04-06,1009.0,333
2016-04-07,1013.4,274
2016-04-08,1014.6,236
2016-04-09,1010.4,255
2016-04-10,1016.0,164
2016-04-11,1013.8,264
2016-04-12,1006.8,285
2016-04-13,1006.4,217
2016-04-14,1013.3,233
2016-04-15,1008.8,225
2016-04-16,1009.9,206
2016-04-17,1013.4,139
2016-04-18,1016.0,249
2016-04-19,1014.4,242
2016-04-20,1011.0,204
2016-04-21,1005.9,247
2016-04-22,1009.5,223
2016-04-23,1013.7,244
2016-04-24,1013.2,172
2016-04-25,1014.1,259
2016-04-26,1014.4,231
2016-04-27,1013.6,238
2016-04-28,1016.0,243
2016-04-29,1008.7,218
2016-04-30,1003.7,168
2016-05-01,1002.8,121
2016-05-02,1006.0,118
2016-05-03,1005.8,278
2016-05-04,1005.2,188
2016-05-05,1004.9,231
2016-05-06,1014.5,184
2016-05-07,1017.6,208
2016-05-08,1014.0,135
2016-05-09,1013.0,177
2016-05-10,1010.2,181
2016-05-11,1001.9,173
2016-05-12,1016.4,167
2016-05-13,1021.0,174
2016-05-14,1016.9,133
2016-05-15,1015.1,126
2016-05-16,1011.8,212
2016-05-17,1012.9,170
2016-05-18,1014.4,168
2016-05-19,1014.0,167
2016-05-20,1015.9,187
2016-05-21,1017.7,159
2016-05-22,1014.8,146
2016-05-23,1009.6,214
2016-05-24,1005.4,177
2016-05-25,1008.8,173
2016-05-26,1011.0,163
2016-05-27,1011.5,175
2016-05-28,1007.9,157
2016-05-29,1007.6,171
2016-05-30,1005.4,214
2016-05-31,1007.3,181
2016-06-01,1010.7,195
2016-06-02,1008.6,188
2016-06-03,1007.4,164
2016-06-04,1008.0,182
2016-06-05,1010.7,150
2016-06-06,1010.6,196
2016-06-07,1010.1,167
2016-06-08,1008.9,161
2016-06-09,1007.1,147
2016-06-10,1005.3,163
2016-06-11,1007.5,145
2016-06-12,1005.0,165
2016-06-13,999.7,173
2016-06-14,998.5,147
2016-06-15,1003.7,157
2016-06-16,1000.7,174
2016-06-17,1001.2,170
2016-06-18,1005.0,141
2016-06-19,1004.5,149
2016-06-20,1002.1,172
2016-06-21,1002.4,133
2016-06-22,1002.6,136
2016-06-23,1005.0,119
2016-06-24,1007.4,152
2016-06-25,1009.0,139
2016-06-26,1007.1,135
2016-06-27,1004.9,178
2016-06-28,1005.6,156
2016-06-29,1005.0,161
2016-06-30,1002.7,151
2016-07-01,1003.6,138
2016-07-02,1005.6,138
2016-07-03,1006.3,119
2016-07-04,1007.6,195
2016-07-05,1010.9,159
2016-07-06,1011.7,170
2016-07-07,1009.8,150
2016-07-08,1007.0,156
2016-07-09,1005.8,106
2016-07-10,1003.5,113
2016-07-11,1000.6,189
2016-07-12,1000.6,132
2016-07-13,1004.3,159
2016-07-14,1004.2,165
2016-07-15,1002.5,152
2016-07-16,1004.7,148
2016-07-17,1006.8,184
2016-07-18,1006.4,199
2016-07-19,1000.7,181
2016-07-20,997.8,112
2016-07-21,1001.4,159
2016-07-22,1001.7,144
