"El Universal, x","El Universal, y","El Universal, text","El Universal, color","La Jornada, x","La Jornada, y","La Jornada, text","La Jornada, color","Animal Politico, x","Animal Politico, y","Animal Politico, text","Animal Politico, color","Publimetro, x; Sdp, x; El Economista, x","Publimetro, y","Publimetro, text","Publimetro, color","El Financiero, x","El Financiero, y","El Financiero, text","El Financiero, color","Sdp, y","Sdp, text","Sdp, color","El Economista, y","El Economista, text","El Economista, color"
2018-01-11T15:32:40-06:00,98,Título: Stephen Hawking advierte que la Tierra podría 'morir' en 200 años <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T22:20:30-06:00,81,"Título: Por alta demanda, UNAM amplía 2 días más registro para ingreso a licenciatura <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-11T12:37:00-06:00,74,"Título: Martha Higareda, la mexicana mejor vestida en los Globos de Oro <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-12T08:30:57-06:00,65,"Título: Pocahontas existió y ""era una figura increíble"" <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-12T10:31:01-06:00,65,Título: Dos mexicanos serán parte de una misión análoga a Marte <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T13:18:57-06:00,64,Título: Julian Assange obtiene cédula de identidad ecuatoriana <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-12T09:57:09-06:00,58,Título: Gignac visitó a niño que padece cáncer <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-11T11:33:10-06:00,58,Título: Captan otro asalto en camión de Azcapotzalco <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T19:24:29-06:00,56,Título: Video. La sorprendente técnica de los caimanes para sobrevivir al frío en EU <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T09:54:23-06:00,55,"Título: Muere Agustín Bernal, el villano del cine mexicano <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T22:00:00-06:00,54,Título: Qué hacer en Puebla con 500 pesos <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T17:27:31-06:00,52,"Título: Cambio climático generará inundación de varias islas mexicanas, según estudio <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-12T02:23:32-06:00,51,"Título: Callo de Hacha cambia su nombre a ""Fracasado"" <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T13:06:00-06:00,51,Título: David Beckham te pone guapo: lanza su línea de belleza <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T10:27:48-06:00,49,Título: Graban comportamiento del mar en Q. Roo tras sismo de Honduras <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T21:23:24-06:00,49,Título: Entérate. ¿Cómo obtener tu acta de nacimiento en línea? <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T11:57:58-06:00,47,Título: ¿Bolitas blancas en la garganta? Es el caseum que provoca tu mal aliento <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T12:11:25-06:00,46,"Título: Yunes Linares llama loco a AMLO y lo acusa de ""vividor"" <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-11T00:02:00-06:00,46,"Título: Personaje de Brozo aparecerá en serie ""El Chapo"" <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-11T22:04:11-06:00,45,Título: Anuncian aumento de 77 pesos para pensión de adultos mayores en CDMX <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T16:49:49-06:00,44,"Título: Lilly Téllez, virtual candidata al Senado por Morena <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T11:22:20-06:00,43,Título: Javier Lozano se incorpora a precampaña de Meade <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T20:09:34-06:00,41,Título: María Espinoza no asistirá a los Juegos Centroamericanos <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-11T01:58:00-06:00,41,Título: El oráculo dice que la elección la ganará… <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T14:29:17-06:00,39,"Título: Ella era Lupita, la ""niña de las calcetitas rojas"" <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
