x,y,z
43,8,151
43,8,152
43,8,153
43,9,120
43,9,121
43,9,122
43,9,123
43,9,131
43,9,151
43,49,79
43,50,79
43,50,119
43,50,130
43,50,147
43,50,148
43,50,149
43,50,150
43,51,119
43,51,120
43,51,124
43,51,125
43,51,128
43,51,129
43,51,130
43,51,131
43,51,144
43,51,146
43,51,147
43,51,148
43,51,149
43,51,150
43,51,167
43,51,168
43,51,169
43,52,119
43,52,124
43,52,125
43,52,128
43,52,129
43,52,130
43,52,131
43,52,144
43,52,146
43,52,147
43,52,148
43,52,149
43,52,150
43,52,167
43,52,168
43,52,169
43,53,147
43,53,148
43,53,149
44,5,118
44,5,119
44,5,120
44,5,121
44,5,122
44,5,123
44,5,131
44,5,132
44,5,133
44,5,147
44,5,148
44,5,149
44,5,150
44,5,151
44,5,152
44,6,118
44,6,119
44,6,120
44,6,121
44,6,122
44,6,123
44,6,124
44,6,125
44,6,126
44,6,127
44,6,129
44,6,130
44,6,131
44,6,132
44,6,133
44,6,134
44,6,135
44,6,146
44,6,147
44,6,148
44,6,149
44,6,150
44,6,151
44,6,152
44,6,153
44,7,118
44,7,119
44,7,120
44,7,121
44,7,122
44,7,123
44,7,124
44,7,125
44,7,126
44,7,127
44,7,128
44,7,129
44,7,130
44,7,131
44,7,132
44,7,133
44,7,134
44,7,135
44,7,144
44,7,145
44,7,146
44,7,147
44,7,148
44,7,149
44,7,150
44,7,151
44,7,152
44,7,153
44,8,118
44,8,119
44,8,120
44,8,121
44,8,122
44,8,123
44,8,124
44,8,125
44,8,126
44,8,127
44,8,129
44,8,130
44,8,131
44,8,132
44,8,133
44,8,134
44,8,135
44,8,145
44,8,146
44,8,147
44,8,148
44,8,149
44,8,150
44,8,151
44,8,152
44,9,118
44,9,119
44,9,120
44,9,121
44,9,122
44,9,123
44,9,124
44,9,125
44,9,126
44,9,130
44,9,131
44,9,151
44,50,130
44,50,147
44,50,148
44,50,149
44,51,119
44,51,120
44,51,124
44,51,125
44,51,127
44,51,130
44,51,146
44,51,147
44,51,148
44,51,149
44,51,150
44,51,168
44,51,169
44,52,119
44,52,120
44,52,124
44,52,127
44,52,129
44,52,130
44,52,146
44,52,147
44,52,148
44,52,149
44,52,150
44,52,169
44,53,148
45,5,118
45,5,151
45,6,118
45,6,119
45,6,120
45,6,121
45,6,122
45,6,123
45,6,124
45,6,125
45,6,126
45,6,127
45,6,129
45,6,130
45,6,131
45,6,132
45,6,133
45,6,134
45,6,135
45,6,148
45,6,149
45,6,150
45,6,151
45,6,152
45,7,118
45,7,119
45,7,120
45,7,121
45,7,122
45,7,123
45,7,124
45,7,125
45,7,126
45,7,127
45,7,128
45,7,129
45,7,130
45,7,131
45,7,132
45,7,133
45,7,134
45,7,135
45,7,145
45,7,148
45,7,149
45,7,150
45,7,151
45,7,152
45,8,118
45,8,119
45,8,120
45,8,121
45,8,122
45,8,123
45,8,124
45,8,125
45,8,126
45,8,127
45,8,128
45,8,129
45,8,130
45,8,131
45,8,132
45,8,149
45,8,150
45,8,151
45,8,152
45,9,120
45,9,121
45,9,123
45,51,146
45,51,147
45,51,148
45,51,149
45,51,150
45,52,146
45,52,148
45,52,149
45,52,150
46,7,122
46,7,151
46,8,122
47,8,82
47,8,83
47,9,82
47,9,83
48,7,81
48,7,82
48,7,83
48,7,84
48,8,81
48,8,82
48,8,83
48,8,84
48,9,81
48,9,82
48,9,83
48,9,84
48,10,82
48,10,83
48,10,84
48,41,101
49,7,81
49,7,82
49,7,83
49,7,84
49,8,81
49,8,82
49,8,83
49,8,84
49,9,81
49,9,82
49,9,83
49,9,84
49,10,81
49,10,82
49,10,83
49,10,84
49,40,100
49,40,101
49,40,102
49,40,103
49,41,100
49,41,101
49,41,102
49,41,103
50,7,82
50,7,83
50,8,82
50,8,83
50,8,84
50,9,82
50,9,83
50,9,84
50,10,82
50,10,83
50,40,101
50,40,102
50,41,101
50,41,102
