"Weight, x","Weight, y","Weigth 7 day average, x","Weigth 7 day average, y"
2017-12-10,90.5,2017-12-13,90.4142857143
2017-12-11,91.5,2017-12-14,90.4571428571
2017-12-12,89.7,2017-12-15,90.4428571429
2017-12-13,89.7,2017-12-16,90.6214285714
2017-12-14,89.9,2017-12-17,90.7357142857
2017-12-15,91.5,2017-12-18,90.6642857143
2017-12-16,90.1,2017-12-19,90.35
2017-12-17,90.8,2017-12-20,90.2642857143
2017-12-18,91.4,2017-12-21,90.2642857143
2017-12-19,90.95,2017-12-22,90.2357142857
2017-12-20,90.5,2017-12-23,90.2142857143
2017-12-21,89.4,2017-12-24,90.2142857143
2017-12-22,89.3,2017-12-25,90.3785714286
2017-12-23,89.5,2017-12-26,90.5642857143
2017-12-24,90.8,2017-12-27,90.7285714286
2017-12-25,91.2,2017-12-28,90.7142857143
2017-12-26,90.8,2017-12-29,90.6
2017-12-27,90.5,2017-12-30,90.5571428571
2017-12-28,90.55,2017-12-31,90.5714285714
2017-12-29,90.6,2018-01-01,90.55
2017-12-30,90.65,2018-01-02,90.6785714286
2017-12-31,90.7,2018-01-03,90.6714285714
2018-01-01,90.4,2018-01-04,90.6142857143
2018-01-02,90.5,2018-01-05,90.6
2018-01-03,90.6,2018-01-06,90.5714285714
2018-01-04,90.4,2018-01-07,90.5428571429
2018-01-05,91.5,2018-01-08,90.5571428571
2018-01-06,90.6,2018-01-09,90.4428571429
2018-01-07,90.3,,
2018-01-08,90.3,,
2018-01-09,90.3,,
2018-01-10,90.4,,
2018-01-11,90.5,,
2018-01-12,90.7,,
