"Exchange Deposit Amount(Token), x; Exchange Withdraw Amount(Token), x; Exchange Remain Amount(Token), x","Exchange Deposit Amount(Token), y","Exchange Withdraw Amount(Token), y","Exchange Remain Amount(Token), y","Price(USD), x; Trading Volume(Token), x","Price(USD), y","Trading Volume(Token), y"
2017-12-20 21:00:00,4545000.0,0,4545000.0,2017-12-22 01:34:41,1.06304,78408244.28055388
2017-12-20 22:00:00,4545000.0,0,4545000.0,2017-12-22 01:49:40,1.0708,78451438.17706388
2017-12-20 23:00:00,4545000.0,0,4545000.0,2017-12-22 02:04:40,1.02757,78917737.9643236
2017-12-21,4545000.0,0,4545000.0,2017-12-22 02:19:39,0.998482,78935123.51749957
2017-12-21 01:00:00,4545000.0,0,4545000.0,2017-12-22 02:34:40,1.01352,76736127.55545032
2017-12-21 02:00:00,4545000.0,0,4545000.0,2017-12-22 02:49:40,1.00364,76086345.701646
2017-12-21 03:00:00,4545000.0,2500000.0,2045000.0,2017-12-22 03:04:42,0.934736,76155085.50007702
2017-12-21 04:00:00,8363000.0,2509000.0,5854000.0,2017-12-22 03:19:41,0.897164,78223379.44901936
2017-12-21 05:00:00,33373546.8456431,2509000.0,30864546.8456431,2017-12-22 03:34:41,0.862336,80017301.84058186
2017-12-21 06:00:00,33843501.8456431,2509000.0,31334501.845643103,2017-12-22 03:49:41,0.822916,79997472.40301561
2017-12-21 07:00:00,34743501.8456431,2650425.291,32093076.554643102,2017-12-22 04:04:42,0.884294,78706289.98952837
2017-12-21 08:00:00,34770711.8456431,3684007.613,31086704.232643105,2017-12-22 04:19:41,0.897924,77843113.6710902
2017-12-21 09:00:00,35615711.8456431,3751228.613,31864483.232643105,2017-12-22 04:34:40,0.876606,78034487.5576941
2017-12-21 10:00:00,36461111.8456431,3754729.613,32706382.232643105,2017-12-22 04:49:41,0.880045,77146964.07570067
2017-12-21 11:00:00,36461111.8456431,3917550.613,32543561.232643105,2017-12-22 05:04:43,0.905258,76739117.46706463
2017-12-21 12:00:00,36461111.8456431,3922041.59,32539070.255643103,2017-12-22 05:19:39,0.943697,76656702.31016947
2017-12-21 13:00:00,36461111.8456431,3922041.59,32539070.255643103,2017-12-22 05:34:40,0.888493,77162003.52732098
2017-12-21 14:00:00,37033811.8456431,3932355.364,33101456.481643103,2017-12-22 05:49:42,0.854441,77041363.88586222
2017-12-21 15:00:00,37036811.8456431,4025767.844,33011044.001643103,2017-12-22 06:04:41,0.802866,77433594.14896135
2017-12-21 16:00:00,37236811.8456431,4267753.0600000005,32969058.7856431,2017-12-22 06:19:40,0.832657,76882798.07892086
2017-12-21 17:00:00,39920404.6906431,4299882.86,35620521.8306431,2017-12-22 06:34:43,0.783337,76734279.1161403
2017-12-21 18:00:00,41738942.6906431,4313612.112,37425330.5786431,2017-12-22 06:49:43,0.778117,76492352.69246142
2017-12-21 19:00:00,43444209.63973485,4313612.112,39130597.527734846,2017-12-22 07:04:57,0.822648,70994641.69365269
2017-12-21 20:00:00,49153039.00047255,4313984.737,44839054.26347256,2017-12-22 07:20:02,0.766401,73372425.14036386
2017-12-21 21:00:00,49153039.00047255,4313984.737,44839054.26347256,2017-12-22 07:35:00,0.728519,74501008.20980647
2017-12-21 22:00:00,53892960.50883255,4361943.728,49531016.78083255,2017-12-22 07:49:58,0.709304,73901317.34770986
2017-12-21 23:00:00,53892960.50883255,4414016.621,49478943.88783255,2017-12-22 08:04:56,0.730085,72577028.70213743
2017-12-22,54971901.216832556,4422927.546,50548973.67083256,2017-12-22 08:19:57,0.72373,69715363.46427536
2017-12-22 01:00:00,54971901.216832556,4433958.498,50537942.71883255,2017-12-22 08:34:59,0.734245,67718540.81403346
2017-12-22 02:00:00,54976901.216832556,4532009.886999991,50444891.32983257,2017-12-22 08:49:58,0.7578,67040248.08656637
2017-12-22 03:00:00,55000609.216832556,4544047.83699999,50456561.379832566,2017-12-22 09:04:59,0.763508,65383335.86550502
2017-12-22 04:00:00,55000609.216832556,4555711.67499999,50444897.541832566,2017-12-22 09:19:56,0.772542,64964364.39701661
2017-12-22 05:00:00,55141609.216832556,4559345.14099999,50582264.07583257,2017-12-22 09:34:55,0.805056,64608673.18546785
2017-12-22 06:00:00,55335259.216832556,4587010.863999991,50748248.35283256,2017-12-22 09:49:57,0.808921,64744888.56142936
2017-12-22 07:00:00,55935574.216832556,4596297.73599999,51339276.48083256,2017-12-22 10:04:57,0.804082,63349136.033389635
2017-12-22 08:00:00,56082264.216832556,4623769.25999999,51458494.956832565,2017-12-22 10:19:54,0.801029,62460909.65495631
2017-12-22 09:00:00,56182264.216832556,4623928.09899999,51558336.117832564,2017-12-22 10:34:54,0.853112,61567883.232213356
2017-12-22 10:00:00,57090815.52073255,4633237.44099999,52457578.07973256,2017-12-22 10:49:55,0.870686,61657474.68088381
2017-12-22 11:00:00,57094834.52073255,4650076.332999991,52444758.18773256,2017-12-22 11:04:54,0.85,61097176.47058824
2017-12-22 12:00:00,57094834.52073255,4693369.332999991,52401465.18773256,2017-12-22 11:19:53,0.86359,61112333.39895089
2017-12-22 13:00:00,57099334.52073255,4701099.910999991,52398234.60973256,2017-12-22 11:34:53,0.857274,60804830.19431361
2017-12-22 14:00:00,57099334.52073255,4704796.628999991,52394537.89173256,2017-12-22 11:49:52,0.811394,61801911.27861434
2017-12-22 15:00:00,65292898.06203256,4731191.628999991,60561706.433032565,2017-12-22 12:04:51,0.820776,61601703.75352106
2017-12-22 16:00:00,65292898.06203256,4738794.017999991,60554104.044032566,2017-12-22 12:19:52,0.839646,60758700.6905291
2017-12-22 17:00:00,65293751.36003255,4864307.958999991,60429443.40103256,2017-12-22 12:34:57,0.828689,60718677.33250954
2017-12-22 18:00:00,65293751.36003255,4873548.704999991,60420202.65503256,2017-12-22 12:49:55,0.832452,60188935.81852167
2017-12-22 19:00:00,65299913.99303251,5318557.862999991,59981356.13003252,2017-12-22 13:04:57,0.805017,59422471.8235764
2017-12-22 20:00:00,65754413.99303251,5318576.862999991,60435837.13003252,2017-12-22 13:19:57,0.766872,58990027.0188506
2017-12-22 21:00:00,65754413.99303251,5468438.112999991,60285975.88003252,2017-12-22 13:34:59,0.708086,59489525.283651985
2017-12-22 22:00:00,65754413.99303251,5475318.221999991,60279095.77103252,2017-12-22 13:49:56,0.7348,58963799.67338051
2017-12-22 23:00:00,65754413.99303251,5476172.364999991,60278241.62803252,2017-12-22 14:04:56,0.687177,58001650.229853444
2017-12-23,65754413.99303251,5508567.9649999915,60245846.02803252,2017-12-22 14:20:00,0.639566,57202384.11672916
2017-12-23 01:00:00,68086473.28833252,5508775.9649999915,62577697.32333253,2017-12-22 14:35:07,0.658884,56615580.2842382
2017-12-23 02:00:00,68086473.28833252,5508974.9649999915,62577498.32333253,2017-12-22 14:50:03,0.650055,56658282.760689475
2017-12-23 03:00:00,68086473.28833252,5528439.469999991,62558033.81833253,2017-12-22 15:05:00,0.674326,56148213.17878889
2017-12-23 04:00:00,68108480.28833252,5554444.469999991,62554035.81833253,2017-12-22 15:19:59,0.699799,56253295.58916204
2017-12-23 05:00:00,68108480.28833252,5624639.724499991,62483840.56383253,2017-12-22 15:35:02,0.749599,56460320.7848463
2017-12-23 06:00:00,68108480.28833252,5628721.669499991,62479758.61883253,2017-12-22 15:50:02,0.768651,56487274.45875957
2017-12-23 07:00:00,68118480.28833252,5653897.990499992,62464582.29783253,2017-12-22 16:05:02,0.750634,56533277.20300439
2017-12-23 08:00:00,68126480.28833252,5780979.904499991,62345500.38383253,2017-12-22 16:21:51,0.743651,57064133.57878898
2017-12-23 09:00:00,68126480.28833252,5782332.904499991,62344147.38383253,2017-12-22 16:35:09,0.717108,58211176.001383334
2017-12-23 10:00:00,68174826.30353251,5788034.904499991,62386791.39903252,2017-12-22 16:50:02,0.741545,59381561.46963435
2017-12-23 11:00:00,68194826.30353251,5788034.904499991,62406791.39903252,2017-12-22 17:04:52,0.75508,59324972.188377395
2017-12-23 12:00:00,68194826.30353251,5803807.012499992,62391019.29103252,2017-12-22 17:20:01,0.75899,59236353.575145915
2017-12-23 13:00:00,68270896.30353251,5814367.437499992,62456528.86603252,2017-12-22 17:35:09,0.787415,59964948.59762641
2017-12-23 14:00:00,68272649.30613251,6451518.169499991,61821131.13663252,2017-12-22 17:50:12,0.755077,59869920.551149085
2017-12-23 15:00:00,68272649.30613251,6506427.803499991,61766221.50263252,2017-12-22 18:04:48,0.774943,60652718.97416971
2017-12-23 16:00:00,68272649.30613251,6545500.803499991,61727148.50263252,2017-12-22 18:19:44,0.766565,61213465.263871945
2017-12-23 17:00:00,68272649.30613251,6596048.803499991,61676600.50263252,2017-12-22 18:34:50,0.7944,61270266.86807653
2017-12-23 18:00:00,68272649.30613251,6641563.794499991,61631085.51163252,2017-12-22 18:49:44,0.79873,60979054.24861968
2017-12-23 19:00:00,68272649.30613251,6646222.125499992,61626427.18063252,2017-12-22 19:04:52,0.806759,60957485.444847845
2017-12-23 20:00:00,68272649.30613251,6649074.264499992,61623575.04163252,2017-12-22 19:20:01,0.813194,60692036.58659557
2017-12-23 21:00:00,68272649.30613251,6714005.554499991,61558643.75163252,2017-12-22 19:35:05,0.803716,60710126.462581314
2017-12-23 22:00:00,68322649.30613251,6718230.12349999,61604419.18263252,2017-12-22 19:50:07,0.779155,60754920.39452997
2017-12-23 23:00:00,68322649.30613251,6719493.852499991,61603155.45363252,2017-12-22 20:05:03,0.792124,61536830.09225828
2017-12-24,68322649.30613251,6776221.094999989,61546428.21113252,2017-12-22 20:20:02,0.826867,60601523.58238991
2017-12-24 01:00:00,68322649.30613251,6787690.65799999,61534958.64813252,2017-12-22 20:35:03,0.852927,60032218.46652762
2017-12-24 02:00:00,68322649.30613251,6789498.59299999,61533150.71313252,2017-12-22 20:50:02,0.871543,60071275.886559814
2017-12-24 03:00:00,68322998.90213251,6919988.44499999,61403010.45713252,2017-12-22 21:05:04,0.860294,59995071.45231746
2017-12-24 04:00:00,68322998.90213251,6933452.304999989,61389546.59713252,2017-12-22 21:20:06,0.854259,59843092.083314314
2017-12-24 05:00:00,68322998.90213251,6957093.654999989,61365905.247132525,2017-12-22 21:34:45,0.859841,59191292.343584456
2017-12-24 06:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-22 21:49:48,0.864236,59327660.500141166
2017-12-24 07:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-22 22:04:44,0.852099,59475718.19706395
2017-12-24 08:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-22 22:19:45,0.860121,59296657.09824548
2017-12-24 09:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-22 22:34:44,0.887644,58426801.73583103
2017-12-24 10:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-22 22:49:45,0.864774,59451949.295422845
2017-12-24 11:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-22 23:04:46,0.865648,59476138.106944166
2017-12-24 12:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-22 23:19:44,0.872672,57998308.642880715
2017-12-24 13:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-22 23:34:42,0.84444,57495618.39799157
2017-12-24 14:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-22 23:49:42,0.805462,58381028.52772694
2017-12-24 15:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 00:04:41,0.814893,58453318.41112883
2017-12-24 16:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 00:19:38,0.833253,59203747.24123406
2017-12-24 17:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 00:34:40,0.846228,59521901.89877906
2017-12-24 18:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 00:49:40,0.839112,59977929.04880398
2017-12-24 19:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 01:04:40,0.851466,60479690.322338186
2017-12-24 20:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 01:19:37,0.878509,60308773.15997901
2017-12-24 21:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 01:34:39,0.885816,60021042.744768664
2017-12-24 22:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 01:49:38,0.900948,60361086.32240707
2017-12-24 23:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 02:04:38,0.921181,59658416.74980269
2017-12-25,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 02:19:36,0.932491,59802936.43584764
2017-12-25 01:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 02:34:36,0.951242,60812916.166443445
2017-12-25 02:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 02:49:36,0.935782,61261597.25235151
2017-12-25 03:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 03:04:38,0.960636,60788373.53586582
2017-12-25 04:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 03:19:37,0.940581,61822107.824844435
2017-12-25 05:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 03:34:38,0.952967,62574674.67393939
2017-12-25 06:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 03:49:36,0.985328,63030178.78310573
2017-12-25 07:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 04:04:37,0.997487,63915920.70874107
2017-12-25 08:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 04:19:36,1.00517,64394082.59299423
2017-12-25 09:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 04:34:36,1.00753,64843428.97978224
2017-12-25 10:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 04:49:39,1.01475,65685242.67060852
2017-12-25 11:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 05:04:39,0.992459,66904123.999077044
2017-12-25 12:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 05:19:46,0.969371,66930102.09713309
2017-12-25 13:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 05:34:40,0.977698,66751900.89373201
2017-12-25 14:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 05:49:40,0.96189,67302706.13063864
2017-12-25 15:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 06:04:41,0.943138,67630187.73498681
2017-12-25 16:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 06:19:41,0.92535,68823580.26692602
2017-12-25 17:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 06:34:41,0.931321,69365234.97268933
2017-12-25 18:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 06:49:40,0.917611,70241420.38401894
2017-12-25 19:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 07:04:50,0.938339,70672326.31277183
2017-12-25 20:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 07:19:52,0.956215,71049607.04444084
2017-12-25 21:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 07:34:55,0.974465,71111122.51337914
2017-12-25 22:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 07:50:01,0.987931,72167388.2082858
2017-12-25 23:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 08:05:04,0.973038,73170215.34616326
2017-12-26,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 08:19:58,0.999097,74017838.10781135
2017-12-26 01:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 08:34:59,1.013,74482132.2803554
2017-12-26 02:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 08:50:02,1.00015,74689196.62050691
2017-12-26 03:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 09:05:01,1.00717,75398492.80657685
2017-12-26 04:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 09:20:00,0.99183,75436314.69102567
2017-12-26 05:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 09:34:57,0.992971,75935953.81939654
2017-12-26 06:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 09:50:00,1.00662,76255190.63797659
2017-12-26 07:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 10:05:05,1.0361,76466171.2189943
2017-12-26 08:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 10:20:01,1.0583,77162146.83927053
2017-12-26 09:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 10:35:04,1.06196,77631266.7143772
2017-12-26 10:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 10:50:05,1.11937,78022995.07758829
2017-12-26 11:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 11:05:21,1.16855,79497411.3217235
2017-12-26 12:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 11:20:19,1.17616,80397309.8898109
2017-12-26 13:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 11:35:12,1.26559,79800725.3533925
2017-12-26 14:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 11:50:04,1.28479,80038761.19832812
2017-12-26 15:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 12:05:15,1.34577,80316844.63169785
2017-12-26 16:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 12:20:08,1.27318,82037889.37934935
2017-12-26 17:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 12:35:13,1.19857,82668930.47548328
2017-12-26 18:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 12:50:07,1.22833,82119625.83344868
2017-12-26 19:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 13:05:15,1.21347,83315615.54879807
2017-12-26 20:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 13:20:10,1.20048,83706517.39304279
2017-12-26 21:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 13:35:12,1.19659,84277822.81316073
2017-12-26 22:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 13:50:15,1.19129,84954964.78607224
2017-12-26 23:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 14:05:19,1.2072,84963552.0212061
2017-12-27,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 14:20:18,1.2485,85123748.49819784
2017-12-27 01:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 14:35:19,1.21867,86599325.4941863
2017-12-27 02:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 14:50:31,1.22829,87365361.60027355
2017-12-27 03:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 15:05:41,1.23419,88217373.33797877
2017-12-27 04:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 15:20:42,1.25405,88108927.07627288
2017-12-27 05:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 15:35:36,1.23909,88224422.76186556
2017-12-27 06:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 15:50:41,1.24687,87497493.72428562
2017-12-27 07:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 16:05:33,1.23892,87068575.85639104
2017-12-27 08:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 16:23:15,1.2233,86544592.49570833
2017-12-27 09:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 16:37:24,1.2396,86335108.0993869
2017-12-27 10:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 16:52:31,1.2389,86535636.45169102
2017-12-27 11:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 17:07:45,1.24274,86624716.35257576
2017-12-27 12:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 17:22:21,1.22303,88180175.4658512
2017-12-27 13:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 17:36:53,1.19696,88970391.65886913
2017-12-27 14:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 17:52:37,1.18343,89747598.08353683
2017-12-27 15:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 18:07:00,1.21759,89976921.62386353
2017-12-27 16:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 18:20:52,1.19911,89617299.49712704
2017-12-27 17:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 18:36:05,1.20772,88986685.65561555
2017-12-27 18:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 18:50:55,1.19292,89577674.94886497
2017-12-27 19:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 19:06:02,1.18415,89440526.96026686
2017-12-27 20:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 19:20:48,1.1888,90079071.33243607
2017-12-27 21:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 19:36:11,1.21765,90645095.06015687
2017-12-27 22:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 19:50:57,1.21443,91109409.35253577
2017-12-27 23:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 20:05:43,1.21995,91781630.3946883
2017-12-28,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 20:20:52,1.21792,92609531.00367841
2017-12-28 01:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 20:36:03,1.22015,92715649.71519895
2017-12-28 02:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 20:49:59,1.21691,92856497.19371195
2017-12-28 03:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 21:05:06,1.20939,92927012.79157262
2017-12-28 04:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 21:20:08,1.22018,93314101.19818386
2017-12-28 05:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 21:35:05,1.18815,130756217.6492867
2017-12-28 06:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 21:50:09,1.18282,130789131.05967095
2017-12-28 07:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 22:04:59,1.18176,130716050.63633902
2017-12-28 08:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 22:20:00,1.18346,130990485.52549306
2017-12-28 09:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 22:35:03,1.20969,131476659.30940986
2017-12-28 10:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 22:50:06,1.18614,131419562.6148684
2017-12-28 11:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 23:04:55,1.155,132184415.58441558
2017-12-28 12:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 23:19:55,1.14658,132859460.30804655
2017-12-28 13:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 23:34:55,1.13474,133302783.01637378
2017-12-28 14:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-23 23:49:58,1.08364,133173378.61282346
2017-12-28 15:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 00:05:00,1.10627,133188100.55411427
2017-12-28 16:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 00:19:55,1.08492,133530582.90012166
2017-12-28 17:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 00:34:53,1.0814,132594784.53856114
2017-12-28 18:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 00:49:54,1.11899,131776870.21331738
2017-12-28 19:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 01:04:52,1.13968,131722939.77256773
2017-12-28 20:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 01:19:46,1.15148,131961475.66609928
2017-12-28 21:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 01:34:49,1.14485,132275843.99703018
2017-12-28 22:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 01:49:45,1.14539,132351426.15179111
2017-12-28 23:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 02:04:45,1.11292,133280020.12723288
2017-12-29,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 02:19:45,1.07516,135393801.8527475
2017-12-29 01:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 02:34:43,1.07328,134650790.1013715
2017-12-29 02:00:00,68322998.90213251,7005399.654999989,61317599.247132525,2017-12-24 02:49:41,1.05824,134591397.03658906
