"pH, x; Upper Limit, x; Lower Limit, x; FC, x; Upper Limit (1), x; Lower Limit (1), x (1)","pH, y (1)","Upper Limit, y (1)","Lower Limit, y (1)","FC, y (1)","Upper Limit (1), y (1)","Lower Limit (1), y (1)"
2018-01-11 04:00:49,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:00:59,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:25:07,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:25:17,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:25:28,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:25:38,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:25:49,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:25:59,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:30:09,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:30:19,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:30:30,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:30:40,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:30:51,7.2,7.6,7.2,0.04,3,1
2018-01-11 04:35:11,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:35:32,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:35:42,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:35:52,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:40:02,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:40:12,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:40:23,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:40:33,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:40:43,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:40:54,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:45:03,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:45:14,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:45:24,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:45:35,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:45:45,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:45:55,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:50:05,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:50:16,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:50:26,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:50:36,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:50:47,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:50:57,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:55:07,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:55:18,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:55:28,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:55:38,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:55:49,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:55:59,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:00:09,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:00:19,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:00:29,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:00:40,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:00:50,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:01:01,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:25:07,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:25:18,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:25:28,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:25:39,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:25:49,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:25:59,7.2,7.6,7.2,0.04,3,1
2018-01-11 05:30:09,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:30:19,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:30:30,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:30:40,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:30:50,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:31:01,7.2,7.6,7.2,0.04,3,1
2018-01-11 05:35:11,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:35:21,7.2,7.6,7.2,0.04,3,1
2018-01-11 05:35:31,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:35:42,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:35:52,7.2,7.6,7.2,0.04,3,1
2018-01-11 05:40:02,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:40:23,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:40:33,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:40:44,7.2,7.6,7.2,0.04,3,1
2018-01-11 05:40:54,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:45:04,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:45:14,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:45:24,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:45:35,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:45:45,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:45:56,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:50:05,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:50:15,7.2,7.6,7.2,0.04,3,1
2018-01-11 05:50:26,7.2,7.6,7.2,0.04,3,1
2018-01-11 05:50:36,7.2,7.6,7.2,0.04,3,1
2018-01-11 05:50:47,7.2,7.6,7.2,0.04,3,1
2018-01-11 05:50:57,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:55:07,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:55:17,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:55:28,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:55:38,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:55:48,7.3,7.6,7.2,0.05,3,1
2018-01-11 05:55:59,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:00:09,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:00:19,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:00:30,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:00:40,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:00:50,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:01:01,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:50:06,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:50:16,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:50:27,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:50:37,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:50:48,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:50:58,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:55:08,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:55:18,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:55:29,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:55:39,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:55:49,7.3,7.6,7.2,0.05,3,1
2018-01-11 06:56:00,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:00:10,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:00:20,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:00:30,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:00:41,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:00:51,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:50:06,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:50:16,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:50:26,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:50:37,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:50:47,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:50:58,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:55:08,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:55:18,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:55:28,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:55:39,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:55:49,7.3,7.6,7.2,0.05,3,1
2018-01-11 07:56:00,7.3,7.6,7.2,0.05,3,1
2018-01-11 08:00:09,7.3,7.6,7.2,0.05,3,1
2018-01-11 08:00:20,7.3,7.6,7.2,0.05,3,1
2018-01-11 08:00:41,7.3,7.6,7.2,0.05,3,1
2018-01-11 08:00:51,7.3,7.6,7.2,0.05,3,1
2018-01-11 08:50:08,7.3,7.6,7.2,0.05,3,1
2018-01-11 08:50:18,7.3,7.6,7.2,0.05,3,1
2018-01-11 08:50:29,7.3,7.6,7.2,0.06,3,1
2018-01-11 08:50:39,7.3,7.6,7.2,0.05,3,1
2018-01-11 08:50:49,7.3,7.6,7.2,0.05,3,1
2018-01-11 08:51:00,7.3,7.6,7.2,0.05,3,1
2018-01-11 08:55:09,7.3,7.6,7.2,0.06,3,1
2018-01-11 08:55:20,7.3,7.6,7.2,0.06,3,1
2018-01-11 08:55:30,7.3,7.6,7.2,0.06,3,1
2018-01-11 08:55:40,7.3,7.6,7.2,0.05,3,1
2018-01-11 08:55:51,7.3,7.6,7.2,0.05,3,1
2018-01-11 09:00:11,7.3,7.6,7.2,0.05,3,1
2018-01-11 09:00:21,7.3,7.6,7.2,0.05,3,1
2018-01-11 09:00:31,7.3,7.6,7.2,0.05,3,1
2018-01-11 09:00:42,7.3,7.6,7.2,0.05,3,1
2018-01-11 09:00:52,7.3,7.6,7.2,0.05,3,1
2018-01-11 09:50:07,7.3,7.6,7.2,0.06,3,1
2018-01-11 09:50:18,7.3,7.6,7.2,0.06,3,1
2018-01-11 09:50:28,7.3,7.6,7.2,0.06,3,1
2018-01-11 09:50:38,7.3,7.6,7.2,0.06,3,1
2018-01-11 09:50:49,7.3,7.6,7.2,0.06,3,1
2018-01-11 09:50:59,7.3,7.6,7.2,0.06,3,1
2018-01-11 09:55:09,7.3,7.6,7.2,0.06,3,1
2018-01-11 09:55:19,7.3,7.6,7.2,0.06,3,1
2018-01-11 09:55:30,7.3,7.6,7.2,0.06,3,1
2018-01-11 09:55:40,7.3,7.6,7.2,0.06,3,1
2018-01-11 09:55:50,7.3,7.6,7.2,0.06,3,1
2018-01-11 09:56:01,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:00:11,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:00:21,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:00:31,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:00:42,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:00:52,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:50:07,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:50:17,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:50:28,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:50:38,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:50:49,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:50:59,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:55:09,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:55:19,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:55:30,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:55:40,7.3,7.6,7.2,0.06,3,1
2018-01-11 10:55:51,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:00:11,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:00:21,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:00:31,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:00:42,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:00:52,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:50:08,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:50:18,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:50:28,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:50:39,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:50:49,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:51:00,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:55:09,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:55:20,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:55:30,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:55:41,7.3,7.6,7.2,0.06,3,1
2018-01-11 11:55:51,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:00:11,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:00:22,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:00:32,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:00:42,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:00:53,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:50:09,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:50:19,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:50:30,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:50:40,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:50:50,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:51:01,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:55:11,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:55:21,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:55:31,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:55:42,7.3,7.6,7.2,0.06,3,1
2018-01-11 12:55:52,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:00:02,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:00:12,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:00:23,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:00:33,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:00:43,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:00:54,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:50:11,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:50:21,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:50:31,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:50:42,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:50:52,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:55:02,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:55:12,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:55:23,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:55:33,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:55:44,7.3,7.6,7.2,0.06,3,1
2018-01-11 13:55:54,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:00:04,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:00:14,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:00:24,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:00:35,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:00:45,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:00:56,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:50:02,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:50:12,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:50:23,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:50:33,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:50:43,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:50:54,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:55:04,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:55:14,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:55:25,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:55:35,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:55:45,7.3,7.6,7.2,0.06,3,1
2018-01-11 14:55:56,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:00:05,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:00:16,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:00:26,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:00:36,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:00:47,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:00:57,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:50:03,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:50:14,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:50:24,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:50:35,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:50:45,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:50:56,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:55:05,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:55:15,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:55:26,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:55:36,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:55:47,7.3,7.6,7.2,0.06,3,1
2018-01-11 15:55:57,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:00:06,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:00:17,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:00:27,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:00:38,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:00:48,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:00:58,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:50:09,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:50:20,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:50:30,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:50:40,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:50:51,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:55:11,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:55:21,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:55:32,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:55:42,7.3,7.6,7.2,0.06,3,1
2018-01-11 16:55:53,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:00:02,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:00:12,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:00:23,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:00:33,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:00:43,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:00:54,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:50:11,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:50:21,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:50:31,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:50:42,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:50:52,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:55:02,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:55:12,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:55:23,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:55:33,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:55:44,7.3,7.6,7.2,0.06,3,1
2018-01-11 17:55:54,7.3,7.6,7.2,0.06,3,1
2018-01-11 18:00:04,7.3,7.6,7.2,0.06,3,1
2018-01-11 18:00:14,7.3,7.6,7.2,0.06,3,1
2018-01-11 18:00:25,7.3,7.6,7.2,0.06,3,1
2018-01-11 18:00:35,7.3,7.6,7.2,0.06,3,1
2018-01-11 18:00:45,7.3,7.6,7.2,0.06,3,1
2018-01-11 18:00:56,7.3,7.6,7.2,0.06,3,1
2018-01-11 18:50:05,7.3,7.6,7.2,0.05,3,1
2018-01-11 18:50:15,7.3,7.6,7.2,0.05,3,1
2018-01-11 18:50:26,7.3,7.6,7.2,0.05,3,1
2018-01-11 18:50:36,7.3,7.6,7.2,0.05,3,1
2018-01-11 18:50:47,7.3,7.6,7.2,0.05,3,1
2018-01-11 18:50:57,7.3,7.6,7.2,0.05,3,1
2018-01-11 18:55:06,7.3,7.6,7.2,0.05,3,1
2018-01-11 18:55:17,7.3,7.6,7.2,0.05,3,1
2018-01-11 18:55:27,7.3,7.6,7.2,0.05,3,1
2018-01-11 18:55:38,7.3,7.6,7.2,0.05,3,1
2018-01-11 18:55:48,7.3,7.6,7.2,0.05,3,1
2018-01-11 18:55:58,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:00:08,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:00:19,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:00:29,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:00:39,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:00:50,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:01:00,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:25:11,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:25:22,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:25:32,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:25:42,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:25:53,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:30:02,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:30:13,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:30:23,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:30:34,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:30:44,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:30:54,7.3,7.6,7.2,0.05,3,1
2018-01-11 19:35:04,7.3,7.6,7.2,0.05,3,1
