"53228632, x","53228632, y","53228632 (1), x","53228632 (1), y","53228632 (2), x; 53236473 (2), x","53228632 (2), y","53236473, x","53236473, y","53236473 (1), x","53236473 (1), y","53236473 (2), y"
2017-09-07 17:08:18.70,0.14,2017-10-16 00:08:49.86,0.05,2017-09-17,12.47,2017-09-07 17:07:30.03,0.07,2017-10-16 00:09:48.80,0.04,5.94
2017-09-07 17:08:51.36,0.15,2017-10-16 00:09:49.25,0.06,2017-09-18,12.95,2017-09-07 17:07:58.75,0.07,2017-10-16 00:10:16.02,0.04,7.69
2017-09-07 17:09:49.75,0.16,2017-10-16 00:10:21.97,0.06,2017-09-19,13.39,2017-09-07 17:09:59.53,0.09,2017-10-16 00:11:16.91,0.04,8.49
2017-09-07 17:10:49.20,0.18,2017-10-16 00:11:20.36,0.06,2017-09-20,12.28,2017-09-07 17:10:28.25,0.09,2017-10-16 00:11:48.14,0.05,7.87
2017-09-07 17:11:21.87,0.19,2017-10-16 00:12:52.47,0.07,2017-09-21,27.2,2017-09-07 17:10:59.92,0.09,2017-10-16 00:12:50.03,0.05,15.58
2017-09-07 17:12:22.75,0.2,2017-10-16 00:13:53.36,0.08,2017-09-22,13.74,2017-09-07 17:11:30.14,0.1,2017-10-16 00:13:18.70,0.05,8.85
2017-09-07 17:12:51.48,0.21,2017-10-16 00:14:22.08,0.08,2017-09-23,13.56,2017-09-07 17:12:32.03,0.1,2017-10-16 00:15:19.53,0.06,11.39
2017-09-07 17:13:21.65,0.22,2017-10-16 00:14:52.25,0.08,2017-09-24,12.21,2017-09-07 17:14:02.64,0.11,2017-10-16 00:15:48.20,0.07,9.75
2017-09-07 17:13:51.87,0.22,2017-10-16 00:15:22.47,0.08,2017-09-25,11.49,2017-09-07 17:15:02.03,0.12,2017-10-16 00:16:19.92,0.07,10.44
2017-09-07 17:14:22.59,0.23,2017-10-16 00:15:53.14,0.09,2017-09-26,13.15,2017-09-07 17:16:01.92,0.12,2017-10-16 00:16:50.09,0.08,9.74
2017-09-07 17:15:52.65,0.25,2017-10-16 00:17:23.25,0.09,2017-09-27,11.22,2017-09-07 17:16:33.14,0.13,2017-10-16 00:17:51.98,0.09,8.62
2017-09-07 17:18:22.64,0.29,2017-10-16 00:19:53.25,0.1,2017-09-28,13.51,2017-09-07 17:17:03.81,0.13,2017-10-16 00:19:22.59,0.1,8.23
2017-09-07 17:18:53.87,0.29,2017-10-16 00:20:24.42,0.1,2017-09-29,12.06,2017-09-07 17:17:31.03,0.13,2017-10-16 00:20:21.98,0.11,10.35
2017-09-07 17:19:24.53,0.3,2017-10-16 00:20:55.14,0.1,2017-09-30,10.65,2017-09-07 17:18:31.92,0.14,2017-10-16 00:21:53.09,0.12,14.49
2017-09-07 17:19:54.26,0.31,2017-10-16 00:21:24.86,0.1,2017-10-01,9.31,2017-09-07 17:19:03.09,0.14,2017-10-16 00:22:23.81,0.13,8.12
2017-09-07 17:20:53.64,0.32,2017-10-16 00:22:24.25,0.11,2017-10-02,9.5,2017-09-07 17:20:04.98,0.15,2017-10-16 00:22:50.98,0.13,8.01
2017-09-07 17:21:26.37,0.33,2017-10-16 00:22:56.92,0.11,2017-10-03,10.65,2017-09-07 17:20:33.70,0.16,2017-10-16 00:23:51.87,0.14,10.15
2017-09-07 17:22:24.76,0.34,2017-10-16 00:23:55.31,0.11,2017-10-04,10.87,2017-09-07 17:22:34.48,0.18,2017-10-16 00:24:23.09,0.15,10.93
2017-09-07 17:23:24.14,0.35,2017-10-16 00:25:27.42,0.12,2017-10-05,10.49,2017-09-07 17:23:03.20,0.18,2017-10-16 00:25:24.98,0.16,6.44
2017-09-07 17:23:56.81,0.36,2017-10-16 00:26:28.31,0.12,2017-10-06,11.02,2017-09-07 17:23:34.87,0.18,2017-10-16 00:25:53.70,0.16,9.26
2017-09-07 17:24:57.75,0.38,2017-10-16 00:26:57.03,0.12,2017-10-07,12.47,2017-09-07 17:24:05.09,0.19,2017-10-16 00:27:54.48,0.18,13.72
2017-09-07 17:25:26.42,0.38,2017-10-16 00:27:27.20,0.12,2017-10-08,12.41,2017-09-07 17:25:06.98,0.2,2017-10-16 00:28:23.15,0.18,10.95
2017-09-07 17:25:56.64,0.39,2017-10-16 00:27:57.42,0.12,2017-10-09,13.63,2017-09-07 17:26:37.59,0.21,2017-10-16 00:28:54.87,0.19,11.95
2017-09-07 17:26:26.81,0.4,2017-10-16 00:28:28.14,0.13,2017-10-10,9.18,2017-09-07 17:27:36.98,0.22,2017-10-16 00:29:25.09,0.19,9.28
2017-09-07 17:26:57.53,0.4,2017-10-16 00:28:28.14,0.13,2017-10-12,0.48,2017-09-07 17:28:36.87,0.23,2017-10-16 00:30:26.98,0.2,0.26
2017-09-07 17:28:27.64,0.42,2017-10-16 00:29:58.20,0.13,2017-10-13,8.03,2017-09-07 17:29:08.09,0.23,2017-10-16 00:31:57.54,0.22,6.55
2017-09-07 17:30:57.64,0.46,2017-10-16 00:29:58.20,0.13,2017-10-14,7.65,2017-09-07 17:29:38.76,0.24,2017-10-16 00:32:56.98,0.23,6.54
2017-09-07 17:31:28.81,0.46,2017-10-16 00:32:28.20,0.14,2017-10-15,6.78,2017-09-07 17:30:05.98,0.24,2017-10-16 00:34:28.03,0.23,7.37
2017-09-07 17:31:59.53,0.47,2017-10-16 00:32:59.42,0.14,2017-10-16,,2017-09-07 17:31:06.87,0.25,2017-10-16 00:34:58.76,0.24,
2017-09-07 17:32:29.20,0.48,2017-10-16 00:33:30.09,0.14,,,2017-09-07 17:31:38.09,0.25,2017-10-16 00:35:25.92,0.24,
2017-09-07 17:33:28.59,0.49,2017-10-16 00:33:59.81,0.14,,,2017-09-07 17:32:39.98,0.26,2017-10-16 00:36:26.87,0.24,
2017-09-07 17:34:01.31,0.5,2017-10-16 00:34:59.20,0.15,,,2017-09-07 17:33:08.65,0.26,2017-10-16 00:36:58.04,0.24,
2017-09-07 17:34:59.70,0.51,2017-10-16 00:35:31.92,0.15,,,2017-09-07 17:35:09.48,0.27,2017-10-16 00:37:59.92,0.25,
2017-09-07 17:35:59.09,0.53,2017-10-16 00:36:30.31,0.16,,,2017-09-07 17:35:38.15,0.28,2017-10-16 00:38:28.64,0.25,
2017-09-07 17:36:31.81,0.53,2017-10-16 00:38:02.42,0.17,,,2017-09-07 17:36:09.87,0.28,2017-10-16 00:40:29.42,0.25,
2017-09-07 17:37:32.70,0.55,2017-10-16 00:39:03.31,0.17,,,2017-09-07 17:36:40.04,0.28,2017-10-16 00:40:58.14,0.25,
2017-09-07 17:38:01.42,0.55,2017-10-16 00:39:31.98,0.18,,,2017-09-07 17:37:41.93,0.29,2017-10-16 00:41:29.81,0.26,
2017-09-07 17:38:31.59,0.56,2017-10-16 00:40:02.20,0.18,,,2017-09-07 17:39:12.54,0.3,2017-10-16 00:42:00.03,0.26,
2017-09-07 17:38:31.59,0.56,2017-10-16 00:40:32.37,0.18,,,2017-09-07 17:40:11.93,0.31,2017-10-16 00:43:01.92,0.26,
2017-09-07 17:39:01.81,0.57,2017-10-16 00:41:03.09,0.19,,,2017-09-07 17:41:43.04,0.31,2017-10-16 00:44:32.53,0.27,
2017-09-07 17:39:32.48,0.58,2017-10-16 00:42:33.20,0.19,,,2017-09-07 17:42:13.76,0.32,2017-10-16 00:45:31.92,0.27,
2017-09-07 17:41:02.59,0.6,2017-10-16 00:45:03.20,0.21,,,2017-09-07 17:43:41.82,0.33,2017-10-16 00:47:03.03,0.27,
2017-09-07 17:43:32.59,0.64,2017-10-16 00:45:34.37,0.21,,,2017-09-07 17:44:13.03,0.33,2017-10-16 00:47:33.70,0.27,
2017-09-07 17:44:03.76,0.65,2017-10-16 00:46:05.09,0.21,,,2017-09-07 17:45:14.92,0.34,2017-10-16 00:48:00.92,0.27,
2017-09-07 17:44:34.48,0.66,2017-10-16 00:46:34.76,0.22,,,2017-09-07 17:45:43.64,0.34,2017-10-16 00:49:01.81,0.28,
2017-09-07 17:45:04.20,0.67,2017-10-16 00:47:34.20,0.22,,,2017-09-07 17:47:44.42,0.35,2017-10-16 00:49:32.98,0.28,
2017-09-07 17:46:03.59,0.68,2017-10-16 00:48:06.87,0.23,,,2017-09-07 17:48:13.09,0.36,2017-10-16 00:50:34.92,0.28,
2017-09-07 17:46:36.26,0.69,2017-10-16 00:49:05.26,0.23,,,2017-09-07 17:48:44.81,0.36,2017-10-16 00:51:03.59,0.28,
2017-09-07 17:47:34.65,0.71,2017-10-16 00:50:37.36,0.24,,,2017-09-07 17:49:15.03,0.36,2017-10-16 00:53:04.37,0.29,
2017-09-07 17:49:06.76,0.73,2017-10-16 00:51:38.25,0.25,,,2017-09-07 17:50:16.92,0.37,2017-10-16 00:53:33.09,0.29,
2017-09-07 17:50:07.65,0.75,2017-10-16 00:52:06.97,0.25,,,2017-09-07 17:51:47.48,0.38,2017-10-16 00:54:04.81,0.3,
2017-09-07 17:50:36.37,0.76,2017-10-16 00:52:37.14,0.26,,,2017-09-07 17:52:46.92,0.38,2017-10-16 00:54:34.98,0.3,
2017-09-07 17:51:06.59,0.77,2017-10-16 00:53:07.36,0.26,,,2017-09-07 17:54:17.98,0.39,2017-10-16 00:55:36.87,0.3,
2017-09-07 17:51:36.76,0.77,2017-10-16 00:53:38.03,0.26,,,2017-09-07 17:54:48.70,0.4,2017-10-16 00:57:07.48,0.31,
2017-09-07 17:52:07.48,0.78,2017-10-16 00:55:08.14,0.27,,,2017-09-07 17:55:15.87,0.4,2017-10-16 00:58:06.87,0.32,
2017-09-07 17:53:37.54,0.81,2017-10-16 00:57:38.14,0.29,,,2017-09-07 17:56:16.81,0.41,2017-10-16 00:59:37.98,0.33,
2017-09-07 17:56:07.54,0.84,2017-10-16 00:58:09.36,0.29,,,2017-09-07 17:56:47.98,0.41,2017-10-16 01:00:08.64,0.33,
2017-09-07 17:56:38.76,0.85,2017-10-16 00:58:40.03,0.29,,,2017-09-07 17:57:49.87,0.42,2017-10-16 01:00:35.86,0.33,
2017-09-07 17:57:09.42,0.85,2017-10-16 00:59:09.75,0.29,,,2017-09-07 17:58:18.59,0.43,2017-10-16 01:01:36.75,0.34,
2017-09-07 17:57:09.42,0.85,2017-10-16 01:00:09.14,0.3,,,2017-09-07 18:00:19.37,0.44,2017-10-16 01:02:07.97,0.34,
2017-09-07 17:57:39.15,0.86,2017-10-16 01:00:41.86,0.3,,,2017-09-07 18:00:48.09,0.45,2017-10-16 01:03:09.86,0.35,
2017-09-07 17:58:38.54,0.87,2017-10-16 01:01:40.25,0.3,,,2017-09-07 18:01:19.76,0.45,2017-10-16 01:03:38.53,0.35,
2017-09-07 17:59:11.26,0.88,2017-10-16 01:03:12.31,0.31,,,2017-09-07 18:01:49.98,0.46,2017-10-16 01:05:39.36,0.36,
2017-09-07 18:00:09.65,0.9,2017-10-16 01:04:13.25,0.32,,,2017-09-07 18:02:51.87,0.46,2017-10-16 01:06:08.03,0.36,
2017-09-07 18:01:09.03,0.91,2017-10-16 01:04:41.92,0.33,,,2017-09-07 18:04:22.48,0.48,2017-10-16 01:06:39.75,0.37,
2017-09-07 18:01:41.76,0.92,2017-10-16 01:05:12.14,0.33,,,2017-09-07 18:05:21.87,0.49,2017-10-16 01:07:09.92,0.37,
2017-09-07 18:02:42.64,0.93,2017-10-16 01:05:42.31,0.33,,,2017-09-07 18:06:52.98,0.5,2017-10-16 01:08:11.86,0.37,
2017-09-07 18:03:11.31,0.94,2017-10-16 01:06:13.03,0.33,,,2017-09-07 18:07:23.65,0.5,2017-10-16 01:09:42.42,0.38,
2017-09-07 18:03:41.53,0.94,2017-10-16 01:07:43.14,0.34,,,2017-09-07 18:07:50.87,0.51,2017-10-16 01:10:41.81,0.39,
2017-09-07 18:04:11.70,0.95,2017-10-16 01:10:13.09,0.35,,,2017-09-07 18:08:51.76,0.51,2017-10-16 01:12:12.92,0.39,
2017-09-07 18:04:42.42,0.96,2017-10-16 01:10:44.31,0.35,,,2017-09-07 18:09:22.98,0.52,2017-10-16 01:12:43.64,0.4,
2017-09-07 18:06:12.53,0.98,2017-10-16 01:11:15.03,0.36,,,2017-09-07 18:10:24.87,0.53,2017-10-16 01:13:10.81,0.4,
2017-09-07 18:08:42.53,1.01,2017-10-16 01:11:44.70,0.36,,,2017-09-07 18:10:53.54,0.53,2017-10-16 01:14:11.70,0.4,
2017-09-07 18:09:13.70,1.02,2017-10-16 01:12:44.09,0.36,,,2017-09-07 18:12:54.31,0.54,2017-10-16 01:14:42.92,0.41,
2017-09-07 18:09:44.42,1.03,2017-10-16 01:13:16.81,0.37,,,2017-09-07 18:13:23.04,0.54,2017-10-16 01:15:44.81,0.41,
2017-09-07 18:10:14.09,1.03,2017-10-16 01:14:15.20,0.37,,,2017-09-07 18:13:54.76,0.55,2017-10-16 01:16:13.53,0.41,
2017-09-07 18:11:13.53,1.05,2017-10-16 01:15:47.31,0.38,,,2017-09-07 18:14:24.93,0.55,2017-10-16 01:18:14.31,0.42,
2017-09-07 18:11:46.20,1.05,2017-10-16 01:16:48.20,0.39,,,2017-09-07 18:15:26.81,0.56,2017-10-16 01:18:43.03,0.43,
2017-09-07 18:12:44.59,1.07,2017-10-16 01:17:16.92,0.39,,,2017-09-07 18:16:57.42,0.56,2017-10-16 01:19:14.70,0.43,
2017-09-07 18:14:16.70,1.09,2017-10-16 01:17:47.09,0.39,,,2017-09-07 18:17:56.81,0.57,2017-10-16 01:19:44.93,0.43,
2017-09-07 18:15:17.59,1.1,2017-10-16 01:18:17.31,0.4,,,2017-09-07 18:19:27.92,0.58,2017-10-16 01:20:46.81,0.44,
2017-09-07 18:15:46.31,1.11,2017-10-16 01:18:47.98,0.4,,,2017-09-07 18:19:58.59,0.58,2017-10-16 01:22:17.43,0.45,
2017-09-07 18:16:16.48,1.11,2017-10-16 01:20:18.09,0.41,,,2017-09-07 18:20:25.81,0.58,2017-10-16 01:23:16.82,0.45,
2017-09-07 18:16:46.70,1.12,2017-10-16 01:22:48.09,0.43,,,2017-09-07 18:21:26.70,0.59,2017-10-16 01:24:47.87,0.47,
2017-09-07 18:17:17.37,1.13,2017-10-16 01:23:19.26,0.43,,,2017-09-07 18:21:57.92,0.59,2017-10-16 01:25:18.59,0.48,
2017-09-07 18:18:47.48,1.15,2017-10-16 01:23:49.98,0.44,,,2017-09-07 18:22:59.81,0.6,2017-10-16 01:25:45.82,0.49,
2017-09-07 18:21:17.48,1.19,2017-10-16 01:24:19.70,0.44,,,2017-09-07 18:23:28.48,0.6,2017-10-16 01:26:46.71,0.49,
2017-09-07 18:21:48.70,1.2,2017-10-16 01:25:19.09,0.45,,,2017-09-07 18:25:29.31,0.62,2017-10-16 01:27:17.87,0.5,
2017-09-07 18:22:19.37,1.2,2017-10-16 01:25:51.76,0.45,,,2017-09-07 18:25:57.98,0.62,2017-10-16 01:28:19.76,0.5,
2017-09-07 18:22:49.09,1.21,2017-10-16 01:26:50.15,0.46,,,2017-09-07 18:26:29.70,0.62,2017-10-16 01:28:48.48,0.51,
2017-09-07 18:23:48.48,1.23,2017-10-16 01:28:22.26,0.46,,,2017-09-07 18:26:59.92,0.62,2017-10-16 01:30:49.26,0.52,
2017-09-07 18:24:21.15,1.24,2017-10-16 01:29:23.15,0.47,,,2017-09-07 18:28:01.81,0.63,2017-10-16 01:31:17.98,0.53,
2017-09-07 18:25:19.59,1.25,2017-10-16 01:29:51.87,0.47,,,2017-09-07 18:29:32.37,0.64,2017-10-16 01:31:49.71,0.53,
2017-09-07 18:26:51.65,1.28,2017-10-16 01:30:22.09,0.48,,,2017-09-07 18:30:31.76,0.65,2017-10-16 01:32:19.87,0.53,
2017-09-07 18:27:52.54,1.29,2017-10-16 01:30:22.09,0.48,,,2017-09-07 18:31:31.70,0.65,2017-10-16 01:33:21.76,0.54,
2017-09-07 18:28:21.26,1.3,2017-10-16 01:30:52.26,0.48,,,2017-09-07 18:32:02.87,0.65,2017-10-16 01:34:52.37,0.55,
2017-09-07 18:28:51.48,1.31,2017-10-16 01:31:22.98,0.48,,,2017-09-07 18:32:33.59,0.66,2017-10-16 01:35:51.76,0.56,
2017-09-07 18:29:21.65,1.32,2017-10-16 01:32:53.04,0.49,,,2017-09-07 18:33:00.76,0.66,2017-10-16 01:37:22.87,0.57,
2017-09-07 18:29:52.37,1.33,2017-10-16 01:35:23.04,0.5,,,2017-09-07 18:34:01.65,0.67,2017-10-16 01:37:53.54,0.57,
2017-09-07 18:31:22.48,1.35,2017-10-16 01:35:54.26,0.51,,,2017-09-07 18:34:32.87,0.68,2017-10-16 01:38:20.76,0.58,
2017-09-07 18:33:52.43,1.39,2017-10-16 01:36:24.93,0.51,,,2017-09-07 18:35:34.76,0.68,2017-10-16 01:39:21.65,0.58,
2017-09-07 18:34:23.65,1.4,2017-10-16 01:36:54.65,0.51,,,2017-09-07 18:36:03.48,0.69,2017-10-16 01:39:52.87,0.59,
2017-09-07 18:34:54.37,1.41,2017-10-16 01:37:54.04,0.51,,,2017-09-07 18:38:04.26,0.71,2017-10-16 01:40:54.76,0.59,
2017-09-07 18:35:24.04,1.42,2017-10-16 01:38:26.76,0.52,,,2017-09-07 18:38:32.98,0.71,2017-10-16 01:41:23.43,0.6,
2017-09-07 18:36:23.42,1.43,2017-10-16 01:39:25.15,0.52,,,2017-09-07 18:39:04.65,0.71,2017-10-16 01:43:24.26,0.61,
2017-09-07 18:36:56.14,1.44,2017-10-16 01:40:57.26,0.52,,,2017-09-07 18:39:34.87,0.72,2017-10-16 01:43:52.93,0.61,
2017-09-07 18:37:54.53,1.45,2017-10-16 01:41:58.15,0.53,,,2017-09-07 18:40:36.76,0.73,2017-10-16 01:44:24.65,0.62,
2017-09-07 18:39:26.64,1.47,2017-10-16 01:42:26.82,0.53,,,2017-09-07 18:42:07.37,0.74,2017-10-16 01:44:54.82,0.62,
2017-09-07 18:40:27.53,1.48,2017-10-16 01:42:57.04,0.53,,,2017-09-07 18:43:06.76,0.75,2017-10-16 01:45:56.76,0.63,
2017-09-07 18:40:56.20,1.49,2017-10-16 01:43:27.26,0.53,,,2017-09-07 18:44:06.65,0.76,2017-10-16 01:47:27.32,0.63,
2017-09-07 18:41:26.42,1.5,2017-10-16 01:43:57.93,0.53,,,2017-09-07 18:44:37.87,0.76,2017-10-16 01:48:26.71,0.64,
2017-09-07 18:41:56.64,1.5,2017-10-16 01:45:28.04,0.54,,,2017-09-07 18:45:08.53,0.76,2017-10-16 01:49:57.82,0.65,
2017-09-07 18:42:27.31,1.51,2017-10-16 01:47:58.04,0.55,,,2017-09-07 18:45:35.76,0.77,2017-10-16 01:50:28.54,0.65,
2017-09-07 18:43:57.42,1.53,2017-10-16 01:48:29.21,0.55,,,2017-09-07 18:46:36.64,0.78,2017-10-16 01:50:55.71,0.65,
2017-09-07 18:46:27.42,1.57,2017-10-16 01:48:59.93,0.55,,,2017-09-07 18:47:07.87,0.78,2017-10-16 01:51:56.60,0.66,
2017-09-07 18:46:58.59,1.57,2017-10-16 01:49:29.60,0.55,,,2017-09-07 18:48:09.70,0.79,2017-10-16 01:52:27.82,0.66,
2017-09-07 18:47:29.31,1.58,2017-10-16 01:50:29.04,0.55,,,2017-09-07 18:48:38.42,0.79,2017-10-16 01:53:29.71,0.67,
2017-09-07 18:47:29.31,1.58,2017-10-16 01:51:01.71,0.56,,,2017-09-07 18:50:39.20,0.8,2017-10-16 01:53:58.43,0.67,
2017-09-07 18:47:58.98,1.59,2017-10-16 01:52:00.10,0.56,,,2017-09-07 18:51:07.92,0.8,2017-10-16 01:55:59.21,0.68,
2017-09-07 18:48:58.42,1.6,2017-10-16 01:53:32.21,0.56,,,2017-09-07 18:51:39.59,0.81,2017-10-16 01:56:27.93,0.68,
2017-09-07 18:49:31.09,1.61,2017-10-16 01:54:33.10,0.57,,,2017-09-07 18:52:09.81,0.81,2017-10-16 01:56:59.60,0.68,
2017-09-07 18:50:29.48,1.62,2017-10-16 01:55:01.82,0.57,,,2017-09-07 18:53:11.70,0.82,2017-10-16 01:57:29.82,0.69,
2017-09-07 18:51:28.87,1.64,2017-10-16 01:55:31.99,0.57,,,2017-09-07 18:54:42.31,0.83,2017-10-16 01:58:31.71,0.69,
2017-09-07 18:52:01.59,1.64,2017-10-16 01:56:02.21,0.57,,,2017-09-07 18:55:41.70,0.83,2017-10-16 02:00:02.32,0.69,
2017-09-07 18:53:02.48,1.66,2017-10-16 01:56:32.88,0.57,,,2017-09-07 18:56:41.59,0.84,2017-10-16 02:01:01.71,0.7,
2017-09-07 18:53:31.20,1.66,2017-10-16 01:58:02.99,0.58,,,2017-09-07 18:57:12.81,0.84,2017-10-16 02:02:32.77,0.7,
2017-09-07 18:54:01.37,1.67,2017-10-16 02:00:32.99,0.6,,,2017-09-07 18:57:43.48,0.84,2017-10-16 02:03:03.49,0.7,
2017-09-07 18:54:31.59,1.68,2017-10-16 02:01:04.21,0.6,,,2017-09-07 18:58:10.70,0.85,2017-10-16 02:03:30.71,0.7,
2017-09-07 18:55:02.31,1.68,2017-10-16 02:01:34.88,0.6,,,2017-09-07 18:59:11.59,0.85,2017-10-16 02:04:31.60,0.71,
2017-09-07 18:56:32.37,1.7,2017-10-16 02:02:04.60,0.61,,,2017-09-07 18:59:42.81,0.86,2017-10-16 02:05:02.77,0.71,
2017-09-07 18:59:02.37,1.74,2017-10-16 02:03:03.99,0.61,,,2017-09-07 19:00:44.70,0.86,2017-10-16 02:06:04.66,0.71,
2017-09-07 18:59:33.59,1.75,2017-10-16 02:03:36.71,0.62,,,2017-09-07 19:01:13.37,0.86,2017-10-16 02:06:33.38,0.71,
2017-09-07 19:00:04.26,1.75,2017-10-16 02:04:35.10,0.62,,,2017-09-07 19:03:14.20,0.88,2017-10-16 02:08:34.16,0.72,
2017-09-07 19:00:33.98,1.76,2017-10-16 02:06:07.16,0.63,,,2017-09-07 19:03:42.87,0.88,2017-10-16 02:09:02.88,0.72,
2017-09-07 19:01:33.37,1.77,2017-10-16 02:07:08.10,0.64,,,2017-09-07 19:04:14.59,0.88,2017-10-16 02:09:34.55,0.72,
2017-09-07 19:02:06.09,1.78,2017-10-16 02:07:36.77,0.64,,,2017-09-07 19:04:44.76,0.89,2017-10-16 02:10:04.77,0.72,
2017-09-07 19:03:04.48,1.8,2017-10-16 02:08:06.99,0.64,,,2017-09-07 19:05:46.65,0.89,2017-10-16 02:11:06.66,0.72,
2017-09-07 19:04:03.87,1.81,2017-10-16 02:08:37.16,0.64,,,2017-09-07 19:07:17.26,0.9,2017-10-16 02:12:37.27,0.73,
2017-09-07 19:04:36.54,1.82,2017-10-16 02:09:07.88,0.65,,,2017-09-07 19:08:16.65,0.91,2017-10-16 02:13:36.66,0.73,
2017-09-07 19:05:37.48,1.84,2017-10-16 02:10:37.99,0.66,,,2017-09-07 19:09:16.54,0.91,2017-10-16 02:15:07.77,0.74,
2017-09-07 19:06:06.15,1.85,2017-10-16 02:13:07.94,0.67,,,2017-09-07 19:09:47.76,0.92,2017-10-16 02:15:38.44,0.74,
2017-09-07 19:06:36.37,1.86,2017-10-16 02:13:39.16,0.67,,,2017-09-07 19:10:18.48,0.92,2017-10-16 02:16:05.66,0.75,
2017-09-07 19:07:06.54,1.86,2017-10-16 02:14:09.88,0.68,,,2017-09-07 19:10:45.65,0.93,2017-10-16 02:17:06.55,0.75,
2017-09-07 19:07:37.26,1.87,2017-10-16 02:14:39.55,0.68,,,2017-09-07 19:11:46.54,0.93,2017-10-16 02:17:37.77,0.76,
2017-09-07 19:09:07.37,1.9,2017-10-16 02:15:38.94,0.68,,,2017-09-07 19:12:17.76,0.94,2017-10-16 02:18:39.66,0.76,
2017-09-07 19:11:37.32,1.94,2017-10-16 02:16:11.66,0.69,,,2017-09-07 19:13:19.65,0.95,2017-10-16 02:19:08.33,0.76,
2017-09-07 19:12:08.54,1.95,2017-10-16 02:17:10.05,0.69,,,2017-09-07 19:13:48.37,0.95,2017-10-16 02:21:09.15,0.77,
2017-09-07 19:12:39.26,1.95,2017-10-16 02:18:42.16,0.7,,,2017-09-07 19:15:49.15,0.97,2017-10-16 02:21:37.82,0.78,
2017-09-07 19:13:08.93,1.96,2017-10-16 02:19:43.05,0.7,,,2017-09-07 19:16:17.82,0.97,2017-10-16 02:22:09.54,0.78,
2017-09-07 19:14:08.32,1.98,2017-10-16 02:20:11.77,0.7,,,2017-09-07 19:16:49.54,0.98,2017-10-16 02:22:09.54,0.78,
2017-09-07 19:14:41.04,1.99,2017-10-16 02:20:41.93,0.7,,,2017-09-07 19:17:19.76,0.98,2017-10-16 02:22:39.71,0.78,
2017-09-07 19:15:39.43,2.0,2017-10-16 02:20:41.93,0.7,,,2017-09-07 19:18:21.65,0.99,2017-10-16 02:23:41.60,0.79,
2017-09-07 19:16:38.82,2.02,2017-10-16 02:21:12.15,0.7,,,2017-09-07 19:19:52.21,1.01,2017-10-16 02:25:12.21,0.8,
2017-09-07 19:17:11.54,2.03,2017-10-16 02:21:42.82,0.71,,,2017-09-07 19:20:51.65,1.01,2017-10-16 02:26:11.59,0.8,
2017-09-07 19:18:12.43,2.04,2017-10-16 02:23:12.93,0.71,,,2017-09-07 19:22:22.71,1.03,2017-10-16 02:27:42.70,0.81,
2017-09-07 19:18:41.15,2.05,2017-10-16 02:25:42.93,0.72,,,2017-09-07 19:22:53.43,1.03,2017-10-16 02:28:13.42,0.81,
2017-09-07 19:19:11.32,2.06,2017-10-16 02:26:14.10,0.72,,,2017-09-07 19:23:20.60,1.04,2017-10-16 02:28:40.59,0.82,
2017-09-07 19:19:41.54,2.07,2017-10-16 02:26:44.82,0.72,,,2017-09-07 19:24:21.54,1.05,2017-10-16 02:29:41.48,0.82,
