"NO2, x; 人数, x","NO2, y","人数, y"
2014-06-16,23,241
2014-06-17,26,234
2014-06-18,29,198
2014-06-19,42,191
2014-06-20,34,193
2014-06-21,39,225
2014-06-22,58,147
2014-06-23,45,248
2014-06-24,55,227
2014-06-25,36,197
2014-06-26,26,212
2014-06-27,33,201
2014-06-28,45,201
2014-06-29,57,148
2014-06-30,56,196
2014-07-01,31,245
2014-07-02,34,223
2014-07-03,39,214
2014-07-04,47,193
2014-07-05,55,218
2014-07-06,52,125
2014-07-07,44,245
2014-07-08,32,227
2014-07-09,55,212
2014-07-10,56,186
2014-07-11,40,196
2014-07-12,47,195
2014-07-13,32,156
2014-07-14,27,239
2014-07-15,35,244
2014-07-16,32,193
2014-07-17,31,181
2014-07-18,25,248
2014-07-19,26,174
2014-07-20,28,140
2014-07-21,23,195
2014-07-22,36,164
2014-07-23,58,160
2014-07-24,72,160
2014-07-25,25,159
2014-07-26,46,142
2014-07-27,46,153
2014-07-28,32,287
2014-07-29,22,220
2014-07-30,26,205
2014-07-31,57,193
2014-08-01,42,223
2014-08-02,33,201
2014-08-03,43,167
2014-08-04,51,246
2014-08-05,54,203
2014-08-06,52,208
2014-08-07,37,246
2014-08-08,42,243
2014-08-09,47,207
2014-08-10,39,167
2014-08-11,39,227
2014-08-12,61,235
2014-08-13,26,231
2014-08-14,33,214
2014-08-15,37,231
2014-08-16,30,206
2014-08-17,64,133
2014-08-18,53,277
2014-08-19,79,242
2014-08-20,51,210
2014-08-21,35,198
2014-08-22,33,239
2014-08-23,31,227
2014-08-24,38,160
2014-08-25,59,264
2014-08-26,87,253
2014-08-27,58,216
2014-08-28,43,220
2014-08-29,55,219
2014-08-30,59,179
2014-08-31,42,163
2014-09-01,55,223
2014-09-02,53,205
2014-09-03,33,180
2014-09-04,43,203
2014-09-05,47,222
2014-09-06,59,258
2014-09-07,46,182
2014-09-08,39,178
2014-09-09,73,223
2014-09-10,75,245
2014-09-11,62,270
2014-09-12,39,233
2014-09-13,55,242
2014-09-14,52,156
2014-09-15,41,240
2014-09-16,47,196
2014-09-17,56,209
2014-09-18,67,217
2014-09-19,44,244
2014-09-20,31,260
2014-09-21,49,169
2014-09-22,61,314
2014-09-23,61,277
2014-09-24,55,238
2014-09-25,67,247
2014-09-26,39,227
2014-09-27,48,262
2014-09-28,67,152
2014-09-29,42,281
2014-09-30,48,243
2014-10-01,60,161
2014-10-02,51,184
2014-10-03,52,167
2014-10-04,53,165
2014-10-05,45,165
2014-10-06,52,262
2014-10-07,59,230
2014-10-08,65,207
2014-10-09,93,209
2014-10-10,92,188
2014-10-11,81,197
2014-10-12,54,136
2014-10-13,39,211
2014-10-14,58,253
2014-10-15,56,202
2014-10-16,50,177
2014-10-17,45,186
2014-10-18,55,252
2014-10-19,44,140
2014-10-20,67,247
2014-10-21,41,231
2014-10-22,75,207
2014-10-23,34,216
2014-10-24,21,200
2014-10-25,24,206
2014-10-26,46,127
2014-10-27,49,220
2014-10-28,93,221
2014-10-29,107,227
2014-10-30,104,217
2014-10-31,53,216
2014-11-01,56,245
2014-11-02,47,167
2014-11-03,55,270
2014-11-04,39,278
2014-11-05,63,211
2014-11-06,61,242
2014-11-07,50,211
2014-11-08,74,257
2014-11-09,78,170
2014-11-10,52,300
2014-11-11,43,240
2014-11-12,37,246
2014-11-13,59,256
2014-11-14,78,259
2014-11-15,85,331
2014-11-16,63,210
2014-11-17,57,336
2014-11-18,63,340
2014-11-19,59,300
2014-11-20,45,306
2014-11-21,106,312
2014-11-22,135,325
2014-11-23,91,216
2014-11-24,87,347
2014-11-25,67,364
2014-11-26,47,321
2014-11-27,65,337
2014-11-28,42,309
2014-11-29,68,306
2014-11-30,57,241
2014-12-01,25,338
2014-12-02,50,335
2014-12-03,67,342
2014-12-04,57,330
2014-12-05,88,329
2014-12-06,108,328
2014-12-07,92,250
2014-12-08,76,392
2014-12-09,74,353
2014-12-10,80,352
2014-12-11,61,356
2014-12-12,72,356
2014-12-13,60,373
2014-12-14,50,327
2014-12-15,40,416
2014-12-16,30,405
2014-12-17,62,386
2014-12-18,43,402
2014-12-19,59,412
2014-12-20,40,352
2014-12-21,44,346
2014-12-22,57,479
2014-12-23,60,433
2014-12-24,86,391
2014-12-25,74,428
2014-12-26,82,430
2014-12-27,71,443
2014-12-28,81,328
2014-12-29,76,442
2014-12-30,99,457
2014-12-31,31,430
2015-01-01,55,321
2015-01-02,76,275
2015-01-03,66,322
2015-01-04,156,408
2015-01-05,133,392
2015-01-06,46,346
2015-01-07,75,322
2015-01-08,79,340
2015-01-09,104,370
2015-01-10,93,370
2015-01-11,84,285
2015-01-12,78,350
2015-01-13,89,400
2015-01-14,81,326
2015-01-15,97,348
2015-01-16,71,322
2015-01-17,58,313
2015-01-18,42,273
2015-01-19,65,373
2015-01-20,56,346
2015-01-21,63,307
2015-01-22,53,296
2015-01-23,58,302
2015-01-24,109,299
2015-01-25,41,227
2015-01-26,55,340
2015-01-27,40,310
2015-01-28,55,275
2015-01-29,59,286
2015-01-30,50,264
2015-01-31,71,312
2015-02-01,72,206
2015-02-02,89,310
2015-02-03,94,352
2015-02-04,54,293
2015-02-05,50,276
2015-02-06,57,276
2015-02-07,64,291
2015-02-08,49,187
2015-02-09,45,266
2015-02-10,43,195
2015-02-11,96,220
2015-02-12,79,216
2015-02-13,73,236
2015-02-14,33,197
2015-02-15,52,194
2015-02-16,38,226
2015-02-17,53,201
2015-02-18,41,112
2015-02-19,42,79
2015-02-20,31,106
2015-02-21,37,145
2015-02-22,17,127
2015-02-23,43,143
2015-02-24,25,178
2015-02-25,39,242
2015-02-26,54,230
2015-02-27,40,238
2015-02-28,49,186
2015-03-01,43,187
2015-03-02,34,275
2015-03-03,29,228
2015-03-04,42,215
2015-03-05,53,210
2015-03-06,37,210
2015-03-07,41,184
2015-03-08,54,145
2015-03-09,40,195
2015-03-10,51,187
2015-03-11,46,192
2015-03-12,67,190
2015-03-13,88,155
2015-03-14,72,194
2015-03-15,58,123
2015-03-16,38,220
2015-03-17,63,202
2015-03-18,82,197
2015-03-19,104,177
2015-03-20,77,188
2015-03-21,43,195
2015-03-22,62,143
2015-03-23,68,228
2015-03-24,55,202
2015-03-25,44,202
2015-03-26,59,220
2015-03-27,36,187
2015-03-28,46,219
2015-03-29,60,138
2015-03-30,39,245
2015-03-31,52,220
2015-04-01,56,153
2015-04-02,38,179
2015-04-03,50,195
2015-04-04,74,162
2015-04-05,72,131
2015-04-06,34,206
2015-04-07,58,204
2015-04-08,44,196
2015-04-09,34,195
2015-04-10,33,203
2015-04-11,24,191
2015-04-12,20,114
2015-04-13,38,205
2015-04-14,34,248
2015-04-15,25,208
2015-04-16,24,228
2015-04-17,49,224
2015-04-18,70,254
2015-04-19,32,157
2015-04-20,48,201
2015-04-21,21,228
2015-04-22,49,195
2015-04-23,29,175
2015-04-24,93,173
2015-04-25,36,154
2015-04-26,15,139
2015-04-27,23,255
2015-04-28,57,193
2015-04-29,46,195
2015-04-30,43,225
2015-05-01,29,138
2015-05-02,25,128
2015-05-03,40,125
2015-05-04,34,218
2015-05-05,22,199
2015-05-06,60,161
2015-05-07,49,218
2015-05-08,28,197
2015-05-09,49,198
2015-05-10,36,116
2015-05-11,32,195
2015-05-12,29,223
2015-05-13,19,187
2015-05-14,39,216
2015-05-15,68,187
2015-05-16,47,176
2015-05-17,19,121
2015-05-18,36,274
2015-05-19,57,231
2015-05-20,43,205
2015-05-21,57,217
2015-05-22,47,197
2015-05-23,43,225
2015-05-24,72,151
2015-05-25,50,249
2015-05-26,31,238
2015-05-27,39,206
2015-05-28,48,224
2015-05-29,29,192
2015-05-30,49,248
2015-05-31,21,143
2015-06-01,21,238
2015-06-02,31,282
2015-06-03,55,228
2015-06-04,29,216
2015-06-05,24,217
2015-06-06,21,268
2015-06-07,42,143
2015-06-08,35,301
2015-06-09,35,252
2015-06-10,21,236
2015-06-11,26,226
2015-06-12,32,235
2015-06-13,31,288
2015-06-14,33,180
2015-06-15,51,270
2015-06-16,27,244
2015-06-17,35,210
2015-06-18,35,249
2015-06-19,33,217
2015-06-20,41,151
2015-06-21,43,138
2015-06-22,24,262
2015-06-23,27,256
2015-06-24,30,179
2015-06-25,36,165
2015-06-26,38,175
2015-06-27,38,197
2015-06-28,27,134
2015-06-29,36,200
2015-06-30,26,208
2015-07-01,35,211
2015-07-02,52,209
2015-07-03,50,178
2015-07-04,50,188
2015-07-05,32,140
2015-07-06,42,214
2015-07-07,28,231
2015-07-08,31,225
2015-07-09,46,236
2015-07-10,34,209
2015-07-11,38,198
2015-07-12,43,139
2015-07-13,35,273
2015-07-14,38,209
2015-07-15,52,212
2015-07-16,47,192
2015-07-17,50,205
2015-07-18,42,183
2015-07-19,39,136
2015-07-20,38,217
2015-07-21,42,181
2015-07-22,43,179
2015-07-23,50,247
2015-07-24,31,218
2015-07-25,31,229
2015-07-26,25,143
2015-07-27,26,230
2015-07-28,19,218
2015-07-29,18,201
2015-07-30,26,195
2015-07-31,28,222
2015-08-01,49,234
2015-08-02,20,175
2015-08-03,28,211
2015-08-04,32,179
2015-08-05,30,216
2015-08-06,30,185
2015-08-07,47,235
2015-08-08,40,175
2015-08-09,35,157
2015-08-10,43,266
2015-08-11,49,254
2015-08-12,42,251
2015-08-13,30,254
2015-08-14,22,258
2015-08-15,29,241
2015-08-16,33,149
2015-08-17,30,273
2015-08-18,42,253
2015-08-19,33,235
2015-08-20,42,232
2015-08-21,37,237
2015-08-22,43,221
2015-08-23,42,174
2015-08-24,36,296
2015-08-25,33,253
2015-08-26,36,256
2015-08-27,50,263
2015-08-28,54,266
2015-08-29,37,237
2015-08-30,48,162
2015-08-31,53,239
2015-09-01,26,274
2015-09-02,32,237
2015-09-03,40,167
2015-09-04,46,173
2015-09-05,39,176
2015-09-06,34,219
2015-09-07,50,270
2015-09-08,67,278
2015-09-09,63,237
2015-09-10,48,208
2015-09-11,37,234
2015-09-12,35,268
2015-09-13,43,159
2015-09-14,55,278
2015-09-15,53,284
2015-09-16,68,243
2015-09-17,66,245
2015-09-18,51,278
2015-09-19,85,310
2015-09-20,56,160
2015-09-21,65,288
2015-09-22,34,279
2015-09-23,44,260
2015-09-24,81,269
2015-09-25,50,243
2015-09-26,67,254
2015-09-27,62,158
2015-09-28,42,305
2015-09-29,53,302
2015-09-30,69,289
2015-10-01,37,182
2015-10-02,36,156
2015-10-03,75,160
2015-10-04,71,153
2015-10-05,32,164
2015-10-06,44,204
2015-10-07,49,269
2015-10-08,41,249
2015-10-09,40,228
2015-10-10,33,210
2015-10-11,57,139
2015-10-12,59,275
2015-10-13,51,234
2015-10-14,38,239
2015-10-15,95,256
2015-10-16,112,256
2015-10-17,66,283
2015-10-18,81,161
2015-10-19,60,276
2015-10-20,88,283
2015-10-21,75,224
2015-10-22,53,274
2015-10-23,64,218
2015-10-24,66,203
2015-10-25,73,139
2015-10-26,56,285
2015-10-27,49,257
2015-10-28,68,230
2015-10-29,55,246
2015-10-30,57,238
2015-10-31,71,288
2015-11-01,49,164
2015-11-02,59,299
2015-11-03,68,280
2015-11-04,82,287
2015-11-05,65,339
2015-11-06,30,210
2015-11-07,32,310
2015-11-08,47,129
2015-11-09,50,271
2015-11-10,73,251
2015-11-11,76,263
2015-11-12,96,258
2015-11-13,74,202
2015-11-14,62,254
2015-11-15,72,154
2015-11-16,58,254
2015-11-17,60,270
2015-11-18,45,257
2015-11-19,58,251
2015-11-20,77,249
2015-11-21,74,311
2015-11-22,34,139
2015-11-23,23,274
2015-11-24,24,200
2015-11-25,36,196
2015-11-26,31,200
2015-11-27,41,232
2015-11-28,79,266
2015-11-29,80,153
2015-11-30,93,304
2015-12-01,63,274
2015-12-02,43,267
2015-12-03,37,296
2015-12-04,49,259
2015-12-05,72,302
2015-12-06,73,184
2015-12-07,87,331
2015-12-08,76,339
2015-12-09,69,298
2015-12-10,86,336
2015-12-11,55,301
2015-12-12,72,318
2015-12-13,89,218
2015-12-14,85,338
2015-12-15,52,355
2015-12-16,35,319
2015-12-17,44,338
2015-12-18,55,330
2015-12-19,98,333
2015-12-20,95,229
2015-12-21,95,381
2015-12-22,96,335
2015-12-23,95,306
2015-12-24,106,332
2015-12-25,84,332
2015-12-26,60,340
2015-12-27,41,248
2015-12-28,65,402
2015-12-29,45,353
2015-12-30,74,327
2015-12-31,65,378
2016-01-01,39,210
2016-01-02,97,281
2016-01-03,113,242
2016-01-04,78,410
2016-01-05,71,409
2016-01-06,69,304
2016-01-07,67,410
2016-01-08,83,335
2016-01-09,80,440
2016-01-10,95,297
2016-01-11,47,399
2016-01-12,53,380
2016-01-13,62,286
2016-01-14,75,438
2016-01-15,89,354
2016-01-16,116,471
2016-01-17,48,311
2016-01-18,55,445
2016-01-19,64,536
2016-01-20,71,450
2016-01-21,68,502
2016-01-22,44,388
2016-01-23,21,365
2016-01-24,22,261
2016-01-25,39,476
2016-01-26,61,457
2016-01-27,87,414
2016-01-28,111,425
2016-01-29,61,389
2016-01-30,50,388
2016-01-31,43,252
2016-02-01,62,387
2016-02-02,66,367
2016-02-03,54,375
2016-02-04,72,358
2016-02-05,41,315
2016-02-06,38,262
2016-02-07,28,206
2016-02-08,27,184
2016-02-09,46,217
2016-02-10,69,224
2016-02-11,68,219
2016-02-12,45,244
2016-02-13,19,219
2016-02-14,16,288
2016-02-15,25,326
2016-02-16,36,248
2016-02-17,41,270
2016-02-18,38,278
2016-02-19,48,285
2016-02-20,26,172
2016-02-21,35,176
2016-02-22,33,228
2016-02-23,29,232
2016-02-24,43,238
2016-02-25,48,239
2016-02-26,63,245
2016-02-27,77,240
2016-02-28,34,167
2016-02-29,32,311
2016-03-01,39,243
2016-03-02,40,239
2016-03-03,33,264
2016-03-04,34,241
2016-03-05,39,262
2016-03-06,45,164
2016-03-07,55,280
2016-03-08,33,229
2016-03-09,41,239
2016-03-10,50,281
2016-03-11,49,255
2016-03-12,43,276
2016-03-13,50,185
2016-03-14,47,303
2016-03-15,34,310
2016-03-16,56,274
2016-03-17,39,324
2016-03-18,67,339
2016-03-19,101,313
2016-03-20,71,266
2016-03-21,84,349
2016-03-22,61,368
2016-03-23,34,291
2016-03-24,47,329
2016-03-25,46,285
2016-03-26,58,339
2016-03-27,35,242
2016-03-28,21,325
2016-03-29,43,347
2016-03-30,57,310
2016-03-31,23,325
2016-04-01,29,290
2016-04-02,41,264
2016-04-03,33,183
2016-04-04,40,180
2016-04-05,32,344
2016-04-06,46,333
2016-04-07,43,274
2016-04-08,57,236
2016-04-09,57,255
2016-04-10,59,164
2016-04-11,70,264
2016-04-12,37,285
2016-04-13,49,217
2016-04-14,59,233
2016-04-15,37,225
2016-04-16,27,206
2016-04-17,31,139
2016-04-18,27,249
2016-04-19,40,242
2016-04-20,65,204
2016-04-21,46,247
2016-04-22,43,223
2016-04-23,74,244
2016-04-24,37,172
2016-04-25,28,259
2016-04-26,51,231
2016-04-27,64,238
2016-04-28,47,243
2016-04-29,25,218
2016-04-30,19,168
2016-05-01,17,121
2016-05-02,22,118
2016-05-03,21,278
2016-05-04,26,188
2016-05-05,27,231
2016-05-06,27,184
2016-05-07,54,208
2016-05-08,54,135
2016-05-09,46,177
2016-05-10,46,181
2016-05-11,29,173
2016-05-12,23,167
2016-05-13,43,174
2016-05-14,46,133
2016-05-15,36,126
2016-05-16,28,212
2016-05-17,23,170
2016-05-18,34,168
2016-05-19,38,167
2016-05-20,48,187
2016-05-21,46,159
2016-05-22,34,146
2016-05-23,73,214
2016-05-24,29,177
2016-05-25,27,173
2016-05-26,52,163
2016-05-27,71,175
2016-05-28,29,157
2016-05-29,40,171
2016-05-30,28,214
2016-05-31,34,181
2016-06-01,41,195
2016-06-02,55,188
2016-06-03,36,164
2016-06-04,32,182
2016-06-05,44,150
2016-06-06,28,196
2016-06-07,39,167
2016-06-08,42,161
2016-06-09,23,147
2016-06-10,17,163
2016-06-11,21,145
2016-06-12,38,165
2016-06-13,23,173
2016-06-14,21,147
2016-06-15,24,157
2016-06-16,33,174
2016-06-17,21,170
2016-06-18,23,141
2016-06-19,50,149
2016-06-20,45,172
2016-06-21,34,133
2016-06-22,38,136
2016-06-23,35,119
2016-06-24,26,152
2016-06-25,32,139
2016-06-26,41,135
2016-06-27,18,178
2016-06-28,18,156
2016-06-29,19,161
2016-06-30,28,151
2016-07-01,30,138
2016-07-02,46,138
2016-07-03,38,119
2016-07-04,52,195
2016-07-05,51,159
2016-07-06,46,170
2016-07-07,33,150
2016-07-08,30,156
2016-07-09,28,106
2016-07-10,35,113
2016-07-11,28,189
2016-07-12,26,132
2016-07-13,30,159
2016-07-14,57,165
2016-07-15,36,152
2016-07-16,36,148
2016-07-17,47,184
2016-07-18,54,199
2016-07-19,30,181
2016-07-20,19,112
2016-07-21,18,159
2016-07-22,22,144
2016-07-23,22,124
2016-07-24,21,107
2016-07-25,21,155
2016-07-26,24,176
2016-07-27,42,209
2016-07-28,27,150
2016-07-29,28,168
2016-07-30,40,115
2016-07-31,41,112
2016-08-01,33,164
2016-08-02,36,186
2016-08-03,39,156
2016-08-04,48,151
2016-08-05,44,190
2016-08-06,44,169
2016-08-07,35,139
2016-08-08,29,184
2016-08-09,39,160
2016-08-10,31,170
2016-08-11,24,164
2016-08-12,20,173
2016-08-13,28,178
2016-08-14,39,136
2016-08-15,34,217
2016-08-16,34,190
2016-08-17,38,177
2016-08-18,26,183
2016-08-19,20,136
2016-08-20,18,138
2016-08-21,28,114
2016-08-22,40,220
2016-08-23,40,168
2016-08-24,29,189
2016-08-25,24,177
2016-08-26,30,202
2016-08-27,44,165
2016-08-28,42,133
2016-08-29,46,215
2016-08-30,42,184
2016-08-31,31,201
2016-09-01,46,190
2016-09-02,60,188
2016-09-03,89,182
2016-09-04,84,170
2016-09-05,60,221
2016-09-06,62,205
2016-09-07,43,185
2016-09-08,56,185
2016-09-09,74,164
2016-09-10,61,192
2016-09-11,52,170
2016-09-12,54,223
2016-09-13,65,196
2016-09-14,66,214
2016-09-15,54,140
2016-09-16,48,178
2016-09-17,60,190
2016-09-18,46,248
2016-09-19,40,233
2016-09-20,59,183
2016-09-21,63,228
2016-09-22,41,236
2016-09-23,28,259
2016-09-24,28,240
2016-09-25,51,219
2016-09-26,36,274
2016-09-27,45,224
2016-09-28,23,212
2016-09-29,62,216
2016-09-30,91,236
2016-10-01,64,146
2016-10-02,57,178
2016-10-03,32,177
2016-10-04,58,180
2016-10-05,37,181
2016-10-06,68,160
2016-10-07,60,174
2016-10-08,39,204
2016-10-09,53,214
2016-10-10,42,211
2016-10-11,48,220
2016-10-12,76,214
2016-10-13,48,198
2016-10-14,47,224
2016-10-15,59,182
2016-10-16,45,183
2016-10-17,66,262
2016-10-18,68,234
2016-10-19,55,217
2016-10-20,74,229
2016-10-21,62,235
2016-10-22,38,138
2016-10-23,30,170
2016-10-24,55,228
2016-10-25,58,206
2016-10-26,60,232
2016-10-27,63,228
2016-10-28,33,224
2016-10-29,44,206
2016-10-30,34,219
2016-10-31,32,254
2016-11-01,41,230
2016-11-02,42,265
2016-11-03,40,251
2016-11-04,43,262
2016-11-05,60,248
2016-11-06,50,236
2016-11-07,45,263
2016-11-08,51,275
2016-11-09,42,252
2016-11-10,37,271
2016-11-11,35,264
2016-11-12,71,227
2016-11-13,85,234
2016-11-14,59,324
2016-11-15,74,301
2016-11-16,58,305
2016-11-17,81,297
2016-11-18,74,326
2016-11-19,66,290
2016-11-20,58,274
2016-11-21,38,301
2016-11-22,22,248
2016-11-23,46,304
2016-11-24,49,300
2016-11-25,60,341
2016-11-26,67,292
2016-11-27,66,296
2016-11-28,85,379
2016-11-29,101,321
2016-11-30,72,288
2016-12-01,89,357
2016-12-02,68,370
2016-12-03,34,301
2016-12-04,59,293
2016-12-05,57,377
2016-12-06,37,359
2016-12-07,74,302
2016-12-08,62,313
2016-12-09,57,363
2016-12-10,65,339
2016-12-11,64,311
2016-12-12,72,461
2016-12-13,38,371
2016-12-14,57,385
2016-12-15,60,364
2016-12-16,47,372
2016-12-17,32,354
2016-12-18,85,343
2016-12-19,109,446
2016-12-20,109,388
2016-12-21,64,369
2016-12-22,65,388
2016-12-23,54,421
2016-12-24,71,356
2016-12-25,72,295
2016-12-26,54,356
2016-12-27,47,350
2016-12-28,47,340
2016-12-29,66,383
2016-12-30,56,407
2016-12-31,60,322
2017-01-01,72,249
2017-01-02,82,332
2017-01-03,81,387
2017-01-04,95,307
2017-01-05,75,348
2017-01-06,99,372
2017-01-07,70,272
2017-01-08,48,245
2017-01-09,69,364
2017-01-10,72,344
2017-01-11,67,305
2017-01-12,69,274
2017-01-13,55,296
2017-01-14,59,259
2017-01-15,61,242
2017-01-16,67,336
2017-01-17,66,281
2017-01-18,106,278
2017-01-19,54,285
2017-01-20,36,261
2017-01-21,37,205
2017-01-22,46,229
2017-01-23,67,306
2017-01-24,79,280
2017-01-25,53,302
2017-01-26,26,275
2017-01-27,26,137
2017-01-28,36,163
2017-01-29,31,177
2017-01-30,26,234
2017-01-31,27,213
2017-02-01,39,218
2017-02-02,40,246
2017-02-03,30,324
2017-02-04,50,319
2017-02-05,54,237
2017-02-06,56,334
2017-02-07,52,259
2017-02-08,49,268
2017-02-09,35,263
2017-02-10,52,214
2017-02-11,55,198
2017-02-12,49,166
2017-02-13,79,287
2017-02-14,82,205
2017-02-15,34,237
2017-02-16,35,220
2017-02-17,51,206
2017-02-18,48,200
2017-02-19,36,148
2017-02-20,34,277
2017-02-21,51,189
2017-02-22,47,155
2017-02-23,51,225
2017-02-24,54,204
2017-02-25,66,210
2017-02-26,62,164
2017-02-27,42,230
2017-02-28,47,252
2017-03-01,63,211
2017-03-02,44,189
2017-03-03,37,233
2017-03-04,89,179
2017-03-05,62,186
2017-03-06,53,291
2017-03-07,34,237
2017-03-08,45,173
2017-03-09,51,221
2017-03-10,70,229
2017-03-11,68,186
2017-03-12,50,164
2017-03-13,54,291
2017-03-14,65,261
2017-03-15,73,241
2017-03-16,47,249
2017-03-17,38,238
2017-03-18,62,212
2017-03-19,52,181
2017-03-20,35,270
2017-03-21,53,210
2017-03-22,49,245
2017-03-23,41,186
2017-03-24,42,226
2017-03-25,38,184
2017-03-26,42,177
2017-03-27,46,240
2017-03-28,63,215
2017-03-29,51,241
2017-03-30,66,237
2017-03-31,47,238
2017-04-01,42,201
2017-04-02,55,172
2017-04-03,54,163
2017-04-04,57,175
2017-04-05,45,316
2017-04-06,53,256
2017-04-07,76,236
2017-04-08,74,197
2017-04-09,46,181
2017-04-10,65,263
2017-04-11,57,192
2017-04-12,55,277
2017-04-13,26,204
2017-04-14,31,221
2017-04-15,43,212
2017-04-16,60,174
2017-04-17,28,269
2017-04-18,30,219
2017-04-19,49,252
