type,yaxis,ysrc,xsrc,name
scatter,,gelei:571:70758d,gelei:571:a6b913,0x38fc6c3213d809079fd7bc40bc6155d591ca4b59
scatter,,gelei:571:102015,gelei:571:a1d410,0xd1193c7b592482e275024f5cb0a16cfdd62d0afd
scatter,,gelei:571:fbe05c,gelei:571:f285a4,0x820910798bdb9b7885bfb7cf9bb37c70fd67e21a
scatter,,gelei:571:fbe05c,gelei:571:f285a4,0xe7c21456103c2ef90986c038494ca2bdbc0c9f9f
scatter,,gelei:571:6e227b,gelei:571:40a14d,0x03b72d2d2a7d4a6352002549646f5b9f3bd2f521
scatter,,gelei:571:a01f11,gelei:571:e5ca8e,0xe12b0eb85217b652fd9c0040f62df3252e92896d
scatter,,gelei:571:d7d3be,gelei:571:eb06f4,0xc2f60e85f23b8cef36ba4294e9f526d7d0ffb655
scatter,,gelei:571:523a12,gelei:571:734fdc,0xc9a2c73e2cdae5e87f6077b82d8390d747580f3c
scatter,,gelei:571:523a12,gelei:571:734fdc,0x21b4bef96e716f300c85beddf0c77c51300fc47a
scatter,,gelei:571:523a12,gelei:571:734fdc,0xa0d4aa4bf05fe9d7c263b3736a1cc7f6baeb3c63
scatter,,gelei:571:89d737,gelei:571:610600,0xe908c2b19ea58b0ed7123dd102bae7443b7b48e2
scatter,,gelei:571:ab5526,gelei:571:2bed09,0x56c3a1cbebbaed9374884e3214e1beea050de0d4
scatter,,gelei:571:e348f6,gelei:571:bbce16,0x97fadbaa458e2bcaafe90f09e2637defc318617b
scatter,,gelei:571:fd9ee8,gelei:571:bbce16,0x47139cbec96ff8e2d06e0595f966827e400492c3
scatter,,gelei:571:28494c,gelei:571:bbce16,0xa288bba221e8a49fb90530531870ff7abcbab08d
scatter,,gelei:571:d39196,gelei:571:ee6f0c,0xc0755aa20f21ceac537fd468a5170acce6a84a5b
scatter,,gelei:571:780b29,gelei:571:ba18b0,0x207c0bd81dbce51ee40752b73e7c78b7122dd3c5
scatter,,gelei:571:1626b4,gelei:571:003f73,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3
scatter,,gelei:571:1bce0f,gelei:571:fc9e5e,0x1062a747393198f70f71ec65a582423dba7e5ab3
scatter,,gelei:571:efd0a7,gelei:571:fc9e5e,0xeee28d484628d41a82d01e21d12e2e78d69920da
scatter,,gelei:571:f1299a,gelei:571:82b67f,0x2c840d94dcf091b87fd63db7eb0885d9ca4b5f79
scatter,y2,gelei:571:9be286,gelei:571:a44437,Price(USD)
