type,hoverinfo,latsrc,opacity,lonsrc,marker.size,marker.color,marker.line.width,textsrc,marker.line.color,line.width,mode,line.color
scattergeo,none,sunnymeal:1:340dda,1,sunnymeal:1:443359,,,,,,0.6079861997,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:a9f2cb,1,sunnymeal:1:986d2a,,,,,,0.601597368,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:2c350e,1,sunnymeal:1:150eae,,,,,,0.5868310007,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:d6d5de,1,sunnymeal:1:abbb7e,,,,,,0.5847974628,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:8d8278,1,sunnymeal:1:ad31c8,,,,,,0.5689839036,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:27543e,1,sunnymeal:1:658a8e,,,,,,0.5602060652,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:aae790,1,sunnymeal:1:6707ff,,,,,,0.5342995396,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:24c1bc,1,sunnymeal:1:c5f8c3,,,,,,0.5237016581,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:de0a3d,1,sunnymeal:1:fb9d6e,,,,,,0.5225359765,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:792594,1,sunnymeal:1:bf34fb,,,,,,0.513805107,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:5dd24a,1,sunnymeal:1:20ceaf,,,,,,0.5131518129,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:2ac31b,1,sunnymeal:1:8c7724,,,,,,0.5120971487,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:95068b,1,sunnymeal:1:ddf059,,,,,,0.4947965982,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:48e1e0,1,sunnymeal:1:e7faca,,,,,,0.4903206799,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:d52839,1,sunnymeal:1:1bfe25,,,,,,0.489555301,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:624cfc,1,sunnymeal:1:7704be,,,,,,0.4744121154,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:32ae1e,1,sunnymeal:1:4e2288,,,,,,0.4740662538,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:250551,1,sunnymeal:1:56cd20,,,,,,0.4722387384,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:715e5d,1,sunnymeal:1:89f63a,,,,,,0.4646276491,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:4ef9a3,1,sunnymeal:1:494662,,,,,,0.464057618,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:c9c990,1,sunnymeal:1:2e7196,,,,,,0.4607527186,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:28ac6c,1,sunnymeal:1:69c02e,,,,,,0.4492336071,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:ded408,1,sunnymeal:1:8d2874,,,,,,0.448415922,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:f6db3e,1,sunnymeal:1:1556ec,,,,,,0.44624468,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:fe1e10,1,sunnymeal:1:900c61,,,,,,0.4298408076,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:26553c,1,sunnymeal:1:08838c,,,,,,0.429515228,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:e2604a,1,sunnymeal:1:20b6d3,,,,,,0.4107522382,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:3885bb,1,sunnymeal:1:5864cd,,,,,,0.4089033733,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:b3104c,1,sunnymeal:1:f2128c,,,,,,0.3948052447,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:32f472,1,sunnymeal:1:aa682e,,,,,,0.3923543245,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:e5cebe,1,sunnymeal:1:d5814e,,,,,,0.3907029423,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:6c055f,1,sunnymeal:1:d6902f,,,,,,0.3747719609,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:5b3902,1,sunnymeal:1:6654cf,,,,,,0.3745413865,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:4b54ec,1,sunnymeal:1:8b21d5,,,,,,0.3742841253,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:de1c9c,1,sunnymeal:1:03e9af,,,,,,0.3741474886,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:ea500e,1,sunnymeal:1:56a15b,,,,,,0.3718897812,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:14bcb2,1,sunnymeal:1:e2c9e2,,,,,,0.3715449871,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:a7ad65,1,sunnymeal:1:69c476,,,,,,0.3609236212,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:d2bc69,1,sunnymeal:1:de9bf4,,,,,,0.3600760468,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:0bfe98,1,sunnymeal:1:826045,,,,,,0.3594462372,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:161078,1,sunnymeal:1:b3efd9,,,,,,0.3589936282,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:44f084,1,sunnymeal:1:9d8b2a,,,,,,0.3581321768,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:74b13f,1,sunnymeal:1:02c86f,,,,,,0.3540683034,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:99a231,1,sunnymeal:1:a8601f,,,,,,0.3538270543,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:7a8171,1,sunnymeal:1:cd89e2,,,,,,0.3459522989,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:b73150,1,sunnymeal:1:4d78b8,,,,,,0.3398773045,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:58924c,1,sunnymeal:1:bc6f1d,,,,,,0.3351857565,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:8c3aa6,1,sunnymeal:1:46221d,,,,,,0.3331084522,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:b2c43f,1,sunnymeal:1:b029e7,,,,,,0.3319299609,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:62f7f9,1,sunnymeal:1:82724d,,,,,,0.3311443001,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:4aa732,1,sunnymeal:1:8d109e,,,,,,0.3231297056,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:81868e,1,sunnymeal:1:d267c7,,,,,,0.314216298,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:ec6701,1,sunnymeal:1:c9ff3a,,,,,,0.3116052567,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:ddca07,1,sunnymeal:1:2aecea,,,,,,0.3082640632,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:cff223,1,sunnymeal:1:d3c51f,,,,,,0.3077292587,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:63b049,1,sunnymeal:1:face88,,,,,,0.3072979992,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:4ba0f0,1,sunnymeal:1:218dc9,,,,,,0.3059380374,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:43fcbf,1,sunnymeal:1:8edfd9,,,,,,0.3058291551,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:d16154,1,sunnymeal:1:607870,,,,,,0.3052174925,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:e567a2,1,sunnymeal:1:3a3aef,,,,,,0.2962528462,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:aa82f5,1,sunnymeal:1:7ae957,,,,,,0.2938755816,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:92a41b,1,sunnymeal:1:ceeda6,,,,,,0.2914150542,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:12f72b,1,sunnymeal:1:5df9ce,,,,,,0.2890196426,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:bc693a,1,sunnymeal:1:8df6ac,,,,,,0.2889737412,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:534ac0,1,sunnymeal:1:55438e,,,,,,0.28820516,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:d95c47,1,sunnymeal:1:64732f,,,,,,0.282423721,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:964f23,1,sunnymeal:1:2f72e9,,,,,,0.2801713509,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:0dfea2,1,sunnymeal:1:b029e7,,,,,,0.2775880639,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:4c1258,1,sunnymeal:1:a2116a,,,,,,0.2722250747,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:0e7be1,1,sunnymeal:1:6ecc94,,,,,,0.2702555853,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:95c32e,1,sunnymeal:1:0705a0,,,,,,0.2616079787,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:4d8ceb,1,sunnymeal:1:1fd6de,,,,,,0.2600665463,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:b0e007,1,sunnymeal:1:e92d5b,,,,,,0.2587450136,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:fbc1f8,1,sunnymeal:1:312c2d,,,,,,0.2585912973,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:dc4538,1,sunnymeal:1:630ca6,,,,,,0.2546149568,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:3cd9e1,1,sunnymeal:1:c4acc3,,,,,,0.2532187009,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:0c73fc,1,sunnymeal:1:2ee4c3,,,,,,0.2529304829,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:570015,1,sunnymeal:1:18ea29,,,,,,0.2500034693,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:2c98fe,1,sunnymeal:1:88239a,,,,,,0.2498753724,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:978cce,1,sunnymeal:1:d5fc3e,,,,,,0.2487321078,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:2f0474,1,sunnymeal:1:4457b2,,,,,,0.2448635822,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:e9402b,1,sunnymeal:1:56c21e,,,,,,0.2436765511,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:478520,1,sunnymeal:1:da83a3,,,,,,0.2427862778,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:c06d5b,1,sunnymeal:1:4d4cc6,,,,,,0.2418703852,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:d2883a,1,sunnymeal:1:106a72,,,,,,0.2406043611,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:d16154,1,sunnymeal:1:7eaa47,,,,,,0.2405339078,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:be69c7,1,sunnymeal:1:08838c,,,,,,0.2398838161,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:5cc661,1,sunnymeal:1:82e3ee,,,,,,0.2392796259,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:f27e21,1,sunnymeal:1:f77dbd,,,,,,0.2392774909,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:0587f5,1,sunnymeal:1:0def61,,,,,,0.2382014772,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:7a710e,1,sunnymeal:1:e4ebc6,,,,,,0.2368692697,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:45bc60,1,sunnymeal:1:06b97b,,,,,,0.236689934,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:3da75d,1,sunnymeal:1:5c6418,,,,,,0.2356619566,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:0b4d9d,1,sunnymeal:1:a2660f,,,,,,0.2338878149,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:59c699,1,sunnymeal:1:48aa8c,,,,,,0.233840846,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:a6e80d,1,sunnymeal:1:f0bb07,,,,,,0.2333455381,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:aaa050,1,sunnymeal:1:1d7c64,,,,,,0.2323784067,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:1de940,1,sunnymeal:1:136771,,,,,,0.2312959881,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:12fb3a,1,sunnymeal:1:15da04,,,,,,0.2290564277,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:6f0f9f,1,sunnymeal:1:93e79c,,,,,,0.2277978759,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:2fa9fd,1,sunnymeal:1:7feabf,,,,,,0.2272833535,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:2cc737,1,sunnymeal:1:68a1fa,,,,,,0.2266994452,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:e2c4e9,1,sunnymeal:1:b881af,,,,,,0.2223292068,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:795513,1,sunnymeal:1:5cb80b,,,,,,0.2218691256,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:231ba7,1,sunnymeal:1:3540b2,,,,,,0.2216919249,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:bda080,1,sunnymeal:1:71dd3d,,,,,,0.2214794976,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:557ea5,1,sunnymeal:1:35e786,,,,,,0.217667548,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:a84c8e,1,sunnymeal:1:0c330b,,,,,,0.2176333889,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:51ff2d,1,sunnymeal:1:3399b4,,,,,,0.216890427,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:14bcb2,1,sunnymeal:1:3585c2,,,,,,0.2123066938,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:9828ef,1,sunnymeal:1:6dfe7a,,,,,,0.2114249603,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:f24b6f,1,sunnymeal:1:662ee1,,,,,,0.2064110351,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:6534e9,1,sunnymeal:1:735ea9,,,,,,0.2034594696,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:3529de,1,sunnymeal:1:d1d3c6,,,,,,0.2018550563,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:53748a,1,sunnymeal:1:e46d3f,,,,,,0.2004993643,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:46d651,1,sunnymeal:1:d99352,,,,,,0.2002453055,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:1f0a2e,1,sunnymeal:1:32c1b0,,,,,,0.1999304007,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:f989e1,1,sunnymeal:1:d9f35d,,,,,,0.199239745,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:ddca07,1,sunnymeal:1:124783,,,,,,0.1991052433,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:b8f063,1,sunnymeal:1:57801e,,,,,,0.198277951,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:11d399,1,sunnymeal:1:6c4892,,,,,,0.198093278,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:f5d286,1,sunnymeal:1:a7f529,,,,,,0.1932544185,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:766af3,1,sunnymeal:1:aed5f3,,,,,,0.1920919394,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:5f37f9,1,sunnymeal:1:003f55,,,,,,0.1917588875,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:08c61f,1,sunnymeal:1:5df573,,,,,,0.1903017856,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:250551,1,sunnymeal:1:a52625,,,,,,0.1889567684,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:ff77b1,1,sunnymeal:1:ce2991,,,,,,0.1882020643,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:7c419d,1,sunnymeal:1:b927d6,,,,,,0.1881017217,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:e642f7,1,sunnymeal:1:5c1873,,,,,,0.187906374,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:9103e5,1,sunnymeal:1:b71e88,,,,,,0.187597874,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:792594,1,sunnymeal:1:06d35b,,,,,,0.1870769467,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:2b1745,1,sunnymeal:1:752e34,,,,,,0.1833482602,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:0ffd15,1,sunnymeal:1:8be7fc,,,,,,0.1810969576,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:057d49,1,sunnymeal:1:a3c7d0,,,,,,0.179113591,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:f65df3,1,sunnymeal:1:036b07,,,,,,0.1788851515,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:528526,1,sunnymeal:1:b85647,,,,,,0.1762677054,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:226e8d,1,sunnymeal:1:f8d217,,,,,,0.1762250064,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:76b186,1,sunnymeal:1:aac6a2,,,,,,0.1759186414,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:4396f9,1,sunnymeal:1:0671fd,,,,,,0.1746974512,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:019c43,1,sunnymeal:1:68a1fa,,,,,,0.1741434322,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:c15083,1,sunnymeal:1:607598,,,,,,0.1737954357,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:4d243e,1,sunnymeal:1:dd8368,,,,,,0.1732147299,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:d277e3,1,sunnymeal:1:887f39,,,,,,0.1699770813,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:ebf9df,1,sunnymeal:1:cb8db2,,,,,,0.1698489845,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:44fbbc,1,sunnymeal:1:04cd6d,,,,,,0.1684751455,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:cc19c1,1,sunnymeal:1:4f631e,,,,,,0.1669123636,lines+markers,"rgb(231, 123, 118)"
