type,marker.sizesrc,marker.line.width,ysrc,text,mode,xsrc,name,legendgroup,marker.size,marker.color,textsrc,marker.opacity,showlegend
scatter,bpatoutset:11:0739d5,1,bpatoutset:11:21b1b3,,markers,bpatoutset:11:520ed5,20057,20057,,red,bpatoutset:11:1ba62f,0.7,False
scatter,,1,bpatoutset:11:ad6b29,,markers,bpatoutset:11:7a6df7,20057,20057,10,green,bpatoutset:11:cdc0ce,0.7,False
scatter,,1,bpatoutset:11:cd985b,20058,line,bpatoutset:11:3e4647,20058,20058,2,#fec44f,,0.9,
scatter,bpatoutset:11:d1f6e2,1,bpatoutset:11:72001b,,markers,bpatoutset:11:ed3808,20058,20058,,red,bpatoutset:11:7a33f4,0.7,False
scatter,,1,bpatoutset:11:d3808d,,markers,bpatoutset:11:3ace0f,20058,20058,10,green,bpatoutset:11:cdc0ce,0.7,False
scatter,,1,bpatoutset:11:67af7a,20059,line,bpatoutset:11:3e4647,20059,20059,2,#fec44f,,0.9,
scatter,bpatoutset:11:59b908,1,bpatoutset:11:908c29,,markers,bpatoutset:11:323fa5,20059,20059,,red,bpatoutset:11:685dff,0.7,False
scatter,,1,bpatoutset:11:afef5f,,markers,bpatoutset:11:38ad8d,20059,20059,10,green,bpatoutset:11:01c8e4,0.7,False
scatter,,1,bpatoutset:11:66c35b,20060,line,bpatoutset:11:3e4647,20060,20060,2,#fec44f,,0.9,
scatter,,1,,,markers,,20060,20060,,red,,0.7,False
scatter,,1,bpatoutset:11:f1ab95,,markers,bpatoutset:11:47f71a,20060,20060,10,green,bpatoutset:11:8daf78,0.7,False
scatter,,1,bpatoutset:11:daa60b,20061,line,bpatoutset:11:3e4647,20061,20061,2,#fec44f,,0.9,
scatter,,1,,,markers,,20061,20061,,red,,0.7,False
scatter,,1,bpatoutset:11:89d35c,,markers,bpatoutset:11:05a71e,20061,20061,10,green,bpatoutset:11:ee9d21,0.7,False
scatter,,1,bpatoutset:11:7c6ccd,20062,line,bpatoutset:11:521e98,20062,20062,2,#fec44f,,0.9,
scatter,bpatoutset:11:5c83fe,1,bpatoutset:11:e37037,,markers,bpatoutset:11:520ed5,20062,20062,,red,bpatoutset:11:fe6e8f,0.7,False
scatter,,1,bpatoutset:11:a2d955,,markers,bpatoutset:11:20c33f,20062,20062,10,green,bpatoutset:11:cdc0ce,0.7,False
scatter,,1,bpatoutset:11:5f2c47,20063,line,bpatoutset:11:06e809,20063,20063,2,#fec44f,,0.9,
scatter,,1,,,markers,,20063,20063,,red,,0.7,False
scatter,,1,,,markers,,20063,20063,10,green,,0.7,False
scatter,,1,bpatoutset:11:422afd,20064,line,bpatoutset:11:3e4647,20064,20064,2,#fec44f,,0.9,
scatter,,1,,,markers,,20064,20064,,red,,0.7,False
scatter,,1,,,markers,,20064,20064,10,green,,0.7,False
scatter,,1,bpatoutset:11:0d43df,20066,line,bpatoutset:11:3e4647,20066,20066,2,#fec44f,,0.9,
scatter,bpatoutset:11:5c83fe,1,bpatoutset:11:c2ceeb,,markers,bpatoutset:11:a4060a,20066,20066,,red,bpatoutset:11:fe6e8f,0.7,False
scatter,,1,bpatoutset:11:0a29fe,,markers,bpatoutset:11:0e1310,20066,20066,10,green,bpatoutset:11:ca001d,0.7,False
scatter,,1,bpatoutset:11:c1212f,20067,line,bpatoutset:11:3e4647,20067,20067,2,#fec44f,,0.9,
scatter,,1,,,markers,,20067,20067,,red,,0.7,False
scatter,,1,bpatoutset:11:dba7b6,,markers,bpatoutset:11:c67b98,20067,20067,10,green,bpatoutset:11:ad1768,0.7,False
scatter,,1,bpatoutset:11:ca16e8,20069,line,bpatoutset:11:3e4647,20069,20069,2,#fec44f,,0.9,
scatter,,1,,,markers,,20069,20069,,red,,0.7,False
scatter,,1,bpatoutset:11:d9c793,,markers,bpatoutset:11:4379a1,20069,20069,10,green,bpatoutset:11:01c8e4,0.7,False
scatter,,1,bpatoutset:11:3db659,20070,line,bpatoutset:11:3e4647,20070,20070,2,#fec44f,,0.9,
scatter,bpatoutset:11:0739d5,1,bpatoutset:11:4e3403,,markers,bpatoutset:11:7a2ed2,20070,20070,,red,bpatoutset:11:1ba62f,0.7,False
scatter,,1,bpatoutset:11:71b14b,,markers,bpatoutset:11:ff8159,20070,20070,10,green,bpatoutset:11:ad1768,0.7,False
scatter,,1,bpatoutset:11:69c037,20072,line,bpatoutset:11:3e4647,20072,20072,2,#fec44f,,0.9,
scatter,bpatoutset:11:5c83fe,1,bpatoutset:11:e37037,,markers,bpatoutset:11:eadca8,20072,20072,,red,bpatoutset:11:fe6e8f,0.7,False
scatter,,1,bpatoutset:11:5e9b56,,markers,bpatoutset:11:5eb4fa,20072,20072,10,green,bpatoutset:11:00dcd2,0.7,False
scatter,,1,bpatoutset:11:0c58b8,20073,line,bpatoutset:11:3e4647,20073,20073,2,#fec44f,,0.9,
scatter,bpatoutset:11:686dbc,1,bpatoutset:11:a743a3,,markers,bpatoutset:11:6a10e2,20073,20073,,red,bpatoutset:11:197df9,0.7,False
scatter,,1,bpatoutset:11:908f6a,,markers,bpatoutset:11:902867,20073,20073,10,green,bpatoutset:11:8daf78,0.7,False
scatter,,1,bpatoutset:11:b42923,20074,line,bpatoutset:11:3e4647,20074,20074,2,#fec44f,,0.9,
scatter,bpatoutset:11:686dbc,1,bpatoutset:11:aba4c7,,markers,bpatoutset:11:bcf383,20074,20074,,red,bpatoutset:11:197df9,0.7,False
scatter,,1,bpatoutset:11:73b332,,markers,bpatoutset:11:d959e8,20074,20074,10,green,bpatoutset:11:cdc0ce,0.7,False
scatter,,1,bpatoutset:11:4839bc,20075,line,bpatoutset:11:3e4647,20075,20075,2,#fec44f,,0.9,
scatter,,1,,,markers,,20075,20075,,red,,0.7,False
scatter,,1,bpatoutset:11:13a45b,,markers,bpatoutset:11:6eba75,20075,20075,10,green,bpatoutset:11:ca001d,0.7,False
scatter,,1,bpatoutset:11:98c678,20076,line,bpatoutset:11:3e4647,20076,20076,2,#fec44f,,0.9,
scatter,bpatoutset:11:887dfd,1,bpatoutset:11:5b2146,,markers,bpatoutset:11:e8ce37,20076,20076,,red,bpatoutset:11:ad7ed1,0.7,False
scatter,,1,bpatoutset:11:bdd18f,,markers,bpatoutset:11:f629a9,20076,20076,10,green,bpatoutset:11:ad1768,0.7,False
scatter,,1,bpatoutset:11:1cc2ee,20080,line,bpatoutset:11:3e4647,20080,20080,2,#fec44f,,0.9,
scatter,bpatoutset:11:0739d5,1,bpatoutset:11:ad6906,,markers,bpatoutset:11:b70808,20080,20080,,red,bpatoutset:11:1ba62f,0.7,False
scatter,,1,bpatoutset:11:831c68,,markers,bpatoutset:11:d48a68,20080,20080,10,green,bpatoutset:11:ad1768,0.7,False
scatter,,1,bpatoutset:11:d998bb,20081,line,bpatoutset:11:ea7d64,20081,20081,2,#fec44f,,0.9,
scatter,,1,,,markers,,20081,20081,,red,,0.7,False
scatter,,1,,,markers,,20081,20081,10,green,,0.7,False
scatter,,1,bpatoutset:11:c19214,20082,line,bpatoutset:11:3e4647,20082,20082,2,#fec44f,,0.9,
scatter,bpatoutset:11:887dfd,1,bpatoutset:11:160226,,markers,bpatoutset:11:7a1672,20082,20082,,red,bpatoutset:11:ad7ed1,0.7,False
scatter,,1,bpatoutset:11:ffc039,,markers,bpatoutset:11:32b1db,20082,20082,10,green,bpatoutset:11:32e1e6,0.7,False
scatter,,1,bpatoutset:11:d36260,20083,line,bpatoutset:11:cc7a7b,20083,20083,2,#fec44f,,0.9,
scatter,bpatoutset:11:887dfd,1,bpatoutset:11:d62f14,,markers,bpatoutset:11:8a55b6,20083,20083,,red,bpatoutset:11:ad7ed1,0.7,False
scatter,,1,bpatoutset:11:5112c7,,markers,bpatoutset:11:7a2ed2,20083,20083,10,green,bpatoutset:11:1d348e,0.7,False
scatter,,1,bpatoutset:11:653c0f,20085,line,bpatoutset:11:3e4647,20085,20085,2,#fec44f,,0.9,
scatter,,1,,,markers,,20085,20085,,red,,0.7,False
scatter,,1,bpatoutset:11:c0fb12,,markers,bpatoutset:11:ff488a,20085,20085,10,green,bpatoutset:11:8daf78,0.7,False
scatter,,1,bpatoutset:11:24332b,20088,line,bpatoutset:11:ea7d64,20088,20088,2,#fec44f,,0.9,
scatter,,1,,,markers,,20088,20088,,red,,0.7,False
scatter,,1,,,markers,,20088,20088,10,green,,0.7,False
scatter,,1,bpatoutset:11:c5d460,1509036,line,bpatoutset:11:3e4647,1509036,1509036,2,#fec44f,,0.9,
scatter,,1,,,markers,,1509036,1509036,,red,,0.7,False
scatter,,1,bpatoutset:11:55945f,,markers,bpatoutset:11:cd0dc1,1509036,1509036,10,green,bpatoutset:11:32e1e6,0.7,False
scatter,,1,bpatoutset:11:78890e,1510016,line,bpatoutset:11:c9a864,1510016,1510016,2,#fec44f,,0.9,
scatter,,1,,,markers,,1510016,1510016,,red,,0.7,False
scatter,,1,,,markers,,1510016,1510016,10,green,,0.7,False
scatter,,1,bpatoutset:11:b53bd9,1510021,line,bpatoutset:11:3e4647,1510021,1510021,2,#fec44f,,0.9,
scatter,,1,,,markers,,1510021,1510021,,red,,0.7,False
scatter,,1,bpatoutset:11:de1e96,,markers,bpatoutset:11:5f6b68,1510021,1510021,10,green,bpatoutset:11:ad1768,0.7,False
scatter,,1,bpatoutset:11:262686,1511044,line,bpatoutset:11:3e4647,1511044,1511044,2,#fec44f,,0.9,
scatter,bpatoutset:11:005c25,1,bpatoutset:11:133ff8,,markers,bpatoutset:11:34a5cc,1511044,1511044,,red,bpatoutset:11:5123f1,0.7,False
scatter,,1,bpatoutset:11:897a20,,markers,bpatoutset:11:9e92e5,1511044,1511044,10,green,bpatoutset:11:ca001d,0.7,False
scatter,,1,bpatoutset:11:587742,1512030,line,bpatoutset:11:844901,1512030,1512030,2,#fec44f,,0.9,
scatter,,1,,,markers,,1512030,1512030,,red,,0.7,False
scatter,,1,,,markers,,1512030,1512030,10,green,,0.7,False
scatter,,1,bpatoutset:11:4f1fe0,20034,line,bpatoutset:11:3e4647,20034,20034,2,#fec44f,,0.9,
scatter,bpatoutset:11:68cc5b,1,bpatoutset:11:3336cf,,markers,bpatoutset:11:f845cc,20034,20034,,red,bpatoutset:11:77d8f9,0.7,False
scatter,,1,,,markers,,20034,20034,10,green,,0.7,False
scatter,,1,bpatoutset:11:0460f1,1506016,line,bpatoutset:11:7b3da6,1506016,1506016,2,#fec44f,,0.9,
scatter,,1,,,markers,,1506016,1506016,,red,,0.7,False
scatter,,1,,,markers,,1506016,1506016,10,green,,0.7,False
scatter,,1,bpatoutset:11:284a6a,1506017,line,bpatoutset:11:3e4647,1506017,1506017,2,#fec44f,,0.9,
scatter,bpatoutset:11:2487ef,1,bpatoutset:11:e0e111,,markers,bpatoutset:11:21d977,1506017,1506017,,red,bpatoutset:11:19a294,0.7,False
scatter,,1,bpatoutset:11:56d059,,markers,bpatoutset:11:a4060a,1506017,1506017,10,green,bpatoutset:11:1d348e,0.7,False
scatter,,1,bpatoutset:11:549d45,1512031,line,bpatoutset:11:e34c1e,1512031,1512031,2,#fec44f,,0.9,
scatter,bpatoutset:11:5c83fe,1,bpatoutset:11:e47899,,markers,bpatoutset:11:7a2ed2,1512031,1512031,,red,bpatoutset:11:fe6e8f,0.7,False
scatter,,1,,,markers,,1512031,1512031,10,green,,0.7,False
scatter,,1,bpatoutset:11:cec307,1512067,line,bpatoutset:11:fd8e77,1512067,1512067,2,#fec44f,,0.9,
scatter,bpatoutset:11:d1f6e2,1,bpatoutset:11:93870c,,markers,bpatoutset:11:2259bd,1512067,1512067,,red,bpatoutset:11:7a33f4,0.7,False
scatter,,1,bpatoutset:11:dd6664,,markers,bpatoutset:11:7a2ed2,1512067,1512067,10,green,bpatoutset:11:1d348e,0.7,False
scatter,,1,bpatoutset:11:e9c283,20090,line,bpatoutset:11:03e8f3,20090,20090,2,#fec44f,,0.9,
scatter,bpatoutset:11:5c83fe,1,bpatoutset:11:1f83ed,,markers,bpatoutset:11:fbd998,20090,20090,,red,bpatoutset:11:fe6e8f,0.7,False
scatter,,1,,,markers,,20090,20090,10,green,,0.7,False
scatter,,1,bpatoutset:11:a2c755,20094,line,bpatoutset:11:8f2cf6,20094,20094,2,#fec44f,,0.9,
scatter,,1,,,markers,,20094,20094,,red,,0.7,False
scatter,,1,,,markers,,20094,20094,10,green,,0.7,False
scatter,,1,bpatoutset:11:bce7cd,1511043,line,bpatoutset:11:03e8f3,1511043,1511043,2,#fec44f,,0.9,
scatter,bpatoutset:11:0739d5,1,bpatoutset:11:2843e8,,markers,bpatoutset:11:520ed5,1511043,1511043,,red,bpatoutset:11:1ba62f,0.7,False
scatter,,1,bpatoutset:11:917b94,,markers,bpatoutset:11:eadca8,1511043,1511043,10,green,bpatoutset:11:1d348e,0.7,False
scatter,,1,bpatoutset:11:f3e4d2,20033,line,bpatoutset:11:2e4795,20033,20033,2,#fec44f,,0.9,
scatter,,1,,,markers,,20033,20033,,red,,0.7,False
scatter,,1,,,markers,,20033,20033,10,green,,0.7,False
scatter,,1,bpatoutset:11:f5315c,20040,line,bpatoutset:11:b57fa6,20040,20040,2,#fec44f,,0.9,
scatter,bpatoutset:11:1e014c,1,bpatoutset:11:251abd,,markers,bpatoutset:11:b70808,20040,20040,,red,bpatoutset:11:1b5908,0.7,False
scatter,,1,,,markers,,20040,20040,10,green,,0.7,False
scatter,,1,bpatoutset:11:f35cda,20055,line,bpatoutset:11:860f08,20055,20055,2,#fec44f,,0.9,
scatter,bpatoutset:11:5c83fe,1,bpatoutset:11:992950,,markers,bpatoutset:11:fbd998,20055,20055,,red,bpatoutset:11:fe6e8f,0.7,False
scatter,,1,bpatoutset:11:b6d457,,markers,bpatoutset:11:9109b1,20055,20055,10,green,bpatoutset:11:cdc0ce,0.7,False
scatter,,1,bpatoutset:11:51b245,20068,line,bpatoutset:11:9d14ef,20068,20068,2,#fec44f,,0.9,
scatter,,1,,,markers,,20068,20068,,red,,0.7,False
scatter,,1,bpatoutset:11:639d1a,,markers,bpatoutset:11:4486a1,20068,20068,10,green,bpatoutset:11:1d348e,0.7,False
scatter,,1,bpatoutset:11:899752,20077,line,bpatoutset:11:b57fa6,20077,20077,2,#fec44f,,0.9,
scatter,,1,,,markers,,20077,20077,,red,,0.7,False
scatter,,1,,,markers,,20077,20077,10,green,,0.7,False
scatter,,1,bpatoutset:11:962ca7,20087,line,bpatoutset:11:b57fa6,20087,20087,2,#fec44f,,0.9,
scatter,bpatoutset:11:5c83fe,1,bpatoutset:11:d8a462,,markers,bpatoutset:11:fbd998,20087,20087,,red,bpatoutset:11:fe6e8f,0.7,False
scatter,,1,,,markers,,20087,20087,10,green,,0.7,False
scatter,,1,bpatoutset:11:ff9669,20095,line,bpatoutset:11:836e23,20095,20095,2,#fec44f,,0.9,
scatter,,1,,,markers,,20095,20095,,red,,0.7,False
scatter,,1,,,markers,,20095,20095,10,green,,0.7,False
scatter,,1,bpatoutset:11:d95ac4,1509038,line,bpatoutset:11:b57fa6,1509038,1509038,2,#fec44f,,0.9,
scatter,,1,,,markers,,1509038,1509038,,red,,0.7,False
scatter,,1,bpatoutset:11:05c87d,,markers,bpatoutset:11:4486a1,1509038,1509038,10,green,bpatoutset:11:1d348e,0.7,False
scatter,,1,bpatoutset:11:223c4d,1510046,line,bpatoutset:11:b57fa6,1510046,1510046,2,#fec44f,,0.9,
scatter,,1,,,markers,,1510046,1510046,,red,,0.7,False
scatter,,1,,,markers,,1510046,1510046,10,green,,0.7,False
scatter,,1,bpatoutset:11:7e77fa,20039,line,bpatoutset:11:03edf5,20039,20039,2,#fec44f,,0.9,
scatter,,1,,,markers,,20039,20039,,red,,0.7,False
scatter,,1,bpatoutset:11:6619d4,,markers,bpatoutset:11:f845cc,20039,20039,10,green,bpatoutset:11:1d348e,0.7,False
scatter,,1,bpatoutset:11:d41a0e,20071,line,bpatoutset:11:03edf5,20071,20071,2,#fec44f,,0.9,
scatter,,1,,,markers,,20071,20071,,red,,0.7,False
scatter,,1,,,markers,,20071,20071,10,green,,0.7,False
scatter,,1,bpatoutset:11:cacef0,20086,line,bpatoutset:11:03edf5,20086,20086,2,#fec44f,,0.9,
scatter,,1,,,markers,,20086,20086,,red,,0.7,False
scatter,,1,bpatoutset:11:607526,,markers,bpatoutset:11:fbd998,20086,20086,10,green,bpatoutset:11:1d348e,0.7,False
scatter,,1,bpatoutset:11:3ded2e,20097,line,bpatoutset:11:03edf5,20097,20097,2,#fec44f,,0.9,
scatter,bpatoutset:11:5c83fe,1,bpatoutset:11:47459a,,markers,bpatoutset:11:fbd998,20097,20097,,red,bpatoutset:11:fe6e8f,0.7,False
scatter,,1,bpatoutset:11:07d395,,markers,bpatoutset:11:f845cc,20097,20097,10,green,bpatoutset:11:1d348e,0.7,False
scatter,,1,bpatoutset:11:cded73,20056,line,bpatoutset:11:0e6677,20056,20056,2,#fec44f,,0.9,
scatter,,1,,,markers,,20056,20056,,red,,0.7,False
scatter,,1,,,markers,,20056,20056,10,green,,0.7,False
scatter,,1,bpatoutset:11:15d759,1512029,line,bpatoutset:11:4dd2d5,1512029,1512029,2,#fec44f,,0.9,
scatter,,1,,,markers,,1512029,1512029,,red,,0.7,False
scatter,,1,,,markers,,1512029,1512029,10,green,,0.7,False
scatter,,1,bpatoutset:11:55f05a,20078,line,bpatoutset:11:6d340c,20078,20078,2,#fec44f,,0.9,
scatter,,1,,,markers,,20078,20078,,red,,0.7,False
scatter,,1,,,markers,,20078,20078,10,green,,0.7,False
scatter,,1,bpatoutset:11:9c5b4e,20098,line,bpatoutset:11:6d340c,20098,20098,2,#fec44f,,0.9,
scatter,,1,,,markers,,20098,20098,,red,,0.7,False
scatter,,1,,,markers,,20098,20098,10,green,,0.7,False
scatter,,1,bpatoutset:11:5bbc33,1511047,line,bpatoutset:11:6d340c,1511047,1511047,2,#fec44f,,0.9,
scatter,,1,,,markers,,1511047,1511047,,red,,0.7,False
scatter,,1,,,markers,,1511047,1511047,10,green,,0.7,False
scatter,,1,bpatoutset:11:e41998,20079,line,bpatoutset:11:64fb08,20079,20079,2,#fec44f,,0.9,
scatter,,1,,,markers,,20079,20079,,red,,0.7,False
scatter,,1,,,markers,,20079,20079,10,green,,0.7,False
scatter,,1,bpatoutset:11:6c2631,20089,line,bpatoutset:11:64fb08,20089,20089,2,#fec44f,,0.9,
scatter,,1,,,markers,,20089,20089,,red,,0.7,False
scatter,,1,,,markers,,20089,20089,10,green,,0.7,False
scatter,,1,bpatoutset:11:fbf2e5,20091,line,bpatoutset:11:64fb08,20091,20091,2,#fec44f,,0.9,
scatter,,1,,,markers,,20091,20091,,red,,0.7,False
scatter,,1,,,markers,,20091,20091,10,green,,0.7,False
scatter,,1,bpatoutset:11:6a5367,20092,line,bpatoutset:11:64fb08,20092,20092,2,#fec44f,,0.9,
scatter,,1,,,markers,,20092,20092,,red,,0.7,False
scatter,,1,,,markers,,20092,20092,10,green,,0.7,False
scatter,,1,bpatoutset:11:c72442,20093,line,bpatoutset:11:64fb08,20093,20093,2,#fec44f,,0.9,
scatter,,1,,,markers,,20093,20093,,red,,0.7,False
scatter,,1,,,markers,,20093,20093,10,green,,0.7,False
