type,hoverinfo,latsrc,hovertext,lonsrc,line.width,locationmode,mode,line.color
scattergeo,text,kasia521:1:2f230b,DEN_OKC,kasia521:1:43a7b8,1,USA-states,lines,red
scattergeo,text,kasia521:1:1c25c5,DEN_OMA,kasia521:1:e89846,1,USA-states,lines,red
scattergeo,text,kasia521:1:5979ac,DEN_ONT,kasia521:1:e6171e,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:173b71,DEN_ORD,kasia521:1:4d4f1c,1,USA-states,lines,red
scattergeo,text,kasia521:1:bae415,DEN_PBI,kasia521:1:973605,1,USA-states,lines,red
scattergeo,text,kasia521:1:bcc807,DEN_PDX,kasia521:1:1d6358,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:ca3f0c,DEN_PHL,kasia521:1:03db30,1,USA-states,lines,red
scattergeo,text,kasia521:1:19c43c,DEN_PHX,kasia521:1:5b289b,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:869eac,DEN_PIA,kasia521:1:57a8e5,1,USA-states,lines,blue
scattergeo,text,kasia521:1:fa268c,DEN_PIH,kasia521:1:06d869,1,USA-states,lines,red
scattergeo,text,kasia521:1:6b4732,DEN_PIT,kasia521:1:4fc390,1,USA-states,lines,blue
scattergeo,text,kasia521:1:5ad1c4,DEN_PSC,kasia521:1:a5a19c,1,USA-states,lines,blue
scattergeo,text,kasia521:1:50ef1d,DEN_PSP,kasia521:1:78acdf,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:39fdec,DEN_RAP,kasia521:1:b26732,1,USA-states,lines,blue
scattergeo,text,kasia521:1:629b0a,DEN_RDM,kasia521:1:8d0520,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:84c90c,DEN_RDU,kasia521:1:b148d2,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:5f39e5,DEN_RFD,kasia521:1:08d680,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:1c6b3b,DEN_RNO,kasia521:1:29ba8a,1,USA-states,lines,red
scattergeo,text,kasia521:1:e6ac31,DEN_RSW,kasia521:1:e28f62,1,USA-states,lines,blue
scattergeo,text,kasia521:1:b6cdef,DEN_SAN,kasia521:1:d484db,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:609661,DEN_SAT,kasia521:1:47c5b1,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:355418,DEN_SBA,kasia521:1:22491e,1,USA-states,lines,blue
scattergeo,text,kasia521:1:635c21,DEN_SDF,kasia521:1:e43fa7,1,USA-states,lines,blue
scattergeo,text,kasia521:1:cca558,DEN_SEA,kasia521:1:908733,1,USA-states,lines,red
scattergeo,text,kasia521:1:e0fc1f,DEN_SFO,kasia521:1:04a909,1,USA-states,lines,red
scattergeo,text,kasia521:1:469d46,DEN_SGF,kasia521:1:2deb71,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:b8e582,DEN_SJC,kasia521:1:6f2357,1,USA-states,lines,red
scattergeo,text,kasia521:1:fdbb9f,DEN_SLC,kasia521:1:7d7f20,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:c2019f,DEN_SMF,kasia521:1:6d043a,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:68d1d5,DEN_SNA,kasia521:1:13e095,1,USA-states,lines,blue
scattergeo,text,kasia521:1:7aa3e7,DEN_STL,kasia521:1:229039,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:2e6503,DEN_TPA,kasia521:1:b33743,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:e87b4d,DEN_TUL,kasia521:1:fa59f9,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:bdd347,DEN_TUS,kasia521:1:e39fae,1,USA-states,lines,blue
scattergeo,text,kasia521:1:210909,DEN_TWF,kasia521:1:eddd04,1,USA-states,lines,red
scattergeo,text,kasia521:1:32f138,DEN_TYS,kasia521:1:93dd62,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:f22d0f,DEN_XNA,kasia521:1:aec939,1,USA-states,lines,blue
